word;quantity;frequency
wah;14;0.0004
brigade;4;0.0001
ss;1;0.0
inside;5;0.0001
Tank;2;0.0001
middle;1;0.0
Abbeycent;1;0.0
tanker;1;0.0
bash;3;0.0001
attach;2;0.0001
fi;1;0.0
rescue;1;0.0
robber;3;0.0001
wa;2;0.0001
river;2;0.0001
li;1;0.0
starve;1;0.0
bom;1;0.0
goodbye;1;0.0
cage;1;0.0
zzz;1;0.0
waa;1;0.0
haha;6;0.0002
monkey;2;0.0001
juggle;2;0.0001
dedede;1;0.0
key;2;0.0001
deliver;2;0.0001
answer;1;0.0
Roy;1;0.0
Canada;1;0.0
Lindsay;1;0.0
Nicole;2;0.0001
Joey;1;0.0
Christian;2;0.0001
youse;3;0.0001
television;6;0.0002
cushion;2;0.0001
aha;4;0.0001
fou;1;0.0
sign;2;0.0001
site;1;0.0
tow;1;0.0
yourself;3;0.0001
re;1;0.0
Leisure;1;0.0
Centre;1;0.0
armband;1;0.0
swimmer;2;0.0001
Is;1;0.0
sword;13;0.0003
Captain;10;0.0003
Hook;9;0.0002
Wendy;2;0.0001
hah;2;0.0001
Michael;3;0.0001
John;5;0.0001
humour;1;0.0
gi;1;0.0
Okey;1;0.0
bing;1;0.0
whiz;1;0.0
puh;1;0.0
as_soon_as;1;0.0
grocery;4;0.0001
ding;3;0.0001
Hooks;1;0.0
Kenny;3;0.0001
action;2;0.0001
pay;2;0.0001
forty;1;0.0
afraid;1;0.0
salad;1;0.0
shelf;1;0.0
you_all;1;0.0
cockadoodle;1;0.0
sound;3;0.0001
rooster;1;0.0
Cock;1;0.0
giddy;2;0.0001
dance;1;0.0
record;1;0.0
shopper;3;0.0001
sell;2;0.0001
penny;2;0.0001
Ian;1;0.0
Tales;2;0.0001
family;1;0.0
Dictionary;1;0.0
snowman;1;0.0
cracker;3;0.0001
rice;1;0.0
tight;3;0.0001
Alfie;1;0.0
Norman;1;0.0
Postie;1;0.0
roof;1;0.0
walk;1;0.0
Aiken;3;0.0001
Drum;3;0.0001
high;2;0.0001
peten;1;0.0
drop;2;0.0001
elbow;1;0.0
ambulance;4;0.0001
woman;1;0.0
stretcher;4;0.0001
hurry;4;0.0001
crack;2;0.0001
though;1;0.0
tickle;3;0.0001
goldfish;1;0.0
tel;1;0.0
end;2;0.0001
song;1;0.0
Chuckles;3;0.0001
Sweep;2;0.0001
Scampi;1;0.0
Playtime;2;0.0001
poo;1;0.0
early;1;0.0
tower;3;0.0001
Slam;2;0.0001
Dunk;2;0.0001
postman;1;0.0
dustbin;1;0.0
Simon;1;0.0
stable;1;0.0
oink;2;0.0001
bum;8;0.0002
tissue;1;0.0
basketball;1;0.0
Biker;1;0.0
Mice;1;0.0
Beano;2;0.0001
easy;1;0.0
pre;1;0.0
arrive;2;0.0001
Banjo;1;0.0
dusty;13;0.0003
e;3;0.0001
q;1;0.0
x;1;0.0
z;1;0.0
saver;1;0.0
kind;1;0.0
Lyndsay;2;0.0001
pretty;2;0.0001
shark;1;0.0
paddle;1;0.0
nit;2;0.0001
rascal;1;0.0
bumhead;4;0.0001
excuse;1;0.0
smart;1;0.0
security;1;0.0
boil;1;0.0
blob;1;0.0
teach;1;0.0
switch;2;0.0001
land;2;0.0001
hope;1;0.0
step;2;0.0001
Mini;1;0.0
may;1;0.0
l;4;0.0001
tip;1;0.0
erm;20;0.0005
pizza;4;0.0001
dunno;2;0.0001
honey;1;0.0
pretzel;1;0.0
pineapple;1;0.0
Firstname;2;0.0001
doughnut;4;0.0001
spaghetti;2;0.0001
melon;2;0.0001
croissant;2;0.0001
pepper;2;0.0001
cream;2;0.0001
lolly;1;0.0
croquet;1;0.0
tasty;2;0.0001
knife;4;0.0001
strawberry;2;0.0001
oh_dear;4;0.0001
Maron_Station;1;0.0
countryside;2;0.0001
count;2;0.0001
mirror;2;0.0001
ham;4;0.0001
bacon;1;0.0
fruit;2;0.0001
delicious;1;0.0
barn;2;0.0001
Germany;1;0.0
spare;1;0.0
troublesome;2;0.0001
teacup;2;0.0001
teaparty;1;0.0
horsies;1;0.0
grey;1;0.0
telly;1;0.0
pylon;2;0.0001
electricity;1;0.0
good_morning;4;0.0001
wobbly;2;0.0001
pancake;2;0.0001
broccoli;1;0.0
asparagus;1;0.0
lettuce;2;0.0001
meatball;2;0.0001
magnet;1;0.0
bloke;1;0.0
hydraulics;1;0.0
bedroom;1;0.0
cardigan;1;0.0
drain;1;0.0
furniture;1;0.0
squirrel;1;0.0
oh_no;2;0.0001
passenger;1;0.0
pass;1;0.0
oops;1;0.0
yummy;1;0.0
bush;1;0.0
Sticklebricks;3;0.0001
Sticklebrick;1;0.0
ca;1;0.0
triangle;2;0.0001
nah;3;0.0001
piglet;1;0.0
probably;1;0.0
hhh;9;0.0002
gotta;1;0.0
stack;1;0.0
stacker;2;0.0001
backwards;4;0.0001
nosey;1;0.0
Rhys;2;0.0001
Travis;5;0.0001
playschool;2;0.0001
later_on;1;0.0
join;2;0.0001
mat;1;0.0
seesaw;2;0.0001
Grandad;1;0.0
loose;1;0.0
shall;12;0.0003
Trav;1;0.0
trampoline;3;0.0001
peep;1;0.0
gravy;1;0.0
toe;1;0.0
Meg;5;0.0001
pardon;1;0.0
meet;1;0.0
Katie;2;0.0001
seaside;1;0.0
shape;3;0.0001
cor;1;0.0
stinker;1;0.0
future;1;0.0
difficult;1;0.0
cupboard;1;0.0
thi;1;0.0
care;1;0.0
area;1;0.0
careful;2;0.0001
field;1;0.0
whose;2;0.0001
fair;1;0.0
carousel;2;0.0001
pussy;1;0.0
Maureen;1;0.0
club;1;0.0
lucy;1;0.0
rope;1;0.0
uhoh;1;0.0
never_mind;1;0.0
