225.sex,Feale,Female
95.noteoncount,Reporting standards not met. Either there are too few cases for  areliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
9.sex,emale,Female
231.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable emstimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
184.characteristic,Total ,"Total - Male, Pacific Islander, non-Hispanic"
127.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable esimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
89.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
7.sex,Feamle,Female
230.raceethnicity,"Whizte, non-Hispanic","White, non-Hispanic"
302.sex,Femae,Female
233.sex,Femafle,Female
89.sex,Femarle,Female
272.sex,Femqale,Female
294.raceethnicity,"American Indian/Alaska Native, non-Hispanci","American Indian/Alaska Native, non-Hispanic"
199.characteristic,"Total - White, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
123.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimae or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
115.raceethnicity,"Amervican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
101.noteoncount,Reporting standards not met. Eithe there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
41.raceethnicity,"White, non-Hipsanic","White, non-Hispanic"
127.characteristic,Total ,"Total - Two or more races, non-Hispanic"
155.characteristic,Total ,"Total - Male, Black, non-Hispanic "
306.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percento r greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
64.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 5a0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
236.sex,Feamle,Female
233.raceethnicity,"White, non-Hispaic","White, non-Hispanic"
185.noteonearnings,Reporting standards not met. Either there are too few cases for a repliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
76.characteristic,Total - Male,Total - Hispanic
120.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
69.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
73.noteoncount,Reporting standardsn ot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
4.noteoncount,Reporting standards xnot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
309.noteonearnings,Reporting standards not met. Either there are too few cases for fa reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
237.noteoncount,Reporting standards not met. Either there aret oo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
62.characteristic,Total - Male,"Total - Black, non-Hispanic "
221.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficien tof variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
97.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
265.sex,Femcale,Female
120.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vriation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
266.sex,emale,Female
235.noteoncount,Reporting stndards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
150.characteristic,Total ,"Total - Male, Black, non-Hispanic "
281.sex,Femacle,Female
35.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaton (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
286.noteoncount,Rweporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
34.sex,Femaple,Female
91.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
163.noteoncount,Reporting standards not met. Either there are too few cases for a reliable xestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
214.raceethnicity,"Twoo r more races, non-Hispanic","Two or more races, non-Hispanic"
39.sex,Feale,Female
200.characteristic,Total - Hispanic,"Total - Male, American Indian/Alaska Native, non-Hispanic"
108.raceethnicity,"American Indian/laska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
245.sex,Femlae,Female
164.characteristic,Total - Male,"Total - Male, Hispanic"
224.sex,emale,Female
83.sex,Feamle,Female
103.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatin (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.sex,Femnale,Female
238.sex,Fecmale,Female
138.noteonearnings,Reporting standards not met. Either there are too fw cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
96.characteristic,Total - Female,"Total - Pacific Islander, non-Hispanic"
77.characteristic,Total ,Total - Hispanic
253.raceethnicity,Hispxanic,Hispanic
51.characteristic,Total ,"Total - White, non-Hispanic"
286.sex,Fmale,Female
159.noteoncount,Reportig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
274.noteonearnings,Data not availbale.,Data not available.
166.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
137.characteristic,Total ,"Total - Male, White, non-Hispanic"
309.raceethnicity,"Two or more races, non-Hipsanic","Two or more races, non-Hispanic"
220.raceethnicity,"Two r more races, non-Hispanic","Two or more races, non-Hispanic"
245.raceethnicity,"Black, non-Hispnic ","Black, non-Hispanic "
155.sex,Malqe,Male
272.noteonearnings,Reporting standards not met. Either ther eare too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
19.sex,eMale,Male
160.noteoncount,Reporting standards not met. Either there re too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
291.raceethnicity,"merican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
248.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varibation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
216.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esitmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
140.raceethnicity,"Whtie, non-Hispanic","White, non-Hispanic"
306.sex,Fefmale,Female
84.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
157.characteristic,Total ,"Total - Male, Hispanic"
133.characteristic,Total - Male,"Total - Male, White, non-Hispanic"
131.noteonearnings,Reporting standards not met. Either there are too few cases for a reliaqble estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
231.raceethnicity,"White, non-fHispanic","White, non-Hispanic"
260.raceethnicity,Hispanci,Hispanic
139.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
33.raceethnicity,"American Indian/Alska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
44.characteristic,Total - Female,"Total - White, non-Hispanic"
49.noteoncount,Reporting standards not met. Either there are too fe cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
48.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
190.characteristic,Total - Male,"Total - Male, Pacific Islander, non-Hispanic"
223.raceethnicity,"White, nohn-Hispanic","White, non-Hispanic"
213.noteoncount,Reoprting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
193.noteoncount,Reportnig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
223.noteoncount,Reportng standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
201.noteoncount,Reporting standrads not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
212.raceethnicity,"Two or more races, ynon-Hispanic","Two or more races, non-Hispanic"
223.sex,Femaale,Female
192.characteristic,Total - Female,"Total - Male, Pacific Islander, non-Hispanic"
31.sex,Femalse,Female
194.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable stimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
306.raceethnicity,"Two or more races, non-Hipsanic","Two or more races, non-Hispanic"
310.raceethnicity,"Tw oor more races, non-Hispanic","Two or more races, non-Hispanic"
94.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is5 0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
178.sex,ale,Male
311.sex,Feale,Female
140.sex,Malte,Male
16.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50p ercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
157.noteonearnings,Reporting standpards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
178.raceethnicity,"Asian, nn-Hispanic","Asian, non-Hispanic"
110.characteristic,"Total - White, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
300.noteoncount,Daat not available.,Data not available.
68.characteristic,Total - Male,Total - Hispanic
25.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
146.noteoncount,Reporting standards not met. Either there are too few cases for a reliableestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
151.characteristic,Total - Male,"Total - Male, Black, non-Hispanic "
57.sex,Fjemale,Female
132.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate ro the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
187.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent ovr greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
218.raceethnicity,"Two or more races, non-Hisanic","Two or more races, non-Hispanic"
100.noteonearnings,Reoprting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
194.characteristic,Total ,"Total - Male, Pacific Islander, non-Hispanic"
301.noteonearnings,Data not vaailable.,Data not available.
280.raceethnicity,"Pacific Islander, non-Hipsanic","Pacific Islander, non-Hispanic"
53.characteristic,Total ,"Total - Black, non-Hispanic "
17.sex,Mae,Male
10.noteoncount,Reportingstandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
16.sex,Malae,Male
158.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 pecent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
307.sex,Femlae,Female
305.noteoncount,Reporting standards not met. Eithier there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
125.noteonearnings,Reporting standards not met. Either there are tono few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
59.characteristic,Total ,"Total - Black, non-Hispanic "
72.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
240.raceethnicity,"Black, non-eHispanic ","Black, non-Hispanic "
77.noteonearnings,Reporting standards not mte. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
136.noteonearnings,Reporting standards not met. Either thereare too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
59.noteoncount,Reporting standards not met. Either there are too few cases for a reliabl eestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
293.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
180.characteristic,Total ,"Total - Male, Asian, non-Hispanic"
203.noteonearnings,Reporting standards not met. Either there are toow few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
54.characteristic,Total ,"Total - Black, non-Hispanic "
40.noteoncount,Reporting standards not met. Either thereare too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
125.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
311.raceethnicity,"Two or morke races, non-Hispanic","Two or more races, non-Hispanic"
204.noteoncount,Reporting standards not met. Either there aretoo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
128.sex,Femaule,Female
234.sex,emale,Female
258.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or tfhe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
250.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the cefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
153.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaetr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
156.characteristic,"Total - Asian, non-Hispanic","Total - Male, Black, non-Hispanic "
300.raceethnicity,"Two or moroe races, non-Hispanic","Two or more races, non-Hispanic"
123.characteristic,Total ,"Total - Two or more races, non-Hispanic"
159.characteristic,Total ,"Total - Male, Hispanic"
176.characteristic,Total - Female,"Total - Male, Asian, non-Hispanic"
75.characteristic,Total - Male,Total - Hispanic
251.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varitaion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
151.noteoncount,Reporting sytandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
63.characteristic,Total ,"Total - Black, non-Hispanic "
135.characteristic,Total - Male,"Total - Male, White, non-Hispanic"
264.raceethnicity,"Asia, non-Hispanic","Asian, non-Hispanic"
165.raceethnicity,Hrispanic,Hispanic
32.sex,Femael,Female
255.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estinmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
278.noteoncount,Reporting standards not met. fEither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
170.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
86.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
145.noteonearnings,Reporting standards not mezt. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
126.noteonearnings,Reporting standards nt met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
273.raceethnicity,"sAian, non-Hispanic","Asian, non-Hispanic"
122.characteristic,Total - Female,"Total - Two or more races, non-Hispanic"
312.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaetr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
72.sex,Fmale,Female
115.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) ijs 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
102.noteonearnings,eporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
268.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include acific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
79.noteoncount,Reporting standards not me.t Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
26.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent o greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
116.sex,Femael,Female
139.characteristic,Total - Male,"Total - Male, White, non-Hispanic"
149.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percentf or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
45.characteristic,Total ,"Total - White, non-Hispanic"
57.noteonearnings,Reporting standards not met. Either there are too few caes for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
257.sex,mFemale,Female
241.noteonearnings,Reporting standards not met. Either there hare too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
168.characteristic,Total ,"Total - Male, Hispanic"
22.sex,Mlae,Male
291.noteonearnings,Reporting standars not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
254.sex,Femael,Female
297.noteonearnings,Reporting standards not met. Either there are too fwe cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
58.noteonearnings,Reporting stanadrds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
152.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variartion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
99.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
85.characteristic,Total - Male,"Total - Asian, non-Hispanic"
15.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
71.characteristic,Total - Male,Total - Hispanic
128.noteonearnings,Reporting ostandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
260.sex,Fmeale,Female
111.noteonearnings,Reporting standards not met. Eitherthere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
310.noteonearnings,Reorting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
99.noteoncount,Rmeporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
214.noteoncount,Reporting standards not met. Either there are too few casess for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
269.sex,Fepmale,Female
310.sex,emale,Female
266.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 05 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
24.noteoncount,Reporting standards not met. Either thereare too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or geater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
185.characteristic,Total ,"Total - Male, Pacific Islander, non-Hispanic"
220.sex,Mael,Male
200.noteonearnings,Reporting standards not met. Either there are too few csaes for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
119.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
288.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
24.sex,Mlae,Male
23.sex,ale,Male
265.noteonearnings,Reporting standards not met. Either there are too qfew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
46.characteristic,Total ,"Total - White, non-Hispanic"
96.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or grueater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
211.raceethnicity,"Two or more raecs, non-Hispanic","Two or more races, non-Hispanic"
162.characteristic,Total ,"Total - Male, Hispanic"
69.characteristic,Total - Male,Total - Hispanic
251.characteristic,Total - Male,"Total - Female, Hispanic"
167.characteristic,Total ,"Total - Male, Hispanic"
28.raceethnicity,"American Indian/Alaska Native ,non-Hispanic","American Indian/Alaska Native, non-Hispanic"
254.raceethnicity,oHispanic,Hispanic
