330.fips,8123.0,12009
248.statecounty,AK_Bethel Census Area,CA_Yolo
383.statecounty,AK_Bethel Census Area,FL_St. Johns
178.statecounty,AK_Dillingham Census Area,AZ_Cochise
102.fips,2020.0,5011
341.fips,2110.0,12033
1481.countytwo,Nodwaay ,Nodaway 
950.county,Lyo ,Lyon 
1438.fipstwo,f29x061,f29061
442.countytwo,Echosl ,Echols 
1293.statecounty,I_Midland,MI_Midland
1156.fipstwo,f20273,f22073
2733.fipstwo,f84243,f48243
1521.county,Worh ,Worth 
2712.countytwo,Harri s,Harris 
250.fipstwo,f01091,f08001
297.statefips,30,8
122.fips,2110.0,5051
2807.statevalue,TyX,TX
2925.statevalue,AV,VA
225.statecounty,AK_Dillingham Census Area,CA_Sacramento
2402.county,Newoprt ,Newport 
2488.statecounty,SD_Kingsbuy,SD_Kingsbury
270.fips,5001.0,8041
845.statecounty,I_NKosciusko,IN_Kosciusko
2176.statevalue,K,OK
2650.statevalue,X,TX
1137.county,Efast Carroll Parish,East Carroll Parish
476.statefips,79,13
160.county,Aleutians West Census Area,Searcy 
2211.countytwo,Texoas ,Texas 
1699.statecounty,NC_Fraklin,NC_Franklin
505.countytwo,Perce ,Pierce 
915.statevalue,SK,KS
391.fipstwo,f02180,f12131
1093.statevalue,KmY,KY
2274.statevalue,AP,PA
435.county,Decatu r,Decatur 
2272.statevalue,PaA,PA
2078.fipstwo,3f9049,f39049
243.statefips,2.0,6
166.fips,2020.0,5139
2021.county,Nassua ,Nassau 
2514.countytwo,Walworcth ,Walworth 
155.fips,2170.0,5117
1223.fipstwo,f20303,f23003
51.fipstwo,f01009,f01043
1697.county,Edgecombez ,Edgecombe 
29.fips,2090.0,2290
2292.fipstwo,f42705,f42075
2050.statecounty,NY_Wanye,NY_Wayne
386.statecounty,AK_Denali Borough,FL_Suwannee
3045.statevalue,T,VT
840.county,ay ,Jay 
1928.countytwo,Gloucesgter ,Gloucester 
113.fipstwo,f02110,f05033
2612.countytwo,Anderso n,Anderson 
2602.statevalue,NT,TN
2915.countytwo,Campbellw ,Campbell 
1130.statecounty,LA_Caldwll,LA_Caldwell
573.fipstwo,f19w031,f19031
691.statecounty,ID_Nez Perec,ID_Nez Perce
505.fipstwo,f1d3229,f13229
1692.statevalue,CN,NC
2692.statevalue,X,TX
116.fips,2070.0,5039
2957.fipstwo,5f1091,f51091
518.statefips,21,13
190.fipstwo,f01019,f04025
223.statefips,2.0,6
497.statefips,41,13
700.fipstwo,1f6087,f16087
558.countytwo,Adayir ,Adair 
1307.statecounty,MI_Otatwa,MI_Ottawa
203.fips,2020.0,6023
2974.county,Martinsville ciyt,Martinsville city
3075.statevalue,WqA,WA
2637.fipstwo,f48015,f48051
3131.countytwo,Oztaukee ,Ozaukee 
1221.statevalue,DM,MD
606.countytwo,ackson ,Jackson 
2187.statecounty,OK_Maes,OK_Mayes
3152.statecounty,WI_Washingtno,WI_Washington
316.fips,8123.0,9005
2879.statecounty,T_Kane,UT_Kane
1807.county,Siux ,Sioux 
2440.statevalue,SvC,SC
2138.county,Wayen ,Wayne 
1978.statecounty,NVD_ouglas,NV_Douglas
1963.statecounty,NM_Ri Arriba,NM_Rio Arriba
205.statefips,2.0,6
212.fips,2068.0,6041
145.statecounty,AK_Aleutians West Census Area,AR_Montgomery
2892.statecounty,UT_Wastch,UT_Wasatch
1933.fipstwo,f3402a5,f34025
422.countytwo,Clya ,Clay 
134.fipstwo,f01009,f05075
348.fipstwo,f01071,f12047
780.county,Richalnd ,Richland 
58.fipstwo,f02105,f01057
1972.fipstwo,f35507,f35057
291.fips,2068.0,8081
384.fipstwo,f02180,f12111
829.statecounty,IN_Grnt,IN_Grant
991.statecounty,KvS_Thomas,KS_Thomas
2173.statecounty,OK_Hguhes,OK_Hughes
1310.fipstwo,26145,f26145
1500.county,Scuhyler ,Schuyler 
2779.countytwo,Mitchdell ,Mitchell 
3143.countytwo,Shawao ,Shawano 
1873.statecounty,NEL_incoln,NE_Lincoln
1257.fipstwo,26039,f26039
450.county,Forsytjh ,Forsyth 
661.countytwo,Benewha ,Benewah 
1629.countytwo,Hivll ,Hill 
2406.county,Aikeny ,Aiken 
592.statevalue,IuA,IA
316.statefips,10,9
1813.county,Tfraill ,Traill 
167.fips,2020.0,5141
1448.county,Harriswon ,Harrison 
3182.countytwo,Mkarshall ,Marshall 
48.statefips,2.0,1
644.fipstwo,f1973,f19173
2748.county,Klebeg ,Kleberg 
281.county,Bethel Census Area,Kiowa 
197.statevalue,AC,CA
1538.county,Clark ,Clarke 
106.statefips,2.0,5
2431.statecounty,SCk_Jasper,SC_Jasper
336.county,Aleutians West Census Area,Collier 
280.statefips,2.0,8
1487.county,Petits ,Pettis 
2142.countytwo,kAdair ,Adair 
3112.county,Jckson ,Jackson 
870.countytwo,Randojlph ,Randolph 
2366.countytwo,Loiza Munjicipio,Loiza Municipio
2170.statecounty,OK_Hakrmon,OK_Harmon
1018.fipstwo,21037,f21037
1218.statevalue,D,MD
979.statevalue,KaS,KS
346.fipstwo,f01101,f12043
288.statefips,2.0,8
1785.countytwo,Hettiner ,Hettinger 
144.statefips,2.0,5
1829.statecounty,NE_Butlre,NE_Butler
439.statefips,107,13
2401.fipstwo,f440q03,f44003
2628.fipstwo,f84033,f48033
1309.statecounty,I_Roscommon,MI_Roscommon
39.county,Bristol Bay Borough,Cherokee 
2494.fipstwo,46087,f46087
185.county,Bethel Census Area,Mohave 
575.statefips,101,19
2073.fipstwo,f3039,f39039
675.statecounty,IDk_Custer,ID_Custer
199.county,Hoonah-Angoon Census Area,Del Norte 
1763.statecounty,NC_Yakdin,NC_Yadkin
2355.fipstwo,f2065,f72065
3055.countytwo,Dougla ,Douglas 
86.statefips,2.0,1
1512.statecounty,MO_Stonae,MO_Stone
1516.statevalue,O,MO
200.county,Dillingham Census Area,El Dorado 
2312.county,Susquehann a,Susquehanna 
686.statecounty,I_Lemhi,ID_Lemhi
269.statefips,2.0,8
111.fips,2016.0,5029
1852.statecounty,NE_Gparden,NE_Garden
382.statevalue,L,FL
2272.statecounty,PA_Clintoqn,PA_Clinton
1244.county,araga ,Baraga 
3022.statecounty,A_Washington,VA_Washington
1336.statecounty,N_Cook,MN_Cook
2743.county,eKnt ,Kent 
278.fips,1005.0,8055
2965.statevalue,AV,VA
227.county,Aleutians East Borough,San Bernardino 
332.fips,2016.0,12013
2280.statecounty,PA_wFayette,PA_Fayette
796.countytwo,ayne ,Wayne 
227.statecounty,AK_Bethel Census Area,CA_San Bernardino
2695.countytwo,Galvesto n,Galveston 
743.fipstwo,f1785,f17085
2102.statevalue,OqH,OH
131.fips,2070.0,5069
294.fips,2060.0,8087
374.statevalue,LF,FL
2304.fipstwo,f4k2099,f42099
1913.statecounty,NH_Cheshirze,NH_Cheshire
521.statefips,96,13
287.fipstwo,f01061,f08073
894.countytwo,Whitle ,Whitley 
2180.statevalue,KO,OK
2572.statevalue,N,TN
2351.fipstwo,f7205z7,f72057
2133.countytwo,Unio n,Union 
2939.fipstwo,f51056,f51065
105.statefips,2.0,5
352.fips,2090.0,12055
2809.countytwo,Robertso n,Robertson 
257.fips,2110.0,8014
1836.countytwo,Colfa x,Colfax 
251.statefips,2.0,8
921.statecounty,KS_Ellswotrh,KS_Ellsworth
753.statecounty,IL_Lvingston,IL_Livingston
192.fipstwo,f02188,f06001
2835.countytwo,Throkmorton ,Throckmorton 
339.county,Diie ,Dixie 
285.county,Larimere ,Larimer 
348.county,hHamilton ,Hamilton 
1705.statevalue,CN,NC
3052.statevalue,kWA,WA
2657.countytwo,Coal ,Comal 
743.statecounty,IL_Jo Daviss,IL_Jo Daviess
824.fipstwo,18043,f18043
1420.countytwo,Caeldwell ,Caldwell 
3062.fipstwo,f35031,f53031
104.fipstwo,f02100,f05015
254.county,Haines Borough,Baca 
348.countytwo,Hamilon ,Hamilton 
917.countytwo,Dougls ,Douglas 
3059.countytwo,Gmrant ,Grant 
187.statevalue,Z,AZ
177.fips,2100.0,4001
1151.statevalue,eLA,LA
2772.countytwo,Mcennan ,McLennan 
509.statefips,81,13
1912.fipstwo,fh33003,f33003
2737.statecounty,TXJ_ohnson,TX_Johnson
320.statecounty,AK_Southeast Fairbanks Census Area,CT_Tolland
2403.county,Prvidence ,Providence 
84.fips,2020.0,1109
171.statecounty,AK_Aleutians West Census Area,AR_Yell
319.county,Bristol Bay Borough,New London 
1079.statevalue,Y,KY
22.statefips,29,2
2923.fipstwo,f15043,f51043
3163.county,Cmabell ,Cabell 
1991.statevalue,NnV,NV
321.county,Hoonah-Angoon Census Area,Windham 
2532.countytwo,Cffee ,Coffee 
431.statefips,59,13
2807.fipstwo,f48319,f48391
1865.statevalue,E,NE
181.fips,1033.0,4009
66.statefips,2.0,1
886.fipstwo,f8167,f18167
2341.county,Ciale sMunicipio,Ciales Municipio
1710.statevalue,C,NC
165.statevalue,R,AR
52.statecounty,AK_Dillingham Census Area,AL_Dale
498.statevalue,nGA,GA
2724.countytwo,Hoston ,Houston 
1748.countytwo,Sdtanly ,Stanly 
850.fipstwo,f18x095,f18095
211.fips,1085.0,6039
1147.countytwo,La Salsle ,La Salle 
452.statefips,58,13
279.statefips,2.0,8
1523.county,Northern Islands Munciipality,Northern Islands Municipality
1557.countytwo,Jasperu ,Jasper 
1144.county,Jackson Praish,Jackson Parish
621.statefips,58,19
398.statecounty,AL_Geneva,GA_Banks
324.fips,2016.0,10003
1839.countytwo,Daokta ,Dakota 
1929.countytwo,Hudlson ,Hudson 
671.statecounty,ID_aCribou,ID_Caribou
244.fips,2100.0,6105
193.fipstwo,f02016,f06003
674.statevalue,DI,ID
1259.countytwo,Diqckinson ,Dickinson 
2933.statevalue,A,VA
368.county,MiamiDade ,Miami-Dade 
819.countytwo,DKealb ,DeKalb 
2365.statevalue,RP,PR
435.statecounty,GAD_ecatur,GA_Decatur
1498.county,Rpley ,Ripley 
508.statefips,20,13
2652.statevalue,XT,TX
1075.statecounty,KoY_Marshall,KY_Marshall
1466.county,Lvingston ,Livingston 
2875.fipstwo,f4901k7,f49017
2173.statevalue,gOK,OK
402.statecounty,CA_San Diego,GA_Berrien
2505.statecounty,SD_Sanborin,SD_Sanborn
2002.countytwo,fColumbia ,Columbia 
50.fipstwo,f02170,f01041
97.county,Juneau City and Borough,Arkansas 
1497.statevalue,MxO,MO
1530.countytwo,Attalka ,Attala 
1098.statevalue,KtY,KY
2680.statevalue,X,TX
2015.county,King s,Kings 
2489.fipstwo,46079,f46079
2654.statevalue,XT,TX
604.countytwo,oIda ,Ida 
453.statefips,82,13
2420.statevalue,C,SC
880.statevalue,NI,IN
335.fips,2122.0,12019
381.fipstwo,f06079,f12115
1271.statevalue,qMI,MI
611.countytwo,Kxeokuk ,Keokuk 
180.fips,2170.0,4007
781.county,Rock sIland ,Rock Island 
949.county,Logna ,Logan 
345.fips,2020.0,12041
469.county,Irwi n,Irwin 
2029.statecounty,NY_Owsego,NY_Oswego
403.countytwo,Bibbo ,Bibb 
52.county,Matanuska-Susitna Borough,Dale 
3095.statecounty,WI_Clrk,WI_Clark
443.statevalue,GgA,GA
2596.county,mSith ,Smith 
3165.statecounty,WV_Clkay,WV_Clay
26.fips,2068.0,2270
331.fips,2122.0,12011
475.statefips,77,13
2523.county,Campbel l,Campbell 
835.fipstwo,18065,f18065
730.fipstwo,1f7059,f17059
2041.fipstwo,f3609,f36089
116.statecounty,AK_Prince of Wales-Hyder Census Area,AR_Dallas
1071.fipstwo,f21a143,f21143
2752.fipstwo,f4e8279,f48279
1901.fipstwo,f13167,f31167
2267.fipstwo,f24025,f42025
51.statefips,2.0,1
2360.county,Juana DiazM unicipio,Juana Diaz Municipio
42.fips,2150.0,1025
2145.statecounty,O_Beaver,OK_Beaver
137.county,Anchorage Municipality,Little River 
2834.statecounty,TX_Tery,TX_Terry
119.county,Dillingham Census Area,Faulkner 
3181.countytwo,Maqrion ,Marion 
1954.statecounty,NM_Hidalgqo,NM_Hidalgo
430.statefips,32,13
496.statefips,29,13
151.statefips,2.0,5
1333.statevalue,N,MN
276.statecounty,AL_Blount,CO_Gunnison
37.fips,2090.0,1015
1498.statevalue,O,MO
2085.statevalue,H,OH
878.countytwo,Stuben ,Steuben 
1862.county,Hotl ,Holt 
802.county,oWodford ,Woodford 
1697.statevalue,CN,NC
552.statecounty,GUG_uam,GU_Guam
2256.statevalue,A,PA
1418.statecounty,O_Buchanan,MO_Buchanan
85.statefips,2.0,1
2241.countytwo,Mlheur ,Malheur 
137.statecounty,AK_Anchorage Municipality,AR_Little River
2002.statevalue,Y,NY
1894.county,aSrpy ,Sarpy 
2000.fipstwo,pf36017,f36017
886.county,Vigol ,Vigo 
1877.countytwo,McPherkson ,McPherson 
330.fipstwo,f02013,f12009
258.statecounty,AK_Bristol Bay Borough,CO_Chaffee
124.statefips,2.0,5
1861.statecounty,NE_Hitchock,NE_Hitchcock
270.statefips,2.0,8
1747.countytwo,Sclotland ,Scotland 
219.fips,2013.0,6055
1071.statevalue,YK,KY
72.statecounty,AL_Choctaw,AL_Lowndes
218.fips,1033.0,6053
2255.statevalue,AP,PA
389.statevalue,FtL,FL
650.countytwo,Waynre ,Wayne 
26.county,Aleutians West Census Area,Wade Hampton Census Area
1473.county,Miler ,Miller 
933.statecounty,KS_Hrper,KS_Harper
106.fips,1033.0,5019
389.countytwo,Volsuia ,Volusia 
127.statecounty,AK_Skagway Municipality,AR_Howard
244.statecounty,AK_Hoonah-Angoon Census Area,CA_Trinity
1962.countytwo,Qua ,Quay 
149.fipstwo,f02105,f05105
2187.fipstwo,f40079,f40097
356.fips,2100.0,12063
183.fips,2090.0,4012
305.county,North Slope Borough,Saguache 
653.statecounty,IA_Wqinneshiek,IA_Winneshiek
1041.statecounty,Y_Graves,KY_Graves
409.statecounty,GA_Bure,GA_Burke
2953.county,Hanoverp ,Hanover 
111.statefips,2.0,5
2614.county,Angzelina ,Angelina 
228.fipstwo,f02090,f06073
1567.countytwo,eLe ,Lee 
2242.county,Mairon ,Marion 
34.statefips,2.0,1
213.statefips,2.0,6
2253.statecounty,O_RWheeler,OR_Wheeler
833.county,jHarrison ,Harrison 
143.statefips,2.0,5
2652.fipstwo,f4n8081,f48081
3218.countytwo,wCrook ,Crook 
2202.county,Pittsbugr ,Pittsburg 
2054.fipstwo,f3001,f39001
2641.countytwo,Calahan ,Callahan 
2367.fipstwo,f27089,f72089
1205.county,Ccil ,Cecil 
2415.statevalue,lSC,SC
271.fipstwo,f02100,f08039
356.statevalue,LF,FL
1385.fipstwo,f21729,f27129
1058.statecounty,K_YKenton,KY_Kenton
288.countytwo,Logna ,Logan 
230.statefips,2.0,6
576.statefips,100,19
687.statecounty,IDLewis,ID_Lewis
582.statefips,36,19
3049.county,enton ,Benton 
289.county,Juneau City and Borough,Mesa 
2640.countytwo,dCalhoun ,Calhoun 
2954.statevalue,A,VA
389.statecounty,AK_Aleutians East Borough,FL_Volusia
880.countytwo,Switzerrland ,Switzerland 
3119.statecounty,IW_Langlade,WI_Langlade
104.fips,5063.0,5015
3044.countytwo,Washigton ,Washington 
2109.statevalue,H,OH
171.statevalue,sAR,AR
540.statefips,75,13
183.county,LaPaz ,La Paz 
2089.statevalue,OeH,OH
3127.countytwo,uMonroe ,Monroe 
232.statefips,2.0,6
19.statefips,1.0,2
788.countytwo,Sthark ,Stark 
334.fips,2070.0,12017
292.fipstwo,f01133,f08083
1534.countytwo,Caroll ,Carroll 
217.fips,2020.0,6051
108.county,Denali Borough,Cleburne 
2061.fipstwo,fn39015,f39015
1660.statevalue,MhT,MT
114.county,Aleutians East Borough,Crittenden 
317.fips,2013.0,9007
207.county,Dillingham Census Area,Kings 
1256.statecounty,I_Clinton,MI_Clinton
169.statevalue,RA,AR
173.fipstwo,f02050,f60020
280.fips,2060.0,8059
995.countytwo,Wasvhington ,Washington 
1624.county,allatin ,Gallatin 
1541.countytwo,Copiaih ,Copiah 
413.statecounty,GACandler,GA_Candler
1177.fipstwo,f2115,f22115
2072.fipstwo,sf39037,f39037
1461.statecounty,MO_Lafauyette,MO_Lafayette
3174.statecounty,WV_Hacrrison,WV_Harrison
2684.county,Falsl ,Falls 
1337.statecounty,MN_Cottonlwood,MN_Cottonwood
3119.fipstwo,f5567,f55067
1724.fipstwo,f37119***,f37119
1030.county,Edomonson ,Edmonson 
1356.statevalue,NM,MN
2912.fipstwo,f5127,f51027
2108.statecounty,OH_Miaim,OH_Miami
102.statecounty,AK_Wrangell City and Borough,AR_Bradley
2615.fipstwo,f84007,f48007
74.statefips,2.0,1
297.fips,2070.0,8093
1499.fipstwo,f29o195,f29195
2872.statecounty,UT_Davs,UT_Davis
1120.countytwo,Acadija ,Acadia 
1845.countytwo,Dougls ,Douglas 
1326.statecounty,MNBig Stone,MN_Big Stone
2851.statecounty,TX_ebb,TX_Webb
54.fips,2122.0,1049
110.fips,2070.0,5027
1443.countytwo,ranklin ,Franklin 
172.fipstwo,f02198,f60010
103.statecounty,AK_Southeast Fairbanks Census Area,AR_Calhoun
1716.statevalue,CN,NC
2167.fipstwo,f04051,f40051
451.statefips,37,13
293.statecounty,AK_Aleutians East Borough,CO_Montrose
1927.statevalue,J,NJ
1009.county,Bod ,Boyd 
2702.countytwo,Grayso n,Grayson 
1559.fipstwo,f2065,f28065
1352.fipstwo,f2c7063,f27063
1057.statevalue,Y,KY
2777.countytwo,Milma ,Milam 
897.statecounty,KS_Antchison,KS_Atchison
1425.fipstwo,f2035,f29035
1617.countytwo,Cutser ,Custer 
2612.statecounty,TX_Anderpson,TX_Anderson
2474.countytwo,Fnaulk ,Faulk 
295.fips,2100.0,8089
107.fips,1001.0,5021
1470.fipstwo,f2917,f29127
445.countytwo,Emanuele ,Emanuel 
456.statevalue,A,GA
1797.countytwo,liver ,Oliver 
1960.county,Mor a,Mora 
1674.statevalue,NtC,NC
1293.statevalue,MxI,MI
698.county,Twin Falls ***,Twin Falls 
986.statecounty,KS_Smixth,KS_Smith
466.statevalue,AG,GA
315.countytwo,Heartford ,Hartford 
1889.county,Pol ,Polk 
310.statevalue,O,CO
2532.fipstwo,f7031,f47031
2383.county,Sabana Grande Mnicipio,Sabana Grande Municipio
2938.county,Flody ,Floyd 
3027.statevalue,AV,VA
2007.statecounty,N_Essex,NY_Essex
1424.countytwo,Carrol ,Carroll 
2172.statevalue,K,OK
225.countytwo,Sacramenot ,Sacramento 
343.statecounty,AK_Aleutians East Borough,FL_Franklin
1237.statevalue,EM,ME
1550.fipstwo,f2y8047,f28047
716.statevalue,IaL,IL
575.countytwo,Cheroke e,Cherokee 
1999.statevalue,YN,NY
1189.statevalue,AM,MA
1906.fipstwo,f3117g7,f31177
89.fips,2090.0,1119
62.statevalue,LA,AL
73.fips,1023.0,1087
80.statefips,2.0,1
121.statevalue,R,AR
772.statecounty,IL_Peorqia,IL_Peoria
921.county,Ellworth ,Ellsworth 
3047.statecounty,WA_bAdams,WA_Adams
240.statefips,2.0,6
2916.fipstwo,jf51033,f51033
248.county,Aleutians East Borough,Yolo 
725.county,Effinglham ,Effingham 
1342.county,aFribault ,Faribault 
823.countytwo,Fayetet ,Fayette 
729.statevalue,L,IL
123.statecounty,AK_Hoonah-Angoon Census Area,AR_Grant
3062.statecounty,WA_Jefferosn,WA_Jefferson
195.statecounty,AL_Marion,CA_Butte
2319.statevalue,jPA,PA
2486.statecounty,SD_dJerauld,SD_Jerauld
2691.countytwo,Fanklin ,Franklin 
1304.statecounty,MI_Osceoal,MI_Osceola
485.statevalue,A,GA
51.fips,2070.0,1043
404.statevalue,pGA,GA
408.statefips,94,13
1360.statevalue,MvN,MN
1404.countytwo,Wiqlkin ,Wilkin 
2058.fipstwo,f9009,f39009
354.countytwo,Holmesr ,Holmes 
421.statevalue,gGA,GA
2627.statevalue,X,TX
377.statevalue,L,FL
2944.fipstwo,f15640,f51640
2441.statevalue,CS,SC
1350.fipstwo,f2709,f27059
2226.county,Curryz ,Curry 
1412.countytwo,arry ,Barry 
693.fipstwo,f1673,f16073
1180.county,est Baton Rouge Parish,West Baton Rouge Parish
704.countytwo,Boon e,Boone 
955.fipstwo,20121,f20121
2582.statecounty,TNObion,TN_Obion
3067.countytwo,Lwis ,Lewis 
2266.statevalue,AP,PA
350.statecounty,AK_Hoonah-Angoon Census Area,FL_Hendry
80.county,Bethel Census Area,Montgomery 
3145.statevalue,IW,WI
1642.county,Pak ,Park 
2782.statevalue,XT,TX
47.fipstwo,f02185,f01035
901.countytwo,Brwon ,Brown 
3134.statevalue,WlI,WI
2484.county,yde ,Hyde 
271.fips,2122.0,8039
202.fips,2016.0,6021
945.fipstwo,20101,f20101
967.county,Pagwnee ,Pawnee 
3142.statecounty,WI_Siawyer,WI_Sawyer
272.county,Haines Borough,Fremont 
2730.county,Jak ,Jack 
2620.statecounty,TX_ailey,TX_Bailey
1645.fipstwo,fj30073,f30073
2853.statecounty,TX_Wheepler,TX_Wheeler
2214.fipstwo,f401e45,f40145
402.statevalue,fGA,GA
2780.fipstwo,f43837,f48337
1633.statecounty,T_Lewis and Clark,MT_Lewis and Clark
609.statefips,41,19
348.statecounty,AK_Valdez-Cordova Census Area,FL_Hamilton
85.fips,1055.0,1111
2455.statecounty,SaD_Brookings,SD_Brookings
3049.countytwo,eBnton ,Benton 
541.statefips,24,13
1920.statevalue,HN,NH
1655.statevalue,TM,MT
780.statevalue,L,IL
2444.county,ichland ,Richland 
2729.county,Irigon ,Irion 
3026.statevalue,pVA,VA
340.statevalue,L,FL
2309.fipstwo,f42190,f42109
2816.statecounty,TX_San Pamtricio,TX_San Patricio
561.county,ppanoose ,Appanoose 
2528.countytwo,Cehster ,Chester 
794.statevalue,IdL,IL
256.county,Aleutians West Census Area,Boulder 
3220.county,Goshenf ,Goshen 
646.county,Vna Buren ,Van Buren 
986.statevalue,S,KS
830.statecounty,ING_reene,IN_Greene
2087.countytwo,Harrion ,Harrison 
3095.countytwo,Calrk ,Clark 
2924.fipstwo,51570,f51570
147.statecounty,AK_Anchorage Municipality,AR_Newton
352.statecounty,AK_Hoonah-Angoon Census Area,FL_Highlands
711.statevalue,pIL,IL
532.statecounty,GATreutlen,GA_Treutlen
970.statevalue,S,KS
2346.county,CulebraMunicipio,Culebra Municipio
1732.statevalue,CN,NC
311.county,North Slope Borough,Washington 
2859.countytwo,Winbkler ,Winkler 
1633.statevalue,MjT,MT
3021.county,aWrren ,Warren 
1617.statecounty,MT_Cster,MT_Custer
1421.countytwo,cCallaway ,Callaway 
2347.fipstwo,f72501,f72051
530.statevalue,A,GA
488.statevalue,AG,GA
1002.countytwo,Aderson ,Anderson 
303.statecounty,AK_Bethel Census Area,CO_Rio Grande
2682.countytwo,Elli ,Ellis 
14.county,Anchorage Municipality,Kodiak Island Borough
329.statecounty,AK_Lake and Peninsula Borough,FL_Bradford
362.statevalue,L,FL
327.fips,2013.0,12003
1781.fipstwo,f3033,f38033
72.fipstwo,f02060,f01085
376.statevalue,lFL,FL
2916.county,Cazroline ,Caroline 
264.statevalue,fCO,CO
2138.countytwo,aWyne ,Wayne 
1666.statecounty,NC_Alebxander,NC_Alexander
1639.statevalue,TM,MT
390.fipstwo,f04013,f12129
1235.county,Waldlo ,Waldo 
246.fips,2150.0,6109
233.fips,1045.0,6083
574.statefips,31,19
1916.fipstwo,33011,f33011
200.statecounty,AL_Lawrence,CA_El Dorado
797.fipstwo,f1719r3,f17193
1450.county,Hickorey ,Hickory 
41.fipstwo,f02100,f01023
1387.fipstwo,27133,f27133
808.fipstwo,f1n8011,f18011
2398.statecounty,PR_Yabcoa Municipio,PR_Yabucoa Municipio
1994.county,Broxn ,Bronx 
1231.statecounty,E_Penobscot,ME_Penobscot
1256.statevalue,IM,MI
164.fipstwo,f01079,f05123
3075.countytwo,kSagit ,Skagit 
871.county,Riapley ,Ripley 
710.statecounty,IL_Chamaign,IL_Champaign
989.county,Stbevens ,Stevens 
2346.fipstwo,f7204y9,f72049
320.fips,2110.0,9013
390.countytwo,Wauklla ,Wakulla 
151.fips,2070.0,5109
1306.statecounty,MI_Ostego,MI_Otsego
446.fipstwo,1f3109,f13109
2905.countytwo,Bathl ,Bath 
370.statecounty,AL_Choctaw,FL_Nassau
94.statecounty,AK_Hoonah-Angoon Census Area,AL_Washington
1266.statevalue,I,MI
1625.statecounty,MT_Gsarfield,MT_Garfield
2672.county,Denpton ,Denton 
2345.county,Chorozal Municipio,Corozal Municipio
3046.statecounty,VT_indsor,VT_Windsor
2645.countytwo,Casds ,Cass 
1653.fipstwo,f3a0089,f30089
319.statevalue,TC,CT
249.county,Kenai Peninsula Borough,Yuba 
1636.countytwo,Maison ,Madison 
147.county,Hoonah-Angoon Census Area,Newton 
3047.statevalue,WbA,WA
83.county,iPckens ,Pickens 
2768.fipstwo,f84319,f48319
2709.countytwo,Hahnsford ,Hansford 
845.county,Koscfiusko ,Kosciusko 
283.county,Hoonah-Angoon Census Area,La Plata 
1345.statevalue,MzN,MN
2325.statecounty,PR_Aguase Buenas Municipio,PR_Aguas Buenas Municipio
703.countytwo,oBnd ,Bond 
82.statefips,2.0,1
284.fips,2013.0,8065
544.statecounty,GA_oWebster,GA_Webster
155.county,North Slope Borough,Prairie 
156.fipstwo,f01081,f05119
2009.statecounty,NY_Fultion,NY_Fulton
2753.fipstwo,f4828b1,f48281
2578.fipstwo,f4713,f47123
2084.fipstwo,f9061,f39061
1827.fipstwo,31019,f31019
2589.statevalue,NT,TN
1558.statecounty,MS_Jefferon,MS_Jefferson
373.statevalue,L,FL
829.countytwo,Gran t,Grant 
185.fips,2130.0,4015
2392.county,Trujillo Aylto Municipio,Trujillo Alto Municipio
160.statefips,2.0,5
178.county,Anchorage Municipality,Cochise 
1597.county,Tisthomingo ,Tishomingo 
471.statefips,82,13
215.statecounty,AR_Columbia,CA_Merced
492.statefips,16,13
531.fipstwo,f1321,f13281
959.county,jMorton ,Morton 
161.fips,2105.0,5131
2834.countytwo,Tery ,Terry 
1773.countytwo,Cas ,Cass 
202.statefips,2.0,6
2287.statecounty,A_Jefferson,PA_Jefferson
98.fipstwo,f01055,f05003
2776.countytwo,Midlan d,Midland 
650.statefips,87,19
2890.fipstwo,f4907,f49047
298.statevalue,OC,CO
753.statevalue,L,IL
351.fips,2122.0,12053
274.fips,1041.0,8047
228.fips,5003.0,6073
336.statevalue,fFL,FL
1725.statecounty,NC_Micthell,NC_Mitchell
1929.statecounty,NJHudson,NJ_Hudson
292.statefips,27,8
379.statevalue,LF,FL
1323.statevalue,NM,MN
1022.fipstwo,f2105,f21045
2144.fipstwo,f40005***,f40005
724.countytwo,Edwaprds ,Edwards 
585.statefips,89,19
972.fipstwo,20155,f20155
1771.countytwo,Burkej ,Burke 
2681.statevalue,XT,TX
2204.county,Potawatomie ,Pottawatomie 
236.county,Bethel Census Area,Shasta 
52.fipstwo,f02068,f01045
444.statecounty,GA_Eblert,GA_Elbert
148.fipstwo,f01017,f05103
2582.fipstwo,f4v7131,f47131
43.statefips,2.0,1
1136.county,East Baton Ruoge Parish,East Baton Rouge Parish
3200.statevalue,V,WV
2220.statevalue,OnR,OR
1209.statevalue,D,MD
615.statevalue,IzA,IA
601.statecounty,IA_Henyr,IA_Henry
145.county,Haines Borough,Montgomery 
235.fips,2170.0,6087
1390.county,Sherbuyrne ,Sherburne 
2041.county,St. Lawrece ,St. Lawrence 
3139.statecounty,WI_Rokc,WI_Rock
21.fips,2105.0,2198
185.fipstwo,f02100,f04015
3132.countytwo,Ppein ,Pepin 
66.fips,1129.0,1073
221.statefips,2.0,6
482.statefips,79,13
481.statefips,37,13
246.fipstwo,f02090,f06109
3033.fipstwo,f50001***,f50001
327.fipstwo,f02013,f12003
235.fipstwo,f02130,f06087
3160.countytwo,Boonbe ,Boone 
241.statevalue,bCA,CA
