gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
Yes,No,No,Transportatin,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gsaoline,1999,Biogenic CO2,921,921
Yes,Yes,fYes,Buildings,Energy,Fuel Combustion,Residential,Not Appliecable,Kerosenye,2009,N2O,922,1041
Yes,Yes,es,Industory,nergy,Fuel Combustion,Idustrial,Not Applicabe,Residual zFuel,2014,H4,922,274
Yse,es,Ys,Industry,IhPPU,roduct Use,bNitrous Oxide,No Applicable,Not Applicabmle,1993,N2O,923,1042
No,No,No,xEcluded,Energy,Imported Fossil Fuelzs,Transportation,unker (Vessel),ResidualFuel,1991,NO,929,1049
Yes,oNo,Nto,Transportation,Energky,Fuel Combustion,Transportation,Military,Distillate Fuel,2013,Biogenic CO2,930,930
Yes,Yes,zNo,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imorts,Not Applicable,Petroleum Coke,1995,CH4,930,277
Yes,Yeas,Yeqs,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1998,N2O,930,1050
Yes,es,oN,Indusry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applircable,DistillateFuel,1998,CO2,931,931
Yes,Yes,Ys,Industy,IPPU,Product Use,Nitrous Oxide,Not Applicable,Not Applicabel,1999,N2O,932,1052
Yes,eYs,es,Industry,aIPPU,Product Use,NitrousO xide,Not Applicable,Not Applicable,2001,rN2O,934,1054
Yes,Yes,Yes,ndustry,IPU,Product Use,Nitrous Oxide,Not Applicable,Not Applicable,1998,N2O,937,1058
Yes,Yse,uNo,Electricity,Energy,Imported Electricity,Direct Electricity Impots,Not Apaplicable,All,1996,NO2,938,1058
Ys,Ys,No,Indutsry,Energy,Imported Fossil Fuels,Ohter Fossil Fuel Use,Not Applicable,Distillate Fuel,1994,C4H,938,279
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Transportation,Nonroad - Pipelines,NaturalGas,2005,C4,938,279
pYes,Yes,No,Industry,Enezrgy,Imported Fosil Fuels,Transportation,Nonroad - Pipelines,Natural Gas,2017,No2O,939,1060
Yes,es,Yes,xIndustry,IPUP,Product Use,Nitrous Oxide,Not Applicable,Not Applicable,2000,2NO,939,1060
Yes,Yes,Yes,Transportation,Enjergy,Fuel Combustion,ransportation,Nonroad - Railroad,Distillate Fuel,1994,CH4,939,280
eYs,Yes,Yews,Electricity,Eneryg,Fuel Combustion,Electric Power,Not Applicable,Residuawl Fuel,2010,N2O,941,1062
Yes,Yes,No,Buildinwgs,Enregy,Imported Fossil Fuels,Residvential,Not Applicable,PG,2005,N2O,941,1062
Yes,Yes,gNo,Indsutry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Caol,1997,CO2,941,941
Yhes,Yes,Yes,Industry,IPPU,Electronics,Semiconductor Industry,Not Applicable,Not Applicable,1996,NF3,943,1268
Yes,Yes,No,Industry,Energy,Imported Fossi lFuels,Industiral,Not Applicable,Special Naphthas,2002,CO2,943,943
Yes,eYs,Yes,Industrjy,IPoPU,Product se,Nitrous Oxide,Not Applicable,Not Applicable,1997,N2O,945,1067
Yes,Yes,es,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1994,2O,945,1067
Yes,Yes,No,Industry,Eneryg,Imported Fossil Fuels,Industrial,Not Aplicable,Petrolieum Coke,2001,N2O,945,1067
Yse,Yes,es,Buildings,Energy,Fue Combustion,Residential,Notg Applicable,Kersoene,2010,N2O,946,1068
Yes,Yse,Yes,nIdustry,IPkPU,Electronics,Semicondutor Industry,Not Applicbale,Not Applicbale,2019,SF6,947,1233
Ys,Yes,No,Iwndustry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Spefcial Naphthas,1995,COm2,950,950
Yes,Ys,eNo,Industry,Energy,Imported Fossil Fuels,Industrial,qNot Applicable,Residual uFel,1993,N2O,952,1075
Yes,Yes,No,Industry,Energy,Impodrted Fossil Fuels,Industrial,Not Applicable,Coal,1995,2O,953,1075
Yes,Yes,Yse,Buildeings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2000,2O,955,1078
Yes,Yes,Yces,Industry,Eneryg,Fuel wCombustion,Industrial,Not Aplicable,Speial Naphthas,2012,CO2,956,956
Yes,Yes,No,Industry,Energy,Impodrted Fossil Fuels,Transportation,Nonroad - Pipelines,Naural Gas,2019,N2O,957,1080
Yes,Yes,o,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,NG,1991,CkH4,958,285
es,Yels,yNo,Biuldings,Enegry,Imported Fossil sFuels,Resdiential,Not Applicable,LPG,2003,N2O,958,1082
Yies,zYes,Nuo,Industry,Eneryg,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicabel,Distillate Fuel,1991,CH4,959,285
Yes,Yes,No,kIndustry,Enregy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applimcable,Distillate Fuel,1992,CH4,960,286
eYs,Yes,Yes,Transporttaion,Energy,Fuel Cmobustion,Transportatioen,Nonroad - Miscellaneous/Unclassified,asoline,2015,CH4,961,286
Yes,Yes,Nto,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,eLPG,2007,N2wO,963,1087
Ydes,Yes,Nzo,Industyr,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphalt and Road Oil,1991,N2O,964,1088
es,Yes,gNo,oBuildings,Enegry,Imported Fossil Fuels,Residential,Not Applicbale,Cal,2005,CO2,964,964
Yse,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphalt and Road Oil,2011,NO2,964,1089
Yes,Yes,No,Trnasportation,nergy,Imported Fossil Fuels,Transportation,Nonroad - Marine/Boating,Gasoline,2017,NO2,965,1089
Yes,Yes,Yse,Transporttaion,Enegy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,2017,C4H,965,287
Yes,Yse,oN,Electricity,Energcy,Imported Fossil Fuels,Net Electircity Imports,Not iApplicable,Coail,1994,uN2O,966,1090
Yes,Yes,Yes,Indutsry,Energy,Fuel Combustion,Industrial,Not Applicable,Residual Fuel,2012,CH4,966,288
Yes,es,eYs,Transportation,Energy,Fuel Combustion,Transprtation,Nonroad - Miscellaneous/Unclassified,Gasoline,2010,2NO,967,1091
Yes,Yes,No,lectricity,nEergy,mported Electricity,Direct Electricity Imports,Not Applicable,All,2019,N2O,967,1091
Yes,Yes,No,Buildings,Enrgy,Impored Fossil Fuels,Residetnial,Not Applicable,Coal,2006,CO2,967,967
Yes,eYs,No,Buildings,Energy,Importd Fossil Fuels,Residential,Not Applicable,LPG,2002,N2O,969,1093
Yeks,Yes,es,Electricity,Enrgy,Fuel Combustion,Electric Power,eNot Applicable,Cola,2016,H4,970,289
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel sUe,Not Applicable,Asphaltu and Road Oil,2010,N2xO,972,1097
Yse,Yes,No,Industry,Enegry,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphalt andRoad Oil,2012,2O,972,1098
Ys,Yes,No,Electricity,Energy,Imported Fossil uels,Net Electricity Imports,Not Applicbale,Coal,2007,2O,974,1099
Yes,Yes,No,Transporutation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Marine/Boating,Gasoline,2016,N2O,975,1101
Yes,Yes,No,Buildinsg,Eneryg,Imported Fossil Fuels,Residential,Not Applicable,Coal,2001,CO2,976,976
Yes,Yes,No,Buildings,Energy,Importevd Fossil Fuels,Residential,Not Applicabale,Croal,2007,CO2,977,977
Ys,eYs,No,Electricity,nergy,Importezd Fossil Fuels,Net Electriciy Imports,Not Applicable,Coal,2004,N2O,978,1104
eYs,Yels,No,ndustry,Energy,Imported Fossil Fuels,Industrial,Not Appliacble,Special Naphthsa,2003,CH4,978,291
Yes,Yes,No,uBildings,Energy,Imported Fossil Fuels,Residential,Not Applcable,Coal,2000,CO2,980,980
Yes,Yes,No,Electricity,Energy,Imported Fossi lFuels,Net Electricity Imports,Not Applicable,Natural Gas,2010,N2O,982,1109
Yes,Yes,o,Indusry,Enegy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,kAsphalt and Road Oil,2013,NO2,983,1110
Yes,Yes,Yes,Trasportation,Energy,Fuel Combustion,Transhportation,Nonorad - Aviation,Aviatoin Gasoline,2013,H4,984,293
Yes,No,No,Tranlsportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,2011,Biogenic CO2,985,985
Yes,Yes,o,Industry,Energy,Imported Fssil Fuels,Industrial,Not Applicable,Petroleum Coke,2007,N2O,985,1112
Yse,Yse,Yse,Transportation,Energy,Fuel Combustion,Transportation,Militayr,Residual Fuel,1990,cCH4,986,293
Yes,Yes,No,Electricmity,Energy,Imported Electricoity,Direct Electricity Imports,Not Applicable,All,2005,jN2O,986,1113
Yes,Yes,No,Buildings,Energy,Imported Fossilw Fuels,Residential,Not Applicable,LPG,2004,N2uO,989,1116
Yces,es,oN,Electricity,Energy,Imported Electricity,Direct Electricity mIports,Not Applicable,All,2016,N2O,991,1119
Yes,Yes,wNo,Elnectricity,nergy,Imported Fossil Ftuels,Net Electricity Imports,Not Applicable,Coal,2013,N2O,993,1120
Yes,Yse,Yse,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Residual Fuel,2014,CH4,993,296
Yes,Yes,o,Industry,Eneryg,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphalt and Road Oil,2018,NO2,996,1125
Yse,eYs,oN,Industry,Energy,Imported Fossil Fuels***,Inustrial,ot Applicable,Coal,1996,N2O,1000,1129
Yes,Yes,Yes,Transportation,Energy,Fuel Cmbustion,Transoprtation,Military,Distillate Fuel,2001,CH4,1001,298
Yes,zYes,No,Industry,Energy,Ipmported Fossil Fuels,Tranhsportation,Nonroad - Pipelines,Natural Gas,2018,N2O,1002,1132
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Ismports,Not Applicabe,Petroleum Coke,2003,CO2,1004,1004
es,Yse,Nro,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Distillate Fuel,2003,CH4,1005,299
Yes,Yes,No,lEectricity,Energy,Imported Electricity,Direct Electricity Imorts,aNot Applicable,All,1994,N2O,1008,1137
Yes,es,Yes,Industyr,Energy,Fuel Combustion,Industriaxl,Not Applicable,Kreosene,2005,CH4,1010,300
Yes,No,No,Transportation,Energy,Feuel Combustion,Transportation,Military,Ditillate Fuel,2018,Biogenic CO2,1010,1010
Yes,eYs,No,ndustry,Energy,Imported Fossil Fuels,Other Fossil Fuevl Use,Not Applicable,Distillate Fuel,1993,CO2,1011,1011
Yes,oN,No,Trasnportation,Energy,Fuel Combustino,Transprtation,Nonroad - Marine/Boating,Gasoline,1998,Biogenic CO2,1014,1014
Yes,Yes,No,Industy,Energy,Imported Fossil Fuels,Othre Fossil Fuel Use,Not Applicable,Asphalt and Road Oil,2019,N2O,1017,1148
Yes,Yes,Yes,Electricity,Energy,Fuel Combusion,Electirc Power,Not Applicable,Distillaite Fuel,1997,N2nO,1017,1148
Yes,Yes,Yes,Electricity,Eergy,Fuel Comsbustion,Electric Power,Not Applicable,Residual Fuel,2015,2NO,1020,1152
Yes,Yes,Yes,Electricity,Eneryg,Fue lCombustion,Electric Power,Not Appilcable,Distillate Fuel,2005,NO,1021,1152
Ys,Yes,No,Industry,Energly,Ipmorted Fossil Fuels,Indusrial,Not Applicable,Petroleum oke,2008,N2O,1022,1154
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,ot Applicable,Asphalt ad Road Oil,2001,N2O,1023,1154
Yes,Yes,Yes,Elejctricity,Enregy,Fuel Combustion,Electric Power,Not Applicable,Distillate Fuel,1999,CH4,1024,305
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Mliitary,Distillate Fuel,2016,Biogenic CfO2,1026,1026
Yeis,Yse,No,Electricity,Energy,Imported Fossil Fuels,Direct Electriciyt Imports,Not Applicable,Distillate Fuel,2008,CH4,1026,305
Yse,Yes,o,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,1990,C4H,1027,306
Yes,No,No,Transportatison,Enerbgy,Fuel Comustion,Transportation,Nonroad - Lawn and Garden,Gasocline,1994,Biogenic CO2,1028,1028
eYs,Yes,Yes,Industrzy,Energy,Fuel Cmbustion,Industrial,Not Applicable,Kerosene,1996,CH4,1029,306
Yes,Yes,es,Industry,IPPU,Eletcronics,Semiconuctor Industry,Not Appklicable,Not Appliscable,2016,SF6,1029,1341
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Ellectric Power,Not Applicable,Distillate Fuel,2002,CH4,1035,308
Yes,Yes,eYs,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,2016,CH4,1036,308
Yes,Yes,No,Electricity,Energy,Imported Electricity,Direct Electricity Imports,Not Applicable,Al,2015,N2O,1038,1171
Yes,Yes,o,Electricity,Enery,Imported Fossil Fuels,Direct Electricity Imports,No tApplicable,Ntaural Gas,1998,N2O,1040,1173
Ys,Yes,Yes,Idustry,Enegy,Fuel Combustion,Transportation,Nonroad - Pipelines,NaturalG as,2006,CH4,1040,310
Yes,Yse,Yes,Industry,IPPU,Eletronics,Semiconductor Industry,Not Applicale,Not Apwplicable,2013,SF6,1041,1357
Yes,Yecs,o,fIndustry,zEnergy,Imported Fossi Fuels,Industrial,Not Applicbale,Coal,1999,NO2,1042,1177
Yes,Yes,No,Industry,Energy,Importde Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphalt and Road Oil,2017,N2O,1043,1177
es,Yes,No,Industry,Energy,Imported Fossi lFuels,Industrial,Not Appilcable,Cola,1994,N2O,1044,1178
Yes,Yets,No,Industry,Enery,Imported Fossil Fuels,Industrial,Not Applcable,Coal,1993,N2O,1048,1183
Yes,Yes,No,Electricity,Energy,Imported Electricity,Direct Electricity mIports,Not Applicable,hAll,2004,N2O,1052,1187
Yes,Yes,Yes,Buildings,Energy,Fuel Cobmustion,Commercial,Not Applicable,Coal,2001,NO2,1055,1190
Yes,es,Yes,Electricity,Energy,Fuel Combustion,Electric Power,Not Applicable,Disitillate Fuel,1995,Nz2O,1055,1191
Yes,es,No,Industry,Eneryg,Imported Fossil Fuels,Industrial,Not Applicable,Special Naphtchas,1991,H4,1057,314
Yse,Yes,Yes,Transportation,Enerjgy,Fuel xCombustion,Transportation,Nonroad - Publc Nonhighway,Gasoline,1993,H4,1058,315
Yes,Yes,No,Transportation,Energy,Ipmorted Fossil Fuels,Transportation,Nonroad - Industrial/Commercial,Gasolne,2018,2O,1059,1195
Yes,Yes,Yse,Industry,IPUP,Electronics,Semiconductor Industry,Not Applicable,Not Applciable,2001,N2O,1059,1195
Yes,zYes,oN,Indusptry,Enexrgy,Imported Fossil Fuels,Other Fossjil Fuel Use,Not Applicable,Distillate Fel,2002,O2,1061,1061
Yse,Yes,No,Industry,Energy,Imported Fossil Fuelps,Industrial,Not Applicable,oal,2001,2O,1061,1197
Yse,Yes,oN,Industry,Eneorgy,Imported Fossil Fuels,Othr Fossil Fuel Use,Not Applicable,Coal,2001,N2O,1061,1198
Yes,Yes,o,Industry,Energy,Impotred Fossil Fuels,Industrial,Not Applicable,Petroleum Coke,2005,NO,1062,1198
eYs,Yes,No,Electricity,Energy,Imported Electricity,Direct Electricihty Imports,Not Applicabel,All,2002,N2O,1062,1199
Yes,Yes,o,Industry,Enerngy,Imported Fossil Fuels,Other Fossil Fuel Use,Nto Applicable,Asphalt and Road Oil,2000,N2O,1063,1199
es,Yes,Yes,Transportaion,Energy,Fuel Combustion,Transportation,Nonroad - Aviatoin,Aviation Gasoline,2010,CH4,1063,317
No,No,No,Excluded,Enregy,Imported Fosisl Fuels,Transportation,Bunker (Vessel),Residual Fuel,2002,2O,1064,1201
Yes,Yes,Ybes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1991,CH4,1065,317
sYes,Yse,No,Electrictiy,Energy,mIported Fossil Fuels,Direct Electricity Imeports,Not Applcable,Natural Gas,1996,N2O,1065,1202
Yse,No,o,Transportation,Eunergy,uel Combustion,Transprtation,Nonroad - Marine/Boating,Gasoline,2000,Biogenic CO2,1066,1066
Yse,hYes,Yes,Electricity,Eneryg,Fuel Combustion,Electric Power,Not Applicable,Distillate Fule,1994,CH4,1068,318
Yse,Ys,Yeps,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneosu/Unclassified,Gsaoline,1992,H4,1069,318
es,Yes,Yes,Tarnsportation,Energy,Fuel Combustion,Transportation,Nonroad - ublic Nonhighway,Gasoline,1994,C4H,1070,319
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuesl,Transporattion,Nnroad - Industrial/Commercial,Gasoline,2015,2O,1070,1208
Yes,Ys,Yes,Buildings,Energy,FuelCombustion,Commercila,Not Applicwable,Kerosene,1991,CH4,1071,319
Yse,Ys,Yse,Transportation,Eneryg,Fule Combustion,Transportation,Nonroad - Railrod,Distillate Fuel,1991,N2O,1071,1209
Yes,Yes,Yes,Industry,IPPU,Electronics,Semiconductor Indutry,No Applicable,Not Applicable,1998,N2O,1073,1212
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Industrial/Commercial,Gasoline,2019,Nv2O,1078,1216
Yes,Ys,oN,Industry,Eneryg,Imported Fossil Fuels,Other Fossil Fuel Ues,Not Applicable,Distillate Fuel,2003,CO2,1080,1080
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,et Electricity Imports,Nwot Applicable,oal,2005,N2O,1081,1220
Yes,eYs,No,Electricity,Energy,Imported Electricity,Direct Electricity Imports,Not Applicable,All,2018,N2O,1081,1220
Yes,eYs,No,Electricity,Enery,Imported Fossil Fuels,NetElectricity Imports,Not Applicable,Coal,1993,N2O,1081,1220
Yes,Yes,No,Inudustry,Energy,Imported Fossli Fuels,Other Fossil Fuel Use,Not Applicable,Asphalt nd Road Oil,2014,N2O,1081,1220
Yes,Yes,No,Transportatino,Energy,Imported Fossil Fuels,Transportation,Nonroad - Industrial/Commercial,Gasoline,2016,N2O,1082,1221
Yes,Yes,fNo,Electricity,Energy,Imported Fssil Fuels,tDirect Electricity Imports,Not Appligcable,Natural Gas,2011,N2O,1082,1221
Yes,Yes,Yes,Transportatino,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1995,eCH4,1084,323
Yes,Yes,No,Indsutry,Energty,Imported Fsosil Fuels,Other Fosil Fuel Use,Not Applicable,Asphalt and Road Oil,2015,2NO,1084,1224
Yes,Yes,No,Industry,Energy,Imported Fossilr Fuels,Industrial,Not Applicable,oal,1998,2O,1087,1226
eYs,Yes,No,Industry,Energy,Improted Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphlat and Road Oil,2006,2NO,1087,1227
Yes,Yes,Yes,Transortation,Energy,Fule Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1997,CH4,1088,324
Yebs,es,oN,Idnustry,Enkergy,Imported Fossil Fuels,Other Fossil Fuel Use,Not pAplicable,Petroleum Coke,2000,CO2,1089,1089
Yes,Yes,o,Transportation,Energy,Imported Fossil Fuels,ransportation,Nonroad - Industrial/Commercial,Gasoline,2017,N2qO,1090,1230
Yes,Yes,iNo,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Natural Gsa,1995,N2O,1090,1231
Yes,Yes,No,Electricity,Energy,Imported Electricity,Direct Electricity Importcs,Not Applicable,Alfl,2003,N2O,1091,1231
es,Yes,Ybes,Eletricity,Energy,Fuel oCmbustion,Electric Power,Not Applicable,Distillate Fuel,2000,CH4,1092,325
qYes,Yes,No,Electricity,Energy,Ipmorted Fossil Fuels,Net vElectricity Imports,Not Apbplicable,Natural Gas,2018,N2O,1094,1235
fYes,Yes,es,Transportation,Energy,Fuel Combustion,ransportation,Nonroad - uPblic Nonhighway,Gasoline,1996,CH4,1095,326
Yefs,Yes,No,Industry,Energy,Imported Fossil Fuels,Induustrial,Not pplicable,Petrolum Coke,2006,N2O,1096,1237
Yes,Yes,Yves,Transportation,Energy,Fuel Combustion,Trnasportation,Nonroad - Public Nonhighway,asoline,1998,CH4,1099,327
Yves,Yes,No,Buildings,Energy,Imported Fossil Fuels,Rsidential,Not Applicable,LPG,2000,Ns2O,1099,1241
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Distillate Fuel,1990,HC4,1100,327
eYs,Yse,es,Trandsportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscyellaneous/Unclassified,Gasolie,2011,2NO,1102,1244
Ys,Yes,No,Industry,Energy,Imprted Fossil Fuels,Trnsportation,Nonroad - Pipelines,Natural Gas,2014,2O,1104,1247
es,Yes,Ys,ransportation,Eunergy,Fuel Combustion,Transportaion,Nonroad - Miscellaneous/Unclassified,Gasolien,2013,N2O,1105,1247
es,No,No,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,2015,Biogenic CO2,1108,1108
es,Yes,eYs,Transportaion,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Aviation Guasoline,2012,CH4,1111,331
Yets,yYes,Yes,Transportation,Energy,Fuel Combustion,Transpolrtation,Nonroad - Public Nonhighway,Gasioline,1999,CH4,1113,331
Yes,Yes,Nfo,Electrkicity,Energy,Imported zFossil Fuels,Direct Electricity Imports,eNot Applicable,Natural Gas,2010,2NO,1115,1258
Yes,Yees,Yes,Transpotration,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel***,1991,2O,1115,1259
iYes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Dirwect Electricity Imports,Not Applicale,Natural Gas,1997,N2O,1117,1261
Yes,Yes,oN,Electricity,Energy,Imporrted Fossil Fuels,Direct Electricity Imports,Not kApplicable,Natural Gas,1994,2O,1118,1262
Yes,Yes,aYes,Eliectricity,Energy,Fuel Combustion,Elcetric Power,Not Appliacble,Distillate Fuel***,2003,HC4,1118,333
Yes,Yes,Yes,Industy,Energy,Fuel iCombustion,Transportation,Nonroad - Pipelines,Naural Gas,2009,CH4,1119,333
Yes,yYes,Yse,Transportatino,Energy,Fuel Combustion,Transpotration,Road,CNG,1993,CO2,1120,1120
Yes,xYes,Yes,Trasportation,Energy,Fuel Combustiokn,Transportation,Nonroad - Public Nonhighway,Gasoline,2000,CH4,1120,333
Yes,Yes,No,Electricity,Eneryg,Imported Fossil Fuels,Direct Electricity Imports,Not Aplpicable,Ntural Gas,2001,N2O,1123,1267
eYs,uYes,No,Industry,nergy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applimcable,Asphalt and Road Oil,1992,Nn2O,1123,1268
Yes,Yes,Yes,Transporttaion,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,lGasoline,2016,N2O,1125,1269
es,Ys,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassifiqed,Gasolirne,2005,H4,1126,335
Yes,Yies,Yes,Electricity,rEnergy,Fuel Combusion,ElectricPower,Not Applicabe,Dstillate Fuel,2004,Nl2O,1128,1273
Yes,Yes,eYes,Industry,IPPU,Electronics,Semconductor Industry,Note Applicable,Not Applicable,2012,SF6,1129,1471
Yes,Yes,No,Industry,nergy,Imporetd Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphalt and Road Oil,2005,N2O,1129,1274
Yes,Yse,lNo,Elctricity,Eergy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,PetroleumCoke,1995,CO2,1130,1130
Yse,Yes,No,Buildigns,Energby,Imported Fossil Fuels,Commercial,Ndot Applicable,esidual Fuel,2013,N2O,1131,1277
Yes,No,o,Transportation,Energy,Fuel Combustion,Transportation,Militay,Distillate Fuel,2017,Biogenic CO2,1131,1131
es,Yse,Yse,Industry,Energy,Fuel Combustion,Industrail,Not Applicable,Special Naphthas,2011,CO2,1132,1132
Yes,Yes,oN,Industry,Energy,Imported Fossil Fueels,Industrial,Not Applicable,Special Naphthas,1992,CH4,1136,338
zYes,Yes,oN,Electricity,Enregy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Distillate Fugel,2015,CO2,1138,1138
Yes,Yes,oN,Industry,Eergy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicabmle,Distillatne Fuel,2000,CzO2,1138,1138
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportatoin,Military,Distillat Fuel,1995,CH4,1138,339
Ys,Yes,Yes,Industry,Energy,Ful Combustion,Trasportation,Nonroad - Pipelines,Natural Gas,2008,CH4,1139,339
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fue lUse,Not Applicable,Asphalt and Road Oil,1996,NO,1141,1288
oN,No,o,Ecluded,Energy,Imported Fossil Fuels,Transportation,Bunke r(Vessel),Residual Fuel,2001,pN2O,1141,1288
Yes,Yers,oN,Industry,Energy,Impoorted Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphal tand Road Oil,2016,2O,1144,1291
Ys,Yes,Yes,Transportawtion,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1993,N2bO,1146,1294
Yes,Yes,No,Idnustry,Enerfgy,Imported Fossil Fuels,Other Fossil Fucel Use,Not Applicable,Asphalt andh Road Oil,1999,N2O,1148,1296
Yes,Yes,Nvo,Industry,Eneryg,Imported Fcossil Fuels,Industrial,Not Applicable,Cocal,2000,2O,1153,1302
Yes,gYes,Yes,Transportation,Enegry,Fuel Combustion,Transportation,Nonroad - Aviation,Aviation Gasoline,2011,CH4,1154,343
Yes,Yes,No,Industry,Enrgy,Imported Foossil Fuels,Industrial,Not Applicable,Residual Fuel,1990,N2O,1156,1305
Yse,Yes,Yes,Transportation,Energy,Fuel Combustion,Tnransportation,Military,Distillate Fuel,2018,CHv4,1160,345
Yes,aNo,oN,Transportation,Energy,Fuel Combustion,Transportaton,Nonroad - Miscellaneous/Unclassified,Gasoline,2012,Biogenic CO2,1161,1161
Yes,Yes,No,Electrciity,Enrgy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Natural Gas,2009,NO2,1161,1311
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Eelctricity Imports,Not Applicalbe,Natural Gas,1993,NO,1162,1311
Ys,Yes,No,Electricity,Energy,Imported Electricity,Direct Electricity Imports,Not Applicable,Abll,2014,Nr2O,1162,1311
Yeds,Yes,No,Electricity,Eneryg,Improted Fossil Fuels,Direct Electricity Imports,Not Applicable,Naturalw Gas,2012,2O,1162,1311
eYs,Yes,Yes,Inudstry,Energy,Fuel Combustion,Industrbial,Not Applicable,Special Naphtas,2010,CO2,1163,1163
Yes,Ys,Yes,Industry,Enrergy,Fuel Combustion,Transportation,Nonroad - Pipelines,Natural as,2007,H4,1163,346
Yes,Yees,o,Industry,Envergy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Asphalt and Road Oil,1997,N2O,1163,1313
Yes,es,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Distillate Fuel,2001,C4,1163,346
Yecs,Yes,Yes,Transportation,Enerhgy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1997,N2O,1164,1313
es,o,No,Transportation,Enregy,Fuel Combustion,Transportaton,Nonroad - Recreational Vehicle,Gacsoline,1997,Biogenic CO2,1164,1164
No,No,No,Excluded,Energy,Fuel Combustion,Transportatioon,Bunker (Vessel),Distillate Fuel,2017,zN2O,1167,1318
