Division,Name,Launch Date,Phase
Planets,"MESSENGER MErcury Surface, Space ENvironment, GEochemistry and Ranging (MESSENGER) is a scientific investigation of the planet Mercury, the least explored terrestrial planet. This mission is part of SMD's Discovery program.","20040803 August 03, 2004",3Operating
Heliophysics,"MMS The Magnetospheric Multiscale mission will determine the small-scale basic plasma processes which transport, accelerate and energize plasmas in thin boundary and current layers – and which control the structure and dynamics of the Earth's magnetosphere. MMS will for the first ...",20150312 March 2015,3Operating
Earth,MOMS The Modular Optoelectronic Multispectral Scanner (MOMS) is a scanning system (based on CCD technique) for airborne and predominantly spaceborne geoscientific remote sensing application.,"19830618 June 18, 1983",4Past
Earth,"MOS Marine Observation Satellite (MOS-1), Japan's first marine observation satellite, was launched in 1987 as a link in a global satellite observation system for more effective natural resource utilization and for environmental protection.","19870219 February 19, 1987",4Past
Earth,"NAAMES The North Atlantic Aerosols and Marine Ecosystems Study (NAAMES) is a high-impact, interdisciplinary investigation focused on marine ecosystems and aerosol properties in the climate sensitive North Atlantic. NAAMES will study the annual life cycle of phytoplankton and the impact small ...","20150115 January 15, 2015",2Development
Planets,"NEAR-Shoemaker As the first spacecraft to orbit and land on an asteroid, the Near Earth Asteroid Rendezvous Shoemaker mission continues to answer fundamental questions about the nature and origin of near-Earth objects. This mission is part of SMD's Discovery Program.","19960217 February 17, 1996",4Past
Planets,"New Horizons The New Horizons Pluto-Kuiper Belt Mission will help us understand worlds at the edge of our solar system, by making the first reconnaissance of Pluto and Charon. The mission will then visit one or more Kuiper Belt Objects, in the ...","20060119 January 19, 2006",3Operating
Astrophysics,"NICER The Neutron star Interior Composition ExploreR (NICER) is a NASA Astrophysics Explorer Mission of Opportunity dedicated to the study of the extraordinary gravitational, electromagnetic, and nuclear-physics environments embodied by neutron stars.",20170201 February 2017,2Development
Earth,"Nimbus The Nimbus series of missions was the United States’ primary research and development platform for satellite remote-sensing of the Earth. The satellites increased the scientific community’s knowledge of the Earth’s atmosphere, land surface and ecosystems, weather, and oceanography.","19640827 August 27, 1964",4Past
Earth,"NISAR The proposed NASA-ISRO Synthetic Aperture Radar (NISAR) Mission, a collaboration between the National Aeronautics and Space Administration (NASA) and the Indian Space Research Organization (ISRO) would acquire radar images of surface changes globally.",20200401 2020,1Under Study
Earth,"NOAA-N NOAA-N broadcasts data directly to thousands of users around the world and continues to provide a polar-orbiting platform to support the environmental monitoring instruments for imaging and measurement of the Earth's atmosphere, its surface, and cloud cover. Observations include information ...","20050520 May 20, 2005",3Operating
Earth,"NPOESS The National Polar-orbiting Operational Environmental Satellite System (NPOESS) is a satellite system used to monitor global environmental conditions, and collect and disseminate data related to weather, atmosphere, oceans, land and near-space environment. This mission is part of the GOES/POES program.","20140331 March 31, 2014",2Development
Astrophysics,NuSTAR The Nuclear Spectroscopic Telescope Array is a pathfinder mission that will open the high energy X-ray sky for sensitive study for the first time. This mission is part of SMD's Astrophysics Explorers program.,"20120613 June 13, 2012",3Operating
Astrophysics,OAO The Orbiting Astronomical Observatory (OAO) was a series of four satellites launched by NASA between 1966 and 1972.,,4Past
Earth,"OCO OCO provided space-based observations of atmospheric carbon dioxide (CO2), the principal human-initiated driver of climate change. This mission used mature technologies to address NASA's highest priority carbon cycle measurement requirement. OCO generated precise global maps of the abundance of CO2 ...","20090224 February 24, 2009",4Past
Earth,"OCO-2 The Orbiting Carbon Observatory -2 (OCO-2) is based on the original OCO mission that was developed under the NASA Earth System Science Pathfinder (ESSP) Program Office and launched from Vandenberg Air Force Base on February 24, 2009. Before spacecraft separation, ...",20140702 July 2014,3Operating
Earth,"OCO-3 Orbiting Carbon Observatory – 3 (OCO-3) is a complete stand-alone payload built using the spare OCO-2 flight instrument, with additional elements added to accommodate installation and operation on the International Space Station (ISS).",20161215 December 2016,2Development
Earth,OMG Oceans Melting Greenland (OMG) will pave the way for improved estimates of sea level rise by addressing the question: To what extent are the oceans melting Greenland’s ice from below?,20150401 April 2015,2Development
Earth,OMPS-Limb The advanced Ozone Mapping and Profiler Suite (OMPS) tracks the health of the ozone layer and measures the concentration of ozone in the Earth's atmosphere.,20211101 November 2021,1Under Study
Earth,Operation IceBridge Operation IceBridge is a six-year airborne campaign designed to capture geophysical measurements of changes in polar ice sheets and sea ice during a gap in the space-based observations of ICESat and ICESat-2.,"20091015 October 15, 2009",3Operating
Earth,ORACLES ORACLES (ObseRvations of Aerosols above CLouds and their intEractionS) is a five year investigation with three deployments designed to probe how smoke particles from massive biomass burning in Africa influences cloud cover over the Atlantic. Particles from this seasonal burning ...,"20150201 February 01, 2015",2Development
Astrophysics,"ORFEUS-SPAS II ORFEUS-SPAS II mission conducted investigations of celestial sources in the far and extreme ultraviolet spectral range, and to increase understanding of the evolution of stars, the structure of galaxies, and the nature of the interstellar medium.","19961120 November 20, 1996",4Past
Planets,"OSIRIS-REx NASA will launch a spacecraft to an asteroid in 2016 and use a robotic arm to pluck samples that could better explain our solar system's formation and how life began. The mission, called Origins-Spectral Interpretation-Resource Identification-Security-Regolith Explorer, or OSIRIS-REx, will ...",20160901 September 2016,2Development
Earth,"OSTM OSTM measures sea surface height to an accuracy of < 3.3 cm every ten days. Sea surface topography measured by satellite altimeters has numerous applications important to global environmental monitoring including predicting hurricane intensification, improving tide models, mapping deep ocean ...","20080620 June 20, 2008",3Operating
Earth,"PACE The Pre-Aerosol, Clouds, and ocean Ecosystem (PACE) mission will make global ocean color measurements essential for understanding the carbon cycle and how it both affects and is affected by climate change, along with polarimetry measurements to provide extended data records ...",TBD,1Under Study
Planets,Phoenix Phoenix seeks to verify the presence of the Martian Holy Grail: water and habitable conditions.,"20070804 August 04, 2007",4Past
Planets,"Pioneer 10 & 11 These Pioneer missions traveled through the asteroid belt to observe Jupiter, Saturn and continue on to the outer solar system.","19720303 March 03, 1972",4Past
Planets,Pioneer Venus Missions Pioneer Venus consisted of two spacecraft to study Venus: the Orbiter and the Multiprobe.,"19780520 May 20, 1978",4Past
Astrophysics,"Planck Planck is imaging minor variations relevant in the Cosmic Background Radiation over the whole sky, with unprecedented sensitivity and angular resolution. Planck is providing information relevant to several cosmological and astrophysical issues, such as testing theories of the early universe ...","20090514 May 14, 2009",4Past
Heliophysics,"Polar Polar is the second of two NASA spacecraft in the Global Geospace Science (GGS) initiative and part of the ISTP Project. GGS is designed to improve greatly the understanding of the flow of energy, mass and momentum in the solar-terrestrial ...","19960224 February 24, 1996",4Past
Earth,"QuikSCAT QuikSCAT mission is intended to record sea-surface wind speed and direction data under all weather and cloud conditions over Earth's oceans. QuikSCAT was initiated as a ""quick recovery"" mission to help reduce the ocean-wind vector data gap created by the ...","19990619 June 19, 1999",3Operating
Earth,"RADARSAT-1 Canada's Radarsat is a radar satellite featuring variable resolution, and different view angles at a number of preset positions.","19951104 November 04, 1995",3Operating
Planets,Ranger The Ranger project of the 1960s was the first U.S. effort to launch probes directly toward the Moon. The spacecraft were designed to relay pictures and other data as they approached the Moon and finally crash-landed into its surface.,"19610822 August 22, 1961",4Past
Earth,RBI The Radiation Budget Instrument (RBI) is a scanning radiometer capable of measuring Earth’s reflected sunlight and emitted thermal radiation.,20211101 November 2021,1Under Study
Heliophysics,RHESSI Reuven Ramaty High Energy Solar Spectroscope Imager (RHESSI) studies solar flares in X-rays and gamma-rays. It explores the basic physics of particle acceleration and explosive energy release in these energetic events in the Sun's atmosphere. This is accomplished by imaging ...,"20020205 February 05, 2002",3Operating
Astrophysics,"ROSAT The ROentgen SATellite, was an X-ray observatory developed through a cooperative program between the Germany, the United States, and the United Kingdom.","19900601 June 01, 1990",4Past
Planets,"Rosetta The Rosetta Orbiter will study the origin of comets, the relationship between cometary and interstellar material and its implications with regard to the origin of the Solar System. This mission is part of SMD's Solar System Exploration Program.","20040302 March 02, 2004",3Operating
Astrophysics,"RXTE Rossi X-ray Timing Explorer studied variability over time in the emission of X-ray sources, with moderate spectral resolution. This time behavior is a source of important information about processes and structures in white-dwarf stars, X-ray binaries, neutron stars, pulsars and ...","19951230 December 30, 1995",4Past
Astrophysics,"SAC-B Satelite de Aplicaciones Cientificas-B was designed to advance the study of solar physics and astrophysics through the examination of solar flares, gamma ray bursts, diffuse X-ray cosmic background, and energetic neutral atoms.","19961104 November 04, 1996",4Past
Earth,"SAGE III - ISS The SAGE III instrument is used to study ozone, a gas found in the upper atmosphere that acts as Earth’s sunscreen.",20160301 March 2016,2Development
Earth,SAGE III – Meteor-3M The Stratospheric Aerosol and Gas Experiment III – Meteor-3M (SAGE III – Meteor-3M) was an Earth Observing System (EOS) - joint mission between the U.S. National Aeronautics and Space Administration (NASA) and the Russian Space Agency (RSA). The SAGE III ...,"20011210 December 10, 2001",4Past
Heliophysics,SAMPEX The Solar Anomalous and Magnetospheric Particle Explorer was investigating the composition of local interstellar matter and solar material and the transport of magnetospheric charged particles into the Earth's atmosphere.,"19920703 July 03, 1992",4Past
Earth,"Seasat 1 The Ocean Dynamics Satellite (Seasat 1) was designed to provide measurements of sea-surface winds, sea-surface temperatures, wave heights, internal waves, atmospheric liquid water content, sea ice features, ocean features, ocean topography, and the marine geoid.","19780627 June 27, 1978",4Past
Earth,SeaWiFS The SeaStar satellite carries the SeaWiFS instrument which is designed to monitor the color of the world's oceans. This mission is part of SMD's Earth Systematic Missions program.,"19970801 August 01, 1997",4Past
Earth,SeaWinds (ADEOS II) The SeaWinds scatterometer is a specialized microwave radar that measures near-surface wind velocity (both speed and direction) under all weather and cloud conditions over Earth's oceans. This is a twin sister to the QuikSCAT sensor and flies on the Japanese ...,"20021214 December 14, 2002",3Operating
Astrophysics,"SIM SIM/SIM-Lite was not recommended for development this decade by the Astro2010 Decadal Survey. As a consequence NASA sponsorship of the project was discontinued effective December 31, 2010.",,14Studied
Earth,"SIR-C Shuttle Imaging Radar (SIR-C/X-SAR), part of NASA's Mission to Planet Earth, was studying how our global environment is changing. From the unique vantage point of space, the radar system observed, monitored and assessed large-scale environmental processes with a focus on ...","19940419 April 19, 1994",4Past
Earth,"SMAP The Soil Moisture Active-Passive (SMAP) will use a combined radiometer and high-resolution radar to measure surface soil moisture and freeze-thaw state, providing for scientific advances and societal benefits. This mission is part of SMD's Earth Systematic Missions program.",20150129 January 2015,3Operating
Earth,"SMS The Synchronous Meterological Satellites were the first operational spacecrafts to sense meteorological conditions from a fixed location. They carried instrumentation for visible and international remote imaging, collection of data from automated remote platforms, relay of weather products (WEFAX), and measurement ...","19740517 May 17, 1974",4Past
Heliophysics,"SNOE SNOE (""snowy"") was a small satellite investigating the effects of energy from the Sun and from the magnetosphere on the density of nitric oxide in the Earth's upper atmosphere.","19980226 February 26, 1998",4Past
Astrophysics,"SOFIA SOFIA is the world's largest airborne observatory. It studies the universe over a wide range of the electromagnetic spectrum, from the optical to the far infrared.",,3Operating
Heliophysics,"SOHO Solar and Heliospheric Observatory (SOHO) is a solar observatory studying the structure, chemical composition, and dynamics of the solar interior. SOHO a joint venture of the European Space Agency and NASA. This mission is part of SMD's Heliophysics Research program.","19951202 December 02, 1995",3Operating
Heliophysics,Solar Dynamics Observatory (SDO) The Solar Dynamics Observatory (SDO) is the first mission and crown jewel in a fleet of NASA missions to study our sun. The mission is the cornerstone of a NASA science program called Living With a Star (LWS). The goal ...,"20100211 February 11, 2010",3Operating
Heliophysics,"Solar Orbiter Solar Orbiter is a European Space Agency (ESA) mission to study the Sun from a distance closer than any spacecraft previously has, and will provide images and measurements in unprecedented resolution and detail. This mission is part of SMD's LWS ...",20181017 October 2018,2Development
Heliophysics,"Solar Probe Plus Solar Probe Plus will be a historic mission, flying into one of the last unexplored regions of the solar system, the Sun’s atmosphere or corona, for the first time. This mission is part of SMD's LWS Program.",20180708 July 2018,2Development
Earth,"SORCE SORCE is a NASA-sponsored satellite mission that will provide state-of-the-art measurements of incoming x-ray, ultraviolet, visible, near-infrared, and total solar radiation. The measurements provided by SORCE specifically address long-term climate change, natural variability and enhanced climate prediction, and atmospheric ozone ...","20030125 January 25, 2003",3Operating
Heliophysics,Space Environment Testbeds The Space Environment Testbeds (SET) Project performs flight and ground investigations to understand how the Sun/Earth interactions affect humanity.,20160601 June 2016,2Development
Heliophysics,"Spartan 201 Spartan was a small, Shuttle-launched and retrieved satellite. Spartan 201, whose mission was to study the Sun, has a science payload consisting of two telescopes: the Ultraviolet Coronal Spectrometer (UVCS) and the White Light Coronagraph (WLC). Spartan 201 was launched ...","19940913 September 13, 1994",4Past
Astrophysics,"Spitzer Spitzer Space Telescope (formerly known as SIRTF) conducts infrared astronomy from space. From an unusual heliocentric orbit designed to keep its sensitive instruments away from Earth's radiated heat, Spitzer has detected several distant objects, including several supermassive black holes, that ...","20030825 August 25, 2003",3Operating
Earth,"SRTM The goal of SRTM, a joint project of NASA, NIMA, and the German and Italian space agencies, was to map the world in three dimensions. In its 11-day mission on STS-99 in February 2000, SRTM collected an unprecedented 8.6 Terabytes ...","20000211 February 11, 2000",4Past
Heliophysics,ST5 Space Technology 5 (ST5) flight tested its miniaturized satellites and innovative technologies in the harsh environment of Earth's magnetosphere.,"20060322 March 22, 2006",4Past
,ST6 ST6 consists of two technologies onboard two different spacecrafts: Autonomous Sciencecraft Constellation and Inertial Stellar Compass.,"20061216 December 16, 2006",4Past
Astrophysics,ST-7 / Lisa Pathfinder Space Technology 7 project will flight test a Disturbance Reduction System (DRS) that will aid scientists in their quest to detect and measure gravitational waves in space.,20150630 2015,2Development
Planets,"Stardust Stardust is the first U.S. space mission dedicated solely to the exploration of a comet, and the first robotic mission designed to return extraterrestrial material from outside the orbit of the Moon. This mission is part of SMD's Discovery Program. ...","19990207 February 07, 1999",4Past
Planets,"Stardust-NExT STARDUST-NExT - short for ""New Exploration of Tempel-1"" - is a follow-on mission for STARDUST, one of the great successes of NASA's Discovery program.",,4Past
Heliophysics,"STEREO The goal of STEREO is to understand the origin the Sun's coronal mass ejections (CMEs) and their consequences for Earth. The mission consists of two spacecraft, one leading and the other lagging Earth in its orbit. The spacecraft carries instrumentation ...","20061025 October 25, 2006",3Operating
Earth,Suomi NPP Suomi NPP is a joint mission to extend key measurements in support of long term monitoring of climate trends and of global biological productivity. This mission is part of SMD's Earth Systematic Missions program.,"20111025 October 25, 2011",3Operating
Planets,"Surveyor Surveyor succeeded the Ranger program. Its primary focus was engineering work in preparation for Apollo, specifically soft landings and lifting off from the moon's surface.","19660529 May 29, 1966",4Past
Astrophysics,"Suzaku (Astro-E2) Suzaku (formerly Astro-E2) provides powerful tools to use the Universe as a laboratory for unraveling complex, high-energy processes and the behavior of matter under extreme conditions. This mission is part of SMD's Astrophysics Explorers program. This mission was awarded via ...","20050710 July 10, 2005",3Operating
Astrophysics,SWAS The Submillimeter Wave Astronomy Satellite (SWAS) instrument was a submillimeter wave telescope that incorporated dual heterodyne radiometers and an acousto-optical spectrometer to investigate the composition of dense interstellar clouds.,"19981206 December 06, 1998",4Past
Astrophysics,"Swift Swift Gamma Ray Burst Explorer is a three-telescope space observatory for studying the position, brightness, and physical properties of gamma ray bursts. Although gamma ray bursts are the largest known explosions in the Universe, outshining the rest of the Universe ...","20041120 November 20, 2004",3Operating
Earth,SWOT The Surface Water and Ocean Topography (SWOT) mission will contribute to a better understanding of the world's oceans and its terrestrial surface waters.,20200101 2020,1Under Study
Earth,"TEMPO TEMPO measures pollution of North America, from Mexico City to the Canadian tar/oil sands, and from the Atlantic to the Pacific hourly and at high spatial resolution. TEMPO’s measurements from geostationary orbit (GEO) of tropospheric ozone, aerosols, their precursors, and ...",20130901 2013,1Under Study
Earth,"Terra Terra (formerly EOS AM-1) is the flagship satellite of NASA's Earth observing systems. Terra is the first EOS (Earth Observing System) platform and provides global data on the state of the atmosphere, land, and oceans, as well as their interactions ...","19991218 December 18, 1999",3Operating
Earth,"TERRIERS TERRIERS was a very small ""University-class"" Explorer intended to study a number of ionospheric and thermospheric phenomena, and test the utility of long term solar EUV (extreme ultraviolet) irradiance measurements.","19990518 May 18, 1999",4Past
Astrophysics,"TESS The Transiting Exoplanet Survey Satellite (TESS) will use an array of telescopes to perform an all-sky survey to discover transiting exoplanets ranging from Earth-sized to gas giants, in orbit around nearby bright stars.",20180601 June 2018,2Development
Heliophysics,THEMIS Time History of Events and Macroscale Interactions during Substorms (THEMIS) is a study of the onset of magnetic storms within the tail of the Earth's magnetosphere. THEMIS will fly five microsatellite probes through different regions of the magnetosphere and observe ...,"20070217 February 17, 2007",3Operating
Heliophysics,"TIMED Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics (TIMED) explores the energy transfer into and out of the Mesosphere and Lower Thermosphere/Ionosphere (MLTI) region of the Earth's atmosphere. This mission is part of SMD's Solar Terrestrial Probes Program.","20011207 December 07, 2001",3Operating
Earth,TIROS TIROS spacecraft were the beginning of a long series of polar-orbiting meteorological satellites. The objective was to establish a global weather satellite system.,"19600401 April 01, 1960",4Past
Earth,"TOMS-EP The Total Ozone Mapping Spectrometer, launched in July 1996 onboard an Earth Probe Satellite (TOMS/EP), continues NASA's long-term daily mapping of the global distribution of the Earth's atmospheric ozone. This NASA-developed instrument, measures ozone indirectly by mapping ultraviolet light emitted ...","19960702 July 02, 1996",4Past
Earth,"TOPEX/Poseidon TOPEX/Poseidon monitored global ocean circulation, improved global climate predictions, and tracked El Niño conditions and ocean eddies. The mission's most important achievement was to determine the patterns of ocean circulation - how heat stored in the ocean moves from one ...","19920810 August 10, 1992",4Past
Astrophysics,TPF The Terrestrial Planet Finder was a mission concept previously under study by NASA. It was comprised of a Coronagraph and Interferometer that would study aspects of planets outside our solar system.,,14Studied
Heliophysics,TRACE Transition Region and Coronal Explorer (TRACE) observed the effects of the emergence of magnetic flux from deep inside the Sun to the outer corona with high spatial and temporal resolution. This mission was part of SMD's Heliophysics Explorers program. This ...,"19980401 April 01, 1998",4Past
Earth,TRMM TRMM is a joint mission between NASA and the National Space Development Agency (NASDA) of Japan. TRMM is particularly devoted to determining rainfall in the tropics and subtropics of the Earth. These regions make up about two thirds of the ...,"19971127 November 27, 1997",4Past
Earth,"TSIS-1 The TSIS-1 mission will provide absolute measurements of the total solar irradiance (TSI) and spectral solar irradiance (SSI), important for accurate scientific models of climate change and solar variability.",20180401 2018,1Under Study
Heliophysics,"TSS The Tethered Satellite System (TSS) consists of a satellite, a conducting tether, and a tether deployment/retrieval system to be flown on the Space Shuttle.","19920626 June 26, 1992",4Past
Heliophysics,"TWINS A & B TWINS will provide stereo imaging of the Earth's magnetosphere, the region surrounding the planet controlled by its magnetic field and containing the Van Allen radiation belts and other energetic charged particles. This mission is part of SMD's Explorers Program. This ...","20080313 March 13, 2008",3Operating
Earth,"UARS Launched from the Space Shuttle Discovery on September 15, 1991, UARS orbited the Earth more than 78,000 times, using 10 onboard scientific instruments to collect data on a variety of chemicals, including carbon dioxide, ozone, chlorine, methane, nitrogen oxides and ...","19910912 September 12, 1991",4Past
Heliophysics,"Ulysses The Ulysses Mission was the first spacecraft to explore interplanetary space at high solar latitudes, orbiting the Sun nearly perpendicular to the plane in which the planets orbit. This mission was part of SMD's Heliophysics Research program.","19901006 October 06, 1990",4Past
Heliophysics,Van Allen Probes The Van Allen Probes are designed to help us understand the Sun’s influence on Near-Earth space by studying the Earth’s radiation belts on various scales of space and time.,20120830 August 2012,3Operating
Planets,"Viking 1 - 2 Two Viking spacecraft, each composed of an orbiter and a lander, flew to Mars in the mid 1970's. They measured atmospheric water vapor, did chemical analysis of the soil, and took photographs of the entire surface.","19750820 August 20, 1975",4Past
Heliophysics,"Voyager The twin Voyager 1 and 2 spacecraft continue exploring where nothing from Earth has flown before. In the 25th year after their 1977 launches, they each are much farther away from Earth and the Sun than Pluto is and approaching ...","19770905 September 05, 1977",3Operating
Heliophysics,Wind Wind studies the solar wind and its impact on the near-Earth environment. This mission is part of SMD's Heliophysics Research program.,"19941101 November 01, 1994",3Operating
Astrophysics,WIRE The Wide-field Infrared Explorer (WIRE) is a Small Explorer Mission designed to study the evolution of starburst galaxies and search for distant ultra-luminous galaxies.,"19990304 March 04, 1999",4Past
Astrophysics,"WISE WISE spent over a year imaging the entire sky in the infrared. The NEOWISE Survey surveyed small bodies, asteroids, and comets in our solar system.","20091214 December 14, 2009",4Past
Astrophysics,"WMAP WMAP addressed fundamental questions in cosmology: What is the geometry of the Universe? How did structures, such as galaxies and galaxy clusters, that we see in today’s sky come about? How old is the Universe, and what are its constituents?","20010630 June 30, 2001",4Past
Astrophysics,XMM-Newton XMM-Newton is an X-ray astrophysics observatory that enables astronomers to conduct sensitive X-ray spectroscopic observations of a wide variety of cosmic sources. This mission is part of SMD's Physics of the Cosmos program.,"19991210 December 10, 1999",3Operating
Heliophysics,"Yohkoh Yohkoh, an observatory for studying X-rays and gamma-rays from the Sun, is a project of the Institute for Space and Astronautical Sciences, Japan.","19910830 August 30, 1991",4Past
