334.address,302 E .6Th,302 E. 6Th
325.address,17750 ValleyR d,17750 Valley Rd
60.address,906 South Heightvs Drive,906 South Heights Drive
235.superintendent,Justin Kenney,Justin Kennedy
467.superintendentsemail,rcarter@foyil.k12.okus,rcarter@foyil.k12.ok.us
219.phone,(580)363-2570,(580) 363-2570
287.city,Wbashington,Washington
542.phone,(918) 534-k2241,(918) 534-2241
98.address,2000 168Th Avxenue Northeast,2000 168Th Avenue Northeast
493.code,6a9-I001,69-I001
23.superintendentsemail,briderk@turpinps.org,brider@turpinps.org
273.phone,(580l) 227-2531,(580) 227-2531
289.websiteurl,http:/w/www.purcellps.org,http://www.purcellps.org
49.statevalue,K,OK
487.fax,(91) 427-6088,(918) 427-6088
404.phone,(91)8 352-2889,(918) 352-2889
537.countyname,WAGOENR     ,WAGONER     
338.code,55-E001***,55-E001
28.code,06-009,06-I009
64.websiteurl,www.srpingerschools.com,www.springerschools.com
468.code,6-I008,66-I008
190.districtname,WHITEFIEL D                   ,WHITEFIELD                    
523.code,j72-G005,72-G005
194.city,Keoat,Keota
449.superintendentsemail,wbsimpson@tuskahoma.k12.ok.us,bsimpson@tuskahoma.k12.ok.us
487.address,715 W Shawnetl Smith Blvd,715 W Shawntel Smith Blvd
309.websiteurl,http://midlway.k12.ok.us/,http://midway.k12.ok.us/
340.countyname,OKLAHMA    ,OKLAHOMA    
203.countyname,JACKSN     ,JACKSON     
254.city,cloud,Mcloud
338.countyname,OKLAHOMA    ***,OKLAHOMA    
13.boardpresident,Will Tyer,Will Tyner
59.fax,(405) 483-559,(405) 483-5599
108.statevalue,K,OK
256.fax,(918)3 77-2553,(918) 377-2553
381.code,57C-003,57-C003
372.statevalue,KO,OK
432.countyname,PONTOOTC    ,PONTOTOC    
234.fax,9(18) 754-2898,(918) 754-2898
434.city,Sawnee,Shawnee
401.boardpresident,Lloyd Mithell,Lloyd Mitchell
452.districtname,CLAYTON                       ***,CLAYTON                       
197.phone,(405) 37-5483,(405) 379-5483
351.phone,(4k05) 947-6272,(405) 947-6272
510.countyname,TILLMN     ,TILLMAN     
65.boardpresident,Mark heaman,Mark Sheaman
527.websiteurl,ttp://bixby.ok.schoolwebpages.com,http://bixby.ok.schoolwebpages.com
405.phone,(918) 372-45u67,(918) 372-4567
518.phone,(918) 833-420,(918) 833-9420
399.code,58-I206,58-I026
513.phone,(918) 3k63-8711,(918) 363-8711
476.code,67-I01k0,67-I010
466.fax,(981) 341-5764,(918) 341-5764
67.statevalue,OzK,OK
540.districtname,PORTERC ONSOLIDATED           ,PORTER CONSOLIDATED           
282.city,Sablina,Salina
215.districtname,COLEMAN     b                  ,COLEMAN                       
155.code,24-I0u42,24-I042
186.superintendent,Jennifer Mcueen,Jennifer Mcqueen
307.countyname,MCINTOSH   ,MCINTOSH    
266.code,42-Ij014,42-I014
41.city,Hyudro,Hydro
141.boardpresident,Ciole Mott,Cole Mott
192.fax,(18) 967-4550,(918) 967-4550
527.city,Bicxby,Bixby
440.superintendent,Jerary M. Johnson,Jerry M. Johnson
457.countyname,ROGRE MILLS ,ROGER MILLS 
457.code,65-I07,65-I007
480.superintendent,Jeff Rnasom,Jeff Ransom
421.superintendent,Donn Cox,Don Cox
436.superintendentsemail,sroper@pgs.k12.ko.us,sroper@pgs.k12.ok.us
22.superintendent,Trvis Smalts,Travis Smalts
199.websiteurl,www.stuart.k12.oku.s,www.stuart.k12.ok.us
440.fax,(405)m 273-5056,(405) 273-5056
41.statevalue,KO,OK
553.code,77-I020,77-I002
142.statevalue,OiK,OK
92.countyname,CIMARRON s   ,CIMARRON    
535.districtname,GLENPOOL d                     ,GLENPOOL                      
448.address,26 S Texas Avenue,206 S Texas Avenue
322.districtname,PORUM           n              ,PORUM                         
264.districtname,eCRESCENT                      ,CRESCENT                      
152.phone,(580) 938-2568,(580) 938-2586
23.fax,(580)x 778-3179,(580) 778-3179
210.address,509 East School Srteet,509 East School Street
293.statevalue,KO,OK
354.boardpresident,Matt Mor,Matt Mohr
398.districtname,MIAMI                        ,MIAMI                         
456.statevalue,K,OK
222.fax,(580)z 362-3413,(580) 362-3413
363.countyname,OKAHOMA    ,OKLAHOMA    
91.boardpresident,oJhn Fain,John Fain
525.address,11 West Broadway***,11 West Broadway
479.address,605 xSe 2Nd,605 Se 2Nd
329.websiteurl,http://scpns.k12.ok.us,http://scps.k12.ok.us
289.countyname,MCCLAI N    ,MCCLAIN     
494.boardpresident,hCuck Dunlap,Chuck Dunlap
146.boardpresident,Mtelvin Blossom,Melvin Blossom
186.phone,(580)688-3450,(580) 688-3450
479.phone,(o) -,() -
184.city,Mangmu,Mangum
171.districtname,PIONEER                       ***,PIONEER                       
84.boardpresident,Dennsi Lee,Dennis Lee
114.code,17-I33w3,17-I333
533.superintendentsemail,mikez.campbell@berryhillschools.org,mike.campbell@berryhillschools.org
98.code,1t4-I070,14-I070
411.city,ushing,Cushing
358.districtname,JONES                         ***,JONES                         
279.phone,(918)825-2550,(918) 825-2550
491.websiteurl,www.centalps.k12.ok.us,www.centralps.k12.ok.us
548.city,Cordel,Cordell
207.statevalue,OxK,OK
51.countyname,CADDO      ,CADDO       
264.statevalue,K,OK
486.fax,(918) 773-3501,(918) 773-3051
551.countyname,WOODS       ***,WOODS       
252.phone,(918) 6583666,(918) 658-3666
88.superintendent,Scott Vn Worth,Scott Van Worth
75.city,Hublert,Hulbert
439.address,00 Smith Avenue,300 Smith Avenue
141.districtname,MOSELEY                      ,MOSELEY                       
375.superintendent,Jameps Lyons,James Lyons
439.websiteurl,www.dale.k12.ko.us,www.dale.k12.ok.us
305.city,Henryteta,Henryetta
527.phone,(91) 366-2200,(918) 366-2200
10.address,9660 S 4637 Rd,89660 S 4637 Rd
301.statevalue,KO,OK
443.statevalue,rOK,OK
353.superintendent,Flred Rhodes,Fred Rhodes
16.statevalue,OdK,OK
504.websiteurl,ww.hardesty.k12.ok.us,www.hardesty.k12.ok.us
481.websiteurl,http//www.mcps.k12.ok.us,http://www.mcps.k12.ok.us
305.fax,(18) 652-7635,(918) 652-7635
407.superintendentsemail,jeramsy@p-t.k12.ok.us,jeramsey@p-t.k12.ok.us
42.code,8-I012,08-I012
353.boardpresident,Cindy ibbs,Cindy Gibbs
483.statevalue,K,OK
299.superintendent,Brian Armsutrong,Brian Armstrong
291.websiteurl,forestgrove.k1g2.ok.us,forestgrove.k12.ok.us
302.districtname,BATTIEST                      ***,BATTIEST                      
492.address,Box 277062 E. 184q0 Rd.,Box 277062 E. 1840 Rd.
202.superintendent,Rogr Hill,Roger Hill
3.code,10-C024,01-C024
518.superintendent,Elise Urueat,Elsie Urueat
3.address,"Rural Roue 1, Box 665","Rural Route 1, Box 665"
254.boardpresident,Gulenda Martell,Glenda Martell
113.city,Tmple,Temple
520.address, South Elgin,2 South Elgin
36.fax,(580)3 67-2837,(580) 367-2837
57.code,90-I027,09-I027
131.phone,(918) 27-6133,(918) 247-6133
463.superintendentsemail,brmcspadden@chelseadragons.net,rmcspadden@chelseadragons.net
457.address,910 E Buster Avene,910 E Buster Avenue
501.superintendent,Seve Baird,Steve Baird
110.city,lEgin,Elgin
246.countyname,LE FLORE   ,LE FLORE    
272.superintendentsemail,bnrault@alinecleo.k12.ok.us,bnault@alinecleo.k12.ok.us
118.statevalue,KO,OK
81.superintendent,Mtarilyn Dewoody,Marilyn Dewoody
385.districtname,MCCORD                       ,MCCORD                        
358.boardpresident,Brett Ramsey***,Brett Ramsey
435.address,2800 orth Bryan Avenue,2800 North Bryan Avenue
108.countyname,COMANCEH    ,COMANCHE    
268.boardpresident,uKevin Wolfe,Kevin Wolfe
525.code,7m2-I002,72-I002
162.phone,(580) 75-3615,(580) 759-3615
4.code,01-C28,01-C028
278.code,46-035,46-C035
277.superintendentsemail,cmidgley@psavinawok.net,cmidgley@spavinawok.net
397.address,217 Commerce St***,217 Commerce St
540.websiteurl,http://www.porter.k12.okus,http://www.porter.k12.ok.us
3.superintendentsemail,aketcher@rockymtn.k21.ok.us,aketcher@rockymtn.k12.ok.us
504.boardpresident,Virgil Gibshon,Virgil Gibson
298.statevalue,KO,OK
248.countyname,LEF LORE    ,LE FLORE    
465.superintendentsemail,kholrook@inola.k12.ok.us,kholbrook@inola.k12.ok.us
25.city,Ekl City,Elk City
477.city,Seminloe,Seminole
380.boardpresident,Rick Chsum,Rick Chisum
135.superintendent,Rob Royaltby,Rob Royalty
185.boardpresident,Johny Wilson,Johnny Wilson
161.websiteurl,http://www.wuhitebead.org,http://www.whitebead.org
157.phone,(508) 758-3282,(580) 758-3282
374.districtname,HENRYETTA                    ,HENRYETTA                     
117.districtname,WELCH                         ***,WELCH                         
133.phone,(918) 352-2p492,(918) 352-2492
266.fax,(405v) 466-2448,(405) 466-2448
486.statevalue,K,OK
189.superintendent,Martin Aadms,Martin Adams
273.address,408 East BroadwayStreet,408 East Broadway Street
346.superintendent,Trac yMcdaniel,Tracy Mcdaniel
406.countyname,PYNE       ,PAYNE       
74.code,11-021,11-C021
103.fax,(580) 35-4879,(580) 353-4879
269.phone,(580) 276-13o07,(580) 276-1307
520.city,Tulas,Tulsa
466.districtname,SEQUOYAH                      ***,SEQUOYAH                      
521.fax,(918) 84-3352,(918) 834-3352
323.districtname,PERRY                         ***,PERRY                         
78.websiteurl,www.briggs.k12.ok.su,www.briggs.k12.ok.us
212.phone,(580) 38d4-5514,(580) 384-5514
25.countyname,BECKHAM    d ,BECKHAM     
135.city,Thoms,Thomas
315.phone,(v918) 478-2474,(918) 478-2474
177.code,62-I095,26-I095
225.city,Kignfisher,Kingfisher
287.websiteurl,www.washinton.k12.ok.us,www.washington.k12.ok.us
531.fax,(918) 288-7076,(918) 288-7067
267.superintendentsemail,jmidkiff@gpqsmail.org,jmidkiff@gpsmail.org
96.districtname,NOBLE                         ***,NOBLE                         
66.phone,(580e) 657-3131,(580) 657-3131
454.countyname,PUSHMTAAHA  ,PUSHMATAHA  
497.fax,(58j0) 252-4231,(580) 252-4231
250.superintendentsemail,jlockhrt@talihina.k12.ok.us,jlockhart@talihina.k12.ok.us
1.superintendent,Jack Ritche,Jack Ritchie
132.boardpresident,Stevje Mccormick,Steve Mccormick
404.fax,(918) 3524187,(918) 352-4187
55.statevalue,KO,OK
387.websiteurl,ww.wshidlerpublicschools.com,www.shidlerpublicschools.com
177.websiteurl,www.brdigecreek.k12.ok.us,www.bridgecreek.k12.ok.us
336.countyname,OKLAHOMA   ,OKLAHOMA    
180.countyname,GRADY       ***,GRADY       
163.boardpresident,Linpdsey Meiwes,Lindsey Meiwes
230.countyname,KIOWA      ,KIOWA       
429.websiteurl,www.byngschools.cmo,www.byngschools.com
113.code,17-I10d1,17-I101
47.address,417 East ccall,417 East Mccall
357.fax,(40) 454-0022,(405) 454-0022
55.phone,(40m5) 262-5647,(405) 262-5647
86.fax,l(580) 566-2265,(580) 566-2265
305.superintendent,Lynn Maxell,Lynn Maxwell
211.address,305 Mill Stmreet,305 Mill Street
119.code,18-I056,18-I065
111.boardpresident,Brent Petbers,Brent Peters
463.city,Chlsea,Chelsea
309.phone,q(918) 474-3434,(918) 474-3434
209.statevalue,KO,OK
158.address,500 South Inedpendence Avenue,500 South Independence Avenue
247.districtname,BOKOSHE           c            ,BOKOSHE                       
505.superintendent,Dan aulkner,Dan Faulkner
150.websiteurl,htt://www.fargo.k12.ok.us/,http://www.fargo.k12.ok.us/
178.boardpresident,iTm Hogland,Tim Hogland
220.superintendentsemail,pennid@cpps.us,pennid@pcps.us
498.superintendent,Bennie Nwton,Bennie Newton
414.superintendent,John Wirlcox,John Wilcox
42.address,10108 aCr 1150,10108 Cr 1150
460.statevalue,iOK,OK
430.statevalue,K,OK
303.superintendentsemail,cjellisor@bbisd.torg,cjellisor@bbisd.org
267.superintendent,Json Midkiff,Jason Midkiff
90.countyname,CIMARRON    ***,CIMARRON    
211.phone,(580 )371-9163,(580) 371-9163
485.superintendent,Scott Fparmer,Scott Farmer
417.websiteurl,http://ww.hartshorne.k12.ok.us/,http://www.hartshorne.k12.ok.us/
167.address,702 East Robcert S. Kerr Boulevard,702 East Robert S. Kerr Boulevard
247.fax,(918) 9692-493,(918) 969-2493
530.websiteurl,www.skatookschools.org,www.skiatookschools.org
4.boardpresident,Gary Hormn,Gary Horn
439.phone,4(05) 964-5558,(405) 964-5558
407.statevalue,cOK,OK
173.phone,(405) 532-4867,(405) 352-4867
22.districtname,FORGAkN                        ,FORGAN                        
540.phone,(918) 483l-2401,(918) 483-2401
303.phone,(50) 584-3306,(580) 584-3306
68.city,Healdtwon,Healdton
534.superintendentsemail,clark.ogilvie@owassops.orzg,clark.ogilvie@owassops.org
247.countyname,LEh FLORE    ,LE FLORE    
207.code,34-Io001,34-I001
197.websiteurl,www.holdenvillje.k12.ok.us,www.holdenville.k12.ok.us
433.statevalue,K,OK
520.code,72-G01,72-G001
297.fax,(580) 245-2p265,(580) 245-2265
260.phone,(405) 567-4545,(405) 567-4455
286.fax,(405) 3446977,(405) 344-6977
531.superintendentsemail,bebagles@sperry.k12.ok.us,bbeagles@sperry.k12.ok.us
112.countyname,COTTOtN      ,COTTON      
41.countyname,CADO       ,CADDO       
200.city,Altaus,Altus
385.superintendent,Boyd Brauden,Boyd Braden
38.phone,(580 )434-5700,(580) 434-5700
353.fax,(405) 787-487r0,(405) 787-4870
69.address,1g00 Creek Avenue,100 Creek Avenue
361.statevalue,KO,OK
270.superintendent,hCad Broughton,Chad Broughton
144.superintendentsemail,LEANN@AKNSASPS.COM,LEANN@KANSASPS.COM
435.code,6n3-C027,63-C027
250.countyname,LE FLROE    ,LE FLORE    
264.phone,(405) 99-3738,(405) 969-3738
127.statevalue,KO,OK
402.fax,(b918) 762-2704,(918) 762-2704
155.websiteurl,www.chibsholm.k12.ok.us,www.chisholm.k12.ok.us
32.city,Durzant,Durant
224.districtname,LOMEGA                      q  ,LOMEGA                        
483.city,Muldrw,Muldrow
462.superintendent,Rikc Kibbe,Rick Kibbe
76.phone,(918) 5983-412,(918) 598-3412
540.superintendent,Mark Fentno,Mark Fenton
177.countyname,GRAD Y      ,GRADY       
270.districtname,MARIETTA                 p     ,MARIETTA                      
251.fax,(98) 567-2842,(918) 567-2842
324.fax,(80) 725-3278,(580) 725-3278
261.websiteurl,www.carney.k1.ok.us,www.carney.k12.ok.us
267.districtname,GREEaNVILLE                    ,GREENVILLE                    
428.websiteurl,www.vanossk12.ok.us,www.vanoss.k12.ok.us
555.districtname,FORT SUPPL                   ,FORT SUPPLY                   
120.city,apulpa,Sapulpa
273.districtname,FAIRVIrEW                      ,FAIRVIEW                      
459.fax,(580) i473-2464,(580) 473-2464
95.city,Noran,Norman
205.code,a33-I054,33-I054
451.superintendent,Shar Pillow,Shari Pillow
205.superintendent,Jimmy Simth,Jimmy Smith
165.websiteurl,www.lindsayk12.ok.us,www.lindsay.k12.ok.us
194.boardpresident,Jimmy Winlepleck,Jimmy Winklepleck
230.statevalue,OdK,OK
377.superintendentsemail,mhudson@phreston.k12.ok.us,mhudson@preston.k12.ok.us
159.boardpresident,Jmes Wilson,James Wilson
143.boardpresident,Cara Mills,Clara Mills
231.city,ountain View,Mountain View
124.superintendentsemail,cshelton@bristow.k12.ok.su,cshelton@bristow.k12.ok.us
517.boardpresident,Joy Wignarajah,Joey Wignarajah
438.code,36-I001,63-I001
524.districtname,TULSA                        ,TULSA                         
508.superintendent,Tom Szchroeder,Tom Schroeder
231.websiteurl,www.mvgschoosl.com,www.mvgschools.com
99.websiteurl,www.cottonwoodschool.net***,www.cottonwoodschool.net
533.statevalue,OxK,OK
124.boardpresident,Brian Blanset,Brian Blansett
282.websiteurl,www.salina.k12.ok.su,www.salina.k12.ok.us
72.city,Tahleqah,Tahlequah
348.superintendentsemail,mperry@harpercharterscools.org,mperry@harpercharterschools.org
555.superintendentsemail,melva@forhtsupply.k12.ok.us,melva@fortsupply.k12.ok.us
202.fax,5(80) 481-2129,(580) 481-2129
99.statevalue,K,OK
184.address,400 North Pennsylvaina Avenue,400 North Pennsylvania Avenue
321.phone,918) 463-5171,(918) 463-5171
527.superintendent,gKyle Wood,Kyle Wood
88.phone,(580)3 45-2757,(580) 345-2757
17.code,03-I15,03-I015
539.statevalue,OoK,OK
503.phone,(80) 338-4340,(580) 338-4340
300.fax,580) 244-7583,(580) 244-7583
433.phone,(580) 46-7663,(580) 456-7663
110.code,16-I01f6,16-I016
379.websiteurl,www.buffalo.k12.ko.us,www.buffalo.k12.ok.us
369.websiteurl,www.connectionsaeducation.com/okca,www.connectionseducation.com/okca
45.city,vApache,Apache
61.fax,(405 893-2409,(405) 893-2409
166.websiteurl,www.paulsvalleyschools.om,www.paulsvalleyschools.com
114.city,andlett,Randlett
310.address,301 Ey. Second St.,301 E. Second St.
94.code,14-I02,14-I002
262.boardpresident,Joe Secer,Joe Selcer
290.statevalue,KO,OK
118.superintendent,Shelliee Baker,Shellie Baker
172.code,2-I001,26-I001
72.phone,(918)4 56-4053,(918) 456-4053
326.address,2dN Street And C Avenue,2Nd Street And C Avenue
192.superintendentsemail,mguthrie@stigle.rk12.ok.us,mguthrie@stigler.k12.ok.us
371.countyname,OKLAHOMA    ***,OKLAHOMA    
286.code,47-I0a02,47-I002
112.fax,(580) 75-2831,(580) 875-2831
252.statevalue,OeK,OK
112.city,Waltesr,Walters
298.superintendentsemail,cwyall@vpsd.org,cwall@vpsd.org
278.fax,(918) 434-3529,(918) 434-3592
376.address,120j1 West Ninth Street,1201 West Ninth Street
318.superintendent,Mike Gade,Mike Garde
445.countyname,POTTAWATOIME,POTTAWATOMIE
258.phone,(918) 698-2541,(918) 968-2541
39.websiteurl,www.duqrantisd.org,www.durantisd.org
70.code,10k-I077,10-I077
272.statevalue,KO,OK
296.fax,(580)w 286-8276,(580) 286-8276
492.countyname,STEPHENS    ***,STEPHENS    
403.statevalue,KO,OK
551.websiteurl,ww.freedom.k12.ok.us,www.freedom.k12.ok.us
352.statevalue,K,OK
483.countyname,SEQUOYAHe    ,SEQUOYAH    
276.districtname,KINGSTON              x        ,KINGSTON                      
345.boardpresident,Jawce Kirk,Jace Kirk
512.districtname,GRANDFIELD         q           ,GRANDFIELD                    
306.statevalue,K,OK
73.city,Hlbert,Hulbert
403.websiteurl,http://www.clevelndtigers.com/,http://www.clevelandtigers.com/
240.superintendent,We sMcgowen,Wes Mcgowen
517.countyname,TULcSA       ,TULSA       
525.websiteurl,http://wwwj.sandites.org,http://www.sandites.org
233.phone,(918)q 465-2100,(918) 465-2100
121.websiteurl,http://www.gypsy.k12.ok.su,http://www.gypsy.k12.ok.us
193.boardpresident,Ki mSatterfield,Kim Satterfield
355.statevalue,OrK,OK
346.fax,(45) 425-4624,(405) 425-4624
151.boardpresident,Rock yWest,Rocky West
47.code,0-8I086,08-I086
312.countyname,MURRAY     ,MURRAY      
151.statevalue,KO,OK
188.address,605 Se 2d,605 Se 2Nd
225.districtname,KINGFISHER                   ,KINGFISHER                    
103.address,2024 Sw Bishop Road,2204 Sw Bishop Road
104.statevalue,K,OK
267.websiteurl,http://greenivlle.k12.ok.us,http://greenville.k12.ok.us
122.fax,(91)8 224-4039,(918) 224-4039
328.boardpresident,Rick Hollnad,Rick Holland
237.city,Shady Poitn,Shady Point
1.code,01C-019,01-C019
491.address,108089 South 4670R oad,108089 South 4670 Road
126.statevalue,OzK,OK
37.statevalue,cOK,OK
49.districtname,HINTON                       ,HINTON                        
358.phone,4(05) 399-9215,(405) 399-9215
475.fax,(45) 382-8618,(405) 382-8618
189.statevalue,KO,OK
205.superintendentsemail,jsmith@balirschool.org,jsmith@blairschool.org
543.phone,(918) 536-2500***,(918) 536-2500
209.phone,(508) 228-3373,(580) 228-3373
521.districtname,DISCOVERY SHCOOLS OF TULSA    ,DISCOVERY SCHOOLS OF TULSA    
127.countyname,CREE K      ,CREEK       
84.superintendentsemail,bhammeres@grant.k12.ok.us,bhammers@grant.k12.ok.us
88.code,12I-004,12-I004
529.statevalue,K,OK
316.districtname,WEBBERS FALLS     k            ,WEBBERS FALLS                 
546.fax,(580) 562-847,(580) 562-4847
368.statevalue,OvK,OK
379.city,Henryetat,Henryetta
469.code,67y-C054,67-C054
550.websiteurl,fwww.waynoka.k12.ok.us,www.waynoka.k12.ok.us
217.websiteurl,ww.peckham.k12.ok.us,www.peckham.k12.ok.us
232.phone,(580)5 69-2773,(580) 569-2773
470.boardpresident,Jack Cadnehead,Jack Cadenhead
294.code,48C037,48-C037
472.city,Bolegs,Bowlegs
35.superintendent,Jarvbis Dobbs,Jarvis Dobbs
464.phone,(918) 44-36079,(918) 443-6079
477.statevalue,fOK,OK
411.websiteurl,www.fsilc.k12.okn.us,www.fsilc.k12.ok.us
229.boardpresident,Karla Brfanam,Karla Branam
69.superintendent,Brent Phels,Brent Phelps
303.countyname,MCCURTAIN  ,MCCURTAIN   
253.boardpresident,J. L. Henrzy,J. L. Henry
144.code,21-I0r03,21-I003
97.city,uLexington,Lexington
282.superintendent,Tony Tshomas,Tony Thomas
381.districtname,OSAGE HILLS                  ,OSAGE HILLS                   
344.phone,(405) 7y02-4322,(405) 702-4322
399.websiteurl,wwwa.ftonschools.net,www.aftonschools.net
456.superintendentsemail,pdrouhakrd@reydon.k12.ok.us,pdrouhard@reydon.k12.ok.us
408.districtname,CUSHING                      e ,CUSHING                       
54.districtname,DARLIwNGTON                    ,DARLINGTON                    
15.superintendentsemail,rolandsmith@laen.k12.ok.us,rolandsmith@lane.k12.ok.us
236.boardpresident,Cassey rake,Cassey Drake
9.superintendent,Geri Gilstrzap,Geri Gilstrap
491.districtname,CENTRAL                       ***,CENTRAL                       
213.boardpresident,Doug Backburn,Doug Blackburn
535.superintendentsemail,jdolansen@glenpoolp.org,jdolansen@glenpoolps.org
17.superintendentsemail,jmc@atoak.org,jmc@atoka.org
241.statevalue,K,OK
72.statevalue,KO,OK
333.websiteurl,www.okemah.k12.ok.su,www.okemah.k12.ok.us
77.districtname,GRAND VIEW     n               ,GRAND VIEW                    
139.superintendent,Andera Sealock,Andrea Sealock
162.countyname,GRVIN      ,GARVIN      
352.city,Oklahoma Civty,Oklahoma City
179.superintendentsemail,ddavidson@verdenscmhools.org,ddavidson@verdenschools.org
416.boardpresident,Bilal Ertufrk,Bilal Erturk
494.code,69I-002,69-I002
292.phone,(850) 584-6834,(580) 584-6834
315.superintendent,Derald Gltover,Derald Glover
126.districtname,MUNDS                        ,MOUNDS                        
96.phone,(405) 872-e3452,(405) 872-3452
235.address,4834 Southeast Highway 63,4384 Southeast Highway 63
437.statevalue,OkK,OK
304.websiteurl,soi.ck12.ok.us,soic.k12.ok.us
460.code,66-0C09,66-C009
63.code,10-I091,10-I019
208.address,706 N. 5T hSt Unit G,706 N. 5Th St Unit G
526.superintendentsemail,jmendenhall@aschools.org,jmendenhall@baschools.org
165.phone,(405) 756l-3131,(405) 756-3131
343.countyname,OKLHOMA    ,OKLAHOMA    
336.statevalue,KO,OK
250.boardpresident,Steven Rmasey,Steven Ramsey
384.code,5-C052,57-C052
415.websiteurl,http://www.haywood.k12.ok.qus,http://www.haywood.k12.ok.us
54.city,El Reeno,El Reno
367.statevalue,lOK,OK
541.websiteurl,www.copan.k12.ok.su,www.copan.k12.ok.us
61.boardpresident,nJimmy Percival,Jimmy Percival
221.superintendentsemail,lsimpson@tonkawa.12.ok.us,lsimpson@tonkawa.k12.ok.us
493.boardpresident,Ezric Davis,Eric Davis
274.countyname,MAJmOR       ,MAJOR       
265.city,Mulhll,Mulhall
476.districtname,SASAKWA      g                 ,SASAKWA                       
309.superintendent,Bruce Doulas,Bruce Douglas
292.countyname,CCURTAIN   ,MCCURTAIN   
335.code,54-I504,54-I054
345.phone,(405)635-1053,(405) 635-1053
90.websiteurl,www.boisecity.k12.ok.su,www.boisecity.k12.ok.us
94.address,1500 Southeast 4Th Streeat,1500 Southeast 4Th Street
375.superintendentsemail,jlyons@orrisschools.net,jlyons@morrisschools.net
231.code,83-I003,38-I003
117.superintendentsemail,cmckeonwelchwildcats.net,cmckeon@welchwildcats.net
550.countyname,OWODS       ,WOODS       
339.countyname,OKLAHOMA   ,OKLAHOMA    
407.websiteurl,http://www.p-t.k21.ok.us/,http://www.p-t.k12.ok.us/
299.statevalue,KO,OK
542.superintendentsemail,wilkin@deweyk12.org,wilkins@deweyk12.org
459.code,6e5-I066,65-I066
86.phone,(580) 566-2558***,(580) 566-2558
552.fax,580) 256-4391,(580) 256-4391
531.countyname,TULSA       ***,TULSA       
283.city,Locst Grove,Locust Grove
111.superintendentsemail,jbrown@chatty.k12.oku.us,jbrown@chatty.k12.ok.us
6.boardpresident,Arthur oss,Arthur Ross
10.boardpresident,Joannja Harris,Joanna Harris
257.city,Welldston,Wellston
335.fax,(918) 6522422,(918) 652-2422
136.boardpresident,Michelle Stehens,Michelle Stephens
489.code,6t8-I005,68-I005
221.address,50 East North Avenue,500 East North Avenue
450.boardpresident,Betty Fulller,Betty Fuller
171.address,368 6State Highway 92,3686 State Highway 92
301.fax,(580) 891-2115,(580) 981-2115
463.statevalue,K,OK
373.city,Okmulege,Okmulgee
128.statevalue,KO,OK
259.city,Meker,Meeker
545.fax,(580)e 393-4747,(580) 393-4747
527.superintendentsemail,kwood@bixbybps.org,kwood@bixbyps.org
192.boardpresident,Susan Whte,Susan White
243.countyname,LE FLORE  m  ,LE FLORE    
277.address,o100 Lake Avenute,100 Lake Avenute
58.superintendent,Craig Mcay,Craig Mcvay
549.statevalue,mOK,OK
36.city,addo,Caddo
378.phone,(918) 652z-8219,(918) 652-8219
163.phone,405) 484-7336,(405) 484-7336
217.fax,(580)d 362-3970,(580) 362-3970
439.superintendent,Charles Dickinbson,Charles Dickinson
192.statevalue,K,OK
279.fax,(918) 285-1433,(918) 825-1433
482.code,68-C03t6,68-C036
400.boardpresident,Ray Dais,Ray Davis
535.statevalue,OiK,OK
152.districtname,SHATTUCK                      ***,SHATTUCK                      
16.districtname,STRINGTOWN               q     ,STRINGTOWN                    
444.statevalue,K,OK
439.countyname,POTTAWATOIE,POTTAWATOMIE
337.superintendentsemail,tmcafee@cructhoesd.org,tmcafee@crutchoesd.org
550.districtname,WAYNOKA        u               ,WAYNOKA                       
216.statevalue,OlK,OK
471.countyname,SEMINLOE    ,SEMINOLE    
188.districtname,BUFFLO                       ,BUFFALO                       
360.fax,(405) 47-4698,(405) 478-4698
36.address,600 S. Mcpherren pSt.,600 S. Mcpherren St.
67.city,iWlson,Wilson
62.websiteurl,www.buffalo.12.ok.us,www.buffalo.k12.ok.us
375.fax,(98) 733-4205,(918) 733-4205
475.websiteurl,ww.wvarnum.k12.ok.us,www.varnum.k12.ok.us
94.superintendent,Robert Rmoines,Robert Romines
191.superintendent,Patricia Deville***,Patricia Deville
350.fax,(405u) 681-7484,(405) 681-7484
468.districtname,VERDIGRIS                     ***,VERDIGRIS                     
164.city,Maysivlle,Maysville
384.statevalue,KO,OK
475.superintendentsemail,dbrewer@varnum.k12.ko.us,dbrewer@varnum.k12.ok.us
148.phone,(58)0 922-7383,(580) 922-7383
339.websiteurl,www.buffalo.k12.ok.us***,www.buffalo.k12.ok.us
416.superintendent,Umit Allpaslan,Umit Alpaslan
227.code,37-I098,37-I089
221.phone,(580) 28-3597,(580) 628-3597
57.superintendentsemail,jason.simerpoth@yukonps.com,jason.simeroth@yukonps.com
495.districtname,MARLOW                        ***,MARLOW                        
38.websiteurl,www.caleraisd.k12.ok.wus,www.caleraisd.k12.ok.us
358.address,9200 .N Hiwassee Rd.,9200 N. Hiwassee Rd.
199.superintendent,racy Blasengame,Tracy Blasengame
348.statevalue,K,OK
370.phone,(405) 85-2133,(405) 835-2133
39.phone,(508) 924-1276,(580) 924-1276
375.address,307 Sout 6Th Street,307 South 6Th Street
