OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Shellfish_Description,Shellfish_Attainment_Code,Shellfish_Attainment,Impaired,SHAPE_Length,SHAPE_Area
51,2018,CT-W1_009,"LIS WB Inner - Grays Creek, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth on Saugatuck River Estuary, US to saltwater limit at Compo Road, Westport.",0.036,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,14199.499641636,1006460.25132272
52,2018,CT-E1_006,"LIS EB Inner - Inner Quiambaug Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Quiambaug Cove from RR crossing, US to Saltwater limit, above Route 1 crossing, adjacent to Cove Road, Stonington.",0.114,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,20584.359403294,3165409.62045516
53,2018,CT-E1_010,"LIS EB Inner - Palmer Cove (Inner), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.",0.113,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,17689.4423605944,3149840.36585975
54,2018,CT-E1_019,"LIS EB Inner - Jordan Cove, Waterford","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Jordan Cove from outlet at Pleasure Beach, US past RR crossing, to Saltwater limit at outlet dam of Jordan Mill Pond, adjacent to Route 156, Waterford.",0.191,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,32641.230842191,5329055.27311996
55,2018,CT-E1_023,"LIS EB Inner - Fourmile River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Fourmile River from outlet at RR crossing, Western end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, Old Lyme.",0.031,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,10331.9964637195,864108.868579571
56,2018,CT-W1_005,"LIS WB Inner - Southport Harbor, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth parallel to Willow Street, US to Harbor Road crossing, Fairfield.",0.072,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,13931.7434392543,2016457.98698027
57,2018,CT-E1_016-SB,"LIS EB Inner - Thames River (Upper), Norwich","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from just below outlet of Poquetanuck Cove (near Walden Island), adjacent to Route 12 at Cardinal Lane intersection, US to first dams in Yantic and Shetucket Rivers, Norwich.",1.555,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,152946.582019049,43355803.5615809
58,2018,CT-E1_027-SB,"LIS EB Inner - Duck River, Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Duck River from RR crossing near Route 156 crossing, US to saltwater limit at Elm Street, Old Lyme.",0.007,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,7220.30823167854,183157.772196225
59,2018,CT-E1_024-SB,"LIS EB Inner - Connecticut River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from outlet at Griswold Point, US to I 95 crossing (Includes North and South Coves, lower Lieutenant River and waters around Great Island upto RR crossings), Old Lyme.",3.284,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,N,NOT SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,187381.763210123,91545858.8730836
60,2018,CT-C2_019-SB,"LIS CB Shore - New Haven Harbor (West), Milford","See Map for Boundaries.  Central portion of LIS from Merwin Point to Oyster River Point area (includes Woodmont Beach, Oyster River outlet), out approximately 1000 ft offshore, Milford.",0.295,SQUARE MILES,ESTUARY,Central,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,F,FULLY SUPPORTING,No,18686.6867463042,8217102.09775337
61,2018,CT-W1_019,"LIS WB Inner - Cos Cob Harbor (upper), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from RR crossing, US to saltwater limit at Mianus River Dam, Route 1 crossing (includes I95 bridge crossing), Greenwich.",0.132,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,No,18741.7910472614,3667618.56309681
62,2018,CT-W1_008,"LIS WB Inner - Sherwood Millpond, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth at Compo Cove, US to saltwater limit south of RR and I95 (includes Mill Creek, Grove Point, and all of Greens Farm Brook surrounding Sherwood Island State Park), Westport.",0.168,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,50701.3364762648,4679287.04699399
63,2018,CT-C1_011,"LIS CB Inner - Farm River, East Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at Route 142 (Short Beach Road), US to saltwater limit above RR crossing and near Route 1, East Haven/Branford.",0.066,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,No,45781.0219088525,1844745.66682275
64,2018,CT-C1_007,"LIS CB Inner - West River, Guilford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth of West River at outlet into Guilford Harbor, US to saltwater limit at Route 1 crossing, Guilford.",0.047,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,26350.7315293489,1317364.32839152
65,2018,CT-C1_020-SB,"LIS CB Inner - Housatonic River (lower), Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Route 1 crossing, US to Route 15 crossing (includes Peacock, Carting, Long, Popes, and Fowler Islands, and mouth of Pumpkin Ground Brook) Milford/Stratford.",0.741,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,X,UNASSESSED,No,85798.6565892212,20655639.3579372
66,2018,CT-E1_029-SB,"LIS EB Inner - Connecticut River (Lower), Essex","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from I95 crossing, US to area just above Brockway Island, Essex.",3.182,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,N,NOT SUPPORTING,Commercial Shellfish Harvesting Where Authorized,X,UNASSESSED,Yes,247663.829781432,88707618.375856
67,2018,CT-C1_008,"LIS CB Inner - Joshua Cove, Beattie Pond, Guilford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at outlet into Joshua Cove, US to saltwater limit above Route 146 and RR crossing (includes Beattie Pond), Guilford.",0.104,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,No,24560.9029499239,2905991.46438415
68,2018,CT-E2_005,"LIS EB Shore - Mouth Mystic River, Stonington","See Map for Boundaries.  Eastern portion of LIS from western most tip of Mason Island along SB/SA water quality boundary to eastern most tip of Mason Island, out approximately 1000 ft offshore.",0.35,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,29178.2386357076,9744571.94522925
69,2018,CT-E2_013,"LIS EB Shore - Niantic Bay (East), Waterford","See Map for Boundaries.  Eastern portion of LIS from Smith Avenue at junction with Route 156 to Millstone Point, out approximately 1000 ft offshore.  Waters adjacent to Millstone Power Plant.",0.444,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,27604.1661395995,12386349.3606052
70,2018,CT-E3_011,"LIS EB Midshore - Old Saybrook, Indian Harbor","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point, to Guardhouse Point, Old Saybrook, (outer Indiantown Harbor and Plum Bank), out to 50 ft contour.",5.639,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,57646.7166726261,157218608.931288
71,2018,CT-C3_001,"LIS CB Midshore - Westbrook Harbor, Westbrook","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Westbrook Harbor), out to 50 ft contour and basin boundary separating Eastern/Central.",2.692,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,40337.5174447492,75045739.0451791
72,2018,CT-E3_012,LIS EB Midshore - Westbrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point (outer Westbrook Harbor), out to 50 ft contour. Odd shape due to 50 ft contour.",7.407,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,88773.6682578699,206495230.394368
73,2018,CT-E1_030,"LIS EB Inner - Hamburg Cove/Eightmile River (mouth), Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Hamburg Cove (Eightmile River from mouth on Connecticut River near Brockway Island, US to saltwater limit adjacent to Cove Road (just South of intersection with Route 156), Essex.",0.181,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Not Evaluated,,Natural Conditions Not Viable,No,18265.9738655041,5054150.63724267
74,2018,CT-W3_010,"LIS WB Midshore - Outer Cove Harbor, Darien","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (off of Long neck Point, outer Cove Harbor, Darien Cove, Scott Cove area), out to 50 ft contour, Darien.",2.113,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,38700.8838749336,58903269.493238
75,2018,CT-C2_011,"LIS CB Shore - Stony Creek (East), Branford","See Map for Boundaries.  Central portion of LIS from Flying Point to Clark Point area (includes Hoadley Neck, Narrows Island), out approximately 1000 ft offshore, Branford/Guilford.",0.546,SQUARE MILES,ESTUARY,Central,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,52267.5214991965,15221554.6687621
76,2018,CT-C3_009-I,"LIS CB Midshore - Thimble Islands, Branford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Thimble Islands), out to 50 ft contour, Branford.",1.457,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,75470.3197500749,40614880.4899732
77,2018,CT-C2_012,"LIS CB Shore - Stony Creek (West), Branford","See Map for Boundaries.  Central portion of LIS from Brown Point to Flying Point area (includes Stony Creek Beach, Saint Helena Island, Juniper Point, Pleasant Point), out approximately 1000 ft offshore, Branford.",0.379,SQUARE MILES,ESTUARY,Central,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,39606.805607261,10555102.7738397
78,2018,CT-W1_020,"LIS WB Inner - Indian Harbor (upper), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, upper Indian Harbor (lower portion of Greenwich Creek) from Davis Avenue crossing, US to saltwater limit at West Brother Drive crossing (includes I95 crossing), Greenwich.",0.025,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,Yes,9582.32452348792,685988.438871483
79,2018,CT-W2_023,"LIS WB Shore - Smith Cove, Indian Hrbr, Greenwich","See Map for Boundaries.  Western portion of LIS from Field Point to Tweed Island (includes Round Island, Tweed Island, Smith Cove, Indian Harbor) out approximately 1000 ft offshore, Greenwich.",0.374,SQUARE MILES,ESTUARY,Western,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,36286.0095426858,10435117.5662644
80,2018,CT-C2_024-SB,"LIS CB Shore - Housatonic River mouth, Stratford","See Map for Boundaries.  Central portion of LIS from SA/SB WQ line at Stratford Point to SA/SB WQ line at Milford Point area (includes Short Beach, entire mouth of Housatonic River) all SB waters out approximately 1000-4000 ft offshore, Stratford.",0.64,SQUARE MILES,ESTUARY,Central,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,28860.212929491,17852314.4109618
81,2018,CT-C4_001,LIS CB Offshore - Madison,See Map for Boundaries.  Central portion of LIS from 50ft contour to CT/NY State line.,37.978,SQUARE MILES,ESTUARY,Central,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Not Evaluated,,Natural Conditions Not Viable,No,175785.920501051,1058769377.8743
82,2018,CT-E4_005,LIS EB Offshore - Westbrook,See Map for Boundaries.  Eastern portion of LIS from 50ft contour to CT/NY State line.,6.07,SQUARE MILES,ESTUARY,Eastern,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Not Evaluated,,Natural Conditions Not Viable,No,75530.3433872666,169230569.818359
83,2018,CT-C3_003,"LIS CB Midshore - Outer Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Clinton Harbor), out to 50 ft contour, Clinton.",2.524,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,38711.6403275611,70372699.9240908
84,2018,CT-C1_002-SB,"LIS CB Inner - Inner Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SB water of inner Clinton Harbor, including mouths of Hammonasset, Indian, Hammock Rivers, and Dudley Creek (includes Esposito Beach), Clinton.",0.372,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,True,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,F,FULLY SUPPORTING,Yes,21148.1794158666,10377399.7058145
85,2018,CT-C1_003-SB,"LIS CB Inner - Hammonasset River, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Hammonasset River SB water from mouth at inner Clinton Harbor, US to SA/SB water quality line between Currycross Road and RR track, Clinton.",0.072,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,26163.4200852147,2004912.58104265
86,2018,CT-C1_005,"LIS CB Inner - Clinton Harbor (SA Inputs), Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, (DISCONTINUOUS SEGMENT) SA water of upper Hammonasset, Indian, Hammock Rivers, Dudley Creek and other small tributaries, from SA/SB water quality line, US to saltwater limits, Clinton.",0.138,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,98107.7573017659,3842627.11534597
87,2018,CT-W2_003,"LIS WB Shore - Seaside Park Beach, Bridgeport","See Map for Boundaries.  Western portion of LIS from tip of Fayerweather Island to SA/SB WQ line at Bridgeport Harbor area (includes Seaside Park Beach, SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Bridgeport.",0.492,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,30076.785638492,13719018.5935333
88,2018,CT-W2_017,"LIS WB Shore - Darien Cove, Darien","See Map for Boundaries.  Western portion of LIS from Greenway Island area of outer Cove Harbor to Long Neck Point (includes Pear Tree Point Beach, Nash Island, Darien River mouth) out approximately 1000 ft offshore, Darien.",0.498,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,46949.5096111007,13893733.6144171
89,2018,CT-C1_015-SB,"LIS CB Inner - West River (Lower), West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth just DS of I95 crossing (City Point, New Haven Harbor), US to SA/SB water quality line at Route 1 crossing, West Haven.",0.065,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,X,UNASSESSED,Yes,27773.3102192349,1817773.28021208
90,2018,CT-C1_021-SB,"LIS CB Inner - Housatonic River (Upper), Orange","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Route 15 crossing, US to just below Wooster Island (includes Great Flats, and mouth of Farmill River) Orange/Shelton.",0.402,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,X,UNASSESSED,Yes,43096.3295570767,11206148.5192943
91,2018,CT-E1_011-SB,"LIS EB Inner - Mumford Cove (Inner), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Mumford Cove along east side of Bluff Point State Park shore, and North of Groton Long Point to saltwater limit near RR crossing, Groton.",0.219,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,17747.2107938251,6105252.72566075
92,2018,CT-E1_021,"LIS EB Inner - Pattagansett Rvr (mouth), East Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Pattagansett River from outlet at RR crossing, US to saltwater limit at Route 156 crossing, East Lyme.",0.048,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,16943.0398792269,1345579.891656
93,2018,CT-E2_021,"LIS EB Shore - Plum Bank, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS from Plum Bank Creek to Cornfield Point (includes Town Beach), out approximately 1000 ft offshore.",0.182,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,No,12262.3702120912,5081545.11457672
94,2018,CT-E2_022,"LIS EB Shore - Indiantown Harbor, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS from Long Rock to Plum Bank Creek (includes the mouth of Oytser River and Back River, and Plum Bank Creek), out approximately 1000 ft offshore.",0.389,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,28446.8328214907,10856712.6241672
95,2018,CT-C1_004-SB,"LIS CB Inner - Hayden Creek, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Hayden Creek SB water from mouth at Hammonasset River (parallel with Pratt Road), US to saltwater limit near Maple Avenue (off Route 1), Clinton.",0.009,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,12064.515931827,248499.95004896
96,2018,CT-C1_013-SB,"LIS CB Inner - New Haven Harbor, New Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Inner New Haven Harbor from Sandy Point to I95 crossing (mouth of Quinnipiac and Mill Rivers, and mouth of West River), New Haven/West Haven.",2.343,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,58309.3018226329,65321194.3068196
97,2018,CT-C1_012,"LIS CB Inner - Morris Creek, East Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at New Haven Harbor (near Lighthouse Point Beach) to, US to saltwater limit above Route 337, East Haven/New Haven.",0.016,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,Yes,11231.3581999898,432531.485153799
98,2018,CT-C2_017-SB,"LIS CB Shore - Morris Cove, New Haven","See Map for Boundaries.  Central portion of LIS from Black Rock to Morgan Point area (includes Lighthouse Point Beach, Lighthouse Point, South End), out approximately 1000 ft offshore, New Haven.",0.586,SQUARE MILES,ESTUARY,Central,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,F,FULLY SUPPORTING,Yes,36372.4218838541,16325094.7129849
99,2018,CT-E2_020,"LIS EB Shore - Willard Bay, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS from Cornfield Point to SB/SA water quality boundary at Lynde Point, out approximately 1000 ft offshore. (SB water)",0.5,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,29879.568592061,13928373.6854045
100,2018,CT-E2_018,"LIS EB Shore - Soundview Beach, Old Lyme","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary at Hawks Nest Beach area to Hatchett Point (Includes Soundview Beach), out approximately 1000 ft offshore.",0.332,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,20951.4117918318,9246758.45712406
101,2018,CT-C2_004,"LIS CB Shore - Outer Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS from West Rock to Kelsey Point area (outer Clinton Harbor SA water includes Hammonasset, Indian, and Hammock River outlets, and Town Beach), out approximately 1000 ft offshore, Clinton.",0.505,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,30531.041508012,14086479.99214
