466.city,nFoyil,Foyil
240.countyname,LE FLOREv    ,LE FLORE    
312.websiteurl,www.davis.k21.ok.us,www.davis.k12.ok.us
37.statevalue,OrK,OK
223.websiteurl,www.domver.k12.ok.us,www.dover.k12.ok.us
99.superintendentemail,jdaniel@cottlonwoodps.org,jdaniel@cottonwoodps.org
7.phone,(918) 422p-5311,(918) 422-5311
140.phone,(981) 434-5799,(918) 434-5799
29.phone,(580)h 623-7364,(580) 623-7364
44.code,08-I033***,08-I033
414.superintendent,John Wiclox,John Wilcox
348.districtname,Okc Charter: Harper Acacdemy   ,Okc Charter: Harper Academy   
417.boardpresident,Orda elph,Orda Selph
16.districtname,Stringtown                   ,Stringtown                    
287.boardpresident,Jason endrix,Jason Hendrix
312.statevalue,KO,OK
31.city,Cantno,Canton
443.boardpresident,eith Sandlin,Keith Sandlin
251.address,35069 St Hkwy 63,35069 St Hwy 63
78.phone,(918) 45k6-4221,(918) 456-4221
281.countyname,MAYES       ***,MAYES       
509.fax,(j580) 568-2219,(580) 568-2219
372.superintendent,Gary Mceloy,Gary Mcelroy
356.superintendentemail,ranettiuppens@dcsok.org,ranettippens@dcsok.org
86.city,oswell,Boswell
196.districtname,Wetumka                       ***,Wetumka                       
291.superintendent,Johsn Smith,John Smith
9.countyname,ADAIR       ***,ADAIR       
147.code,22-I005***,22-I005
54.code,09C070,09-C070
218.districtname,Kildare                      ,Kildare                       
99.districtname,Cottonwood                    ***,Cottonwood                    
526.statevalue,K,OK
450.city,Ratan,Rattan
331.phone,(918) 6230231,(918) 623-0231
462.websiteurl,http://www.chelseadrgaons.net,http://www.chelseadragons.net
429.countyname,PONTOTCO    ,PONTOTOC    
320.boardpresident,Alicia Bpeasley,Alicia Beasley
383.fax,k(918) 263-2143,(918) 263-2143
444.districtname,Asher                         ***,Asher                         
132.city,Sapupla,Sapulpa
374.code,56-I02,56-I002
245.websiteurl,www.cameronps.org***,www.cameronps.org
518.boardpresident,Gregoryw Shaw,Gregory Shaw
309.address,16 South Pine,316 South Pine
462.countyname,ROGES      ,ROGERS      
285.superintendentemail,tobrienn@ewcastle.k12.ok.us,tobrien@newcastle.k12.ok.us
231.districtname,MountainView-Gotebo          ,Mountain View-Gotebo          
452.websiteurl,www.antlers.k12.okus,www.antlers.k12.ok.us
372.phone,(918) 733h-2531,(918) 733-2531
349.statevalue,KO,OK
334.code,5-4I031,54-I031
246.fax,(918) 96-34860,(918) 963-4860
180.boardpresident,Cindi ichols,Cindi Nichols
149.statevalue,K,OK
391.statevalue,yOK,OK
99.websiteurl,www.cottonwoodschool.dnet,www.cottonwoodschool.net
160.districtname,Drummond                     ,Drummond                      
182.address,301 North Main Sreet,301 North Main Street
127.code,9-I017,19-I017
552.boardpresident,Tsroy White,Troy White
190.boardpresident,Royce Alverspon,Royce Alverson
88.address,100 St. Louisi St.,100 St. Louis St.
120.superintendentemail,thale@lonestar.k12.ko.us,thale@lonestar.k12.ok.us
439.boardpresident,Keithp Mitchell,Keith Mitchell
185.city,angum,Mangum
200.city,Altsu,Altus
54.city,El Rehno,El Reno
347.boardpresident,Bilal Ertuk,Bilal Erturk
494.countyname,STEPHESN    ,STEPHENS    
444.websiteurl,wwwi.asher.k12.ok.us,www.asher.k12.ok.us
463.city,Oolgogah,Oologah
117.phone,(918) 788-z3129,(918) 788-3129
103.city,aLwton,Lawton
31.countyname,BLAnINE      ,BLAINE      
104.districtname,Cache                        ,Cache                         
415.code,61-C0k88,61-C088
233.boardpresident,Charles Aadms,Charles Adams
258.code,41m-I054,41-I054
412.boardpresident,ill Pemberton,Bill Pemberton
536.superintendentemail,cnmcmahan@okayps.org,cmcmahan@okayps.org
546.code,75-I01y1,75-I011
548.phone,(580) 327-423,(580) 327-4823
114.websiteurl,http:/www.bigpasture.org,http://www.bigpasture.org
353.code,55-I001***,55-I001
36.fax,(580) 367-8237,(580) 367-2837
500.code,7n0-C080,70-C080
507.boardpresident,Bardy Mitchell,Brady Mitchell
421.countyname,PITTuSBURG   ,PITTSBURG   
31.websiteurl,http://www.canton.k21.ok.us/,http://www.canton.k12.ok.us/
269.fax,(580) 26-5223,(580) 276-5223
135.phone,(5o80) 661-3527,(580) 661-3527
79.districtname,Tenkiller   i                  ,Tenkiller                     
38.phone,(580) 434-o5700,(580) 434-5700
55.code,o09-C162,09-C162
333.districtname,Okemah           h             ,Okemah                        
420.districtname,Quinton                      ,Quinton                       
421.websiteurl,hhttp://www.indianola.k12.ok.us/,http://www.indianola.k12.ok.us/
513.code,72-004,72-E004
173.fax,(405) 22-6590,(405) 222-6590
204.districtname,Olustee           u            ,Olustee                       
360.countyname,KLAHOMA    ,OKLAHOMA    
12.superintendentemail,andersond@cheroke.k12.ok.us,andersond@cherokee.k12.ok.us
552.superintendent,Terry Kellneqr,Terry Kellner
473.code,67I-006,67-I006
450.phone,(580) 587-2q546,(580) 587-2546
229.statevalue,KO,OK
35.code,07-I040,07-I004
155.superintendent,Jim Patgton,Jim Patton
538.code,73-I091,73-I019
397.superintendentemail,jhaynes@commerctigers.net,jhaynes@commercetigers.net
10.address,89660 Sr 4637 Rd,89660 S 4637 Rd
156.fax,(58) 234-5334,(580) 234-5334
168.superintendentemail,rcolewynnewood.k12.ok.us,rcole@wynnewood.k12.ok.us
116.statevalue,KO,OK
250.statevalue,nOK,OK
280.superintendentemail,uraleighd@pryorschools.org,raleighd@pryorschools.org
134.fax,(580) 323-u5886,(580) 323-5886
491.statevalue,OaK,OK
551.superintendent,Kyle Reynolsd,Kyle Reynolds
417.statevalue,KO,OK
360.superintendentemail,crobinson@millwoodps.ogr,crobinson@millwoodps.org
165.code,25-oI007,25-I007
287.code,4-I005,47-I005
523.boardpresident,Lana Turner-Adidson,Lana Turner-Addison
121.phone,918) 324-5365,(918) 324-5365
98.fax,(405)579-2929,(405) 579-2929
510.city,Federick,Frederick
39.statevalue,K,OK
79.countyname,CHEROKEE   ,CHEROKEE    
476.code,67I-014,67-I014
394.superintendent,Tamyra Larsno,Tamyra Larson
177.districtname,mRush Springs                  ,Rush Springs                  
96.fax,(405) 8723-271,(405) 872-3271
437.phone,z(405) 964-3314,(405) 964-3314
550.fax,(580) 621-6399,(580) 621-3699
337.superintendentemail,tmcafee@crutchoesdorg,tmcafee@crutchoesd.org
164.fax,(40) 484-7268,(405) 484-7268
317.city,Okaha,Oktaha
284.countyname,MwAYES       ,MAYES       
475.phone,b(405) 941-3250,(405) 941-3250
434.statevalue,KO,OK
219.websiteurl,www.blackwell.k1.ok.us,www.blackwell.k12.ok.us
340.code,55-003,55-E003
438.city,ale,Dale
388.districtname,Barnsdall                     ***,Barnsdall                     
60.boardpresident,Chad Fulotn,Chad Fulton
282.phone,(918) 44-5091,(918) 434-5091
258.city,Stcroud,Stroud
42.superintendentemail,mdavis@lookeba.k12.ok.us***,mdavis@lookeba.k12.ok.us
233.statevalue,K,OK
10.statevalue,OpK,OK
434.phone,(405) 27-7435,(405) 275-7435
387.websiteurl,www.shidlerpublicschpools.com,www.shidlerpublicschools.com
240.code,4-C039,40-C039
138.districtname,Cleora v                       ,Cleora                        
279.districtname,Osage     h                    ,Osage                         
51.superintendent,Lisa Kinag,Lisa King
545.statevalue,KO,OK
377.city,Prestn,Preston
195.statevalue,K,OK
495.boardpresident,Andy Mcguier,Andy Mcguire
392.superintendentemail,tkimrey@woodlandp.k12.ok.us,tkimrey@woodland.k12.ok.us
143.address,10 S Broadway,310 S Broadway
158.phone,i(580) 758-3282,(580) 758-3282
407.boardpresident,Rick Lomnick,Rick Lomenick
38.websiteurl,www.caleraisd.k12.k.us,www.caleraisd.k12.ok.us
32.boardpresident,MindyH ouse,Mindy House
550.city,zFreedom,Freedom
400.fax,(918) 667-3594,(918) 676-3594
553.boardpresident,Reed Schmelign,Reed Schmeling
263.superintendent,Dr. MikeS impson,Dr. Mike Simpson
547.countyname,WASHIeTA     ,WASHITA     
424.code,16-I063,61-I063
513.superintendent,Erci Doss,Eric Doss
534.websiteurl,http://www.glenpfool.k12.ok.us,http://www.glenpool.k12.ok.us
201.phone,(580) 6793-014,(580) 679-3014
437.countyname,PeOTTAWATOMIE,POTTAWATOMIE
535.fax,(918) 36-8497,(918) 366-8497
199.code,32-I54,32-I054
540.statevalue,K,OK
191.code,3e1-I013,31-I013
403.code,5y9-I006,59-I006
551.countyname,WOODARD    ,WOODWARD    
57.code,09l-I027,09-I027
440.address,36591 StateHighway 59B,36591 State Highway 59B
533.address,15a01 North Ash Street,1501 North Ash Street
494.websiteurl,www.marlow.k12.ok.su,www.marlow.k12.ok.us
305.address,110535 S 3960 Rd,115035 S 3960 Rd
124.city,Brristow,Bristow
27.phone,(58) 526-3476,(580) 526-3476
447.superintendentemail,clynnbullardsupt@hotmpail.com,clynnbullardsupt@hotmail.com
297.address,300 NorthMaple Street,300 North Maple Street
181.superintendentemail,cahnce@amposchools.org,chance@amposchools.org
136.fax,(580) 774-021,(580) 774-0821
365.districtname,Oklahoma City          z       ,Oklahoma City                 
300.superintendent,Delbetr Mcbroom,Delbert Mcbroom
280.statevalue,K,OK
525.countyname,ULSA       ,TULSA       
535.districtname,Liberty                    j   ,Liberty                       
404.phone,(918 352-2889,(918) 352-2889
56.countyname,CAANDIAN    ,CANADIAN    
404.websiteurl,wwwo.akgrove.k12.ok.us,www.oakgrove.k12.ok.us
551.statevalue,KO,OK
206.code,34-C003***,34-C003
182.city,Medfodr,Medford
52.code,09-C02a9,09-C029
32.fax,(80) 920-7988,(580) 920-7988
511.districtname,Grandfield                q    ,Grandfield                    
77.websiteurl,www.grandviewchargers.og,www.grandviewchargers.org
181.fax,(45) 224-5115,(405) 224-5115
464.address,110 North Broaday,110 North Broadway
107.boardpresident,Donald Mcaig,Donald Mccaig
74.code,11-C021***,11-C021
88.fax,(580) 354-2222,(580) 345-2222
344.websiteurl,uwww.hardingfinearts.org,www.hardingfinearts.org
341.countyname,OKLAHOA    ,OKLAHOMA    
212.websiteurl,www.millcree.k12.ok.us,www.millcreek.k12.ok.us
171.address,2103 County Road 1317,2130 County Road 1317
338.countyname,OKLAHOMA    ***,OKLAHOMA    
158.superintendent,Bren Koontz,Brent Koontz
220.city,oPnca City,Ponca City
91.districtname,Felt                         ,Felt                          
143.websiteurl,www.ridgerunnerjs.net,www.ridgerunners.net
99.fax,v(580) 927-2938,(580) 927-2938
179.boardpresident,Tinm Hogland,Tim Hogland
504.address,222 N. Sem,222 N. Swem
466.superintendent,Rodney Caretr,Rodney Carter
340.phone,(405) 7511-774,(405) 751-1774
292.code,4t8-C009,48-C009
353.statevalue,OnK,OK
465.code,66w-I006,66-I006
160.address,South Hw 132,South Hwy 132
1.phone,(918) 696-781y8,(918) 696-7818
485.code,68-I0n02,68-I002
151.websiteurl,www.arnett.1k2.ok.us,www.arnett.k12.ok.us
194.boardpresident,Jimmy Winkleplekc,Jimmy Winklepleck
456.websiteurl,http://www.cheyenne.k12.oku.us,http://www.cheyenne.k12.ok.us
307.boardpresident,Shirey Breedlove,Shirley Breedlove
23.districtname,Turpin         m               ,Turpin                        
539.address,125 Suth Main,125 South Main
340.countyname,OKLAHOMsA    ,OKLAHOMA    
346.phone,(45) 425-4622,(405) 425-4622
138.superintendent,eKnny Guthrie,Kenny Guthrie
498.boardpresident,Cris Sparsk,Cris Sparks
231.superintendentemail,sbelcher@mvgschool.com,sbelcher@mvgschools.com
246.countyname,LE FLORE    ***,LE FLORE    
303.phone,(580) 548-3306,(580) 584-3306
244.countyname,LE FLORE   ,LE FLORE    
171.superintendent,aRndy Hughes,Randy Hughes
250.superintendentemail,jlockhrt@talihina.k12.ok.us,jlockhart@talihina.k12.ok.us
69.countyname,CARTER z     ,CARTER      
491.superintendentemail,garywae@grandviewschool.k12.ok.us,garywade@grandviewschool.k12.ok.us
371.countyname,OKLHAOMA    ,OKLAHOMA    
321.districtname,Warner                        ***,Warner                        
422.boardpresident,Chester Maslon,Chester Mason
266.superintendent,osh Sumrall,Josh Sumrall
391.districtname,Prue         n                 ,Prue                          
18.address,261 W Boggy Depot oRad,261 W Boggy Depot Road
525.districtname,Broken Arrow                 ,Broken Arrow                  
484.websiteurl,www.sallisawps.xorg,www.sallisawps.org
275.superintendentemail,jtuck@madillok.om,jtuck@madillok.com
396.city,uapaw,Quapaw
126.boardpresident,Joe Carnre,Joe Carner
373.code,6-I001,56-I001
263.address,802 EastV ilas Ave,802 East Vilas Ave
201.countyname,JCAKSON     ,JACKSON     
551.boardpresident,Glenn Billinsg,Glenn Billings
346.websiteurl,wwwkippreach.org,www.kippreach.org
188.countyname,HARPER      ***,HARPER      
474.phone,t(405) 382-1448,(405) 382-1448
68.code,0-I055,10-I055
52.superintendentemail,dgarnerx@riverside.k12.ok.us,dgarner@riverside.k12.ok.us
169.boardpresident,Kristi Drenan,Kristi Drennan
127.city,aDrumright,Drumright
477.statevalue,KO,OK
129.superintendent,Matt Posgey,Matt Posey
225.websiteurl,http://www.kingfisher.k12.ok.us/***,http://www.kingfisher.k12.ok.us/
25.statevalue,mOK,OK
145.superintendentemail,bsidmmons@colcordschools.com,bsimmons@colcordschools.com
364.fax,(405) 499-4660,(405) 499-4606
43.boardpresident,Jackie Mccoams,Jackie Mccomas
242.statevalue,eOK,OK
255.websiteurl,http:s//www.chandler.k12.ok.us/,http://www.chandler.k12.ok.us/
418.districtname,Haileyville                   ***,Haileyville                   
471.websiteurl,www.bowlegs.k12.ok.us***,www.bowlegs.k12.ok.us
41.superintendentemail,bderrybery@hydroeakly.k12.ok.us,bderryberry@hydroeakly.k12.ok.us
172.countyname,eGRADY       ,GRADY       
374.phone,(918) 65-6523,(918) 652-6523
186.countyname,GREERv       ,GREER       
305.superintendentemail,lmaxwell@ryal.k12.o.kus,lmaxwell@ryal.k12.ok.us
137.phone,(80) 323-1800,(580) 323-1800
494.superintendentemail,gcoffman@marlow.k12.tok.us,gcoffman@marlow.k12.ok.us
149.superintendent,Darci Brwn,Darci Brown
472.districtname,Konawa                       ,Konawa                        
490.fax,(918) 775-857,(918) 775-8557
101.city,upelo,Tupelo
203.districtname,Eldoraod                      ,Eldorado                      
490.websiteurl,ww.centralps.k12.ok.us,www.centralps.k12.ok.us
193.countyname,HASKLL     ,HASKELL     
477.fax,(405) 944-5764,(405) 944-5746
204.websiteurl,http://ywww.olustee.k12.ok.us/,http://www.olustee.k12.ok.us/
493.city,Comance,Comanche
80.fax,(918 456-1656,(918) 456-1656
550.address,1138 Eagl Pass,1138 Eagle Pass
193.districtname,Mccurtain                     ***,Mccurtain                     
5.districtname,Dahlonegah            p        ,Dahlonegah                    
266.code,42-I041,42-I014
197.phone,(405)379-5483,(405) 379-5483
339.superintendentemail,mamajisok@seworthacademy.org,mamajisok@seeworthacademy.org
382.code,57f-C007,57-C007
259.boardpresident,Marc Chapan,Marc Chapman
18.superintendentemail,msimpsqon@tushka.k12.ok.us,msimpson@tushka.k12.ok.us
400.phone,(918) 667-3811,(918) 676-3811
73.countyname,CHREOKEE    ,CHEROKEE    
499.code,70-C090,70-C009
191.superintendentemail,pdeaville@kinta.k12.ok.us,pdeville@kinta.k12.ok.us
282.websiteurl,www.salina.k12.k.us,www.salina.k12.ok.us
142.fax,g(918) 253-8970,(918) 253-8970
356.phone,(405)i 348-6100,(405) 348-6100
359.websiteurl,http://www.edmondschools.net***,http://www.edmondschools.net
57.superintendentemail,jsaon.simeroth@yukonps.com,jason.simeroth@yukonps.com
407.districtname,Perkins-Tryofn                 ,Perkins-Tryon                 
227.countyname,KINFISHER  ,KINGFISHER  
111.boardpresident,vBrent Peters,Brent Peters
428.websiteurl,www.byngshcools.com,www.byngschools.com
522.city,Tlusa,Tulsa
217.fax,(580) 36a2-3970,(580) 362-3970
42.websiteurl,http://www.lookeba.k12.oku.s,http://www.lookeba.k12.ok.us
549.countyname,WOODS   u    ,WOODS       
134.boardpresident,Jason Roes,Jason Rose
504.boardpresident,Kevqin Hofferber,Kevin Hofferber
30.phone,(4s05) 884-2411,(405) 884-2411
368.phone,(450) 259-9478,(405) 259-9478
61.districtname,Clumet                       ,Calumet                       
177.code,26-0I68,26-I068
138.address,45138 East 295 Road,451358 East 295 Road
318.boardpresident,John arton,John Barton
162.fax,4(05) 238-6258,(405) 238-6258
539.city,Poretr,Porter
486.fax,9(18) 427-6088,(918) 427-6088
147.boardpresident,Km White,Kim White
168.websiteurl,www.wynnewvood.k12.ok.us,www.wynnewood.k12.ok.us
535.statevalue,K,OK
342.fax,(405) 61-6993,(405) 681-6993
396.address,305x West First Street,305 West First Street
425.websiteurl,www.mcaelster.k12.ok.us,www.mcalester.k12.ok.us
139.boardpresident,hAlaka Back,Alaka Back
401.boardpresident,Lloyd jMitchell,Lloyd Mitchell
2.fax,918) 696-6746,(918) 696-6746
178.fax,(405) 37-4882,(405) 387-4882
416.statevalue,jOK,OK
108.fax,(580) 855-6319,(580) 585-6319
373.districtname,Okmulgee                      ***,Okmulgee                      
68.city,ealdton,Healdton
284.fax,(918f) 476-8538,(918) 476-8538
399.code,5w8-I026,58-I026
331.countyname,OKFUSKEEm    ,OKFUSKEE    
488.city,oRland,Roland
484.address,701 J. T. Stites Bvd,701 J. T. Stites Blvd
271.countyname,MAJOR      ,MAJOR       
534.districtname,Glenpool  f                    ,Glenpool                      
185.address,400 North Pennslvania Ave,400 North Pennsylvania Ave
346.fax,(405) 425-4p624,(405) 425-4624
468.phone,(405) 257-296a2,(405) 257-2962
497.websiteurl,www.central.k12.ok.us/ikndex.htm,www.central.k12.ok.us/index.htm
409.countyname,PAYNE       ***,PAYNE       
218.fax,(508) 362-3342,(580) 362-3342
94.superintendentemail,robertromines@moorschools.com,robertromines@mooreschools.com
344.districtname,Okc Charter: Harding ine Arts,Okc Charter: Harding Fine Arts
480.address,952e66 S. 4610 Rd,95266 S. 4610 Rd
40.address,810 WaldonDr,810 Waldon Dr
483.websiteurl,www.moffett.k1.2ok.us,www.moffett.k12.ok.us
59.countyname,CNADIAN    ,CANADIAN    
124.websiteurl,www.bristow.k12.o.us,www.bristow.k12.ok.us
106.address,400 S Tiger Blvd***,400 S Tiger Blvd
293.superintendentemail,twhisenhunt@freeriver.orqg,twhisenhunt@freeriver.org
552.phone,580) 994-5388,(580) 994-5388
389.city,Wynonua,Wynona
235.address,4384 Southeakst Highway 63,4384 Southeast Highway 63
539.fax,(918) 48-2310,(918) 483-2310
207.countyname,JEFFEROSN   ,JEFFERSON   
78.websiteurl,www.briggs.k12.o.us,www.briggs.k12.ok.us
406.statevalue,KO,OK
65.code,10-I072,10-I027
427.code,62-I00f9,62-I009
157.superintendent,im Lamer,Jim Lamer
124.code,19I002,19-I002
249.phone,(198) 655-7381,(918) 655-7381
159.address,050 South Independence Ave,500 South Independence Ave
111.address,507 4Th tSreet,507 4Th Street
404.countyname,PAYNE   n    ,PAYNE       
495.city,elma,Velma
93.districtname,bRobin Hill                    ,Robin Hill                    
417.phone,9(18) 339-2705,(918) 339-2705
116.superintendentemail,phisely@ketchumwarriors.com,phiseley@ketchumwarriors.com
299.districtname,Eagletown                    ,Eagletown                     
265.superintendentemail,rvollmerm@ulhall-orlando.k12.ok.us,rvollmer@mulhall-orlando.k12.ok.us
160.superintendent,Mike Woodss,Mike Woods
449.boardpresident,Btty Fuller,Betty Fuller
200.code,33-tI001,33-I001
202.countyname,JACKSO     ,JACKSON     
297.countyname,MCCURTANI   ,MCCURTAIN   
375.phone,(981) 733-9072,(918) 733-9072
309.statevalue,KO,OK
327.countyname,NOWTA      ,NOWATA      
180.city,Vrden,Verden
54.address,4408 orth Highway 81,4408 North Highway 81
212.boardpresident,Katy Castleberry,Kathy Castleberry
543.superintendentemail,quinngw@bps-okj.org,quinngw@bps-ok.org
333.boardpresident,Patti Milelr,Patti Miller
278.boardpresident,Stephanie eBck,Stephanie Beck
507.superintendent,Tm Schroeder,Tom Schroeder
520.city,Tulas,Tulsa
325.boardpresident,rBad Childs,Brad Childs
242.code,40-003,40-I003
294.city,Idaebl,Idabel
214.fax,(580) 4435303,(580) 443-5303
17.fax,(58)0 889-2513,(580) 889-2513
478.countyname,SEMfINOLE    ,SEMINOLE    
431.boardpresident,Charlie pHall,Charlie Hall
527.districtname,Jenks                         ***,Jenks                         
149.code,22-I100,22-I010
490.phone,(918) 7p75-5525,(918) 775-5525
215.boardpresident,Kevin aHrner,Kevin Harner
478.code,7-K001,67-K001
200.boardpresident,MattMuller,Matt Muller
371.superintendent,Dr. Keneth Kuczynski,Dr. Kenneth Kuczynski
36.superintendentemail,lrnorthcutt@caddoisd.org,lnorthcutt@caddoisd.org
353.city,Warr Ares,Warr Acres
528.countyname,TULSA      ,TULSA       
379.fax,(918) 65-28140,(918) 652-8140
554.fax,(580) 766-8019***,(580) 766-8019
321.superintendentemail,davidvinson@warsner.k12.ok.us,davidvinson@warner.k12.ok.us
410.statevalue,OxK,OK
528.phone,(918t) 371-2326,(918) 371-2326
364.boardpresident,Lkes Pettitt,Les Pettitt
266.phone,(405)r 466-2242,(405) 466-2242
331.city,Msaon,Mason
315.countyname,MUSKOGEE    ***,MUSKOGEE    
290.city,Blancharyd,Blanchard
191.city,Kitna,Kinta
199.districtname,Stuart                        ***,Stuart                        
65.superintendentemail,kstricekr@plainview.k12.ok.us,kstricker@plainview.k12.ok.us
466.code,b66-I007,66-I007
491.address,kBox 277062 E. 1840 Rd.,Box 277062 E. 1840 Rd.
112.countyname,COTcTON      ,COTTON      
55.fax,(405) 26-5651,(405) 262-5651
195.websiteurl,http://wdww.moss.k12.ok.us/,http://www.moss.k12.ok.us/
55.statevalue,KO,OK
313.city,Wainwrigt,Wainwright
134.phone,5(80) 323-3262,(580) 323-3262
42.phone,(045) 457-6623,(405) 457-6623
357.statevalue,K,OK
234.address,404 N.M ain,404 N. Main
219.superintendent,Richard Rigsg,Richard Riggs
328.statevalue,OmK,OK
173.boardpresident,Jeulie Badgett Sinn,Julie Badgett Sinn
449.fax,(918 755-4418,(918) 755-4418
503.countyname,TEXAS       ***,TEXAS       
100.city,Coailgate,Coalgate
359.districtname,hEdmond                        ,Edmond                        
384.phone,(918) 245j-0289,(918) 245-0289
47.phone,(405 966-2236,(405) 966-2236
75.fax,(91) 772-2430,(918) 772-2430
365.address,900o North Klein Ave,900 North Klein Ave
148.boardpresident,Kelly Chani,Kelly Chain
357.superintendentemail,pblwessington@harrahschools.com,pblessington@harrahschools.com
180.districtname,Verdoen                        ,Verden                        
98.countyname,CLEVELND   ,CLEVELAND   
420.phone,(91w8) 469-3100,(918) 469-3100
543.websiteurl,www.bps-ok.og,www.bps-ok.org
140.city,Salinwa,Salina
321.fax,9(18) 463-2542,(918) 463-2542
391.address,104 Broawday,104 Broadway
146.boardpresident,Melvin Blssom,Melvin Blossom
482.districtname,Belfonteb                      ,Belfonte                      
339.city,Ozkc,Okc
289.websiteurl,http://www.purcellpsorg,http://www.purcellps.org
464.city,Inolka,Inola
44.fax,(r580) 654-1644,(580) 654-1644
154.phone,(580) a758-3247,(580) 758-3247
406.fax,(045) 533-6311,(405) 533-6311
438.websiteurl,www.dale.k12.o.us,www.dale.k12.ok.us
422.address,40 0Bond Street,400 Bond Street
551.phone,(508) 256-6063,(580) 256-6063
497.address,274801 Bronccho Rd,274801 Broncho Rd
335.boardpresident,Ken vKelsey,Ken Kelsey
210.countyname,JOHNbSTON    ,JOHNSTON    
384.websiteurl,www.andersontrojans.og,www.andersontrojans.org
143.code,2-1I002,21-I002
430.statevalue,K,OK
228.fax,(4n05) 263-7515,(405) 263-7515
63.districtname,Ardmore                      ,Ardmore                       
73.boardpresident,Dany Shoemaker,Danny Shoemaker
14.address,490 oSuth Bentley Road,490 South Bentley Road
113.address,206 School Roda,206 School Road
443.districtname,Shawnee                      ,Shawnee                       
551.websiteurl,www.wodowardps.net,www.woodwardps.net
197.address,210 Grimes Steet,210 Grimes Street
200.superintendent,Vicki Nacne,Vicki Nance
99.countyname,COAL        ***,COAL        
183.countyname,GRAjNT       ,GRANT       
218.city,Pnca City,Ponca City
89.statevalue,KO,OK
436.code,63i-C032,63-C032
184.websiteurl,www.dclak12o.rg,www.dclak12.org
424.boardpresident,Loarine Parent,Loraine Parent
411.address,1405 E Msoes,1405 E Moses
166.districtname,Lnidsay                       ,Lindsay                       
137.superintendent,Kevin Hmie,Kevin Hime
184.statevalue,xOK,OK
137.fax,(580) 23-1804,(580) 323-1804
519.superintendent,Deborah nBrown,Deborah Brown
386.address,1801 Mckenzie oRad,1801 Mckenzie Road
146.superintendentemail,oakssukpt@oaksschools.com,oakssupt@oaksschools.com
439.code,3-I003,63-I003
55.superintendent,Artur Eccard,Arthur Eccard
549.code,6-I003,76-I003
83.city,Tiahlequah,Tahlequah
101.phone,(580) 845c-2460,(580) 845-2460
379.city,Henryetta***,Henryetta
104.code,16-I010,16-I001
532.statevalue,lOK,OK
24.city,El City,Elk City
551.superintendentemail,reynolds@woodwardps.neat,reynolds@woodwardps.net
302.fax,(580) 241-747,(580) 241-7847
296.districtname,Idabel                        ***,Idabel                        
251.superintendent,Katiec Blagg,Katie Blagg
453.countyname,UPSHMATAHA  ,PUSHMATAHA  
269.countyname,LVE        ,LOVE        
242.countyname,LE FLOE    ,LE FLORE    
469.boardpresident,Cai Lepvy,Cai Levy
370.superintendent,Sheryl Tatuom,Sheryl Tatum
66.countyname,CARTER     ,CARTER      
379.websiteurl,www.dbscchool.org,www.dbcschool.org
346.districtname,Okc harter: Kipp Reach Coll. ,Okc Charter: Kipp Reach Coll. 
35.statevalue,K,OK
120.countyname,CREEK  l     ,CREEK       
130.districtname,Depew                        ,Depew                         
76.phone,(98) 598-3412,(918) 598-3412
467.superintendent,Mke Payne,Mike Payne
472.phone,(5s80) 925-3244,(580) 925-3244
21.fax,r(580) 646-3499,(580) 646-3499
308.code,49u-I019,49-I019
342.address,031 Se 38Th Street,301 Se 38Th Street
59.city,Union Cipty,Union City
478.districtname,(Ilc) Seminole Ctounty         ,(Ilc) Seminole County         
460.websiteurl,chlaremore.k12.ok.us,claremore.k12.ok.us
290.websiteurl,www.blanhcard.k12.ok.us,www.blanchard.k12.ok.us
385.superintendentemail,bbraden@mccord.k12.o.us,bbraden@mccord.k12.ok.us
487.address,q204 N. Stacy,204 N. Stacy
299.fax,(580) 85-7420,(580) 835-7420
402.boardpresident,Suzanrne Spears,Suzanne Spears
468.superintendent,Chris Bryna,Chris Bryan
120.districtname,Lone Star  h                   ,Lone Star                     
362.city,Midwest Cifty,Midwest City
280.boardpresident,Fred Sorahl,Fred Sordahl
444.phone,(45) 784-2331,(405) 784-2331
515.districtname,Tulsa Legacyn Charter Schl Inc ,Tulsa Legacy Charter Schl Inc 
549.superintendent,Lore nTackett,Loren Tackett
358.districtname,Jones           g              ,Jones                         
511.websiteurl,http://www.grandfield.k12.ok.us/***,http://www.grandfield.k12.ok.us/
21.districtname,Balko            k             ,Balko                         
395.superintendent,Troy Glray,Troy Gray
526.boardpresident,Lisap Kramer,Lisa Kramer
12.phone,(580) 59-63391,(580) 596-3391
15.phone,(580 889-2743,(580) 889-2743
60.superintendent,San Mcdaniel,Sean Mcdaniel
523.code,72I001,72-I001
312.fax,(580) 369-3570,(580) 369-3507
3.countyname,AgDAIR       ,ADAIR       
246.superintendent,Grrant Ralls,Grant Ralls
49.districtname,Hinotn                        ,Hinton                        
541.statevalue,oOK,OK
22.superintendentemail,tsmalts@foran.k12.ok.us,tsmalts@forgan.k12.ok.us
36.phone,5(80) 367-2208,(580) 367-2208
381.statevalue,KO,OK
202.address,219 N.k Lee,219 N. Lee
75.districtname,Shady Gorve                   ,Shady Grove                   
163.superintendentemail,mblackburn@stratford.ok12.ok.us,mblackburn@stratford.k12.ok.us
235.superintendent,Justi nKennedy,Justin Kennedy
27.code,05-0I51,05-I051
