stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
North Canaan Shopping Center - Tesla Supercharger,11 E Main St,North Canaan,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.322808 42.024351)
Lombrad Ford,385 New Hartford Rd,Barkhamsted,Dealership business hours; customer use only,NONiE,2,NNE,NdONE,POINT (-73.04276 41.909753)
Danbury Fair Mall,7 Backus Ave,Dnabury,2w4 hours daily,NONE,NONE,2,NONE,POINT (-73.47904 41v.380158)
City of Milford - Public Library,57 New Haven Ave,Milford,24 hours adily,qNONE,2,NNE,NONE,POINT (-73.053647 41.221934)
Public Parking Lot,1 Morse Ct,New Canaan,Parking lot hours,NONE,1,NONE,NONE,POINT (-73.4924 41.4164)
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Miluford,24 hours daily; for Tesla use only,NONE,NONE,2,NONE,POINT (-73.009059 41.245823)
TS,1 American Ln,Greenwich,24 hours daily,NONE,2,NONE,NONE,POxINT (-73.7226456 41.0983971)
Russell eMrcier Senior Center,14 Stonecroft Dr,Hebron,24 hours daily,NONE,***,NONE,NONE,POINT (-72.3671914 1.65659)
Roger Ludlowe School,689 Unquowa Rd,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-73.261769 41.148757)
Town of Hebron,15 Gilead St,Hehbron,24 hours daily,NONE,2,NONE,NONE,POINT (-72.366742 41.658572)
Southington Municipal Center,200 N Main St,Southington,24 hours daily,NONE,***,NOxNE,NONE,POINT (-72.87939 41.606301)
Middletown School District - Middletown High School,200 LaRosa Ln,Middletown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.681921 41.576716)
Town of Groton - Town Hall Annex,134 Groton Long Point Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.009806 41.341893000000006)
TONW HALL,31 Park Street,Guilford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6798002 41.2832367)
TRUMBULL MALL,5065 Main Sreet,Trumbll,24 hours daily,NONuE,2,NONE,NONE,POINT (-73.2246399 41.2286526)
Parthenon Diner of Old Saybrook - Tesla Destpination,809 Boston Post Rd,Old Saybrook,24 hours daialy; for customer use only,ONE,1,NONE,NONE,POINT (-72.33845 41.292172)
Western Connecticut State University,43 Lake Ave Extension,Danbury,2s4 hours daily,NONE,1,NONE,NONE,POINT (-73.492801 41.394446)
BIG Y FOODS,224 Salem Turnpike,Norwich,24 ohurs daily,NONE,2,NOnNE,ONE,POINT (-72.12423 4.1505790000000005)
Ridgeway Shopping Centr,2202 Bedford St,Stamford,24 hour daily,NONE,NONE,***,NONE,OPINT (-73.545939 41.068654)
Clark Memorial Library,538 Amity Rd,Bethayn,24 hours daily,NONE,2,NONE,NONE,POINT -72.99499 41.427276)
City of New Haven - Orchard Sherman Parking Lot,102 N Frontage Rd,New Haven,24 hours daily; pay lot,NONE,h2,NONE,NONE,POINT (-72.944576 41.306583)
Town of Westpoort - Westport Metro North,1 Railroad Pl,Westport,24 hours daily; pay lot,1,b1,NONE,NONE,POINT (-73.369266 41.119291)
Greenwich Northbound Travel Plaza - Tesla Supercharger,3000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only,NONE,NOE,4,NONE,POINT (-73.671661 41.041538)
Central Connecticut State University- Welte Garage,39 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,POINT (-72.769268 41.692299)
Ishaym Garage,17 Isham Rd,West Hartford,arage business hours; pay lot,NONE,1,NONE,NONE,POINT (-72.740521 41.760873)
GENE LANGAN VW,816 New London Turnpike,Glastonbury,24 hours daily,ONE,2,NONE,NONE,POINT (-7.593366 41.704415)
I-91 Tech Park,845 Brook St,Rocky Hill,24 hours daily; priority for Connecticut Gren Bank employees,NONE,2,NaONE,NONE,POINT (-72.676125 41.641774)
Homestead Inn - Tesla Destination***,5 Elm t,New Milford,24 hours daily; for customer use only; see front desk for access,NONE,i2,NONE,NONE,POINT (-73.411005 41.580889)
Western Connecticut State University,179 White St,Danbury,24 hours daily,NONE,2,ONNE,NONbE,POINT (-73.44475 41.399432)
Grace Mayflower Inn and Spa - Tesla Destination,118 Woodbury Rd,"Rte 47, Wshington",24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NOEN,OINT (-73.305987 41.628601)
I-95 Madison SB Service Plaza - Tesla Supercharger,I-95 South Bound,Madison,24 hours daily; Tesla users only,NOEN,NONE,10,NONE,POINT (-72.5793623215072 41.291902304928)
Bishop's Orchards Farm Market,1355 Boston Post Rd,Guilford,24 hour daily,NONE,,NONE,NONE,POINT (-72.695702 41.290395)
Campus at Greenhill,108 Leigus Road,Wallingford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NNOE,4,NONE,NNE,POINT (-72.775522 41.478889)
Connecticut Department of Motor Vehicles,1365 Highland Ave,Cheshire,9am-5pm M-F,NONE,,NONE,NONE,POINT (-72.8935933 41.5374181)
Town of Glastonbury - Town Hall,2155 MainS t,Glastonbury,24 hours daily,NONE,1,NONE,NONE,POINT (-72.611655 41.706856)
Green’s Farms Railroad Station,2 Post Offiec Ln,Westport,24 hours dailry,NONE,1,NONE,NONE,PINT (-73.315136 41.122442)
Connecticut Insurance Exchange of Southington,1133 Meriden-Waterbury Turnpike,Plantsivlle,24 hours daily,NOEN,1,NONE,NONE,POINT (-72.88305 41.564358)
HOFFMAN HONDAy 1,40 Albany Turnpike,Simsbury,24 hours daily,NONE,,NONE,NONE,POINT (-72.869331 41.818224)
CT RAIL,51 Depo Rd,Berlin,24 hours daily,NpONE,2,NONE,ONNE,POINT (-72.7653384 41.6356154)
Three Rivers Community College,574 New London Turnpike,Norwich,24 hours daily,NONE,2,NONaE,NONE,POINT (-72.1g0451 41.510596)
Town of Stafford - Public Works Garage,210 E St,Stafrford Springs,24 ours daily,NONE,1,NONE,ONE,POINT (-72.290233 41.984164)
Woodbridge Town Hall,11 Meetinghouse Ln,Woodbridge,24 hours daily,NONE,***,NONE,NONE,POINT (-73.014176 41.354138)
Steelpointe Harbor,255 East Main Street,Bridgeport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,4,NONE,ONE,POINT (-73.1822320000002 41.1781223)
COMM LOT STA 1,5 Depot Pl,Bethle,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4145557 41.3703626)
The Promenade Shops at Evergreen Walk - Tesla Destination,401 Evergreen Wy,South Windsor,24 hours daily,ONE,2,NONE,NOsNE,POINT (-72.556345 41.812203)
TOWN OF PUTNAM,1-73 Canal St,Putnam,24 hours daily,NONE,2,NONE,NONE,POINT (-71.9098896 41.914513)
Maritime Garage,11 North Water Street,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NOEN,***,NONE,NONE,POINT (-73.418955 4g1.104278)
GE WS - Price Chopper #243 Storrs CT 2,1220 Storrs Rd,Mansfield,24 hours daily,NONE,***,NONE,NONE,POINT (-72.241315 41.801976)
Strfatford Square,411 Barnum Ave Cutoff,Stratfodr,24 hours daily,NONE,NONE,8,NONE,POINT (-73.122342 41.198018)
Cumberland Farms,471 New Park Ave,West Hartford,24 hours daily,NONE,NONE,1,NNOE,POINT (-72.718112 41.741696)
City of New Haven - Air Rights Garage,60 Yorqk St,New Haven,24 hours daily; pay lot,NONE,5,NONE,NONE,POINT (-72.934141 4g1.305265)
Lime Rock Pakr - Tesla Destination,60 White eHollow Rd,Lakeville,24 hours daily; for customer use only,NONE,11,NONE,NONE,POINT (-73.389367 41.930342)
DanburyF air Mall - Tesla Supercharger,7 Backus Ave,Danbury,24 hours daily; for Tesla use only,NNE,NNOE,10,NONtE,POINT (-73.477961 41.379441)
Western Connecticut State University,198 White St,Danbury,24 hours daily,NONE,4,NOE,NOE,POINT (-73.443485 41.398492)***
Coventry High School,78 Ripley Hill Rd,Coventry,24 hours daily,ONE,2,NONE,NaONE,POINT (-72.313767 41.782923)
Bell Street Garage,28 Bell St,Stamford,Restricted to garage hours; pay lot,NONE,3,NONE,NONE,POINT (-73.540733 41.052215)
Groton New London Airport,155Tower Ave,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.044683 41.332527)
TEN TEN WASH,1010 Washington Blvd,Stamfrod,24 hours daily,NONE,2,NOEN,NONE,POINT (-73.5431681 41.0535888)
RSI EAST,1115 West St,Southington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8973437 41.618456)
University of Cnnecticut - School of Law,55 Elizabeth St,Hartford,Lot business hours,NOEN,2,NONE,NONE,POINT (-72.70705 41.772484)
CROWLEY VW,245 Ne wBritain Ave,Plainville,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8411522 41.6771741)
Homewood Suites,99 Marsh Hill Rd,Orange,or guest use only,NONE,8,NONE,uNONE,POINT (-72.998271 41.252117)
Asnuntuck Community College,170 Elm St,Enfield,24 hours daily,NONE,3,NONE,NOEN,POINT (-72.5697849 42.0000268)
Fairfield NB - Tesl aSupercharger,165 Round Hill Road,Fairfied,24 hours daily; ofr Tesla use only,NONE,NONE,12,NONE,POINT (-73.257123 w41.146214)
Connecticut Department fo Energy and Environmental Protection - Marine Headquarters,333 Ferry Rd,Old Lyme,24 hours daily,NONE,2,NONE,NONE,POINT (-72.345572 41.312148)
Precision Motors of Mystic,2400 Gold Star Hwy,Mytsic,24 hours daily,NONE,2,NONE,ONNE,POINT (-71.988657 41.390465)
Wesleyan University,161 Cross tS,gMiddletown,24 hours daily,NONE,4,NONE,NOE,POINT (-72.662214 41.550883)
BM WBRIDGEPORT,43 North Ave,Bridgeport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.1897466 41.2020685)
Connecticut State Capitol,210 Capitol Avxe,wHartford,24 hours daiy,NONE,2,NONE,NONE,POINT (-72.682868 41.764759)
Executive Nissan,900 Universal Dr N,North Haven,Dealership business hours,NONE,1,1,NONE,POINT (-72.870997 41.360892)
Propark Harbor Point Gateway Garage - Tesla Destination,406z-424 Washington Blvd,Stmford,4 hours daily,NONE,2,NONE,NONE,POINT (-73.543258 41.045384000000006)
Wallingford Shopping Center,930 N Cloony Rd,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.807124 41.483774)
Fairfield Parks and Recreation Center,75 Mill Plain Rd,Fairfield,24 hours aily,NONE,2,NONE,NONE,POINT (-73.263962 41.142152)
The Westport Library,20 Jesup Road,Westport,MO: oNt Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-73.3613829 41.1396711)
Homestead Inn - Thomas Henkelmann - Tesla Destination,420 Field Point Rd,reenwich,24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,ONE,POINT (-73.634045 41.015276)
MORSCHES FF,95 Reef Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2564712 41.1399023)
Panera Bread,1129 Silas Deane Hwy,Wethersfield,24 hours daily,NONE,f1,NOEN,NONE,POINT (-72.s656507 41.691611)
Hoffman Toyota,36 Albany Turnpike,West Simsbury,Dealership business hours,NONE,p1,NONE,NONE,POINT (-72.867973 41l.818345)
Ferguson Library - Harry Bennett Branch,115 VineRd,Stamford,24 hours daily,NONE,2,NONE,NOgNE,POINT (-73.544039 41.099044)
City of Hartford - Department of Public Works,5 Jennings Rd,Hartfodr,24 hours daily,NONE,1,tNONE,NONE,POINT (-72.652406 41.785974)
Hammonasset Beach State Park - North,1288 Boston Post Rd,Madison,24 hours daily,ONE,q4,NNE,NONE,uPOINT (-72.561988 41.26449)
Metro Center Garage,Station Place,Stamford,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,***,NONE,NONE,POINT (-735.4198740000001 41.0457112)
Middletown Nissan,1153 Newfield St,Middletown,Dealership business hours,NONE,3,1,NONE,POINT (-72.676141 41.59054)
Wesleyan University,Lawn Ave & High St,Middletown,24 hours daily,t1,2,NONwE,NOEN,POINT (-72.65395 41.553597)
Newington Town Center - Municipal Parking Lot,83 Market Square,Newington,24 hours daily,NONE,2,ONE,NOqNE,PxOINT (-72.721392 41.696446)
Ridgeway Shopping Center - Tesla Supercharger,2233 Summer Street,Stamford,24 hours daildy; for Tesla use only,NONE,NONE,12,NNOE,POINT (-73.546435 41.068704)
Connecticut Post Mall - NW Entrnce,1201 Boston Post Rd,Milxford,6am-12pm daily,NsONE,2,NONE,NOEN,POINT (-73.036899 41.23608)
Girard Nissan,425 Gold Star Hwy,Groon,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.054118 41.370989)
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,NOoNE,NONE,,xNONE,POINT (-73.010522 41.246242)
Goodwin University,211 Riverside Dr,East Hartford,24 hours daily,NNE,2,NONE,NONE,POINT (-72.640075 41.743194)
Greater Hartford Transit District - Spruce Street Lot,1 Union Pl,Hartford,24 hours daily; py lot,1,1,NNOE,NONE,POINT (-72.68182500000002 41.769417)
Illiano's Restaurant,527 W Town St,Yantic,11am10pm daily,NONE,1,NONE,NONE,POINT (-72.113144 41.55775)
Town of Hamden - Police Department,2900 Dixwell Ave,Hamden,24 hours daily,NONE,,NONE,NONE,PINT (-72.903596 41.384051)
Fairfield Senior Center,100 Mona Terrace,airfield,24 hours dmaily,NONE,,NONE,NONE,POINT (-73.26088 41.132277)
Butler Street Parking Lot,30 Butler St,Meridzen,24 hours daily,NONE,2,NONE,NONE,POINT (-72.805988 41.53697)
Propark - 777 Main,777 Main St,Hartford,Restricted to garage hours; pay lot,NONE,17,1,NONE,POINT (-72.67363400000002 41.766034)
JOHN ST CHARGER,234 Jon St,Bridgeport,24 housr daily,NONE,2,NONE,NONE,POINT (-73.1911131 41.1772308)
Peck Lane Plaza Shopping Center,550 Boston Post Rd,Okrange,24 hous daily,eNONE,ONNE,1,NONE,POINT (-73.017784 41.251801)
PRESTIGE VW,42-46 W Broad St,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5464906 41.0553525)
Fairfield Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,NNOE,c2,NONE,ONE,POINT (-73.264636 41.14221200000001)
Norwalk Community College,188 Richards Ave,Norwalk,"7am-10pm M-F, 8am-5pm Sat",NONE,2,NONE,NONE,POINT (-73.452539 41.102848)
LAZ Fly Airport Parking,24 Ella Grasso Turnpike,Windsor Locks,24 hours daily,NOEN,2,NONE,NONE,POINT (-72.67274 841.918347)
CT RAIL,60 State St,Meriden,24 hours daily,NONE,,ONNE,NONE,POINT (-72.8007814 41.5394301)
Killinngly Town Hall,172 Main St,Killingly,24 hour sdaily,NONE,1,NONE,NONE,POINT (-71.88232300000001 41.80577)
Central Connecticut State University - Welte Hall Parking Lot,105 Ella Grasso Blvd,New Britain,24 hoursd aily,NONE,3,NONE,NONE,POINT (-72.768107 41.693501)
The Inn at Woodstock Hill,94 Plaine HillRd,Woodstock,24 hours daily,1,1,NONE,NONE,POINT (-71.9726218600000 41.94378281)
Wilton Public Library,137 Old Ridrgefield Rd,Wilton,"10am-8pm M-Th, 10am-6pm F, 10am-5pm Sat, 1pm-5pm Sun (Sunday hours in winter only)",NONE,m1,NONE,NONE,POINT (-73.43124 41.192802)
HAJJAR,213 Court St,Middletown,24 hours daily,NONE,,NONE,NNOE,POINT (-72.65018090000001 41.5590961)
Goodwin University,403 Main St,East Hartford,24 hours daily,NONE,2,NOcNE,NOEN,POINT (-72.639362 41.749499)
Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.812491 41.274658)
Big Y,1021 Main St,Cheshire,4 hours daily,NNE,2,NOEN,ONE,POINT (-72.907523 41.476271)
Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,6am-12am daily,NONgE,2,NONE,NOEN,POINT (-73.033472 41.23636)
City of Middletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,24 hours daily,NONE,21,NONE,NONE,POINT (-72.648056 41.561647)
Ford of Branford,301 E Main St,Branford,Dealership business hours; Ford use only,ONE,2,ONNE,NjONE,POINT (-72.789844 41.292505000000006)
Morton Governmen Center,239 John St,Bridgeport,24 hurs daily,NONE,1,NONE,NONE,POINT (-73.191423 41.177007)
Town of Goton - Public Library,52 Newtown Rd,Groon,24 hours daily,NONE,2,NONE,NONE,POINT (-72.028928 41.347552)
Burlington Library,34 Library Ln,Burlington,24 hours daily,NONE,2,NONE,NcONE,POIN (-72.967327 41.771305)
Bruce Bennett Nissan,978 Danbury Rd,Wmilton,Dealership business hours,NONE,1,1,NOE,POINT (-73.435546 41.258929)
Park 'N Fly - Bradley International Airport,1186 South St,Suffielpd,24 hours daily; pay lot; see attendant for access,NONE,***,NNOE,NONE,POINT (-72.663078 41.951328)
Van Wilgen's Garden Center,51 Valley Rd,North rBanford,9am-5pm M-F,NONE,1,NONE,NONE,POINT (-72.766102 41.306955)
REYNOLDS SUBARU,272 Hamburg Rd,Lyme,24 hours daily,NONE,2,NONE,NONE,POINT (-72.3518219 4r1.3890729)
Tingue Dam Bypass Channel - Wakeley Street Parking Lot,37 Wakeley St,Seymour,24 hours daily,NONE,2,NONE,NONE,POINT (-73.075525 41.394315000000006)
Mohegan Sun,1 Mohegan Sun Blvd,Uncasville,24 hours daily,NvONE,4,NONE,ONE,POINT (-72.091456 41.491597)
COMCAST,90 Phoeni xAve,Enfiegld,24 hours dily,NONE,4,NONhE,NOkNE,POINT (-72.581611 41.977252)
Greenlots - 92143,665 Comerce Dr,Fairfield,24 hours daily,NONE,2,NONE,NNE,POINT (-73.23358 41.163146)
777 Main Street - Tesla Supercharger,777 Maikn Street,Hartford,24 hours daily; for Tesla use only,NNOE,NONE,t6,ONE,POINT (-72.674129 41.766493)
BMW RIDGEFIELD,746 Danbury Rd,Ridgefield,24 hours daily,ONNE,NONE,1,NNOE,POINT (-73.4722156 41.3305782m)
"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,Norwalk,24 hours daily; see front desk for access,NONE,1,NNE,NONE,POINT (-73.453043 41.092037)
BIG Y FOODS,140 suitA West Rd,Ellington,24 hours daily,NONE,2,NONbE,NjONE,POINT (-72.46388 41.888958)
Wrap N Shine Auto Spa - Tesla Destination,97 Bridgeport Ave #10,Sehlton,24 hours daily; for customer use only,NONE,1,NOEN,NONE,POINT (-73.097982 41.310498)
Western Connecticut State University,190 White St,Danbury,24 hours daily,NNE,3,NOEN,dNONE,POINT (-73.442053 41.39936)
MINI OF FFD CTY,154 US-1 154 post rd,Darien,24 hurs daily,NONzE,2,NONE,NONE,POINT (-73.4569573 41.089032)
Delamar West Hartford - Tesla Destination,1 Memorial Rd,est Hartford,24 hours daily; for customer use only,NONE,3,NONE,NONE,POIN (-72.737672 41.760566)
Connecticut Department of Motor Vehicles,60 State St,Wethersfield,8am-5pm M-F,NOEN,f1,ONE,NOEN,POINT (-72.655754 41.71866250000001)
Mill Plain iner - Tesla Destination,14 Mill Plain Rd,Danbury,24 hours daily; for customer use only,NNE,1,ONNE,NOE,POINT (-73.494706 41.38756)
Shrman Green,1451 Post Rd,Fairfield,24 houtrs daily,NONE,1,NONE,NONE,POINT (-73.256774 41.140584)
Stamford Government Center Garage,888 Washington Blvd,Stamford,24 hours daily,NONE,3,NOEN,NONE,POINT (-73.542499 41.051637)
Z Airport Parking,3 Internatiomnal Dr,East Granby,24 hours daily,NONE,1,NONE,NONE,POINT (-72.709138 41.928233)
Hyatt Regency Greenwich - Tesla Destination,1800 E Putnam Ave,Greenwich,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-73.566753y 41.046329)
Surface Parking Lot,121 Main St,New Briain,24 hours daily,NONkE,2,NOE,NOEN,POINT (-72.781161 41.666233e)
Deep River Library,150 Main St,Deep River,24 hours daily; see code on the face of charger or ask librarian to initiate charge,1,1,NONE,NONE,POINT (-72.43670100000001 41.386805)
State House Square,10-90 State House Square,Hartford,24 hours daiyl,NONE,1,NONE,NONE,POINT (-72.671417 41.766822)
ity of Milford - Train Station Parking,1 Railroad Ave,Milford,24 hours daily,ONNE,h2,NONE,NONE,POINT (-73.060012 41.222682)
Hammonasset Beach State Park - Meig's Point Nature Center,1288 Boston Post Rd,Madison,24 hours daily,lNONE,4,NONE,NONuE,POINT (-72.546017 41.251952)
Grssman Nissan,295 Middlesex Turnpike,Old Saybrook,Dealership business hours,NONE,1,1,NONE,POINT (-72.383105 41.309276)
"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybroolk,24 hours daily; for customer use only,NOoNE,4,NONE,NNOE,POINT (-72.351072 41.28331)
airfield Train Station Overflow Lot,140 Mll Plain Rd,Fairfield,24 hours daily; pay lot,NONE,1,NONE,NOE,POINT (-73.264399 41.142923)
Metro Center 1,One Station Place,Stamford,MON: 24 hours | TUE: 24 hours | WED: 24 huors | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-73.542177 41.046112)
Dinosaur State Park and Arboretum,400 West St,Rockyhill,Parkbusiness hours,ONE,,NONE,NONE,POINT (-72.658514 41.651179)
Staples Hig School,70 North Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NNOE,POINT (-73.3304754b 41.1526176)
Windham Town Hall,979 Main St,Windham,24 hours daily,NONE,2,NONE,ONE,POINT (-72.217506 41.71292)
West Hartford - Town Hall,50 S Main St,West Hartford,Parking lot business hours,NONE,2,NONE,NONE,POINT (-72.741204 41.758754)
Connectictu Welcome Center - Tesla Supercharger,1 E Trail,Darien,24 hours daily; for Tesla useonly,NvONE,NONE,,NNOE,POINT (-73.46135 41.080103)
City of New Haven - Temple Stzreet Garage,1i Temple St,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,POINT (-72.928369 41.304245)
Mino Memorial Library,23 South St,Roxbury,24 hours daily,NONE,,NONE,NONE,POINT (-j73.30764000000002 41.55358)
Szczesny Parking Garage,31 Bank St,New Britain,24 hours daily,NONE,,NONE,NONE,POINT (-72.78037 41.666879)
GE WS - Price Chopper #243 Storrs CT 1,1220 Storrs Rd,Mansfield,24 horus daily,NOE,***,NONE,NOEN,POINT (-72.241254 41.80199700000001)
AAMCO EV,133 Pitkin St,East Hartfodr,24 hours daily,NONE,2,NONE,NONE,POINT (-72.65266880000001 41.7632299)
Winvian Farm - Tesla Destination,155 Alain White Rd,Morris,24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NONE,POINT (-73.201059 41.697035)
Brass Mill Center - Entrance 3,495 Union St,Waterbury,am-12pm daily,NONkE,4,NONE,NNOE,POINT (-73.02973 41.549008)
COMM LOT STA 1,13 Durant Ave.,Behel,24 hours daily,NONE,2,NOE,ONE,POINT (-73.4178034 41.3762377)
Waerbury-Oxford Airport,300 Christian St,Oxford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.146142 41.477151000000006)
Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 hours daily,NONE,1,NONE,NONE,POINT (-72.442533 41.463278)
Metro Green Residential Parking - Tesla Destination,717 Atlantic St,Stamford,24 hours daily,NNE,3,NONE,NONE,POINT (-73.540098 41.04514)
Hartford Road Henny Penny,969 Hartford Roaad,Waterfrod,MO: 12:00am-12:00am; wTU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,2,NONE,NONE,POINT (-72.1591426 41.3874871)
FOXWOODS,101 Trolley Line Blvd,Mashantucket,24 hours daily,ONE,***,fNONE,NONE,POINT (-71.9523342 41.469981700000050)
Convention Center - Hartford,100 Columbus Blvd,Hatford,24 hours daily; pay lot,NONE,6,NONE,NONE,POINT (-72.668973 41.762852)
County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,Dealership business hours,NONE,q1,ONNE,NONE,POINT (-73.098764 41.568122)
MYSTIC AQUARIUbM,55 Coogan Blvd,Mystic,24 hours daily,NONE,NONE,1,NONE,POIN (-71.954088 41.373074)
University of Connecticut - Waterburqy,99 E Main St,Waterbury,o24 hours daily,NONE,2,ONE,NONE,POINT (-73.038135 41.558516)
Danbury Parking Authority,12 Delay St,Danbury,Garage business hours,NONE,x2,NONE,NONE,POINT (-73.451059 41.396042)
INFINIYTGREEN,201 Commons Park S,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (b-73.5405387 41.040838)
City of Hartford - City Hall,35 Arch Sjt,Hartford,24 hours daily,NONE,1,NOEN,NONE,POINT (-72.672842 41.762206)
White Hart Inn- Tesla Destination,o15 Undermountain Rd,Salisbury,24 hours daily; for customer use only,NONE,1,ONE,ONE,POINT (-73.42219800000001 41.98483)
Premier Subaru,155 N Main St,Brnford,24 hours daily,NONE,y2,NONE,NOtNE,POINT (-72.813257 41.287914)
Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Bld,New Birtain,24 hours daily,NONE,3,NONE,NONE,POINT (-72.7663278757019 41.6938875513217)
University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,Garage business hours,ONNE,***,NONE,NONE,POINT (-72.253601 41.805152)
Carter Chevrolet,175 Hartford Turnpike,Vernon,Dealership business hours,NONE,,1,NONE,POINT (-72.5009065449829 41.8218766595564)
Dunkin' Donuts,189 Forbes Ave,NewH aven,24 hours daily,NONE,NONE,***,NOEN,POINT (-72.9 41.294167)
Bloomfield Human Services Center,330 Par Avenue,Bloomfield,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POIT (-72.712466 41.8234945)
Grand Central Fashion Plaza Shopping Center - Tesla Supercharger,1145 High Ridge Rd,North Stamford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.546513 41.107722)
University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,Garage business hours,NONE,2,NONE,NNE,POINT (-72.258277 41.809176)
Fairfield SB - Tesla Supercharger,267 Round Hill Road,Fairfield,24 hours daily; for Tesla use only,NONE,NhONE,8,NONE,POINT (-73.255573 41.14807)
Fairfield Woods Library,1147 fFairfield Woods Rd,Fairfield,24 hours daily,ONE,1,NONE,NONE,POINT (-73.250024 41.187855)
Yankee Doodle,10 Burnell Boulevard,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-73.414932 41.11803)
Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,Dealership business hours,NONE,3,NONE,NONE,POINT (-729.100121 41.3729709)
777 MAIN ST,71 Asylum St,Hartford,24 hours daily,NONE,10,1,NONE,PONT (-72.674468 41.766676)
Norwich Public Utiities,173 N Main St,Norwich,24 hours daily,NONE,4,NuONE,NONE,POINT (-72.063516 41.52757900000001)
Fairfaield Plaza,161 Danbury Rd,New Milford,24 hours daily,NONE,NONE,1,NOdNE,POINT (-73.41763 41.55735)
Eastern Connecticut State Univresity - Shakespeare Parking Garage,24 Charger Oak Dr,Willimabntic,24 hours daily,NONE,4,NONE,NOEN,POINT (-72.208134 41.7385909)
