objectid(long),statefp(long),countyfp(long),tractce(long),blkgrpce(long),geoid(long),namelsad,mtfcc,funcstat,aland(long),awater(long),intptlat(double precision),intptlon(double precision),block_group,percent_pop_below_two_zero_zero_fpl(double precision),pop_below_two_zero_zero_fpl(long),population(long),percent_population_below_two_zero_zero_fpl(double precision),namevalue,percentminority(double precision),le_percent(double precision),shape_length(double precision),shape_area(double precision)
111,9,3,460204,1,90034602041,Block Group 1,G5030,S,5014075,10636,41.7254019,-72.8728675,"Block Group 1, Census Tract 4602.04, Hartford County, Connecticut",0.328,832,2536,32.8,Farmington,37.89432177,2.03644159,32038.4063516063,-54084113.0442751
112,9,3,514400,1,90035144001,Block Group 1,G5030,S,503881,0,41.790497,-72.5248066,"Block Group 1, Census Tract 5144, Hartford County, Connecticut",0.366,325,888,36.6,Manchester,25.78828829,1.06382979,12370.1578957592,-5423639.16723042
113,9,3,514300,5,90035143005,Block Group 5,G5030,S,307508,0,41.7811003,-72.508687,"Block Group 5, Census Tract 5143, Hartford County, Connecticut",0.386,258,668,38.6,Manchester,42.51497006,0.0,7340.18784734722,-3309945.54921794
114,9,3,515102,1,90035151021,Block Group 1,G5030,S,4372914,57909,41.7690462,-72.5652215,"Block Group 1, Census Tract 5151.02, Hartford County, Connecticut",0.482,1158,2404,48.2,Manchester,89.43427621,10.0102145,32809.6391419651,-47691987.0119741
115,9,3,514200,1,90035142001,Block Group 1,G5030,S,1120230,201934,41.8026447,-72.5210386,"Block Group 1, Census Tract 5142, Hartford County, Connecticut",0.393,347,884,39.3,Manchester,56.16591928,8.35380835,15829.8579902324,-14231415.0150335
116,9,3,514400,3,90035144003,Block Group 3,G5030,S,383539,0,41.7808452,-72.5232798,"Block Group 3, Census Tract 5144, Hartford County, Connecticut",0.413,412,997,41.3,Manchester,54.76429288,0.0,11980.4369777212,-4128311.97153281
117,8,3,514400,5,90035144005,Block Group 5,G5030,S,787417,23757,41.7777398,-72.5279733,"Block Group 5, Census Tract 5144, Hartford County, Connecticut",0.564,370,656,56.4,Manchester,23.80261248,0.0,14659.7840203031,-8731251.48184504
118,9,3,514500,2,90035145002,Block Group 2,G5030,S,660030,0,41.7775916,-72.538852,"Block Group 2, Census Tract 5145, Hartford County, Connecticut",0.75,604,805,75.0,Manchester,69.19254658,7.12250712,15122.5511786414,-7104359.34517357
119,9,3,514600,1,90035146001,Block Group 1,G5030,S,371764,0,41.7688306,-72.5331538,"Block Group 1, Census Tract 5146, Hartford County, Connecticut",0.377,538,1426,37.7,Manchester,62.34221599,3.125,8998.1268677794,-4001565.84950555
120,9,3,514600,4,90035146004,Block Group 4,G5030,S,500645,0,41.7696097,-72.5459615,"Block Group 4, Census Tract 5146, Hartford County, Connecticut",0.323,276,855,32.3,Manchester,38.59649123,4.80167015,10250.3790933706,-5388774.34316324
121,6,3,514600,5,90035146005,Block Group 5,G5030,S,688963,0,41.7696627,-72.5536861,"Block Group 5, Census Tract 5146, Hartford County, Connecticut",0.617,506,820,61.7,Manchester,14.39732143,16.13924051,10750.200311703,-7415803.5644254
122,5,3,514700,1,90035147001,Block Group 1,G5030,S,321607,0,41.7729366,-72.5187924,"Block Group 1, Census Tract 5147, Hartford County, Connecticut",0.624,480,769,62.4,Manchester,76.07282185,0.0,7741.61058633273,-3461670.08237971
123,11,3,514700,3,90035147003,Block Group 3,G5030,S,268853,0,41.7660679,-72.525302,"Block Group 3, Census Tract 5147, Hartford County, Connecticut",0.338,333,985,33.8,Manchester,53.03030303,0.0,7406.65209236424,-2893857.03878825
124,9,3,514800,1,90035148001,Block Group 1,G5030,S,461423,0,41.7745833,-72.5092373,"Block Group 1, Census Tract 5148, Hartford County, Connecticut",0.516,418,810,51.6,Manchester,45.18518519,0.0,9553.63749975509,-4966619.69030979
125,9,3,514700,2,90035147002,Block Group 2,G5030,S,207273,0,41.7670384,-72.518111,"Block Group 2, Census Tract 5147, Hartford County, Connecticut",0.544,468,861,54.4,Manchester,78.62950058,0.0,6182.2272326996,-2231012.9026294
126,10,3,514800,2,90035148002,Block Group 2,G5030,S,915912,0,41.768978,-72.5112899,"Block Group 2, Census Tract 5148, Hartford County, Connecticut",0.577,1410,2443,57.7,Manchester,67.29431027,2.71115746,16223.6567703224,-9858565.49653522
127,8,3,420500,4,90034205004,Block Group 4,G5030,S,501612,0,41.668697,-72.8642352,"Block Group 4, Census Tract 4205, Hartford County, Connecticut",0.497,683,1375,49.7,Plainville,41.01818182,0.0,11135.9404032637,-5399144.54048594
128,9,3,420600,5,90034206005,Block Group 5,G5030,S,553884,0,41.6679618,-72.8569819,"Block Group 5, Census Tract 4206, Hartford County, Connecticut",0.365,332,909,36.5,Plainville,27.61276128,5.92334495,10378.8147299989,-5961741.38456735
129,9,3,466300,2,90034663002,Block Group 2,G5030,S,3039377,38193,41.8779319,-72.800134,"Block Group 2, Census Tract 4663, Hartford County, Connecticut",0.301,242,804,30.1,Simsbury,7.82190132,9.57746479,26128.1665144897,-33126663.9246629
130,7,3,430100,2,90034301002,Block Group 2,G5030,S,1449236,0,41.5929961,-72.8816967,"Block Group 2, Census Tract 4301, Hartford County, Connecticut",0.312,601,1925,31.2,Southington,24.72727273,4.97630332,18410.7176200105,-15598888.1055155
131,9,3,430601,1,90034306011,Block Group 1,G5030,S,3169012,0,41.6168393,-72.873823,"Block Group 1, Census Tract 4306.01, Hartford County, Connecticut",0.431,976,2263,43.1,Southington,15.15687141,1.95272354,35222.5966272157,-34109760.8356145
132,8,9,345300,4,90093453004,Block Group 4,G5030,S,3512472,0,41.4892936,-73.088079,"Block Group 4, Census Tract 3453, New Haven County, Connecticut",0.349,592,1696,34.9,Naugatuck,51.82783019,7.2519084,38459.8635468432,-37806528.3775506
133,9,9,345100,2,90093451002,Block Group 2,G5030,S,1337937,104355,41.5080674,-73.054727,"Block Group 2, Census Tract 3451, New Haven County, Connecticut",0.346,556,1609,34.6,Naugatuck,30.57799876,8.84353741,19290.0972394813,-15524108.5665456
134,9,3,496700,2,90034967002,Block Group 2,G5030,S,273879,0,41.7518932,-72.7254472,"Block Group 2, Census Tract 4967, Hartford County, Connecticut",0.401,190,474,40.1,West Hartford,43.24894515,5.28846154,6958.7615514736,-2947941.9968331
135,9,3,497100,4,90034971004,Block Group 4,G5030,S,396413,0,41.766114,-72.7392985,"Block Group 4, Census Tract 4971, Hartford County, Connecticut",0.468,503,1074,46.8,West Hartford,24.41150828,6.52173913,8481.35782420566,-4266869.9686323
136,6,3,497500,1,90034975001,Block Group 1,G5030,S,575537,0,41.7928684,-72.7456031,"Block Group 1, Census Tract 4975, Hartford County, Connecticut",0.429,322,750,42.9,West Hartford,31.6,9.71223022,14863.9047040974,-6194918.61390871
137,9,3,496100,1,90034961001,Block Group 1,G5030,S,1413149,0,41.7309711,-72.7192694,"Block Group 1, Census Tract 4961, Hartford County, Connecticut",0.327,370,1130,32.7,West Hartford,92.65486726,14.58823529,20157.4782046298,-15210597.967263
138,5,3,496100,2,90034961002,Block Group 2,G5030,S,752166,0,41.7261909,-72.7295533,"Block Group 2, Census Tract 4961, Hartford County, Connecticut",0.35,369,1055,35.0,West Hartford,58.76777251,9.5,12174.3634587114,-8096039.38558545
139,9,3,496100,3,90034961003,Block Group 3,G5030,S,998282,0,41.7376945,-72.725448,"Block Group 3, Census Tract 4961, Hartford County, Connecticut",0.534,404,757,53.4,West Hartford,85.07265522,12.24489796,14362.0833263261,-10745145.9468138
140,9,3,496700,1,90034967001,Block Group 1,G5030,S,484907,0,41.7536269,-72.7185986,"Block Group 1, Census Tract 4967, Hartford County, Connecticut",0.571,808,1414,57.1,West Hartford,68.91515994,14.10934744,9323.53291146556,-5219370.5724023
141,8,3,496300,1,90034963001,Block Group 1,G5030,S,756700,0,41.7414983,-72.7351961,"Block Group 1, Census Tract 4963, Hartford County, Connecticut",0.314,382,1217,31.4,West Hartford,46.88013136,2.94736842,19190.3152731485,-8144814.74840301
142,9,3,492300,4,90034923004,Block Group 4,G5030,S,2453644,14130,41.7139096,-72.7035922,"Block Group 4, Census Tract 4923, Hartford County, Connecticut",0.331,385,1164,33.1,Wethersfield,28.60824742,9.19254658,22890.2036685136,-26562187.9927742
143,9,3,492300,1,90034923001,Block Group 1,G5030,S,526713,0,41.7253803,-72.6734424,"Block Group 1, Census Tract 4923, Hartford County, Connecticut",0.308,280,910,30.8,Wethersfield,61.53846154,12.23880597,10272.089530501,-5669338.40682936
144,9,3,492300,2,90034923002,Block Group 2,G5030,S,1106806,21302,41.7235216,-72.6840589,"Block Group 2, Census Tract 4923, Hartford County, Connecticut",0.304,337,1110,30.4,Wethersfield,41.35135135,9.94940978,16387.6696933595,-12142530.2780934
145,9,3,492600,1,90034926001,Block Group 1,G5030,S,905738,0,41.6895138,-72.6557576,"Block Group 1, Census Tract 4926, Hartford County, Connecticut",0.461,405,879,46.1,Wethersfield,12.74175199,15.95744681,15118.1824998896,-9748979.45636046
146,9,3,473700,6,90034737006,Block Group 6,G5030,S,349779,0,41.8262874,-72.6505545,"Block Group 6, Census Tract 4737, Hartford County, Connecticut",0.394,315,800,39.4,Windsor,60.1494396,0.0,8542.93849301396,-3764942.42415036
147,9,3,473800,2,90034738002,Block Group 2,G5030,S,1132743,173905,41.8105319,-72.6554038,"Block Group 2, Census Tract 4738, Hartford County, Connecticut",0.336,150,446,33.6,Windsor,88.34080717,3.04878049,19721.4217656039,-14064439.0980101
148,9,3,473100,1,90034731001,Block Group 1,G5030,S,914454,0,41.8319398,-72.6702004,"Block Group 1, Census Tract 4731, Hartford County, Connecticut",0.303,357,1179,30.3,Windsor,82.18829517,0.0,13812.6821417942,-9843003.68040442
149,9,3,473700,7,90034737007,Block Group 7,G5030,S,1133998,403259,41.8206366,-72.6493727,"Block Group 7, Census Tract 4737, Hartford County, Connecticut",0.501,502,1001,50.1,Windsor,92.22333001,0.0,25358.3691973792,-16546680.6704361
150,9,3,476100,2,90034761002,Block Group 2,G5030,S,638424,0,41.9376416,-72.6315554,"Block Group 2, Census Tract 4761, Hartford County, Connecticut",0.336,464,1380,33.6,Windsor Locks,22.93314162,0.0,16004.3437409796,-6872009.57308247
151,9,15,904400,2,90159044002,Block Group 2,G5030,S,2537765,7915,41.842311,-71.9007006,"Block Group 2, Census Tract 9044, Windham County, Connecticut",0.367,452,1230,36.7,Killingly,14.29706116,3.18091451,23985.1133169213,-27401224.4818452
152,9,15,904400,4,90159044004,Block Group 4,G5030,S,3008872,0,41.8216196,-71.880454,"Block Group 4, Census Tract 9044, Windham County, Connecticut",0.38,512,1346,38.0,Killingly,6.01783061,0.0,25815.2330821433,-32386794.2174688
153,9,15,904500,1,90159045001,Block Group 1,G5030,S,1053744,82346,41.8091713,-71.8904599,"Block Group 1, Census Tract 9045, Windham County, Connecticut",0.31,462,1490,31.0,Killingly,36.16600791,5.06512301,18008.0898219602,-12228578.6097072
154,10,15,904500,3,90159045003,Block Group 3,G5030,S,323648,0,41.8062614,-71.87984,"Block Group 3, Census Tract 9045, Windham County, Connecticut",0.381,134,352,38.1,Killingly,9.24369748,0.0,8986.67092668562,-3483685.66727324
155,9,15,904500,5,90159045005,Block Group 5,G5030,S,2018507,0,41.7970132,-71.8800789,"Block Group 5, Census Tract 9045, Windham County, Connecticut",0.521,746,1432,52.1,Killingly,9.09090909,0.0,27357.9360965476,-21726654.275018
156,9,3,524200,5,90035242005,Block Group 5,G5030,S,3110538,0,41.6556733,-72.6608031,"Block Group 5, Census Tract 5242, Hartford County, Connecticut",0.407,427,1048,40.7,Rocky Hill,15.33396049,0.0,32245.9896716436,-33480431.9370999
157,11,7,570300,1,90075703001,Block Group 1,G5030,S,2767180,464861,41.6016946,-72.6391785,"Block Group 1, Census Tract 5703, Middlesex County, Connecticut",0.526,829,1577,52.6,Cromwell,29.12400455,0.0,39709.6483383693,-34788114.6883402
158,9,11,701200,2,90117012002,Block Group 2,G5030,S,4901091,1278198,41.4486018,-72.0708261,"Block Group 2, Census Tract 7012, New London County, Connecticut",0.314,341,1087,31.4,Ledyard,15.98546776,0.0,49036.1194360454,-66510924.0283547
159,9,11,701100,2,90117011002,Block Group 2,G5030,S,514972,0,41.4319965,-71.978377,"Block Group 2, Census Tract 7011, New London County, Connecticut",0.355,285,802,35.5,Ledyard,30.54862843,5.33333333,10398.3002234468,-5542912.21366283
160,9,9,165500,1,90091655001,Block Group 1,G5030,S,853525,0,41.3395037,-72.930306,"Block Group 1, Census Tract 1655, New Haven County, Connecticut",0.418,610,1460,41.8,Hamden,91.71232877,4.94071146,12980.5755643677,-9186996.1938797
161,5,9,165100,2,90091651002,Block Group 2,G5030,S,2927592,582965,41.3476666,-72.8868568,"Block Group 2, Census Tract 1651, New Haven County, Connecticut",0.346,224,647,34.6,Hamden,86.08964451,20.78431373,37492.8058239589,-37786312.4037254
162,9,9,165400,3,90091654003,Block Group 3,G5030,S,232113,0,41.3425329,-72.9216188,"Block Group 3, Census Tract 1654, New Haven County, Connecticut",0.477,278,583,47.7,Hamden,87.99313894,0.0,7060.27649109024,-2498388.21336489
163,9,9,165500,2,90091655002,Block Group 2,G5030,S,191117,0,41.3391191,-72.9365849,"Block Group 2, Census Tract 1655, New Haven County, Connecticut",0.419,250,597,41.9,Hamden,75.7118928,3.63636364,6842.05420979988,-2057123.27977663
164,6,9,165500,4,90091655004,Block Group 4,G5030,S,174557,0,41.3451807,-72.9389756,"Block Group 4, Census Tract 1655, New Haven County, Connecticut",0.412,371,900,41.2,Hamden,75.11111111,0.0,5969.40707798298,-1878859.12120658
165,9,9,165600,2,90091656002,Block Group 2,G5030,S,469652,0,41.3554513,-72.931001,"Block Group 2, Census Tract 1656, New Haven County, Connecticut",0.425,295,694,42.5,Hamden,75.07204611,23.83419689,11631.3622314078,-5055140.91409444
166,9,9,166001,2,90091660012,Block Group 2,G5030,S,754031,0,41.3929661,-72.9101202,"Block Group 2, Census Tract 1660.01, New Haven County, Connecticut",0.319,799,2502,31.9,Hamden,24.89030714,6.33914422,18664.9430839558,-8116051.02719526
167,9,9,165700,1,90091657001,Block Group 1,G5030,S,561485,0,41.344869,-72.9443703,"Block Group 1, Census Tract 1657, New Haven County, Connecticut",0.313,483,1541,31.3,Hamden,74.62686567,0.0,14292.0177682647,-6043616.5010356
168,9,9,165600,3,90091656003,Block Group 3,G5030,S,374710,0,41.3502528,-72.932716,"Block Group 3, Census Tract 1656, New Haven County, Connecticut",0.324,321,992,32.4,Hamden,95.66532258,0.0,9132.60012540503,-4033220.93269981
169,9,9,165802,3,90091658023,Block Group 3,G5030,S,561686,0,41.3632509,-72.944767,"Block Group 3, Census Tract 1658.02, New Haven County, Connecticut",0.332,253,762,33.2,Hamden,65.87926509,4.24528302,10713.8939613189,-6045740.08520381
170,9,9,165500,3,90091655003,Block Group 3,G5030,S,221156,0,41.3390437,-72.9398354,"Block Group 3, Census Tract 1655, New Haven County, Connecticut",0.3,397,1324,30.0,Hamden,90.86102719,2.80373832,7793.8291493021,-2380422.73240522
171,9,9,165400,5,90091654005,Block Group 5,G5030,S,742898,163733,41.3472478,-72.9220178,"Block Group 5, Census Tract 1654, New Haven County, Connecticut",0.336,364,1083,33.6,Hamden,24.15875755,0.0,12206.8969534662,-9758621.59494149
172,9,9,166002,5,90091660025,Block Group 5,G5030,S,566771,0,41.3976947,-72.9003667,"Block Group 5, Census Tract 1660.02, New Haven County, Connecticut",0.334,237,710,33.4,Hamden,28.07017544,0.0,10772.560066971,-6100461.53033376
173,9,13,881300,1,90138813001,Block Group 1,G5030,S,8906989,0,41.8250446,-72.2901206,"Block Group 1, Census Tract 8813, Tolland County, Connecticut",0.363,439,1211,36.3,Mansfield,10.46990932,2.43445693,69691.669874624,-95872909.2011742
174,9,13,881500,1,90138815001,Block Group 1,G5030,S,2591407,76717,41.7925326,-72.2500121,"Block Group 1, Census Tract 8815, Tolland County, Connecticut",0.519,378,729,51.9,Mansfield,23.95904437,4.42655936,29475.0545155598,-28718963.9797735
175,9,13,881500,2,90138815002,Block Group 2,G5030,S,11784176,0,41.7730661,-72.2512003,"Block Group 2, Census Tract 8815, Tolland County, Connecticut",0.39,579,1485,39.0,Mansfield,26.5993266,0.0,54673.3730807159,-126841286.112975
176,9,13,881300,3,90138813003,Block Group 3,G5030,S,2373056,8322,41.8071271,-72.274462,"Block Group 3, Census Tract 8813, Tolland County, Connecticut",0.685,268,391,68.5,Mansfield,28.89710413,6.80628272,27778.0444567268,-25632579.206489
177,9,13,881300,2,90138813002,Block Group 2,G5030,S,2913195,0,41.8172604,-72.2673461,"Block Group 2, Census Tract 8813, Tolland County, Connecticut",0.847,706,834,84.7,Mansfield,18.94484412,6.48379052,29960.8901818914,-31356956.4266588
178,9,13,881500,4,90138815004,Block Group 4,G5030,S,2901625,71930,41.7344132,-72.2076084,"Block Group 4, Census Tract 8815, Tolland County, Connecticut",0.417,704,1689,41.7,Mansfield,30.23529412,16.96551724,27242.4885639405,-32006270.0707147
179,12,13,881100,2,90138811002,Block Group 2,G5030,S,5096923,5951,41.7974954,-72.2280455,"Block Group 2, Census Tract 8811, Tolland County, Connecticut",0.606,771,1273,60.6,Mansfield,23.22530864,3.26797386,35184.7798782112,-54926034.6287513
180,9,13,881200,1,90138812001,Block Group 1,G5030,S,2272413,28584,41.8089228,-72.2515869,"Block Group 1, Census Tract 8812, Tolland County, Connecticut",0.815,436,535,81.5,Mansfield,23.13030773,0.0,36276.7164303668,-24767420.2888204
181,9,9,141400,4,90091414004,Block Group 4,G5030,S,209954,0,41.3214401,-72.949254,"Block Group 4, Census Tract 1414, New Haven County, Connecticut",0.591,695,1175,59.1,New Haven,68.17021277,5.52016985,6086.82425244082,-2259863.5586665
182,9,9,142700,3,90091427003,Block Group 3,G5030,S,1237465,623894,41.2856311,-72.9020844,"Block Group 3, Census Tract 1427, New Haven County, Connecticut",0.392,389,993,39.2,New Haven,61.83282981,0.0,23128.7281295051,-20035120.2045382
183,9,9,141500,2,90091415002,Block Group 2,G5030,S,146402,0,41.3338171,-72.9373185,"Block Group 2, Census Tract 1415, New Haven County, Connecticut",0.848,691,815,84.8,New Haven,94.47852761,0.0,5842.19861652351,-1575829.99361967
184,9,9,141900,3,90091419003,Block Group 3,G5030,S,164409,0,41.3193798,-72.9115197,"Block Group 3, Census Tract 1419, New Haven County, Connecticut",0.579,577,996,57.9,New Haven,33.43373494,6.22222222,5449.47006417504,-1769629.93867041
185,4,9,142500,4,90091425004,Block Group 4,G5030,S,203438,0,41.3113752,-72.8934872,"Block Group 4, Census Tract 1425, New Haven County, Connecticut",0.436,643,1475,43.6,New Haven,70.55485498,21.56862745,5934.99596056741,-2189739.22327547
186,9,9,142400,2,90091424002,Block Group 2,G5030,S,104309,0,41.3133903,-72.898443,"Block Group 2, Census Tract 1424, New Haven County, Connecticut",0.594,664,1118,59.4,New Haven,84.97316637,17.52873563,4248.49825447591,-1122753.45174455
187,9,9,141400,3,90091414003,Block Group 3,G5030,S,206231,0,41.3193653,-72.9439507,"Block Group 3, Census Tract 1414, New Haven County, Connecticut",0.571,896,1570,57.1,New Haven,89.47368421,2.42424242,5904.40082632704,-2219793.91396229
188,9,9,140600,5,90091406005,Block Group 5,G5030,S,93193,0,41.2999464,-72.9426199,"Block Group 5, Census Tract 1406, New Haven County, Connecticut",0.744,346,465,74.4,New Haven,86.66666667,25.68807339,5681.33241053047,-1003100.87799368
189,9,9,140200,1,90091402001,Block Group 1,G5030,S,2013815,1619895,41.2986159,-72.9089231,"Block Group 1, Census Tract 1402, New Haven County, Connecticut",0.838,538,642,83.8,New Haven,67.75700935,6.95652174,27723.5024551844,-39112134.0420597
190,9,9,140600,2,90091406002,Block Group 2,G5030,S,145830,0,41.3007635,-72.9370796,"Block Group 2, Census Tract 1406, New Haven County, Connecticut",0.444,332,747,44.4,New Haven,95.19112207,7.960199,5300.12451489066,-1569676.90269935
191,9,9,140900,2,90091409002,Block Group 2,G5030,S,122868,0,41.3132783,-72.9459786,"Block Group 2, Census Tract 1409, New Haven County, Connecticut",0.584,547,936,58.4,New Haven,90.81196581,11.16504854,4591.45674715077,-1322504.85053662
192,9,9,141300,3,90091413003,Block Group 3,G5030,S,293748,0,41.3277822,-72.9600731,"Block Group 3, Census Tract 1413, New Haven County, Connecticut",0.301,424,1407,30.1,New Haven,41.29668781,1.0989011,9037.16670995425,-3161818.8376728
193,9,9,140600,3,90091406003,Block Group 3,G5030,S,158666,0,41.2985206,-72.9411237,"Block Group 3, Census Tract 1406, New Haven County, Connecticut",0.526,539,1024,52.6,New Haven,80.28985507,36.33333333,7893.11752057089,-1707813.47312234
194,9,9,140700,3,90091407003,Block Group 3,G5030,S,81599,0,41.3083076,-72.9378149,"Block Group 3, Census Tract 1407, New Haven County, Connecticut",0.688,393,571,68.8,New Haven,57.79334501,2.55681818,4707.36072610189,-878301.689105114
195,9,9,140700,4,90091407004,Block Group 4,G5030,S,63815,0,41.3104985,-72.9369532,"Block Group 4, Census Tract 1407, New Haven County, Connecticut",0.503,247,491,50.3,New Haven,46.6395112,2.44648318,3449.46789662441,-686888.043041211
196,9,9,140700,2,90091407002,Block Group 2,G5030,S,132729,0,41.3142502,-72.9412281,"Block Group 2, Census Tract 1407, New Haven County, Connecticut",0.549,439,800,54.9,New Haven,94.625,0.0,5142.47337488813,-1428650.95155535
197,9,9,140500,3,90091405003,Block Group 3,G5030,S,343565,0,41.2950985,-72.9428482,"Block Group 3, Census Tract 1405, New Haven County, Connecticut",0.706,818,1159,70.6,New Haven,75.32355479,28.86597938,8311.88176453128,-3698023.42623311
198,9,9,140600,1,90091406001,Block Group 1,G5030,S,162280,0,41.3043565,-72.9395059,"Block Group 1, Census Tract 1406, New Haven County, Connecticut",0.612,492,804,61.2,New Haven,82.44575937,31.19777159,5566.13890866356,-1746726.72430859
199,7,9,140800,1,90091408001,Block Group 1,G5030,S,297392,0,41.3082279,-72.9425637,"Block Group 1, Census Tract 1408, New Haven County, Connecticut",0.601,571,950,60.1,New Haven,84.53307393,2.61627907,7633.59212207598,-3201054.56974442
200,9,9,140800,2,90091408002,Block Group 2,G5030,S,576725,115475,41.3046405,-72.9533942,"Block Group 2, Census Tract 1408, New Haven County, Connecticut",0.687,667,971,68.7,New Haven,94.64469619,17.33333333,18307.2724742711,-7450609.05273113
201,9,9,140800,3,90091408003,Block Group 3,G5030,S,563863,0,41.3032954,-72.9484384,"Block Group 3, Census Tract 1408, New Haven County, Connecticut",0.574,309,538,57.4,New Haven,78.43866171,0.0,10919.6164920264,-6069248.76385396
202,9,9,140800,4,90091408004,Block Group 4,G5030,S,210819,0,41.3095241,-72.9487775,"Block Group 4, Census Tract 1408, New Haven County, Connecticut",0.63,758,1203,63.0,New Haven,93.81443299,0.0,6718.12890262069,-2269182.450021
203,9,9,142500,5,90091425005,Block Group 5,G5030,S,94928,0,41.3145108,-72.8942661,"Block Group 5, Census Tract 1425, New Haven County, Connecticut",0.758,404,533,75.8,New Haven,94.93433396,16.66666667,4255.58473660267,-1021772.73905
204,7,9,142601,2,90091426012,Block Group 2,G5030,S,283170,0,41.3316671,-72.8710176,"Block Group 2, Census Tract 1426.01, New Haven County, Connecticut",0.371,395,1064,37.1,New Haven,72.08646617,13.81074169,12226.5371916133,-3047933.97352406
205,9,9,142601,3,90091426013,Block Group 3,G5030,S,370052,0,41.3271237,-72.8736415,"Block Group 3, Census Tract 1426.01, New Haven County, Connecticut",0.373,470,1261,37.3,New Haven,88.42188739,9.22570016,9620.01695616808,-3983106.57289163
206,9,9,142601,4,90091426014,Block Group 4,G5030,S,2323983,340552,41.3235576,-72.8828595,"Block Group 4, Census Tract 1426.01, New Haven County, Connecticut",0.54,834,1545,54.0,New Haven,79.77171845,5.62390158,30977.8147406494,-28680103.060178
207,9,9,142603,1,90091426031,Block Group 1,G5030,S,225380,0,41.3167628,-72.8707472,"Block Group 1, Census Tract 1426.03, New Haven County, Connecticut",0.717,1523,2125,71.7,New Haven,67.56882874,22.92317302,7361.39879429644,-2425920.14987329
208,12,9,142604,2,90091426042,Block Group 2,G5030,S,344256,88900,41.3045502,-72.8876788,"Block Group 2, Census Tract 1426.04, New Haven County, Connecticut",0.472,591,1251,47.2,New Haven,58.11350919,2.49042146,10860.1139287117,-4662332.28832467
209,9,9,142700,1,90091427001,Block Group 1,G5030,S,650926,0,41.2928308,-72.8886409,"Block Group 1, Census Tract 1427, New Haven County, Connecticut",0.345,744,2159,34.5,New Haven,79.99073645,32.3488045,11238.7517177016,-7006355.83071331
210,9,9,142700,2,90091427002,Block Group 2,G5030,S,477236,0,41.2846032,-72.8907382,"Block Group 2, Census Tract 1427, New Haven County, Connecticut",0.49,523,1068,49.0,New Haven,81.66089965,2.90556901,10550.1724024785,-5136792.71508502
211,9,9,142700,4,90091427004,Block Group 4,G5030,S,816301,116050,41.2950855,-72.8967075,"Block Group 4, Census Tract 1427, New Haven County, Connecticut",0.426,1273,2988,42.6,New Haven,92.57028112,4.07925408,13367.9639001175,-10035539.3756356
212,13,9,142800,1,90091428001,Block Group 1,G5030,S,613746,0,41.276683,-72.8915537,"Block Group 1, Census Tract 1428, New Haven County, Connecticut",0.329,269,817,32.9,New Haven,15.05507956,0.0,12070.9044623559,-6606182.59467933
213,9,9,141300,4,90091413004,Block Group 4,G5030,S,2104903,0,41.3367229,-72.9615386,"Block Group 4, Census Tract 1413, New Haven County, Connecticut",0.55,602,1094,55.0,New Haven,46.71509792,10.65420561,24597.5587373643,-22656408.8083518
214,9,9,141400,2,90091414002,Block Group 2,G5030,S,346879,0,41.3239847,-72.9452262,"Block Group 2, Census Tract 1414, New Haven County, Connecticut",0.314,350,1113,31.4,New Haven,79.42497754,0.0,8104.53580792106,-3733691.37767944
215,10,9,141500,6,90091415006,Block Group 6,G5030,S,342940,0,41.3248002,-72.9316565,"Block Group 6, Census Tract 1415, New Haven County, Connecticut",0.708,472,667,70.8,New Haven,97.15142429,0.0,7710.89475059566,-3691283.08464915
216,9,9,141500,7,90091415007,Block Group 7,G5030,S,456957,18287,41.3268553,-72.9391598,"Block Group 7, Census Tract 1415, New Haven County, Connecticut",0.671,814,1214,67.1,New Haven,100.0,0.0,9638.72137159883,-5115361.68831673
217,9,9,141500,4,90091415004,Block Group 4,G5030,S,180061,0,41.3328437,-72.9331578,"Block Group 4, Census Tract 1415, New Haven County, Connecticut",0.365,370,1015,36.5,New Haven,100.0,0.0,5889.31281737526,-1938109.59632475
218,8,9,141500,5,90091415005,Block Group 5,G5030,S,186835,0,41.3284944,-72.9310506,"Block Group 5, Census Tract 1415, New Haven County, Connecticut",0.734,1102,1502,73.4,New Haven,92.14380826,5.84269663,6425.4615374902,-2011000.80271882
219,9,9,141600,2,90091416002,Block Group 2,G5030,S,204850,0,41.3164412,-72.9380704,"Block Group 2, Census Tract 1416, New Haven County, Connecticut",0.455,342,752,45.5,New Haven,85.43091655,6.01503759,8020.38288966431,-2204923.20382653
220,9,9,141600,3,90091416003,Block Group 3,G5030,S,372707,0,41.3195708,-72.9366734,"Block Group 3, Census Tract 1416, New Haven County, Connecticut",0.71,870,1226,71.0,New Haven,99.83686786,5.41125541,9995.1885417647,-4011695.52549007
221,9,9,141800,1,90091418001,Block Group 1,G5030,S,592630,0,41.3296712,-72.9178877,"Block Group 1, Census Tract 1418, New Haven County, Connecticut",0.413,699,1694,41.3,New Haven,38.11710677,12.76978417,10402.8749814822,-6378839.14626712
222,9,9,142200,2,90091422002,Block Group 2,G5030,S,273651,0,41.3018418,-72.916624,"Block Group 2, Census Tract 1422, New Haven County, Connecticut",0.32,201,628,32.0,New Haven,25.79617834,5.82750583,7642.45698872793,-2945514.8640371
