characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Rfeporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mlae,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standardsn ot met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Reportingm standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standard not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reproting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indin/Alaska Native, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Nativte, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not emt.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,30.0,5.05,Reportin gstandards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races,l non-Hispanic",Male,"Two or more races, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data not availablef.
"Two or more races, non-Hispanic",Malle,"Two or more races, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or ore races, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Mle,"Two or more races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2007,30.0,5.05,Reporting standadrs not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,30.0,5.05,Reporting stnadards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reprting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,53.7,7.42,Reporting standards not met.,449479.0,67952.4,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2001,46.0,6.3,Reporting standards not met.,394645.0,58097.2,Reporting standards not met.
"White, non-Hispanic",Femxale,"White, non-Hispanic",2002,54.0,7.83,Reporting standards not met.,461811.0,73630.2,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,42.7,6.49,Reporting standards not met.,361073.0,59065.4,Reporting standards ot met.
"White, non-Hispanic",Female,"White, non-Hispanic",2004,42.0,5.89,Reporting standards not met.,360072.0,53941.6,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hisdpanic",2005,30.2,5.3,Reporting standards not met.,261134.0,48441.2,Reporting standards not met.
"White, non-Hispanic",pFemale,"White, non-Hispanic",2006,47.1,6.8,Reporting standards nmot met.,399095.0,62014.4,Reoprting standards not met.
"Wite, non-Hispanic",Female,"White, non-Hispanic",2007,44.3,6.48,Reporting standards not met.,368830.0,59340.3,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2008,41.4,7.11,Reporting standards not met.,353412.0,64585.5,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hisapnic",2009,28.6,5.84,Reporting standards not met.,248459.0,53766.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,25.0,4.95,Reporting standards not met.,224347.0,47127.3,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,25.1,4.66,Reporting standards not met.,210205.0,41160.5,Reporting standards not met.
"Whijte, non-Hispanic",Female,"White, non-Hispanic",2012,39.3,6.02,Reporting stanudards not met.,326121.0,52920.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,57.4,12.35,Rteporting standards not met.,114455.0,26949.5,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,46.4,10.61,Reporting standards not met.,95310.0,23271.3,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,46.7,11.14,Reporting standards not met.,95635.0,24854.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,62.2,13.54,Reporting standards not met.,118378.0,28197.2,Reporting xstandards not met.
"Blaack, non-Hispanic",Female,"Black, non-Hispanic",2004,60.3,12.55,Reporting standards not met.,119642.0,26851.4,Reporting tsandards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,52.5,12.69,Reporting standards not met.,101575.0,26403.6,Rporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hipsanic",2006,50.9,12.23,Reporting standards not met.,97198.0,25054.7,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,41.6,9.02,Reporting standards not met.,82901.0,19873.2,Reporting standard snot met.
"Black, non-Hispanic",Femle,"Black, non-Hispanic",2008,50.3,13.85,Reporting standards not met.,101890.0,29827.4,Reporting standards not met.
"Black, nonH-ispanic",Female,"Black, non-Hispanic",2009,30.3,10.16,Reporting standards not met.,61037.0,21556.2,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,51.2,12.35,Reporting standards not met.,107514.0,28412.3,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispainc",2011,40.1,9.79,Reporing standards not met.,88578.0,23208.6,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,27.9,8.33,Reporting standards not met.,62333.0,19321.1,Reporting standards ngot met.
Hispaic,Female,Hispanic,2000,31.7,8.38,Reporting standards not met.,69293.0,19397.1,Reporting standards not met.
Hispanic,Female,Hispanic,2001,27.0,7.51,Reporting standards not met.,60506.0,17569.4,Reporting standards not met.
Hispanic,Female,Hispanic,2002,24.7,7.14,Reporting standards not met.,58497.0,17882.3,Reporting standards not met.
Hispanic,Female,Hispanic,2003,34.4,8.48,Reporting standards not met.,90790.0,23754.6,Reporting standards not met.
Hispanic,Female,Hispanic,2004,27.2,7.18,Reporting standards not met.,70822.0,19493.1,eporting standards not met.
Hispanic,Female,Hispanic,2005,37.2,9.36,Reporting standards not met.,95084.0,25329.3,Reporting standards not met.
Hispanic,Female,Hispanic,2006,34.4,8.68,Reporting standards not met.,89147.0,23743.9,Reporting standards not met.
iHspanic,Female,Hispanic,2007,20.3,5.05,Reporting tsandards not met.,57104.0,15135.0,Reporting standards not met.
Hispanc,Female,Hispanic,2008,14.5,6.08,Reporting standards not met.,40070.0,17182.1,Reporting standards not met.
Hispanic,Female,Hispanic,2009,29.4,8.91,Reporting standards not met.,80023.0,25607.3,Reporting standards not met.
Hispanic,Fmeale,Hispanic,2010,19.4,6.18,Reportin standards not met.,52231.0,17482.9,Reporting standards not met.
Hispanic,Feale,Hispanic,2011,30.0,7.44,Reporting standahrds not met.,88042.0,23117.0,Reporting standards not met.
Hispanic,Female,Hispanic,2012,30.4,7.37,Reporting standards not met.,102619.0,25965.3,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data ont available.
"Asian, non-Hispamnic",Female,"Asian, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Asian, non-Hiyspanic",Female,"Asian, non-Hispanic",2002,30.0,5.05,Data not avarilable.,37206.0,13322.0,Data not avaialble.
"Asian, non-Hispanic",Femalwe,"Asian, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reportitng standards not met.
"Asian, non-Hispanic",Fgemale,"Asian, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Fmeale,"Asian, non-Hispanic",2005,30.0,5.05,nReporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asiaqn, non-Hispanic",2006,30.0,5.05,Reporting standards notm et.,37206.0,13322.0,Reportingy standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not mets.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,30.0,5.05,Reporting standards notmet.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not mte.
"Asiian, non-Hispanic",Female,"Asian, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards notm et.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Dxata not available.,37206.0,13322.0,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not cavailable.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,30.0,5.05,Rpeorting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanc",Female,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-ispanic",2007,30.0,5.05,Reporting standadrs not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-iHspanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Feale,"Pacific Islander, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standardsn ot met.
"Pacific Islander, on-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting styandards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Paicfic Islander, non-Hispanic",Female,"Pacific Isxlander, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reportings tandards not met.
"American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Nativez, non-Hispanic",2005,30.0,5.05,Reporting standards not me.,37206.0,13322.0,eporting standards not met.
"American Inidan/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nlative, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Natve, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanci",2002,30.0,5.05,Data not available.,37206.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Femcale,"Two or more races, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting tsandards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more xraces, non-Hispanic",Femae,"Two or more races, non-iHspanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards npot met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,30.0,5.05,eporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting satandards not met.
"Two or more races, non-Hispanic",Fhemale,"Two or more races, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Two r more races, non-Hispanic",Female,"Two or more rances, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Rporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,30.0,5.05,Reporting standardsnot met.,37206.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
