4846.geocodecitylevel,"Lovingtono, NM
(32.943949, -103.34988)","Lovington, NM
(32.943949, -103.34988)"
8502.datelastmodified,0b3/04/2004,03/04/2004
1764.statevalue,CbA,CA
5742.typeofchangefulltext,No Changles have been made.,No Changes have been made.
2089.datelastmodified,06/23/204,06/23/2014
3657.county,Jeffersno,Jefferson
2645.psapname,FlossmoorP olice,Flossmoor Police
660.geocodecitylevel,"Pontotoc, MS
(34.294079, -88.999324)","Pontotoc, MS
(34.249079, -88.999324)"
4860.city,Skgway,Skagway
6631.city,Veunice,Venice
8275.city,eWarren,Warren
7831.city,Shazwano,Shawano
634.datelastmodified,7/28/2017,07/28/2017
5299.geocodecitylevel,"Lewisburg, TN
(35.4509y91, -86.788907)","Lewisburg, TN
(35.450991, -86.788907)"
7310.psapname,Carthage Police Departent,Carthage Police Department
7419.typeofchangefulltext,"PSAP Name, State,C ounty or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
5538.statevalue,tIL,IL
1149.typeofchangefulltext,N oChanges have been made.,No Changes have been made.
3702.geocodecitylevel,"Waterville, ME
(44.552839, -69.63130)9","Waterville, ME
(44.552839, -69.631309)"
1650.city,Oxfoprd,Oxford
5529.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original posxting.","PSAP Name, State, County or City text has been modified since the original posting."
106.county,Hamlben,Hamblen
2199.statevalue,AM,MA
3559.geocodecitylevel,"Wayland, MA
(42.363069, 71.36179)","Wayland, MA
(42.363069, -71.36179)"
4372.datelastmodified,03/04/204,03/04/2004
4059.geocodecitylevel,"Lufkin, TX
(31.32913, -94.727903)","Lufkin, TX
(31.332913, -94.727903)"
6206.geocodecitylevel,"Fort Myers, FL
(26.61149, -81.825769)","Fort Myers, FL
(26.614149, -81.825769)"
3685.typeofchangefulltext,No Chsanges have been made.,No Changes have been made.
3790.datelastmodified,0/04/2004,03/04/2004
3596.statevalue,AV,VA
4549.geocodecitylevel,"Fairbanks, AK
(64.836661, -147.73889w1)","Fairbanks, AK
(64.836661, -147.738891)"
4579.typeofchangefulltext,"PSAP Name, State, County or City text has been modifie since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1639.county,Hartfodrd,Hartford
2132.geocodecitylevel,"Ashveille, NC
(35.595889, -82.550039)","Asheville, NC
(35.595889, -82.550039)"
2180.datelastmodified,4/27/2011,04/27/2011
7709.city,Durahm,Durham
3571.typeofchangefulltext,Secondary PSAPa ssociated with a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
2965.statevalue,oKS,KS
170.county,Bunrett,Burnett
3189.psapname,Wjestern Springs Police Department,Western Springs Police Department
4093.datelastmodified,03/04/004,03/04/2004
4734.city,Sunnyjvale,Sunnyvale
2276.typeofchangefulltext,mNo Changes have been made.,No Changes have been made.
1069.county,Selby,Shelby
6054.typeofchangefulltext,No Changes have cbeen made.,No Changes have been made.
1322.city,Amidno,Amidon
2477.statevalue,RA,AR
5349.psapname,Knob Noster Police Deartment,Knob Noster Police Department
5065.county,Pottawatoime,Pottawatomie
2637.geocodecitylevel,"Marf, TX
(30.309412, -104.020624)","Marfa, TX
(30.309412, -104.020624)"
2192.datelastmodified,03/0/2004,03/04/2004
5752.psapname,Granite County Sheriffs Offiec,Granite County Sheriffs Office
3284.datelastmodified,06/19/2o014,06/19/2014
3649.psapname,onora Police Department,Sonora Police Department
5895.county,Stoen,Stone
4574.county,Lincoeln,Lincoln
3404.city,Bsibee,Bisbee
3808.psapname,Tooele Conuty Sheriffs Office Dispatch,Tooele County Sheriffs Office Dispatch
869.city,Pinehust,Pinehurst
8396.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the oiginal posting.","PSAP Name, State, County or City text has been modified since the original posting."
6812.psapname,Quechan Tridbal Police Department,Quechan Tribal Police Department
4682.county,Ketn,Kent
6434.datelastmodified,30/04/2004,03/04/2004
4074.city,Grove qHill,Grove Hill
7380.geocodecitylevel,"Rockport, MO
(40.410684, -95.514861)","Rockport, MO
(40.410864, -95.514861)"
3737.geocodecitylevel,"Northfield, IL
(42.10589, -87.776656)","Northfield, IL
(42.101589, -87.776656)"
1430.geocodecitylevel,"Pompano Beach, FL
(26.231477, -8.0126118)","Pompano Beach, FL
(26.231477, -80.126118)"
4476.psapname,Eastv Point E9-1-1,East Point E9-1-1
3804.typeofchangefulltext,Secondary PSAP associated wit ha Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
2902.psapname,Archer County Sheriffs vOffice,Archer County Sheriffs Office
412.statevalue,TC,CT
4736.datelastmodified,03/04/004,03/04/2004
421.city,Southagte,Southgate
2305.datelastmodified,o02/15/2013,02/15/2013
5656.city,Faircild Air Force Base,Fairchild Air Force Base
2315.psapname,Mjacoupin County E911,Macoupin County E911
8402.statevalue,FuL,FL
8515.county,Wayen,Wayne
1091.psapname,Prestonsburg E9-1-1C enter,Prestonsburg E9-1-1 Center
6971.statevalue,LF,FL
3868.datelastmodified,04/05/2007***,04/05/2007
377.geocodecitylevel,"Kenner, LA
(29.990794, 9-0.24298)","Kenner, LA
(29.990794, -90.24298)"
4501.county,Alledn,Allen
5272.statevalue,L,IL
6918.county,mUatilla,Umatilla
1107.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filnings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1996.city,Cambcridge,Cambridge
1685.county,Deer Lodeg,Deer Lodge
7088.typeofchangefulltext,No Changes havef been made.,No Changes have been made.
7823.datelastmodified,01/10/2014,10/10/2014
3916.city,Corpus kChristi,Corpus Christi
8528.county,Cherokeze,Cherokee
7404.typeofchangefulltext,"PSAP Name ,State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
6345.county,oPlk,Polk
4076.city,aBtavia,Batavia
5449.psapname,Santa Maria oPlice Department,Santa Maria Police Department
3230.psapname,Sn Ramon Valley 911,San Ramon Valley 911
5154.city,Eudoa,Eudora
6576.typeofchangefulltext,No Cahnges have been made.,No Changes have been made.
7455.city,fRochester,Rochester
8409.datelastmodified,k03/04/2004,03/04/2004
4889.county,ampton,Hampton
7592.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Rdefrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
712.statevalue,AW,WA
2301.city,Grenadca,Grenada
7388.datelastmodified,08/13/2m014,08/13/2014
285.statevalue,N,TN
3442.datelastmodified,0u3/07/2011,03/07/2011
8352.geocodecitylevel,"Wes tWarwick, RI
(41.707447, -71.522488)","West Warwick, RI
(41.707447, -71.522488)"
1703.psapname,Eno xRiver State Park,Eno River State Park
5017.city,Turners alls,Turners Falls
6393.datelastmodified,03/04/2040,03/04/2004
2912.datelastmodified,0a7/28/2017,07/28/2017
6358.psapname,Adrian Poilce Department,Adrian Police Department
4215.psapname,Lee County Sheriffs Oiffice,Lee County Sheriffs Office
3693.datelastmodified,03/04/20a04,03/04/2004
2489.city,Santa Rorsa,Santa Rosa
7418.geocodecitylevel,"PrairieDu Chien, WI
(43.051929, -91.14099)","Prairie Du Chien, WI
(43.051929, -91.14099)"
1277.psapname,Meade hCounty 9-1-1,Meade County 9-1-1
1616.statevalue,NT,TN
3562.datelastmodified,06/19/204,06/19/2014
1582.datelastmodified,03w/04/2004,03/04/2004
6366.county,Pocaehontas,Pocahontas
4063.typeofchangefulltext,No Changes have beefn made.,No Changes have been made.
3828.datelastmodified,0k3/04/2004,03/04/2004
2296.statevalue,LF,FL
7990.psapname,Hydaburg Emergeny Medical Services,Hydaburg Emergency Medical Services
7568.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from usin gthese in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
2488.geocodecitylevel,"Williamsburg, VA
(37.275563, -76.70901)","Williamsburg, VA
(37.275563, -76.709017)"
6469.county,Oote,Otoe
7029.statevalue,MzO,MO
2722.geocodecitylevel,"Shelton, CT
(41316843, -73.092968)","Shelton, CT
(41.316843, -73.092968)"
3077.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using hese in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1384.statevalue,S,MS
3912.typeofchangefulltext,No Changs have been made.,No Changes have been made.
7408.statevalue,Y,KY
570.geocodecitylevel,"Luxora, AR
(35.757482, -89.34617)","Luxora, AR
(35.757482, -89.934617)"
6190.statevalue,YN,NY
3135.statevalue,LI,IL
2975.county,dGrady,Grady
5437.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain fro using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
5419.city,uburn,Auburn
7862.typeofchangefulltext,No Changes have been maden.,No Changes have been made.
178.county,Mcduffe,Mcduffie
7483.typeofchangefulltext,No Changes havebeen made.,No Changes have been made.
4745.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filigns.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
7723.county,rawford,Crawford
4910.typeofchangefulltext,Orphaned PSAP no longer considered a primary cal taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
4321.datelastmodified,04/12/2103,04/12/2013
3141.city,Middlebohro,Middleboro
5570.psapname,Hawthorne Police Depatrment,Hawthorne Police Department
7217.psapname,Macdlil Air Force Base Communications Center,Macdill Air Force Base Communications Center
756.statevalue,TcN,TN
6795.datelastmodified,03/04/20i04,03/04/2004
4748.typeofchangefulltext,Secondary PSAP associated with a Primacry PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
4950.psapname,Elgin Police Delpartment,Elgin Police Department
2084.city,Neptune Bxeach,Neptune Beach
7364.psapname,Unipon City,Union City
6246.datelastmodified,3/04/2004,03/04/2004
6697.city,Nappaee,Nappanee
2675.datelastmodified,03/04/200o4,03/04/2004
3739.geocodecitylevel,"St. Petersburg Beach, FL
(27.742599, -82.75303)","St. Petersburg Beach, FL
(27.742599, -82.753403)"
544.psapname,Tucumcari Police Deipartment,Tucumcari Police Department
6809.county,Dnudy,Dundy
4682.geocodecitylevel,"Jaytgon, TX
(33.248934, -100.573707)","Jayton, TX
(33.248934, -100.573707)"
3324.county,otter,Potter
5174.typeofchangefulltext,"PSAP aNme, State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1424.typeofchangefulltext,No Changes have beaen made.,No Changes have been made.
701.datelastmodified,0/304/2004,03/04/2004
6596.psapname,Lamar County Shreiffs Office,Lamar County Sheriffs Office
7080.city,Carroxllton,Carrollton
100.county,aHmilton,Hamilton
273.statevalue,McS,MS
4577.geocodecitylevel,"San Bruno, CA
(37.627277 -122.416148)","San Bruno, CA
(37.627277, -122.416148)"
4333.typeofchangefulltext,PSA was added since the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
3702.statevalue,EM,ME
5755.city,Houes Springs,House Springs
4788.psapname,Snowmass Vllage Police,Snowmass Village Police
7411.county,Solhano,Solano
1450.typeofchangefulltext,"PSAP Name, State, County or Cty text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
6525.datelastmodified,3/04/2004,03/04/2004
7905.county,iZebach,Ziebach
5653.psapname,edona Fire District,Sedona Fire District
8186.typeofchangefulltext,PSAP was added since the original posting of the FCC Regstry.,PSAP was added since the original posting of the FCC Registry.
7248.geocodecitylevel,"Ledville, CO
(39.248791, -106.291951)","Leadville, CO
(39.248791, -106.291951)"
6543.datelastmodified,a03/07/2011,03/07/2011
3296.statevalue,VW,WV
5721.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original positng.","PSAP Name, State, County or City text has been modified since the original posting."
4062.statevalue,uMA,MA
3636.city,GrossePointe City,Grosse Pointe City
4236.typeofchangefulltext,No Changaes have been made.,No Changes have been made.
8543.statevalue,OC,CO
1595.county,Knig William,King William
4947.geocodecitylevel,"Tucsocn, AZ
(32.221878, -110.971225)","Tucson, AZ
(32.221878, -110.971225)"
7974.statevalue,KO,OK
1583.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since thve original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2366.psapname,Prosser Ploice Department,Prosser Police Department
7969.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since te original posting.","PSAP Name, State, County or City text has been modified since the original posting."
6966.geocodecitylevel,"Gate City, VA
(36.63969, -82.57850)9","Gate City, VA
(36.63969, -82.578509)"
7499.statevalue,J,NJ
1254.statevalue,XT,TX
7195.county,Salne,Saline
6197.city,Sallsiaw,Sallisaw
1897.typeofchangefulltext,No Cvhanges have been made.,No Changes have been made.
349.city,Omkemah,Okemah
6612.geocodecitylevel,"Snow Hill, MD
(38.1p77051, -75.392969)","Snow Hill, MD
(38.177051, -75.392969)"
6691.county,Perkicns,Perkins
739.geocodecitylevel,"Ft Leavenworth, KS(
39.348499, -94.927101)","Ft Leavenworth, KS
(39.348499, -94.927101)"
2141.datelastmodified,03/04/200n4,03/04/2004
2344.psapname,Port St Jo Police Departemnt,Port St Jo Police Department
1978.geocodecitylevel,"Roichland Center, WI
(43.338184, -90.381604)","Richland Center, WI
(43.338184, -90.381604)"
4407.geocodecitylevel,"Ft Irwin, CA
(35.25448, -116.p686456)","Ft Irwin, CA
(35.25448, -116.686456)"
4150.city,Staton,Stanton
6905.city,aHyward,Hayward
1244.county,Herkimeer,Herkimer
647.typeofchangefulltext,No Chmanges have been made.,No Changes have been made.
1517.city,Macjy,Macy
4746.city,lton,Alton
3241.psapname,Marshall County E9-11-,Marshall County E9-1-1
6385.county,Cuahoga,Cuyahoga
5180.typeofchangefulltext,No Chnges have been made.,No Changes have been made.
1257.psapname,Scott Air Focrce Base,Scott Air Force Base
6371.datelastmodified,030/4/2004,03/04/2004
4478.geocodecitylevel,"Greenbelt, MD
(39.00461t2, -76.875671)","Greenbelt, MD
(39.004612, -76.875671)"
5259.statevalue,zMN,MN
6461.city,Lwakeway,Lakeway
4644.county,D Page,Du Page
6964.statevalue,AI,IA
5449.statevalue,nCA,CA
7637.county,oCntra Costa,Contra Costa
7362.geocodecitylevel,"San Mateo CA
(37.547166, -122.314351)","San Mateo, CA
(37.547166, -122.314351)"
5224.statevalue,T,CT
3753.city,East aLnsing,East Lansing
3708.psapname,Westminstewr College,Westminster College
2293.datelastmodified,03/4/2004,03/04/2004
3507.datelastmodified,08/13/20z13,08/13/2013
4633.typeofchangefulltext,"PSAP Name, State, Coutny or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
6532.city,Hendersonille,Hendersonville
6923.datelastmodified,04/20/2040,04/20/2004
4021.statevalue,NT,TN
5649.datelastmodified,01/30/y2004,01/30/2004
6844.city,Mieola,Mineola
6519.typeofchangefulltext,No Changes have beesn made.,No Changes have been made.
6161.statevalue,mNV,NV
2506.county,Btte,Butte
8372.statevalue,lOH,OH
8108.typeofchangefulltext,Orphaned PSAP no nlonger considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1975.typeofchangefulltext,No Chanvges have been made.,No Changes have been made.
1632.county,Trmbull,Trumbull
5289.county,Gretene,Greene
4859.datelastmodified,03/042/004,03/04/2004
3420.datelastmodified,03/03/2006,03/30/2006
755.psapname,Collin CountySheriffs Department,Collin County Sheriffs Department
248.geocodecitylevel,"Mcrae,G A
(32.068102, -82.900928)","Mcrae, GA
(32.068102, -82.900928)"
1008.city,rMinneapolis,Minneapolis
1971.datelastmodified,03/04s/2004,03/04/2004
2780.psapname,oFrsyth County Sheriffs Communications,Forsyth County Sheriffs Communications
8515.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from usinge these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8087.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answeing point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6357.city,Ciefland,Chiefland
7488.statevalue,cMN,MN
687.county,Piike,Pike
8526.city,Treknton,Trenton
330.typeofchangefulltext,No Changes haev been made.,No Changes have been made.
4583.statevalue,IH,HI
3184.psapname,Twigg sCounty Sheriffs Department,Twiggs County Sheriffs Department
8048.psapname,GraysvilleP olice Department,Graysville Police Department
5545.datelastmodified,0/304/2004,03/04/2004
5862.statevalue,L,FL
4731.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrai nfrom using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
5506.typeofchangefulltext,PSAP was added since the originajl posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
3860.datelastmodified,03/04/j2004,03/04/2004
5115.geocodecitylevel,"St Helensx, OR
(45.861814, -122.810196)","St Helens, OR
(45.861814, -122.810196)"
2002.typeofchangefulltext,"PSAP Name, State, County or City text has been modifie dsince the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
4478.city,Geenbelt,Greenbelt
5457.county,Ktenai Peninsula Borough,Kenai Peninsula Borough
7595.datelastmodified,10/40/2012,10/04/2012
5852.typeofchangefulltext,Orphaned PSAP no longer considered a primary call takingj answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1156.typeofchangefulltext,"PSAP Name, tSate, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1427.psapname,Wicomic County Emergency Services,Wicomico County Emergency Services
5253.datelastmodified,12/1n0/2007,12/10/2007
5597.county,Grhaam,Graham
3471.statevalue,A,GA
2050.psapname,Boaiz Police,Boaz Police
1021.geocodecitylevel,"Walnut Ridge, AR
(36.0e69736, -90.957539)","Walnut Ridge, AR
(36.069736, -90.957539)"
5508.city,Lindne,Linden
2248.psapname,Orgeon State Police-western Regional Dispatch Center,Oregon State Police-western Regional Dispatch Center
6607.statevalue,IdL,IL
3213.psapname,Rockdale Poliec Department,Rockdale Police Department
119.county,Andeson,Anderson
2631.statevalue,LI,IL
994.statevalue,T,MT
1470.county,Halipfax,Halifax
455.statevalue,LF,FL
1001.statevalue,xOK,OK
6130.typeofchangefulltext,No Changes have been mde.,No Changes have been made.
5494.statevalue,L,IL
932.datelastmodified,04/20/0217,04/20/2017
737.typeofchangefulltext,PSAP was added since the original postingof the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
8339.datelastmodified,03/0/42004,03/04/2004
5491.statevalue,wMA,MA
56.psapname,Ardsley Village Policej Department,Ardsley Village Police Department
5664.city,Cryvstal Falls,Crystal Falls
6323.geocodecitylevel,"Princeton, IN
3(8.355226, -87.567555)","Princeton, IN
(38.355226, -87.567555)"
6921.statevalue,AC,CA
5844.statevalue,X,TX
47.city,Deridderr,Deridder
1467.typeofchangefulltext,No Changesd have been made.,No Changes have been made.
625.statevalue,AP,PA
2548.datelastmodified,03c/04/2004,03/04/2004
3454.county,Cuyhaoga,Cuyahoga
6857.psapname,Kentucky State Plice Post 5-campbellsburg,Kentucky State Police Post 5-campbellsburg
2151.geocodecitylevel,"Keni, AK
(60.557671, -151.241814)","Kenai, AK
(60.557671, -151.241814)"
2189.county,Rocfk Island,Rock Island
8040.typeofchangefulltext,No Changes have been mde.,No Changes have been made.
178.statevalue,AG,GA
4084.datelastmodified,0e3/04/2004,03/04/2004
6531.datelastmodified,01/14/0204,01/14/2004
2024.county,Ruio Blanco,Rio Blanco
7007.geocodecitylevel,"Cumberland, ME
(43.78116,4 -70.256829)","Cumberland, ME
(43.781164, -70.256829)"
2392.typeofchangefulltext,"PSAP Name, State, Cuonty or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
4613.psapname,Mountain Lakes Police Departmeent,Mountain Lakes Police Department
797.geocodecitylevel,"Rumford, ME
(44.55394h3, -70.551089)","Rumford, ME
(44.553943, -70.551089)"
4363.city,Hratford,Hartford
7940.city,LaF eria,La Feria
7643.typeofchangefulltext,No Chnages have been made.,No Changes have been made.
225.typeofchangefulltext,PSAP was advded since the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
4983.county,Cusetr,Custer
7291.city,eRd River,Red River
1559.psapname,Bakcer County Sheriffs Department,Baker County Sheriffs Department
766.psapname,RosenbergP olice Department,Rosenberg Police Department
8537.geocodecitylevel,"NJ
(40.104655, -743.86686)","NJ
(40.104655, -74.386686)"
48.geocodecitylevel,"Roswell, NM
(33.393142, -104.52274)","Roswell, NM
(33.393142, -104.522734)"
4482.statevalue,AV,VA
2044.datelastmodified,02/082007,02/08/2007
5257.county,zGreene,Greene
4675.geocodecitylevel,"Barrington, RI
(41.739874, -71.p307965)","Barrington, RI
(41.739874, -71.307965)"
3085.psapname,Colay County,Clay County
7287.datelastmodified,02/0/2017,02/01/2017
5501.city,Spingfield,Springfield
3844.geocodecitylevel,"Wasraw, MO
(38.244763, -93.38571)","Warsaw, MO
(38.244763, -93.38571)"
562.statevalue,NT,TN
3965.geocodecitylevel,"Cmarillo, CA
(34.225403, -119.050667)","Camarillo, CA
(34.225403, -119.050667)"
6966.typeofchangefulltext,"PSAP Name, State, County or iCty text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
5817.county,Adas,Adams
5620.datelastmodified,030/4/2004,03/04/2004
5827.statevalue,xOK,OK
2264.statevalue,HO,OH
7266.geocodecitylevel,"North Caldwellb, NJ
(40.86746, -74.264371)","North Caldwell, NJ
(40.86746, -74.264371)"
1531.datelastmodified,05/22/b2008,05/22/2008
2563.geocodecitylevel,"Savanna, GA
(32.08059, -81.090103)","Savannah, GA
(32.08059, -81.090103)"
667.city,Prais,Paris
3087.city,Uinon,Union
3336.datelastmodified,03/04/2004***,03/04/2004
5113.city,Eldoado,Eldorado
4457.county,Waslh,Walsh
3610.typeofchangefulltext,"PSAP ame, State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
6431.city,Sprgue,Sprague
3358.city,Chesapeakze City,Chesapeake City
7435.city,Beqverly Hills,Beverly Hills
6396.city,Plainviw,Plainview
1301.psapname,Wagoner Cunty 911 Center,Wagoner County 911 Center
1453.county,Mraion,Marion
3304.county,jPanola,Panola
5551.datelastmodified,030/4/2004,03/04/2004
8518.psapname,Ferguus,Fergus
2899.geocodecitylevel,"West Orange, NJ
(40.792503,- 74.269745)","West Orange, NJ
(40.792503, -74.269745)"
969.city,eLxington,Lexington
4741.county,Wijndham,Windham
5855.city,Temupe,Tempe
4146.city,Wellton,Wellston
4021.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future flings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6050.city,Cornincg,Corning
5539.statevalue,A,MA
4806.city,Hubabrd,Hubbard
6078.statevalue,D,SD
3128.statevalue,Y,KY
4244.psapname,Springfield Fire Deartment,Springfield Fire Department
7329.psapname,Casselberry Polic Department,Casselberry Police Department
135.datelastmodified,03/04/0204,03/04/2004
3780.statevalue,IM,MI
689.statevalue,lAZ,AZ
5746.statevalue,CdA,CA
1490.city,Slacha,Salcha
4766.statevalue,LA,AL
805.statevalue,TdX,TX
4278.geocodecitylevel,"San Andreas, CAc
(38.196211, -120.68092)","San Andreas, CA
(38.196211, -120.68092)"
1615.typeofchangefulltext,No Canges have been made.,No Changes have been made.
4979.statevalue,DtC,DC
5880.county,Masn,Mason
4634.geocodecitylevel,"Artesia, NM
(32.842169 ,-104.401076)","Artesia, NM
(32.842169, -104.401076)"
5233.geocodecitylevel,"Maercedes, TX
(26.149094, -97.921709)","Mercedes, TX
(26.149094, -97.921709)"
7553.statevalue,E,NE
4549.typeofchangefulltext,No Chnages have been made.,No Changes have been made.
2927.psapname,Mcpherson County Comkmunications,Mcpherson County Communications
7282.psapname,Kanas City Police Department,Kansas City Police Department
457.psapname,Orangge County Fire Rescue,Orange County Fire Rescue
70.county,lPolk,Polk
8119.city,indlay,Findlay
4538.city,Currituclk,Currituck
5358.geocodecitylevel,"Hendersonville, NC
(35.317901, -82.459k174)","Hendersonville, NC
(35.317901, -82.459174)"
6653.county,Sahwano,Shawano
384.psapname,Laswd - Walnut/diamond Bar Sheriffs Station,Lasd - Walnut/diamond Bar Sheriffs Station
6356.county,Hamptno City,Hampton City
1926.statevalue,uWA,WA
2182.typeofchangefulltext,No Chfanges have been made.,No Changes have been made.
7133.geocodecitylevel,"Hilliard, OH
(40.03429, -83.19245)","Hilliard, OH
(40.03429, -83.139245)"
1746.statevalue,X,TX
2956.city,Roudnup,Roundup
7616.statevalue,HO,OH
6081.county,Liberrty,Liberty
6401.geocodecitylevel,"Juneau, AK
(58.301084, -134.42452)4","Juneau, AK
(58.301084, -134.424524)"
48.county,haves,Chaves
3536.county,Miffin,Mifflin
2026.statevalue,OM,MO
915.statevalue,NT,TN
1436.county,Whie,White
7400.city,Redwood Citey,Redwood City
4836.geocodecitylevel,"Greeley, NE
(41.548687, -98.53081)","Greeley, NE
(41.548687, -98.530819)"
7834.psapname,Fort Knoux Fire Department,Fort Knox Fire Department
3644.city,North Wlikesboro,North Wilkesboro
3456.geocodecitylevel,"Carlstadt, NJ
(40.839281x, -74.095468)","Carlstadt, NJ
(40.839281, -74.095468)"
2361.statevalue,wCA,CA
266.county,Raockbridge,Rockbridge
7338.city,West Cheter,West Chester
4050.psapname,Gettysburg Firpe Department,Gettysburg Fire Department
5126.geocodecitylevel,"Tolland, CT(
41.872445, -72.369671)","Tolland, CT
(41.872445, -72.369671)"
3036.city,rFeeport,Freeport
8072.county,ampden,Hampden
4472.statevalue,KA,AK
6316.geocodecitylevel,"Nbraska City, NE
(40.676697, -95.858946)","Nebraska City, NE
(40.676697, -95.858946)"
1802.county,untington,Huntington
8523.typeofchangefulltext,No Changes have been mad.e,No Changes have been made.
2910.psapname,Confire - San Berdnardino County Fire (rialto),Confire - San Bernardino County Fire (rialto)
7487.typeofchangefulltext,No hanges have been made.,No Changes have been made.
1342.typeofchangefulltext,No Changes hapve been made.,No Changes have been made.
1468.city,uIdabel,Idabel
5756.psapname,Ewglin Law Enforcement,Eglin Law Enforcement
2478.geocodecitylevel,"Carrollton, AL
(33.2620k37, -88.094151)","Carrollton, AL
(33.262037, -88.094151)"
2930.county,Spcott,Scott
4581.statevalue,CS,SC
6063.county,amilton,Hamilton
6328.geocodecitylevel,"Silerthorne, CO
(39.633946, -106.075416)","Silverthorne, CO
(39.633946, -106.075416)"
5536.psapname,Navajo Dpartment Of Law Enforcement-chinle District,Navajo Department Of Law Enforcement-chinle District
1270.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in futrue filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
7713.statevalue,vLA,LA
8129.statevalue,NeC,NC
7700.city,Ontongon,Ontonagon
5181.psapname,Mcleod ounty Psap,Mcleod County Psap
3727.psapname,Coal County 9--11,Coal County 9-1-1
3442.psapname,Inter Borough Radio Sysetm,Inter Borough Radio System
5060.county,Lubbok,Lubbock
7050.datelastmodified,08/22/2061,08/22/2016
1495.typeofchangefulltext,N oChanges have been made.,No Changes have been made.
6146.geocodecitylevel,"Hot Springs, AR
(34.502785, -93.05659)","Hot Springs, AR
(34.502785, -93.055659)"
1010.statevalue,OC,CO
2644.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using thes in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6335.datelastmodified,x10/01/2012,10/01/2012
7546.city,Cheaspeake,Chesapeake
