sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, Hispanic",eFmale,Hoispanic,2006,169.0,0.6,Data not available.
"Total - Female, Hispanic",Femael,Hismpanic,2007,175.0,2.0,Data not aavilable.
"Total - Female, Hispanic",Femalre,ispanic,2008,169.0,0.6,Data not available.
"Total - Female, Hispanic",Female,Hispvanic,2009,170.0,2.7,Data not available.
"Total - Female, Hispanic",Femle,Hispsanic,2010,169.0,0.6,Data not available.
"Total - Female, Hispanic",Femae,Hispanic,2011,171.0,2.3,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2012,169.0,0.6,Data not available.
"Total - Female, Hispanic",Fmeale,Hiispanic,2013,166.0,2.5,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standnards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"sAian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanc",2002,198.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Hispanic",2003,202.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",eFmale,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",wFemale,"Asiant, non-Hispanic",2005,201.0,4.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian,o non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2007,202.0,6.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fmemale,"sian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Asian, non-Hsipanic",2009,213.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fesmale,"Asian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asain, non-Hispanic",2011,205.0,8.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-iHspanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,Asian non-Hispanic,2013,198.0,5.7,Data for 2000 through 2009 include Pacific Isanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not avaialble.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islaender, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"PacificI slander, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanci",2004,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Feamle,"Pacfiic Islander, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femalje,"Pacific Islander, noni-Hispanic",2006,169.0,0.6,Data not avaiulable.
"Total - Female, Pacific Islander, non-Hispanic",Fvemale,"Pcific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pwacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Faemale,"Pacific Islander, non-Hispaynic",2009,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispaic",2010,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",aFemale,"Pacific Islander, non-Hispanic",2011,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hisanic",2012,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander,n on-Hispanic",2013,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,176.0,5.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femaole,"American Indian/Alsaka Native, non-Hispanic",2003,168.0,4.1,Data not avaialble.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmeale,"American Indian/Alaska Native, nn-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,173.0,5.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alask aNative, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"Amreican Indian/Alaska Native, non-Hispanic",2007,166.0,4.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, onn-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American ndian/Alaska Native, non-Hispanic",2009,167.0,4.5,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, on-Hispanic",2010,169.0,0.6,Data not availble.
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, no-Hispanic",2011,173.0,4.3,Data pnot available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"Americoan Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,157.0,5.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two orw more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, nn-Hispanic",2003,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femle,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hislpanic",2005,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feamle,"Two or more raecs, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fekmale,"Two or more race, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmale,"Two or more aces, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fermale,"Two or more races, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",emale,"Two or more races, non-Hisapnic",2011,184.0,5.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femae,"Two or more races, no-nHispanic",2013,181.0,4.6,Data not available.
