248.prscrbr_geo_desc,California:Sierra,Alaska:Hoonah-Angoon
126.prscrbr_geo_desc,Missouri,Georgia
368.breakout,Rural,Overall
305.prscrbr_geo_desc,Indiana,Arkansas:Franklin
354.breakout,Rural,Overall
370.prscrbr_geo_desc,Idaho,California:Kern
90.breakout,Overall,Rural
129.prscrbr_geo_desc,Alabama,Illinois
269.prscrbr_geo_desc,Idaho,Arizona:Coconino
174.prscrbr_geo_desc,Montana,Alabama:Barbour
502.breakout,Urban,Overall
44.prscrbr_geo_desc,Georgia,South Carolina
172.prscrbr_geo_desc,Alabama,Alabama:Autauga
338.breakout,Urban,Overall
301.breakout,Rural,Overall
151.prscrbr_geo_desc,California,Ohio
589.prscrbr_geo_desc,Alabama,Georgia:Cobb
591.prscrbr_geo_desc,Delaware,Georgia:Colquitt
596.breakout,Urban,Overall
390.prscrbr_geo_desc,Arkansas,California:San Benito
275.breakout,Rural,Overall
228.breakout,Rural,Overall
63.prscrbr_geo_desc,Iowa,Arkansas
174.breakout,Rural,Overall
640.prscrbr_geo_desc,National,Georgia:Lamar
665.prscrbr_geo_desc,California:Sierra,Georgia:Paulding
57.prscrbr_geo_desc,National,Northern Mariana Islands
449.breakout,Rural,Overall
571.breakout,Rural,Overall
265.breakout,Rural,Overall
397.breakout,Rural,Overall
247.prscrbr_geo_desc,California,Alaska:Haines
470.prscrbr_geo_desc,Kentucky,Colorado:San Miguel
613.breakout,Rural,Overall
383.prscrbr_geo_desc,Alaska,California:Napa
561.breakout,Rural,Overall
501.prscrbr_geo_desc,Indiana,Florida:DeSoto
272.breakout,Urban,Overall
366.breakout,Rural,Overall
81.prscrbr_geo_desc,National,Massachusetts
624.breakout,Urban,Overall
314.prscrbr_geo_desc,National,Arkansas:Izard
597.prscrbr_geo_desc,Colorado,Georgia:Dade
142.breakout,Overall,Urban
517.prscrbr_geo_desc,Colorado,Florida:Holmes
66.breakout,Overall,Rural
233.prscrbr_geo_desc,National,Alabama:Tallapoosa
411.prscrbr_geo_desc,Iowa,California:Ventura
158.prscrbr_geo_desc,Colorado,Tennessee
627.breakout,Rural,Overall
500.breakout,Urban,Overall
25.prscrbr_geo_desc,National,Massachusetts
78.prscrbr_geo_desc,Idaho,Louisiana
413.breakout,Urban,Overall
239.breakout,Urban,Overall
326.breakout,Urban,Overall
303.breakout,Rural,Overall
263.breakout,Rural,Overall
671.breakout,Urban,Overall
497.breakout,Urban,Overall
316.prscrbr_geo_desc,Alabama,Arkansas:Jefferson
675.prscrbr_geo_desc,Indiana,Georgia:Randolph
329.prscrbr_geo_desc,Hawaii,Arkansas:Monroe
635.prscrbr_geo_desc,National,Georgia:Jeff Davis
83.breakout,Overall,Rural
164.breakout,Overall,Urban
404.breakout,Rural,Overall
198.prscrbr_geo_desc,National,Alabama:Escambia
530.prscrbr_geo_desc,Arizona,Florida:Martin
524.breakout,Rural,Overall
598.breakout,Urban,Overall
180.prscrbr_geo_desc,Delaware,Alabama:Chambers
611.breakout,Rural,Overall
418.prscrbr_geo_desc,Georgia,Colorado:Baca
146.prscrbr_geo_desc,National,New Jersey
625.breakout,Rural,Overall
538.breakout,Rural,Overall
611.prscrbr_geo_desc,Hawaii,Georgia:Fayette
364.breakout,Rural,Overall
277.breakout,Rural,Overall
79.breakout,Overall,Rural
662.prscrbr_geo_desc,Alaska,Georgia:Newton
527.prscrbr_geo_desc,Florida,Florida:Madison
581.prscrbr_geo_desc,Oregon,Georgia:Chatham
265.prscrbr_geo_desc,Alabama,Alaska:Yakutat
587.breakout,Rural,Overall
601.prscrbr_geo_desc,Hawaii,Georgia:Dodge
125.breakout,Overall,Urban
274.breakout,Urban,Overall
573.breakout,Rural,Overall
622.breakout,Urban,Overall
486.breakout,Rural,Overall
602.prscrbr_geo_desc,Pennsylvania,Georgia:Dooly
644.prscrbr_geo_desc,Montana,Georgia:Liberty
344.breakout,Rural,Overall
528.breakout,Rural,Overall
646.breakout,Urban,Overall
432.prscrbr_geo_desc,Colorado,Colorado:Douglas
154.breakout,Overall,Urban
360.prscrbr_geo_desc,Hawaii,California:Calaveras
519.prscrbr_geo_desc,National,Florida:Jackson
186.prscrbr_geo_desc,New Mexico,Alabama:Cleburne
231.prscrbr_geo_desc,Colorado,Alabama:Sumter
362.breakout,Rural,Overall
341.prscrbr_geo_desc,New York,Arkansas:Pulaski
628.breakout,Urban,Overall
457.prscrbr_geo_desc,Connecticut,Colorado:Montrose
444.breakout,Urban,Overall
386.prscrbr_geo_desc,Connecticut,California:Placer
221.breakout,Urban,Overall
422.prscrbr_geo_desc,Hawaii,Colorado:Chaffee
555.breakout,Urban,Overall
435.prscrbr_geo_desc,Connecticut,Colorado:El Paso
204.breakout,Urban,Overall
543.prscrbr_geo_desc,Mississippi,Florida:Putnam
584.prscrbr_geo_desc,Missouri,Georgia:Cherokee
289.breakout,Rural,Overall
580.prscrbr_geo_desc,Alabama:Geneva,Georgia:Charlton
135.prscrbr_geo_desc,Iowa,Maine
428.prscrbr_geo_desc,Illinois,Colorado:Custer
626.prscrbr_geo_desc,Kansas,Georgia:Haralson
637.breakout,Rural,Overall
522.prscrbr_geo_desc,New Jersey,Florida:Lake
524.prscrbr_geo_desc,National,Florida:Leon
660.prscrbr_geo_desc,Florida,Georgia:Murray
473.prscrbr_geo_desc,Kansas,Colorado:Teller
124.prscrbr_geo_desc,Alabama,District of Columbia
138.breakout,Overall,Urban
511.prscrbr_geo_desc,Alabama:Geneva,Florida:Hamilton
95.breakout,Overall,Rural
383.breakout,Rural,Overall
658.breakout,Rural,Overall
61.breakout,Overall,Rural
537.breakout,Urban,Overall
610.breakout,Urban,Overall
241.breakout,Urban,Overall
516.breakout,Urban,Overall
400.breakout,Rural,Overall
55.breakout,Urban,Overall
161.breakout,Overall,Urban
476.breakout,Rural,Overall
400.prscrbr_geo_desc,Indiana,California:Shasta
594.breakout,Urban,Overall
212.breakout,Rural,Overall
262.breakout,Urban,Overall
182.prscrbr_geo_desc,District of Columbia,Alabama:Chilton
588.prscrbr_geo_desc,Arizona:Pima,Georgia:Clinch
563.breakout,Rural,Overall
409.prscrbr_geo_desc,West Virginia,California:Tulare
507.breakout,Rural,Overall
464.breakout,Urban,Overall
53.prscrbr_geo_desc,New Mexico,Wisconsin
367.prscrbr_geo_desc,Idaho,California:Humboldt
429.prscrbr_geo_desc,Arkansas,Colorado:Delta
409.breakout,Urban,Overall
612.prscrbr_geo_desc,Arizona,Georgia:Floyd
419.prscrbr_geo_desc,Mississippi,Colorado:Bent
350.prscrbr_geo_desc,Hawaii,Arkansas:Stone
35.breakout,Urban,Overall
305.breakout,Rural,Overall
218.breakout,Rural,Overall
120.breakout,Overall,Urban
357.prscrbr_geo_desc,Alabama,California:Alameda
340.breakout,Rural,Overall
371.breakout,Urban,Overall
513.prscrbr_geo_desc,Hawaii,Florida:Hendry
347.prscrbr_geo_desc,Wyoming,Arkansas:Sebastian
443.prscrbr_geo_desc,Delaware,Colorado:Jackson
232.breakout,Rural,Overall
98.breakout,Overall,Rural
183.breakout,Urban,Overall
106.breakout,Overall,Rural
481.prscrbr_geo_desc,Tennessee,Connecticut:New Haven
601.breakout,Rural,Overall
49.breakout,Urban,Overall
194.breakout,Rural,Overall
58.prscrbr_geo_desc,National,Puerto Rico
615.breakout,Rural,Overall
298.breakout,Urban,Overall
385.breakout,Urban,Overall
352.prscrbr_geo_desc,Nebraska,Arkansas:Van Buren
585.prscrbr_geo_desc,National,Georgia:Clarke
542.breakout,Rural,Overall
667.breakout,Urban,Overall
257.breakout,Rural,Overall
213.prscrbr_geo_desc,Kansas,Alabama:Limestone
431.breakout,Rural,Overall
310.prscrbr_geo_desc,Delaware,Arkansas:Hempstead
73.breakout,Overall,Rural
184.breakout,Rural,Overall
68.prscrbr_geo_desc,Delaware,District of Columbia
632.breakout,Urban,Overall
664.prscrbr_geo_desc,Idaho,Georgia:Oglethorpe
358.breakout,Rural,Overall
632.prscrbr_geo_desc,West Virginia,Georgia:Irwin
459.breakout,Rural,Overall
357.breakout,Urban,Overall
177.prscrbr_geo_desc,Montana,Alabama:Bullock
566.prscrbr_geo_desc,National,Georgia:Berrien
468.breakout,Urban,Overall
367.breakout,Urban,Overall
614.breakout,Urban,Overall
157.breakout,Overall,Urban
419.breakout,Urban,Overall
649.prscrbr_geo_desc,Delaware,Georgia:McDuffie
616.prscrbr_geo_desc,National,Georgia:Gilmer
606.prscrbr_geo_desc,California,Georgia:Effingham
141.prscrbr_geo_desc,Alabama,Missouri
346.prscrbr_geo_desc,National,Arkansas:Searcy
199.prscrbr_geo_desc,Iowa,Alabama:Etowah
677.prscrbr_geo_desc,Delaware,Georgia:Roc
80.breakout,Overall,Rural
446.prscrbr_geo_desc,Nebraska,Colorado:Kit Carson
598.prscrbr_geo_desc,Washington,Georgia:Dawson
84.prscrbr_geo_lvl,tSate,State
478.prscrbr_geo_desc,Missouri,Connecticut:Hartford
184.prscrbr_geo_desc,National,Alabama:Clarke
488.prscrbr_geo_desc,California,District of Columbia:District of Columbia
309.breakout,Rural,Overall
135.breakout,Overall,Urban
538.prscrbr_geo_desc,National,Florida:Osceola
576.breakout,Urban,Overall
438.prscrbr_geo_desc,Wyoming,Colorado:Gilpin
663.breakout,Urban,Overall
256.prscrbr_geo_desc,Connecticut,Alaska:Nome
440.breakout,Urban,Overall
553.breakout,Rural,Overall
581.breakout,Rural,Overall
393.breakout,Rural,Overall
640.breakout,Rural,Overall
109.breakout,Overall,Rural
486.prscrbr_geo_desc,Mississippi,Delaware:New Castle
651.prscrbr_geo_desc,California:El Dorado,Georgia:Macon
480.breakout,Rural,Overall
193.breakout,Urban,Overall
654.breakout,Rural,Overall
399.prscrbr_geo_desc,National,California:Santa Cruz
326.prscrbr_geo_desc,California,Arkansas:Marion
294.breakout,Urban,Overall
562.breakout,Urban,Overall
451.prscrbr_geo_desc,Washington,Colorado:Lincoln
113.breakout,Overall,Rural
439.prscrbr_geo_desc,Wyoming,Colorado:Grand
498.prscrbr_geo_desc,Hawaii,Florida:Clay
45.breakout,Urban,Overall
619.breakout,Rural,Overall
445.prscrbr_geo_desc,Connecticut,Colorado:Kiowa
433.prscrbr_geo_desc,National,Colorado:Eagle
605.breakout,Rural,Overall
412.prscrbr_geo_desc,Montana,California:Yolo
225.prscrbr_geo_desc,Iowa,Alabama:Pickens
222.breakout,Rural,Overall
323.breakout,Rural,Overall
236.breakout,Rural,Overall
280.breakout,Rural,Overall
120.prscrbr_geo_desc,Iowa,California
434.breakout,Urban,Overall
625.prscrbr_geo_desc,California,Georgia:Hancock
512.prscrbr_geo_desc,Colorado,Florida:Hardee
526.breakout,Urban,Overall
442.prscrbr_geo_desc,Colorado,Colorado:Huerfano
213.breakout,Urban,Overall
403.prscrbr_geo_desc,Tennessee,California:Solano
266.prscrbr_geo_desc,Connecticut,Alaska:Yukon-Koyukuk
593.breakout,Rural,Overall
607.prscrbr_geo_desc,California:Sierra,Georgia:Elbert
405.prscrbr_geo_desc,California,California:Stanislaus
60.breakout,Overall,Rural
334.breakout,Rural,Overall
647.breakout,Rural,Overall
482.prscrbr_geo_desc,National,Connecticut:New London
414.prscrbr_geo_desc,Hawaii,Colorado:Adams
649.breakout,Rural,Overall
435.breakout,Urban,Overall
535.prscrbr_geo_desc,Arkansas,Florida:Okaloosa
299.breakout,Rural,Overall
85.breakout,Overall,Rural
162.breakout,Overall,Urban
270.prscrbr_geo_desc,District of Columbia,Arizona:Gila
60.prscrbr_geo_desc,California,Alabama
527.breakout,Urban,Overall
425.breakout,Rural,Overall
402.prscrbr_geo_desc,New Mexico,California:Siskiyou
292.prscrbr_geo_desc,Mississippi,Arkansas:Clay
576.prscrbr_geo_desc,Florida,Georgia:Camden
614.prscrbr_geo_desc,Alabama,Georgia:Franklin
244.breakout,Rural,Overall
557.breakout,Rural,Overall
131.prscrbr_geo_desc,Colorado,Iowa
217.prscrbr_geo_desc,National,Alabama:Marengo
176.prscrbr_geo_desc,Washington,Alabama:Blount
395.prscrbr_geo_desc,Alabama,California:San Luis Obispo
470.breakout,Urban,Overall
308.prscrbr_geo_desc,Colorado,Arkansas:Grant
119.breakout,Overall,Urban
335.breakout,Rural,Overall
130.breakout,Overall,Urban
624.prscrbr_geo_desc,National,Georgia:Hall
617.breakout,Urban,Overall
380.breakout,Urban,Overall
436.breakout,Urban,Overall
525.prscrbr_geo_desc,California,Florida:Levy
304.breakout,Urban,Overall
648.breakout,Rural,Overall
245.breakout,Rural,Overall
566.breakout,Urban,Overall
359.breakout,Urban,Overall
613.prscrbr_geo_desc,Alabama,Georgia:Forsyth
636.prscrbr_geo_desc,Florida:Baker,Georgia:Jefferson
302.breakout,Urban,Overall
497.prscrbr_geo_desc,Tennessee,Florida:Citrus
259.breakout,Rural,Overall
299.prscrbr_geo_desc,National,Arkansas:Crittenden
171.prscrbr_geo_desc,Arkansas,Virgin Islands
384.prscrbr_geo_desc,Mississippi,California:Nevada
638.prscrbr_geo_desc,National,Georgia:Johnson
515.breakout,Rural,Overall
560.breakout,Urban,Overall
518.prscrbr_geo_desc,Hawaii,Florida:Indian River
461.breakout,Rural,Overall
92.prscrbr_geo_desc,National,New York
567.breakout,Urban,Overall
666.prscrbr_geo_desc,National,Georgia:Peach
96.prscrbr_geo_desc,Arkansas,Oklahoma
40.prscrbr_geo_desc,California,Oklahoma
343.breakout,Urban,Overall
210.prscrbr_geo_desc,Pennsylvania,Alabama:Lauderdale
334.prscrbr_geo_desc,Montana,Arkansas:Perry
155.breakout,Overall,Urban
525.breakout,Urban,Overall
176.breakout,Urban,Overall
246.breakout,Rural,Overall
645.prscrbr_geo_desc,Colorado,Georgia:Lincoln
59.prscrbr_geo_desc,California,Virgin Islands
211.prscrbr_geo_desc,Iowa,Alabama:Lawrence
427.breakout,Rural,Overall
295.breakout,Rural,Overall
511.breakout,Urban,Overall
462.breakout,Rural,Overall
173.prscrbr_geo_desc,Colorado,Alabama:Baldwin
397.prscrbr_geo_desc,District of Columbia,California:Santa Barbara
281.breakout,Rural,Overall
399.breakout,Urban,Overall
320.breakout,Rural,Overall
255.breakout,Urban,Overall
116.breakout,Overall,Urban
472.prscrbr_geo_desc,Hawaii,Colorado:Summit
158.breakout,Overall,Urban
421.prscrbr_geo_desc,Arkansas,Colorado:Broomfield
629.prscrbr_geo_desc,Alabama,Georgia:Heard
286.prscrbr_geo_desc,Delaware,Arkansas:Boone
394.breakout,Urban,Overall
178.prscrbr_geo_desc,Florida,Alabama:Butler
650.breakout,Urban,Overall
39.breakout,Urban,Overall
582.prscrbr_geo_desc,Arkansas,Georgia:Chattahoochee
262.prscrbr_geo_desc,Mississippi,Alaska:Skagway
278.prscrbr_geo_desc,Alaska,Arizona:Pinal
606.breakout,Rural,Overall
512.breakout,Urban,Overall
181.prscrbr_geo_desc,New Mexico,Alabama:Cherokee
145.prscrbr_geo_desc,Delaware,New Hampshire
668.prscrbr_geo_desc,Georgia,Georgia:Pierce
411.breakout,Rural,Overall
6.prscrbr_geo_desc,Alabama,Arizona
77.prscrbr_geo_desc,National,Kentucky
337.prscrbr_geo_desc,Kansas,Arkansas:Poinsett
175.prscrbr_geo_desc,Florida,Alabama:Bibb
102.prscrbr_geo_desc,Alaska,Tennessee
165.prscrbr_geo_desc,Hawaii,Wisconsin
407.prscrbr_geo_desc,Alaska,California:Tehama
254.prscrbr_geo_desc,Tennessee,Alaska:Lake and Peninsula
550.breakout,Rural,Overall
376.breakout,Rural,Overall
258.breakout,Rural,Overall
568.breakout,Urban,Overall
510.prscrbr_geo_desc,Delaware,Florida:Gulf
417.prscrbr_geo_desc,Alaska,Colorado:Archuleta
372.prscrbr_geo_desc,Alabama:Houston,California:Lake
634.breakout,Rural,Overall
119.prscrbr_geo_desc,Alabama,Arkansas
123.breakout,Overall,Urban
286.breakout,Rural,Overall
75.prscrbr_geo_desc,Colorado,Iowa
604.prscrbr_geo_desc,Alabama:Randolph,Georgia:Douglas
655.prscrbr_geo_desc,California,Georgia:Miller
469.prscrbr_geo_desc,Tennessee,Colorado:Saguache
467.breakout,Rural,Overall
293.breakout,Rural,Overall
460.breakout,Rural,Overall
48.prscrbr_geo_desc,Alabama,Utah
88.breakout,Overall,Rural
599.breakout,Rural,Overall
422.breakout,Urban,Overall
267.breakout,Urban,Overall
506.prscrbr_geo_desc,Florida:Baker,Florida:Franklin
128.prscrbr_geo_desc,Georgia,Idaho
431.prscrbr_geo_desc,Idaho,Colorado:Dolores
92.breakout,Overall,Rural
379.prscrbr_geo_desc,Hawaii,California:Merced
230.breakout,Rural,Overall
194.prscrbr_geo_desc,California,Alabama:Dale
336.breakout,Rural,Overall
510.breakout,Rural,Overall
517.breakout,Rural,Overall
127.prscrbr_geo_lvl,Stapte,State
618.prscrbr_geo_desc,Mississippi,Georgia:Glynn
596.prscrbr_geo_desc,West Virginia,Georgia:Crisp
70.breakout,Overall,Rural
211.breakout,Urban,Overall
187.prscrbr_geo_desc,Colorado,Alabama:Coffee
101.breakout,Overall,Rural
474.prscrbr_geo_desc,Wyoming,Colorado:Washington
378.breakout,Rural,Overall
293.prscrbr_geo_desc,Alaska,Arkansas:Cleburne
191.prscrbr_geo_desc,Alabama,Alabama:Covington
260.breakout,Urban,Overall
634.prscrbr_geo_desc,National,Georgia:Jasper
298.prscrbr_geo_desc,Nebraska,Arkansas:Crawford
121.prscrbr_geo_lvl,tate,State
628.prscrbr_geo_desc,Arkansas,Georgia:Hart
253.breakout,Urban,Overall
608.breakout,Urban,Overall
559.breakout,Rural,Overall
643.breakout,Urban,Overall
580.breakout,Rural,Overall
496.prscrbr_geo_desc,National,Florida:Charlotte
676.prscrbr_geo_desc,Colorado,Georgia:Richmond
670.prscrbr_geo_desc,California,Georgia:Polk
140.breakout,Overall,Urban
610.prscrbr_geo_desc,Arkansas,Georgia:Fannin
629.breakout,Urban,Overall
157.prscrbr_geo_desc,National,South Dakota
369.prscrbr_geo_desc,West Virginia,California:Inyo
322.prscrbr_geo_desc,National,Arkansas:Little River
243.prscrbr_geo_desc,California,Alaska:Bristol Bay
285.prscrbr_geo_desc,Wyoming,Arkansas:Benton
465.prscrbr_geo_desc,Montana,Colorado:Pueblo
160.prscrbr_geo_desc,Georgia,Utah
351.breakout,Urban,Overall
353.prscrbr_geo_desc,Nebraska,Arkansas:Washington
579.prscrbr_geo_desc,National,Georgia:Catoosa
609.breakout,Urban,Overall
280.prscrbr_geo_desc,Montana,Arizona:Yavapai
615.prscrbr_geo_desc,Alaska,Georgia:Fulton
418.breakout,Rural,Overall
267.prscrbr_geo_desc,National,Arizona:Apache
358.prscrbr_geo_desc,National,California:Amador
562.prscrbr_geo_desc,New York,Georgia:Banks
53.breakout,Urban,Overall
594.prscrbr_geo_desc,Delaware,Georgia:Coweta
500.prscrbr_geo_desc,Florida,Florida:Columbia
382.prscrbr_geo_desc,Kansas,California:Monterey
145.breakout,Overall,Urban
621.prscrbr_geo_desc,West Virginia,Georgia:Greene
674.prscrbr_geo_desc,New Jersey,Georgia:Rabun
442.breakout,Urban,Overall
167.prscrbr_geo_desc,Washington,American Samoa
331.breakout,Urban,Overall
570.prscrbr_geo_desc,Alabama,Georgia:Brooks
633.prscrbr_geo_desc,National,Georgia:Jackson
251.breakout,Rural,Overall
474.breakout,Rural,Overall
111.breakout,Overall,Rural
203.prscrbr_geo_desc,Delaware,Alabama:Greene
231.breakout,Rural,Overall
317.prscrbr_geo_desc,National,Arkansas:Johnson
33.breakout,Urban,Overall
306.prscrbr_geo_desc,Tennessee,Arkansas:Fulton
453.breakout,Rural,Overall
307.prscrbr_geo_desc,Kentucky,Arkansas:Garland
328.prscrbr_geo_desc,California,Arkansas:Mississippi
104.breakout,Overall,Rural
230.prscrbr_geo_desc,National,Alabama:Shelby
655.breakout,Rural,Overall
600.prscrbr_geo_desc,Arkansas,Georgia:DeKalb
342.breakout,Rural,Overall
330.breakout,Urban,Overall
519.breakout,Urban,Overall
495.breakout,Rural,Overall
108.prscrbr_geo_desc,California,West Virginia
533.breakout,Urban,Overall
45.prscrbr_geo_desc,National,South Dakota
317.breakout,Urban,Overall
372.breakout,Urban,Overall
75.breakout,Overall,Rural
10.breakout,Rural,Overall
477.prscrbr_geo_desc,Arkansas:Prairie,Connecticut:Fairfield
621.breakout,Rural,Overall
410.prscrbr_geo_desc,New York,California:Tuolumne
273.breakout,Rural,Overall
396.prscrbr_geo_desc,National,California:San Mateo
282.prscrbr_geo_desc,Delaware,Arkansas:Arkansas
496.breakout,Rural,Overall
489.breakout,Rural,Overall
654.prscrbr_geo_desc,New Jersey,Georgia:Meriwether
656.breakout,Rural,Overall
518.breakout,Urban,Overall
677.breakout,Rural,Overall
552.prscrbr_geo_desc,Delaware,Florida:Union
104.prscrbr_geo_desc,Montana,Utah
532.breakout,Urban,Overall
212.prscrbr_geo_desc,National,Alabama:Lee
337.breakout,Urban,Overall
114.prscrbr_geo_desc,Alabama,Puerto Rico
505.prscrbr_geo_desc,National,Florida:Flagler
63.breakout,Overall,Rural
291.prscrbr_geo_desc,Oregon,Arkansas:Clark
620.prscrbr_geo_desc,Connecticut,Georgia:Grady
82.prscrbr_geo_desc,West Virginia,Michigan
123.prscrbr_geo_desc,Tennessee,Delaware
412.breakout,Rural,Overall
529.prscrbr_geo_desc,Alabama,Florida:Marion
238.breakout,Rural,Overall
484.prscrbr_geo_desc,Iowa,Connecticut:Windham
377.breakout,Rural,Overall
97.breakout,Overall,Rural
133.breakout,Overall,Urban
642.prscrbr_geo_desc,California:El Dorado,Georgia:Laurens
551.breakout,Rural,Overall
588.breakout,Urban,Overall
592.prscrbr_geo_desc,California:El Dorado,Georgia:Columbia
371.prscrbr_geo_desc,California,California:Kings
17.prscrbr_geo_desc,National,Illinois
107.breakout,Overall,Rural
155.prscrbr_geo_desc,District of Columbia,Rhode Island
579.breakout,Rural,Overall
365.breakout,Urban,Overall
540.prscrbr_geo_desc,Oregon,Florida:Pasco
266.breakout,Rural,Overall
642.breakout,Rural,Overall
408.prscrbr_geo_desc,Florida,California:Trinity
623.breakout,Urban,Overall
244.prscrbr_geo_desc,National,Alaska:Denali
47.breakout,Urban,Overall
300.breakout,Rural,Overall
282.breakout,Urban,Overall
599.prscrbr_geo_desc,District of Columbia,Georgia:Decatur
91.prscrbr_geo_lvl,Satte,State
460.prscrbr_geo_desc,National,Colorado:Ouray
607.breakout,Rural,Overall
175.breakout,Rural,Overall
345.prscrbr_geo_desc,West Virginia,Arkansas:Scott
204.prscrbr_geo_desc,Colorado,Alabama:Hale
182.breakout,Rural,Overall
530.breakout,Rural,Overall
328.breakout,Rural,Overall
571.prscrbr_geo_desc,Iowa,Georgia:Bryan
523.breakout,Rural,Overall
103.prscrbr_geo_desc,Colorado,Texas
217.breakout,Rural,Overall
349.breakout,Rural,Overall
404.prscrbr_geo_desc,National,California:Sonoma
384.breakout,Rural,Overall
639.prscrbr_geo_desc,California,Georgia:Jones
498.breakout,Urban,Overall
572.breakout,Rural,Overall
78.breakout,Overall,Rural
152.breakout,Overall,Urban
370.breakout,Rural,Overall
196.breakout,Rural,Overall
162.prscrbr_geo_desc,National,Virginia
233.breakout,Urban,Overall
456.breakout,Urban,Overall
428.breakout,Urban,Overall
261.breakout,Urban,Overall
398.breakout,Rural,Overall
572.prscrbr_geo_desc,Alabama:Jefferson,Georgia:Bulloch
140.prscrbr_geo_desc,Delaware,Mississippi
126.breakout,Overall,Urban
586.breakout,Rural,Overall
110.prscrbr_geo_desc,Arkansas,Wyoming
323.prscrbr_geo_desc,Indiana,Arkansas:Logan
201.prscrbr_geo_desc,Kansas,Alabama:Franklin
414.breakout,Urban,Overall
602.breakout,Urban,Overall
86.prscrbr_geo_desc,Nebraska,Montana
247.breakout,Urban,Overall
421.breakout,Urban,Overall
436.prscrbr_geo_desc,Alabama,Colorado:Fremont
479.prscrbr_geo_desc,Washington,Connecticut:Litchfield
426.prscrbr_geo_desc,Wyoming,Colorado:Costilla
272.prscrbr_geo_desc,National,Arizona:Greenlee
219.breakout,Urban,Overall
387.prscrbr_geo_desc,Alabama,California:Plumas
223.prscrbr_geo_desc,Hawaii,Alabama:Morgan
226.breakout,Urban,Overall
159.prscrbr_geo_desc,New Mexico,Texas
381.prscrbr_geo_desc,Hawaii,California:Mono
148.breakout,Overall,Urban
424.prscrbr_geo_desc,Montana,Colorado:Clear Creek
296.prscrbr_geo_desc,Hawaii,Arkansas:Conway
536.prscrbr_geo_desc,Arkansas,Florida:Okeechobee
111.prscrbr_geo_desc,National,American Samoa
