sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),standarderroronpercentage(double precision),notes
"Total - Female, Hispanic",Female,Hispasnic,2004,24.1,2.0,Reporting standards not met.
"Total - Female, Hispanic",Female,Hisanic,2005,17.2,1.7,Reporting standrads not met.
"Total - Female, Hispanic",Female,Hispanic,2006,19.4,1.8,Reporting standadrs not met.
"Total - Female, Hispanic",Female,Hispanic,2007,16.4,1.4,Reporting standards not met.
"Total - Femalre, Hispanic",Female,Hispaic,2008,19.9,1.1,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2009,18.6,1.6,Reporting standards not met.
"Total - Female, Hispanic",Feomale,Hispanic,2010,18.0,1.4,Reporting standards not met.
"Total - Female, Hispanic",Femqale,Hispanic,2011,17.4,1.5,Reporting standards not met.
"oTtal - Female, Hispanic",Female,Hispanic,2012,20.6,1.8,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2013,20.1,1.5,Reoprting standards not met.
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Hispanic",2001,10.5,3.1,Reporting stnadards not met.
"Total - Female, Aisan, non-Hispanic",Female,"Asian, non-Hispanic",2002,10.7,2.8,Reporting standards not met.
"Totail - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,8.4,1.4,Reporting stndards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,11.7,2.0,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.2,1.8,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,11.6,2.1,Reporting standardsnot met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispqanic",2007,13.1,1.8,Repiorting standards not met.
"Total - Female, Asian, non-Hispanic",Fezmale,"Asin, non-Hispanic",2008,12.9,2.6,Reporting standards not met.
"Total - Fevmale, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,11.4,1.9,Reporting standards not meht.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,10.8,2.6,Reporing standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,8.8,3.0,Reporting standards not met.
"Total - Female, Axsian, non-Hispanic",emale,"Asian, non-Hispanic",2012,9.3,2.7,Reporting standards not met.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,5.6,1.1,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,22.1,1.2,Data not available.
"Total - Female, Pacific Islander, non-Hiaspanic",Female,"Pacific Islander, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Feamle, Pacific Islander, non-Hispanic",Female,"Pacwific Islander, non-Hispanic",2003,22.1,1.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islzander, non-Hispanic",2004,22.1,1.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,22.1,1.2,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hispanic",2006,22.1,1.2,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hspanic",2007,20.3,3.0,Reporting standards not met.
"Total - Female, Pacific Islandher, non-Hispanic",Fbemale,"Pacific Islander, non-Hispanic",2008,22.7,5.7,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander,non-Hispanic",2009,13.8,3.0,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Fqemale,"Pacific Islander, non-Hispanic",2010,22.1,1.2,Reporting stanadrds not met.
"Total - Femae, Pacific Islander, non-Hispanic",kFemale,"Pacific Islander, non-Hispanic",2011,22.1,1.2,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,22.1,1.2,Reporting standards not met.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,22.1,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,22.1,1.2,Reporting standards not et.
"Total - Female, American Indian/Alaska Native, non-Hispaic",Female,"American Indian/Alaska Native, non-Hispanic",2002,22.1,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hipsanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,22.1,1.2,Reporting satndards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,22.1,1.2,Reqporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Naitve, non-Hispanic",2005,11.3,3.9,Reporting standards not met.
"Total - Female, American Indian/Alasa Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,22.1,1.2,Raeporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,27.1,4.3,Reporting standards not met.
"Total - Female, American Indian/Alaska Native,a non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,22.1,1.2,Reporting standaxrds not met.
"Total - Female, American Indina/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,30.2,1.2,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,11.1,3.6,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,15.2,2.8,Reporting gstandards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femyale,"American Indian/Alaska Native, non-Hispanic",2012,15.9,2.7,Reporting standards not met.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,22.1,1.2,Reporting standards not met.
"Total - Female, Two or more races, nnon-Hispanic",Female,"Two or more races, non-Hispanic",2001,22.1,1.2,Data nota vailable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Female, Two r more races, non-Hispanic",Female,"Two or more races, on-Hispanic",2003,22.1,1.2,Data not availabxle.
"Total - Female, Two or more raqces, non-Hispanic",Female,"Two or more races, non-Hgispanic",2004,22.1,1.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,14.5,4.4,Reporting standardsn not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispnic",2006,19.2,3.4,Repotring standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,13.8,2.6,Reporing standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, no-Hispanic",2008,19.2,2.9,Reporting standards not met.
"Tota l- Female, Two or more races, non-Hispanic",Femanle,"Two or more races, non-Hispanic",2009,18.6,3.6,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,16.8,2.8,Reporting standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"wTo or more races, non-Hispanic",2011,23.0,2.4,Reporitng standards not met.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,18.4,2.5,Reporting standards not met.
"Total - Female, Two or more raes, non-Hispanic",Femael,"Two or more races,non-Hispanic",2013,14.1,2.4,Reporting standdards not met.
