243.co,40-I16,40-I016
172.superintendentemail,ksims@minqco.k12.ok.us,ksims@minco.k12.ok.us
78.superintendent,Stepen Haynes,Stephen Haynes
18.phone,(580) 889-7l355,(580) 889-7355
310.fax,(580) 62s2-6789,(580) 622-6789
521.boardpresident,Millard Jons,Millard Jones
149.superintendent,Mike Jonjes,Mike Jones
74.superintendent,Lindah Clinkenbeard,Linda Clinkenbeard
110.address,507 4Th Steet,507 4Th Street
491.address,Box 27062 E. 1840 Rd.,Box 277062 E. 1840 Rd.
508.website,ttp://www.tiptontigers.net,http://www.tiptontigers.net
24.city,Elk Cdity,Elk City
203.address,606 East 6Th tSreet,606 East 6Th Street
226.distname,CASHION                      ,CASHION                       
542.website,http://www.caneyvalleyschool.org/***,http://www.caneyvalleyschool.org/
96.statevalue,OdK,OK
99.superintendent,Greg avidson,Greg Davidson
112.website,www.tempel.k12.ok.us,www.temple.k12.ok.us
4.superintendentemail,c_benham@ziongjets.com,c_benham@zionjets.com
485.superintendent,Vitor Salcedo,Victor Salcedo
528.website,www.ocllinsville.k12.ok.us,www.collinsville.k12.ok.us
548.co,76-I00w1,76-I001
337.boardpresident,Bent Warma,Brent Warma
351.city,aWrr Acres,Warr Acres
527.superintendent,Stacey Buvtterfield,Stacey Butterfield
33.superintendent,hPreston Burns,Preston Burns
482.distname,BELFONTE                      ***,BELFONTE                      
230.co,38-I030,38-I003
395.boardpresident,John Jenninsg,John Jennings
70.distname,DICKSON                      ,DICKSON                       
62.superintendent,yan Cole,Ryan Cole
479.boardpresident,George Lawvson,George Lawson
356.address,9200 Nd. Hiwassee Rd.,9200 N. Hiwassee Rd.
339.superintendentemail,tobi.campbell@integrisok.com***,tobi.campbell@integrisok.com
37.website,http://ww.benningtonisd.org/,http://www.benningtonisd.org/
460.coname,ROGERS     i ,ROGERS      
426.distname,ALLEN                i         ,ALLEN                         
191.superintendent,Monty uthrie,Monty Guthrie
74.website,wkww.woodall.k12.ok.us,www.woodall.k12.ok.us
221.superintendent,Brayd Barnes,Brady Barnes
478.coname,SEMINOE    ,SEMINOLE    
82.superintendentemail,preselyl@tahlequahschools.org,presleyl@tahlequahschools.org
143.statevalue,K,OK
466.city,qFoyil,Foyil
409.superintendent,Dale Bledspoe,Dale Bledsoe
168.superintendent,Jasno Brittain,Jason Brittain
80.phone,(918) 4581835,(918) 458-1835
18.city,tAoka,Atoka
182.address,1192 arrison Avenue,1192 Harrison Avenue
223.boardpresident,Brad Uhelnhake,Brad Uhlenhake
61.fax,(405) 893-2490,(405) 893-2409
486.phone,(98) 427-7406,(918) 427-7406
203.city,Olusete,Olustee
13.coname,ALFALFA     ***,ALFALFA     
452.distname,ANTLERS                      ,ANTLERS                       
532.boardpresident,Jeffd Blair,Jeff Blair
335.statevalue,K,OK
545.statevalue,KO,OK
70.boardpresident,Ken tDonica,Kent Donica
372.phone,(91) 758-2000,(918) 758-2000
439.website,http://bethel.k12.mok.us,http://bethel.k12.ok.us
502.superintendent,Douglas Meltzon,Douglas Melton
470.city,Weworka,Wewoka
68.superintendent,Terrgy Shaw,Terry Shaw
208.superintendent,Roxie Tesrry,Roxie Terry
509.coname,TILLMAN    ,TILLMAN     
219.website,www.pps.us,www.pcps.us
300.distname,WRIGHT CITY                  ,WRIGHT CITY                   
125.address,1603 Russel Ave,1603 Russell Ave
365.city,Oklahmoa City,Oklahoma City
32.superintendentemail,k.mcdonald@sloisd.org,k.mcdonald@siloisd.org
468.superintendent,Chrs Bryan,Chris Bryan
475.fax,(405) 94-13561,(405) 941-3561
219.distname,PONCA CITY                    ***,PONCA CITY                    
93.fax,(405) 735-439q2,(405) 735-4392
160.address,16476 Notrth County Road 3200,16476 North County Road 3200
19.phone,(580) 88e9-1996,(580) 889-1996
169.address,2130County Road 1317,2130 County Road 1317
233.boardpresident,Steev Brewer,Steve Brewer
339.fax,(405) 75x2-6833,(405) 752-6833
261.boardpresident,Ramyond Hemphill,Raymond Hemphill
103.coname,CwOMANCHE    ,COMANCHE    
173.statevalue,K,OK
434.co,3-C027,63-C027
191.website,https:/w/ww.stigler.k12.ok.us,https://www.stigler.k12.ok.us
217.superintendentemail,bshelley@kildare.k12.ok.su,bshelley@kildare.k12.ok.us
420.boardpresident,Bart Howll,Bart Howell
20.co,4-I022,04-I022
293.city,Idabl,Idabel
60.coname,CANADIAN   ,CANADIAN    
168.co,y26-C037,26-C037
16.city,Strintown,Stringtown
250.fax,918) 567-3507,(918) 567-3507
432.boardpresident,Jsutin Priest,Justin Priest
515.statevalue,K,OK
266.coname,LOGAN       ***,LOGAN       
358.statevalue,KO,OK
167.co,25-bI072,25-I072
553.website,www.smps.k12.sok.us,www.smps.k12.ok.us
252.address,21444 E.N. Raliroad Street,21444 E.N. Railroad Street
522.distname,LANGSTON HUGHES ACAD ARTS-bTECH,LANGSTON HUGHES ACAD ARTS-TECH
256.distname,DAVENPORT      d               ,DAVENPORT                     
549.website,www.waynoka.k12.okt.us,www.waynoka.k12.ok.us
452.city,Andtlers,Antlers
554.fax,(580) 766-j8019,(580) 766-8019
210.fax,(580h) 371-3067,(580) 371-3067
148.city,aloga,Taloga
319.superintendent,Michael Broles,Michael Broyles
205.coname,JEFFERON   ,JEFFERSON   
258.superintendentemail,jvantuyl@stroudk.12.ok.us,jvantuyl@stroud.k12.ok.us
219.address,613 East Gand Avenue,613 East Grand Avenue
117.statevalue,dOK,OK
353.statevalue,OoK,OK
433.city,Shawqnee,Shawnee
96.city,Lexingon,Lexington
108.statevalue,K,OK
64.phone,(580) 6n53-2656,(580) 653-2656
405.boardpresident,Eric Gvudgel,Eric Gudgel
335.superintendent,Kim Laniehr,Kim Lanier
78.statevalue,KO,OK
267.distname,GREENVILLE                   ,GREENVILLE                    
189.fax,(918)9 67-0007,(918) 967-0007
253.website,https://sites.google.como/site/arkomak12/,https://sites.google.com/site/arkomak12/
280.distname,ADAIR                        ,ADAIR                         
181.website,http://www.pondcreek-hunter.k12.o.us/,http://www.pondcreek-hunter.k12.ok.us/
110.coname,COMANCH E   ,COMANCHE    
28.co,6-I009,06-I009
321.statevalue,KO,OK
480.boardpresident,FeliciaE dwards,Felicia Edwards
266.website,www.coyle.k12k.ok.us,www.coyle.k12.ok.us
225.co,37-I06,37-I016
256.website,http://www.davenortk12.com/,http://www.davenportk12.com/
79.city,Weling,Welling
136.city,Clintno,Clinton
358.co,5o5-I037,55-I037
262.coname,LINCOLN    ,LINCOLN     
312.city,Wainwrigth,Wainwright
295.statevalue,jOK,OK
530.boardpresident,Jefff Carter,Jeff Carter
516.website,www.collgeeboundschool.org,www.collegeboundschool.org
531.coname,mTULSA       ,TULSA       
191.boardpresident,Susan hWite,Susan White
54.co,g09-C070,09-C070
157.superintendentemail,dgfolyd@enidk12.org,dgfloyd@enidk12.org
228.website,www.hobart.k1c2.ok.us,www.hobart.k12.ok.us
518.website,www.collegiaethall.org,www.collegiatehall.org
121.city,aSpulpa,Sapulpa
499.phone,(50) 338-6712,(580) 338-6712
47.address,417 East Mhccall,417 East Mccall
116.superintendent,Rw. Clark Mckeon,R. Clark Mckeon
66.superintendent,Meri Jawyne Miller,Meri Jayne Miller
99.city,oCalgate,Coalgate
206.address,1201 Washingto Street,1201 Washington Street
534.superintendentemail,dolansen@glenpoolps.org,jdolansen@glenpoolps.org
229.city,Lone Woqlf,Lone Wolf
497.distname,CENTRAL HIGH                 ,CENTRAL HIGH                  
443.superintendentemail,aprgrace@shanwee.k12.ok.us,aprgrace@shawnee.k12.ok.us
130.superintendentemail,jjpierce@kellyvilleschools.org,jpierce@kellyvilleschools.org
520.website,www.dsatulmsa.org,www.dsatulsa.org
112.superintendentemail,jsmith@temvple.k12.ok.us,jsmith@temple.k12.ok.us
221.coname,KAY        u ,KAY         
185.boardpresident,TerryB ogle,Terry Bogle
173.co,2-6I051,26-I051
162.superintendentemail,dmorrisp@aoli.k12.ok.us,dmorris@paoli.k12.ok.us
232.distname,WILBURTON                    ,WILBURTON                     
383.fax,(918) 245p-3281,(918) 245-3281
37.superintendent,Pamela Reyolds,Pamela Reynolds
504.statevalue,K,OK
142.city,rove,Grove
406.city,Poerkins,Perkins
144.superintendentemail,bsimmons@colcordschools.cxom,bsimmons@colcordschools.com
100.city,Tupeol,Tupelo
64.co,p10-I021,10-I021
46.coname,CDADO       ,CADDO       
176.statevalue,KO,OK
223.superintendentemail,karnec@lomega.k12.ok.us,karenc@lomega.k12.ok.us
368.fax,(918)331-3629,(918) 331-3629
495.website,www.vtelma-alma.com,www.velma-alma.com
461.superintendentemail,rkibbe@catooisa.k12.ok.us,rkibbe@catoosa.k12.ok.us
468.fax,(450) 257-2963,(405) 257-2963
270.coname,OVE        ,LOVE        
186.website,http://www.laverne.k12y.ok.us,http://www.laverne.k12.ok.us
104.website,www.indiahofma.k12.ok.us,www.indiahoma.k12.ok.us
166.coname,GARVN      ,GARVIN      
30.superintendent,Todd mGlasgow,Todd Glasgow
345.boardpresident,Mayr Pointer,Mary Pointer
423.website,http:/www.savanna.k12.ok.us/,http://www.savanna.k12.ok.us/
354.coname,OKLAOHMA    ,OKLAHOMA    
522.address,1821 Efast 66Th Street North,1821 East 66Th Street North
538.fax,(918)485-8710,(918) 485-8710
543.superintendent,Chuck Mccauley***,Chuck Mccauley
37.co,07-wI040,07-I040
451.phone,(918) 5694492,(918) 569-4492
466.boardpresident,Larry Mallory***,Larry Mallory
324.statevalue,K,OK
317.coname,MUSKOGE E   ,MUSKOGEE    
196.distname,HOLDENVsILLE                   ,HOLDENVILLE                   
17.phone,(580) 89-6611,(580) 889-6611
196.address,210 Grimes Street***,210 Grimes Street
362.superintendentemail,kshel@bps.k12.o.kus,kshel@bps.k12.ok.us
301.superintendent,Sace Ebert,Stace Ebert
512.co,7-C015,72-C015
292.fax,(580) 420-326,(580) 420-3226
50.phone,(45) 643-2336,(405) 643-2336
69.statevalue,K,OK
68.coname,CARTER     ,CARTER      
196.boardpresident,eTrry Swayze,Terry Swayze
121.address,15223 West 81St Street Suth,15223 West 81St Street South
4.distname,ZION                          ***,ZION                          
97.fax,(05) 579-2929,(405) 579-2929
69.boardpresident,OttoYoung,Otto Young
40.boardpresident,Jarvis Dobbs***,Jarvis Dobbs
199.superintendentemail,vnance@nravajo.k12.ok.us,vnance@navajo.k12.ok.us
495.co,69I-015,69-I015
493.co,69-I0h02,69-I002
324.coname,NOBLE       ***,NOBLE       
4.coname,ADAR       ,ADAIR       
420.coname,PITTSBURG   ***,PITTSBURG   
314.city,Forjt Gibson,Fort Gibson
516.co,72-E071,72-E017
16.boardpresident,Scott unlap,Scott Dunlap
445.address,503 Vestal ve.,503 Vestal Ave.
277.phone,(918) 4345558,(918) 434-5558
4.city,Stilell,Stilwell
128.superintendentemail,mposey@oilton.k12ok.us,mposey@oilton.k12.ok.us
200.statevalue,hOK,OK
537.coname,WAGONR     ,WAGONER     
440.fax,(405) 598-8014,(405) 598-8041
294.superintendent,Harvey Brmuley,Harvey Brumley
381.distname,BOWRIN                       ,BOWRING                       
500.distname,STRAIGHT                     ,STRAIGHT                      
89.phone,(580) 544-3110***,(580) 544-3110
159.phone,(580) 86-47481,(580) 864-7481
406.distname,PERKINS-TRYON            v     ,PERKINS-TRYON                 
24.website,www.merritt.k12.okus,www.merritt.k12.ok.us
156.city,Wukomis,Waukomis
368.city,Baretlesville ,Bartlesville 
8.phone,(98) 723-3181,(918) 723-3181
209.statevalue,OgK,OK
527.address,205 iEast B Street,205 East B Street
344.superintendentemail,twmcdaniel@kippreach.org,tmcdaniel@kippreach.org
524.city,Sanrd Springs,Sand Springs
406.phone,(405) 5475-703,(405) 547-5703
194.fax,(405)p 379-2333,(405) 379-2333
441.statevalue,K,OK
445.boardpresident,Brian Richarsd,Brian Richards
360.superintendent,Ric kCobb,Rick Cobb
282.phone,(918w) 479-5243,(918) 479-5243
465.website,http://www.seuoyaheagles.net,http://www.sequoyaheagles.net
540.distname,COPAN                         ***,COPAN                         
406.statevalue,KO,OK
172.co,26f-I002,26-I002
316.phone,(918)6 87-7556,(918) 687-7556
430.co,62I024,62-I024
485.statevalue,yOK,OK
204.fax,(580) 563-91k66,(580) 563-9166
62.distname,ZANEIS                      j  ,ZANEIS                        
516.boardpresident,Jeoy Wignarajah,Joey Wignarajah
215.distname,kWAPANUCKA                     ,WAPANUCKA                     
26.website,http://wwwsayre.k12.ok.us,http://www.sayre.k12.ok.us
402.city,lCeveland,Cleveland
176.website,www.bridgeceek.k12.ok.us,www.bridgecreek.k12.ok.us
210.statevalue,KO,OK
356.website,www.jones.12.ok.us,www.jones.k12.ok.us
395.coname,OTTAWA     ,OTTAWA      
417.city,Canadiran,Canadian
108.distname,FLETCHER                     ,FLETCHER                      
439.co,63-0I03,63-I003
442.co,63I092,63-I092
324.distname,FRONTIER         f             ,FRONTIER                      
501.phone,(580) 5453-327,(580) 545-3327
349.co,5-5G004,55-G004
43.superintendentemail,chackney@apswrariors.com,chackney@apswarriors.com
284.coname,wMCCLAIN     ,MCCLAIN     
36.boardpresident,Steve Kleso,Steve Kelso
402.co,9-I006,59-I006
120.website,http://ww.gypsy.k12.ok.us,http://www.gypsy.k12.ok.us
5.distname,DAHLONEGAH                   ,DAHLONEGAH                    
421.website,http://ww.windianola.k12.ok.us/,http://www.indianola.k12.ok.us/
433.statevalue,OaK,OK
279.fax,(91) 825-3938,(918) 825-3938
437.co,63-I01,63-I001
534.statevalue,KO,OK
90.superintendentemail,lewetta.hefley@fgeltps.org,lewetta.hefley@feltps.org
332.fax,(918 623-1203,(918) 623-1203
20.fax,(f580) 625-3690,(580) 625-3690
320.website,www.warner.k12.o.us,www.warner.k12.ok.us
125.fax,(918)827-3704,(918) 827-3704
339.phone,(40) 751-1774,(405) 751-1774
131.phone,(918) 224-4300,(918) 224-3400
470.superintendent,Torey Gaines,Torrey Gaines
409.boardpresident,Mike Clfark,Mike Clark
138.address,55979 .S 530 Road,55979 S. 530 Road
200.website,ww.dukeschools.com,www.dukeschools.com
260.fax,(405)x 567-3095,(405) 567-3095
346.superintendentemail,mperry@harpercharterschools.rg,mperry@harpercharterschools.org
14.co,03C-021,03-C021
528.statevalue,KO,OK
401.superintendent,Ned illiams,Ned Williams
33.city,Bockhito,Bokchito
381.boardpresident,Jozhn Strom,John Strom
102.boardpresident,Thresa Seabqolt,Thresa Seabolt
39.superintendent,uDane Merideth,Duane Merideth
322.coname,NOBLE       ***,NOBLE       
27.boardpresident,Brady Grleer,Brady Greer
498.distname,BRAY-DOYL                    ,BRAY-DOYLE                    
70.address,4762 State Higway 199,4762 State Highway 199
128.address,09 E. Peterson,309 E. Peterson
139.distname,KENWOOD                       ***,KENWOOD                       
16.coname,ATOKA      ,ATOKA       
127.co,19-rI018,19-I018
450.distname,RATTAN                        ***,RATTAN                        
385.superintendent,Janet eufeld,Janet Neufeld
510.address,817 N.15Th,817 N. 15Th
46.boardpresident,hannan Mehringer,Shannan Mehringer
192.fax,(198) 945-7064,(918) 945-7064
460.co,i66-I001,66-I001
85.coname,CHOCTAW     ***,CHOCTAW     
405.address,314 South ewis Street,314 South Lewis Street
42.boardpresident,Tommy Housae,Tommy House
196.statevalue,pOK,OK
471.co,67I003,67-I003
227.superintendentemail,friesenr@okarche.k12.tok.us,friesenr@okarche.k12.ok.us
535.fax,(91) 366-8497,(918) 366-8497
408.website,www.glencoe.k12.okus,www.glencoe.k12.ok.us
152.distname,WAUKOMIS                      ***,WAUKOMIS                      
446.website,http://www.maud.k12.ok.usb/,http://www.maud.k12.ok.us/
268.city,Thackervilel,Thackerville
269.phone,(580) 26-1307,(580) 276-1307
190.distname,KINTA                        ,KINTA                         
246.city,Bonkoshe,Bokoshe
551.boardpresident,Dris Ames,Doris Ames
42.distname,LOOKEBA SICKLES               ***,LOOKEBA SICKLES               
283.co,46-032,46-I032
119.superintendentemail,tihale@lonestar.k12.ok.us,thale@lonestar.k12.ok.us
406.superintendentemail,jermamsey@p-t.k12.ok.us,jeramsey@p-t.k12.ok.us
334.website,www.graahm-dustin.k12.ok.us,www.graham-dustin.k12.ok.us
313.superintendentemail,dbates@haskellqps.org,dbates@haskellps.org
346.fax,(405) 605-244,(405) 605-2644
131.address,511 Eat Lee,511 East Lee
290.superintendentemail,john.smithf@orestgrove.k12.ok.us,john.smith@forestgrove.k12.ok.us
99.phone,(580) 9272351,(580) 927-2351
488.superintendent,Paul Wood***,Paul Wood
527.boardpresident,Melissa Abo,Melissa Abdo
287.phone,(405) r449-3646,(405) 449-3646
189.boardpresident,Royce lAverson,Royce Alverson
133.city,Arapho,Arapaho
61.superintendentemail,kweldon@chs.12.ok.us,kweldon@chs.k12.ok.us
306.fax,9(18) 689-1080,(918) 689-1080
421.fax,(918) 8234234,(918) 823-4234
59.coname,CANADIAN   ,CANADIAN    
192.coname,HASKELL    ,HASKELL     
466.distname,FOYIL                         ***,FOYIL                         
511.website,http:/www.grandfield.k12.ok.us/,http://www.grandfield.k12.ok.us/
189.co,31-0C10,31-C010
317.distname,MUSKOGnEE                      ,MUSKOGEE                      
184.website,www.granite.k12.jok.us,www.granite.k12.ok.us
352.city,Luthr,Luther
290.co,48C001,48-C001
177.coname,GRAD Y      ,GRADY       
328.address,600 E. 5T h,600 E. 5Th 
6.coname,ADAIuR       ,ADAIR       
318.distname,HILLDALE                     ,HILLDALE                      
371.superintendent,Garyh Mcelroy,Gary Mcelroy
357.phone,(405 )340-2828,(405) 340-2828
491.city,Comeanche,Comanche
331.city,Paen,Paden
310.coname,MURRAY     b ,MURRAY      
23.phone,(580) 778-e3333,(580) 778-3333
397.address,26 Norht Main,26 North Main
420.city,Qunton,Quinton
108.boardpresident,Aaron Jnes,Aaron Jones
423.statevalue,KO,OK
435.fax,(405) 27x5-6094,(405) 275-6094
115.phone,(918) 782-0591,(918) 782-5091
292.address,701 Lavender R.d,701 Lavender Rd.
136.distname,CINTON                       ,CLINTON                       
272.co,44-I040,44-I004
53.distname,BANNER                        ***,BANNER                        
468.city,Wewoqka,Wewoka
474.coname,SEIMNOLE    ,SEMINOLE    
226.co,37-I08p9,37-I089
55.coname,CAANDIAN    ,CANADIAN    
407.city,Cusihng,Cushing
300.coname,MsCCURTAIN   ,MCCURTAIN   
140.co,h21-C034,21-C034
41.statevalue,OhK,OK
269.address,2069 State Hwy.32,22069 State Hwy.32
509.phone,(508) 568-2423,(580) 568-2423
545.boardpresident,Jmimy Piercey,Jimmy Piercey
167.city,Eglmore City,Elmore City
137.phone,(918) 256-641,(918) 256-6401
343.coname,OKLAHOMAo    ,OKLAHOMA    
354.statevalue,K,OK
146.statevalue,K,OK
541.coname,WfASHINGTON  ,WASHINGTON  
329.co,54-C092,54-C029
393.statevalue,tOK,OK
399.superintendent,jMark Alexander,Mark Alexander
265.superintendentemail,rlvollmer@mulhall-orlando.k12.ok.us,rvollmer@mulhall-orlando.k12.ok.us
476.superintendent,Kolb yJohnson,Kolby Johnson
326.boardpresident,rEic Epperson,Eric Epperson
167.coname,GRAVIN      ,GARVIN      
527.fax,(91p8) 299-9197,(918) 299-9197
88.coname,iCHOCTAW     ,CHOCTAW     
511.address,811 West 3Rd Streoet,811 West 3Rd Street
276.coname,MARSHALL    ***,MARSHALL    
290.city,pGarvin,Garvin
476.address,36085 Eiw 1140,36085 Ew 1140
159.city,Cvington,Covington
1.phone,(9q18) 696-7818,(918) 696-7818
250.address,301 Iherwood St.,301 Isherwood St.
28.boardpresident,Bkennet Peters,Bennet Peters
97.boardpresident,BeverlyF elton,Beverly Felton
208.distname,WAURIKA                      ,WAURIKA                       
23.coname,EAVER      ,BEAVER      
373.coname,OKMUzLGEE    ,OKMULGEE    
120.coname,CREExK       ,CREEK       
293.fax,(580) 286-574q3,(580) 286-5743
73.city,ulbert,Hulbert
409.superintendentemail,dbledsoe@jyale.k12.ok.us,dbledsoe@yale.k12.ok.us
51.co,0-I168,08-I168
39.fax,c(580) 924-6019,(580) 924-6019
399.superintendentemail,malexander@airlandowls.com,malexander@fairlandowls.com
313.coname,USKOGEE    ,MUSKOGEE    
35.fax,(5t80) 296-2088,(580) 296-2088
238.statevalue,zOK,OK
469.website,http://www.sps.k12.o.kus/,http://www.sps.k12.ok.us/
394.statevalue,OdK,OK
414.statevalue,K,OK
56.distname,PIEDMONT                     ,PIEDMONT                      
499.boardpresident,Eduardo alinas,Eduardo Salinas
146.boardpresident,TracyBorden,Tracy Borden
279.superintendentemail,raleighdpryorschools.org,raleighd@pryorschools.org
1.distname,PEAVIbNE                       ,PEAVINE                       
71.boardpresident,Ken Southward,Kent Southward
74.superintendentemail,lclink@woodall.12.ok.us,lclink@woodall.k12.ok.us
40.distname,(IL)C CHOCTAW NATION          ,(ILC) CHOCTAW NATION          
288.coname,MCCLAI     ,MCCLAIN     
508.co,71-I008***,71-I008
458.phone,(580) 4732221,(580) 473-2221
154.boardpresident,Jennfier Kisling,Jennifer Kisling
43.boardpresident,Renee Hill***,Renee Hill
416.superintendent,MarkI chord,Mark Ichord
489.boardpresident,Richard Ssmith,Richard Smith
294.distname,HOLLY CREEK                   ***,HOLLY CREEK                   
280.superintendent,Tom Linhian,Tom Linihan
442.fax,d(405) 598-2861,(405) 598-2861
284.city,Nwcastle,Newcastle
253.address,100 BlockerS treet,100 Blocker Street
76.address,10821W est Hickory Ave.,10821 West Hickory Ave.
325.website,ww.morrisonps.com,www.morrisonps.com
157.boardpresident,Kyel Whitehead,Kyle Whitehead
184.address,507 West T6h Street,507 West 6Th Street
183.address,400North Pennsylvania Avenue,400 North Pennsylvania Avenue
119.distname,LONE STAR                     ***,LONE STAR                     
61.distname,CALUMET                      ,CALUMET                       
108.co,16-I00p9,16-I009
19.coname,ATOKA      o ,ATOKA       
512.address,23810x West Highway 51,23810 West Highway 51
133.website,http://wwwa.rapaho.k12.ok.us/,http://www.arapaho.k12.ok.us/
382.boardpresident,Adrian Phillisp,Adrian Phillips
258.fax,(918) 968-258i2,(918) 968-2582
57.distname,UKON                         ,YUKON                         
126.coname,CEEK       ,CREEK       
264.boardpresident,Ljoyd Jones,Loyd Jones
441.website,www.earlsboo.k12.ok.us,www.earlsboro.k12.ok.us
418.city,Haileyvlile,Haileyville
228.superintendentemail,huntc@hobart.k12.ok.su,huntc@hobart.k12.ok.us
471.fax,(405) j398-4175,(405) 398-4175
495.city,Velam,Velma
301.fax,(508) 241-7847,(580) 241-7847
507.superintendent,Tom Schroedre,Tom Schroeder
366.city,kOc,Okc
240.co,40-I002***,40-I002
364.fax,(405) 530-2983,(405) 530-2938
479.phone,(98) 427-3808,(918) 427-3808
153.coname,GARrFIELD    ,GARFIELD    
235.coname,LATIMER     ***,LATIMER     
353.website,http://www.cnpschools.org/***,http://www.cnpschools.org/
213.co,35-fI029,35-I029
178.superintendentemail,ddavidson@verdenschoolsorg,ddavidson@verdenschools.org
452.fax,580) 298-4006,(580) 298-4006
526.phone,(918) 366-k2200,(918) 366-2200
175.statevalue,aOK,OK
278.address,9760 West 490,7960 West 490
31.boardpresident,Dea nCavett,Dean Cavett
199.co,33-I01,33-I001
348.website,www.psantafesouth.org,www.santafesouth.org
469.coname,SEjMINOLE    ,SEMINOLE    
48.website,http://cement.opscr.net/,http://cement.opsrc.net/
285.fax,(05) 344-6977,(405) 344-6977
224.city,Kingfhisher,Kingfisher
551.coname,OWODWARD    ,WOODWARD    
386.address,23 S Wg Ward,213 S Wg Ward
393.coname,OTAWA      ,OTTAWA      
508.superintendentemail,sboothe@tiptontigersn.et,sboothe@tiptontigers.net
216.superintendentemail,gyoung@peckham.k12.k.us,gyoung@peckham.k12.ok.us
135.phone,(508) 772-3327,(580) 772-3327
58.phone,4(05) 262-1703,(405) 262-1703
145.superintendentemail,oakssupt@oaksschfools.com,oakssupt@oaksschools.com
394.phone,(918 678-2255,(918) 678-2255
51.superintendentemail,lking@binger-oneqy.k12.ok.us,lking@binger-oney.k12.ok.us
492.phone,(580) 255-0668,(580) 255-0686
313.city,Hskell,Haskell
237.boardpresident,Skip Baxtre,Skip Baxter
536.fax,(918) 683-8331***,(918) 683-8331
151.statevalue,KO,OK
107.superintendentemail,tom.deigha@lawtonps.org,tom.deighan@lawtonps.org
537.fax,(918 486-4167,(918) 486-4167
102.co,16C-049,16-C049
492.superintendent,Melonie Hpau,Melonie Hau
546.fax,(580) 472-187,(580) 472-3187
430.website,ww.wlatta.k12.ok.us,www.latta.k12.ok.us
462.coname,ROGERS     ,ROGERS      
390.phone,(918) 24v2-3351,(918) 242-3351
243.address,34172 South Booth Avenue,43172 South Booth Avenue
297.website,ww.vpsd.org,www.vpsd.org
63.co,1j0-I019,10-I019
283.superintendentemail,kmason@houteauwildcats.com,kmason@chouteauwildcats.com
249.city,Wiwster,Wister
105.boardpresident,Joe yJoiner,Joe Joiner
37.statevalue,cOK,OK
187.statevalue,K,OK
169.boardpresident,Mmark Shaw,Mark Shaw
292.website,www.glover.k12.ok.eus,www.glover.k12.ok.us
454.phone,(b580) 488-3424,(580) 488-3424
7.website,wattsschool.cojm,wattsschool.com
153.superintendent,Jim atton,Jim Patton
49.superintendentemail,Richfard.Brownen@hintonschools.org,Richard.Brownen@hintonschools.org
36.coname,BRYAN       ***,BRYAN       
83.fax,(918k) 458-4448,(918) 458-4448
133.distname,ARAPAHO-BUTLER               ,ARAPAHO-BUTLER                
261.statevalue,K,OK
403.superintendentemail,javen@oakgrove.k12.oku.s,javen@oakgrove.k12.ok.us
148.fax,(580) 328-5j237,(580) 328-5237
213.website,http://www.milbudrnps.org,http://www.milburnps.org
336.statevalue,OtK,OK
64.boardpresident,ohn Wylie,John Wylie
86.fax,(580)873-1053,(580) 873-1053
365.website,www.bokfosheschool.org,www.bokosheschool.org
330.address,37k4006 E. 1000 Road,374006 E. 1000 Road
348.phone,(041) 601-5440,(401) 601-5440
499.superintendentemail,optimaublicschool@gmail.com,optimapublicschool@gmail.com
470.fax,d(405) 257-2303,(405) 257-2303
145.boardpresident,Mvelvin Blossom,Melvin Blossom
123.website,www.bristow.k12.ok.us***,www.bristow.k12.ok.us
119.boardpresident,Jim Plikington,Jim Pilkington
1.address,77943 wHy 59 N.,77943 Hwy 59 N.
75.coname,CHROKEE    ,CHEROKEE    
331.superintendentemail,msitles@paden.k12.ok.us,mstiles@paden.k12.ok.us
435.boardpresident,Jerry Skgags,Jerry Skaggs
537.address,14540 S. 302Nd East Av.e,14540 S. 302Nd East Ave.
393.superintendent,Tamyra Lason,Tamyra Larson
241.superintendentemail,ewilson@heavenerschool.sorg,ewilson@heavenerschools.org
154.address,305 jUtah,305 Utah
143.co,2-I003,21-I003
191.coname,HASKEL     ,HASKELL     
289.superintendent,Jsim Beckham,Jim Beckham
409.fax,(91) 387-2503,(918) 387-2503
199.website,www.navajok12.ok.us,www.navajo.k12.ok.us
338.phone,(405) 457-6400,(405) 475-6400
260.coname,LINOLN     ,LINCOLN     
291.phone,(58) 584-6834,(580) 584-6834
374.superintendent,Jaomes Lyons,James Lyons
7.phone,(918) c422-5311,(918) 422-5311
236.phone,(9c18) 963-2595,(918) 963-2595
220.coname,KAY         ***,KAY         
41.fax,(405)v 663-2139,(405) 663-2139
365.superintendentemail,alp@dovescohols.org,alp@doveschools.org
320.distname,WARNER                        ***,WARNER                        
544.address,708 E. Wqashington,708 E. Washington
73.phone,(18) 478-3092,(918) 478-3092
328.phone,(918) 255-6202***,(918) 255-6202
96.boardpresident,Teryr Mixon,Terry Mixon
507.fax,(850) 423-7096,(580) 423-7096
95.phone,(405) 872-452,(405) 872-3452
117.coname,CARIG       ,CRAIG       
302.fax,(80) 584-9482,(580) 584-9482
342.superintendent,Mylo Mller,Mylo Miller
167.website,www.ecphs.k12.ok.uus,www.ecphs.k12.ok.us
248.co,40-I29,40-I029
144.address,433 Seouth Larmon,433 South Larmon
