OBJECTID,TMA_ID,TMA_NM,TMA_NR,ST_PRRTY_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,TMP_START_DT,TMP_ID,TMP_CMPLTN_DT,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
621,TMA-CO-COSO8000-004,D,004,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{E730F5A1-80E4-46E9-B2EA-85BACAD1E620},94771.895624943,269121132.648166
622, , , ,-1,CO,COG01000,Grand Junction Field Office,1899/12/30 00:00:00+00,,,7.2866327,,{77F37545-3636-4824-9A1D-F3262CF43355},5368.93618968168,29487.9563449666
623,TMA-CO-COSO8000-009,I,009,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{5ABB2DD4-B136-46B5-BCD5-4E3C84EC228F},95978.5973125734,294113410.775711
624,TMA-CO-COSO8000-007,G,007,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{70C45B07-D225-4CB5-A1E5-1809DCC5B10F},120837.630034344,473616703.791354
625,TMA-CO-COSO8000-002,B,002,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{B33B8D31-8F50-4E69-A160-8CFA5D6C3BDD},135421.836968824,318093914.171074
626,TMA-CO-COSO8100-010,Rattlesnake/Mee Canyons Access,010,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,13624.41641131,13624.41641131,{117FB625-4A02-459A-A110-5E9BAE766807},92064.9875487071,55104038.8514538
627,TMA-CO-COSO8100-005,Mack Ridge,005,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,5502.14468044,5502.14468044,{952E7A06-E8AB-4426-ACFB-D9DB72E38620},27835.305454839,22266360.3236503
628,TMA-CO-COSO8100-009,Urban Wilderness Interface,009,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,2004.36638859,2004.36638859,{ED63944E-570F-4026-99AB-4BCA16D1C359},18462.8374712199,8080785.26206805
629,TMA-CO-COSO8000-006,F,006,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{A4DE684D-B126-4037-A925-5FBECBDAADC4},118693.962645995,345462115.107669
630,TMA-CO-COSO8000-005,E,005,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{C311B7DE-6F49-4BC2-9FBF-C5482D3E6384},142092.27608911,365911939.614909
631,TMS-CO-COSO8000-023,W,023,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{A657859B-6AF9-4B50-B40E-91B300F15CA2},81035.2168355731,208475392.464546
632,TMA-CO-COSO8000_020,T,020,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{B69B3803-5142-46FB-8683-A2380357C33F},64579.9339167136,68818065.2759184
633, ,Gunnison Gorge NCA 3-1,019,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,1204.68750951,,{FBD1C06F-AADF-4091-9C06-5E8D89903BAA},20991.1111967217,4875197.45070939
634, ,Gunnison Gorge NCA 1-1,012,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,5237.21953285,,{2C16DA99-0A16-409B-851A-FE613291BA4B},45432.7250762089,21194275.4002773
635,TMA-CO-COS09000-001,Dominguez/Escalante National Conservation Area,001,-1,CO,COG03000,DOMINGUEZ-ESCALANTE NCA,2009/03/30 00:00:00+00,DOI-BLM-CO-PL-17-005,2017/01/09 00:00:00+00,218406.5305336,209988.80626028,{59149D0F-458C-4A30-8072-3AD3D7AB6643},195059.048595725,883817459.20861
636, ,Gunnison Gorge NCA 2-3,018,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,1688.19545887,,{8911F33C-5371-4A1C-A4FA-67385824A92D},17166.0829700736,6831884.33575078
637, ,Uncompahgre Field Office Wide,026,-1,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,9999/09/09 00:00:00+00,DOI-BLM-CO-S050-2008-0064 EA,2010/02/25 00:00:00+00,3412292.99987007,872607.37372436,{67598317-0670-4230-A5DB-9D607847B5E7},3036221.25054024,2231796393.32646
638, ,Gunnison Gorge NCA 1-2,013,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,97.89917422,,{4F2FC4AF-607E-4796-863F-49D6C83A99F3},4294.0816167134,396183.901932949
639, ,Gunnison Gorge NCA 2-1,016,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,931.95646506,,{E45B2204-E500-451D-BADB-893C1BBEF89F},11842.4420191279,3771493.93046995
640, ,Gunnison Gorge NCA 3-3,021,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,10619.18128511,,{49D145F3-6FB4-4055-A4CE-DCFC13D71FF6},55538.4836633529,42974302.4150882
641, ,Gunnison Gorge NCA 3-2,020,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,1676.16947647,,{2E0BBF82-713F-4BAE-BCB3-975E36CBB8AB},34993.0125766282,6783217.14983696
642, ,Gunnison Gorge NCA 4,022,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,22200.43843618,,{F1FF8613-B0FE-498A-BFEA-64B6DA9A3A8E},98320.4854848733,89841986.6076115
643, ,Gunnison Gorge NCA 1-4,015,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,1372.05591178,,{DF1FD144-1533-4557-A670-440F9B0AE568},20310.826931835,5552513.77925736
644, ,Burn Canyon,011,-1,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2014/11/14 00:00:00+00,DOI-BLM-CO-SOS0-2012-19 EA,2014/11/14 00:00:00+00,10657.61816549,9816.36762749,{6DF691F3-B816-47AD-A035-0A77C1654AF6},47250.4132377812,43129850.6033313
645, ,Gunnison Gorge NCA 6-1,024,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,15791.90910639,,{7FE6F67F-2DCA-4CA6-BD0D-0F0FB32B533E},114433.194192485,63907588.9978111
646, ,Gunnison Gorge NCA 2-2,017,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,7202.40335905,,{92FB239B-0167-46AB-8B58-F55F090DB6AD},40432.0483601765,29147092.442627
647, ,Gunnison Gorge NCA 6-2,025,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,13332.05657269,,{FAE2E048-0FA0-4659-BAE6-FBC63F15D26B},144909.078948324,53952918.083365
648, ,Gunnison Gorge NCA 5,023,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,3975.75270446,,{42D57D4F-64D0-483A-A206-C3C0F9FE646E},25106.9472318315,16089300.3454105
649, ,Gunnison Gorge NCA 1-3,014,-1,CO,COS05400,GUNNISON GORGE NCA,1999/01/01 00:00:00+00,DOI-BLM-CO-DEIS-03-13,2004/11/01 00:00:00+00,10535.67896219,,{707D9AD8-3E5A-413A-B4D5-B55840768F76},101364.69522917,42636380.5758975
