X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,RecordStatus,LeaseNum,GeneralLocation,LeaseorPermit,TypeofLease,LeaseStartDate,LeaseExpirationDate,SLCApprovalDate,MinuteItem,Improvements,Latitude,Longitude
-13522057.6948,4591173.1304,196,{897772AC-DFB4-4D5E-BD32-0A21644DA65D},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,2392,White Slough between Empire and Terminous Tract at the Correia Ferry,General Lease,Right of Way Use,04/30/1959,,04/30/1959,8,,38.0831100000,-121.4707110000
-13615603.6931,4608240.3327,197,{35430684-37BD-487F-8110-0A223C71B505},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6050,"Napa River, adjacent to 1652 Milton Road, city of Napa",General Lease,Recreational Pier Lease,09/01/2006,08/31/2016,06/24/2008,1,,38.2036890000,-122.3110490000
-13637851.8952,4571244.629,198,{7D3E2734-50D4-482B-B75D-0A4249BA073A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9259,"Corte Madera Creek, adjacent to 69 Greenbrae Boardwalk, near the city of Larkspur",General Lease,Recreational Use,12/18/2015,12/17/2035,08/23/2022,20,,37.9420640000,-122.5109080000
-13637127.3166,4595468.1671,199,{A28F6E02-8BD4-46A1-809E-0A51A17C3930},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,2651,"Petaluma River adjacent to 116 Harbor Drive, Novato",General Lease,Residential and Recreational Use,04/25/2021,04/24/2031,04/27/2021,31,,38.1134730000,-122.5043990000
-13143128.8198,3991184.2386,200,{3AEEEA06-EB5A-41B8-9070-0A532F213285},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,3312,"Midway Channel of Huntington Harbour, adjacent to 3392 Gilbert Drive, Huntington Beach",General Lease,Recreational Use,06/05/2023,06/04/2033,06/05/2023,67,,33.7193850000,-118.0667350000
-13636984.605,4561615.9726,201,{CEFB6198-E165-41A2-AC7C-0A60A98C6D3E},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8594,"partially filled and unfilled sovereign land at Waldo Point Harbor, in Richardson Bay",General Lease,Other,04/01/2019,03/31/2044,04/05/2019,C42,,37.8738190000,-122.5031170000
-13679508.2052,4600370.6764,202,{4CF8039B-B1AE-455E-BCEC-0A63D8FB7A24},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9522,"Tomales Bay, adjacent to 19025 Highway 1, near Marshall",General Lease,Recreational Use,06/01/2018,05/31/2028,12/03/2018,C43,,38.1481150000,-122.8851130000
-13362514.4893,4712851.7382,203,{DD22F3E8-D94F-4252-9DE4-0A800940E2F3},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7959,"Lake Tahoe, adjacent to 3047 Jameson Beach Road, near South Lake Tahoe",General Lease,Recreational Use,02/04/2019,02/03/2029,02/04/2019,C14,,38.9384000000,-120.0375100000
-13306518.0024,4368415.8481,204,{B5DFAE15-34FC-402E-8805-0A81F456DBDA},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8773,"Kings River, adjacent to 38550 Road 16, near Kingsburg",General Lease,Recreational Use,06/05/2023,06/04/2033,06/05/2023,69,,36.4911560000,-119.5344850000
-13368817.6215,4751139.9471,205,{503E1798-4640-4B70-8143-0A95C5D462B5},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,2284,"Lake Tahoe, adjacent to 3900 North Lake Boulevard, near Carnelian Bay",General Lease,Recreational Use,09/26/2018,09/25/2028,12/03/2018,C10,,39.2054260000,-120.0941320000
-13185984.9313,4020103.2112,206,{3F153E6F-F210-4270-BEB7-0AA6A6D4467E},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,402/ 31-5,Pacific Ocean at Santa Monica Bay,General Lease,Protective Structure Use,04/15/1932,,,,,33.9351920000,-118.4517180000
-13374287.75,4743574.2293,207,{2A0C8842-8AC4-43FF-9FFA-0AA99E659A00},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4184,"Lake Tahoe, adjacent to 890 West Lake Boulevard, Tahoe City",General Lease,Recreational Use,12/03/2018,12/02/2028,12/03/2018,C11,,39.1527420000,-120.1432710000
-13594848.508,4584399.7277,208,{DEAA4D0A-4DD5-435B-9635-0AAC7F6C9B02},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8551,"Carquinez Strait at the Tesoro Golden Eagle Refinery Avon Wharf, Suisun Bay, near the city of Martinez",General Lease,Dredging,08/14/2012,08/13/2022,08/14/2012,54,,38.0352010000,-122.1246020000
-13486139.014,4247227.9774,209,{C3D8EC0F-640F-4D28-BE56-0AB3F95CFBFE},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5208,Pacific Ocean at San Simeon,General Lease,Public Agency Use,01/01/2014,12/31/2033,06/29/2015,66,,35.6110090000,-121.1480480000
-13676556.6803,4657032.7901,210,{9B7E07A2-26AA-48CA-964D-0ACD03CE0592},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7573,Russian River near Windsor,General Lease,Right of Way Use,10/01/1991,,09/23/1991,20,,38.5473050000,-122.8585990000
-13130457.2109,4350518.4078,211,{56F4F5F0-E89A-473A-807D-0ACEF28E97B8},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9085,dry lake bed of Owens Lake,General Lease,Public Agency Use,08/23/2013,08/22/2033,06/21/2018,C62,,36.3617930000,-117.9529040000
-13053712.2181,3891535.2102,212,{DA09C2FF-DF54-4E92-A887-0AEC61BD526A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8886,in and adjacent to San Dieguito River/Lagoon,General Lease,Public Agency Use,06/01/2010,05/31/2059,10/29/2010,55,,32.9716020000,-117.2634920000
-13539196.8889,4595849.9024,213,{0DB77E82-492E-4ECA-AA71-0AFD3B96BDF2},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4049,"Seven Mile Slough, adjacent to 1550 Twitchell Island Road, Isleton",General Lease,Commercial Use,03/03/2009,03/02/2030,02/04/2019,C53,,38.1161710000,-121.6246750000
-13531814.4029,4650705.5265,214,{6630EBE3-09EB-486B-A5CD-0B24AEA9CA1C},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9141,"various waterways as a subset of the Sacramento River Flood Control Project (SRFCP) along approximately 300 miles of levees in Butte, Colusa, Glenn, Placer, Sacramento, Solano, Sutter, Yolo, and Yuba Counties",General Lease,Public Agency Use,08/15/2014,12/31/2019,08/15/2014,11,,38.5028380000,-121.5583570000
-13532154.0387,4668216.4843,215,{F95E9D0C-E9C7-4995-B1CC-0B313B41D271},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6969,"Sacramento River, adjacent to 3107 Garden Highway, near Sacramento",General Lease,Recreational and Protective Structure Use,06/21/2018,06/20/2028,06/21/2018,C32,,38.6258350000,-121.5614080000
-13346401.2156,4081167.328,216,{C022690F-92A0-4148-949D-0B3B32674F98},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,3242,"South Ellwood Offshore Field, Parcel 24",Mineral Resource Lease,Oil & Gas Lease,04/08/1965,,07/12/2013,3,,34.3890870000,-119.8927620000
-13520176.7294,4617736.4053,217,{7D22E8EB-F865-4759-A93F-0B43BE4E21EF},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4522,"Mokelumne River (mile 22.9), Lost Slough (mile 1.6), and Middle Slough (mile 0.5), serving I-5, near Thornton",General Lease,Public Agency Use,04/01/1970,,10/22/1970,6,,38.2706920000,-121.4538140000
-13374631.3932,4742547.3117,218,{96F75803-0A0D-4654-8042-0B4E97DE92AF},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7711,"Lake Tahoe, adjacent to 1310 West Lake Boulevard, near Sunnyside",General Lease,Recreational Use,09/09/2018,09/08/2028,06/21/2018,C14,,39.1455880000,-120.1463580000
-13551742.3729,4584043.9953,219,{65B65C07-FD82-4CE5-AD77-0B4F6FDE7862},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8352,"San Joaquin River, adjacent to 19900 Sherman Island Crossing, near Rio Vista",General Lease,Recreational Use,01/26/2018,01/25/2028,10/18/2018,C56,,38.0326840000,-121.7373730000
-13666829.4718,4693271.3336,220,{1932B5B2-248A-482E-B4A5-0B5164D17144},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4597,"Geysers Steamfield, Section 8, 17, 18, 19 and 20, T11N R8W, MDM",Mineral Resource Lease,Geothermal Lease,05/27/1971,,08/20/2020,54,,38.8014540000,-122.7712180000
-13374033.9415,4732272.9725,221,{BDEA44C6-3A71-4ECA-9E1F-0B522C92159B},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,3044,"Lake Tahoe, adjacent to 6400 and 6500 West Lake Boulevard, near Homewood",General Lease,Recreational Use,10/08/2018,10/07/2028,02/04/2019,C04,,39.0739720000,-120.1409910000
-13527229.821,4612962.544,222,{2AECDFA8-B1B3-4E3F-B56F-0B669BE2C387},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5379,"Georgiana Slough, near Walnut Grove",General Lease,Recreational Use,08/14/2012,08/13/2022,08/14/2012,28,,38.2370160000,-121.5171730000
-13434722.4336,4185561.5345,223,{58A9FA9A-6463-485F-AC3C-0B6BCF284B98},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,814,"Pacific Ocean, one mile north of Shell Beach",General Lease,Public Agency Use,06/26/1953,,09/03/1953,33,,35.1593810000,-120.6861650000
-13623715.5444,4952285.3247,224,{A6195A53-8928-453F-9066-0B7D0646A333},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8733,"Sacramento River, city of Redding",General Lease,Public Agency Use,12/14/2006,12/13/2026,12/14/2006,28,,40.5915810000,-122.3839190000
-13536004.1346,4598831.4041,225,{F0EE8D0B-653E-40F8-B205-0BB43984C7FE},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8760,"Georgiana Slough, adjacent to 17075 Terminous Road, near Isleton",General Lease,Recreational and Protective Structure Use,06/29/2021,06/28/2031,06/29/2021,27,,38.1372400000,-121.5959940000
-13458453.1887,4526312.8328,226,{45F752D4-4F06-4AC2-A736-0BBA2D30E450},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7183,Stanislaus River and Tuolumne River,General Lease,Public Agency Use,10/18/1985,10/17/2034,12/09/2022,32,,37.6230600000,-120.8993420000
-13771422.3711,4709434.2526,227,{B539B58F-D28A-41B3-B183-0BBF30879B82},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,194,"Pacific Ocean at Arena Cove, adjacent to 810 Port Road, City of Point Arena",General Lease,Public Agency Use,02/28/2020,02/27/2040,02/28/2020,03,,38.9145170000,-123.7107920000
-13501826.0453,4546326.5216,228,{6CB278B8-8DE5-4450-B0B9-0BC4EA8D4BCB},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6062,Walthall Slough and San Joaquin River near Manteca,General Lease,Right of Way Use,08/01/1981,,09/29/1981,13,,37.7653220000,-121.2889670000
-13537080.8167,4681627.8435,229,{B4D5BAA2-4D28-41B6-8EDF-0BC9F761FE07},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5472,"Sacramento River, Sacramento Airport Gas Field, Riego area",Mineral Resource Lease,Compensatory Agreement,04/27/1978,,04/27/1978,22,,38.7198940000,-121.6056660000
-13507874.3672,4576272.6602,230,{23FE1CA6-5434-4F08-B716-0BD4313EEBA7},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5653,"Calaveras River, adjacent to 2739 Calariva Drive, Stockton",General Lease,Recreational and Protective Structure Use,04/26/2019,04/25/2029,06/28/2019,33,,37.9776760000,-121.3433000000
-13507908.097,4576220.6901,231,{398AE018-0F4E-478B-AC70-0BE06B6ED4BF},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7793,"Calaveras River, adjacent to 2767 Calariva Drive, city of Stockton",General Lease,Recreational Use,09/01/2014,08/31/2024,06/28/2019,EO Rpt,,37.9773080000,-121.3436030000
-13615532.4486,4608312.5799,232,{34CE0D9C-F613-4F81-A933-0BE93AE8D60A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5666,"Napa River in the city of Napa; 1636 Milton Road",General Lease,Recreational Pier Lease,04/01/2008,03/31/2018,03/25/2008,2,,38.2041990000,-122.3104090000
-13536632.9784,4654597.1554,233,{47860F41-7C5C-4905-8AC7-0BEC9D0E82DE},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9141,"various waterways as a subset of the Sacramento River Flood Control Project (SRFCP) along approximately 300 miles of levees in Butte, Colusa, Glenn, Placer, Sacramento, Solano, Sutter, Yolo, and Yuba Counties",General Lease,Public Agency Use,08/15/2014,12/31/2019,08/15/2014,11,,38.5301910000,-121.6016430000
-13602307.2478,4523838.2319,234,{0337F46C-D64B-4FDB-BD4A-0C21334E8327},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6827,"various waterways, in various counties, statewide",General Lease,Right of Way Use,05/01/2015,04/30/2045,02/20/2015,44,,37.6054510000,-122.1916050000
-13538785.3407,4602797.3186,235,{BF934DD5-D559-4B48-80CA-0C317979A2DB},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8550,"Sacramento River, adjacent to 17468 Grand Island Road, Long Island, near the city of Isleton",General Lease,Recreational and Protective Structure Use,08/01/2014,07/31/2024,02/20/2015,32,,38.1652560000,-121.6209780000
-13612731.3163,4619320.3373,236,{CB1781A5-AC6C-4519-A66B-0C379D7234E0},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,378,"Napa River at the Maxwell bridge, city if Napa",General Lease,Public Agency Use,02/15/2003,02/14/2028,02/21/2003,38,,38.2818620000,-122.2852460000
-13538942.8578,4602850.2719,237,{D168890E-260F-475A-AADD-0C4208186CED},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4762,"Sacramento River, adjacent to 17436 Grand Island Road, near Isleton",General Lease,Recreational and Protective Structure Use,02/22/2023,02/21/2033,06/05/2023,43,,38.1656300000,-121.6223930000
-13664850.8792,4688378.7614,238,{48E1717A-E734-4FCB-8DD5-0C5972F3EB20},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6794,"State lieu land in a portion of Section 33, T11N R8W, MDM, near Middletown",General Lease,Right of Way Use,11/05/2001,11/04/2026,10/18/2018,C72,,38.7671940000,-122.7534440000
-13532099.6034,4667536.9676,239,{809FAE0E-095F-405B-9945-0C61BA164D60},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8758,"Sacramento River, adjacent to 3025 Garden Highway, near Sacramento",General Lease,Recreational and Protective Structure Use,09/13/2017,09/12/2027,02/27/2018,C47,,38.6210660000,-121.5609190000
-13607702.3469,4590188.1391,240,{A7EF1056-BDF0-4453-BEA3-0C8076856FFF},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9313,"Mare Island Strait, adjacent to 46 Sandy Beach Road, near Vallejo",General Lease,Residential and Recreational Use,02/09/2016,02/08/2046,08/23/2019,27,,38.0761450000,-122.2400700000
-13386924.9612,4767563.966,241,{15EF1B67-2922-4263-B286-0C8AC530416B},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7805,"Donner Lake, adjacent to 13880 South Shore Drive, near Truckee",General Lease,Recreational Use,11/29/2017,11/28/2027,10/24/2019,EO,,39.3196590000,-120.2567930000
-13367337.4062,4753899.5913,242,{BDDA02BF-4DF9-4270-B001-0C9B33390AF2},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5680,"Lake Tahoe, adjacent to 5146 North Lake Boulevard, near Carnelian Bay",General Lease,Commercial Use,07/11/2012,07/10/2032,06/23/2022,EO,,39.2246330000,-120.0808350000
-13571954.4302,4742103.2173,243,{126020D6-C90F-4858-A8FB-0C9F8440EF11},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4446,"Sacramento River, 1180 ft. south of State Route 20, near Meridian",General Lease,Right of Way Use,04/15/1970,,05/28/1970,3,,39.1424940000,-121.9189410000
-13504139.3756,4550553.1573,244,{B003F072-69D3-426D-BEBF-0CA539AB09B2},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4489,San Joaquin River near Mossdale,Permit,Streets and Highways  - DOT Code 101.5,08/05/1970,,07/30/1970,19,,37.7953310000,-121.3097480000
-13546875.5961,4600371.3842,245,{A36B63B8-F001-4D73-83C3-0CAA35ECFC44},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5438-B,"Sacramento River, Colusa and Butte County; Sacramento River, Butte and Glenn County; Sacramento River, Colusa and Sutter County; Feather River, Sutter and Yuba County; Sacramento River, Sacramento and Yolo County; Petaluma River, Sonoma County; Napa ",General Lease,Right of Way Use,01/01/2012,12/31/2031,06/05/2023,47,,38.1481200000,-121.6936540000
-13514752.6872,4577743.4659,246,{AAC651A5-7E39-4D2D-9ACE-0CB3315223CA},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,2856,"historic bed of the San Joaquin River, at Vulcan Island, near the city of Stockton",General Lease,Commercial Use,01/01/1993,12/31/2034,03/25/2008,31,,37.9880900000,-121.4050890000
-13142591.1467,3990860.0947,247,{A6CE8FEB-0557-451E-9C82-0CBCE2F854E6},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,3854,"Main Channel of Huntington Harbour, adjacent to 16841 Bolero Lane, Huntington Beach",General Lease,Recreational Use,04/29/2020,04/28/2030,04/29/2020,55,,33.7169630000,-118.0619050000
-13618492.2112,4599398.1127,248,{2F4E1114-84B1-4654-8CC9-0CFCA531CB63},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,841,"South Slough near China Slough, about one mile west of Napa River",General Lease,Right of Way Use,09/21/1953,09/20/2002,10/27/1953,31,,38.1412440000,-122.3369970000
-13495110.8083,4528874.0555,249,{F01BDDD5-A43A-4690-98E0-0D1E688F27AD},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,2675,"San Joaquin River in Section 29, T3S R7E, MDM; near Vernalis",Permit,Streets and Highways  - DOT Code 101.5,01/17/1961,,12/22/1960,4,,37.6412810000,-121.2286430000
-13364237.3811,4756021.9577,250,{3F947012-9701-4393-ACD8-0D30437BB138},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8158,"Lake Tahoe, adjacent to 6780 and 6784 North Lake Boulevard, Tahoe Vista",General Lease,Recreational Use,03/29/2022,03/28/2032,04/26/2022,02,,39.2394010000,-120.0529870000
-13526764.8395,4614051.9055,251,{4CA51549-827F-4A9C-A766-0D434C5A5034},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5498,"Sacramento River, adjacent to 14090 State Highway 160, near Walnut Grove",General Lease,Commercial Use,06/01/2006,05/31/2026,06/28/2019,29,,38.2447020000,-121.5129960000
-13134185.078,4347976.5592,252,{E99D7E17-2E94-4A48-A6B7-0D4821D1A86C},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9085,dry lake bed of Owens Lake,General Lease,Public Agency Use,08/23/2013,08/22/2033,06/21/2018,C62,,36.3434030000,-117.9863920000
-13532301.4257,4669727.1424,253,{F5BB6B36-7E70-43B5-8EEC-0D5588F23662},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8782,"Sacramento River, adjacent to 3791 Garden Highway, near Sacramento",General Lease,Recreational and Protective Structure Use,04/19/2018,04/18/2028,04/19/2018,C56,,38.6364360000,-121.5627320000
-13525073.3398,4595676.4361,254,{C763D4FE-CB9F-4514-8F27-0D6AD1C4F27A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,445,Little Potato Slough near Terminous,Permit,Streets and Highways  - DOT Code 101.5,05/01/1987,,04/23/1987,9,,38.1149450000,-121.4978010000
-13613608.6252,4709062.4238,255,{03BBA4DE-C5A5-4FD8-BA71-0D7B19D05704},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,672/ 31-3,"Section 3, T12N R4W",General Lease,Public Agency Use,07/12/1933,,,,,38.9119180000,-122.2931270000
-13369117.2936,4748065.6725,256,{55AA7664-6209-4253-BA8B-0D8B62C8E854},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5469,"Lake Tahoe, adjacent to 3338 Edgewater Drive, near Tahoe City",General Lease,Recreational Use,04/19/2018,04/18/2028,04/19/2018,C04,,39.1840230000,-120.0968240000
-13143054.2358,3991297.196,257,{20832A51-2290-49EF-9200-0D8C523F0376},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,3078,"Midway Channel of Huntington Harbour, adjacent to 3492 Gilbert Drive, Huntington Beach",General Lease,Recreational Use,06/21/2023,06/20/2033,06/05/2023,65,,33.7202290000,-118.0660650000
-12824637.3001,4134283.3454,258,{4F685167-EA8C-4F5C-B300-0D9B5C2D3A2A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,478-5,"Section 16, T8N R17E",General Lease,Right of Way Use,09/26/1884,,,,,34.7819130000,-115.2056770000
-13278884.6086,4056671.1633,259,{7DAB71E3-ABFF-41F8-B4B9-0DA32ACB31B8},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,3314,"West Montalvo Oil and Gas Field, offshore Ventura County",Mineral Resource Lease,Oil & Gas Lease,07/02/1965,,10/14/2014,96,,34.2072980000,-119.2862500000
-13325694.6772,4438967.9586,260,{73384C12-6C02-44B5-B0F8-0DB16A6D4C5E},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9173,"51 locations in the San Joaquin River between Friant Dam and Hills Ferry, in Fresno, Madera, Merced, and Stanislaus Counties",General Lease,Public Agency Use,12/18/2015,12/17/2025,12/18/2015,91,,36.9990040000,-119.7067520000
-13532698.7249,4671011.2564,261,{2164E948-1B99-475C-ABA4-0DB4BB50536C},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5126,"Sacramento River, adjacent to 4075 Garden Highway, near Sacramento",General Lease,Recreational and Protective Structure Use,06/23/2021,06/22/2031,04/27/2021,29,,38.6454460000,-121.5663010000
-13554505.6566,4589700.8399,262,{DD746495-2797-4B01-AABD-0DC5CCA366DB},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8579,"Sacramento River, adjacent to APN 158-0080-013, on Sherman Island, near the city of Rio Vista",General Lease,Recreational Use,12/01/2015,11/30/2025,06/29/2015,53,,38.0726990000,-121.7621960000
-13607658.2644,4590076.7059,263,{A24C0EF5-7465-4E64-AC3C-0DCC3FF8D859},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9310,"Mare Island Strait, adjacent to 21 Sandy Beach Road, near the city of Vallejo",General Lease,Residential and Recreational Use,02/09/2016,02/08/2046,02/09/2016,38,,38.0753570000,-122.2396740000
-13425217.6415,5084855.9294,264,{46D49077-991D-4FB4-B801-0DD993DDC893},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7902,"Pit River, near Alturas",General Lease,Right of Way Use,08/21/1996,08/20/2045,06/28/2019,17,,41.4897880000,-120.6007820000
-13502380.8616,4600600.7023,265,{4B36C1E6-E94E-4C00-B79A-0DE453D553FA},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9684,"Mokelumne River, within Lodi Lake Park, adjacent to Assessor’s Parcel Number 039-100-210, in Lodi",General Lease,Public Agency Use,02/25/2022,02/24/2042,02/25/2022,27,,38.1497400000,-121.2939510000
-13484793.2726,4523428.7826,266,{C25C59C5-4B63-471D-9A4E-0DE6B7E153B8},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8771,"Tuolumne River and San Joaquin River, near the city of Modesto",General Lease,Public Agency Use,12/03/2007,12/02/2032,12/03/2007,25,,37.6025370000,-121.1359590000
