3974.personpremise,TELEEPRFORMANCE,TELEPERFORMANCE
1645.personpremise,ZOELLER UPMP COMPANY,ZOELLER PUMP COMPANY
2018.activity_type_desc,uFIELD,FIELD
3293.personpremise,BRECKENRDIGE INN HEALTH CLUB,BRECKENRIDGE INN HEALTH CLUB
2472.address_one,12201 bDIXIE HWY,12201 DIXIE HWY
1073.address_one,11710 DIXIE nHWY,11710 DIXIE HWY
999.personpremise,POP UP SOHP,POP UP SHOP
4396.activity_date,2021/03/26 0c3:59:59+00,2021/03/26 03:59:59+00
3067.address_one,3802 DIuXIE HWY,3802 DIXIE HWY
4136.personpremise,HE PALM ROOM LOUNGE,THE PALM ROOM LOUNGE
5.activity_date,2020/04/13 03:59:95+00,2020/04/13 03:59:59+00
315.activity_date,2020/07/15 30:59:59+00,2020/07/15 03:59:59+00
3836.personpremise,PjORCINI,PORCINI
2815.activity_date,2020/11/18 0:500:00+00,2020/11/18 05:00:00+00
2116.address_one,1000W BROADWAY,1000 W BROADWAY
2588.address_one,9451 WESTPaORT RD,9451 WESTPORT RD
4273.personpremise,METRO DINEzR,METRO DINER
935.request_date,2002/05/12 03:59:59+00,2020/05/12 03:59:59+00
1461.activity_type_desc,FELD,FIELD
2956.activity_date,2020/11/17 0:00:00+00,2020/11/17 05:00:00+00
245.activity_type_desc,IELD,FIELD
2490.activity_type_desc,IELD,FIELD
3212.request_date,2020/10/27 03:5:59+00,2020/10/27 03:59:59+00
3016.activity_type_desc,bFIELD,FIELD
3665.personpremise,OUTBAhCK STEAKHOUSE #1814,OUTBACK STEAKHOUSE #1814
2798.activity_date,2020/07/20 03:59:c59+00,2020/07/20 03:59:59+00
525.personpremise,APATMENT COMPLEX,APARTMENT COMPLEX
1217.activity_date,2020/07/1 03:59:59+00,2020/07/15 03:59:59+00
1777.activity_date,2020/04/25 03:59:5g9+00,2020/04/25 03:59:59+00
1008.personpremise,APA JOHN'S,PAPA JOHN'S
1140.activity_type_desc,IELD,FIELD
1665.activity_type_desc,FxIELD,FIELD
610.activity_date,2020t/05/05 03:59:59+00,2020/05/05 03:59:59+00
2032.request_date,2020/11/07 05:00:0+00,2020/11/07 05:00:00+00
4700.address_one,3001 FERtN VALLEY RD,3001 FERN VALLEY RD
542.request_date,2020/0b4/27 03:59:59+00,2020/04/27 03:59:59+00
1258.request_date,2020/04/17 03:59:95+00,2020/04/17 03:59:59+00
1339.address_one,9003 GALEN DR,9003 GALENE DR
2323.personpremise,KROGvER L-753,KROGER L-753
2925.request_date,2020/10/0203:59:59+00,2020/10/02 03:59:59+00
880.address_one,710 LINCOLN AVE,1710 LINCOLN AVE
1805.personpremise,NEWBURG 7TH DAY ADVENTIST CHUCH,NEWBURG 7TH DAY ADVENTIST CHURCH
1737.address_one,1200 W ASHLAND lAVE,1200 W ASHLAND AVE
1439.request_date,2020/05/21 03:95:59+00,2020/05/21 03:59:59+00
1766.request_date,2020/07/04 03:59:9+00,2020/07/04 03:59:59+00
573.address_one,1018 S 29HT ST,1018 S 29TH ST
3248.activity_date,2020/21/02 05:00:00+00,2020/12/02 05:00:00+00
707.activity_date,220/07/14 03:59:59+00,2020/07/14 03:59:59+00
4515.address_one,8519 TERRqY RD,8519 TERRY RD
4493.address_one,990 W ORSMBY AVE,990 W ORMSBY AVE
3264.request_date,2002/08/12 03:59:59+00,2020/08/12 03:59:59+00
3026.activity_type_desc,nFIELD,FIELD
3846.activity_type_desc,FIELgD,FIELD
423.address_one,u723 GAGEL AVE,723 GAGEL AVE
1150.address_one,10150 aBROOKRIDGE VILLAGE BLVD,10150 BROOKRIDGE VILLAGE BLVD
4012.request_date,2020/11/30 05:00:00+0,2020/11/30 05:00:00+00
2241.activity_type_desc,FIEDL,FIELD
4668.personpremise,FIRST WTCH,FIRST WATCH
608.personpremise,UO F L HEALTH PEACE CTR.,U OF L HEALTH PEACE CTR.
1526.request_date,2020/07/2803:59:59+00,2020/07/28 03:59:59+00
2871.activity_date,f2020/08/26 03:59:59+00,2020/08/26 03:59:59+00
4503.activity_date,2020/11/13 050:0:00+00,2020/11/13 05:00:00+00
1311.activity_date,2020/04/22 03:59:5+00,2020/04/22 03:59:59+00
11.activity_type_desc,xFIELD,FIELD
3031.activity_type_desc,FdIELD,FIELD
4315.address_one,3023 RCUMS LN,3023 CRUMS LN
698.address_one,4401 CAN ERUN RD,4401 CANE RUN RD
3229.personpremise,RUST FURNITUsRE,RUST FURNITURE
1364.address_one,1283i BARDSTOWN RD,1283 BARDSTOWN RD
3446.activity_date,2020/09/1803:59:59+00,2020/09/18 03:59:59+00
2647.address_one,4401 bCANE RUN RD,4401 CANE RUN RD
4686.request_date,2020/08/14 03:59u:59+00,2020/08/14 03:59:59+00
3093.activity_date,2020c/08/25 03:59:59+00,2020/08/25 03:59:59+00
115.activity_date,2020/06/22 03:59d:59+00,2020/06/22 03:59:59+00
1927.personpremise, QUICK FOODMART,B QUICK FOODMART
4058.activity_type_desc,IELD,FIELD
3907.activity_type_desc,FdIELD,FIELD
2287.personpremise,AMVETS OPST 9,AMVETS POST 9
474.request_date,2020/0/09 03:59:59+00,2020/06/09 03:59:59+00
3043.activity_type_desc,FIEDL,FIELD
4685.activity_type_desc,IELD,FIELD
2575.activity_date,2021/01/07 05:00:00+0,2021/01/07 05:00:00+00
1085.personpremise,EMW WOMEN SURGICAL CENTER,EMW WOMEN' SURGICAL CENTER
4564.activity_type_desc,FIEDL,FIELD
1046.request_date,2020/06/29 03:5:59+00,2020/06/29 03:59:59+00
167.activity_type_desc,IFELD,FIELD
4077.activity_type_desc,FsIELD,FIELD
1037.request_date,2020/q05/18 03:59:59+00,2020/05/18 03:59:59+00
345.activity_type_desc,mFIELD,FIELD
3887.address_one,9712 ORMSBY STATION RD,9721 ORMSBY STATION RD
1103.address_one,91f10 DANBY CT,9110 DANBY CT
1941.request_date,2020/06/22 03:5959+00,2020/06/22 03:59:59+00
464.activity_type_desc,IELD,FIELD
4151.request_date,2021/02/16 05:00:000+0,2021/02/16 05:00:00+00
2839.personpremise,METROPOLTIIAN VETERINARY,METROPOLITIAN VETERINARY
322.personpremise,ERSIDENT,RESIDENT
4103.request_date,2020/11/24 050:0:00+00,2020/11/24 05:00:00+00
3786.address_one,3022 PORLTAND AVE,3022 PORTLAND AVE
2544.activity_date,220/07/31 03:59:59+00,2020/07/31 03:59:59+00
3233.activity_type_desc,FILED,FIELD
2308.activity_date,2020/11/16 05:0:00+00,2020/11/16 05:00:00+00
2071.address_one,4121 SHEBLYVILLE RD C,4121 SHELBYVILLE RD C
3951.request_date,2020/11/05 05:00:0000,2020/11/05 05:00:00+00
3148.personpremise,RjOOSTERS,ROOSTERS
4547.activity_type_desc,FIEDL,FIELD
1583.request_date,2020/05/04 0:359:59+00,2020/05/04 03:59:59+00
1933.personpremise,LDI,ALDI
1597.activity_date,2020/05/22 03:59q:59+00,2020/05/22 03:59:59+00
505.activity_date,2020/09/16 3:59:59+00,2020/09/16 03:59:59+00
4209.activity_date,2021/03/10 05:0000+00,2021/03/10 05:00:00+00
2349.request_date,020/08/03 03:59:59+00,2020/08/03 03:59:59+00
1044.personpremise,OWL CREK SUBDIVISION,OWL CREEK SUBDIVISION
1209.personpremise,MV TRANSOPRTATION,MV TRANSPORTATION
2627.activity_date,2020/111/1 05:00:00+00,2020/11/11 05:00:00+00
4340.activity_date,021/02/05 05:00:00+00,2021/02/05 05:00:00+00
459.activity_type_desc,FEILD,FIELD
1712.activity_date,2200/04/27 03:59:59+00,2020/04/27 03:59:59+00
3934.request_date,2020/10/28f 03:59:59+00,2020/10/28 03:59:59+00
4225.activity_date,2200/11/12 05:00:00+00,2020/11/12 05:00:00+00
3580.personpremise,WAYSIDE CHRISTkIAN MISSION,WAYSIDE CHRISTIAN MISSION
1076.activity_type_desc,FELD,FIELD
1117.activity_date,2020/g04/29 03:59:59+00,2020/04/29 03:59:59+00
2996.personpremise,MOE'S SOUTHWETS GRILL,MOE'S SOUTHWEST GRILL
240.activity_type_desc,FInELD,FIELD
4102.personpremise,BEST BUoY,BEST BUY
2372.activity_type_desc,FEILD,FIELD
1295.address_one,13401 DIXIE HWlY,13401 DIXIE HWY
3097.request_date,2020/09/02 0:359:59+00,2020/09/02 03:59:59+00
1940.request_date,2020/04/03 03:59:59l+00,2020/04/03 03:59:59+00
22.address_one,4041 TAkYLORSVILLE RD,4041 TAYLORSVILLE RD
61.activity_type_desc,xFIELD,FIELD
1629.request_date,020/04/24 03:59:59+00,2020/04/24 03:59:59+00
2531.activity_type_desc,IELD,FIELD
4057.request_date,2020/11/21 05:o00:00+00,2020/11/21 05:00:00+00
1954.personpremise,ROOTERS,ROOSTERS
274.activity_type_desc,FEILD,FIELD
3671.activity_date,2020/07/25 03:l59:59+00,2020/07/25 03:59:59+00
3902.activity_date,2020/04/20 3:59:59+00,2020/04/20 03:59:59+00
4179.personpremise,TURNINGP OINTE BRANDS,TURNING POINTE BRANDS
4157.request_date,2021/0/421 03:59:59+00,2021/04/21 03:59:59+00
4643.personpremise,CIRCLE K #4703k234,CIRCLE K #4703234
1788.activity_type_desc,FIED,FIELD
3640.address_one,6312G REENWOOD RD,6312 GREENWOOD RD
1214.address_one,2500 DIXI EHWY,2500 DIXIE HWY
808.activity_date,2020/06/0 03:59:59+00,2020/06/30 03:59:59+00
1097.personpremise,BSICUIT BELLY,BISCUIT BELLY
2890.activity_date,2020/10/28o 03:59:59+00,2020/10/28 03:59:59+00
426.personpremise,DAIRY QEEN,DAIRY QUEEN
617.activity_type_desc,FIEDL,FIELD
895.address_one,13 W MARKET ST,136 W MARKET ST
226.activity_type_desc,FILD,FIELD
4695.activity_type_desc,FILD,FIELD
4297.activity_date,2020/12/09 05:b00:00+00,2020/12/09 05:00:00+00
2982.activity_date,2020/08/01 03:5:59+00,2020/08/01 03:59:59+00
4359.personpremise,BOWMAN FIELD WIEN & SPIRITS,BOWMAN FIELD WINE & SPIRITS
2914.request_date,2020/08/20 03:59:95+00,2020/08/20 03:59:59+00
2227.request_date,2020/a10/16 03:59:59+00,2020/10/16 03:59:59+00
4169.request_date,020/04/02 03:59:59+00,2020/04/02 03:59:59+00
3652.address_one,7426 OLqD 3RD STREET RD,7426 OLD 3RD STREET RD
4400.activity_date,2021/07/0103:59:59+00,2021/07/01 03:59:59+00
4312.personpremise,DOKSER MANOR,DOSKER MANOR
1596.request_date,2020/04/03 03:59:95+00,2020/04/03 03:59:59+00
4071.activity_date,2021/0/104 05:00:00+00,2021/01/04 05:00:00+00
4436.address_one,12206 SHELxBYVILLE RD,12206 SHELBYVILLE RD
4289.activity_type_desc,IELD,FIELD
4379.personpremise,EUROFINS MICROBIOLOGY LABORATOREIS,EUROFINS MICROBIOLOGY LABORATORIES
2509.personpremise,HIDEOUTPIZZARIA,HIDEOUT PIZZARIA
1231.activity_type_desc,FILD,FIELD
564.activity_type_desc,FILD,FIELD
234.personpremise,TARGET PIZZAHUT EXPRESS,TARGET PIZZA HUT EXPRESS
1102.personpremise,RESIiDENT,RESIDENT
4189.address_one,2400 W MARKET sST,2400 W MARKET ST
3679.personpremise,RKOGER L-753,KROGER L-753
1298.activity_date,2020/07/22 03:5:59+00,2020/07/22 03:59:59+00
1889.activity_date,2020/07/220 3:59:59+00,2020/07/22 03:59:59+00
3311.address_one,3600 SPRINGHURST BLxVD,3600 SPRINGHURST BLVD
2704.activity_date,2020/1202 05:00:00+00,2020/12/02 05:00:00+00
29.address_one,430 W rMUHAMMAD ALI BLVD,430 W MUHAMMAD ALI BLVD
4476.personpremise,FANATISC,FANATICS
1614.address_one,3909 CHENOETH SQUARE,3909 CHENOWETH SQUARE
2935.address_one,4200 SCHMITT AVE***,4200 SCHMITT AVE
2734.address_one,27077 TH ST RD,2707 7TH ST RD
3466.address_one,4632 HENDRoIK DR,4632 HENDRIK DR
1586.request_date,2020/08/07 035:9:59+00,2020/08/07 03:59:59+00
2595.activity_date,2020/09/02 0g3:59:59+00,2020/09/02 03:59:59+00
829.activity_type_desc,FIED,FIELD
4304.activity_date,20210/1/25 05:00:00+00,2021/01/25 05:00:00+00
2206.address_one,2912i BROWNSBORO RD,2912 BROWNSBORO RD
4598.address_one,7450 JEFFERSNO BLVD,7450 JEFFERSON BLVD
3928.personpremise,HOME DPOT,HOME DEPOT
442.activity_type_desc,FIEDL,FIELD
1728.personpremise,RIVE RROAD SHELL,RIVER ROAD SHELL
1352.activity_date,020/05/14 03:59:59+00,2020/05/14 03:59:59+00
1681.personpremise,CARDIAL ALUMINUM,CARDINAL ALUMINUM
1890.address_one,4923 OUTER LcOOP,4923 OUTER LOOP
4085.personpremise,TzHE LIQUOR BARRELL,THE LIQUOR BARRELL
3777.activity_type_desc,FIEuLD,FIELD
943.request_date,2020/05/19 03:59:m59+00,2020/05/19 03:59:59+00
1623.activity_date,2020/06/10 3:59:59+00,2020/06/10 03:59:59+00
1033.request_date,2020/05/12 03:59:590+0,2020/05/12 03:59:59+00
3630.activity_date,020/11/23 05:00:00+00,2020/11/23 05:00:00+00
2796.activity_type_desc,mFIELD,FIELD
2179.personpremise,CUNNINGHAM'S CREESIDE,CUNNINGHAM'S CREEKSIDE
2909.request_date,2020/08/10 03:5:959+00,2020/08/10 03:59:59+00
2964.address_one,937P HILLIPS LN,937 PHILLIPS LN
3802.activity_type_desc,IFELD,FIELD
1408.request_date,2020/0/24 03:59:59+00,2020/03/24 03:59:59+00
2241.request_date,20c20/12/12 05:00:00+00,2020/12/12 05:00:00+00
1176.address_one,4156 TAYLORBLVD.,4156 TAYLOR BLVD.
3795.activity_date,2020/10/17 0:359:59+00,2020/10/17 03:59:59+00
1061.activity_type_desc,FImELD,FIELD
2617.personpremise,lWAGNER'S PHARMACY,WAGNER'S PHARMACY
4560.activity_date,2020/11/18 05:00:0+000,2020/11/18 05:00:00+00
1242.request_date,2020/07/1w5 03:59:59+00,2020/07/15 03:59:59+00
2327.activity_type_desc,IELD,FIELD
1631.address_one,9701 IDXIE HWY,9701 DIXIE HWY
3161.activity_date,2020/10/20 03:59:5+900,2020/10/20 03:59:59+00
3552.request_date,2020/1j1/17 05:00:00+00,2020/11/17 05:00:00+00
3257.activity_date,2020/11/11 05:0:000+00,2020/11/11 05:00:00+00
1576.personpremise,MR G'S SPORT BAR,MR G'S SPORTS BAR
2336.personpremise,INDI'S RSETAURANT,INDI'S RESTAURANT
3298.activity_date,2020/09/25 03:59:59+0,2020/09/25 03:59:59+00
340.activity_date,202004/15 03:59:59+00,2020/04/15 03:59:59+00
3581.personpremise,JOSEPH'SSALON AND SPA,JOSEPH'S SALON AND SPA
3354.address_one,2930 SIXMILE LN,2930 SIX MILE LN
344.request_date,2020/04/17 035:9:59+00,2020/04/17 03:59:59+00
1847.activity_type_desc,yFIELD,FIELD
1241.address_one,731s1 JEFFERSON BLVD,7311 JEFFERSON BLVD
313.activity_type_desc,IELD,FIELD
858.activity_date,2020/4/16 03:59:59+00,2020/04/16 03:59:59+00
2957.request_date,200/07/30 03:59:59+00,2020/07/30 03:59:59+00
458.personpremise,RESIDENEC,RESIDENCE
1197.address_one,3017 RIVE RRD,3017 RIVER RD
4371.personpremise,NEPHROLOGY ASSOCIAfTES OF KENTUCKY PSC,NEPHROLOGY ASSOCIATES OF KENTUCKY PSC
1226.address_one,220 BASHFORD MANOR LN,2020 BASHFORD MANOR LN
4210.personpremise,VE'S PIZZA,EVE'S PIZZA
4457.address_one,250 BARDSTOWN RD,1250 BARDSTOWN RD
3686.activity_type_desc,FIEcLD,FIELD
2597.request_date,2020/09/04 03:595:9+00,2020/09/04 03:59:59+00
1592.personpremise,MASSEY BOKO,MASSEY BOOK
1628.activity_date,2020/04/15 0w3:59:59+00,2020/04/15 03:59:59+00
3390.request_date,2020/11/18 0500:00+00,2020/11/18 05:00:00+00
3272.activity_date,2020/08/12 03:59:59+00***,2020/08/12 03:59:59+00
3757.request_date,2021/05/03 03:9:59+00,2021/05/03 03:59:59+00
2255.request_date,2020/10/24 0:359:59+00,2020/10/24 03:59:59+00
303.request_date,2020/05/27 03:59:59+0b0,2020/05/27 03:59:59+00
1159.activity_type_desc,FIEDL,FIELD
3935.address_one,73 GAGEL AVE,723 GAGEL AVE
2150.address_one,4106 BSHOP LN,4106 BISHOP LN
3677.activity_date,202r0/08/15 03:59:59+00,2020/08/15 03:59:59+00
178.activity_type_desc,FELD,FIELD
2564.request_date,2020/08/29 03:59:95+00,2020/08/29 03:59:59+00
4457.request_date,2020/11/12 05:00:0+00,2020/11/12 05:00:00+00
3691.personpremise,ARINO,SARINO
2213.activity_date,2020/11/18 05:00:00m+00,2020/11/18 05:00:00+00
3102.activity_type_desc,FILED,FIELD
76.address_one,3151 EPE WEE REESE RD,3151 PEE WEE REESE RD
1071.activity_type_desc,FELD,FIELD
621.activity_type_desc,FIELzD,FIELD
622.activity_type_desc,FIfELD,FIELD
1834.address_one,9127m GALENE DRIVE,9127 GALENE DRIVE
4186.address_one,1911W BROADWAY,1911 W BROADWAY
4379.request_date,2020/12/04 0:00:00+00,2020/12/04 05:00:00+00
4279.address_one,64h00 GREENWOOD RD,6400 GREENWOOD RD
3583.request_date,2020/b12/03 05:00:00+00,2020/12/03 05:00:00+00
4188.activity_type_desc,FIEfLD,FIELD
2930.request_date,2200/10/12 03:59:59+00,2020/10/12 03:59:59+00
2349.address_one,0563 DIXIE HWY,10563 DIXIE HWY
1669.activity_date,2020/09/29 03:59:5+00,2020/09/29 03:59:59+00
2009.activity_date,2020/08/27 03:59d:59+00,2020/08/27 03:59:59+00
810.request_date,2020/05/20 03:59:59+n00,2020/05/20 03:59:59+00
3538.activity_date,2020/11/10 05:00:00+00***,2020/11/10 05:00:00+00
4679.request_date,2021/03/08 05r:00:00+00,2021/03/08 05:00:00+00
1959.address_one,032 E CHESTNUT ST,1032 E CHESTNUT ST
1685.activity_date,2020/04/20 03:59:95+00,2020/04/20 03:59:59+00
818.activity_type_desc,FIELaD,FIELD
2728.personpremise,CAPATIN'S QUARTERS,CAPTAIN'S QUARTERS
915.activity_type_desc,FIELcD,FIELD
1207.address_one,5117 ANTLE sDR,5117 ANTLE DR
3090.activity_date,2020/08/20 0359:59+00,2020/08/20 03:59:59+00
180.request_date,2020/04/21 03k:59:59+00,2020/04/21 03:59:59+00
2252.address_one,5202 PRESTON HWY,2502 PRESTON HWY
3359.activity_type_desc,FEILD,FIELD
47.request_date,2020/05/2 03:59:59+00,2020/05/26 03:59:59+00
1199.activity_date,2020/05/05 u03:59:59+00,2020/05/05 03:59:59+00
3519.address_one,1739 BERRYB LVD,1739 BERRY BLVD
1796.personpremise,TWINS GeROOMING,TWINS GROOMING
1806.personpremise,NHK SPRNGS,NHK SPRINGS
346.personpremise,CONSTRUCTIO NSITE,CONSTRUCTION SITE
3230.activity_date,2020/07/03 03l:59:59+00,2020/07/03 03:59:59+00
3008.activity_type_desc,FIED,FIELD
1497.address_one,3430 TAYLOR BLVjD,3430 TAYLOR BLVD
3801.address_one,62l20 OLD SHEPHERDSVILLE RD,6220 OLD SHEPHERDSVILLE RD
1894.address_one,2961 BRECKNRIDGE LN,2961 BRECKENRIDGE LN
1751.request_date,2020/06/10 03:5:959+00,2020/06/10 03:59:59+00
4105.activity_date,2020/11/29 05:0u0:00+00,2020/11/29 05:00:00+00
914.activity_type_desc,FEILD,FIELD
2798.personpremise,MELLWOOD RAT CENTER,MELLWOOD ART CENTER
1570.address_one,76 S 37TH ST,716 S 37TH ST
490.personpremise,UNKONWN,UNKNOWN
3929.activity_type_desc,FIEDL,FIELD
2921.activity_date,2020/09/25 30:59:59+00,2020/09/25 03:59:59+00
2672.activity_type_desc,IELD,FIELD
2813.activity_type_desc,FIED,FIELD
85.activity_date,2020/04/22 03:5:59+00,2020/04/22 03:59:59+00
1022.address_one,1201 SHELBYVILLE RD,12001 SHELBYVILLE RD
73.request_date,020/04/07 03:59:59+00,2020/04/07 03:59:59+00
1412.request_date,2020/04/08 30:59:59+00,2020/04/08 03:59:59+00
2421.personpremise,CAwRBIDE INDUSTRIES,CARBIDE INDUSTRIES
1891.activity_type_desc,FILED,FIELD
1210.request_date,2020/06/02 03:p59:59+00,2020/06/02 03:59:59+00
2581.request_date,2020/07/2 803:59:59+00,2020/07/28 03:59:59+00
1508.address_one,362 2MALL RD,3622 MALL RD
889.activity_type_desc,FIEDL,FIELD
355.address_one,1016 E WASHINTON ST,1016 E WASHINGTON ST
4194.activity_type_desc,FEILD,FIELD
4145.request_date,2020a/12/31 05:00:00+00,2020/12/31 05:00:00+00
667.activity_type_desc,FIEqLD,FIELD
3125.personpremise,AT & T STOxRE,AT & T STORE
2063.personpremise,OLD SHCOOL NY PIZZA,OLD SCHOOL NY PIZZA
852.activity_date,2020/06/30c 03:59:59+00,2020/06/30 03:59:59+00
3670.address_one,1573 BARSTOWN RD,1573 BARDSTOWN RD
1435.personpremise,WHITECASTLE #28,WHITE CASTLE #28
3622.activity_type_desc,FIELnD,FIELD
2889.address_one,3900 jSHELBYVILLE RD,3900 SHELBYVILLE RD
1259.address_one,1200STORY AVE,1200 STORY AVE
3894.personpremise,MORTENSEN DvENTAL,MORTENSEN DENTAL
763.personpremise,oOXMOOR TOYOTA,OXMOOR TOYOTA
873.request_date,2020/05/01 03:59:5+900,2020/05/01 03:59:59+00
4424.personpremise,NORON HEART SPECIALISTS,NORTON HEART SPECIALISTS
2690.activity_date,2020/10/11 0:359:59+00,2020/10/11 03:59:59+00
4271.address_one,9525 TALORSVILLE RD,9525 TAYLORSVILLE RD
4191.address_one,702 SOUTHSIDE DR,7021 SOUTHSIDE DR
1306.activity_date,202/004/16 03:59:59+00,2020/04/16 03:59:59+00
4658.request_date,221/01/09 05:00:00+00,2021/01/09 05:00:00+00
2799.activity_date,2020/07/1 703:59:59+00,2020/07/17 03:59:59+00
1424.request_date,2020/04/20 0:359:59+00,2020/04/20 03:59:59+00
197.activity_type_desc,IELD,FIELD
782.request_date,202/007/06 03:59:59+00,2020/07/06 03:59:59+00
353.activity_type_desc,FIEDL,FIELD
12.activity_date,2020/04/13 03:59:9+00,2020/04/13 03:59:59+00
2570.activity_type_desc,FIED,FIELD
897.address_one,4f445 CANE RUN RD,4445 CANE RUN RD
4452.request_date,2021/3/06 05:00:00+00,2021/03/06 05:00:00+00
1037.activity_type_desc,FILD,FIELD
3547.activity_type_desc,bFIELD,FIELD
3660.personpremise,POST OFICE,POST OFFICE
4489.personpremise,OB EVANS #437,BOB EVANS #437
2162.activity_type_desc,FIEDL,FIELD
4271.request_date,020/12/02 05:00:00+00,2020/12/02 05:00:00+00
213.address_one,7100 WINSTEADD R,7100 WINSTEAD DR
4054.personpremise,'DOLLY'S RESTAURANT & LOUNGE,O'DOLLY'S RESTAURANT & LOUNGE
2930.address_one,253 BLANKENBAKER PKWY,2531 BLANKENBAKER PKWY
2622.personpremise,FAMILdY DOLLAR #28914,FAMILY DOLLAR #28914
1744.address_one,1b36 W MARKET ST,136 W MARKET ST
299.activity_date,2020i/04/16 03:59:59+00,2020/04/16 03:59:59+00
1397.address_one,1705 STEVENS VE,1705 STEVENS AVE
941.activity_date,2020/0/515 03:59:59+00,2020/05/15 03:59:59+00
3228.activity_type_desc,FIEDL,FIELD
3821.personpremise,PRETT YNAILS & SPA,PRETTY NAILS & SPA
4053.address_one,2301 GOLSMITH LN,2301 GOLDSMITH LN
1059.personpremise,ROGER L-327,KROGER L-327
3397.address_one,3650 DUTwCHMANS LN,3650 DUTCHMANS LN
3340.activity_date,200/09/14 03:59:59+00,2020/09/14 03:59:59+00
4382.request_date,220/12/09 05:00:00+00,2020/12/09 05:00:00+00
3538.address_one,250 CRITTENDEN DR,2850 CRITTENDEN DR
500.request_date,2020/04/20 03:5y9:59+00,2020/04/20 03:59:59+00
981.personpremise,DOLLAR GENERAL 538,DOLLAR GENERAL #538
4531.activity_date,2021/0r1/27 05:00:00+00,2021/01/27 05:00:00+00
3950.personpremise,MCDONALDS,MCDONALD'S
1897.activity_date,2020/06/29 03:59:5+00,2020/06/29 03:59:59+00
2816.address_one,1909 DIXIE HWY,11909 DIXIE HWY
3584.activity_date,2020/12/03 050:0:00+00,2020/12/03 05:00:00+00
4664.activity_date,2021/03/q02 05:00:00+00,2021/03/02 05:00:00+00
2257.activity_type_desc,FIELmD,FIELD
21.activity_type_desc,FIELeD,FIELD
1476.address_one,17t53 W HILL ST,1753 W HILL ST
2803.activity_type_desc,IELD,FIELD
773.activity_date,202g0/05/20 03:59:59+00,2020/05/20 03:59:59+00
182.activity_date,2020/04/22 0:359:59+00,2020/04/22 03:59:59+00
2281.activity_type_desc,FELD,FIELD
2318.personpremise,BAXTE AVENUE THEATRES,BAXTER AVENUE THEATRES
1974.activity_date,2020/08/27 03:9:59+00,2020/08/27 03:59:59+00
4109.personpremise,FRANK'S MEAT & PRODCE DELI,FRANK'S MEAT & PRODUCE DELI
4266.request_date,2021/02/40 05:00:00+00,2021/02/04 05:00:00+00
2065.activity_type_desc,FIELdD,FIELD
1149.address_one,"9451 WESTPORT RODA, UNIT 101","9451 WESTPORT ROAD, UNIT 101"
1184.activity_type_desc,FIEDL,FIELD
1326.personpremise,LOWES HOME IMPROVEMENT,LOWE'S HOME IMPROVEMENT
1751.activity_date,020/06/11 03:59:59+00,2020/06/11 03:59:59+00
1918.activity_date,020/10/23 03:59:59+00,2020/10/23 03:59:59+00
3934.activity_type_desc,IELD,FIELD
2765.request_date,2020/08/03 03:5:59+00,2020/08/03 03:59:59+00
1269.activity_date,2020/04/30 03:59:9+00,2020/04/30 03:59:59+00
3351.address_one,11500 CEDARDAEL RD,11500 CEDARDALE RD
3737.address_one,980 DIXIE HWY,3980 DIXIE HWY
4256.activity_date,2020/12/30 05:0:000+00,2020/12/30 05:00:00+00
4628.request_date,2021/01/20 b05:00:00+00,2021/01/20 05:00:00+00
872.activity_type_desc,FIEDL,FIELD
3321.address_one,110 ROCKFORD LN,3110 ROCKFORD LN
213.personpremise,wPARKER-HANNIFIN CORPORATION,PARKER-HANNIFIN CORPORATION
121.personpremise,ENNY'S,DENNY'S
2497.request_date,2020/07/25 03:59:5900,2020/07/25 03:59:59+00
1865.request_date,2020/11/09 0u5:00:00+00,2020/11/09 05:00:00+00
4063.activity_date,p2020/06/17 03:59:59+00,2020/06/17 03:59:59+00
4022.request_date,20210/4/21 03:59:59+00,2021/04/21 03:59:59+00
501.activity_date,2e020/04/21 03:59:59+00,2020/04/21 03:59:59+00
497.personpremise,BOYS AVEN,BOYS HAVEN
675.personpremise,ONSUBS,VONSUBS
3869.activity_date,2020/05/19 03:59:59a+00,2020/05/19 03:59:59+00
2320.activity_date,2020/11/240 5:00:00+00,2020/11/24 05:00:00+00
1.address_one,7916 FEGENBUSHLANE,7916 FEGENBUSH LANE
3603.request_date,202103/18 03:59:59+00,2021/03/18 03:59:59+00
764.request_date,020/05/05 03:59:59+00,2020/05/05 03:59:59+00
918.activity_date,200/07/05 03:59:59+00,2020/07/05 03:59:59+00
3835.activity_type_desc,FIElLD,FIELD
1581.activity_type_desc,FELD,FIELD
2831.personpremise,HTORNTONS #154,THORNTONS #154
2536.activity_type_desc,FqIELD,FIELD
1172.activity_type_desc,IFELD,FIELD
2570.address_one,9308 CANE RUmN RD,9308 CANE RUN RD
512.address_one,651 DIXIE HWY,6651 DIXIE HWY
3914.request_date,2020/05/04 03:5:959+00,2020/05/04 03:59:59+00
1814.personpremise,THIRSTY HOUD,THIRSTY HOUND
2483.request_date,2020/11/30 050:0:00+00,2020/11/30 05:00:00+00
1739.request_date,2020/05/13 03:59:59+00***,2020/05/13 03:59:59+00
4609.activity_date,2021/01/11e 05:00:00+00,2021/01/11 05:00:00+00
1279.activity_date,2020/5/15 03:59:59+00,2020/05/15 03:59:59+00
