object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1418,695789,2020/04/16 03:59:59+00,RUMPKE,1101 W OAK ST,40210.0,2020/04/i17 03:59:59+00,7,FIELD
1419,695796,2020/04/16 03:59:59+00,OWENS & MINOR,"6201 GLOBAL DISTRIBUTIN WAY, UNIT 101",40228.0,2020/04/17 03:59:59+00,7,FIELD
1420,695930,2020/04/16 03:59:59+00,RESIDENT,1687 HAROLD AVE,40210.0,2020/04/16 03:59:59+00,7,FIELD
1421,695956,2020/04/20 03:5a9:59+00,HI-WAY MUFFLER SALES,f7119 CANE RUN RD,40258.0,2020/04/22 03:59:59+00,7,FIELD
1422,695986,2020/04/20 03:59:59+00,KROGER L-350,5533 NEW CUT RD,40214.0,2020/04/200 3:59:59+00,7,FIELD
1423,696171,2020/04/20 03:59:59+00,USP,911 GRADE LN,40213.0,2020/04/2 203:59:59+00,7,FIELD
1424,696244,2020/04/20 0:359:59+00,RESIDENT,1732 S 23RD ST,40210.0,2020/04/22 03:59:59+00,7,FIELD
1425,696338,2020/04/24 03:59:59+00,LC INDUSTRIES,1900 BROWSNBORO RD,40206.0,2020/05/05 03:59:59+00,7,FEILD
1426,696373,2020/04/14 03:59:59+00,APARTMENT COMPLEX,2505 BROWNSBORO RD,40206.0,2020/04/22 03:59:59+00,7,FIELD
1427,696462,2020/04/24 03:59:59j+00,TACO BELL,10701 DIXIE HWY,40272.0,2020/04/25 03:59:59+00,7,FIELD
1428,696545,2020/04/27 03:59:59+00,RESIDENT,1921 ELA DRIVE,40218.0,2020/04/30 03:59:59+00,7,FELD
1429,696552,2020/04/27 03:59:59+00,CPATAIN D''S #3329,3937 DIXIE HWY,40217.0,2020/04/28 03:59:59+00,7,FIELD
1430,696594,2020/04/24 03:59:59+00,RESIDENCE,635 CALDWELL ST,40203.0,2020/04/28 03x:59:59+00,7,FIELD
1431,696613,2020/04/28 03:59:59+00,DOLLAR TREE #2410,9206 WESTPORT RD,40242.0,2020/04/28 03a:59:59+00,7,FIELD
1432,696655,2020/0/28 03:59:59+00,THE PLANT KINGDOM,4101 WESTPORT RD,40207.0,2020/04/29 03:59:59+00,7,FIELD
1433,696956,2020/05/01 03:59:59+00,BB&T,2501 W BROADWAY,40211.0,2020/05/02 03:59:59+00,7,FIELD
1434,697054,2020/05/04 03:59:59+00,RESIDENT,"6605 STRAWBERRY LANE, UNIT 3",40214.0,2020/05/05 03:59:59+00,7,FIELD
1435,701982,2020/07/22 03:59:59+00,WHITECASTLE #28,7200 CEDAR SPRINGS BLVD,40291.0,2i020/07/24 03:59:59+00,7,FIELD
1436,697892,2020/05/18 03:59:59+00,LOWES,4930 NORTON HEALTHCARE BLVD,40241.0,2020/05/19 03:59:59+00,7,FIELD
1437,697948,2020/05/16 03:59:59+00,DOLLRA TREE,1850 S HURSTBOURNE LN,40220.0,2020/05/18 03:59:59+00,7,FIELD
1438,698121,2020/05/21 03:59:59+00,RALYL''S,3455 TAYLOR BLVD,40215.0,2020/05/21 03:59:59+00,7,IELD
1439,698173,2020/05/21 03:95:59+00,CHICAGO STEAK & LEMONADE,4501 CANE RUN RD,40216.0,2020/05/o21 03:59:59+00,7,FIELD
1440,698198,2020/05/22 03:59:59+00,LOWES,9800 PRESTON CROSSING BLDV,40229.0,2020/06/12 03:59:59+00,7,FIELD
1441,698218,2020/05/22 03:59:59+00,ALDI #38,3442 PRESTON HWY,40217.0,2020/05/28 03:59:59+00,7,FIELD
1442,698874,2020/06/04 03:59:59+00,THORNTONS#60,3320 PRESTON HYW,40213.0,2020/06/5 03:59:59+00,7,FIELD
1443,699348,2020/06/15 03:59:59+00,SUBWAY,4801 OUTER LOOP,40219.0,2020/06/30 03:59:59+00,7,FIELD
1444,699780,2020/06/23 03:59:59+00,HOME DEPOT,8232 PRESTON HWY,40219.0,2020/07/14 03:59:59+00,7,FIELD
1445,699965,2020/06/25 03:59:59+00,MCDONALD'S #1,8600 DIXIE HWY,40258.0,2020/06/2 03:59:59+00,7,FIELD
1446,700197,n2020/06/29 03:59:59+00,MIRAGE SALON & SPA,6705 SHEPHERDSVILLE RD,40228.0,2020/08/17 03:59:59+00,7,FIELkD
1447,701019,2020/07/11 03:59:59+00,KROGER L-292,7509 TERRY RD,40258.0,2020/07/14 03:59:59+00,7,FIELD
1448,701037,2020/07/11 03:59:59+00,KROGER L-346,3039 BRECKENRIDGE LN,40220.0,2020/07/4 03:59:59+00,7,FIELD
1449,701084,2020/07/13 03:59:59+00,HOME EPOT,6840 DIXIE HWY,40258.0,200/08/10 03:59:59+00,7,FIELD
1450,701085,2020/07/13 03:59:59+00,DOLLAR TREE #1932,5713 PRESTONHWY,40219.0,2020/07/15 03:59:59+00,7,FIELD
1451,701153,2020/07/14 0:59:59+00,HOME DEPOT,6840 DIXIE HWY,40258.0,2020/08/10 03:59:59+00,7,FIELD
1452,701212,2020/07/14 03:59:59+00,KROGER L-785,4915 DIXIE HWY,40216.0,2020/07/15 03:59:59+00,7,FIELD
1453,701224,2020/07/14 03:59:59+00,WALMART #526,3760 DIANN MARIE RD,40241.0,2020/07/15 03:59:59+00,7,FIELD
1454,701497,2020/07/16 03:59:59+00,KROGER L-743,12611 TAYLORSVILLE RD,40299.0,2020/07/17 03:59:59+00,7,FIELD
1455,701514,2020/07/17 03:59:59+00,CHEER CENTRAL ATHLETICS,7901 3RD ST RD,40214.0,2020/09/11 03:59:59+00,7,FIELD
1456,701674,2020/07/17 03:59:59+00,BONNIE & CLYDE'S PIZZA,7611 DIXIE HWY,40258.0,2020/07/21 03:59:59+00,7,FIELD
1457,701797,2020/07/20 03:59:59+00,WALMART #4524,5360 DIXIE HWY,40216.0,202007/22 03:59:59+00,7,IELD
1458,701822,2020/07/20 03:59:59+00,CIRCLE K #4703232,13401 DIXIE HWY,40272.0,2020/07/22 03:59:59+00,7,vFIELD
1459,702128,2020/07/25 03:59:59+00,TACO BELL LONG JOHN SILVERS,1805 BLANKENBAKER PKWY,40299.0,2020/07/27 03:59:59+00,7,FIELD
1460,702253,2020/07/25 03:59:59+00,MY TESTMOIES CHILD DEVELOPMENT CENTER,6210 SHEPHERDSVILLE RD,40228.0,2020/07/28 03:59:59+00,7,FILED
1461,702561,2002/07/30 03:59:59+00,KID'S DENTISTREE,5100 OUTER LOOP STE C,40219.0,2020/09/10 03:59:59+00,7,FELD
1462,696391,2020/04/4 03:59:59+00,UPS STORE,9462 BROWNSBORO RD,40241.0,w2020/04/24 03:59:59+00,7,FIELD
1463,702908,2020/08/03 03:59:59+00,TEXAS ROADHOUSE,13321 SHELBYIVLLE RD,40223.0,2020/08/10 03:59:5u9+00,7,FIELD
1464,693637,2020/03v/25 03:59:59+00,FAMILY DOLLAR #28696,036 WILSON AVE,40211.0,2020/03/30 03:59:59+00,7,FIELD
1465,693760,2020/03/26 03:59:59+00,UKNNOWN,409 E MUHAMMAD LI BLVD,40202.0,2020/03/27 03:59:59+00,7,FIELD
1466,693918,2020/03/27 03:59:59+00,DARY DEL #2,2607 S 7TH ST,40215.0,2020/03/2l8 03:59:59+00,7,FIELD
1467,693970,2020/03/27 03:5a9:59+00,GE APPLIANCE,4000 BUECHEL BANK RD,40218.0,2020/03/31 03:59:59+00,7,FIED
1468,694655,2020/04/02 03:59:59+00,UNKNOWN,2716 eDELOR AVE,40217.0,2020/04/03 03:59:59+00,7,FIELD
1469,694869,2020/04/07 03:59:59+00,VALLEY DAIRY FREEZE INC.,10300 DEERING RD,40272.0,2020/04/09 03:59:59+00,7,FIELD
1470,694874,2020/04/07 03:59:59+00,SEA FRESH SEAFOOD RESTAURANT,8129 BARDSTOWN RD,40291.0,2020/04/08 03:59:59+00,7,FIELD
1471,695110,2020/04/08 03:59:59+00,LITTLE CAEARS,3121 S 2ND ST,40208.0,2020/04/09 03:59:59+00,7,FIELD
1472,695126,2020/04/09 03:59:59+00,US,8100 COMMERCE DR,40219.0,2020/4/13 03:59:59+00,7,FIELD
1473,695252,2020/04/10 03:59:59+00,RENTAL HALL BUSINESS,134 OUTER LOOP,40214.0,2020/04/20 03:5:959+00,7,FILED
1474,695301,2020/04/11 03:59:59+00,GRACETEMPLE,970 lPALATKA ROAD,40214.0,2020/04/14 03:59:59+00,7,FIELD
1475,695305,2020/04/11 0d3:59:59+00,HOME DEPOT,6840 DIXIE HIGHWAY,40258.0,2020/04/14 03:59:59+00,7,FIELD
1476,695377,2020/04/08 03:59:59+00,ESIDENT,17t53 W HILL ST,40210.0,2020/04/10 03:59:59+00,7,FIELD
1477,697915,2020/05/18 03:59:59+00,POEPYE''S,723 BARDSTOWN RD,40291.0,2020/05/19 03:59:59+00,7,FIEDL
1478,696396,2020/04/2403:59:59+00,THIRSTY HOUND,7207 FEGENBUSHq LN,40228.0,202v0/05/01 03:59:59+00,7,FIELD
1479,696479,2020/04/21 03:59:59+00,RESIDENCE,6618 MILLER PARK DR,40258.0,2020/04/27 03:59:59+00,7,FIELD
1480,696595,2020/04/24 03:59:59+00,BASKETBALL COURT,1256 LOGAN ST,40204.0,2020/04/28 03:59:59+00,7,FIED
1481,696675,2020/04/29 03:59:59+00,JOHNSON CONTROL,8401 AIR COMMERCE DRIVE,40219.0,2020/04/29 03:59:59+00,7,FIELD
1482,696797,2020/04f/27 03:59:59+00,LORIE'S PACKAGE LIQUORS,2316 W MARKET ST,40212.0,2020/04/28 03:59:g59+00,7,FIELD
1483,697021,2020/05/04 03:59:59+00,WALMART #5418,2020 BASHFORD MANOR LN,40218.0,2020/05/09 03:59:59+00,7,FIELD
1484,697079,202004/30 03:59:59+00,HOMELESS IDS,2027 LYTLE ST,40203.0,2020/05/01 03:59:59+00,7,FIELD
1485,697085,2020/05/05 03:59:59+00,hMARYHURST SCHOOL,1015 DORSEY LN,40223.0,2020/05/06 03:59:59+00,7,FIELD
1486,697113,2020/04/24 03:59:59+00,RESIxDENCE,3603 WINTERLEAF DR,40207.0,2020/05/05 03:59:59+00,7,FIELD
1487,697137,2020/05/05 03:59:59+00,SUBSTANCE USE DISORDER TREATMENT FAC,1700 ACRGO CT,40299.0,2020/05/13 03:59:59+00,7,FIELD
1488,697207,2020/05/04 03:59:59+00,RESIDENCE,8103 CEDAR BROOK DR,40219.0,2020/05/06 03:59:59+00,7,FIELD
1489,697274,2020/05/06 03:59:59+00,PIZZA HUT #013427,6800 OUTER LOOP,40228.0,2020/05/07 03:59:59+00,7,FIELqD
1490,697451,2020/05/110 3:59:59+00,SCULPT6,4167 WESTPORT RD,40207.0,2020/05/12 03:59:59+00,7,FIELD
1491,697514,2020/05/06 03:59:59+00,VENDOR,1101 RIVER RD,40206.0,2020/05/11 03:59:59+00,7,FIELD
1492,697677,2020/05/13 03:59:59+00,IROQUOIS POST OFFCE,4772 ALLMOND AVENUE,40209.0,2020/05/18 03:59:59+00,7,FIELD
1493,697889,2020/05/18 03:59:59+00,UNIO N15,816 KENWOOD DR,40214.0,2020/05/19 03:59:59+00,7,FIELD
1494,697916,2020/05/18 03:59:59+00,STAR FOOD MART,11701 WESTPORT RD,40245.0,20v20/05/19 03:59:59+00,7,FIELD
1495,697917,2020/05/18 03:59:59+00,DOUBLE DRAGON,1255 GOSS AVE,40217.0,2020/05/19 03:95:59+00,7,FIELD
1496,697927,2020/05/18 03:59:59+00,QUALITY INN & SUITES,311 E. GAULBERT AVENUE,40208.0,2020/05/26 03:59:59+00,7,FIELD
1497,698341,2020/05/26 03:59:59+00,DOLLAR GENERAL #12016,3430 TAYLOR BLVjD,40208.0,20200/5/27 03:59:59+00,7,FIELD
1498,698357,2020/05/26 03:59:59+00,SAM''S CLUB #8726,6622 PRESTON HWY,40219.0,2020/06/03 0q3:59:59+00,7,FIELD
1499,698563,2020/05/29 03:59:59+00,DAIRY QUEEN,5516 NATIONAL TURNPIKE,40214.0,2020/06/22 03:59:59+00,7,FIELD
1500,698655,2020/06/01 r03:59:59+00,WALMART #5417,175 OUTER LOOP,40214.0,2020/06/03 03:59:59+00,7,FxIELD
1501,698657,2020/06/01 03:59:59+00,WENDYS,596 DIXIE HWY,40258.0,2020/06/03 03:59:59+00,7,FIELD
1502,698733,2020/06/01 03:59:59+00,CIRCLE K #4703232,13401 DIXIE HWY,40272.0,2020/06/03 03:9:59+00,7,FIELD
1503,698774,2020/06/02 03:59:59+00***,PIC PAC,6629 SOUTHSIDE DR,40214.0,020/06/04 03:59:59+00,7,FIELD
1504,698798,2020/06/03 03:59:59+00,TACO LUCHADOR,938 BAXTER AVE,40204.0,202/06/04 03:59:59+00,7,FIELD
1505,698848,2020/05/210 3:59:59+00,RESIDENCE,723 BROOKLINE AVE,40214.0,2020/05/22 03:59:59+00,7,FIELD
1506,698961,2020/06/08 03:5959+00,DOLLAR TREE #1354,3923S 7TH ST,40216.0,2020/06/09 03:59:59+00,7,FIELD
1507,699215,2020/06/12 03:59:59+00,A & J GENTLY USED APPLICANCE STORE,7300 ST ANDREWS CHURCH RD,40214.0,2020/06/24 03:59:59+00,7,FILD
1508,699380,2020/06/16 03:59:59+00,ANYTIME FITNESS MALL,362 2MALL RD,40218.0,2020/06/16 03:59:59+00,7,FIELD
1509,699409,2020/06/16 03:59:95+00,MESSES,434 S 10TH ST,40203.0,2020/06/19m 03:59:59+00,7,FIELD
1510,699623,2020/06/19 03:59:59+00,JCPENNEY'S,5000 SEHLBYVILLE RD,40207.0,2020/07/08 03:59:59+00,7,FIELD
1511,699936,2020/06/24 03:59:59+00,MEIJER #162,9905 DIXIE HWY,40272.0,2020/06/25 03:59:59+00,7,FIELD
1512,700336,2020/06/29 03:59:59+00,WENDYS,4312 CANE RUN RD,40216.0,2020/06/30 03:59:59+00,7,FIELD
1513,700460,2020/07/01 03:59:59+00,WINNER FURNITURE,2350 DIXIE HWY,40216.0,2020/07/27 03:59:59+00,7,FIELD
1514,700474,2200/07/02 03:59:59+00,OUTBACK STEAKHOUSE #1813,6520 SIGNATURE DR,40213.0,2020/07/b08 03:59:59+00,7,FIELD
1515,700770,2020/07/04 03:59:59+00,CRACKER BARREL #650,11000 DIXIE HWY,40272.0,2020/07/04 03:59:59+00,7,FIELD
1516,701013,2020/07/11 03:59:59+00,KROGER L-292,7509 TERRY RD,40258.0,2020/07/14 03:59:59+00,7,FIEDL
1517,701065,2020/07/11 03:59:59+00,DRIVERS LICENSE BRANCH,4917 DIXIE HWY,40216.0,2020/07/20 03:59:59+00,7,FIEDL
1518,701067,2020/07/11 03:59:59+00,KENTUCKY aKINGDOM,37 PHILLIPS LANE,40209.0,2020/07/16 03:59:59+00,7,FIELD
1519,701073,202/007/13 03:59:59+00,KFC Y052-023,1911 W BROADWAY,40203.0,2020/07/15 03:59:59+00,7,FIELD
1520,697945,2020/05/19 03:59:m59+00,LOWE'S,2100 BASHFORD MANOR LN,40218.0,2020/05/18 03:59:59+00,7,FIELD
1521,701990,2020/07/2 03:59:59+00,THORNTONS #49,11710 DIXIE HWY,40272.0,2020/07/28 03:59:59+00,7,FIELD
1522,698013,2020/05/20 03:59:59+00,RENTAL HOME,18g11 BARDSTOWN RD,40205.0,2020/05/21 03:59:59+00,7,FIELD
1523,698075,2020/05/20 03:59:59+00,DOLLAR GENERAL #2571,8641 PRESTON HWY,40219.0,2020/05/21 03:59:59+00,7,IFELD
1524,702144,2020/07/24 30:59:59+00,PONDEROSA,11470 PRESTON HWY,40229.0,2020/08/21 03:59:59+00,7,FIELD
1525,698174,2020/05/21 03:59:59+00,WALMART 6931,4840 OUTER LOOP,40219.0,2020/05/27 03:59:59+00,7,FIELD
1526,702492,2020/07/2803:59:59+00,DERBY CITY GAMING,4520 POPLAR LEVE LROAD,40213.0,2020/07/30 03:59:59+00,7,FIELD
1527,698354,2020/05/26 03:59:59+00,MCDONALD'S #6834,8220 PRESTON HWY,40219.0,2020/06/02 03:59:59+00,7,IELD
1528,702495,0220/07/28 03:59:59+00,Kl-1 LIQUORS,10525 WATTERSON TRAIL,40299.0,2020/08/05 03:59:59+00,7,FIELD
1529,698472,2020/05/28 03:59:59+00,CIRCLE K #4703311,2911 BARDSTOWN RD,40205.0,2020/06/02 03:59:59+00,7,FIEDL
1530,702611,2020/07/30 03:59:59+00,HITCHING POST INN,7314 FEGENUSH LN,40228.0,2020/08/17 03:59:59+00,7,FIELD
1531,698732,2020/06/01 03:59:59+00,KROGER L-753,1265 GOSS AVE,40217.0,2020/06/02 03:59:59+00,7,FIELD
1532,702717,2020/07/31 03:59:59+00,SUNSHINE BINGO,5712 OUTER LOOP,40219.0,2020/08/26 03:59:59+00,7,FIELD
1533,698734,2020/06/01 03:59:59+00,PRP'S ICE CREAM CORNER,5115 GREENWOOD RD,40258.0,2020/06/03 03:59:59+00,7,FIELD
1534,702719,2020/07/31 03:59:59+00,GE BLDG #3 & BLDG #5,4000 BUECHEL BANK RD UNIT 3,40218.0,2020/08/05 03:59:59+00,7,FIELD
1535,699088,2020/06/10 03:59:59+00,DERBY CITY,4520 POLPAR LEVEL RD,40213.0,2020/06/17 03:59:59+00,7,FIELD
1536,702788,2020/08/03 035:9:59+00,MIKE LINNIG''S RfESTAURANT,9308n CANE RUN RD,40258.0,2020/08/04 03:59:59+0,7,FIELD
1537,699253,2020/06/14 03:59:59+00,FAMILY DOLLAR #22117,532 S 3RD ST,40215.0,2020/06/16 03:59:59+00,7,FIELD
1538,693348,2020/03/24 03:59:59+00,bGE APPLIANCES,4000 BUECHEL BANK RD UNIT 1,40218.0,2020/03/27 03:59:59+00,7,FEILD
1539,699543,2020/06/17 03:59:59+00,THORNTONS #102,9309 TAYLORSVILLE RD,40299.0,2020/06/23 03:59:59+00,7,FIELD
1540,693627,2020/03/25 03:59:59+00,LIBRARY,k301 YORK ST,40203.0,2020/03/26 03:59:59+00,7,FIELD
1541,699927,2020/06/24 03:59:59+00,SUBWAY,10500 DIXIE HWY,40272.0,2020/06/25 03:59:59r+00,7,FIELD
1542,694527,2020/04/03 03:59:59+00,BARBER SHOP,806 E BROADWAY,40204.0,2020/04/03 03:59:59+00,7,FIELD
1543,700288,2020/06/29 03:59:59+00,STOOGES,7123 RGADE LN,40213.0,2020/06/30 03:59:59+00,7,FIELD
1544,694844,2020/04/06 03:59:59+00,BROAD RUN AND TURKEY RUN PAKRS,11551 BARDSTOWN RD,40291.0,2020/04/08 03:59:59+00,7,FIELD
1545,700373,2020/06/30 03:59:59+00,BURGER GIRL DINER,3334 FRANKFORT AVE,40206.0,2020/07/06 03:59:59+00,7,FIELD
1546,694853,2020/04/07 03:59:59+00,RESIDENT,4203 GARVEY CT,40216.0,2020/04/10 03:59:59+00,7,FIELD
1547,700758,2020/07/08 0:59:59+00,SUBAY,3935 S 7TH ST,40216.0,2020/07/09 03:59:59+00,7,FIELD
1548,694954,2020/04/03 03:59:59+00,RESIDENT,4213 W MARKET ST,40212.0,2020/04/06 03:59:59+00,7,FIELD
1549,700768,2020/d07/04 03:59:59+00,BJ'S SPORTS PUB,8238 DIXIE HWY,40258.0,2020/7/04 03:59:59+00,7,IFELD
1550,695101,2020/04/08 03:59:59+00,ROSENBURG REYES MEDICAL,320 W. WOODLAWN AVENEU,40214.0,2020/04/14 03:59:59+00,7,FIELD
1551,701008,2020/07/13 03:59:59+00,HOME DEPOT,6840 DIXIE HWY,40258.0,2020/08/1 03:59:59+00,7,FIELD
1552,695217,2020/04/09 03:59:59+00,JIM DANDY FOOD MART,4902 POPLAR LEVEL RD,40219.0,2020/06/23 03:59:59+00,7,FIELD
1553,701083,2020/07/13 03:59:59+00,KROGER L-350,5533 NEW CUT RD,40214.0,2020/07/31 03:59:59+00,7,FIELD
1554,695260,2020/04/10 03:59:59+00,UPS,8100 AIR COMMERCE DR,40219.0,2020/04/13 03:59:59+00,7,FIELD
1555,701119,2020/07/13 03:59:59+00,THORNTONS #94,1804 BLANKENBAKER PKWY,40299.0,2020/07/16 03:59:59+00,7,FIELD
1556,695273,2020/04/11 03:59:59+00,UPS FLIGHT TRAINING CENTER,802 GRADE LN,40213.0,2020/04/16 03:59:59+00,7,FIELD
1557,701136,2020/7/14 03:59:59+00,LAC GYM,9565 TAYLORSVILLE RD,40299.0,2020/07/15 03:59:59+00,7,FIELD
1558,695690,2020/04/16 03:59:59+00,IGA CROSSROADS MARKET 782,14010 SHELBYVILLE RD,40245.0,2020/04/16 03:59:59+00,7,FIELD
1559,701241,2020/07/14 03:59:59+00,DERBY CITY GAMING,4520 POPLAR LEVEL RD,40213.0,2020/07/17 03:59:59+00,7,FIELD
1560,696049,2020/04/20 03:59:59+00,RESIDENCE,10617 NATIONAL TPKE,40118.0,2020/04/22 03:59:59+00,7,FIELD
1561,701280,2020/07/03 03:59:59+00,WENDYS,4029POPLAR LEVEL RD,40213.0,2020/07/03 03:5:959+00,7,FIELD
1562,696114,2020/04/2103:59:59+00,JIM DANDY'S,4838 POPLAR LEVEL ROAD,40213.0,2020/04/22 03:59:59+00,7,FIED
1563,701468,2020/07/16 03:59:59+00,THORNTONS #41,5318 PRESTON HWY,40213.0,2020/07/24 03:59:59+00,7,FIELD
1564,696127,2020/04/21 03:59:59+00,PRIVATE RESIDENCES,1116 MILTON ST,40217.0,2020/04/22 03:59:59+00,7,FIELD
1565,701585,2020/07/20 03:59:59+00,CONDO'S,200 EL CONQUISATDOR PL,40220.0,2020/08/05 03:59:59+00,7,FIELD
1566,696219,2020/04/22 03:59:59+00,VACANT BUSINESS,3291 TAYLOR BLVD,40215.0,2020/04/27 03l:59:59+00,7,FIELD
1567,701651,2020/07/18 03:59:59+00,HURSTBOURNE ANIMAL HOSPITAL,4601 WATTBORNE LANE,40299.0,2q020/07/22 03:59:59+00,7,FIELD
1568,696255,2020/04/20 03:59:59+00,RESIDENT,4211 NORENE LANE UNIT 1,40219.0,2020/04/22 03:59:59+00,7,FIELD
1569,701723,2020/07/18 0h3:59:59+00,CIRCLE K #470011,9200 DIXIE HWY,40272.0,2020/07/22 03:59:59+00,7,FIELD
1570,696375,2020/04/22 03:59:59+00,RESIDENCE,76 S 37TH ST,40211.0,2020/04/24 03:59:59+00,7,FIELD
1571,702137,2020/07/27 03:59:59+00,POSTO FFICE,1527 HIGHLAND AVE,40204.0,2020/08/19 03:59:59+00,7,FIELD
1572,696830,2020/04/30 03:59:59+00,DERBY FABRICATING,4500 PRODUCE RD,40218.0,2o020/04/29 03:59:59+00,7,FIELD
1573,702257,2020/07/25 03:59:59+00,BIG SPRING MAIN KITCHEN,5901 UTCHMANS LN,40205.0,2020/07/29 03:59:59+00,7,FIELD
1574,696927,2020/05/01 03:59:59+00,PENN STATION,5009 MUD LN,40229.0,2020/05/04 03:59:59+00,7,FIELD
1575,697097,2020/05/04 03:59:5+00,SHOP & GO,3901 TAYLO RBLVD,40215.0,2020/05/05 03:59:59+00,7,FIELD
1576,702362,2020/07/28 03:59:59+00,MR G''S SPORT BAR,10432 SHELBYVILLE RD,40223.0,2020/07/29 03:5959+00,7,FIELD
1577,697271,2020/05/06 03:59:59+00,TACO LUCHADOR,938 BAXTER AVE,40204.0,2020/05/08 03:59:59+00,7,FIELD
1578,702700,2020/07/31 03:59:59+00,OLD RASCALS,1102 W ASHLAND AVE,40215.0,2020/08/03 03:59:59+00,7,FIELD
1579,697358,2020/05/08 03:59:59+00,ANDERSON WOOD PRODUCTS,a1381 BEECH ST,40211.0,2020/05/12 03:59:59+00,7,FIELD
1580,702918,2020/08/04 03:59:59+00,FAMILY DOLLAR #22424,1250 BARDSTOWN RD,40204.0,2020/08/13 03:59:59+00,7,FIELD
1581,697368,2020/05/08 03:59:59+00,OMAGI SALON & SPA,4045 qSUMMIT PLAZA DR,40241.0,2020/05/09 03:59:59+00,7,FELD
1582,703154,2020/07/25 03:59:59+00,BUNZ BURGERZ,969 BAXTR AVE,40204.0,2020/07/25 03:59:59+00,7,FIELD
1583,697490,2020/05/04 0:359:59+00,RESIDENCE,734 S 1ST ST,40202.0,2020/05/06 03:59:59+00,7,IELD
1584,703253,2020/08/06 03:59:59+00,ORANGE THEORY FITNESS,116x SEARS AVE,40207.0,2020/08/08 03:59:59+00,7,FIEDL
1585,697522,2020/05/12 03:59:59+00,US POST OFFICE,4600 SHELBYVILLE RD UNIT #101,40207.0,2020/05/13 0:59:59+00,7,FIELD
1586,703361,2020/08/07 035:9:59+00,WHITE CASTLE #15,700 W BROADWAY,40202.0,2020/08/07 03:59:59+00,7,FIELD
1587,697533,2020/05/12 03:59:59+00,UPSf WORLDPORT,191 GRADE LN,40213.0,2020/05/20 03:59:59+00,7,FIELD
1588,703414,2020/08/10 03:59:59+00,OUNTY CLERKS OFFICE,531 COURT PLACE,40202.0,2020/10/27 03:59:59+00,7,FIELD
1589,697553,2020/05/12 03:59:59+00,THE TRAINING STUDIO,1348 RIVERk RD,40206.0,2020/05/13 03:59:59+00,7,FIELD
1590,703437,2020/08/10 03:59:59+00,YARD SALE,5100 KILMER BLVD,40213.0,2020/08/19 03:59:59+00,7,FIELD
1591,697661,2020/05/13 03:59:59+00,BARGAIN HUNT,6801 DIXIE HWY UNIT #100,40258.0,2020/05/20 03:59:59+0,7,FIELD
1592,693599,2020/03/25 03:59:59+00,MASSEY BOKO,4744 ROCKFORD PLAZA,40216.0,2020/03/27 03:59:59+00,7,IELD
1593,697781,2020/05/14 03:59:59+00,RALLY'S,3455 TAYLOR BVD,40215.0,2020/05/15 03:59:59+00,7,FIELD
1594,694608,2020/04/03 03:95:59+00,NEXT-TEK FINISHING LLC,4700 COMMERCE CROSSING DR,40229.0,2020/04/07 03:59:59+00,7,FIELD
1595,697894,2020/05/18 03:59:59+00,EMW,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
1596,694610,2020/04/03 03:59:95+00,ACADEY SPORTS + OUTDOORS,4901 OUTERe LOOP STE 144,40219.0,2020/04/04 03:59:590+0,7,IELD
1597,697919,2020/05/18 03:59:59+00,DOLLAR GENERAL #495,4443 CANE RUN RD,40216.0,2020/05/22 03:59q:59+00,7,FIELD
1598,694634,2020/04/04 03:59:59+00,HOME DEPT,6840 DIXIE HWY,40210.0,2020/04/04 03:59:59+00,7,FIELD
1599,697962,2020/05/19 03:59:59+00,HOME 2 SUITES @ HILTON HOTEL,3000 CRITTENDEN DR,40209.0,20k20/05/28 03:59:59+00,7,FIELD
1600,694672,2020/04/03 03:59:59+00,MIKE LINNIG'S RESTAURANT,9308 CANE RUN RD,40258.0,2020/04/07 03:59:59+00,7,FIELD
1601,693377,2020/03/24 03:59:59+00,TELEPERFORMANEC,9721 ORMSBY STATION RD,40223.0,2020/03/25 03:59:59+00,7,FIELD
1602,698196,2020/05/22 03:59:59+00,TEXTILE,8161 NATIONAL TPKE,40214.0,2020/06/12 03:59:59+00,7,FIELD
1603,694424,2020/04/02 03:59:59+00,UPS,1930 BISHOP LN STE 400,40219.0,2020/04/07 03:59:59+00,7,IELD
1604,698199,2020/05/22 03:59:59+00,EMW WOMEN''S SURGICAL CENER,136 W MARKET ST,40202.0,2020/05/62 03:59:59+00,7,FIELD
1605,694564,2020/04/03 03:59:59+00,WESTSHORE HOME REPAIR,10809 BLUEGRASS PKWY,40299.0,2020/05/12 03:59:59+00,7,FIELD
1606,696266,2020/04/20 03:59:59+00,RESIDENT,726 S PRESTON lST,40203.0,2020/04/22 03:59:59+00,7,FIELD
1607,698965,2020/06/08 03:59:59+00,RALLY'S,2130 W BROADWAY,40211.0,2020/06/11 03:59:59+00,7,IFELD
1608,694687,2020/04/06 03:59:59+00,GRACE FELLOWSHIP OF LOUISVILLE,9105 GALENE DR,40299.0,2020/04/14 03:59:59+00,7,FIELD
1609,696287,2020/04/22 03:59:59+00,MCALISTER'S #1149,6510 BARDSTOWN RD,40291.0,2020/04/25 03:59:59+00,7,FIELD
