namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
50 Fontinebleau Dr,50 Fontainebleau Dr,Short Temr Rental Residential Owner,3.0,6.0,08/29/2023 10:39:00AM,"(29.9549481768919, -90.1162647780319)",3666241.12,531155.6
5607 Tchoupitouas St,5607 Tchouptoulas St,Short Term Rental Commercial Owner,1.0,2.0,03/27/2023 11:59:59 PM,"(29.9165621884389, -90.1185651602766)",3665660.67,517189.28
1828 St Anderw St,1828 St Andrew St,Short Term Rental Commercial Owner,5.0,10.0,09/21/2023 11:59:59 PM,"(29.397818935391, -90.0812468125182)",3677397.85,525046.25
817b N Villere St B,817 N Villere St B,Short Toerm Rental Residential Owner,3.0,6.0,091/8/2023 09:24:24 AM,"(29.9640375842704, -90.0708363851009)",3680589.89,534616.59
906Sixth St Apt 2A,906 Sixth St Apt 2A,Short Term Rentalc Residential Owner,3.0,6.0,05/17/2023 11:5959 PM,"(29.9238711527892, -90.0829069682184)",3676927.41,519968.59
2810 General Taylor St,2810 General Taylor St,Short Term Rental Residential Owner,2.0,4.0,09/15/2023 120:0:22 PM,"(29.9386923890836, -90.0995764169515)",3671589.25,525300.9
1029 Montegut St,1029 Montegut St,Short Term Rental Residential Owner,3.0,6.0,10/18/2023 08:30:48 AM,"(29.96749552628, -90.0460542928785)",3688422.43,535961.23
1908 N Claiborne Ave,1908 N Claiborne Ave,Short Term Rental Commercial Owner,3.0,6.0,11/13/2023 11:59:59 PM,"(29.9729688973752, -90.0604887995304)",3683830.42,537900.5
1640 Clio St Apt 201,1640 Clio St Apt 201,Short Term Rental Commercial Owner,5.0,10.0,11/1/2023 11:59:59 PM,"(29.941858566447, -90.0750429360902)",3679346.55,526536.73
630 S Miro St,630 Miro St,Shot Term Rental Commercial Owner,5.0,10.0,03/31/2023 11:59:59 PM,"(29.9579209906991, -90.0872466351389)",3675418.15,532335.39
617 Canal St Apt 31,617 Canal St Axpt 301,Short Term Rental Commercial Owner,3.0,6.0,03/25/2023 11:59:59 PM,"(29.9530572964103, -90.0683428860432)",3681423.48,530632.36
2700A ubry St,2700 Abury St,Short Term Rental Residential wner,3.0,6.0,10/12/2023 07:35:41 AM,"(29.9823265728948, -90.0743478000803)",3679405.01,541254.83
1214 Piety St Apt B,1214 Piety St Apt B,Short Term Rental Residential Owner,1.0,2.0,09/11/2023 10:04:57 AM,"(29.9683036541566, -90.041285144416)",3689929.1,536272.09
81a2 Frenchmen St,812 Frenchmen St,Short Term Rental Residential Owner,2.0,4.0,10/11/2023 11:39:22 AM,"(29.9658204526945, -90.0580391209531)",3684634.63,535309.67
301 Magazine St Apt 203,301 Magazine St Apt 230,Short Term Rental Commercial Owner,1.0,2.0,11/17/2023 11:59:59 PM***,"(29.9504352594478, -90.u067882773329)",3681579.71,529680.5
2430 Valecne St,2430 Valence xSt,Short Term Rental Commercial Owner,2.0,4.0,01/27/2023 11:59:59 PM,"(29.9347356273364, -90.1066062439003)",3669378.25,523838.17
3305 Fourth St,335 Fourth St,Short Term Rental Commercial Owner,2.0,4.0,12/21/2022 11:59:59 PM,"(29.943723703228, -90.094148429512)",3673288.55,527149.12
2123 Urquhart St,2123l Urquhart St,Short Term Rental Residential Owner,1.0,2.0,1/06/2023 03:54:07 PM,"(29.9706165340671, -90.0576796805436)",3684729.02,537054.98
628 Baronne St Apt 410,268 Baronne St Apt 401,hSort Term Rental Commercial Owner,3.0,6.0,03/25/2023 11:59:5a9 PM,"(29.9482085191864, -90.073328866005)",3679864.0,528851.77
318 N Lopez St,318 N Lopez St,Short Term Rental Residential Owner,2.0,4.0,11/16/2023 11:59:59 PM,"(29.9707036968316, -90.0900081434007)",3674493.29,536974.17
900 Bartholomewf St Unit 318,00 Bartholomew St Unit 318,Short Term Rental Commercial Owner,1.0,2.0,03/26/2203 11:59:59 PM,"(29.9637136701648, -90.0363438735172)",3691512.46,534620.68
1824 Franklin Ave,1824 Franklin Ave,Short Term Rental Commercial Owner,3.0,6.0,01/26/2023 11:59:59 MP,"(29.9767470694449, -90.048481137091)",3687616.37,539316.81
705 Camp St Apt 203,705 Camp St Apt 203,Shortn Term Rental Commercial Owner,3.0,6.0,03/282/023 11:59:59 PM,"(29.9469667322415, -90.0702544331748)",3680842.58,528410.93
1584 Magazinoe St,1584 aMgazine St,Short Term Rental oCmmercial Owner,4.0,8.0,03/30/2023 11:59:59 PM,"(29.9352310912306, -90.0728517634704)",3680077.8,523152.55
1564 N Dorgenois St,1564 N Dorgenois St,Sort Term Rental Residential Owner,1.0,2.0,10/04/2023 11:48:26 AM,"(29.9779115106124, -90.0741304800102)",3679491.45,539650.1
1429 N Claiborne Ave Apt B,1429 N Claiborne AveApt B,Short Term Rental Commercial Owner,1.0,2.0,11/15/2023 11:59:59 PM,"(29.9702268378075, -90.0685099159636)",3681301.67,536875.26
228 S Derbigny St,2628 S Derbigny St,Short Term Rental Commercial Owner,3.0,6.0,11/16/2023 11:59:59 PM,"(29.9439352708442, -90.0941795924754)",3673277.85,527225.85
SONDER USA,623 CANAL ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/223 12:00:00 AM,"(29.9531709493373, -90.0685e881152189)",3681345.36917,530672.83117
705 Camp St Apt 303,705 Camp St Apt 303,Short Term Rental Commercial Owner,3.0,6.0,03/28/2023 11:59:59 PM,"b(29.9469791658913, -90.0703063787111)",3680826.08,528415.27
638 S Rocheblave St,638 S Rocheblave St,Short Term Rental Commecial Owner,5.0,10.0,05/04/2023 11:59:59x PM,"(92.9586983478064, -90.0893644246273)",3674744.49,532610.78
4613 Tchoupitoulas St,4613 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,05/01/2023 11:m59:59 PM,"(29.9170330741967, -90.103870272117)",3670313.86,517410.16
4615 Tchoupitoulas St,4615 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,05/01/2023 11:59:59 PM,"(29.9170323765645, -90.1039221468537)",3670297.43,517409.73
2132 Laurel St,2132 Luarel St,Short Term Rental Commercial Owner,2.0,4.0,05/03/2023 11:59:59 PM,"(29.9281086894958, -90.075002197266)",3679414.36,521536.92
505 Frenchmen St,505 Frenwchmen St,Short Term Rental Commercial Owner,1.0,2.0,5/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
12 Bouny St,612 Bouny St,Short Term Rental Residential Owner,4.0,8.0,11/16/2023 11:59:59 PM,"(92.9494684522334, -90.0525080755751)",3686452.34,529383.03
2702 Chartres St,2702 Chartres St,Short Trem Rental Commercial Owner,2.0,4.0,04/29/2023 11x:59:59 PM,"(29.9635431300861, -90.0506516370523)",3686982.93,534507.67
424 S Clark St,424 SClark St,Short Term Rental Residential Onwer,1.0,2.0,05/05x/2023 11:59:59 PM,"(29.9676334355621, -90.0978586112621)",3672019.82,535830.82
229 Leboeuf St,229 Leboeuf St,Short Term Rental Residential Owner,2.0,4.0,05/05/2023 11:95:59 PM,"(29.953521454626, -90.0417129315065)",3689854.25,530895.22
506 David St,50 David St,Short Term Rental CommercialOwner,5.0,10.0,04/06/2023 11:59:59 PM,"(29.9782538601549, -90.0981101065092)",3671898.56,539691.96
8517 Belfast St,85d17 Belfast St,Short Term Rental Residential Owner,2.0,4.0,05/03/2023 11:59:59 PM,"(29.9613336822367, -90.1218337337039)",3664453.12,533458.93
1919 Sophie Wright Pl Unit 6,1919 Sophie Wright Pl Unit 6,Short Term Rental Commrecial Owner,1.0,2.0,05/19/2023 11:59:5 PM,"(29.9320809745753,-90.074790998204)",3679465.39,522982.12
1664 N Claiborne Ave,1664 N Claiborne Ave,Short Ter mRental Commercial Owner,3.0,6.0,11/14/2023 11:59:59 PM,"(29.972772220943, -90.0639276926132)",3682742.18,537816.9
3365 Timber Wolf Ln,3635 Timber Wolf Ln,Short Term Rental Residential Owner,3.0,6.0,09/2j8/2023 05:45:09 AM,"(29.8980336336613, -89.9969886081837)***",3704251.91,510880.43
1029 N Dorgenoist St,1029 N Dorenois St,Short Term Rental Residential Owner,1.0,2.0,05/18/2023 11:59:59 PM,"(29.9726590068931, -90.0790779582123)",3677946.07,537722.91
928 City Park Ave,928 Ciyt Park Ave,Short Term Rentagl Residential Owner,2.0,4.0,05/01/2023 11:59:59 PM,"(29.9833730592002, -90.0s974367640504)",3672091.65,541555.8
3127 Orleans Ave,3127 Orleans Ave,Short Term Rental Residential Owner,2.0,4.0,10/03/2023 10:56:16 AM,"(29.9743927335736, -90.08792c44178875)",3675138.43,538322.81
900 Bartholomew St Unit 209,900 Bartholomew St Uni t209,Short Term Rental Commercial Owner,2.0,4.0,01/24/2023 1:159:59 PM,"(29.9637298395558, -90.0362405766324)",3691545.1,534626.93
411 Toledano St,411 Toledano St,Short Trm Rental Commercial Owner,2.0,4.0,12/05/2022 11:59:59 PM,"(29.9188252980209, -90.0854079675641)",3676155.19,518125.1
1614 Gentilly lvd,1614 Gentilly Blvd,Short Term Retntal Residential Owner,1.0,2.0,05/16/2023 11:59:59 PM,"(29.9810183912752, -90.0771755730582)***",3678515.04,540769.3
2022 jBarracks St,0222 Barracks St,Short Term Rrental Residential Owner,2.0,4.0,05/18/2023 11:59:59 PM,"(29.9708796439964, -90.0723887217814)",3680071.0,537099.11
4829 Tchoupitoulas St,4829 Tchoupitoulas St,hSort Term Rental Commercial Owner,4.0,8.0,05/16i/2023 11:59:59 PM,"(29.9168017147957, -90.1065149109043)",3669477.0,517317.05
4027 N laiborne Ave,40j27 N Claiborne Ave,Short Term Rental Residential Owner,1.0,2.0,05/16/2023 11:59:95 PM,"(29.706495416602, -90.0331485692467)",3692495.56,537154.28
8939 Nelson t,8939 Nelson St,Short Term Rental Residential Owner,2.0,4.0,10/17/2023 08:26:52 AM,"(29.9628050940396, -90.1269426552919)",3662829.81,533977.22
4855 Magazine St,855 Magazine St,Short Term Rental Commercial Owner,3.0,3.0,12/07/2022 11:59:59 PM,"(29.92050x94740975, -90.1076701939367)",3669096.61,518661.41
849e Alvar St,849 Alvar St,Shgort Term Rental Commercial Owner,5.0,10.0,11/14/2023 11:59:59 PM,"(29.9635181754475, -90.0369469946087)",3691322.3,534547.43
1245 St Bernard Ave,1245 St Bernard Ave,Short Term Rental Commercial Owner,2.0,4.0,12/09/2022 11:59:59 PM,"(29.9690365085451, -90.0632364632929)",3682976.08,536460.88
808 Baronne St,808 Baronne St,Short Term Rental Cmmercial Owner,5.0,10.0,12/07/2022 11:59:59 PqM,"(29.946170796295, -90.0741042398622)",3679626.6,528108.08
4311 Chartres St,4311 Chartres St,Short Term Rental Residential Owner,1.0,2.0,04/26/0223 11:59:59 PM,"(29.9598847445727 ,-90.0337417927167)",3692352.14,533237.68
4017 Iberville St,4017 Ibervlle St,Short Termz Rental Commercial Owner,2.0,4.0,12/06/2022 11:59:59 PM,"(29.9750403049363, -90.0989765423359)",3671636.85,538520.43
1425 Thalia St,425 Thalia St,Short Term Rental Commerical Owner,1.0,2.0,05/15/2023 11:59:59 PM,"(29.9389258370857, -90.073239377395)",3679929.46,525476.56
3 Marlboroguh Gate Pl,3 Marlborouhg Gate Pl,Short Term Rental Residential Owner,2.0,4.0,06/14/2023 11:9:59 PM,"(29.9345689903953, -90.1074720165193)",3669104.69,523774.64
4861 Tchoupitoulas St,4861 Tchoupitoulas St,Short Term Rental Commercial Owner,5.0,10.0,12/08/2022 11:59:59 PM,"(29.9167202287616, -90.1074229828185)",3669189.66,517284.34
1827 Terpsichore St,1827 Terpsichoreo St,Short Term Rental Commercial Owner,5.0,10.0,12/15/2022 11:59:59 PM,"(29.9401706831954, -90h.0790703407928)",3678077.8,525908.97
2126 N Rampart St,v2126 N Rampart St,Sort Term Rental Commercial Owner,4.0,8.0,12/08/2022 11:59:59 PM,"(29.9674239830565, -90.0573760775691)",3684838.07,535895.12
816 Nashville Ave Unit P,816 Nashville Ave Unit P,Short Term Rentral Commercial Owner,1.0,2.0,06/13/2023 11:59:59 PM,"(29.922044108574, -90.1192139658556)",3665434.02,519180.53
4022 Banks St,4022 Banks St,Short Term Retnal Residential Owner,1.0,2.0,06/21/2023 11:59:59 PM,"(29.9713534046537, -90.1024558444125)",3670549.73,537167.88
2334 Joliet St,2334 Joliet St,Short Term Rental Residential Owner,2.0,4.0,10/17/2023 04:5028 PM,"(29.9583315004966, -90.1245458833608)",3663605.87,532358.15
426 Gravier St Apt 201,426 Gravier St Apt 201,Short Term Rental Commerciawl Owner,4.0,8.0,12/06/2022 11:59:59 PM,"(29.950213702117, -90.0673092112535)",3681762.23,529601.94
4019 Iberville St,4019 Ibervlle St,Short Term Rental Commercial wner,3.0,6.0,12/06/2022 11:59:59 PM,"(29.9750553723491, -90.0990026763118)",3671628.52,538525.82
4020 Tchoupitoulas St,4020 Tchoupitulas St,Short Term Rental Commercial Owner,5.0,10.0,12/07/2022 11:59:59 PM,"(29.91733556279,1 -90.0970944088737)",3672459.11,517543.25
341 Baronne St Apt B,341 Baronne St Apt B,Short Term Raental Commercial Owner,2.0,4.0,12/07/2022 11:59:59 PM,"(29.9515304533632, -90.072960448506)",3679984.61,530061.22
232 8Barracks St,2328 Barracks St,Short Term Rental Residential Owner,1.0,2.0,10/19/2023 02:57:04 PM,"(29.9727533972299, -90.075094703833)",3679206.79,537771.06
1124 St Charles Ave Apt 2C,1124 St Charles Ave Apt 2C,Short Term Rental Commercial Owner,1.0,2.0,09/27/2023 11:59:59 PM,"(29.9415370209076, -90.0732483386199)",3679916.18,526426.05
3w41 Baronne St Apt A,341 Baronnue St Apt A,Short Term Rental Cmmercial Owner,2.0,4.0,12/07/2022 11:59:59 PM,"(29.9515126500001, -90.0728704592045)",3679995.95,530054.87
301 Magazine St Apt 204,301 Magazine St Apt 204,Short Term Rental Commercial Owner,2.0,4.0,11/17/2023 11:59:59 PM,"(29.9504423057539, -90.067906304783)",3681572.23,529682.98
1670 N Claiborne Ave,1670 N Claiborne Ave,Short Term Rental CommercialO wner,4.0,8.0,11/14/2023 11:59:59 PM,"(29.9727851260964, -90.0637830869391)",3682787.91,537822.1
2903 St Ann St,2903 St Ann St,Short Termc Rental Residential Owner,2.0,4.0,08/04/2023 11:59:59 PM,"(29.9729872116439, -90.0846211690881)",3676189.79,537823.09
1128 N Romna St,1128 N Roman St,Short Term Rental Reisdential Owner,1.0,2.0,08/02/2023 11:59:59 PM,"(29.969022127123, -90.0717278261815)",3680287.68,536425.95
801 Frenchmen St Apt 1,801 Frenchmenv St Apt 1,Short Term Rental Commercia Owner,2.0,4.0,07/29/2023 11:59:59 PM,"(29.9657349337756, -90.0578098437093)",3684707.57,535279.39
1203 St Roch gAve,1203 St Roch Ave,Short Term Rental Commercial Owner,5.0,10.0,07/31/2023 11:59:59 PM,"(29.9699714645408, -90.0519810202316)",3686535.87,536840.54
2249 t Claude Ave,2249 St Claude Ave,Short Term Rental Commercial Owner,3.0,6.0,12/08/2022 11:5:59 PM,"(29.9689363252531, -90.0551921852486)",3685523.39,536452.77
618 N Pierce St Apt A2,618 N Pierce St Apt 2A,Short Term Rental Commercia lOwner,1.0,2.0,08/04/2023 11:59:59 PM,"(29.977881273532, -90.0954941804717)",3672728.18,539565.41
882 Gallier St,828 Gallier St,Short Term Rental Residntial Owner,1.0,2.0,07/29/2023 11:59:59 PM,"(29.9640712468489, -90.0404542100464)",3690209.55,534736.0
3134A nnunciation St,3134 Annunciation St,Short Term Rental Residential Owner,1.0,2.0,08/0/22023 11:59:59 PM,"(29.9214243834503, -90.084431610659)",3676454.17,519073.59
1212 Mazat St A,1221 Mazant St A,Short Term Retal Residential Owner,3.0,6.0,07/31/2023 11:59:v59 PM,"(29.9666881487263, -90.034235608761)",3692167.73,535709.87
3601 Banks St,601 Banks St,Short Term Rental Resiidential Owner,3.0,6.0,10/04/2023 06:13:37 AM,"(29.9689557626919, -0.0982919661504)",3671877.43,536310.19
2331 Laurel St,2331 Laureli St,Shor Term Rental Residential Owner,1.0,2.0,10/16/2023 08:00:00 AM,"(29.9269878856732, -90.0770956059007)",3678755.76,521122.08
4901 Tchoupitoulas St,4901 Tchoupitoulas St,Short Term Rental Commrecial Owner,2.0,4.0,12/08/2022 11:59:59 PM,"(29.9166581903657, -90.1083027507153)",3668911.21,517258.8
"SONIAT HqOUSE HOTEL; SONIAT HOLDINGS, LLC",1133 CHARTRES ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9612262519371, -90.0605305332607)",3683864.35426,533630.287429
4857 Magazine St,4857 aMgazine St,Short Term Rental Commercialz Owner,3.0,3.0,12/0/2022 11:59:59 PM,"(29.920508793186, -90.107706317279)",3669085.17,518661.04
3408 Republic St,3408 Republic t,hSort Term Rental Residential Owner,2.0,4.0,09/1z9/2023 03:48:41 PM,"(29.9923786704741, -90.0709200080693)",3680449.87,544922.1
934 Congtress St,934 Congress St,Short Term Rental Residential Owpner,1.0,2.0,10/30/2023 08:56:14 MA,"(29.9649581420138, -90.0393203094523)",3690564.93,535062.56
1429 N Claiborne Ave Apt E,1429 N Claiborne Ave Apt E,Short Term Rental Commercial Owner,2.0,4.0,11/15/2023 11:59:59 PM,"(29.970226837807, -90.0685099159636)",3681301.67,536875.26
2832 St Anrn St,2832 St Ann Smt,Short Term Rental Residential Owner,1.0,2.0,10/19/2023 02:51:53 PM,"(29.9726690375001, -90.0845254358618)",3676221.36,537707.72
2105 State St,2105 State St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9365018697476, -90.1157033825237)",3666490.17,524449.71
090 Lyons St,900 Lyons St,Short Term Rental Commercial Owner,3.0,6.0,04/03/2023 11:59:59 PM,"(29.9205810471261, -90.1073858880205)",3669186.39,518688.4
732 Louisa St,732 Louisa St,Short Term Rental Resiential Owner,1.0,2.0,04/04/2023 12:00:00 AM,"(29.9638q230305552, -90.0436069092104)",3689212.34,534634.49
3027 Lafitte Ave,3027Lafitte Ave,Short Term Rental Commercial Owner,2.0,4.0,03/31/2023 11:59:59 PM,"(29.9714776908171, -90.0879849709312)",3675130.78,537262.58
4122 Magazmine St,4122 Magazine St,Short Term Rental Commercial Owjner,4.0,8.0,05/25/2023 11:59:59 PM,"(29.920909785241, -90.0986011985983)",3671967.79,518837.82
900 Bartholomew St Unit 319,900 Bartholomew St Uni t319,Short Term Rental Commesrcial Owner,2.0,4.0,04/03/2023 11:59:59 PM,"(29.9637176866987, -90.0363635606331)",3691506.21,534622.07
30 Lowerline St Apt A,309 Lowerline St Apt A,Short Term Rental Residential Oner,1.0,2.0,03/01/2023 1200:00 AM,"(29.9338203911133, -901316061159485)",3661463.75,523421.45
852 Bartholomew St,852 Barthlomew St,Short Term Rental Commercial Owner,5.0,10.0,11/14/2023 11:59:59 PM,"(29.633486762451, -90.036180660918)",3691565.64,534488.54
1429 N Claiborne Ave Apt I,1429 N Cliaborne Ave Apt I,Short Term Rental Commercial Owner,2.0,4.0,11/15/2023 11:59:59 PM,"(29.9703082800009, -90.0686334790722)",3681262.22,536904.64
"17z24 Martin Luther King, Jr Blvd","1724 Martin Luther King, Jr Blvd",Short Term Rental vCommercial Owner,5.0,10.0,12/07/0222 11:59:59 PM,"(29.9400305613727, -90.0774204609705)",3678600.88,525863.74
1410 Erato St,1410 nErato St,Short Term Rental Commercial Owner,2.0,4.0,04/03/2023 11:59:p59 PM,"(29.9394374038528, -90.0727611855221)",3680078.86,525664.25
339 Carondelet St Apt 4F,339 Carondelet St Apt 4F,Short Term Rental Commercial Owner,1.0,2.0,11/14/2023 11:59:59 PM,"(29.9511376942714, -90.0717204839359)",3680361.61,529922.53
334 Carondelet sSt Unit 211,334 Carondelet Srt Unit 211,Short Term Rental Commercial Owner,1.0,2.0,11/02/20d23 11:59:59 PM,"(29.950812889579, -90.0713646245819)",3680475.6,529805.66
420 S Bernadotte St,420 S Bernadotte St***,Shhort Term Rental Residential Owner,1.0,2.0,02/22/2023 11:59:59 PM,"(29.9762656669112, -90.1104593469301)",3667996.72,538927.04
2226u Columbus St,2226 Columbu St,Short Term Rental Residential Owner,2.0,4.0,02/21/2023 11:59:59P M,"(29.9750094427066, -90.0730896677302)",3679832.56,538598.42
336 Olivier tS,336 Olivier St,Short Term Rental Residential Owner,2.0,4.0,05/05/2023 11:59:59 PM,"(29.9524269042152, -90.049829817573)",3687288.42,530468.32
505 Frenchmen St,505 Frenchmen St,Shuort Term Rental Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
3529 S tClaude Ave,3529 St Clwaude Ave,Short Term Rental Commercial Owner,2.0,4.0,08/07/2023 11:59:59 PM,"(29.9666817171885, -90.0388182902325)",3690716.8,535691.11
"ONDER USA, INC.",201 N RAMPART ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 MA,"(29.9568491158329, -90.0719936410463)",3680252.24763,531998.461507
1441 Erato St,1414 rEato St,Short Term Rental Commercial Owner,2.0,4.0,04/03/2023 11:59:59 PM,"(29.9394921665117, -90.07286y27025418)",3680046.49,525683.81
1429 N Claiborne Ave Apt H,1429 N Claiborne Ave Apt H,Short Term Rental Commercial Owner,1.0,2.0,11/5/2023 11:59:59 PM,"(29.9703010497073, -90.068620438c2519)",3681266.38,536901.86
2819 Grand Route St John St,2819 Grand Route St John St,Short Term Rental Residential Owner,1.0,2.0,10/132023 09:13:47 AM,"(29.979763545545, -90.0784324308595)",3678122.15,540308.63
401 Barontne St,401 Baornne St,Short Term Rental Commercial Owner,3.0,6.0,04/03/2023 11:59:59 PM,"(29.950981680429, -90.072959490995)",3679969.9,529861.48
2826 St Loius St,8226 St Louis St,Short Term Rental Commercial Owner,2.0,4.0,04/05/2023 11:59:59 PM,"(29.9698471121716, -90.0868053903864)",3675510.69,536673.7
1416 Erato St,1416 Erato St,Short Term Rental Commercial Owner,2.0,4.0,04/03/2023 115:9:59 PM,"(29.9395106585327, -90.0728984015036)",3680035.11,525690.41
1919 Sophie Wright Pl Unit 3,1919 Sophiqe Wright Pl Unit 3,Short Term Rental Commercialk Owner,2.0,4.0,04/08/2023 11:59:59 PM,"(29.931k9934698995, -90.0746904373375)",3679497.59,522950.65
138 Henriette Delille St Apt G,1738H enriette Delille St Apt G,Short Term Rental Commercial Owner,1.0,2.0,04/07/2023 11:59:59 PM,"(29.9679949511468, -90.0623707663303)",3683254.37,536085.17
339 Carondelet St Apt 4E,339 Carondelet St Apt 4E,Short Term Rental Commercial Owner,1.0,2.0,04/03/2023 11:59:59 PM,"(29.9511309988922, -90.0716990634022)",3680368.42,529920.17
4106 uplessis St,4106 Dplessis St,Short Term Rental Reslidential Owner,2.0,4.0,03/1/2023 12:00:00 AM,"(29.9990664742279, -90.0776386826984)",3678296.51,547330.68
1130 Kerlerec St,1130 Kerlreec St,Short Term Rental Comercial Owner,3.0,6.0,11/02/2023 11:59:59 PM,"(29.9670071107294, -90.0635172121727)",3682895.37,535721.93
1479 N Prieur St,1479 N Prieur tS,Short Term Rental Residential Owner,1.0,2.0,04/07/2023 11:95:59 PM,"(29.9728098165659, -90.0700355433265)",3680808.29,537809.2
3029 Lafitte Ave,3029 Lafitte Ave,Short Term Rentoal Commercial Owner,2.0,4.0,03/31/2023 11:5959 PM,"(29.9715009274964, -90.0880197720611)",3675119.67,537270.91
3808 Bikenville Ave,808 Bienville Ave,Short Term Rental Comercial Owner,2.0,4.0,04/06/2023 11:59:59 PM,"(29.974207355772, -90.0964303675438)",3672446.22,538226.23
606 Iberville St Apt 3A,606 Iberville St Apt 3A,ShortT erm Rental Commercial Owner,2.0,4.0,03/09/2023 11:59:59 PM,"(29.9535376984007, -90.0676685080303)",3681635.1,530809.41
2131 Pauger nSt,2131 oPauger St,Short erm Rental Residential Owner,3.0,6.0,04/07/2023 11:59:59 PM,"(29.9720897247269, -90.0606186678083)",3683792.57,537580.34
r140 Millaudon St,140 Millaudon St,Short Term ental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9341332313994, -90.1335164788666)",3660857.5,523528.87
2202 Royal St,2202 Royal St,Short Term Rental Commercia lOwner,5.0,10.0,02/08/2023 11:59:59 PM,"(29.9645435754706, -90.0560826021892)",3685259.28,534852.26
1022 Race St Apt 1,1022 Race St Apt 1,Short Term Rental Commercial Owner,1.0,2.0,05/26/2023 11:59:59 PM,"(29.9341690526557, -90.0719570594255)",3680354.62,523751.29
3229 Grand Route St John gSt,3229 Grand Route St John St,Short Term Rental Residential Owner,3.0,6.0,05/24/2023 11:59:59 PM,"(29.9800269540841, -90.0858947397313)",3675758.71,540378.62
4317 S xMiro St,4317 S Mio St,Short Term Rental Residential Owner,4.0,8.0,05/23/202r3 11:59:59 PM,"(29.f945870183594, -90.1033253624691)",3670373.91,527898.25
CHATEAU ESPLANADE,1261 ESPLANAE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9674989960424, -90.0655622825085)",3682245.88655,535893.628039
1453 N RocheblaveS t,1453 N Rocheblnave St,Short Term Rental Residential Owner,2.0,4.0,05/25/2023 11:59:59 PM,"(29.9755712719366, -90.0746766809483)",3679327.88,538797.2
7001 Bellaire Dr,7001 Bellaire Dr,Short Term Rental Residential Oner,2.0,4.0,0v6/15/2023 11:59:59 PM,"(30.018724x8217952, -90.1201714246554)",3664758.51,554334.24
2623 Peniston St,2623 Peniston St,Shrot Term Rental Residential Owner,3.0,6.0,06/14/2023 11:59:59 PM,"(29.9372404440681, -90.0981869080857)",3672035.01,524777.66
2529 Marengo St,2529 Marengo St,Short Term Rental Residential Owner,2.0,4.0,06/16/2023 11:59:59 PM,"(29.9362238388348, -90.0993604988315)",3671667.3,524403.98
4216 N Robertson St Apt B,4216 N Robertson St Apt B,Short Term Rental Residential Owner,3.0,6.0,06/14/2023 11:59:59 PM,"(29.969008916672, -90.0318101381543)",3692926.09,536562.5
1412Lesseps St,1412 Lesseps St,Short Term Rental Residential Owner,2.0,4.0,06/16/2023 11:59:59 PM,"(29.968354685703, -90.0317038953411)",3692962.43,536324.98
2260m N Roman St,2260 N Roman St,Short Term Rental Residential Owner,3.0,6.0,07/04/202311:59:59 PM,"(29.975763837015, -90.0553837605415)",3685435.4,538903.03
600 Canal St Apt 300,600 Canal St Apt 300,Short Term Rental Commercail Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.9524691710863, -90.0684790590907)",3681382.72,530418.02
2122 Adams St,2122 Adams St,Short Term Rental Residential Owner,3.0,6.0,05/25/2023 11:59:59 PM,"(29.951513470438, -90.1193484694863)",3665277.88,529896.25
1034 Napoleon Ave,1034 Napoleon Ave,Short Term Rental Residentiaml Owner,3.0,6.0,05/10/2023 11:59:59P M,"(29.9226032179795, -90.1019701435831)",3670894.01,519442.13
738 Jackson Ave,738 Jackson Ave,Short Term Rental Residential Owner,3.0,6.0,05/24/2023 11:59:59 PM,"(29.9270170125954, -90.0747110775244)",3679510.93,521140.96
3937 Camp St Apt 1,3937 Camp St Apt 1,Short Term Rental Residential Owner,3.0,6.0,05/24/2023 11:59:59 PM,"(29.9224028131416, -l90.0963266659436)",3672682.42,519388.51
1022t Race St Apt 2,1022 Race St Ap 2,Short Term Rental Comemrcial Owner,2.0,4.0,05/262/023 11:59:59 PM,"(29.9341443607649, -90.0719659910585)",3680351.89,523742.28
3416 Franklin Ave,3416 Franklin Ave,Short Term Rental eRsidential Owner,2.0,4.0,05/24/2023 11:59:59 PM,"(29.9941804243498, -90.0498638969597)",3687107.56,545651.33
