2345.locationvalue,"(29.950840295232, -90.0713554986585)","(29.9508403295232, -90.0713554986585)"
585.locationvalue,"(29.9524269042152, -90.049829817573)","(29.9524269042152, -90.0498298175783)"
2294.type,hort Term Rental Residential Owner,Short Term Rental Residential Owner
1700.address,120 Touro St,1209 Touro St
321.locationvalue,"(29.931873873555, -90.0730790839891)","(29.9318738732555, -90.0730790839891)"
2604.expirationdate,03/01/2n023 12:00:00 AM,03/01/2023 12:00:00 AM
257.type,Short Term Rental Commerkcial Owner,Short Term Rental Commercial Owner
2070.namevalue,1818 Carondelet St Unit h1,1818 Carondelet St Unit 1
1611.namevalue,3800q S Saratoga St,3800 S Saratoga St
2590.locationvalue,"(29.93652626036o38, -90.0724119303347)","(29.9365262603638, -90.0724119303347)"
2211.locationvalue,"(29.977372374423, -90.0742471913387)","(29.9773712374423, -90.0742471913387)"
1028.type,Short Term Rejntal Residential Owner,Short Term Rental Residential Owner
2165.address,622 N Sgalcedo St,622 N Salcedo St
2706.namevalue,11206 urran Rd,11206 Curran Rd
2712.namevalue,711 S Pters St Pent 405,711 S Peters St Pent 405
100.namevalue,1324 Clout St,1324 Clouet St
2555.expirationdate,03/01/2023 12:00:h00 AM,03/01/2023 12:00:00 AM
738.type,Short Term Rental Residentia lOwner,Short Term Rental Residential Owner
1970.address,201 ARONNE ST,201 BARONNE ST
1091.type,Short Term Rental Residential Onwer,Short Term Rental Residential Owner
917.address,192 Iberville St (Back Apt),1925 Iberville St (Back Apt)
2671.address,468 Clara St,4618 Clara St
2087.expirationdate,07/16/2023 11:59:59 oPM,07/16/2023 11:59:59 PM
1450.expirationdate,12/20/2022 11:5959 PM,12/20/2022 11:59:59 PM
335.type,Short Term Rental Residentrial Owner,Short Term Rental Residential Owner
1284.type,Shorxt Term Rental Commercial Owner,Short Term Rental Commercial Owner
985.type,Short Term Rental Commercia lOwner,Short Term Rental Commercial Owner
1238.address,316 Oliiver St,316 Olivier St
1621.address,4417 DRAYDES ST,4417 DRYADES ST
350.address,3420 Maagzine St,3420 Magazine St
176.address,4221 Pryatnia St 2A,4221 Prytania St 2A
703.address,2901 Leapge St Apt 1,2901 Lepage St Apt 1
466.address,705 Cap St Apt 301,705 Camp St Apt 301
999.address,2411St Philip St,2411 St Philip St
222.namevalue,1116 Barracks St***,1116 Barracks St
66.locationvalue,"(29.9714859874128, -90.04971m40180421)","(29.9714859874128, -90.0497140180421)"
2204.namevalue,1510 Governorg Nicholls St,1510 Governor Nicholls St
168.namevalue,828 Giro St Apt 502,828 Girod St Apt 502
1883.address,1922 Buzrgundy St,1922 Burgundy St
2475.expirationdate,09/14/20231 1:59:59 PM,09/14/2023 11:59:59 PM
697.namevalue,413 State Street Dr,4153 State Street Dr
1898.address,759 Conti St,2759 Conti St
170.namevalue,71 Baronne St Apt 207,710 Baronne St Apt 207
1423.locationvalue,"(29.9636697316265, -90.036149230224)","(29.9636697316265, -90.0361492307224)"
2442.type,Short Term Rental oCmmercial Owner,Short Term Rental Commercial Owner
1594.address,226CARONDELET ST,226 CARONDELET ST
2595.address,1821 SR ampart St,1821 S Rampart St
1133.type,Shrt Term Rental Commercial Owner,Short Term Rental Commercial Owner
2631.expirationdate,09/19/2023 01:35:n40 PM,09/19/2023 01:35:40 PM
527.address,40j27 N Claiborne Ave,4027 N Claiborne Ave
1094.address,1600St Roch Ave,1600 St Roch Ave
2100.locationvalue,"(u29.9498771996345, -90.0517809129142)","(29.9498771996345, -90.0517809129142)"
1136.type,Short Term Rental Resiential Owner,Short Term Rental Residential Owner
281.locationvalue,"(29.9678787845037, -90.0870785188301)","(29.9678787845037, -90.0870785818301)"
32.namevalue,1029 hPilip St,1029 Philip St
944.expirationdate,01/g29/2023 11:59:59 PM,01/29/2023 11:59:59 PM
2706.address,11206 Curran iRd,11206 Curran Rd
2392.expirationdate,11/08/2023 11:59:9 PM,11/08/2023 11:59:59 PM
371.namevalue,2006 Oretah Castle Haley Blvd,2006 Oretha Castle Haley Blvd
1591.locationvalue,"(30.0317564163302, -89.563262601937)","(30.0317564163302, -89.9563262601937)"
1516.type,Short Term Rental Residegntial Owner,Short Term Rental Residential Owner
873.address,619 S Loqpez St,619 S Lopez St
2088.expirationdate,07/20/2023 11:5t9:59 PM,07/20/2023 11:59:59 PM
680.address,451 Magazine St,1451 Magazine St
2609.type,Short Tem Rental Residential Owner,Short Term Rental Residential Owner
377.expirationdate,05/02/2023 11:5:959 PM,05/02/2023 11:59:59 PM
1645.address,1005 ST PgETER ST,1005 ST PETER ST
1871.expirationdate,03/01/2032 12:00:00 AM,03/01/2023 12:00:00 AM
1633.address,4431 Canal St Ap A,4431 Canal St Apt A
1012.namevalue,1952 Trasure St,1952 Treasure St
2325.address,1915 Philip hSt,1915 Philip St
2356.type,ShortT erm Rental Commercial Owner,Short Term Rental Commercial Owner
362.locationvalue,"(30.0153848761426,m -90.0499971216042)","(30.0153848761426, -90.0499971216042)"
288.expirationdate,0511/2023 11:59:59 PM,05/11/2023 11:59:59 PM
1872.type,Short Term Rental Commemrcial Owner,Short Term Rental Commercial Owner
941.expirationdate,08/08/2023 11:95:59 PM,08/08/2023 11:59:59 PM
2443.locationvalue,"(28.0988907608706, -101.517799134252)","(28.0988907068706, -101.517799134252)"
2736.namevalue,451 Girod St Ap 203,451 Girod St Apt 203
293.address,213 Pasteur Blvd,5213 Pasteur Blvd
549.type,Short Term Rental Cmmercial Owner,Short Term Rental Commercial Owner
2398.namevalue,506 aJckson Ave,506 Jackson Ave
1833.type,Short Term Rental Commercial wOner,Short Term Rental Commercial Owner
2388.type,Short Term Rnetal Residential Owner,Short Term Rental Residential Owner
265.locationvalue,"(29.9637255576097,x -90.036386482271)","(29.9637255576097, -90.036386482271)"
4.address,1030 Kerdlerec St Apt 3,1030 Kerlerec St Apt 3
1608.namevalue,1814 Washingtwon Ave,1814 Washington Ave
1226.type,Short Term Rentl Commercial Owner,Short Term Rental Commercial Owner
2451.type,Short Term Rental Residential Owdner,Short Term Rental Residential Owner
566.address,3408 Republic t,3408 Republic St
1705.expirationdate,03/01/2203 12:00:00 AM,03/01/2023 12:00:00 AM
772.locationvalue,"(9.9637506792249, -90.0558881588377)","(29.9637506792249, -90.0558881588377)"
1672.address,616 N Pierce ySt,616 N Pierce St
1404.type,4703 - BED & BREAKFAST INSN,4703 - BED & BREAKFAST INNS
672.namevalue,840 alence St,840 Valence St
108.type,Short Term Rental Cmmercial Owner,Short Term Rental Commercial Owner
1867.namevalue,HOMEWOOD SUITES - NEW ORLyEANS,HOMEWOOD SUITES - NEW ORLEANS
2611.address,451 Girod zSt Apt 216,451 Girod St Apt 216
1822.type,Short Term Rental Commerial Owner,Short Term Rental Commercial Owner
1151.locationvalue,"(29.9300128689953, -90.11068412x91711)","(29.9300128689953, -90.1106841291711)"
958.namevalue,1201C arondelet St,1201 Carondelet St
2318.type,Shorth Term Rental Commercial Owner,Short Term Rental Commercial Owner
1171.namevalue,800 Std Charles Ave Apt 307,800 St Charles Ave Apt 307
2365.locationvalue,"(29.9638352282951, -90.0730964915893)","(29.9638352282915, -90.0730964915893)"
1892.type,4701 - HOTELS (EXC CASINO HTOELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1234.expirationdate,10/20/2023 11:y59:59 PM,10/20/2023 11:59:59 PM
2725.address,2800 Octavoia St,2800 Octavia St
1958.namevalue,MARGARET PLAEC,MARGARET PLACE
1603.type,Short Term Rntal Residential Owner,Short Term Rental Residential Owner
2413.expirationdate,11/08/2023 11:59:5 PM,11/08/2023 11:59:59 PM
413.address,23068 Chfe Menteur Hwy,23068 Chef Menteur Hwy
2355.locationvalue,"(29.9631677435945, 9-0.0904038890144)","(29.9631677435945, -90.0904038890144)"
1263.locationvalue,"(29.9636411834197, -90.0361572675411)","(29.9636411834197, -90.0361572765411)"
2191.expirationdate,07/25/2023 11:9:59 PM,07/25/2023 11:59:59 PM
863.address,302 3Orleans Ave,3023 Orleans Ave
752.namevalue,265 S Dupre St,625 S Dupre St
670.type,Short erm Rental Residential Owner,Short Term Rental Residential Owner
2182.expirationdate,07/25/2023 11:59:59P M,07/25/2023 11:59:59 PM
394.expirationdate,09/91/2023 11:59:59 PM,09/19/2023 11:59:59 PM
907.type,Short erm Rental Commercial Owner,Short Term Rental Commercial Owner
91.address,4100 St Peter St Apgt 2B,4100 St Peter St Apt 2B
2137.locationvalue,"(29.7925557294888, -90.0562998276623)","(29.9725557294888, -90.0562998276623)"
1713.address,151 DECATUR ST,115 DECATUR ST
2696.namevalue,919 N Tonqti St,919 N Tonti St
2720.address,1528 Governor Nivcholls St,1528 Governor Nicholls St
888.expirationdate,11/03/2023 11p:59:59 PM,11/03/2023 11:59:59 PM
1829.expirationdate,03/03/2023 11:59:59 PM***,03/03/2023 11:59:59 PM
1871.namevalue,INTER - COTNINENTAL ROOMS,INTER - CONTINENTAL ROOMS
1818.address,1845 Deslone St,1845 Deslonde St
2621.locationvalue,"(29.9212896291115, -90.m1201329689968)","(29.9212896291115, -90.1201329689968)"
459.namevalue,2569 4Chef Menteur Hwy,25694 Chef Menteur Hwy
828.locationvalue,"(29.9405841582477, -90.07839k3975729)","(29.9405841582477, -90.078393975729)"
2396.expirationdate,030/1/2023 12:00:00 AM,03/01/2023 12:00:00 AM
497.expirationdate,01/26/2023 11:59:59 MP,01/26/2023 11:59:59 PM
1827.locationvalue,"(29.9518940053745, -90.039081367587)","(29.9518940053745, -90.0390881367587)"
942.locationvalue,"(29.9811897769154, -90.077445747131)","(29.9811897769154, -90.0771445747131)"
2583.address,g3021 De Soto St,3021 De Soto St
896.namevalue,617 S Lopze St,617 S Lopez St
1762.address,"1822 Martin Luuther King, Jr Blvd","1822 Martin Luther King, Jr Blvd"
1103.locationvalue,"(w29.9713604940972, -90.0819700538249)","(29.9713604940972, -90.0819700538249)"
2596.expirationdate,030/1/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1983.address,625MARIGNY ST,625 MARIGNY ST
1617.locationvalue,"(29.938003354566, -90.071251779625)***","(29.938003354566, -90.071251779625)"
1166.address,6041c Baccich St,6041 Baccich St
2186.locationvalue,"(29.9662868022042, -9l0.0717917880624)","(29.9662868022042, -90.0717917880624)"
633.address,1o520 Leda St,1520 Leda St
273.locationvalue,"(29.947726950l8728, -90.0733645034984)","(29.9477269508728, -90.0733645034984)"
2536.locationvalue,"(29.9458725987994, -90.066179826533)","(29.9458725987994, -90.0661798265833)"
2691.address,4107 Clematics St,4107 Clematis St
360.locationvalue,"(29.974154707753, -90.074z6373991826)","(29.974154707753, -90.0746373991826)"
1833.namevalue,3512 D'hemecurt St,3512 D'hemecourt St
1669.address,415 DAUPINE ST,415 DAUPHINE ST
2577.type,Short Term Rental Residential Ownecr,Short Term Rental Residential Owner
218.namevalue,334 Carnodelet St Unit 201,334 Carondelet St Unit 201
2723.namevalue,451 Giord St Apt 303,451 Girod St Apt 303
4.namevalue,1030 Kerlerec St Apt c3,1030 Kerlerec St Apt 3
2391.locationvalue,"(29.9657442538127, -90.0551191954596)","(29.9657442538127, -90.0551191594596)"
1658.address,2454 N Villere St***,2454 N Villere St
193.locationvalue,"(29.9476536297664, -90.0733293991080)","(29.9476536297664, -90.0733293991008)"
27.address,1724Louisiana Ave Apt 1A,1724 Louisiana Ave Apt 1A
801.expirationdate,12/26/2022 1z1:59:59 PM,12/26/2022 11:59:59 PM
2123.namevalue,101b2 Elysian Fields Ave Apt 3,1012 Elysian Fields Ave Apt 3
2299.locationvalue,"(29.964566347061,2 -90.0662411157314)","(29.9645663470612, -90.0662411157314)"
1745.locationvalue,"(29.925889073541, -90.0819633552986)","(29.9258890973541, -90.0819633552986)"
736.locationvalue,"(29.9215248350319, 90.1194949353389)","(29.9215248350319, -90.1194949353389)"
1143.address,"1823 Maritn Luther King, Jr Blvd","1823 Martin Luther King, Jr Blvd"
759.namevalue,394 3General Taylor St,3943 General Taylor St
553.namevalue,1128 N Romna St,1128 N Roman St
2489.address,1908 Camronne St,1908 Cambronne St
1993.namevalue,1332 St Rocsh Ave,1332 St Roch Ave
560.expirationdate,07/31/2023 11:59:v59 PM,07/31/2023 11:59:59 PM
283.locationvalue,"29.9350826353824, -90.1089220734276)","(29.9350826353824, -90.1089220734276)"
480.expirationdate,05/17/2023 11:5959 PM,05/17/2023 11:59:59 PM
14.type,Short lTerm Rental Commercial Owner,Short Term Rental Commercial Owner
2573.type,ShortTerm Rental Residential Owner,Short Term Rental Residential Owner
2075.locationvalue,"(29.9745786579176, -90.0483023038715)","(29.9745786597176, -90.0483023038715)"
2034.expirationdate,07/19/2023 11:59:5 9PM,07/19/2023 11:59:59 PM
1324.address,4735 Peca St,4735 Pecan St
306.locationvalue,"(29.4919609150981, -90.072261953553)","(29.9419609150981, -90.072261953553)"
879.namevalue,243 Gravier St,2433 Gravier St
1979.locationvalue,"(29.977176302441, -90.1036598553152)","(29.9771763302441, -90.1036598553152)"
2761.address,1031 Tahlia St,1031 Thalia St
104.locationvalue,"(29.971872004666, -90.0886616921032)","(29.9718720054666, -90.0886616921032)"
1633.locationvalue,"(29.9775756929778, -90.104767061388)","(29.9775756929778, -90.1044767061388)"
596.namevalue,138 Henriette Delille St Apt G,1738 Henriette Delille St Apt G
2003.expirationdate,07/12/2023 11:59:5 PM,07/12/2023 11:59:59 PM
891.expirationdate,11/01/2023 11:59:59 PM***,11/01/2023 11:59:59 PM
1470.type,Short Term Rental Residential Ownr,Short Term Rental Residential Owner
1446.locationvalue,"(30.0137099157555, -89.989831743547)6","(30.0137099157555, -89.9898317435476)"
446.address,3430 S Librty St,3430 S Liberty St
852.address,x1807 S Lopez St,1807 S Lopez St
1743.address,2339 Duaine St,2339 Dumaine St
2330.locationvalue,"(29.954131991777, -90.0149834277q19)","(29.954131991777, -90.014983427719)"
2028.type,Short Term Rntal Residential Owner,Short Term Rental Residential Owner
996.locationvalue,"(2.99645407508076, -90.0586217950936)","(29.9645407508076, -90.0586217950936)"
2623.expirationdate,03/f01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
56.expirationdate,12/16/20m22 11:59:59 PM,12/16/2022 11:59:59 PM
1076.address,1738 Hneriette Delille St Apt F,1738 Henriette Delille St Apt F
576.namevalue,30 Lowerline St Apt A,309 Lowerline St Apt A
1036.expirationdate,06/07/2023 11:59q:59 PM,06/07/2023 11:59:59 PM
2493.address,535 Bounvy St,535 Bouny St
2455.locationvalue,"(29.920410057461, -90.r0937011091653)","(29.920410057461, -90.0937011091653)"
1224.expirationdate,08/23/2023 1159:59 PM,08/23/2023 11:59:59 PM
2619.locationvalue,"(29.9663949603389, -90.0a759612637438)","(29.9663949603389, -90.0759612637438)"
2569.locationvalue,"(29.945808690746, -90.0661743226733)","(29.9458086907846, -90.0661743226733)"
1347.type,Short Trem Rental Commercial Owner,Short Term Rental Commercial Owner
2719.expirationdate,03/01/20231 2:00:00 AM,03/01/2023 12:00:00 AM
1602.expirationdate,04/27/2023 11w:59:59 PM,04/27/2023 11:59:59 PM
2414.locationvalue,"(2.9468753595545, -90.0685149434679)","(29.9468753595545, -90.0685149434679)"
1756.expirationdate,03/01/2023 12:000:0 AM,03/01/2023 12:00:00 AM
2692.type,Short Term Rental Residentiyal Owner,Short Term Rental Residential Owner
1844.expirationdate,02/27/2023 11:59:59P M,02/27/2023 11:59:59 PM
2250.locationvalue,"(29.97972109367k17, -90.0701452851437)","(29.9797210936717, -90.0701452851437)"
1163.namevalue,THE DRIFTER HOTEnL,THE DRIFTER HOTEL
1632.type,Short Terum Rental Residential Owner,Short Term Rental Residential Owner
1048.expirationdate,0/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
2022.namevalue,43 Opelousas Ave,434 Opelousas Ave
2276.locationvalue,"(29.949926522331, -90.0511583534499)","(29.9949926522331, -90.0511583534499)"
1302.locationvalue,"(30.03693688863x12, -90.0042975480874)","(30.0369368886312, -90.0042975480874)"
1511.expirationdate,03/0/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1551.locationvalue,"(29.950847628934, -90.0660964437057)","(29.9508476328934, -90.0660964437057)"
2676.expirationdate,03/01/2023 12:00:00 MA,03/01/2023 12:00:00 AM
339.locationvalue,"(29.9191640456755, -90.108604067054)","(29.9191640456755, -90.1086040670054)"
208.address,1502 Richland Rd,1520 Richland Rd
1180.namevalue,1115 Magaret Pl Unit 202,1115 Margaret Pl Unit 202
428.namevalue,2429 Grlavier St,2429 Gravier St
2012.expirationdate,07/12/2023 w11:59:59 PM,07/12/2023 11:59:59 PM
1437.locationvalue,"(29.636780343351, -90.0363136065955)","(29.9636780343351, -90.0363136065955)"
864.namevalue,311 S Corteez St,311 S Cortez St
1869.type,401 - HOTELS (EXC CASINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
2753.locationvalue,"q(30.1567023517402, -89.738070890462)","(30.1567023517402, -89.738070890462)"
538.locationvalue,"(29.9401706831954, -90h.0790703407928)","(29.9401706831954, -90.0790703407928)"
1289.namevalue,1317 HenrietteDelille St Apt 2A,1317 Henriette Delille St Apt 2A
138.expirationdate,04/06/2023 1:59:59 PM,04/06/2023 11:59:59 PM
2656.address,5509 Vermilion Blvd,5509 Vermillion Blvd
1312.locationvalue,"(29.9524692187072, -90.068183430965)","(29.9524692187072, -90.0685183430965)"
2429.namevalue,817 Delachaise hSt,817 Delachaise St
466.namevalue,705 Camp St cApt 301,705 Camp St Apt 301
155.type,Short Term Rxental Commercial Owner,Short Term Rental Commercial Owner
1051.locationvalue,"(29.9680746912157, z-90.0624722728904)","(29.9680746912157, -90.0624722728904)"
629.locationvalue,"(29.9356157682632, -90.070993103k5791)","(29.9356157682632, -90.0709931035791)"
2774.type,4701 - HOTELS (EXC CASINO HOTELSy) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
2542.expirationdate,0k8/25/2023 11:59:59 PM,08/25/2023 11:59:59 PM
1964.address,1123 MARAIS ST***,1123 MARAIS ST
1558.locationvalue,"(29.9655806714556, -90.069645853347)","(29.9655806714556, -90.0659645853347)"
1019.locationvalue,"(29.952981325065, -90.1159190y694886)","(29.952981325065, -90.1159190694886)"
697.address,4153 Sate Street Dr,4153 State Street Dr
163.type,Short yTerm Rental Commercial Owner,Short Term Rental Commercial Owner
1744.type,Short Term Rnental Residential Owner,Short Term Rental Residential Owner
1747.expirationdate,02/06/202311:59:59 PM,02/06/2023 11:59:59 PM
2552.address,2t465 Dauphine St,2465 Dauphine St
1111.expirationdate,10/23/l2023 11:59:59 PM,10/23/2023 11:59:59 PM
1688.type,Short Term Rental Coymmercial Owner,Short Term Rental Commercial Owner
2364.namevalue,334 Caondelet St Unit 408,334 Carondelet St Unit 408
2147.type,Short cTerm Rental Residential Owner,Short Term Rental Residential Owner
2585.locationvalue,"(29.9200843512261, -9.0822630463915)","(29.9200843512261, -90.0822630463915)"
487.address,2700 Abury St,2700 Aubry St
1501.namevalue,812G ravier St Apt 408,812 Gravier St Apt 408
1798.locationvalue,"(29.95192x47238749, -90.0714689530682)","(29.9519247238749, -90.0714689530682)"
468.address,605 Tchoupitoulas St,5605 Tchoupitoulas St
2065.locationvalue,"(29.9549777418179, 90.0724615265804)","(29.9549777418179, -90.0724615265804)"
1318.locationvalue,"(29.9777090838593, -90.083961747n9359)","(29.9777090838593, -90.0839617479359)"
509.expirationdate,5/02/2023 11:59:59 PM,05/02/2023 11:59:59 PM
1356.locationvalue,"(29.9423524462314, -90.1242990501962)","(29.9423524462314, -90.1249290501962)"
1489.namevalue,512 Freret St,8512 Freret St
1709.address,2214 Firts St,2214 First St
1846.address,110n0 N PRIEUR ST,1100 N PRIEUR ST
998.address,1004 Second St***,1004 Second St
1458.namevalue,fLA BELLE ESPLANADE,LA BELLE ESPLANADE
1510.namevalue,3301 lSt Claude Ave,3301 St Claude Ave
881.locationvalue,"(29.9736398581834, -90.096452649688)","(29.9736398581834, -90.0964525649688)"
2527.locationvalue,"(29.9341157306386, -90.1031642537916)***","(29.9341157306386, -90.1031642537916)"
390.locationvalue,"d(29.9436846733591, -90.0357505500595)","(29.9436846733591, -90.0357505500595)"
511.type,Short Trem Rental Commercial Owner,Short Term Rental Commercial Owner
1755.locationvalue,"(29.9661360725203, -90.0590314613205)","(29.9663160725203, -90.0590314613205)"
1787.locationvalue,"(29.9285444250034, -90.1115416444248)","(29.9284544250034, -90.1115416444248)"
1782.type,Short Term Rental Residential iOwner,Short Term Rental Residential Owner
2312.address,2405 Daneel St,2405 Danneel St
2618.locationvalue,"(30.0446769783469, -89.9855607725651)","(30.0446769783469, -89.9855607725561)"
2439.namevalue,1140 Epsplanade Ave,1140 Esplanade Ave
2340.type,Short Tperm Rental Residential Owner,Short Term Rental Residential Owner
810.type,Short Term Rental Commrecial Owner,Short Term Rental Commercial Owner
2159.locationvalue,"(29.9810493618221, -90.0960442094614)***","(29.9810493618221, -90.0960442094614)"
2143.locationvalue,"(29.9685599902653, -90.06441z38678696)","(29.9685599902653, -90.0644138678696)"
895.address,1537S Carrollton Ave,1537 S Carrollton Ave
696.namevalue,339 Caronedlet St Apt 2A,339 Carondelet St Apt 2A
401.type,Short Term Renvtal Residential Owner,Short Term Rental Residential Owner
2514.locationvalue,"(29.9660380838047, -90.0938040577617)","(29.9660380838047, -90.0930840577617)"
2328.address,1425 St eBrnard Ave,1425 St Bernard Ave
6.expirationdate,1/03/2022 11:59:59 PM,11/03/2022 11:59:59 PM
244.namevalue,1931 Sophie Wright lP,1931 Sophie Wright Pl
1681.namevalue,5924 St Cladue Ave,5924 St Claude Ave
1988.expirationdate,03/01/2023 12:0:00 AM,03/01/2023 12:00:00 AM
920.namevalue,534  Miro St,534 S Miro St
655.namevalue,MAZANT HOLDNIG,MAZANT HOLDING
1007.type,Short Term Rental oCmmercial Owner,Short Term Rental Commercial Owner
1898.expirationdate,02/14/223 11:59:59 PM,02/14/2023 11:59:59 PM
83.address,2048 Florida Avke,2048 Florida Ave
839.address,620 PaulineS t,620 Pauline St
1659.type,4701 - HOTELS (EXC CASINO HOTELS)  &MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
293.namevalue,5231 Pasteur Blvd,5213 Pasteur Blvd
66.type,Short Term Rental Commercil Owner,Short Term Rental Commercial Owner
1402.expirationdate,03/01/2023 12:0:00 AM,03/01/2023 12:00:00 AM
2054.locationvalue,"(2u9.9706263433425, -90.0546467583288)","(29.9706263433425, -90.0546467583288)"
1107.type,ShortT erm Rental Commercial Owner,Short Term Rental Commercial Owner
2416.address,1629 St jCharles Ave Apt C,1629 St Charles Ave Apt C
1977.namevalue,NEW ORLEANS bMARRIOTT HOTEL-[H/P],NEW ORLEANS MARRIOTT HOTEL-[H/P]
1201.address,510 N Lopcez St,510 N Lopez St
1934.locationvalue,"(29.963923926526, -90.0524040336496)","(29.963923926526, -90.0524040334696)"
618.type,Short Term Rental Commercail Owner,Short Term Rental Commercial Owner
2121.namevalue,1742 Clio gSt Apt C,1742 Clio St Apt C
2559.address,9250 Palm St,9520 Palm St
2209.expirationdate,07/28/2023w 11:59:59 PM,07/28/2023 11:59:59 PM
1727.namevalue,THE PRYTANIA OAKS HOTL,THE PRYTANIA OAKS HOTEL
474.locationvalue,"(29.9773030555462, -90.0464704981358)","(29.9773030554562, -90.0464704981358)"
2385.type,Shor tTerm Rental Residential Owner,Short Term Rental Residential Owner
474.expirationdate,10/06/2023 07:193:4 AM,10/06/2023 07:19:34 AM
1451.address,1235 St Ferdinand tS,1235 St Ferdinand St
2488.expirationdate,09/11/2023 12:48:18k PM,09/11/2023 12:48:18 PM
2.expirationdate,06/27/2023 11:5959 PM,06/27/2023 11:59:59 PM
1828.type,4703 - BED & BREAKFAST NNS,4703 - BED & BREAKFAST INNS
1142.namevalue,800 Sts Charles Ave Apt 303,800 St Charles Ave Apt 303
1128.locationvalue,"(29.9456709293862, -90.071435122313)","(29.9456702993862, -90.071435122313)"
209.namevalue,1001 Bartholomew t,1001 Bartholomew St
213.expirationdate,06/29/023 11:59:59 PM,06/29/2023 11:59:59 PM
1249.address,2229 Dauphin eSt,2229 Dauphine St
547.namevalue,232 8Barracks St,2328 Barracks St
1004.namevalue,220 N Robertson St,2220 N Robertson St
822.address,3233 St Thmas St,3233 St Thomas St
299.address,4478 Painwters St,4478 Painters St
751.address,4537C onstance St,4537 Constance St
2344.type,Short Term Rental Comfmercial Owner,Short Term Rental Commercial Owner
1368.expirationdate,03/01/20s23 12:00:00 AM,03/01/2023 12:00:00 AM
2048.namevalue,616 S Lopz St,616 S Lopez St
89.type,Short Term Rentl Commercial Owner,Short Term Rental Commercial Owner
2074.namevalue,2328 JosephSt,2328 Joseph St
652.locationvalue,"(29.9713910484e995, -90.0878465090811)","(29.9713910484995, -90.0878465090811)"
1413.address,980 UNION ST,908 UNION ST
698.expirationdate,03/10/2023 12:00:00 AM,03/01/2023 12:00:00 AM
2619.type,Short Term Rentall Commercial Owner,Short Term Rental Commercial Owner
87.locationvalue,"(29.9588350886875, -90.087235c1559651)","(29.9588350886875, -90.0872351559651)"
654.locationvalue,"(29.9718453727977, -90.1051841766815)","(29.9718453727797, -90.1051841766815)"
455.locationvalue,"(29.9329080227936 ,-90.0725549836185)","(29.9329080227936, -90.0725549836185)"
150.namevalue,2628 Eler St,2628 Elder St
1896.address,130 Franklin,1305 Franklin
1951.locationvalue,"(29.9705983674672, -90.0699975311805)","(29.9705983676472, -90.0699975311805)"
793.namevalue,2327A ubry St,2327 Aubry St
2020.expirationdate,05/1/32023 11:59:59 PM,05/13/2023 11:59:59 PM
662.namevalue,39i00 Delachaise St,3900 Delachaise St
2483.locationvalue,"(29.935911474256, -90.1059351148827)","(29.9359141474256, -90.1059351148827)"
2327.type,Short Term Rental ResidentialOwner,Short Term Rental Residential Owner
1854.expirationdate,03/01/2023 21:00:00 AM,03/01/2023 12:00:00 AM
2435.address,1733 Ursuilnes Ave,1733 Ursulines Ave
2302.expirationdate,0/926/2023 08:49:39 AM,09/26/2023 08:49:39 AM
1683.locationvalue,"(9.9386409621489, -90.0804319085913)","(29.9386409621489, -90.0804319085913)"
891.namevalue,2437G ravier St,2437 Gravier St
2297.address,1737 hTird St,1737 Third St
165.type,Short Term Rental Rdesidential Owner,Short Term Rental Residential Owner
1680.address,1632 Eigthh St Apt A,1632 Eighth St Apt A
1809.namevalue,2312 Milan t,2312 Milan St
642.address,1906b Josephine St,1906 Josephine St
1457.locationvalue,"(29.3974731911349, -90.0714088532692)","(29.9374731911349, -90.0714088532692)"
2033.address,1210 Carondelet St Unit sB,1210 Carondelet St Unit B
1537.type,Short TermR ental Residential Owner,Short Term Rental Residential Owner
1392.namevalue,900 Bartholoemw St Unit 404,900 Bartholomew St Unit 404
2329.expirationdate,90/07/2023 09:41:02 PM,09/07/2023 09:41:02 PM
1789.type,Short Term Rental Residential Ownre,Short Term Rental Residential Owner
2468.locationvalue,"(29.9635676786727, -90.0434286718446)","(29.9635676786277, -90.0434286718446)"
1528.type,Cmmercial STR,Commercial STR
2492.expirationdate,03/01/2023 12:0000 AM,03/01/2023 12:00:00 AM
1495.expirationdate,03/01/2023t 12:00:00 AM,03/01/2023 12:00:00 AM
1214.expirationdate,03/07/2023 11:59:59n PM,03/07/2023 11:59:59 PM
1308.type,Shor Term Rental Residential Owner,Short Term Rental Residential Owner
2055.address,2290 Dante St,2209 Dante St
436.type,Short Term Rental Commearcial Owner,Short Term Rental Commercial Owner
1973.locationvalue,"(29.9423985559625, -90.0758583903508)","(29.9423958559625, -90.0758583903508)"
2760.address,5323 Mremphis St,5323 Memphis St
935.namevalue,1024 SixthS t Apt 201,1024 Sixth St Apt 201
1591.address,11231 S Ilewood Ct,11231 S Idlewood Ct
