115.sex,Femael,Female
194.characteristic,"Pacific Islander, non-Hispaqnic","Pacific Islander, non-Hispanic"
31.noteonpercentage,Interpret data with caution. Thze coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
70.raceethnicity,Hyispanic,Hispanic
108.raceethnicity,"American Indian/Alaska Native, nonH-ispanic","American Indian/Alaska Native, non-Hispanic"
176.noteonpercentage,nterpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
35.raceethnicity,"American Indian/Alaska Native, non-Hispaic","American Indian/Alaska Native, non-Hispanic"
179.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for thirs estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
121.raceethnicity,"Two or more races, non-Hspanic","Two or more races, non-Hispanic"
97.sex,Femael,Female
7.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 an 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
19.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient o variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
82.sex,Femael,Female
64.percentage,371%,37.1%
142.percentage,2.4%,42.4%
151.characteristic,"Black,n on-Hispanic","Black, non-Hispanic"
300.sex,eFmale,Female
130.characteristic,"Total - Two or more aces, non-Hispanic","Total - Two or more races, non-Hispanic"
84.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimateor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
160.noteoncount,Reporting standards not met. fEither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
174.characteristic,"Asin, non-Hispanic","Asian, non-Hispanic"
28.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) forthis estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
208.noteoncount,Reporting standards not met. Either here are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
101.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and w50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
272.characteristic,"sian, non-Hispanic","Asian, non-Hispanic"
41.sex,Femaple,Female
134.sex,mMale,Male
65.raceethnicity,"Blac,k non-Hispanic","Black, non-Hispanic"
96.percentage,5.8%,55.8%
277.noteoncount,Reporting standards not mte. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
26.raceethnicity,"American Indian/Alaska Native, non-Hispaic","American Indian/Alaska Native, non-Hispanic"
13.raceethnicity,"American Indian/Alaska Native, non-Hispapnic","American Indian/Alaska Native, non-Hispanic"
263.noteoncount,Reporting standards not met. uEither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
159.characteristic,Hisapnic,Hispanic
307.characteristic,"Two or moreu races, non-Hispanic","Two or more races, non-Hispanic"
294.sex,Femae,Female
309.characteristic,"Tvwo or more races, non-Hispanic","Two or more races, non-Hispanic"
159.raceethnicity,Hkispanic,Hispanic
76.characteristic,Total - Hipanic,Total - Hispanic
71.percentage,4.8%,24.8%
250.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 05 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
260.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 pecent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
20.raceethnicity,"American Indian/Alaska Natvie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
295.raceethnicity,"American Indan/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
102.sex,emale,Female
228.raceethnicity,"gWhite, non-Hispanic","White, non-Hispanic"
59.noteonpercentage,Interpreht data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
238.noteoncount,Reporting stadards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
65.characteristic,"Total - Black, no-Hispanic","Total - Black, non-Hispanic"
280.raceethnicity,"Pacific Islander, non-Hispanibc","Pacific Islander, non-Hispanic"
299.raceethnicity,"American Indian/Alaska Native, non-Hbispanic","American Indian/Alaska Native, non-Hispanic"
117.sex,Fsemale,Female
170.percentage,9%,59%
99.noteoncount,Reporting standards not met. Either there are too few casefs for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.percentage,8.7%,38.7%
87.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimrate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
174.noteonpercentage,Interpret data with cautio. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
227.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficwient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
247.raceethnicity,"Black, no-nHispanic","Black, non-Hispanic"
160.raceethnicity,zHispanic,Hispanic
2.noteoncount,Reporting standards not met. Either there are too few cases forb a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
103.percentage,37.w8%,37.8%
58.characteristic,"Totl - Black, non-Hispanic","Total - Black, non-Hispanic"
9.sex,qFemale,Female
175.raceethnicity,"Asian,q non-Hispanic","Asian, non-Hispanic"
207.noteoncount,Reporting standards not met. Either there are too few cases for a reilable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
17.percentage,34.h3%,34.3%
16.percentage,337%,33.7%
52.characteristic,"Toal - White, non-Hispanic","Total - White, non-Hispanic"
203.sex,Mael,Male
306.noteoncount,Repoorting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
238.sex,Femlae,Female
198.raceethnicity,"American Indian/Alaska Nativ,e non-Hispanic","American Indian/Alaska Native, non-Hispanic"
265.percentage,75.7%,57.7%
83.percentage,60.%,60.6%
62.noteoncount,Reporting standrads not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
304.characteristic,"Two or more races, nno-Hispanic","Two or more races, non-Hispanic"
55.raceethnicity,"Black, noxn-Hispanic","Black, non-Hispanic"
36.percentage,l44.2%,44.2%
163.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this etimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
197.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 pfercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
258.raceethnicity,Hixspanic,Hispanic
63.percentage,83.4%,38.4%
255.raceethnicity,ispanic,Hispanic
177.raceethnicity,"Asian, nno-Hispanic","Asian, non-Hispanic"
80.sex,Femxale,Female
274.raceethnicity,"Pacifci Islander, non-Hispanic","Pacific Islander, non-Hispanic"
107.raceethnicity,"American Ibndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
1.percentage,355.%,35.5%
60.raceethnicity,"lBack, non-Hispanic","Black, non-Hispanic"
226.raceethnicity,"White, non-Hipanic","White, non-Hispanic"
155.percentage,3%4,34%
113.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percen.t,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
39.sex,emale,Female
39.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or thpe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.characteristic,White non-Hispanic,"White, non-Hispanic"
111.sex,emale,Female
187.sex,Mael,Male
78.sex,Femgale,Female
11.percentage,41.2t%,41.2%
260.raceethnicity,Hispanci,Hispanic
46.noteoncount,Reporting standards not met. Either there are too few cases for a reiable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
115.noteonpercentage,Interpret data with caution. The coefficient of variaion (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
95.noteoncount,Reporting standards not mwet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
31.characteristic,Total - emale,Total - Female
69.sex,Femalre,Female
226.sex,Fmemale,Female
32.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 pecrent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
19.raceethnicity,"American Indian/Alaska Native, non-Hikspanic","American Indian/Alaska Native, non-Hispanic"
206.sex,ale,Male
305.sex,wFemale,Female
219.characteristic,"Two orm ore races, non-Hispanic","Two or more races, non-Hispanic"
200.percentage,20.%,20.5%
135.characteristic,"Whitde, non-Hispanic","White, non-Hispanic"
85.noteonpercentage,Interpre data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
152.percentage,29.p7%,29.7%
77.percentage,3.48%,34.8%
278.noteoncount,Reporting standards not met. Either there ae too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
62.raceethnicity,"Black, non-Hisanic","Black, non-Hispanic"
247.percentage,387.%,38.7%
7.noteoncount,Reporting standards not met. Either there are too few cases for za reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.characteristic,"Ttoal - White, non-Hispanic","Total - White, non-Hispanic"
30.noteoncount,Reporting standardsb not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
56.noteonpercentage,Inetrpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
281.noteonpercentage,Interpret data with caution. The coefficient of varitation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
36.noteonpercentage,Interpret data with caution. The coefficient of variation C(V) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
186.noteonpercentage,Interpret data with jcaution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
132.raceethnicity,"White, non-Hsipanic","White, non-Hispanic"
168.characteristic,Hispaninc,Hispanic
163.sex,Mle,Male
14.raceethnicity,"American Indian/Alaska Native, non-Hispaic","American Indian/Alaska Native, non-Hispanic"
192.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimlate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
278.raceethnicity,"Pacific Islandr, non-Hispanic","Pacific Islander, non-Hispanic"
164.characteristic,Hisapnic,Hispanic
125.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is bebtween 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
295.noteoncount,Reporting standards nbot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
110.raceethnicity,"American Indian/Alaska Native, onn-Hispanic","American Indian/Alaska Native, non-Hispanic"
211.percentage,38.%4,38.4%
236.noteoncount,Reporting standards not met. Either there are too few cagses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
283.sex,Femrale,Female
123.raceethnicity,"Two or more rcaes, non-Hispanic","Two or more races, non-Hispanic"
169.noteonpercentage,Interpret data with caution. The coefficientof variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
43.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greate.r,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
280.noteoncount,Reporting standards not met. Either tehre are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
49.characteristic,"Toal - White, non-Hispanic","Total - White, non-Hispanic"
297.noteonpercentage,Interpret data with caution. Teh coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
77.noteonpercentage,Interpret data with caution. Thec coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
57.raceethnicity,"Black, non-Hispainc","Black, non-Hispanic"
122.raceethnicity,"rTwo or more races, non-Hispanic","Two or more races, non-Hispanic"
7.characteristic,Toal,Total
1.noteonpercentage,Interpret daa with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
51.noteonpercentage,Interpret data with caution. The coefficient of variatio (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
199.raceethnicity,"American Indian/Alaska Native, no-nHispanic","American Indian/Alaska Native, non-Hispanic"
114.raceethnicity,"American Indian/Alaska Native, non-Hispandic","American Indian/Alaska Native, non-Hispanic"
223.raceethnicity,"White, non-iHspanic","White, non-Hispanic"
189.raceethnicity,"Pacific Islander, ngon-Hispanic","Pacific Islander, non-Hispanic"
45.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varciation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
14.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or grater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
22.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaetr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
287.percentage,205%,20.5%
190.raceethnicity,"Pacifivc Islander, non-Hispanic","Pacific Islander, non-Hispanic"
293.percentage,3z5.9%,35.9%
306.sex,Feale,Female
269.characteristic,"sian, non-Hispanic","Asian, non-Hispanic"
134.characteristic,"White, non-Hispaic","White, non-Hispanic"
35.characteristic,Total - Femae,Total - Female
301.noteonpercentage,Data not availble.,Data not available.
23.characteristic,Total - Mae,Total - Male
20.noteoncount,Reporting standards not met. Either ther eare too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
86.sex,Faemale,Female
56.percentage,32i.3%,32.3%
228.noteoncount,Reporting standards not met .Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
29.percentage,397.%,39.7%
153.percentage,33.z2%,33.2%
60.characteristic,"Total - Black, non-Hispanitc","Total - Black, non-Hispanic"
183.sex,Mae,Male
224.noteonpercentage,Interpret data with caution. The coefficient of variation( CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
293.characteristic,"American IndianA/laska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
93.sex,emale,Female
113.percentage,1.9%,21.9%
119.raceethnicity,"Two or more raceps, non-Hispanic","Two or more races, non-Hispanic"
274.noteoncount,Data nto available.,Data not available.
10.raceethnicity,"American Indian/Alauska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
259.characteristic,Hipanic,Hispanic
143.sex,bMale,Male
274.sex,Femlae,Female
241.raceethnicity,"Black, no-Hispanic","Black, non-Hispanic"
5.percentage,h38%,38%
92.noteonpercentage,Dajta not available.,Data not available.
155.noteonpercentage,Interpret data iwth caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
299.sex,Femlae,Female
272.raceethnicity,"Asian, non-Hispainc","Asian, non-Hispanic"
235.characteristic,"Blac, non-Hispanic","Black, non-Hispanic"
4.sex,Femael,Female
264.noteoncount,Reporting standars not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
213.noteoncount,Reporting standards not met. Either there are too few cases for a rleiable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
148.raceethnicity,"Balck, non-Hispanic","Black, non-Hispanic"
97.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vamriation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
252.percentage,e28.2%,28.2%
221.percentage,354.%,35.4%
312.sex,Femael,Female
20.percentage,34.%1,34.1%
141.percentage,40.6h%,40.6%
205.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 dpercent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
117.percentage,72.8%,27.8%
122.characteristic,"Tota - Two or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
289.raceethnicity,"American Indian/Alasa Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
89.sex,emale,Female
93.raceethnicity,"Paciifc Islander, non-Hispanic","Pacific Islander, non-Hispanic"
193.raceethnicity,"Pacific Islander, no-Hispanic","Pacific Islander, non-Hispanic"
191.sex,ale,Male
169.raceethnicity,ispanic,Hispanic
47.noteonpercentage,Interpret data with cuation. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
9.noteoncount,Reporting standards not met. Either there are too fewc ases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
9.raceethnicity,"Americna Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
78.raceethnicity,Hipanic,Hispanic
203.percentage,1y1.8%,11.8%
29.sex,Femael,Female
301.noteoncount,Dataa not available.,Data not available.
215.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 3o0 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
304.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
79.percentage,55m.9%,55.9%
