1634.city,Cany,Caney
8199.geocodecitylevel,"West Cester, PA
(39.960481, -75.605214)","West Chester, PA
(39.960481, -75.605214)"
1089.psapid,7620.0,8447
1289.psapid,5997.0,3797
649.psapid,445.0,71
6524.county,Frnaklin,Franklin
3774.statevalue,S,KS
6555.city,cShurz,Schurz
2416.datelastmodified,03/04/2040,03/04/2004
7757.typeofchangefulltext,No Changes have been mad.e,No Changes have been made.
207.psapid,7346.0,7222
4737.geocodecitylevel,"Williamston, NaC
(35.853678, -77.057398)","Williamston, NC
(35.853678, -77.057398)"
2865.typeofchangefulltext,No Changes have bee nmade.,No Changes have been made.
669.geocodecitylevel,"Peekskill, NY
(41.290357, -73.921894)","Norton, KS
(39.833745, -99.887465)"
232.psapid,7531.0,6729
2452.typeofchangefulltext,No Chnages have been made.,No Changes have been made.
887.county,Bropward,Broward
4294.city,Dlavidson,Davidson
2668.statevalue,T,CT
700.geocodecitylevel,"Gallup, NM
(35.519123, -108.739769)","Grants, NM
(35.156254, -107.842454)"
542.psapid,5093.0,1510
538.statevalue,TnX,TX
8537.statevalue,yNJ,NJ
923.psapid,5215.0,6356
2188.statevalue,IjL,IL
2295.typeofchangefulltext,No Changes have een made.,No Changes have been made.
5908.county,Jackon,Jackson
7206.psapname,Seminole Count ySheriffs Department,Seminole County Sheriffs Department
952.psapid,2266.0,7018
5069.city,San Digo,San Diego
262.geocodecitylevel,"Harrison, MI
(42.58763, -82.81854)","Rowland, NC
(34.53663, -79.291295)"
1252.psapid,5629.0,4448
970.geocodecitylevel,"Caledonia, WI
(42.814847, -87.914135)","Halifax, VA
(36.766128, -78.928677)"
4840.county,Wheelexr,Wheeler
8415.geocodecitylevel,"North Providencce, RI
(41.857841, -71.484735)","North Providence, RI
(41.857841, -71.484735)"
5461.psapname,Osage Conty 911/emergency Management Agency,Osage County 911/emergency Management Agency
219.county,San iego,San Diego
190.geocodecitylevel,"Waupaca, WI
(44.358804, -89.084882)","York, ME
(43.139349, -70.69604)"
6939.county,eminole,Seminole
1301.psapid,7516.0,8408
2014.datelastmodified,03/04/0204,03/04/2004
8208.city,eru,Peru
2644.county,Mecklnburg,Mecklenburg
7483.statevalue,IcL,IL
1130.statevalue,tTN,TN
1237.psapid,7620.0,3753
110.psapid,5174.0,4519
654.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original postin.","PSAP Name, State, County or City text has been modified since the original posting."
2775.typeofchangefulltext,No Changeis have been made.,No Changes have been made.
5281.datelastmodified,i03/04/2004,03/04/2004
7194.city,Chamette,Chalmette
3134.datelastmodified,30/04/2004,03/04/2004
4990.geocodecitylevel,"ewton, MS
(32.321732, -89.163067)","Newton, MS
(32.321732, -89.163067)"
5802.county,St. Charlse,St. Charles
640.psapid,2321.0,5572
7657.statevalue,LF,FL
6584.datelastmodified,05/112016,05/11/2016
967.typeofchangefulltext,No Changes hadve been made.,No Changes have been made.
5461.geocodecitylevel,"Linn, MO
(38.577737, -91.966205t)","Linn, MO
(38.577737, -91.966205)"
4843.city,Seaforad,Seaford
755.psapid,2210.0,6495
6011.city,Newoprt,Newport
1152.psapid,2619.0,2886
7529.city,Gainesvinlle,Gainesville
8501.city,Ashevilel,Asheville
1521.city,Inkdio,Indio
4167.city,Gawood,Garwood
6390.city,Miaim,Miami
1767.geocodecitylevel,"Steamboat Springs, C
(40.485489, -106.833557)","Steamboat Springs, CO
(40.485489, -106.833557)"
2303.county,Corffee,Coffee
564.psapid,2984.0,2458
8068.city,yIrvine,Irvine
1256.psapid,7620.0,632
6176.typeofchangefulltext,No Chages have been made.,No Changes have been made.
2805.city,Binghaton,Binghamton
5743.city,Oxforid,Oxford
5520.typeofchangefulltext,No hanges have been made.,No Changes have been made.
1128.county,Nassua,Nassau
3985.psapname,Exeter Fire Adn Rescue Department,Exeter Fire And Rescue Department
7076.geocodecitylevel,"Canton, MI
(42.299772, -83.486713)","Canton, MI
(42.297972, -83.486713)"
5598.city,El eCrrito,El Cerrito
798.geocodecitylevel,"Seattle, WA
(47.603229, -122.33028)","St Marys, GA
(30.759377, -81.576284)"
128.psapid,5093.0,6004
579.county,Barotn,Barton
276.geocodecitylevel,"Peru, IN
(40.753762, -86.069115)","Brookfield, MO
(39.789517, -93.075912)"
6821.statevalue,L,AL
372.psapid,3354.0,4925
1842.geocodecitylevel,"Markleeville, CA(
38.693563, -119.777758)","Markleeville, CA
(38.693563, -119.777758)"
2142.city,Wasington,Washington
4333.geocodecitylevel,"Sturbridge, MA(
42.108255, -72.079639)","Sturbridge, MA
(42.108255, -72.079639)"
6267.typeofchangefulltext,Orphaned PSAP n olonger considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
942.city,ainesville,Gainesville
87.psapid,7620.0,7842
7038.statevalue,rAR,AR
3843.geocodecitylevel,"Carlton, MN
(46.664679, -92.42b2631)","Carlton, MN
(46.664679, -92.422631)"
877.geocodecitylevel,"Medford, WI
(45.14287, -90.342964)","South Lake Tahoe, CA
(38.941539, -119.977191)"
544.geocodecitylevel,"Lincoln, RI
(41.926671, -71.445401)","Tucumcari, NM
(35.167852, -103.726151)"
990.geocodecitylevel,"Erie, NY","Fairfax, VA
(38.847183, -77.306292)"
2798.typeofchangefulltext,"PSAP Name, State, County or City text has been modified sincethe original posting.","PSAP Name, State, County or City text has been modified since the original posting."
597.geocodecitylevel,"Sibley, IA
(43.404, -95.751208)","Fairfield, AL
(33.486925, -86.912659)"
937.county,umboldt,Humboldt
821.geocodecitylevel,"Ocala, FL
(29.189311, -82.137789)","Pulaski, VA
(37.054716, -80.766246)"
3412.city,Prie,Price
8211.statevalue,lTX,TX
2381.typeofchangefulltext,No Changes hav been made.,No Changes have been made.
314.psapid,7346.0,1175
3836.typeofchangefulltext,No Chanpges have been made.,No Changes have been made.
5465.city,Grxafton,Grafton
948.statevalue,T,UT
2790.statevalue,Y,KY
4567.psapname,Carmel Polie Department,Carmel Police Department
356.psapid,6534.0,6098
3375.datelastmodified,03/04/q2004,03/04/2004
3811.statevalue,UfT,UT
1402.statevalue,S,KS
5723.statevalue,KO,OK
2955.psapname,Cadillac City Police Departemnt,Cadillac City Police Department
4787.typeofchangefulltext,PSAP was added sice the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
975.datelastmodified,030/4/2004,03/04/2004
607.psapid,2210.0,8289
3675.statevalue,xOH,OH
979.psapid,1028.0,3649
1659.psapname,Pulaski Couunty 9-1-1 Communications,Pulaski County 9-1-1 Communications
3123.psapname,Abilene Poliec Department,Abilene Police Department
141.psapid,5137.0,507
6438.datelastmodified,08/19/216,08/19/2016
4385.typeofchangefulltext,Secondary PSAP associated with a wPrimary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
416.datelastmodified,03/04/2004***,03/04/2004
978.psapid,2321.0,3417
521.psapid,8131.0,5366
7699.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
391.geocodecitylevel,"Markham, IL
(41.593513, -87.694621)","Van Buren, MI
(42.221186, -83.482211)"
6066.county,Cceil,Cecil
292.psapid,5093.0,6603
5776.city,Geen Cove Springs,Green Cove Springs
4413.typeofchangefulltext,"PSAP Name, State, County or City text has been modified isnce the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
7442.datelastmodified,3/04/2004,03/04/2004
2729.city,Courtlangd,Courtland
1902.county,Wlliamson,Williamson
529.psapid,7516.0,4465
3294.statevalue,L,IL
8461.typeofchangefulltext,PSAP was added since the original psoting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
3785.county,Eddy***,Eddy
1021.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the original postin.g","PSAP Name, State, County or City text has been modified since the original posting."
1653.statevalue,XT,TX
4828.datelastmodified,05/2o2/2008,05/22/2008
4782.geocodecitylevel,"AR
(34.748745, -92.275k105)","AR
(34.748745, -92.275105)"
672.psapid,2984.0,4287
492.geocodecitylevel,"AZ
(34.869712, -111.760902)","St Louis Park, MN
(44.943609, -93.368281)"
485.psapid,5215.0,5094
860.psapid,5215.0,3844
6410.city,Simpsoville,Simpsonville
442.datelastmodified,01/4/2004,01/14/2004
571.psapid,6534.0,4824
7826.geocodecitylevel,"Saluda, SC
(34.00156, -j81.772094)","Saluda, SC
(34.00156, -81.772094)"
7054.county,Jacson,Jackson
6502.city,Kingsvillle,Kingsville
269.psapid,445.0,5995
5546.county,Blranch,Branch
7557.geocodecitylevel,"Fountain Valley, CA
(3.708975, -117.951323)","Fountain Valley, CA
(33.708975, -117.951323)"
278.county,utler,Butler
7677.statevalue,AL,LA
135.county,Yaapai,Yavapai
583.typeofchangefulltext,Nho Changes have been made.,No Changes have been made.
5129.statevalue,rAK,AK
2656.psapname,Washington Coounty Eoc,Washington County Eoc
2146.geocodecitylevel,"Mt Carroll, IL
(24.094803, -89.977617)","Mt Carroll, IL
(42.094803, -89.977617)"
3495.datelastmodified,02/01/212,02/01/2012
5004.psapname,Copperas Coev Police Department,Copperas Cove Police Department
1431.psapname,Jersey Vlilage Police Department,Jersey Village Police Department
6194.statevalue,AW,WA
3522.datelastmodified,30/04/2004,03/04/2004
4623.statevalue,AL,LA
7963.city,Neillsvilel,Neillsville
1783.city,Port St oe,Port St Joe
3699.city,Daytton,Dayton
6778.psapname,Cleveland Heights Poice,Cleveland Heights Police
2328.city,Tcaoma,Tacoma
4670.statevalue,AbZ,AZ
627.psapid,2984.0,2496
8421.datelastmodified,06d/25/2016,06/25/2016
368.psapid,1564.0,469
8212.statevalue,AW,WA
271.psapid,7620.0,916
7017.statevalue,lIL,IL
3105.city,Ft ollins,Ft Collins
1521.county,Rivreside,Riverside
1013.psapid,7344.0,718
4802.typeofchangefulltext,Secondry PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
8327.city,Hosuton,Houston
55.geocodecitylevel,"Lincoln, RI
(41.926671, -71.445401)","Beavercreek, OH
(39.73277, -84.065876)"
1397.statevalue,TuX,TX
5409.city,Amvericus,Americus
4346.statevalue,A,GA
4582.city,oHuston,Houston
8297.statevalue,LF,FL
628.psapid,2619.0,950
3287.datelastmodified,03/04/2040,03/04/2004
7914.typeofchangefulltext,No Changes have been madwe.,No Changes have been made.
8181.geocodecitylevel,"Versailles, IN
(39.069746, -85.25388)4","Versailles, IN
(39.069746, -85.253884)"
619.geocodecitylevel,"Murray, KY
(36.610582, -88.315258)","Marianna, AR
(34.773507, -90.757497)"
1229.psapid,7531.0,7829
1943.typeofchangefulltext,"PSAP Name, State,County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
419.geocodecitylevel,"Homewood, IL
(41.563348, -87.668329)","Athens, GA
(33.957412, -83.376798)"
272.county,Randdolph,Randolph
4693.psapname,Martin County Sheriffbs Office,Martin County Sheriffs Office
326.psapid,7346.0,7936
2356.datelastmodified,03/4/2004,03/04/2004
1387.county,Catrer,Carter
8413.typeofchangefulltext,No Changes have been madde.,No Changes have been made.
6671.city,Nuniqsut,Nuiqsut
8537.city,Hosuton,Houston
4600.geocodecitylevel,"Fuquay Varina, NC
(3.5584354, -78.800849)","Fuquay Varina, NC
(35.584354, -78.800849)"
580.geocodecitylevel,"Homewood, IL
(41.563348, -87.668329)","Los Angeles, CA
(34.052238, -118.243344)"
7652.statevalue,cMO,MO
5093.datelastmodified,03/o04/2004,03/04/2004
116.statevalue,R,OR
4448.datelastmodified,03/04w/2004,03/04/2004
6838.statevalue,V,WV
6774.city,Fint,Flint
579.psapid,8502.0,2703
581.psapid,7344.0,8399
4376.psapname,Venron Fire Department,Vernon Fire Department
1284.psapid,7620.0,6553
96.datelastmodified,0/304/2004,03/04/2004
417.psapid,445.0,509
4794.statevalue,N,MN
567.psapid,7516.0,7063
6852.datelastmodified,10/0/2006,10/04/2006
354.geocodecitylevel,"Sandusky, OH
(41.454934, -82.710963)","Okmulgee, OK
(35.623221, -95.971769)"
2672.datelastmodified,0c7/31/2017,07/31/2017
1678.county,artford,Hartford
7788.statevalue,L,FL
317.psapid,7403.0,4794
8192.statevalue,HO,OH
5311.city,Kingvfisher,Kingfisher
5125.county,Whiet,White
401.geocodecitylevel,"Abbeville, LA
(29.973848, -92.134547)","Davidson, NC
(35.49925, -80.848485)"
693.psapid,2984.0,4771
536.county,Pittyslvania,Pittsylvania
3504.city,Osceoal,Osceola
778.psapid,7531.0,2291
2749.statevalue,D,ND
4462.typeofchangefulltext,No Changres have been made.,No Changes have been made.
660.geocodecitylevel,"Waupaca, WI
(44.358804, -89.084882)","Pontotoc, MS
(34.249079, -88.999324)"
1027.psapid,5215.0,8522
3564.psapname,Nowata County Shreiffs Department,Nowata County Sheriffs Department
1585.typeofchangefulltext,No Changeshave been made.,No Changes have been made.
5737.psapname,Girard Cityx Police Department,Girard City Police Department
8085.psapname,Sparks Police Deartment,Sparks Police Department
2971.county,Whte,White
3257.statevalue,AC,CA
3118.city,Dade Citcy,Dade City
5971.geocodecitylevel,"Kersey, CO
(40.38875, -104.652026)","Kersey, CO
(40.38875, -104.562026)"
85.psapid,7531.0,6960
7475.statevalue,V,NV
567.county,Summti,Summit
1087.psapid,5137.0,2992
2991.statevalue,H,OH
6416.datelastmodified,01/61/2014,01/16/2014
4988.city,Vallye,Valley
8184.county,Warrfen,Warren
7778.typeofchangefulltext,PSAP was added since the original posting of the FCC Registyr.,PSAP was added since the original posting of the FCC Registry.
4980.city,Athes,Athens
3286.statevalue,TwX,TX
7515.city,uitman,Quitman
829.psapid,445.0,5736
7843.statevalue,D,ND
657.geocodecitylevel,"Waupaca, WI
(44.358804, -89.084882)","Leonardtown, MD
(38.297008, -76.635163)"
2545.typeofchangefulltext,PSAP was added since the original posting qof the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
8157.typeofchangefulltext,oN Changes have been made.,No Changes have been made.
441.geocodecitylevel,"Abbeville, LA
(29.973848, -92.134547)","Jeffersonville, IN
(38.299811, -85.72554)"
2738.typeofchangefulltext,No Changes ave been made.,No Changes have been made.
995.geocodecitylevel,"Erie, NY","Franklin, TX
(31.026798, -96.486124)"
4210.statevalue,YW,WY
5501.statevalue,TV,VT
7052.datelastmodified,0/304/2004,03/04/2004
8293.city,Philadlphia,Philadelphia
86.psapid,7620.0,6948
876.psapid,7531.0,2357
6536.statevalue,A,CA
981.psapid,445.0,4456
3338.statevalue,X,TX
7843.city,Bimsarck,Bismarck
6730.city,Middluetown,Middletown
6604.city,os Angeles,Los Angeles
604.psapid,7344.0,2037
7140.psapname,Gudadalupe County Sheriffs Department,Guadalupe County Sheriffs Department
731.geocodecitylevel,"Tomball, TX
(30.097205, -95.616006)","Newcastle, WY
(43.854779, -104.19569)"
7772.typeofchangefulltext,PSAP was added since the original posting of the FCCRegistry.,PSAP was added since the original posting of the FCC Registry.
3249.psapname,Us Nvay Nws Seal Beach Ldc,Us Navy Nws Seal Beach Ldc
1194.county,tMason,Mason
1530.county,aJckson,Jackson
6043.county,Sandusy,Sandusky
654.geocodecitylevel,"Owego, NY
(42.103237, -76.263163)","Huntsville, AR
(36.087386, -93.735391)"
4484.city,eDnton,Denton
821.psapid,7344.0,7187
3940.geocodecitylevel,"Port Hadlock, WA
(48.031898, -1227.56897)","Port Hadlock, WA
(48.031898, -122.756897)"
3706.city,Antonio,Antonito
3804.typeofchangefulltext,Secondary PSAP associated with a Primary PSP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
1083.geocodecitylevel,"Del Rio, TX
(29.365723, -100.897922)","Farmington, UT
(40.980489, -111.88758)"
7387.psapname,Nepderland Marshals Office,Nederland Marshals Office
1129.psapid,1468.0,1058
2921.statevalue,LF,FL
3395.datelastmodified,f05/15/2008,05/15/2008
234.geocodecitylevel,"Gallup, NM
(35.519123, -108.739769)","Morton, MN
(44.551525, -94.984392)"
5163.city,Dyton,Dayton
3918.city,sTok,Tok
4676.psapname,Northbrook Ploice Department,Northbrook Police Department
883.city,Nesquhoning,Nesquehoning
3878.city,Syacuse,Syracuse
7969.typeofchangefulltext,"PSAP Name, State, Count yor City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1726.geocodecitylevel,"Nw Braintree, MA
(42.333093, -72.113683)","New Braintree, MA
(42.333093, -72.113683)"
408.psapid,2452.0,6734
6636.psapname,Olath Fire Department,Olathe Fire Department
2191.county,aLke,Lake
6998.statevalue,T,CT
1690.statevalue,hMI,MI
663.psapid,2984.0,3027
1059.psapid,6574.0,5467
7520.statevalue,WrY,WY
8320.statevalue,DI,ID
323.geocodecitylevel,"Darrington, WA
(48.255271, -121.604924)","Portsmouth, VA
(36.833873, -76.297735)"
258.psapid,3819.0,2699
1138.psapid,5137.0,6152
3009.datelastmodified,04/92/2010,04/29/2010
6847.county,Warrken,Warren
589.psapid,6574.0,7637
4998.psapname,Mcallen PoliceD epartment,Mcallen Police Department
2068.statevalue,X,TX
4389.psapname,Bartow County bE9-1-1,Bartow County E9-1-1
4085.city,Canotn,Canton
8422.geocodecitylevel,"Browning, MT
(485.55945, -113.013421)","Browning, MT
(48.555945, -113.013421)"
472.city,Iverness,Inverness
4060.geocodecitylevel,"Mohall, ND
(48.763472, -10.1510162)","Mohall, ND
(48.763472, -101.510162)"
5433.county,Bexra,Bexar
5636.county,Colelton,Colleton
8404.datelastmodified,12/06/200k4,12/06/2004
6965.statevalue,I,MI
3600.typeofchangefulltext,No Changes have bmeen made.,No Changes have been made.
7664.statevalue,L,FL
686.city,Westmonbt,Westmont
3620.statevalue,KO,OK
3548.county,Ptit,Pitt
2725.statevalue,pAL,AL
1106.psapid,2027.0,1
4053.typeofchangefulltext,No Changes hvae been made.,No Changes have been made.
4281.statevalue,dNV,NV
2097.statevalue,oWA,WA
7068.typeofchangefulltext,"PSAP Name, State, County or Cit text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2124.datelastmodified,03/04m/2004,03/04/2004
3070.datelastmodified,12/03/20g04,12/03/2004
6287.datelastmodified,030/4/2004,03/04/2004
1917.geocodecitylevel,"Petalumaq, CA
(38.232474, -122.636846)","Petaluma, CA
(38.232474, -122.636846)"
2993.datelastmodified,10/40/2012,10/04/2012
7070.datelastmodified,03/042/004,03/04/2004
2786.datelastmodified,09/25/201i3,09/25/2013
868.statevalue,S,KS
169.psapid,7403.0,3260
43.psapid,1564.0,2982
2764.city,raig,Craig
2361.typeofchangefulltext,No Changes have een made.,No Changes have been made.
487.psapid,1564.0,6556
7455.psapname,Mornoe County 9-1-1 Center,Monroe County 9-1-1 Center
136.psapid,445.0,160
28.geocodecitylevel,"Peekskill, NY
(41.290357, -73.921894)","Convent, LA
(30.020897, -90.830036)"
2881.statevalue,XT,TX
7619.county,Valencai,Valencia
1324.psapid,4585.0,5498
443.psapid,5093.0,8021
920.geocodecitylevel,"Forest Park, GA
(33.620529, -84.366322)","Carrizozo, NM
(33.641278, -105.877983)"
1799.datelastmodified,04/1/2010,04/19/2010
3299.geocodecitylevel,"Crystal City, MO
(8.229802, -90.378268)","Crystal City, MO
(38.229802, -90.378268)"
7729.city,Yakiam,Yakima
2446.county,Coko,Cook
2964.city,Red Bulff,Red Bluff
2499.psapname,Duncanville Ctentral Communications Psap Office,Duncanville Central Communications Psap Office
7091.city,Formna,Forman
3160.statevalue,Y,NY
6092.geocodecitylevel,"Susanville, CA
(40.415483b, -120.648932)","Susanville, CA
(40.415483, -120.648932)"
734.psapid,5215.0,4401
8145.geocodecitylevel,"Kettering, OH
(39.689517, -84.167354)","Kettering, OH
(39.689571, -84.167354)"
3096.geocodecitylevel,"Hillsdale, MI
(41.919964, -48.630676)","Hillsdale, MI
(41.919964, -84.630676)"
7797.statevalue,A,PA
8230.typeofchangefulltext,"PSAP Name, State, County or City text has been modifieds ince the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
378.psapid,2984.0,589
7926.statevalue,AC,CA
3609.county,Bear sLake,Bear Lake
129.county,New aCastle,New Castle
3710.county,Hrris,Harris
4728.statevalue,XT,TX
5466.city,Paysojn,Payson
170.statevalue,IW,WI
424.geocodecitylevel,"Albion, IL
(38.377003, -88.056281)","Hebron, KY
(39.066158, -84.703132)"
5956.typeofchangefulltext,PSAP was added since thee original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
7770.psapname,Alledale Police Department,Allendale Police Department
1219.county,Monre,Monroe
1385.datelastmodified,03/04/004,03/04/2004
4536.city,Miaim,Miami
7470.county,lPymouth,Plymouth
251.psapid,7531.0,6902
3329.geocodecitylevel,"Greenwood, IN
(39.613p576, -86.117876)","Greenwood, IN
(39.613576, -86.117876)"
7524.city,Srasota,Sarasota
5488.city,ndover,Andover
6600.psapname,Sardis Police Departmenrt,Sardis Police Department
2741.county,Pinl,Pinal
8018.typeofchangefulltext,No Changes have been mad.e,No Changes have been made.
6020.statevalue,nAL,AL
5141.psapname,Souht Windsor Police Department,South Windsor Police Department
2405.datelastmodified,t03/04/2004,03/04/2004
4350.statevalue,LlA,LA
620.psapid,5093.0,7558
6307.statevalue,hCO,CO
2817.datelastmodified,030/4/2004,03/04/2004
993.psapid,7531.0,2981
6875.psapname,Hamilton County Shreiffs Office,Hamilton County Sheriffs Office
3647.psapname,North Star Volunteer Fire Departmet,North Star Volunteer Fire Department
6586.county,fSchenectady,Schenectady
1692.county,ampshire,Hampshire
8248.geocodecitylevel,"Wsaeca, MN
(44.077589, -93.507463)","Waseca, MN
(44.077589, -93.507463)"
2147.statevalue,H,OH
7955.city,reenwood Village,Greenwood Village
8407.city,White Lke,White Lake
5583.city,Lexignton,Lexington
5292.statevalue,A,CA
5897.datelastmodified,04/27/010,04/27/2010
6987.statevalue,LF,FL
2593.datelastmodified,04/20h/2004,04/20/2004
1107.psapid,2641.0,2258
61.psapid,2984.0,1331
8536.city,Lewistno,Lewiston
7623.psapname,Usmc Twenyt-nine Palms Combat Center - Fire,Usmc Twenty-nine Palms Combat Center - Fire
5377.datelastmodified,030/4/2004,03/04/2004
1325.psapid,3850.0,4865
7003.county,Neport,Newport
4310.county,Craword,Crawford
2545.city,Hansno,Hanson
1849.statevalue,NT,TN
3156.city,Mott***,Mott
6468.statevalue,VkA,VA
5146.county,jCuster,Custer
134.psapid,7531.0,6841
2741.psapname,Florence Police Departmet,Florence Police Department
5286.geocodecitylevel,"Lincolnton, NC
(35.476429, -81.241028)","Lincolnton, NC
(35.476429, -81.240128)"
937.geocodecitylevel,"Hermitage, MO
(37.944885, -93.325027)","Eureka, CA
(40.786143, -124.161309)"
3971.datelastmodified,30/04/2004,03/04/2004
8454.statevalue,Z,AZ
7077.city,Sxanta Fe,Santa Fe
4512.statevalue,hNC,NC
97.psapid,3354.0,546
698.psapid,7620.0,3137
2457.typeofchangefulltext,PSAP was added since the original posting of the FCC pRegistry.,PSAP was added since the original posting of the FCC Registry.
6350.statevalue,X,TX
7136.city,lgin,Elgin
5975.statevalue,TC,CT
3481.statevalue,AW,WA
7962.typeofchangefulltext,No Changes have beetn made.,No Changes have been made.
335.geocodecitylevel,"Harrison, MI
(42.58763, -82.81854)","Pantego, TX
(32.714055, -97.150259)"
5192.typeofchangefulltext,NoC hanges have been made.,No Changes have been made.
3181.statevalue,A,MA
7446.datelastmodified,03x/04/2004,03/04/2004
289.geocodecitylevel,"Cheyenne, WY
(41.14024, -104.818802)","Nacogdoches, TX
(31.603869, -94.656017)"
7689.datelastmodified,0x5/03/2013,05/03/2013
8238.typeofchangefulltext,"PSAP Name, State, County omr City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
178.county,Mcuffie,Mcduffie
3911.statevalue,uIN,IN
7974.psapname,Anadarko gency-bia,Anadarko Agency-bia
878.county,Ourya,Ouray
4894.statevalue,AC,CA
4628.psapname,lWynona Police Department,Wynona Police Department
1869.city,yTler,Tyler
5076.city,Mrion,Marion
2260.statevalue,EN,NE
2999.psapname,Emergency Commkunications Of Southern Oregon (ecso),Emergency Communications Of Southern Oregon (ecso)
8014.statevalue,MrS,MS
6584.statevalue,bOH,OH
7506.psapname,aLredo Pd / Backup Training Center,Laredo Pd / Backup Training Center
5343.datelastmodified,3/04/2004,03/04/2004
749.psapid,7620.0,3881
5767.geocodecitylevel,"Brookville, PA
(4d1.162097, -79.083479)","Brookville, PA
(41.162097, -79.083479)"
679.psapid,7620.0,5563
3489.typeofchangefulltext,No Changes have been mad.e,No Changes have been made.
5624.psapname,Montcliar Township Police Department,Montclair Township Police Department
2478.datelastmodified,1a0/30/2007,10/30/2007
3415.datelastmodified,3/04/2004,03/04/2004
2258.statevalue,L,IL
363.statevalue,DM,MD
2483.county,Denon,Denton
4325.psapname,Plant City oPlice Department,Plant City Police Department
3833.county,Comache,Comanche
8392.statevalue,qCO,CO
751.geocodecitylevel,"Tuskegee, AL
(32.423636, -85.690489)","Soperton, GA
(32.377674, -82.592196)"
6631.city,Venicpe,Venice
577.typeofchangefulltext,Orphaned PSAP no longer considered a primary call tking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
4984.city,Coulmbus,Columbus
1756.psapname,Grainge rCounty Emergency Communication District,Grainger County Emergency Communication District
41.datelastmodified,03/4/2004,03/04/2004
782.geocodecitylevel,"Peru, IN
(40.753762, -86.069115)","Round Rock, TX
(30.508556, -97.678805)"
7219.city,Rvierside,Riverside
4648.geocodecitylevel,"Helena, AR
(34.529166v, -90.591242)","Helena, AR
(34.529166, -90.591242)"
2859.county,ebster,Webster
6776.psapname,Fountan Police Department,Fountain Police Department
745.geocodecitylevel,"Caledonia, WI
(42.814847, -87.914135)","Lebanon, KY
(37.569922, -85.252597)"
6996.statevalue,Y,KY
3028.statevalue,EN,NE
720.geocodecitylevel,"Hometown, IL
(41.73199, -87.73231)","Basin, WY
(44.380055, -108.038933)"
7818.psapname,Havelock Police Departxment,Havelock Police Department
7427.typeofchangefulltext,o Changes have been made.,No Changes have been made.
4402.datelastmodified,1/30/2004,01/30/2004
6608.datelastmodified,11/09/d2004,11/09/2004
1418.county,Jkim Hogg,Jim Hogg
156.psapid,7620.0,5422
5668.city,Barrow***,Barrow
7688.city,Eufala,Eufaula
3454.geocodecitylevel,"Lyndxhurst, OH
(41.519933, -81.487226)","Lyndhurst, OH
(41.519933, -81.487226)"
4289.psapname,Vernon County Shderiff,Vernon County Sheriff
3515.statevalue,OC,CO
4237.psapname,Mdison County 9-1-1,Madison County 9-1-1
4014.typeofchangefulltext,No Changes ave been made.,No Changes have been made.
2073.statevalue,AC,CA
6618.city,Glodfield,Goldfield
3908.statevalue,A,CA
455.statevalue,L,FL
7273.geocodecitylevel,"Mille,n GA
(32.803787, -81.949156)","Millen, GA
(32.803787, -81.949156)"
8151.datelastmodified,0/08/2008,10/08/2008
469.geocodecitylevel,"Hometown, IL
(41.73199, -87.73231)","Vestal, NY
(42.085651, -76.049207)"
508.datelastmodified,11/24/208,11/24/2008
7556.statevalue,kMS,MS
8474.city,Atlaanta,Atlanta
3357.county,Norflk,Norfolk
1143.psapid,5215.0,6939
240.geocodecitylevel,"San Antonio, TX
(29.425173, -98.494599)","Hudson, MA
(42.391157, -71.568104)"
1534.statevalue,NM,MN
3940.datelastmodified,03/04/0204,03/04/2004
5592.psapname,Newport wPolice Department,Newport Police Department
6607.datelastmodified,03/04/2040,03/04/2004
5167.typeofchangefulltext,No Changes have been mad.e,No Changes have been made.
592.psapid,2039.0,2236
4917.statevalue,AV,VA
3325.datelastmodified,03/04/2f004,03/04/2004
