psapid,psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
4132.0,Glacier County Sheriffs Office,Glacier,Cut Bank,MT,No Changes have been made.,03/04/2004,"Cut Bank, MT (48.631851, -112.328041)"
6923.0,Stephen F Austin State University Police Department,Nacogdoches,Nacogdoches,TX,No Changes have been made.,03/04/2004,"Nacogdoches, TX (31.603869, -94.656017)"
5670.0,Le Flore County E-911,Le Flore,Poteau,OK,"PSAP Name, State, County or City text has been modified since the original posting.",06/26/2006,"Poteau, OK (35.053454, -94.624025)"
3148.0,Zachary Police Department,East Baton Rouge,Zachary,LA,No Changes have been made.,03/04/2004,"Zachary, LA (30.647804, -91.150453)"
2428.0,Seneca Police Deparment,La Salle,Seneca,IL,No Changes have been made.,03/04/2004,"Seneca, IL (41.303917, -88.609372)"
4044.0,Lincoln County Sheriffs Office,Lincoln,Brookhaven,MS,No Changes have been made.,03/04/2004,"Brookhaven, MS (31.57913, -90.440702)"
7827.0,Rockport Police,Essex,Rockport,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Rockport, MA (42.656847, -70.614373)"
4314.0,Kannapolis Police Communications,Cabarrus,Kannapolis,NC,"PSAP Name, State, County or City text has been modified since the original posting.",07/30/2008,"Kannapolis, NC (35.475714, -80.611073)"
1229.0,Nucla Communications Center,Montrose,Nucla,CO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/13/2014,"Nucla, CO (38.27013, -108.545867)"
5233.0,Yorktown Police Department,Westchester,Yorktown Heights,NY,No Changes have been made.,03/04/2004,"Yorktown Heights, NY (41.272299, -73.7782)"
7860.0,Wakefield Police,Middlesex,Wakefield,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Wakefield, MA (42.50448, -71.071179)"
1341.0,Farmington Police Department,Hartford,Farmington,CT,No Changes have been made.,03/04/2004,"Farmington, CT (41.72651, -72.824947)"
2599.0,Kokomo Police Department,Howard,Kokomo,IN,No Changes have been made.,03/04/2004,"Kokomo, IN (40.486508, -86.131244)"
2025.0,Wayne County Sheriffs Office,Wayne,Corydon,IA,"PSAP Name, State, County or City text has been modified since the original posting.",06/25/2016,"Corydon, IA (40.75842, -93.318063)"
5244.0,Auglaize County Sheriffs Office,Auglaize,Wapakoneta,OH,No Changes have been made.,03/04/2004,"Wapakoneta, OH (40.568938, -84.194077)"
143.0,Calhoun County 9-1-1,Calhoun,Anniston,AL,"PSAP Name, State, County or City text has been modified since the original posting.",08/14/2013,"Anniston, AL (33.663713, -85.829793)"
1303.0,Branford Police Department,New Haven,Branford,CT,No Changes have been made.,03/04/2004,"Branford, CT (41.279802, -72.81404)"
303.0,Clark County Sheriffs Department,Clark,Arkadelphia,AR,No Changes have been made.,03/04/2004,"Arkadelphia, AR (34.120959, -93.053523)"
7941.0,Dade City Police Dept.,Pasco,Dade City,FL,PSAP was added since the original posting of the FCC Registry.,04/20/2004,"Dade City, FL (28.364594, -82.18912)"
5492.0,Richland County Dispatch Center,Richland,Mansfield,OH,No Changes have been made.,03/04/2004,"Mansfield, OH (40.758553, -82.515469)"
2099.0,Twin Falls Sheriffs Office,Twin Falls,Twin Falls,ID,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,12/08/2004,"Twin Falls, ID (42.563181, -114.460278)"
2418.0,Salem Police / Marion E911,Marion,Salem,IL,"PSAP Name, State, County or City text has been modified since the original posting.",07/28/2010,"Salem, IL (38.627081, -88.945672)"
3556.0,South Haven Police Department,Van Buren,South Haven,MI,"PSAP Name, State, County or City text has been modified since the original posting.",07/29/2009,"South Haven, MI (42.421247, -86.261549)"
2649.0,Posey County Rdc,Posey,Mt Vernon,IN,No Changes have been made.,03/04/2004,"Mt Vernon, IN (37.932174, -87.89558)"
3897.0,Platte County Sheriffs Department,Platte,Platte City,MO,No Changes have been made.,03/04/2004,"Platte City, MO (39.367256, -94.779664)"
6602.0,Galveston Police Department,Galveston,Galveston,TX,No Changes have been made.,03/04/2004,"Galveston, TX (29.300128, -94.795846)"
4636.0,Omaha Tribal Police Department,Thurston,Macy,NE,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,11/09/2004,"Macy, NE (42.111484, -96.356252)"
4451.0,Stokes County Emergency Communications,Stokes,Danbury,NC,No Changes have been made.,03/04/2004,"Danbury, NC (36.409284, -80.205412)"
4475.0,Wayne County Communications,Wayne,Goldsboro,NC,No Changes have been made.,03/04/2004,"Goldsboro, NC (35.386634, -77.999032)"
5190.0,Rye City Police Department,Westchester,Rye,NY,No Changes have been made.,03/04/2004,"Rye, NY (40.98069, -73.683767)"
656.0,Coachella Police Department,Riverside,Indio,CA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/26/2010,"Indio, CA (33.718649, -116.218182)"
5399.0,Lorain County Sheriff,Lorain,Elyria,OH,No Changes have been made.,03/04/2004,"Elyria, OH (41.367714, -82.10782)"
2114.0,Barrington Hills Police Department,Cook,Barrington Hills,IL,No Changes have been made.,03/04/2004,"Barrington Hills, IL (42.143464, -88.155733)"
2737.0,Galena Police Department,Cherokee,Galena,KS,No Changes have been made.,03/04/2004,"Galena, KS (37.074924, -94.639213)"
7791.0,Milton Police,Norfolk,Milton,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Milton, MA (42.248566, -71.069184)"
6564.0,El Paso Police Department,El Paso,El Paso,TX,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,11/02/2007,"El Paso, TX (31.76006, -106.492257)"
4966.0,Santa Rosa Police Department,Guadalupe,Santa Rosa,NM,No Changes have been made.,03/04/2004,"Santa Rosa, NM (34.940506, -104.687337)"
3302.0,Winthrop Police Department,Kennebec,Winthrop,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/14/2004,"Winthrop, ME (44.305136, -69.977304)"
6545.0,Dickinson Police Department,Galveston,Dickinson,TX,No Changes have been made.,03/04/2004,"Dickinson, TX (29.460726, -95.051812)"
5580.0,Altus Jackson County 9-1-1,Jackson,Altus,OK,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Altus, OK (34.642211, -99.333911)"
6335.0,Pulaski Police Department,Giles,Pulaski,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/22/2008,"Pulaski, TN (35.19683, -87.032)"
5930.0,Tioga County Department Of Emergency Services,Tioga,Wellsboro,PA,No Changes have been made.,03/04/2004,"Wellsboro, PA (41.746876, -77.30288)"
1875.0,Washington County 9-1-1,Washington,Sandersville,GA,No Changes have been made.,03/04/2004,"Sandersville, GA (32.981417, -82.811053)"
3596.0,Aitkin County Psap,Aitkin,Aitkin,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Aitkin, MN (46.533355, -93.711119)"
7617.0,Carbon County Sheriffs Office,Carbon,Rawlins,WY,No Changes have been made.,03/04/2004,"Rawlins, WY (41.788174, -107.237628)"
1582.0,Melbourne Police,Brevard,Melbourne,FL,No Changes have been made.,03/04/2004,"Melbourne, FL (28.079931, -80.603516)"
5360.0,Harrison Township Fire Department,Montgomery,Dayton,OH,No Changes have been made.,03/04/2004,"Dayton, OH (39.760982, -84.192203)"
2465.0,Vernon Hills Police Department,Lake,Vernon Hills,IL,No Changes have been made.,03/04/2004,"Vernon Hills, IL (42.238635, -87.959562)"
6265.0,Hancock County Sheriffs Office,Hancock,Sneedville,TN,No Changes have been made.,03/04/2004,"Sneedville, TN (36.530405, -83.216381)"
8199.0,Cookeville Police Department,Putnam,Cookeville,TN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/07/2013,"Cookeville, TN (36.156589, -85.501014)"
5065.0,Depew Police Department,Erie,Depew,NY,No Changes have been made.,03/04/2004,"Depew, NY (42.90181, -78.695)"
4278.0,Gates County Central Communications,Gates,Gatesville,NC,No Changes have been made.,03/04/2004,"Gatesville, NC (36.403332, -76.753317)"
48.0,Homer Police Department,Kenai Peninsula Borough,Homer,AK,No Changes have been made.,03/04/2004,"Homer, AK (59.641779, -151.551418)"
4189.0,Benson Police Communications,Johnston,Benson,NC,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/17/2007,"Benson, NC (35.38017, -78.545731)"
8311.0,Mount Juliet Police Department,Wilson,Mount Juliet,TN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,06/20/2011,"Mount Juliet, TN (36.202445, -86.524592)"
2890.0,Casey County Dispatch,Casey,Liberty,KY,No Changes have been made.,03/04/2004,"Liberty, KY (37.315686, -84.93155)"
7659.0,Upton Police Department,Weston,Upton,WY,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/05/2017,"Upton, WY (44.099525, -104.628009)"
1763.0,Forsyth County,Forsyth,Cumming,GA,No Changes have been made.,03/04/2004,"Cumming, GA (34.207048, -84.140359)"
825.0,Milpitas Police Department,Santa Clara,Milpitas,CA,No Changes have been made.,03/04/2004,"Milpitas, CA (37.430217, -121.89805)"
2097.0,Sun Valley-answering Service,Blaine,Ketchum,ID,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/02/2004,"Ketchum, ID (43.680635, -114.364237)"
2163.0,Chicago Office Of Emergency Communication-zone 2,Cook,Chicago,IL,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,12/07/2004,"Chicago, IL (41.883229, -87.632398)"
6512.0,Coryell County 9-1-1,Coryell,Gatesville,TX,No Changes have been made.,03/04/2004,"Gatesville, TX (31.434024, -97.744311)"
3293.0,South Portland Police Department,Cumberland,South Portland,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/02/2008,"South Portland, ME (43.630134, -70.292108)"
326.0,Hamburg Police Department,Ashley,Hamburg,AR,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/12/2004,"Hamburg, AR (33.227822, -91.7975)"
4532.0,Pierce County 911 Communications,Pierce,Rugby,ND,"PSAP Name, State, County or City text has been modified since the original posting.",07/26/2017,"Rugby, ND (48.369204, -100.000636)"
2043.0,Bonner County 911,Bonner,Sandpoint,ID,"PSAP Name, State, County or City text has been modified since the original posting.",01/23/2009,"Sandpoint, ID (48.276098, -116.553386)"
4807.0,Newark City Police Department,Essex,Newark,NJ,No Changes have been made.,03/04/2004,"Newark, NJ (40.731507, -74.174388)"
4255.0,East Carolina University Police Communications,Pitt,Greenville,NC,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/17/2007,"Greenville, NC (35.611332, -77.3741)"
1701.0,Baker County Sheriffs Department,Baker,Newton,GA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/15/2017,"Newton, GA (31.313165, -84.335745)"
7283.0,Island County Emergency Services Communications Center,Island,Oak Harbor,WA,No Changes have been made.,03/04/2004,"Oak Harbor, WA (48.293245, -122.643297)"
3780.0,Chillicothe Police Department,Livingston,Chillicothe,MO,No Changes have been made.,03/04/2004,"Chillicothe, MO (39.793421, -93.552559)"
4192.0,Biltmore Forest Police Department,Buncombe,Asheville,NC,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/17/2007,"Asheville, NC (35.595889, -82.550039)"
2400.0,Randolph County Sheriffs Department,Randolph,Chester,IL,No Changes have been made.,03/04/2004,"Chester, IL (37.914518, -89.821436)"
4108.0,Wilkinson County Sheriffs Office,Wilkinson,Woodville,MS,No Changes have been made.,03/04/2004,"Woodville, MS (31.104085, -91.298854)"
841.0,Napa County Communciations (napa),Napa,Napa,CA,"PSAP Name, State, County or City text has been modified since the original posting.",10/03/2012,"Napa, CA (38.297242, -122.289405)"
4337.0,Mayodan Police Communications,Rockingham,Mayodan,NC,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/17/2007,"Mayodan, NC (36.412437, -79.966673)"
3259.0,Kennebunk Police Department,York,Kennebunk,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/02/2008,"Kennebunk, ME (43.387388, -70.537824)"
3855.0,Maplewood Police Department,St. Louis,Maplewood,MO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/14/2008,"Maplewood, MO (38.612422, -90.323027)"
5339.0,Fulton County Sheriffs Office,Fulton,Wauseon,OH,No Changes have been made.,03/04/2004,"Wauseon, OH (41.54919, -84.141521)"
5495.0,Riverside Fire,Montgomery,Riverside,OH,No Changes have been made.,03/04/2004,"Riverside, OH (39.781769, -84.12071)"
5814.0,Oregon State Police - Oakridge,Lane,Oakridge,OR,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/08/2017,"Oakridge, OR (43.744635, -122.467346)"
1220.0,Montrose Police Department,Montrose,Montrose,CO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/29/2009,"Montrose, CO (38.478034, -107.876806)"
4601.0,Great Plains Communications,Washington,Blair,NE,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,11/09/2004,"Blair, NE (41.543712, -96.13615)"
276.0,Tuscaloosa County Sheriffs Office,Tuscaloosa,Tuscaloosa,AL,No Changes have been made.,03/04/2004,"Tuscaloosa, AL (33.210617, -87.565564)"
2991.0,Middlesboro Police Department,Bell,Middlesboro,KY,No Changes have been made.,03/04/2004,"Middlesboro, KY (36.608299, -83.716698)"
5136.0,New York City Police Department - Bronx,New York,Brooklyn,NY,No Changes have been made.,03/04/2004,"Brooklyn, NY (40.692529, -73.990996)"
5949.0,Coventry Fire And Rescue Department,Providence,Coventry,RI,No Changes have been made.,03/04/2004,"Coventry, RI (41.701974, -71.593125)"
5940.0,York County 9-1-1,York,York,PA,No Changes have been made.,03/04/2004,"York, PA (39.960339, -76.734668)"
3979.0,Canton Police Department,Madison,Canton,MS,No Changes have been made.,03/04/2004,"Canton, MS (32.61386, -90.03489)"
7249.0,Bothell Police Department,King,Bothell,WA,No Changes have been made.,03/04/2004,"Bothell, WA (47.760089, -122.205434)"
146.0,Chambers County Sheriffs Office,Chambers,Lafayette,AL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/07/2013,"Lafayette, AL (32.899838, -85.401221)"
653.0,Claremont Police Department,Los Angeles,Claremont,CA,No Changes have been made.,03/04/2004,"Claremont, CA (34.096606, -117.719315)"
7612.0,Big Horn County Sheriffs Office Dispatch Center,Big Horn,Basin,WY,"PSAP Name, State, County or City text has been modified since the original posting.",01/03/2017,"Basin, WY (44.380055, -108.038933)"
3335.0,Bloomfield Hills Department Of Public Safety,Oakland,Bloomfield Hills,MI,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Bloomfield Hills, MI (42.584093, -83.243237)"
5855.0,Bethlehem Police Department,Northampton,Bethlehem,PA,No Changes have been made.,03/04/2004,"Bethlehem, PA (40.632222, -75.407938)"
7268.0,Fire Department #7-fertile Valley,Pend Oreille,Newport,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Newport, WA (48.181076, -117.052823)"
6090.0,Pageland Police Department,Chesterfield,Pageland,SC,No Changes have been made.,03/04/2004,"Pageland, SC (34.772599, -80.388883)"
389.0,Warren Police Department,Bradley,Warren,AR,No Changes have been made.,03/04/2004,"Warren, AR (33.615051, -92.064277)"
2520.0,Brown County Sheriff,Brown,Nashville,IN,No Changes have been made.,03/04/2004,"Nashville, IN (39.20835, -86.246932)"
5518.0,Stow Police And Fire Department,Summit,Stow,OH,No Changes have been made.,03/04/2004,"Stow, OH (41.16883, -81.440372)"
2105.0,Addison Fire Protection District,Du Page,Addison,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/13/2016,"Addison, IL (41.93194, -87.988676)"
7869.0,West Boylston Police,Worcester,West Boylston,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"West Boylston, MA (42.369388, -71.782472)"
5338.0,Fremont Police Department,Sandusky,Fremont,OH,No Changes have been made.,03/04/2004,"Fremont, OH (41.35058, -83.121454)"
4604.0,Harlan /phelps County / City Of Holdredge,Harlan,Holdrege,NE,"PSAP Name, State, County or City text has been modified since the original posting.",11/21/2005,"Holdrege, NE (40.437935, -99.375368)"
7224.0,West Point 9-1-1 Communications,King William,West Point,VA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/09/2015,"West Point, VA (37.536858, -76.799269)"
1139.0,Englewood Police Department,Arapahoe,Englewood,CO,No Changes have been made.,03/04/2004,"Englewood, CO (39.649436, -104.98891)"
4105.0,Waveland Police Department,Hancock,Waveland,MS,No Changes have been made.,03/04/2004,"Waveland, MS (30.28733, -89.375023)"
5655.0,Hollis Police Department,Harmon,Hollis,OK,No Changes have been made.,03/04/2004,"Hollis, OK (34.681778, -99.912253)"
4745.0,Hanover Township Police Department,Morris,Hanover,NJ,No Changes have been made.,03/04/2004,"Hanover, NJ (40.824895, -74.418034)"
2152.0,Cencom E9-1-1,Lake,Round Lake Beach,IL,"PSAP Name, State, County or City text has been modified since the original posting.",02/07/2005,"Round Lake Beach, IL (42.37894, -88.089736)"
3943.0,Sugar Creek Police Department,Jackson,Sugar Creek,MO,No Changes have been made.,03/04/2004,"Sugar Creek, MO (39.109666, -94.444866)"
2683.0,Vigo County E9-1-1,Vigo,Terre Haute,IN,"PSAP Name, State, County or City text has been modified since the original posting.",07/12/2013,"Terre Haute, IN (39.466479, -87.414045)"
5531.0,Union Township Police Department,Clermont,Cincinnati,OH,No Changes have been made.,03/04/2004,"Cincinnati, OH (39.104427, -84.513808)"
607.0,Cal-fire Yreka (siskiyou Unit),Siskiyou,Yreka,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/27/2010,"Yreka, CA (41.731582, -122.635649)"
6281.0,Jackson County 9-1-1,Jackson,Gainesboro,TN,No Changes have been made.,03/04/2004,"Gainesboro, TN (36.356006, -85.655237)"
7848.0,Sudbury Police,Middlesex,Sudbury,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Sudbury, MA (42.382542, -71.412508)"
7709.0,Chicopee Police,Hampden,Chicopee,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Chicopee, MA (42.148326, -72.60696)"
5947.0,Central Falls Police Department,Providence,Central Falls,RI,No Changes have been made.,03/04/2004,"Central Falls, RI (41.891697, -71.387458)"
1428.0,District Of Columbia Defense Protective Services,District Of Columbia,Washington,DC,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/31/2007,"Washington, DC (38.892062, -77.019912)"
2656.0,Rush County Sheriffs Office,Rush,Rushville,IN,No Changes have been made.,03/04/2004,"Rushville, IN (39.608191, -85.44475)"
359.0,Nevada County Sheriffs Office,Nevada,Prescott,AR,No Changes have been made.,03/04/2004,"Prescott, AR (33.802494, -93.380938)"
2235.0,Glen Carbon Police Department,Madison,Glen Carbon,IL,"PSAP Name, State, County or City text has been modified since the original posting.",09/04/2013,"Glen Carbon, IL (38.749393, -89.980527)"
8356.0,Us Navy Little Creek Ldc,Norfolk City,Norfolk,VA,PSAP was added since the original posting of the FCC Registry.,10/04/2012,"Norfolk, VA (36.846164, -76.285913)"
7773.0,Malden Police,Middlesex,Malden,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Malden, MA (42.426499, -71.073534)"
4119.0,Blaine County Sheriff,Blaine,Chinook,MT,No Changes have been made.,03/04/2004,"Chinook, MT (48.59189, -109.230941)"
6204.0,Athens-mcminn Communications,Mcminn,Athens,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/15/2008,"Athens, TN (35.448396, -84.606903)"
2133.0,Breese Police Department,Clinton,Breese,IL,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,12/07/2004,"Breese, IL (38.609772, -89.525819)"
661.0,Colusa County Sheriff (colusa),Colusa,Colusa,CA,"PSAP Name, State, County or City text has been modified since the original posting.",04/27/2010,"Colusa, CA (39.209238, -122.008373)"
4625.0,Mcpherson County Sheriff,Mcpherson,Tryon,NE,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/21/2005,"Tryon, NE (41.553091, -100.960083)"
1302.0,Branford Fire Department,New Haven,Branford,CT,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/26/2004,"Branford, CT (41.279802, -72.81404)"
2184.0,Countryside Police Department,Cook,Countryside,IL,No Changes have been made.,03/04/2004,"Countryside, IL (41.79044, -87.86866)"
3355.0,Clawson Police Department,Oakland,Clawson,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/08/2008,"Clawson, MI (42.533447, -83.146224)"
1067.0,Arvada Fire Protection District,Jefferson,Arvada,CO,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/18/2016,"Arvada, CO (39.801122, -105.081451)"
6584.0,Franklin County Sheriffs Office,Franklin,Mt Vernon,TX,No Changes have been made.,03/04/2004,"Mt Vernon, TX (33.173449, -95.220295)"
2012.0,Shenandoah Police Department,Page,Shenandoah,IA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/25/2016,"Shenandoah, IA (40.765985, -95.373851)"
2869.0,Bath County 911,Bath,Owingsville,KY,"PSAP Name, State, County or City text has been modified since the original posting.",04/07/2015,"Owingsville, KY (38.14476, -83.76405)"
6993.0,Wharton County Sheriffs Office,Wharton,Wharton,TX,No Changes have been made.,03/04/2004,"Wharton, TX (29.310835, -96.100089)"
6423.0,Bastrop County Emergency Communications,Bastrop,Bastrop,TX,"PSAP Name, State, County or City text has been modified since the original posting.",01/04/2017,"Bastrop, TX (30.117051, -97.308858)"
3950.0,Grundy County / Trenton Police Department 9-1-1,Grundy,Trenton,MO,"PSAP Name, State, County or City text has been modified since the original posting.",04/05/2005,"Trenton, MO (40.074725, -93.618144)"
524.0,Alameda Police Department,Alameda,Alameda,CA,No Changes have been made.,03/04/2004,"Alameda, CA (37.765336, -122.241873)"
6195.0,Walworth County Sheriffs Department,Walworth,Selby,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/30/2004,"Selby, SD (45.5074, -100.032217)"
8141.0,Liberty Township Police Department,Trumbull,Youngstown,OH,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/16/2013,"Youngstown, OH (41.100083, -80.649387)"
5133.0,Nassau County Police Department,Nassau,Mineola,NY,No Changes have been made.,03/04/2004,"Mineola, NY (40.74607, -73.63462)"
2709.0,Caney Police Department,Montgomery,Caney,KS,No Changes have been made.,03/04/2004,"Caney, KS (37.013064, -95.928503)"
2257.0,Hickory Hills,Cook,Hickory Hills,IL,No Changes have been made.,03/04/2004,"Hickory Hills, IL (41.718815, -87.827611)"
1540.0,Indian River County Sheriffs Office,Indian River,Vero Beach,FL,No Changes have been made.,03/04/2004,"Vero Beach, FL (27.638883, -80.38908)"
7281.0,Ione Fire Department,Pend Oreille,Ione,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Ione, WA (48.741775, -117.422965)"
4309.0,Johnston County E9-1-1 Communications,Johnston,Smithfield,NC,No Changes have been made.,03/04/2004,"Smithfield, NC (35.505917, -78.341343)"
1422.0,Windsor Locks Police Department,Hartford,Windsor Locks,CT,No Changes have been made.,03/04/2004,"Windsor Locks, CT (41.924953, -72.627177)"
2020.0,Urbandale Police Department,Polk,Urbandale,IA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,01/05/2005,"Urbandale, IA (41.630343, -93.736522)"
620.0,Chp El Centro (imperial),Imperial,Imperial,CA,"PSAP Name, State, County or City text has been modified since the original posting.",04/27/2010,"Imperial, CA (32.847479, -115.569054)"
1497.0,Dundee Fire Department,Polk,Dundee,FL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/20/2004,"Dundee, FL (28.018536, -81.615568)"
2342.0,Monroe County 9-1-1,Monroe,Waterloo,IL,No Changes have been made.,03/04/2004,"Waterloo, IL (38.329072, -90.147373)"
7061.0,Springville City Police Department Dispatch,Utah,Springville,UT,No Changes have been made.,03/04/2004,"Springville, UT (40.165232, -111.610625)"
6818.0,Panola Sheriffs Office,Panola,Carthage,TX,No Changes have been made.,03/04/2004,"Carthage, TX (32.156595, -94.338483)"
5843.0,West Ambulance,Douglas,Roseburg,OR,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/08/2017,"Roseburg, OR (43.210497, -123.34528)"
6896.0,Seguin Police Department,Guadalupe,Seguin,TX,No Changes have been made.,03/04/2004,"Seguin, TX (29.580782, -97.968526)"
2715.0,Clay County Sheriff's Office,Clay,Clay Center,KS,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"Clay Center, KS (39.380368, -97.124554)"
4961.0,Santa Ana Pueblo Tribal Police Department,Sandoval,Santa Ana Pueblo,NM,No Changes have been made.,03/04/2004,"Santa Ana Pueblo, NM (35.340011, -106.522472)"
3522.0,Oxford Police Department,Oakland,Oxford,MI,No Changes have been made.,03/04/2004,"Oxford, MI (42.824749, -83.264049)"
4457.0,Transylvania County 9-1-1 Communications,Transylvania,Brevard,NC,No Changes have been made.,03/04/2004,"Brevard, NC (35.233785, -82.734319)"
5340.0,Gahanna Police Department,Franklin,Gahanna,OH,No Changes have been made.,03/04/2004,"Gahanna, OH (40.024462, -82.874702)"
6721.0,Laredo Police Department,Webb,Laredo,TX,No Changes have been made.,03/04/2004,"Laredo, TX (27.507114, -99.507505)"
1317.0,Connecticut State Police-d Troop,Windham,Danielson,CT,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/26/2004,"Danielson, CT (41.803361, -71.885766)"
4077.0,Picayune Police Department,Pearl River,Picayune,MS,No Changes have been made.,03/04/2004,"Picayune, MS (30.527679, -89.67937)"
4803.0,New Jersey State Police Operational Dispatch Unit South Troop A Headquarters,Gloucester,Buena Vista,NJ,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Buena Vista, NJ (39.515083, -74.888332)"
2333.0,Melrose Park Police Department,Cook,Melrose Park,IL,No Changes have been made.,03/04/2004,"Melrose Park, IL (41.893429, -87.85661)"
6485.0,Clarksville Police Department,Red River,Clarksville,TX,No Changes have been made.,03/04/2004,"Clarksville, TX (33.61085, -95.051287)"
3903.0,Pulaski County 9-1-1 Communications,Pulaski,Waynesville,MO,No Changes have been made.,03/04/2004,"Waynesville, MO (37.825018, -92.210215)"
3051.0,East Baton Rouge Parish Communications District,East Baton Rouge,Baton Rouge,LA,"PSAP Name, State, County or City text has been modified since the original posting.",11/10/2015,"Baton Rouge, LA (30.443319, -91.187488)"
4241.0,Dallas Police Communications,Gaston,Dallas,NC,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,10/17/2007,"Dallas, NC (35.316547, -81.175842)"
8097.0,Mcclain County 9-1-1,Mcclain,Purcell,OK,PSAP was added since the original posting of the FCC Registry.,02/10/2005,"Purcell, OK (35.012961, -97.362662)"
6785.0,Montgomery County Hospital District,Montgomery,Conroe,TX,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/04/2007,"Conroe, TX (30.313044, -95.458141)"
3378.0,Farmington Department Of Public Safety,Oakland,Farmington,MI,"PSAP Name, State, County or City text has been modified since the original posting.",03/10/2011,"Farmington, MI (42.458375, -83.374774)"
1224.0,Mountain View Police Department,Jefferson,Mountain View,CO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/18/2016,"Mountain View, CO (39.774745, -105.056722)"
