2290.stlnstlocname,EAST EM ST,EAST ELM ST
1622.routeid,1d69-N,169-N
2425.global_id,285qf2a9d-3759-4ec9-bbf0-0e942d77df47,285f2a9d-3759-4ec9-bbf0-0e942d77df47
1809.stlnstlocname,GRoASSY PLAIN ST,GRASSY PLAIN ST
1568.global_id,865a06bb-71c0-45ec-8025-d2afe403ea4,865a06bb-71c0-45ec-8025-d2afe4034ea4
1900.xsp,ONT,CONT
1628.xsp,OCNT,CONT
1177.global_id,e2b055bc-90de-4d8c-8ab6-e530ef1b0f5c,e2b055bc-90de-4d8c-8ab6-e530ef1b05fc
933.global_id,20506b31-82a5-4ebd-b7d6-2e08d2e08a5,20506b31-82a5-4ebd-b7d6-2e08d2ee08a5
148.routeid,z20-E,20-E
355.stlnstlocname,BOSTON POST RxD,BOSTON POST RD
1171.global_id,874ff362-daef-4c03-bb8b-c1e66cd4e0b0,874ff362-deaf-4c03-bb8b-c1e66cd4e0b0
80.routeid,15-N,159-N
937.global_id,e00c96c8-7dca-4b49-9c26-d8df343076s7c,e00c96c8-7dca-4b49-9c26-d8df3430767c
179.global_id,a050208a-246b-4cd-a218-b2949f2b5a1f,a050208a-246b-42cd-a218-b2949f2b5a1f
137.townname,TLOLAND,TOLLAND
2460.stlnstlocname,PHOENfIXVILLE RD,PHOENIXVILLE RD
243.stlnstlocname,SCHOOL TS,SCHOOL ST
1716.townname,GOHSEN,GOSHEN
2364.routeid,30-E,302-E
2118.routeid,14i5-N,145-N
2129.routeid,493N-,493-N
2043.routeid,r68-E,68-E
61.global_id,f34fa97-61ac-4a4f-b60e-c38a12a8d969,f364fa97-61ac-4a4f-b60e-c38a12a8d969
2243.global_id,08c999be-4255-41e49-f48-ea789860b898,08c999be-4255-41e4-9f48-ea789860b898
892.routeid,1-7N,17-N
1773.stlnstlocname,NORTH WINDHM RD,NORTH WINDHAM RD
1067.xsp,OCNT,CONT
2570.routeid,262N-,262-N
1558.stlnstlocname,ORNWALL RD,CORNWALL RD
582.global_id,44112735-e9d2-d432a-8b87-ea3df8887083,44112735-e9d2-432a-8b87-ea3df8887083
1256.routeid,79N,79-N
1738.townname,ENW FAIRFIELD,NEW FAIRFIELD
1104.global_id,eaf823c4-2aad-4d65-b978-e448beb36e45,eaf823c4-2aad-4d65-b978-e448ebb36e45
1771.xsp,ONT,CONT
1717.global_id,e878b0e7-53ec-4706-4a0-08c2f65f10aa,e878b0e7-53ec-4706-b4a0-08c2f65f10aa
1972.stlnstlocname,STRvAITS TPKE,STRAITS TPKE
1044.global_id,676f3a8b-1bda-4f0a-8aa0-6000dfe8cf88***,676f3a8b-1bda-4f0a-8aa0-6000dfe8cf88
603.routeid,69x-N,69-N
395.global_id,d92d3be-854e-494e-ac96-6aaeba0238da,df92d3be-854e-494e-ac96-6aaeba0238da
2274.xsp,tCONT,CONT
1396.xsp,ERV,REV
497.routeid,j243-W,243-W
383.routeid,12-lN,12-N
462.xsp,CNT,CONT
564.routeid,6-E,66-E
2416.global_id,6250c6c9-8a71-4956-f09-1b2377959fbd,6250c6c9-8a71-4956-9f09-1b2377959fbd
1787.townname,BTHANY,BETHANY
834.townname,EAST HARFTORD,EAST HARTFORD
573.xsp,wREV,REV
936.townname,FAIRFILD,FAIRFIELD
996.xsp,COTN,CONT
65.global_id,f4962b6d-f50c-4523-be9f-eb613001c0ea,f4962b6d-5f0c-4523-be9f-eb613001c0ea
2338.townname,STAMnFORD,STAMFORD
1090.global_id,c1bd5430-ffac-4b6-a96e-006602a55614,c1bd5430-ffac-4db6-a96e-006602a55614
220.routeid,468-E,486-E
2104.stlnstlocname,LmAKE WARAMAUG RD,LAKE WARAMAUG RD
889.xsp,ONT,CONT
2169.stlnstlocname,NORTH BROADp ST,NORTH BROAD ST
1295.xsp,COyNT,CONT
2499.routeid,200E-,200-E
2173.stlnstlocname,OWRTHINGTON RIDGE RD,WORTHINGTON RIDGE RD
193.stlnstlocname,GREENWOODS HILL dRD,GREENWOODS HILL RD
1794.xsp,COT,CONT
1428.townname,WINDSOxR,WINDSOR
537.stlnstlocname,MILITARY WHY,MILITARY HWY
1347.stlnstlocname,MAPLE aAVE,MAPLE AVE
220.townname,OXFOqRD,OXFORD
777.stlnstlocname,BRAzNFORD RD,BRANFORD RD
1624.global_id,39bb2dba-001-44082-a9c8-38a99784378c,39bb2dba-0014-4082-a9c8-38a99784378c
1747.global_id,3a9857a-8b55-4287-9a47-70153c3c1d96,39a9857a-8b55-4287-9a47-70153c3c1d96
1644.routeid,337E-,337-E
987.stlnstlocname,RIEVR ST,RIVER ST
1732.global_id,4ee5f0ca-r45c3-4a46-a9c7-620dbdc045d3,4ee5f0ca-45c3-4a46-a9c7-620dbdc045d3
868.xsp,OCNT,CONT
2592.townname,ELILNGTON,ELLINGTON
1729.global_id,7b9eeef9-a1bd7-40c9-9551-59c42f7b957e,7b9eeef9-1bd7-40c9-9551-59c42f7b957e
2037.global_id,f18f5e89-dc04-42e6-92cc-d4jd2d9fbd722,f18f5e89-dc04-42e6-92cc-d4d2d9fbd722
2288.xsp,OCNT,CONT
341.townname,SUTHINGTON,SOUTHINGTON
340.xsp,ONT,CONT
1152.xsp,CzONT,CONT
929.xsp,CNOT,CONT
1597.xsp,ChONT,CONT
2084.global_id,f1ef821b-242-4d85-8469-d27fa01a1c00,f1ef821b-2482-4d85-8469-d27fa01a1c00
2362.global_id,7d74f3ea-73d-4363-bdb7-d19489a635e9,7d74f3ea-737d-4363-bdb7-d19489a635e9
261.xsp,CxONT,CONT
1383.xsp,COT,CONT
100.townname,NORiTH HAVEN,NORTH HAVEN
846.stlnstlocname,LEBANNO AVE,LEBANON AVE
1675.xsp,CNT,CONT
780.global_id,9ce79f5d-847b-4e44-9937-dae31a00866,9ce79f5d-847b-4e44-9937-dae314a00866
1682.routeid,6E-,6-E
2136.routeid,4-E,74-E
1626.routeid,34-E,434-E
2399.stlnstlocname,PRESTON PLuAINS RD,PRESTON PLAINS RD
372.global_id,6f39c43a-44c2-485c-b165-b50k459fef000,6f39c43a-44c2-485c-b165-b50459fef000
2488.xsp,RVE,REV
1606.xsp,ONT,CONT
345.global_id,b5081466-c2bd-4a6a-935-e146c0b4caaa,b5081466-c2bd-4a6a-9a35-e146c0b4caaa
1686.routeid,17-N,71-N
1972.xsp,COTN,CONT
1964.global_id,24999e0a-c5e8-4cf2-8901z-85bb2a424f98,24999e0a-c5e8-4cf2-8901-85bb2a424f98
384.routeid,z12-N,12-N
1366.global_id,a349dd63-82e6-49e9-bb1ja-fc87dbd632c4,a349dd63-82e6-49e9-bb1a-fc87dbd632c4
1150.xsp,COTN,CONT
378.xsp,wLOG,LOG
309.xsp,CNOT,CONT
453.xsp,lCONT,CONT
487.townname,MORRIkS,MORRIS
1568.routeid,154N-,154-N
2277.xsp,ONT,CONT
965.routeid,19-N,189-N
2233.townname,HAMTPON,HAMPTON
2439.townname,NEWv HAVEN,NEW HAVEN
2089.stlnstlocname,FANKLIN SQUARE,FRANKLIN SQUARE
2047.xsp,COT,CONT
1191.xsp,vCONT,CONT
2290.routeid,4-dE,4-E
364.global_id,bcca5e6a-267e-4559-95c5-921c382f425,bcca5e6a-267e-4559-95c5-921c382f1425
222.xsp,CmONT,CONT
1799.townname,NOTRH BRANFORD,NORTH BRANFORD
496.global_id,cb0b1829-78bd-4a83-9b32-ef81c9ca7d4c,cb0b1829-78bd-4a83-9b32-ef8c19ca7d4c
515.xsp,ERV,REV
1710.townname,MACHESTER,MANCHESTER
1370.global_id,6d48cb0f-37c8-4703-bc6b-exe5c0262dfc7,6d48cb0f-37c8-4703-bc6b-ee5c0262dfc7
1009.townname,ENW LONDON,NEW LONDON
2590.routeid,54-S,154-S
809.xsp,oCONT,CONT
1620.global_id,5f817e02-ba3d-4ff-79ce4-1694f69477db,5f817e02-ba3d-4ff7-9ce4-1694f69477db
1139.global_id,783b38fa-3c8-4871-8963-c7bef8d271b9,783b38fa-3dc8-4871-8963-c7bef8d271b9
2545.townname,LIaSBON,LISBON
588.stlnstlocname,KINSMAN IHLL RD,KINSMAN HILL RD
497.xsp,RV,REV
224.global_id,6708145b-97b6-4fdap-bb57-47680f2601c8,6708145b-97b6-4fda-bb57-47680f2601c8
787.global_id,187916ae-9j31b-4867-a56d-598ff442254c,187916ae-931b-4867-a56d-598ff442254c
853.townname,EAST HRTFORD,EAST HARTFORD
1455.global_id,48673728-5d2b-4d09-8cea-44e80291411,48673728-5d2b-4d09-8cea-44e802f91411
674.global_id,a41c42fe-2e6d-4cb3-a06d-ac52d4x619561,a41c42fe-2e6d-4cb3-a06d-ac52d4619561
65.stlnstlocname,APLE ST,MAPLE ST
62.xsp,ONT,CONT
551.xsp,COTN,CONT
1434.global_id,929ab9c-66e2-457b-b9b0-45c9a27cd770,3929ab9c-66e2-457b-b9b0-45c9a27cd770
883.stlnstlocname,OLD LITCHFIELD DR,OLD LITCHFIELD RD
1839.global_id,5b0519d2-8d95-4f6b-9dd0-1ea019717304***,5b0519d2-8d95-4f6b-9dd0-1ea019717304
1628.routeid,437f-E,437-E
2321.stlnstlocname,BUCKINGHAM VE,BUCKINGHAM AVE
2168.townname,NWINGTON,NEWINGTON
959.routeid,103-W,130-W
709.townname,PLINFIELD,PLAINFIELD
1560.routeid,540-N,450-N
1766.global_id,a7fb3a18-5b1b-4a57-80e4-eaf3951bb193,a7fb3a18-5b1b-4a57-804e-eaf3951bb193
1120.routeid,1n71-E,171-E
1230.xsp,COTN,CONT
244.stlnstlocname,BROKOLAWN AVE,BROOKLAWN AVE
1616.stlnstlocname,MONROcE TPKE,MONROE TPKE
2293.xsp,dCONT,CONT
766.routeid,m42-W,42-W
806.global_id,6cb22306-e5c6-4d53-bbdd-7bdb9a2ff8f2,6cb22306-e5c6-4d53-bbdd-b7db9a2ff8f2
447.townname,WES THAVEN,WEST HAVEN
1267.stlnstlocname,IRVER RD,RIVER RD
1492.routeid,3-E,31-E
1751.townname,WINCHESETR,WINCHESTER
915.routeid,18-E,178-E
334.xsp,EV,REV
492.global_id,70b56e36-a686r-4384-a77c-127350d1268a,70b56e36-a686-4384-a77c-127350d1268a
2578.townname,RBOOKFIELD,BROOKFIELD
2185.stlnstlocname,WHITE TURKEY RD ETX,WHITE TURKEY RD EXT
258.routeid,68-E,608-E
1405.global_id,6ad1423a-1d99-4dd-baa70-154e0d07ada6,6ad1423a-1d99-4ddb-aa70-154e0d07ada6
1075.stlnstlocname,HARLANDR D,HARLAND RD
402.stlnstlocname,BRANCHR D,BRANCH RD
210.townname,MANCHESTR,MANCHESTER
2009.xsp,COTN,CONT
1223.stlnstlocname,LABANY AVE,ALBANY AVE
589.routeid,08-E,608-E
1830.townname,WES THARTFORD,WEST HARTFORD
2173.townname,BRELIN,BERLIN
2345.global_id,9341071a-083b-4a5f-9499-49ab1349be1b,9341071a-083b-4af5-9499-49ab1349be1b
143.xsp,OG,LOG
818.routeid,m151-N,151-N
1692.stlnstlocname,PINE T,PINE ST
1236.townname,ROTON,GROTON
1732.routeid,0-E,20-E
457.routeid,187r-N,187-N
300.townname,NEW BRIATIN,NEW BRITAIN
2536.townname,MADISOmN,MADISON
495.routeid,183N-,183-N
696.routeid,136N-,136-N
517.global_id,c81d1510-4796-4e99-8cf5-c33f1107fa2,c81d1510-4796-4e99-8cf5-c336f1107fa2
975.stlnstlocname,KENSINGTONAVE,KENSINGTON AVE
2103.stlnstlocname,WEST HORE RD,WEST SHORE RD
2119.townname,DEEP RIVRE,DEEP RIVER
1732.xsp,CzONT,CONT
269.routeid,6-E,68-E
1462.stlnstlocname,WATERBURiY RD,WATERBURY RD
1520.routeid,k1-N,1-N
938.global_id,a2788d0-6dc3-432b-8625-525547e887ee,a27898d0-6dc3-432b-8625-525547e887ee
1222.xsp,CtONT,CONT
398.xsp,CONaT,CONT
2508.global_id,95e53c91-22eb-4118-9106-f4bb65586c4,95e53c91-22eb-4118-9106-fb4bb65586c4
676.stlnstlocname,OUTH AVE,SOUTH AVE
1916.global_id,6d35dd72-133e-4b88-ac77-cf4a3ec593c,6d35dd72-133e-4b88-ac77-cf40a3ec593c
1375.stlnstlocname,UNIN ST,UNION ST
1131.stlnstlocname,ASHLEY DR,ASHLEY RD
830.townname,ERIDEN,MERIDEN
1300.townname,NEFIELD,ENFIELD
470.routeid,243E,243-E
2493.xsp,COrNT,CONT
1805.xsp,ONT,CONT
2583.global_id,6a50c793-3f3f-403b-8e2a-dfc201704caa,6a50c793-3f3f-403b-8e2a-dfc201740caa
2483.routeid,2g0-E,20-E
2165.xsp,ONT,CONT
1991.xsp,CNOT,CONT
2336.routeid,7b9-N,79-N
1221.stlnstlocname,TOLLANDTPKE,TOLLAND TPKE
1479.townname,GREENWIHC,GREENWICH
1586.routeid,88-N,488-N
758.xsp,LOfG,LOG
321.global_id,ed123905-6cd4-44b3-80f2-b94db340ddbd5,ed123905-6cd4-44b3-80f2-b94d340ddbd5
301.routeid,1-S,71-S
805.townname,WESTH ARTFORD,WEST HARTFORD
1309.townname,ELLNIGTON,ELLINGTON
204.routeid,2-E,42-E
1667.stlnstlocname,HAjTCHETT HILL RD,HATCHETT HILL RD
1167.routeid,209N,209-N
1909.xsp,ONT,CONT
1454.townname,NEW BRITAIgN,NEW BRITAIN
2445.townname,EAST HAVmEN,EAST HAVEN
1717.routeid,63-N,636-N
831.global_id,c8cf6e9-3328-4b92-a740-9bf3503c41c7,c8cf6e9b-3328-4b92-a740-9bf3503c41c7
2319.xsp,COTN,CONT
675.stlnstlocname,OLNG RIDGE RD,LONG RIDGE RD
2023.townname,INDHAM,WINDHAM
1143.stlnstlocname,OLD TSAMFORD RD,OLD STAMFORD RD
2490.xsp,CuONT,CONT
42.stlnstlocname,CUDLIPP VE,CUDLIPP AVE
2544.townname,LISBNO,LISBON
1648.xsp,kCONT,CONT
1153.stlnstlocname,BeRUSH HILL RD,BRUSH HILL RD
2285.stlnstlocname,ILLTOWN RD,MILLTOWN RD
2041.global_id,0208c766-71c2-4zbae-8117-6271135b30d8,0208c766-71c2-4bae-8117-6271135b30d8
42.global_id,db3f563c-b96-48eb-a841-f248217ea769,db3f563c-b696-48eb-a841-f248217ea769
2121.global_id,138dd19b-c770-4571-af34-a3207d2fce55,318dd19b-c770-4571-af34-a3207d2fce55
1852.townname,WINCHSTER,WINCHESTER
1281.routeid,136k-N,136-N
1617.xsp,ONT,CONT
343.global_id,578e817d-d24c-41aa-863-c6ae21a7696c,578e817d-d24c-41aa-8963-c6ae21a7696c
29.global_id,00b0556b-3818-42b2-acbf-4650ld187b1f1,00b0556b-3818-42b2-acbf-4650d187b1f1
1937.xsp,COTN,CONT
1490.global_id,e2a35be-f399-43ec-a3fa-58cd950d39b1,e2a35b1e-f399-43ec-a3fa-58cd950d39b1
724.stlnstlocname,CHURCH HILL vRD,CHURCH HILL RD
980.routeid,198-N,189-N
262.townname,ENFsIELD,ENFIELD
1414.xsp,CONyT,CONT
2088.global_id,f3fd34d6-595-44a23-8599-9dc1f5759d56,f3fd34d6-5954-4a23-8599-9dc1f5759d56
2267.routeid,37-E,372-E
1619.xsp,CNOT,CONT
1780.xsp,COTN,CONT
1811.townname,LPAINVILLE,PLAINVILLE
1219.stlnstlocname,WES MAIN ST,WEST MAIN ST
1330.stlnstlocname,OUNTAIN RD,MOUNTAIN RD
1651.routeid,54-E,534-E
636.stlnstlocname,IGGANUM RD,HIGGANUM RD
64.townname,EAT WINDSOR,EAST WINDSOR
722.xsp,COTN,CONT
632.townname,KILINGWORTH,KILLINGWORTH
1838.global_id,55f706fc-4c96-4f8d-aced-8c02bd4bfc5,55f706fc-4c96-4f8d-aced-8c02bd4bffc5
153.xsp,ChONT,CONT
418.stlnstlocname,BIGELOW HOLLO WRD,BIGELOW HOLLOW RD
1042.xsp,LG,LOG
2322.stlnstlocname,MERWIN VAE,MERWIN AVE
1369.routeid,82E,82-E
2138.townname,NORTH BRNAFORD,NORTH BRANFORD
65.townname,ELLINGTmON,ELLINGTON
96.routeid,j183-N,183-N
1208.routeid,1v18-E,118-E
1502.xsp,ClONT,CONT
1136.global_id,9428bc72-53c2-42e5-9dec-e1d8e333a1003,9428bc72-53c2-42e5-9dec-e1d8333a1003
1420.global_id,054098fe-770b-4d62-5ada-ad548d91a172,054098fe-770b-4d62-a5da-ad548d91a172
1964.stlnstlocname,pCROOKED ST,CROOKED ST
501.routeid,2d87-E,287-E
1993.routeid,6-3N,63-N
2014.xsp,CONxT,CONT
1655.townname,CANANA,CANAAN
1405.xsp,OG,LOG
1115.routeid,1e0-N,10-N
1662.global_id,a4108aa9-f036-4f36-b285-55a4f0r76ba8f,a4108aa9-f036-4f36-b285-55a4f076ba8f
1719.xsp,eCONT,CONT
1625.xsp,OCNT,CONT
989.townname,ROBXURY,ROXBURY
1339.townname,NnEW BRITAIN,NEW BRITAIN
1117.townname,NEW HAaVEN,NEW HAVEN
1484.xsp,ONT,CONT
1395.townname,WATERFkORD,WATERFORD
2526.xsp,OCNT,CONT
241.global_id,31dcb13-1f9c0-4936-8c5a-437283735e29,31dcb131-f9c0-4936-8c5a-437283735e29
592.global_id,3b5ccc90-9dec-4d14-9e52-f61d4aa52f1h1,3b5ccc90-9dec-4d14-9e52-f61d4aa52f11
1689.global_id,96f66eac-ef68-42cb-b892-f0bc8a25ae0,96f66eac-ef68-42cb-b892-f08bc8a25ae0
521.townname,WILINGTON,WILLINGTON
2329.global_id,8d04c3aa-6e7a-4bb0-9d4d-aabcff108d0d***,8d04c3aa-6e7a-4bb0-9d4d-aabcff108d0d
1576.townname,STAFFROD,STAFFORD
1766.townname,SOUTHfBURY,SOUTHBURY
256.townname,EStSEX,ESSEX
200.stlnstlocname,SPIELMAN HWnY,SPIELMAN HWY
1753.global_id,b0a02ea9-46ea-493-887b-17db5b655616,b0a02ea9-46ea-4393-887b-17db5b655616
275.townname,ORNWALL,CORNWALL
1513.stlnstlocname,BOSON TPKE,BOSTON TPKE
802.routeid,4-E,44-E
2592.stlnstlocname,AIN ST,MAIN ST
2534.routeid,2s02-S,202-S
229.townname,NlEW LONDON,NEW LONDON
1560.xsp,LOiG,LOG
776.global_id,215710a6-335d-4f6a-9350f-5cfd9434f13,215710a6-335d-4f6a-9350-f5cfd9434f13
1350.stlnstlocname,ASTON TPKE,EASTON TPKE
1461.routeid,43-E,243-E
2104.global_id,bc48a6eb-d9d0-4b19-a9e1-5120225417ef,bc48ae6b-d9d0-4b19-a9e1-5120225417ef
2453.townname,SFUFIELD,SUFFIELD
587.stlnstlocname,COLT HY,COLT HWY
824.xsp,ONT,CONT
99.townname,WOODSlTOCK,WOODSTOCK
524.townname,WILTNO,WILTON
1541.xsp,OG,LOG
64.global_id,daf1f6aa-a1e7404a-8323-c6b88c2d9144,daf1f6aa-a1e7-404a-8323-c6b88c2d9144
111.routeid,17-N,177-N
554.routeid,6-N,63-N
410.global_id,ca204817-93ed-4a25-9a71-2af9172c091f,ca204817-93ed-4a25-9a71-a2f9172c091f
543.townname,VAON,AVON
1929.townname,EW LONDON,NEW LONDON
947.global_id,67e9d3e0-e49a-41i42-ab1e-49b7623321c7,67e9d3e0-e49a-4142-ab1e-49b7623321c7
915.global_id,44dc74bby-b0e3-470c-881b-8eb24547e031,44dc74bb-b0e3-470c-881b-8eb24547e031
772.routeid,8-7N,87-N
891.global_id,7be2903b-4158-4a1c-adc8-762d6130853,7be2903b-4158-4a1c-adc8-762d613085a3
2242.townname,DEEP iRIVER,DEEP RIVER
345.xsp,xCONT,CONT
697.routeid,l136-N,136-N
695.xsp,CNT,CONT
2167.routeid,1A4-E,14A-E
2024.townname,COLMBIA,COLUMBIA
1380.townname,OL SAYBROOK,OLD SAYBROOK
2116.xsp,COTN,CONT
2428.routeid,1S-,1-S
2557.stlnstlocname,TkORRINGTON RD,TORRINGTON RD
1075.xsp,OCNT,CONT
1507.routeid,317E-,317-E
2047.routeid,136p-N,136-N
1485.stlnstlocname,JNCTION RD,JUNCTION RD
161.routeid,218E-,218-E
2395.xsp,COeNT,CONT
1699.xsp,CONiT,CONT
1762.townname,INDSOR LOCKS,WINDSOR LOCKS
2038.townname,EWTOWN,NEWTOWN
2334.xsp,CbONT,CONT
575.stlnstlocname,CEDARR D CONNECTOR,CEDAR RD CONNECTOR
2326.xsp,ONT,CONT
636.townname,KILLIGWORTH,KILLINGWORTH
2236.routeid,6-cW,6-W
1253.stlnstlocname,WINDSORVILLE rRD,WINDSORVILLE RD
2118.xsp,CONuT,CONT
811.routeid,-N,1-N
2381.townname,WESnT HAVEN,WEST HAVEN
98.global_id,1b3a9aa3-c2c1-449-db11d-2e22413ab761,1b3a9aa3-c2c1-449d-b11d-2e22413ab761
342.global_id,44c61e16-c229-43cf-n96a1-f8c17fa9d48f,44c61e16-c229-43cf-96a1-f8c17fa9d48f
2430.routeid,0-N,10-N
770.global_id,7d494a42-940a-46e7-9f08-3d79c6ea302,7d494a42-940a-46e7-9f08-3d797c6ea302
2287.xsp,ERV,REV
1008.xsp,CNOT,CONT
2293.townname,BAECON FALLS,BEACON FALLS
1707.townname,BLTON,BOLTON
2510.townname,WOODBRY,WOODBURY
2115.townname,ERNON,VERNON
2067.global_id,9f037216-bb89-4cf-a27e-94fae51f421b,9f037216-bb89-4ecf-a27e-94fae51f421b
576.xsp,ONT,CONT
2233.xsp,CNT,CONT
1615.stlnstlocname,HOWE AEV,HOWE AVE
1531.global_id,b21ad31b-9ad3-498-a40e-a6a0128a4be4,b21ad31b-9ad3-4918-a40e-a6a0128a4be4
409.routeid,14-E,140-E
848.xsp,ONT,CONT
1908.stlnstlocname,BOSTON POS RD,BOSTON POST RD
211.stlnstlocname,RESEROVIR RD,RESERVOIR RD
593.routeid,431N-,431-N
1784.townname,BEjTHANY,BETHANY
972.routeid,6-N,63-N
647.stlnstlocname,OCEAN AVxE,OCEAN AVE
809.stlnstlocname,MeAIN ST,MAIN ST
1438.routeid,1-oN,1-N
2143.stlnstlocname,BRANFORDy RD,BRANFORD RD
1463.townname,STOINNGTON,STONINGTON
2309.townname,BRIDnGEWATER,BRIDGEWATER
2229.stlnstlocname,MIAN ST SOUTH,MAIN ST SOUTH
239.stlnstlocname,WASHINTGON ST,WASHINGTON ST
2195.global_id,1cb978a2-7fde-4cf590f2-a551a0a80627,1cb978a2-7fde-4cf5-90f2-a551a0a80627
138.townname,INDSOR,WINDSOR
1116.global_id,86fb64e8-e5144fba-baa8-80f599254c58,86fb64e8-e514-4fba-baa8-80f599254c58
987.global_id,a2a3c86-1d49-48d7-ba2c-4912667b22fa,a2a3c286-1d49-48d7-ba2c-4912667b22fa
719.xsp,LGO,LOG
1364.xsp,zCONT,CONT
1121.global_id,bf7abf8f-3a4a-45ac-b495-bc8f7f649f43,bf7abf8f-3a4a-45ac-b495-bc8f7f64f943
889.townname,OLD SAYsBROOK,OLD SAYBROOK
2237.routeid,6W-,6-W
24.xsp,RV,REV
2399.townname,RESTON,PRESTON
1461.stlnstlocname,FOUNTAINp ST,FOUNTAIN ST
2486.xsp,qLOG,LOG
17.xsp,RVE,REV
1032.xsp,EV,REV
1958.global_id,a15da72c-b5bf-4b98-b9b6-39407f50d5a2,a15da72c-b5bf-4b98-b9b6-3940f750d5a2
403.stlnstlocname,AIN ST,MAIN ST
723.xsp,CnONT,CONT
2156.xsp,OG,LOG
1359.xsp,CkONT,CONT
1011.townname,WESTuPORT,WESTPORT
1362.routeid,a184-E,184-E
2096.global_id,058o1dfc1-c243-4258-b93a-144704073a27,0581dfc1-c243-4258-b93a-144704073a27
1481.global_id,3c6c5814-925fa-4263-a745-239e7c80a799,3c6c5814-925f-4263-a745-239e7c80a799
1841.stlnstlocname,OBSTON AVE,BOSTON AVE
934.routeid,124N-,124-N
2509.routeid,30-E,130-E
1682.stlnstlocname,TERRYILLE AVE,TERRYVILLE AVE
2355.routeid,920l-E,920-E
543.xsp,COaNT,CONT
1864.xsp,CONsT,CONT
1079.global_id,97218166-6315-4aa4-9783-1439a01ae0c,97218166-6315-4aa4-9783-1439a401ae0c
1184.xsp,CONyT,CONT
1788.stlnstlocname,WAETRBURY RD,WATERBURY RD
125.xsp,ONT,CONT
1061.stlnstlocname,NORTH BRANFROD RD,NORTH BRANFORD RD
1068.stlnstlocname,nDANBURY RD,DANBURY RD
2088.stlnstlocname,NEW BRTAIN RD,NEW BRITAIN RD
1653.routeid,12v-N,12-N
420.xsp,CgONT,CONT
273.townname,KET,KENT
1672.townname,CORmNWALL,CORNWALL
1682.xsp,CNT,CONT
2559.stlnstlocname,KILgLINGWORTH RD,KILLINGWORTH RD
1856.global_id,84ce3c46-f557-496d-837c-18e76980e7c,84ce3c46-f557-496d-837c-148e76980e7c
1780.townname,gSHARON,SHARON
762.xsp,COpNT,CONT
2364.xsp,CeONT,CONT
2095.routeid,262-zN,262-N
1093.xsp,RVE,REV
2579.routeid,874-N,847-N
125.stlnstlocname,MT PLEASNT RD,MT PLEASANT RD
2506.global_id,32e7dafc-805-4d4d-a100-6986267b9ec8,32e7dafc-8605-4d4d-a100-6986267b9ec8
994.stlnstlocname,AMIN ST,MAIN ST
2301.xsp,ONT,CONT
2139.xsp,OCNT,CONT
1771.global_id,968ba5af-dc5e-405-d90ff-481c6989002c,968ba5af-dc5e-405d-90ff-481c6989002c
1147.townname,WINCESTER,WINCHESTER
1235.townname,BRIDGEPOTR,BRIDGEPORT
1081.routeid,15-E,215-E
2536.xsp,OLG,LOG
1047.stlnstlocname,MIsLL PLAIN RD,MILL PLAIN RD
1426.stlnstlocname,FLANDtERS RD,FLANDERS RD
590.routeid,4n1-N,41-N
1046.stlnstlocname,TURjKEY HILLS RD,TURKEY HILLS RD
1805.townname,NORH CANAAN,NORTH CANAAN
1774.townname,SPRAUGE,SPRAGUE
1050.routeid,02-N,202-N
2013.global_id,29527680-5f38-4610-970d-bfcffcb5ccaa,29526780-5f38-4610-970d-bfcffcb5ccaa
1871.xsp,CNT,CONT
1019.global_id,d461e09-81af-45a0-a187-aa0bfdee4a4d,d4e61e09-81af-45a0-a187-aa0bfdee4a4d
1266.stlnstlocname,HEBRO RD,HEBRON RD
1679.global_id,556b9f3e-4963-4401-714-82ca070f991b,556b9f3e-4963-4401-a714-82ca070f991b
2239.xsp,EV,REV
1297.routeid,y5-N,5-N
2566.xsp,COTN,CONT
605.townname,WApLLINGFORD,WALLINGFORD
444.xsp,CONtT,CONT
2179.stlnstlocname,DEPO THILL RD,DEPOT HILL RD
1675.townname,COLEBRkOOK,COLEBROOK
161.stlnstlocname,CObTTAGE GROVE RD,COTTAGE GROVE RD
898.townname,EBRLIN,BERLIN
1091.global_id,7eac60774-c6eb-48a0-9afc-65bab600d658,7ac60774-c6eb-48a0-9afc-65bab600d658
1187.townname,ONROE,MONROE
943.xsp,OCNT,CONT
1831.xsp,CONlT,CONT
2418.townname,BRDGEPORT,BRIDGEPORT
730.townname,NEWBRITAIN,NEW BRITAIN
482.global_id,2ec43bef-ef4b-4eb0-9af9-82236fc83b5,2ec43bef-ef4b-4eb0-9af9-812236fc83b5
130.global_id,ac558f33-7820-4ac1-a777-817b2589df9,ac558f33-7820-4ac1-a777-8917b2589df9
2089.routeid,17-N,71-N
1232.global_id,8d6fe953-94ff-4e0-ac79-18cd3ad93a07,8d6fe953-94ff-4ea0-ac79-18cd3ad93a07
2093.stlnstlocname,SANDY BEAC RD,SANDY BEACH RD
807.routeid,449S,449-S
2151.routeid,3-E,34-E
379.routeid,14p-E,14-E
963.global_id,ed9a1c7a-ae4f-454c-b1be-f7a9b768c531,de9a1c7a-ae4f-454c-b1be-f7a9b768c531
1666.global_id,d0817d6e-b084-45ed-b26a-9b9f1b356446c,d0817d6e-b084-45ed-b26a-99f1b356446c
1411.routeid,2-oW,2-W
740.townname,MNCHESTER,MANCHESTER
