season,datecode(long),weekending,region,respiratoryvirus,numberpositive(long),specimenstested(long),percentpositive(double precision)
2010-2011,201106,02/1/211,Bay Area,Total_Influenza,463,1694,27.33
20102011,201106,02/12/11,Bay Area,RSV,297,1651,17.99
2010-2011,201106,2/12/11,Califonia,Influenza_A,525,3503,14.99
201-2011,201106,02/12/11,California,Influenza_B,295,3503,8.42
2010-2011,201106,02/12/11***,Calfiornia,Total_Influenza,820,3503,23.41
010-2011,201106,02/1/11,California,RSV,825,3290,25.08
2010-2011,201106,02/12/11,Central,Influennza_A,58,522,11.11
2010-2011,201106,02/12/11,Central,InfluenzaB,53,522,10.15
20102011,201106,02/12t/11,Central,Total_Influenza,111,522,21.26
210-2011,201106,20/12/11,Central,SRV,220,559,39.36
2010-2011,201106,02/12/11,Lower Soutehrn,Influenza_A,38,377,10.08
2010-20v11,201106,02/12/11,Lower Southern,Influenza_B,12,377,3.18
2010-2011,201106,02/12/11,Lower Southern,Total_Influenza,50,377,13.26
2010-2011,201106,02/12/11,Lower Southern,RVS,59,215,27.44
2010-2011,201106,02/12/11,Northern,Influenza_A,50,348,14.37
2010-f2011,201106,0/212/11,oNrthern,Influenza_B,9,348,2.59
2010-201w1,201106,02/12/11***,Northern,Total_Influenza,59,348,16.95
2010-2011***,201106,02/12/11,Northern,RVS,128,348,36.78
201r0-2011,201106,02/12/11,Upper Sotuhern,Influenza_A,11,183,6.01
2010-2011,201106,02/12/11***,Upper Southerzn,Influenz_aB,23,183,12.57
2010-2011,201106,02/1/211,Upper Southern,Total_Influenza,34,183,18.58
2010-2011,201106,02/12/11,Upper Southern,RSV,24,138,17.39
2010-2k011,201106,02/12/11,Upper/Lower Southern,Influenz_A,51,379,13.46
2010-2011,201106,02/12/11,Upper/Lower Southern,Influenza_B,52,379,13.72
201-2011,201106,2/12/11,Upper/Lower Southern,Total_Influenza,103,379,27.18
200-2011,201106,02/12/11***,Upper/Lower Southern,RSV,97,379,25.59
20b10-2011,201107,02/19/11,Bay Area,Influenza_A,340,1713,19.85
2010-2011,201107,2/19/11,Bay Area,Influenza_B,219,1713,12.78
010-2011,201107,02/19/11,Bay Area,Tota_lInfluenza,559,1713,32.63
2010-2011,201107,02/19/11,Bay rAea,RVS,192,1673,11.48
2010-2011,201107,02/19/11,Califrnia,Influenza_A,658,3653,18.01
2010-2011,201107,02/19/11,California,nfluenza_B,395,3653,10.81
2010-2011,201107,02/i19/11,California,Toatl_Influenza,1053,3653,28.83
2010-2011,201107,02/91/11,California,RSV,599,3211,18.65
2010-2011,201107,02b/19/11,Cntral,Influneza_A,127,666,19.07
200-2011,201107,02/19/11,Centrl,Influenzma_B,55,666,8.26
2010-2011,201107,a02/19/11,Centrl,Total_Inluenza,182,666,27.33
2010-2011,201107,02/19/11,Central,RSV,177,527,33.59
2010-2011,201107,02/19/11,Lower Southern,rInfluenza_A,43,392,10.97
2010-0211,201107,02/19/11,Lower Southern,Influenza_B,13,392,3.32
200-2011,201107,02/9/11,Lower Southern,Total_Influenza,56,392,14.29
2010-2011,201107,02/19/11,Lower oSuthern,RSV,49,194,25.26
2010-2011,201107,02/19/11,Northern,Influeza_A,54,307,17.59
201y0-2011,201107,02/19/11,Northern,Influenza_B,20,307,6.51
2010-2011***,201107,0219/11,Northern,Total_Influenza,74,307,24.1
2010-2011,201107,02/19/11,Northern,RSV,80,307,26.06
2010-2011,201107,02/19/11,Upper Southern,Influenza_A,22,207,10.63
2010-201,201107,02/19/11,Upper outhern,Influenza_B,29,207,14.01
2010-2011,201107,0219/11,Upper Southern,Ttal_Influenza,51,207,24.64
2010-2011,201107,02/19/11,Uper Southern,RSV,6,142,4.23
2010-201,201107,02/19/11,Upper/Lower Southern,Influenza_A,72,368,19.57
2010-2011,201107,02/19/11,Upper/Lower Southern,Influenza_B,59,368,16.03
2010-2011,201107,02/191/1,Upper/Lower Sotuhern,Tota_lInfluenza,131,368,35.6
201-02011,201107,02/19c/11,Upper/Lower Southern,RVS,95,368,25.82
2010-2011,201108,02/26/11,aBy Area,Influenza_A,305,1538,19.83
2010-2011,201108,02/26/11,Ba yArea,Influenza_iB,159,1538,10.34
2010-2011,201108,20/26/11,Bay rea,TotalInfluenza,464,1538,30.17
2010-2011,201108,02/26/11,aBy Area,yRSV,163,1498,10.88
2010-2011,201108,02/26/11,California,Infuenza_A,645,3423,18.84
2010-2011,201108,02/26/11,Caplifornia,Influenza_B,313,3423,9.14
2010-201x1,201108,02/26/11***,California,Total_nIfluenza,958,3423,27.99
2010-2011,201108,02/26/11,California,RSV,498,2999,16.61
2010-201q1,201108,02/261/1,Central,InfluenzaA_,157,700,22.43
2010-2011,201108,02/26/11,Csentral,Influenza_B,70,700,10.0
2010-2011,201108,02/26/11,Central,Total_Infleunza,227,700,32.43
2010-2011,201108,02/26/11,Cenral,RSV,135,520,25.96
201g0-2011,201108,02x/26/11,Lower Southern,Influenza_A,32,338,9.47
2010-2011,201108,0a2/26/11,Lower Southern,Influenza_B,17,338,5.03
2010-011,201108,02/2/11,Lower Southern,Total_Influenzua,49,338,14.5
2010-2011,201108,02/26/11,Lower Southern,RV,50,188,26.6
2010-2011,201108,2/26/11,Northern,Iqnfluenza_A,84,323,26.01
2010-2011,201108,20/26/11,Nortehrn,Influenza_B,23,323,7.12
2010-2011,201108,02/26/11,Northern,Total_Influenza,107,323,33.13
2010-2w011,201108,02/26/11,Northxern,RSV,84,323,26.01
2010-011,201108,02/26/11,Upper Southern,Influenza_A,15,173,8.67
2010-2011,201108,02/261/1,Upper Southern,Influenza_B,11,173,6.36
2010-2011,201108,02/26/a11,Upper Suothern,Total_Influenza,26,173,15.03
010-2011,201108,02/26/11,Upper Southern,RSV,9,119,7.56
2010-2011,201108,2/26/11,Upper/Lower Southern,Influenza_A,52,351,14.81
2010-2011,201108,02/2/611,Upper/Lower Southern,Isnfluenza_B,33,351,9.4
2010-2011,201108,02/26/11,Upper/Lower Southern,Total_Influenaz,85,351,24.22
2010-2011,201108,02/26/11,Upper/Lower Suothern,RSV,57,351,16.24
20102011,201109,0305/11,Bay Area,nIfluenza_A,333,1566,21.26
2010-2011,201109,03/05/11***,ay Area,Influenza_B,182,1566,11.62
2010-2011,201109,03/05/11,ay Area,Total_Influenza,515,1566,32.89
2010-2011,201109,03/05/11,Bay cArea,RSV,135,1504,8.98
2j010-2011,201109,3/05/11,California,Iznfluenza_A,621,3250,19.11
2010-0211,201109,03/05/11,California,Influenza_B,323,3250,9.94
2010-2011,201109,03/05/11,California,Totral_Influenza,944,3250,29.05
2010-2011,201109,03/05/11,California,RVS,373,2760,13.51
2010-2011,201109,w03/05/11,Cetral,InfluenzaA,117,598,19.57
2010-2011,201109,03/05/11,Central,Influenza_B,90,598,15.05
20102-011,201109,0m3/05/11,Central,otal_Influenza,207,598,34.62
2010-2011,201109,03/05/11,entral,RSV,88,383,22.98
2010-2011,201109,03/5/11,Lower Southern,Influenza_A,27,310,8.71
2010-2011,201109,03/05/11,Lower Soutern,Inlfuenza_B,8,310,2.58
2010-2011,201109,03/5/11,Lower Southenr,Total_Influuenza,35,310,11.29
2010-2011,201109,03/05/11,Lower Southern,RSV,37,177,20.9
2010-2011,201109,03/0/511,Northen,Influenza_A,81,301,26.91
2010-2011,201109,03/05/1,Northrn,Influenza_B,18,301,5.98
2010-2011,201109,3/05/11,Northern,Total_Influenza,99,301,32.89
200-2011,201109,03/05/11,Northern,RSV,60,301,19.93
2010-2011,201109,0l3/05/11,Uppr Southern,Influenaz_A,19,210,9.05
2010-2011,201109,03/05/l11,Upper Southern,Influenza_B,5,210,2.38
2010-m2011,201109,03/05/11,Upper Southern,Total_Inluenza,24,210,11.43
2010-2011,201109,03/05/11***,Upper Southern***,iRSV,8,130,6.15
2100-2011,201109,03/05/11,Upper/Lower Southern,Influenza_A,44,265,16.6
2010-2011,201109,03/05/11***,Upper/Lower Southern,Influenza_B,20,265,7.55
2001-2011,201109,03/051/1,Upper/Lower Suthern,Total_Influenza,64,265,24.15
2010-2011,201109,03/05/11,Upper/Lower Southern,RSkV,45,265,16.98
2100-2011,201110,03/12/11,Bay Area,Infuenza_A,317,1590,19.94
2010-2011,201110,03/121/1,Bay Area,Iwnfluenza_B,180,1590,11.32
2001-2011,201110,03/12/11,Bay eArea,Total_Influenza,497,1590,31.26
20g10-2011,201110,03/12/11,Bay rAea,RSV,93,1552,5.99
2010-2011,201110,03/12/11,California,InfluenzaA_,570,3278,17.39
2010-2011,201110,03/12/11,California,Influneza_B,291,3278,8.88
2010-2011,201110,03/12/11,Caliofrnia,Total_Influenza,861,3278,26.27
2010-2011,201110,03/12/11,California,RSV,290,2898,10.01
2010-2011,201110,03/12/11,Central,Influeza_A,96,660,14.55
2010-2011,201110,03/12/1,Central,Influenza_B,71,660,10.76
2010-2011,201110,03/12/11,Central,Total_Influenza,167,660,25.3
2010-20u11,201110,03/12/11,Central,SV,69,487,14.17
2010-2011,201110,03/12a/11,Lower Southenr,Influenza_A,14,271,5.17
2010-2011,201110,d03/12/11,Lowxer Southern,Influenza_B,3,271,1.11
2010-2011,201110,03/12/11,Lower Southern,Total_Influenaz,17,271,6.27
2010-2011,201110,03/12/11,Lower Southern,RSV,21,145,14.48
2010-2011,201110,031/2/11,Northern,Influenza_A,79,308,25.65
2010-2011,201110,03/12/y11,Northern,Infuenza_B,23,308,7.47
2010-2011,201110,03/o12/11,Northern,Total_Influenza,102,308,33.12
20102-011,201110,03/12/11,Norothern,SV,54,308,17.53
2010-2011,201110,3/12/11,Upper Southenr,Inflwuenza_A,12,160,7.5
2010-2011,201110,03/12/11,Upper Southern,Influena_B,3,160,1.88
2010-2011,201110,03/z12/11,Upper Southern,Total_Influenza,15,160,9.38
2010-2011,201110,03/12/11,Upper Southern,SV,8,117,6.84
2010-2011,201110,03/12/11,Uppe/Lower Southern,Influenza_A,52,289,17.99
2001-2011,201110,03/12/11,Upper/Lower Southern,Inlfuenza_B,11,289,3.81
2010-201,201110,03/12/1r1,Upper/Lower Southern,Total_Influenza,63,289,21.8
2010-2011,201110,03/12/11,Upper/Lower Southern,RV,45,289,15.57
2010-2011***,201111,03/19/11,ay Area,Influenza_A,158,1190,13.28
2010-201e1,201111,0319/11,Bay Area,Influenza_B,117,1190,9.83
2100-2011,201111,0/319/11,Bay Area,Total_Influenza,275,1190,23.11
2010-2011,201111,03/19/11,Bay Area,RSV,75,1164,6.44
2010-2011***,201111,03/1q9/11,California,Inlfuenza_A,298,2464,12.09
2010-b2011,201111,03/19/11,California,Influenza_B,214,2464,8.69
2010-201,201111,03/v19/11,California,Total_Influenza,512,2464,20.78
2010-201,201111,03/o19/11,California,RhSV,211,2155,9.79
2010-2011,201111,03/19/1,Ceyntral,Influenza_A,67,453,14.79
2010-2011,201111,03/19/11,Central,Influenza_B,55,453,12.14
2010-2011,201111,03/19/11,Central,Total_hInfluenza,122,453,26.93
2010-2011,201111,03/19/j11,Central,RV,50,312,16.03
2010-201,201111,03/19/11,Lower Southern,Influneza_A,11,255,4.31
2010-2011,201111,03/19/11,Lower Southern,Influenza_B,4,255,1.57
2010-2011,201111,03/9/11,Lower Southern,Total_Influenza,15,255,5.88
2010-2011,201111,03/19/11,Lower Southern,SRV,19,150,12.67
200-2011,201111,03/19/11,Northern,Influenza_A,35,229,15.28
2010-2011,201111,03/19/11,Northern,Influnza_B,26,229,11.35
2010-2011,201111,03/91/11,Northern,Total_Influenza,61,229,26.64
2010-2011,201111,03/19/11,Nrothern,RSV,34,229,14.85
201-2011,201111,03/19/11,Upper Southern,Influenza_A,5,139,3.6
210-2011,201111,0/319/11,Uper Southern,Influenza_B,0,139,0.0
e2010-2011,201111,03/19/11,Upper Southern,Total_Influenza,5,139,3.6
2010-2011,201111,03/19/1,Upper Southern***,RV,9,102,8.82
2100-2011,201111,03/19/11,Upper/Lower outhern,Influenza_A,22,198,11.11
2010-2011,201111,03/19/11,Upper/Lower Southenr,Influenza_B,12,198,6.06
2010-2011,201111,03/19/11,Upper/Lower Southern,Total_Inffluenza,34,198,17.17
2010-2011,201111,03/19/11,Upper/Lower Southern,RbSV,24,198,12.12
2010-2011,201112,03/26/11,Bay Area,nIfluenza_A,88,973,9.04
2010-2011,201112,03/26/11,Bay Area,Influenza_B,55,973,5.65
2010-2011,201112,03/26/11,Bay Area,Toatal_Influenza,143,973,14.7
2y010-2011,201112,03/26/11,Bay Area,RSV,47,950,4.95
2010-2011,201112,03/26/11,Califonria,Influena_A,160,2077,7.7
010-2011,201112,03/2/11,California,Influenza_B,101,2077,4.86
010-2011,201112,03/26/11,Cwalifornia,Total_Influenza,261,2077,12.57
2010-2011,201112,03/26/11,California,RSV,144,1843,7.81
2010z-2011,201112,03/26/11,Cenral,Influenza_A,35,409,8.56
010-2011,201112,03/26/11,Centrl,Influenaz_B,23,409,5.62
2010-2011,201112,30/26/11,Central,Total_Influnza,58,409,14.18
2001-2011,201112,03/26/11,Cnetral,RoSV,46,311,14.79
200-2011,201112,03/2611,Lower Southern,Influenza_A,12,250,4.8
2010-2011,201112,03/26/11,Lower Southern,Influenaz_B,3,250,1.2
2010-011,201112,03/26/11,Lower Suothern,Total_Influenza,15,250,6.0
2010-2011,201112,032/6/11,Lower Southern,RSV,11,158,6.96
2010-2011,201112,03/26/11,Northern,Infleunza_A,13,162,8.02
2010-2011,201112,03/26/11,Northerpn,Infleunza_B,16,162,9.88
20y10-2011,201112,03/26/11,Northern,Total_nfluenza,29,162,17.9
2010-201,201112,03/26/11,Northern,RSV,22,162,13.58
2010-2011,201112,03/26/11,Upper Soutehrn,Influenzam_A,3,109,2.75
2010-2011,201112,03/62/11,Upper Southbern,Influenza_B,2,109,1.83
2010-2011,201112,03/26/11,Upper Southern,Total_Influrenza,5,109,4.59
2010-2011,201112,03/2t6/11,Upper Southern,RSV,2,88,2.27
010-2011,201112,03/26/11,Upper/Lower Southern,Influenza_A,9,174,5.17
2010-2011,201112,03/2/11,Upper/Lowefr Southern,Influenza_B,2,174,1.15
2010-2011,201112,0a3/26/11,Upper/Lovwer Southern,Total_Influenza,11,174,6.32
2010-2011,201112,0k3/26/11,Upper/Lower Southen,RVS,16,174,9.2
2010-2011,201113,04/o02/11,Bay Area,nfluenza_A,39,766,5.09
2010-w2011,201113,0/402/11,Bvay Area,Influnza_B,38,766,4.96
2010-2011,201113,04/02/11,Bay Area,Total_Influenza,77,766,10.05
2010-2011,201113,04/02/11,Ba yArea,RSV,24,743,3.23
2010-2011,201113,04/02/11***,Califowrnia,Influenza_A,78,1664,4.69
2010-c2011,201113,04/02/11,California,Influenz_aB,65,1664,3.91
2010-2011,201113,04/02/11,California,Total_Influenza,143,1664,8.59
2010-2011,201113,04/e02/11,Califonria,SRV,91,1479,6.15
2010-2011,201113,04/02/11,Cenral,Influenza_A,13,308,4.22
2010-2011,201113,04/02/11,Central,Influenza_B,11,308,3.57
20102-011,201113,04/02/11,vCentral,Total_Ifluenza,24,308,7.79
2010-2011,201113,04/02/11,Centrl,sRSV,22,230,9.57
2010-2011,201113,04/02/11,Lower Southern,Influenza_A,1,196,0.51
2010-201,201113,04/0211,Lower Southern,Influenza_B,7,196,3.57
2010-2011,201113,0z4/02/11,ower Southern,Total_Influenza,8,196,4.08
2010-2011***,201113,04/02/11,Lower Southern,RcSV,15,127,11.81
2010-2011,201113,04/02/11,Northern,Influenza_A,13,126,10.32
201-2011,201113,04/02/11,Northern,Influenza_B,6,126,4.76
j2010-2011,201113,0/02/11,Nrthern,Total_Influenza,19,126,15.08
2010-2011,201113,04/02/11,Northern,RSkV,12,126,9.52
2010-2011,201113,04/20/11,Upper Southern,Influenza_A,3,119,2.52
2010-2011,201113,04/20/11,Upper Southern,Influenza_B,2,119,1.68
0210-2011,201113,04/c02/11,Upper Southern,Total_Influenza,5,119,4.2
2010-2011,201113,04/02/11,Upper Southern,RSV,9,104,8.65
2010-e2011,201113,04/02/11,Upper/Lower Southern,Influenza_A,9,149,6.04
2010-2011,201113,04/02/11,Upper/Lowre Southern,Influenza_B,1,149,0.67
201-2011,201113,04/02/11,Upper/Lower Southern,Total_Influenza,10,149,6.71
2010-2011,201113,0/402/11,Upper/Lower Southern,RSV,9,149,6.04
2010-2011,201114,04/09/11,Bay rea,Influenza_A,37,685,5.4
2010-2011***,201114,04/09/11,Bay Area,Influenza_B,26,685,3.8
2010-011,201114,04/9/11,Bay Area,Total_Infulenza,63,685,9.2
2010-2011,201114,04/091/1,Ba Area,RSV,24,669,3.59
2100-2011,201114,04/09/11,California,InfluenzaA_,56,1498,3.74
2010-q2011,201114,04/09/11,California,nIfluenza_B,49,1498,3.27
2010-2011,201114,04/09/1u1,alifornia,Total_Influenza,105,1498,7.01
2010-2011,201114,04/0/911,California,RVS,64,1342,4.77
2010-201,201114,040/9/11,Cxentral,Influenz_A,8,261,3.07
2010-201w1,201114,04/09/11,Central,Influenza_B,10,261,3.83
2010-2011,201114,04/09/11,Central,Total_Influenza,18,261,6.9
2010-2011,201114,04/09/11,Cetral,RSV,11,208,5.29
20z10-2011,201114,04/09/11,Loer Southern,Influenza_A,1,184,0.54
2010-2011,201114,04/091/1,Lower Southern,Influenza_B,1,184,0.54
2010-2011,201114,04/09/11,Lowe Southern,Total_Influenza,2,184,1.09
2010-2011,201114,04/09/11,Lower Southern,pRSV,9,106,8.49
2010-2011,201114,04/09/11,Notrhern,Influenza_A,4,105,3.81
2010-2011,201114,04/09/11,Northern,Influenza_B,9,105,8.57
2010-2011,201114,04/09/11,Northenr,Totajl_Influenza,13,105,12.38
2010-2011,201114,40/09/11,Northern,RSiV,11,105,10.48
2010-2011,201114,04/9/11,Upper outhern,Influenza_A,2,124,1.61
2010-2011,201114,04/09/11,Upper Southern,Infludenza_B,1,124,0.81
2010-2011,201114,04/09/11,Upper Southern,Total_Influenza,3,124,2.42
2010-2011,201114,04/09/11,Upper Southern,RSV,1,115,0.87
200-2011,201114,04/09/11,Upper/ower Southern,Influenza_A,4,139,2.88
2010-2011,201114,04/09/11,UpperLower Southern,Influenza_B,2,139,1.44
2010-2011,201114,04/9/11,Upper/Lower Southern,Total_Influenza,6,139,4.32
2010-2011,201114,04/09/11***,Upper/Lower Soumthern,RSV,8,139,5.76
2010-2011,201115,04/16/11,Bay Area,Influenza_A,9,510,1.76
010-2011,201115,04/16/11,Bay Area,Influenza_B,12,510,2.35
2010-2011,201115,04/161/1,Bay Area,Total_Influenza,21,510,4.12
2010-2011,201115,04/16/11,Bay Arae,RSV,15,492,3.05
2010-2011,201115,04/16/11,California,Influenza_A,19,1134,1.68
2100-2011,201115,04/1e6/11,California,Influenza_B,22,1134,1.94
2010-2011,201115,04/16/11,Californai,Ttal_Influenza,41,1134,3.62
2010-2011,201115,04/16/11,Calfiornia,RSV,41,1025,4.0
2010-2011,201115,40/16/11,Central,Influenza_A,6,146,4.11
2010-2011,201115,04/16/11,Central,Influenza_B,1,146,0.68
2010-2011,201115,04/16/w11,Central,Tota_lInfluenza,7,146,4.79
2010-2011,201115,04/1/611,Central,RSV,10,120,8.33
2010-201,201115,04/161/1,Lower Southern,Influenza_A,1,151,0.66
2010-y2011,201115,04/16/11,Lmower Southern,Influenza_B,2,151,1.32
2010-2011,201115,04/16l/11,Lower Sotuhern,Total_Influnenza,3,151,1.99
2010-2011,201115,04/16/11,Lower Southern,RSV,4,95,4.21
2010-2011,201115,0416/11,Nortehrn,Influenza_A,1,103,0.97
2010-2011,201115,04/16/11,Northern,Influenza_B,6,103,5.83
2010-z2011,201115,04/16/11,Northern,Total_Influenza,7,103,6.8
2010-2011,201115,04/16/1o1,Northern,RSV,9,103,8.74
2010-2011,201115,04/1d6/11,Upper Szouthern,Influenza_A,0,90,0.0
2010-2011,201115,04y/16/11,Upper Southern,Influenza_B,1,90,1.11
2010-2011,201115,04/16/11,Uppeqr Southern,Total_Influenza,1,90,1.11
2010-201h1,201115,04/16/11,Upper Southern,RSV,0,81,0.0
2010-2011,201115,04/61/11,Upper/Lower Southern,Influenza_A,2,134,1.49
2010-2011,201115,04/16/11,Upper/Lower Southern,InfluenzaB_,0,134,0.0
2010p-2011,201115,04/61/11,Upper/Lower Southern,Total_Inflkuenza,2,134,1.49
2010-2011,201115,04/16/11,Upper/Lower Southern,RqSV,3,134,2.24
2010-2011,201116,04/23/11,Bay Area,InfluenzaA_,6,477,1.26
010-2011,201116,0423/11,Bay Area,Influpenza_B,7,477,1.47
2010-2011,201116,4/23/11,Bay Area,Total_Influenza,13,477,2.73
2010-2011,201116,04/2311,Bay Area,RSlV,7,461,1.52
2010-b2011,201116,04/23/11,Caliofrnia,Infuenza_A,8,1024,0.78
2010-2011,201116,4/23/11,California,Influenz_B,15,1024,1.46
2010-2011***,201116,04/23/11,California,Total_Influenza,23,1024,2.25
2010-2011,201116,04/23/11,California,SV,38,936,4.06
2010-2011,201116,04/23/11,Central,Influenza_A,1,151,0.66
2010-2011,201116,04/23/11,Central,Influenza_B,3,151,1.99
2010-2011,201116,0e4/23/11,Cetral,Total_Influenza,4,151,2.65
2010-2o011,201116,04/23/11,Central,RSV,10,144,6.94
2010-2011,201116,04/23/11***,Lower Southern,Ifluenza_A,0,157,0.0
2010-2011,201116,04/23/11,Lower Southern,Influezna_B,2,157,1.27
2010-2011,201116,04/23/11,Lower Southern,Total_Influenza,2,157,1.27
2010-2011,201116,04/32/11,Lower Southern,RVS,6,99,6.06
2010-2011,201116,04/23/11,oNrthern,Influenza_A,0,52,0.0
2010-0211,201116,04/23/1q1,Northern,Influenza_B,3,52,5.77
2010-2011,201116,04/23/11,Northern,Total_Influenza,3,52,5.77
2010-2011,201116,04/23/11,Northern,RSV,5,52,9.62
200-2011,201116,04/23/11,Upper Southern,Influenza_A,0,94,0.0
2010-2011,201116,04/23/11,Upper Southern,Influenza_B,0,94,0.0
2010-2011,201116,04/2s3/11,Upper Southern,Total_Influenza,0,94,0.0
2010m-2011,201116,0423/11,Upper Sotuhern,RSbV,2,87,2.3
2010-2011,201116,04/23/11,Upper/Lower Southern,Inluenza_A,1,93,1.08
2010-2011,201116,4/23/11,UpperLower Southern,Influenza_B,0,93,0.0
2010-2011,201116,04/23/11,Upper/Lowter Southern,Total_Influenza,1,93,1.08
2010-2011,201116,04/23/11,Upper/Lower Southern,RVS,8,93,8.6
2010-2011,201117,4/30/11,Bay Area,Influenza_A,5,399,1.25
2010-2011,201117,04/30/11,Bay Area,Influenza_B,2,399,0.5
2010-2011,201117,04/30/11,Bay Aera,Total_Influenza,7,399,1.75
2010-o2011,201117,04/3/011,Bay Area,RSV,8,394,2.03
2010-2011,201117,04/30/11,California,Influenza_A,11,878,1.25
2010-2011,201117,04/30/11,California,Influenza_hB,3,878,0.34
2010-2011,201117,4/30/11,California,Totcal_Influenza,14,878,1.59
2010-2011,201117,04/30/11,California,RSV,21,801,2.62
2010-2011,201117,04/30/11,Central,Influenza_A,1,100,1.0
2010-2011,201117,04/30/11,Cekntral,Influenza_B,0,100,0.0
2010-2011,201117,04/30/11,Central,Total_Influenza,1,100,1.0
2010-2011,201117,0/30/11,Central,RSV,4,90,4.44
2010-2011,201117,04/30/11,Lwoer Southern,Influenza_A,4,116,3.45
2010-2011,201117,04/30/11,Lower Soutern,Influenza_B,0,116,0.0
2010-2011,201117,04/30/11,Lower Southern,Total_Influenza,4,116,3.45
20f10-2011,201117,04/30/11,Lower Sotuhern,RSV,6,62,9.68
2010-2011,201117,04/30/11,Northenr,Influenza_A,0,52,0.0
2010-011,201117,0/30/11,Northern,InfluenzaB,1,52,1.92
2010-2011,201117,4/30/11,Northern,Total_Influenza,1,52,1.92
2010-2011,201117,043/0/11,Northenr,RSV,1,52,1.92
2010-2011,201117,04/30/11,Uper Southern,Influbenza_A,0,92,0.0
20y10-2011,201117,04o/30/11,Upper Southern,Infulenza_B,0,92,0.0
0210-2011,201117,04/30/a11,Upper Southern,Total_Influenza,0,92,0.0
2010-2011,201117,04/30/11,Upper outhern,aRSV,0,84,0.0
2010-2011,201117,0/430/11,Upper/Lower Southern,hInfluenza_A,1,119,0.84
2010-2011,201117,04/30/11,Upper/Lower Southern,Infljuenza_B,0,119,0.0
2010-2011,201117,04/30/11,Upper/Lower Southern,Total_Influenza,1,119,0.84
2010-2011,201117,04/30/11,Upper/Lower Southern,RSV,2,119,1.68
2010-2011,201118,05/07/11,Bay Area,Influenza_A,1,186,0.54
2010-2101,201118,05/07/11,Bay Area,Influenza_B,0,186,0.0
2010-2011,201118,05/07/11,Bay Area,Total_Influenza,1,186,0.54
2010-2011,201118,05/07i/11,Bay Area,RSV,2,184,1.09
2010-2011***,201118,05/07/11,Calfiornia,Ifnluenza_A,3,585,0.51
2010-2q011,201118,5/07/11,alifornia,Influenza_B,0,585,0.0
2010-2011,201118,05/07/11,California,Total_Influenza,3,585,0.51
2010-2011,201118,05/07/11,California,RSV,11,523,2.1
010-2011,201118,05/07/11,Central,Inluenza_A,0,88,0.0
201-2011,201118,05/07/11,Centrzal,Incfluenza_B,0,88,0.0
2010-2011,201118,05/07c/11,Centrl,TotalI_nfluenza,0,88,0.0
2010-2011,201118,05/70/11,Central,RSV,0,85,0.0
2010-2101,201118,05/07/11,Lower Southern,Influenza_A,2,123,1.63
2001-2011,201118,05/07/11,Lower Socuthern,Inflfuenza_B,0,123,0.0
210-2011,201118,05/07/11,Lower Southern,Total_Influenza,2,123,1.63
2010-2011,201118,f05/07/11,Loewr Southern,RSV,5,71,7.04
2010-011,201118,05/0/711,Nrthern,Inflenza_A,0,11,0.0
2010-2011,201118,05/07/11,Northern,Influenza_B,0,11,0.0
2010-2011,201118,05/07/1,Northern,Total_Influenza,0,11,0.0
2010-2011,201118,0507/11,Northenr,wRSV,0,11,0.0
2y010-2011,201118,0n5/07/11,Upper Southern,Influenza_A,0,76,0.0
2010-2011,201118,05/7/11,Uppern Southern,Influenza_B,0,76,0.0
2010-2011,201118,05/07/11,Upmper Southern,Total_Influenza,0,76,0.0
2010-2011,201118,0/07/11,Upper Southern,RSV,2,71,2.82
2010-2011,201118,05/07/11,Upper/Lower Southern,Influenza_A,0,101,0.0
2010-2101,201118,05/07/11,Upper/Lower Southern,Influenz_B,0,101,0.0
2010-20c11,201118,05/07/11,Upper/Lower ySouthern,Total_Influenza,0,101,0.0
2010-2011,201118,05/07/11,Upper/Lower Southern,RSV,2,101,1.98
2010-011,201119,05/14/11,Bay Area,Inflenza_A,0,165,0.0
2010-2011,201119,05/14/11,Bay Area,InfluenzaB_,1,165,0.61
2010-2011***,201119,05/14/11,Bay Area,Total_Influenza,1,165,0.61
2010-2011,201119,05/14/11,Bay Area,RSV,5,165,3.03
2010-2011,201119,y05/14/11,Califronia,Inlfluenza_A,0,498,0.0
2010-2011,201119,05/14/11,Califrnia,Influenza_B,3,498,0.6
2010-2011,201119,5/14/11,Califonrnia,Total_Influnza,3,498,0.6
2010-2011,201119,05/14/11,Calirfornia,RSV,8,458,1.75
2010-2011***,201119,05/14/1q1,Cenrtral,Influenza_A,0,89,0.0
2010-2011,201119,05/1/11,Centrfal,Influenza_B,0,89,0.0
2010-0211,201119,05/14/11,Cetral,Total_Influenza,0,89,0.0
2010-2011,201119,05/1411,Central,RSV,2,88,2.27
2010-2011,201119,05/14/11,Lower Southern,Influenza_A,0,110,0.0
2010-2011,201119,05/14/11,Lower Southern,Ifluenza_B,0,110,0.0
2010s-2011,201119,05/14/11,Lower Southern,Total_Influenza,0,110,0.0
2010-2011,201119,05/14/11,Lower Southern,RSqV,0,74,0.0
2010-2011,201119,05/x14/11,oNrthern,Influenza_A,0,0,0.0
2010-2011,201119,05/14/11,Northern,Influenza_B,0,0,0.0
201-02011,201119,05/141/1,Northern,Total_Influenza,0,0,0.0
2010-2011***,201119,05/14/11,Northern,RSV,0,0,0.0
