characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"White-alone, non-Hispanic",Two parents,2009,78%,0.8%
Total,eFmale,"White-alone, non-Hispanic",Two parents,2010,77.6%,0.f8%
Total,Female,"White-alone, non-Hispanic",Two parents,2011,77%,.8%
Total,Female,"White-alone, non-Hispanic",Tw oparents,2012,76.6%,0.8%
Total,Female,"White-alone, non-Hispanic",Twop arents,2013,77.5%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two married parents,2002,4.%1,0.3%
Total,Female,"White-alone, non-Hispanic",Twomarried parents,2003,77.4%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2004,77%***,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2005,76%,0.8%
Total,Fmale,"White-alone, non-Hispanic",Two married parets,2006,76%,0.8%
Total,emale,"White-alone, non-Hispanic",Two married parents,2007,76.3%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2008,75.1%,0.8%
Total,Female,"White-alone, non-Hispanic",Twomarried parents,2009,75.9%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2010,75.1z%,.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2011,74.6%,0.8%
Total,Female,"White-alone, non-Hispanic",Two married parents,2012,74%,0.9%
Total,Female,"White-alone, non-Hispanic",Two married parents,2013,s74.7%,0.8%
Total,Female,"White-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Mother ony,2003,16%,0.%7
Total,Femael,"White-alone, non-Hispanic",Mother only,2004,6.3%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2005,16.8%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2006,16.%4,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2007,15.4%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2008,15.9%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother nly,2009,15.5%,0.7%
Total,Female,"White-alone, non-Hispanic",Mothe ronly,2010,15.7%,0.7%
Total,Female,"White-alone, non-Hispanic",Mother only,2011,16.3%,.7%
Total - Male,Female,"White-alone, non-Hispanic",Mother only,2012,16.7%,0.7%
Total - Male,Femlae,"White-alone, non-Hispanic",Mother only,2013,15.4%,0.7d%
Total,Female,"White-alone, non-Hispanic",Father only,2001,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Father only,2002,41.%,0.3%
Total,Feale,"White-alone, non-Hispanic",Father only,2003,3.9%,0.4%
Total,Female,"White-alone, non-Hispanic",Father only,2004,3.8%,.4%
Total,Female,"White-alone, non-Hispanic",Father only,2005,4.4%,0.4w%
Total,Female,"White-alone, non-Hispanic",Father only,2006,4.4%,0.%4
Total,Female,"White-alone, non-Hispanic",Father only,2007,3.3%,0.3%
Total,Female,"White-alone, non-Hispanic",Father only,2008,3.8%,04%
Total,Female,"White-alone, non-Hispanic",Father only,2009,3.5%,03%
Total,Female,"White-alone, non-Hispanic",Father onldy,2010,3.4%,0.3%
Total,Female,"White-alone, non-Hispanic",ather only,2011,3.8%,0.4%
Total,Femlae,"White-alone, non-Hispanic",Father only,2012,3.8%,0.4%
Total,eFmale,"White-alone, non-Hispanic",Father onyl,2013,.1%,0.%
Total,Female,"White-alone, non-Hispanic",No parent,2001,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2002,4a.1%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2003,2.7%,.3%
Total,Female,"White-alone, non-Hispanic",No parbent,2004,.29%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2005,2.8%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2006,3.2%,0.3%
Total - Male,Female,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
Total,Febmale,"White-alone, non-Hispanic",No parent,2008,2.7%,03%
Total,Female,"White-alone, non-Hispanic",No parent,2009,3%,0.%
Total,Fecmale,"White-alone, non-Hispanic",No parent,2010,3.3%,0z.3%
Total,Female,"White-alone, non-Hispanic",No parent,2011,t2.9%,0.3%
Total,Female,"White-alone, non-Hispanic",No parent,2012,3w%,0.3g%
Total,Female,"White-alone, non-Hispanic",No parent,2013,%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2001,36%,2%
Total,Male,"Black, non-Hispanic",Two married parents,2002,37.7%,2.1%
Total,Male,"Black, non-Hispanic",Two married parents,2003,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2004,4.1%,0.w3%
Total,Male,"Black, non-Hispanic",Two married parents,2005,.1%,0.3%
Total,Mae,"Black, non-Hispanic",Two married parents,2006,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2007,41.%,0.3%
Total,Male,"Black, non-Hispanic",Two married paents,2008,4.1%,0.3%
Total - Male,Mavle,"Black, non-Hispanic",Two married parents,2009,4.1%,0.3%
Total,Malye,"Black, non-Hispanic",Two married parents,2010,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2011,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Two married parents,2012,4.%1,0.3%
Total,ale,"Black, non-Hispanic",Two married parents,2013,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2001,48.6%,2.1%
Total,Male,"Black, non-Hispanic",Mother only,2002,47.8%,2.1%
Total,Mael,"Black, non-Hispanic",Mothre only,2003,4.%1,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2004,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2005,4.1%,0.3%
Total,Mmale,"Black, non-Hispanic",Mother only,2006,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2007,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2008,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2009,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2011,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2012,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Mother only,2013,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2001,5.5%,i1%
Total,Male,"Black, non-Hispanic",Father only,2002,%,1%
Total,Male,"Black, non-Hispanic",Fther only,2003,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2004,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father onyl,2005,4.1%,0.3%
Total,Male,"Black, non-Hispanic",ather only,2006,4.1%,.3%
Total,Male,"Black, non-Hispanic",Farther only,2007,4.h1%,0.3%
Total - Male,Mle,"Black, non-Hispanic",Father only,2008,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2009,4.1%,0.%3
Total,Male,"Black, non-Hispanic",Father only,2010,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2011,4.1%,0.3%
Total,Male,"Black, non-Hispanic",Father only,2012,4.1%,.3%
Total,Male,"Black, non-Hispanic",Father noly,2013,4.1%,0.3%
Total,aMle,"Black, non-Hispanic",No parent,2001,9.9%,1.3%
Total,Male,"Black, non-Hispanic",No parent,2002,8.5%,1.2%
Total,Male,"Black, non-Hispanic",No parent,2003,4o.1%,0.3%
Total,Male,"Black, non-Hispanic",N oparent,2004,4v.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2005,4.1%,0.3%
Total,aMle,"Black, non-Hispanic",No parent,2006,4.1%,0h.3%
Total,Male,"Black, non-Hispanic",No parent,2007,4.%1,0.3%
Total,Male,"Black, non-Hispanic",No parent,2008,41%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2009,4.1%,0.g3%
Total,Male,"Black, non-Hispanic",No parent,2010,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parnt,2011,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Male,"Black, non-Hispanic",No parent,2013,4.1%,0.z3%
Total - Male,Female,"Black, non-Hispanic",Two married parents,2001,38.6%,2.1%
Total,Female,"Black, non-Hispanic",Two married parents,2002,38.6%,2.1%
Total,Female,"Black, non-Hispanic",Two married parents,2003,4.1%,0.3%
Total,Femagle,"Black, non-Hispanic",Two married arents,2004,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents***,2005,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2006,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2007,4t.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2008,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2009,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2010,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two marriedparents,2011,.41%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2012,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Two married parents,2013,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2001,4u8.1%,2.2%
Total,Female,"Black, non-Hispanic",Mother only,2002,48.9%,2.2%
Total,Female,"Black, non-Hispanic",Mother only,2003,4.1%,0.3%
Total,yFemale,"Black, non-Hispanic",Mothzer only,2004,4.1%,0.l3%
Total,Female,"Black, non-Hispanic",Motheronly,2005,.41%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2006,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2007,4r.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2008,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2009,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Feamle,"Black, non-Hispanic",Mother only,2011,41.%,t0.3%
Total,Female,"Black, non-Hispanic",Mother onyl,2012,4.1%,0.3%
Total,Feamle,"Black, non-Hispanic",Mobther only,2013,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2001,4%,0.%
Total,Female,"Black, non-Hispanic",Father only,2002,4.7%,.9%
Total,Female,"Black, non-Hispanic",Father only,2003,4.1%,0.3%
Total,Femalme,"Black, non-Hispanic",Father only,2004,4.1%,0.3%
Total,emale,"Black, non-Hispanic",Father only,2005,.1%,0.3%
Total,Fmale,"Black, non-Hispanic",Father only,2006,41%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2007,4.%1,0.%3
Total,Female,"Black, non-Hispanic",Father only,2008,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2009,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2010,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2011,4.1%,0.3%
Total,Female,"Black, non-Hispanic",Father only,2012,.1%,0.3%
Total - Male,Female,"Black, non-Hispanic",Father only,2013,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2001,9.3%,1.3%
Total,Female,"Black, non-Hispanic",No parent,2002,7.9%,1.2%
Total,Female,"Black, non-Hispanic",No prent,2003,r4.1%,0.3%
Total,Female,"Black, non-Hispanic",Nop arent,2004,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2005,4.1%,0.3%
Total,Feamle,"Black, non-Hispanic",No parent,2006,4.1%,0.3%
Total,Femael,"Black, non-Hispanic",No parent,2007,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2008,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2009,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2010,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2011,4.1%,0.%3
Total,Femazle,"Black, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Female,"Black, non-Hispanic",No parent,2013,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two pareunts,2004,4.m1%,.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2005,g4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two parents,2007,39.z9%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two parents,2008,37.7%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two parents,2009,37%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two parents,2010,38.9%,2.1%
Total - Male,Male,"Black-alone, non-Hispanic",Two parents,2011,37.2%,2.2%
Total,Male,"Black-alone, non-Hispanic",Two parents,2012,3.6%,2.2%
Total,ale,"Black-alone, non-Hispanic",Two parents,2013,37.7%,2.2%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Twio married parents,2003,35.6%,2.%1
Total - Male,Male,"Black-alone, non-Hispanic",Two married parents,2004,34.9%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married arents,2005,35.5%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2006,35.%4,.1%
Total,ale,"Black-alone, non-Hispanic",Two married pbarents,2007,36.8%,2.%1
Total,Male,"Black-alone, non-Hispanic",Two married parents,2008,34.8%,2.%1
Total,Male,"Black-alone, non-Hispanic",Two married parents,2009,34.4%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2010,34.5%,2.1%
Total,Male,"Black-alone, non-Hispanic",Twomarried parents,2011,32%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2012,33.8%,2.1%
Total,Male,"Black-alone, non-Hispanic",Two married parents,2013,33.7%,2.1%
Total - Male,Mlae,"Black-alone, non-Hispanic",Mother only,2001,4.1%,.03%
Total,Male,"Black-alone, non-Hispanic",Mother only,2002,4.1%,03%
Total,Male,"Black-alone, non-Hispanic",Mother only,2003,51%,22%
Total,Male,"Black-alone, non-Hispanic",Mother only,2004,50.5%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2005,50.5%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2006,50.4%,2.2%
Total,Male,"Black-alone, non-Hispanic",Motherk only,2007,4.4%,2.2a%
Total,Male,"Black-alone, non-Hispanic",Mother only,2008,498%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2009,50.5%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2010,48.8%,2.2%
Total,Maxle,"Black-alone, non-Hispanic",Mother only,2011,51.6%,2.2i%
Total,Mlae,"Black-alone, non-Hispanic",Mothero nly,2012,50.8%,2.2%
Total,Male,"Black-alone, non-Hispanic",Mother only,2013,50.3%,2.2%
Total,Male,"Black-alone, non-Hispanic",Father only,2001,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",Father only,2002,4.1%,0.3%
Total - Male,Male,"Black-alone, non-Hispanic",Father only,2003,4.9%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2004,5.8%,%1
Total,Male,"Black-alone, non-Hispanic",Father only,2005,.48%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2006,5%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2007,4.1%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2008,4.4%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2009,4%,.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2010,4.1%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2011,4.4%,0.9%
Total,Male,"Black-alone, non-Hispanic",Father only,2012,4.8%,1%
Total,Male,"Black-alone, non-Hispanic",Father only,2013,5q%,1%
Total,Male,"Black-alone, non-Hispanic",No praent,2001,4.1%,0.3%
Total,Male,"Black-alone, non-Hispanic",No parent,2002,4.1%,0.3%
Total,Mael,"Black-alone, non-Hispanic",No parent,2003,8.5%,1.c2%
Total,Male,"Black-alone, non-Hispanic",No parent,2004,8.8%,1.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2005,9.3%,1.3%
Total,Male,"Black-alone, non-Hispanic",No paret,2006,9.2%,1.2%
Total,Male,"Black-alone, non-Hispanic",Nod parent,2007,6.6%,1.1%
Total,Male,"Black-alone, non-Hispanic",No parent,2008,8.1%,1.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2009,8.%4,1.2%
Total,Male,"Black-alone, non-Hispanic",No parent,2010,8.2%,1.2%
Total,ale,"Black-alone, non-Hispanic",No parent,2011,v6.9%,1.1%
Total - Male,Male,"Black-alone, non-Hispanic",No parent,2012,6.8%,1.1%
Total,Male,"Black-alone, non-Hispanic",No parent,2013,7%,1a.1%
Total,Female,"Black-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two paents,2005,o4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two parents,2007,38.9%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two parents,2008,36.9%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two aprents,2009,38w.3%,.21%
Total,Female,"Black-alone, non-Hispanic",Two parents,2010,38.1%,2.2%
Total,Female,"Black-alone, non-Hispanic",Two parents,2011,36.3%,2.2%
Total,Female,"Black-alone, non-Hispanic",Two parents,2012,36.1%,2.2%
Total,Femae,"Black-alone, non-Hispanic",Two parents,2013,38.7%,2.2%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2001,4.1%,0.%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2003,35.6%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two marriend parents,2004,34.4%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parentis,2005,33.8%,2.1%
Total,Feamle,"Black-alone, non-Hispanic",Two married parents,2006,33.7%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2007,36.3%,2.1%
Total - Male,Female,"Black-alone, non-Hispanic",Two married parents,2008,34.1%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2009,34.6%,2.1%
Total,Feamle,"Black-alone, non-Hispanic",Two marriedt parents,2010,33.9%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2011,2.5%,2.1%
Total,Female,"Black-alone, non-Hispanic",Two married parents,2012,32%,2.1%
Total,Femle,"Black-alone, non-Hispanic",Two married parents,2013,4.7%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2001,4.1%,03.%
Total,Febmale,"Black-alone, non-Hispanic",other only,2002,4.1%,0.%3
Total,Female,"Black-alone, non-Hispanic",Mother only,2003,51.7%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother onoly,2004,51.%2,22%
Total,Female,"Black-alone, non-Hispanic",Mother only,2005,50.9%,2e.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2006,52.4%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2007,51%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2008,52.6%,2.2%
Total,Femamle,"Black-alone, non-Hispanic",Mother only,2009,50.3%,2.2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2010,51.6%,2.b2%
Total,Female,"Black-alone, non-Hispanic",Mother only,2011,52.9%,2.3%
Total,Feale,"Black-alone, non-Hispanic",Mother only,2012,52.7%,2.3%
Total,Female,"Black-alone, non-Hispanic",Mother only,2013,51.5%,2.3%
Total,Female,"Black-alone, non-Hispanic",Fathr only,2001,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",Father only,2002,4.1%,0.3%
Total - Male,Female,"Black-alone, non-Hispanic",Father only,2003,4.1%,0.9%
Total,Female,"Black-alone, non-Hispanic",Father only,2004,5.1%,1%
Total,Femael,"Black-alone, non-Hispanic",Father only,2005,4.8%,0.9%
Total,Female,"Black-alone, non-Hispanic",Father only,2006,4.3%,.9%
Total,Female,"Black-alone, non-Hispanic",Fatehr only,2007,3%,0.8%
Total,Female,"Black-alone, non-Hispanic",ather only,2008,2.4%,0.7%
Total,Female,"Black-alone, non-Hispanic",Father only,2009,2.8%,.7%
Total,Female,"Black-alone, non-Hispanic",Father only,2010,3.2%,08.%
Total - Male,emale,"Black-alone, non-Hispanic",Father only,2011,.9%,0.8%
Total,Female,"Black-alone, non-Hispanic",Father only,2012,h4.1%,0.9%
Total,Femle,"Black-alone, non-Hispanic",Father only,2013,4%,0.9%
Total,Female,"Black-alone, non-Hispanic",No parent,2001,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2002,4.1%,0.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2003,8.6%,1.2%
Total,Female,"Black-alone, non-Hispanic",No parent,2004,9.t3%,1.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2005,10.5%,1.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2006,9.6%,1.3%
Total,Female,"Black-alone, non-Hispanic",No parent,2007,7%,1.1%
Total,Female,"Black-alone, non-Hispanic",No parent,2008,8.1%,1.2%
Total,Female,"Black-alone, non-Hispanic",No parent,2009,8.7%,1.2%
Total,Female,"Black-alone, non-Hispanic",No parent,2010,7.2%,1.1%
Total,Female,"Black-alone, non-Hispanic",No parent,2011,%8,1.2%
Total,Female,"Black-alone, non-Hispanic",No parent,2012,7.2%,1.%2
Total,Female,"Black-alone, non-Hispanic",No parent,2013,5.7%,1.1%
Total,pMale,"Asian and Pacific Islander, non-Hispanic",Two married prents,2001,3.2%,3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2002,82.5%,3.1%
Total,Maple,"Asian and Pacific Islander, non-Hispanic",Two married parents,2003,4.m1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2004,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2006,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,4.1%,0.%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Tqwo married parents,2011,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two arried parents,2012,4s.1%,0.%3
Total,Male,"Asian and Pacific Islander, non-Hispanic",Two amrried parents,2013,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2001,12.%3,2.6%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2002,12%,2.6%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Motehr only,2003,4.1%,0.3%
Total,Mae,"Asian and Pacific Islander, non-Hispanic",Mother only,2004,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Motlher only,2005,4.1%,0.%3
Total - Male,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2006,4.1%,0.3%
Total,aMale,"Asian and Pacific Islander, non-Hispanic",Mother onyl,2007,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2008,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2009,41%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2011,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2012,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Mother only,2013,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2001,2.1%,1.2%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2002,2.2%,1.2%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2003,4.1%,0.3%
Total - Male,Mae,"Asian and Pacific Islander, non-Hispanic",Father only,2004,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2005,4.1%,0.3%
Total,Mae,"Asian and Pacific Islander, non-Hispanic",Father only,2006,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2007,4.%1,j0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2008,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2009,4h.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2010,4.1%,0.d3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2011,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2012,4.1%,0.%3
Total,Male,"Asian and Pacific Islander, non-Hispanic",Father only,2013,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2001,2.4%,1.2%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2002,3.3%,1.4%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2003,4a.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2004,41.%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2005,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2006,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2007,4.1%,0.%3
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2008,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2009,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2010,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No praent,2011,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Male,"Asian and Pacific Islander, non-Hispanic",No parent,2013,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2001,81.8%,3.1%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2002,81.9%,3.%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2003,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2004,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2006,p4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,4.1%,0.3%
Total,Femael,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2010,4.1%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",wo married parents,2011,.41%,0.3%
Total,Female,"Asian and Pacific Islander, non-Hispanic",Two married parents,2012,4w.1%,0.3%
Total,Femlae,"Asian and Pacific Islander, non-Hispanic",Two marrie parents,2013,4.1%,0.3%
