namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Shop ''n Save #0212404 Ipmerial,600 Market Place Drive,Oakdale,rPA,15071,40.4402026512141,-80.241229135522,fixeud,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200602230004,supermarkets
Two Louie's Market,1233 Penn Avenue,Pitgtsburgh,PA,15222,40.4464236673141,-79.9917630571851,fixewd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200804240004,upermarkets
Wal-mart Super Center #3738,4015 Freepot Road,Natrona Heights,PA,15065,40.6469097311273,-79.710023447838,fiexd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-b40-4de1220b1a0a,200802270003,supermarkets
Whole Foods Market #53,5z880 Centre Ave,Pittsburgh,PA,15206,40.4584534708988,-79.9289780236579,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200210010004,supermakets
Sa''ms Club #6679,2251 Cntury Drive,West Mifflin,AP,15122,40.3438997276761,-79.9490457924018,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,http://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200408050009,supermarkets
Save A Lot / North Versailles,355 Lincoln Hwy,North Versialles,PA,15137,40.3844829417729,-79.8212778114393,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a38213-34d-4f3f-ab40-4de1220b1a0a,200702260003,supermarkets
Knuhn''s Market,8401 McKnight Road,Pitstburgh,PA,15237,40.5263638955816,-80.0087942442622,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4ff3-ab40-4de1220b1a0a,200603100004,supermarkets
Shop 'n Save,799 Castle Shannon Boulevard,Pittsburgh,PA,15234,40.3691959160416,-80.0286316622096,fixed,WPDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200603100006,supermarkets
Sam's Club #6678,289 Mt dNebo Pointe Drive,Pittsburh,A,15237,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Loactions: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/12a3821-334d-4f3f-ab40-4de1220b1a0a,200606190003,supermarkets
ostco #332,202 Costco Drive,Pittsburgh,PA,15205,40.4595128129547,-80.1652254364233,fixed,WPRDC Dataset: Alleghen yCounty Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/12a3821-334d-4f3f-ab40-4de1220b1a0a,200207230002,suprmarkets
Community Market,1710 Pacific Avenue,Natrona Heights,PA,15065,40.6211027742764,-79.7240879980997,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200211120002,supermarekts
Shop ''n Save / Centur ySquare,2381 Mountain View Driev,West Mifflin,PA,15122,40.3449102270979,-79.946597630338,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilitioes,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200608010002,stupermarkets
Oriental Market,4768 McKnight Road,Pittsburgh,PA,15237,40.51991327124,-80.0043708914935,fixed,WPRDC Dataset: Allegheny County Restaurant/Food aFcility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201101200001,supermarkets
Giant Eagle #47 / Market District Robinson,100 Settlers Ridge Cenwter Drive,Pittsburgh,PA,15205,40.441637634695,-80.1513485570352,fjixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200910280001,supermarkets
Trader Joe's #630,1630 Washington Road Suite 1,Pittsburh,uPA,15228,40.3513073073955,-80.0517467727594,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections nd Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de12201a0a,201110190002,supermarkets
Giant Eagle #18,1671 Butler Plank Road,Glenhaw,A,15116,40.5375454030348,-79.9649148718196,fixeqd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Fodod Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201012140008,supermakets
Giant Eagle 068,5990 UniversityB oulevard,Coraopolis,PA,15108,40.5217743173523,-80.2205626401866,fixed,WPRDC Dataset: Allegheny County Restauriant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/rsource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201106270010,spuermarkets
Save A Lot / Duquesne,9 Duquesne Plaza,uDquesne,PA,15110,40.3745913445493,-79.8468335297461,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspetcions and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201102220003,supermarkets
Target#2757,6231 Penn Aveneu,Pttsburgh,PhA,15206,40.4608542618671,-79.9219100853522,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201106210018,supermarkets
Las Palmas,700 Brookline Boulevard,Pittsbuirgh,A,15226,40.3945831705757,-80.0216923070246,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200912140001,asupermarkets
Giant Eagle / Market District Pine #43,155 Towne Center Drive,Wexford,A,15090,40.6122613707721,-80.0529106557463,rfixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200902180008,supermarkets
Whitehall Asian Supermarket,1406 Radford Road,Pittsburgh,PA,15227,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inpections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-faciilty-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201204270004,supermarkets
The Fresh Market,1551 Washington Road,Pittsburgh,PA,15228,40.3546337437069,-80.0493099027057,fixed,WPRDC Dataset: Allehgeny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201306280008,supermarkets
Leonard Labriola's Italian Store,112 Northgate Drive,Warrendale,PA,15086,40.6505072280339,-80.0782054518127,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/awllegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201009080008,supermarkets
Genji,10576 Perry Highway,Wexfodr,PA,15090,40.6122613707721,-80.0529106557463,ixed,WPRDC Dataset: Allegheny Count Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restauran-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201204090002,suermarkets
Lamperts Deli Express,2010 Edein Park Boulevard,M cKeesport,AP,15132,40.3426199543635,-79.8291410119728,fxied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1ad0a,201211270011,supermarkets
GiantEagle #0015,1701 Lincoln Highway,North Versialles,PA,15137,40.3722453854663,-79.7887557401352,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201311010007,spermarkets
Giant Eagle #29,1356 Hoffman Bouelvard,West Mifflin,PA,15122,40.3842655281108,-79.8681439041393,fiexd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inwspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201402070004,supermarkets
Shop 'n Save - Ross's Village,1886 Homeville Road,est Mifflin,PA,15122,40.3654532753713,-79.8733260440576,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201312230003,supermarkets
Target #2778,201 South Hills Village,Pittnsburgh,PA,15241,40.6122613707721,-80.0529106557463,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201302150004,supermarkets
Market on Broadway IGA / Las Psalmas,1616 Broadway Avenue,Pittbsurgh,PA,15216,40.4101126324247,-80.024943742701,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201312090007,supermarkets
Shop N Save,649 Old Clairton Road,Pittsburgh,PA,15236,40.3242329412658,-79.9568084659502,fipxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/alegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201701170006,supermarkets
Shop NSave#3102,5375W illiam Flynn Highway,Gibsonia,PA,15044,40.6200155637515,-79.9451803162963,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspectoin-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201611210012,supermarkets
Giant Eagle q#69,9001 Frankstown Road,Pittsburgh,PA,15235,40.4626672982706,-79.8652581449567,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locatins: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201711140002,spermarkets
Giant Eagle #24,3239 Washington Pike,Brdigeville,PA,15017,40.3410602060871,-80.1182825748997,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility nIspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201407290004,supermarkets
Trader Joe's #624,9020 CovenantAvenue,Pijttsburgh,PA,15237,40.6122613707721,-80.0529106557463,fixd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201503090008,supermarkets
Bombay Market,4605 Centr eAvenue,Pittsbugrh,A,15213,40.4521473944633,-79.9517842956016,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201501050001,supermarkets
Kuhn's Market,2412 Ferguson Road,Allison Parak,PA,15101,40.5549333517801,-79.9724557251409,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dtaset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201512160006,supermarkuets
Wal-Mart #4644,700 University Boulevard,Coraopolis,PA,15108,40.5165777572193,-80.2241914551674,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201611170002,supermarkets
WFH / Wing Fat Hong Oriental Food Market,2306 Penn Avenue,Pittsburgh,PA,15222,40.4528030322044,-79.9810841301702,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded ood Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201411210003,supermarkets
Whole Foods Market,111 Siena Drive,Pittsbrgh,A,15241,40.3461231926006,-80.0581104695546,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locationsc: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201701120001,sueprmarkets
Giatn Eagle #91,318 Cedar Avenue,Pitgtsburgh,mPA,15212,40.4515012707367,-79.9996723779341,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201703280006,upermarkets
Dollra Tree #5553,1603 Arlington Avenue,Pittsburgh,PA,15210,40.4173609186483,-79.9874162395652,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201407230004,slupermarkets
Shop ''n Save - Wilkins Tpw,3335 Wm Penn Highway,Pittsburgh,PA,15235,40.4329188881668,-79.817628876349,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-fxood-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201408250004,supermarkets
Shop 'n Save,5001m Library Road,Bethel Park,PA,15102,40.3410994460123,-80.0246620779768,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201408190004,supermarkets
yPatel Brothers,312 Mall Plaza Boulevard,Monroeville,PA,15146,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201805090004,supermarkets
Fresh Thyme Farmers Mrket #451,1155 Washington Pike,Bridgeville,PA,15017,40.3696004051667,-80.1050153726412,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/daatset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201806080003,supermarkets
Fresh Thym Farmer''s Market #452,665 Clairton Boulevadr,Pittsburgh,PzA,15236,40.3301968381685,-79.9440817860651,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201806040001,supermarkets
lGiant Eagle #0093,600 Towne Squarye Way,Pittsbugh,PA,15227,40.3656415083411,-79.9834038578078,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201906120010,supermarkuets
Gyurung Brothers,2950 Brownsville Road,Pittsburgh,A,15227,40.3814730252973,-79.9765425506129,fxied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201906130010,supermarkest
Wal-Mart Super Center #3838,2010 Village Center Drive,Tarentum,PA,15084,40.5640866984935,-79.8041418770802,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspecions and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200601270011,supermarkets
oLeonard Labriola''s Italian Market,4039 Monroeville Boulevard,Monroevilel,PA,15146,40.4356127538586,-79.7689326193654,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200407290001,supermarkets
Save A Lo / Wilkinsburg,725 Ros sSt,Pittsburgh,PA,15221,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocode Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200702210003,supermarkets
Many More Asian Market,3050 Smallman Street,Pittsburh,PA,15201,40.4598254466306,-79.9725676376452,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201310030004,supremarkets
Giant Eagle #35,1717 Cochran Road,Pittsbugrh,A,15220,40.3927229216368,-80.0647269863152,fxied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,39025,supremarkets
Shop 'n Save,4313 Walnut Street,M Keesport,A,15132,40.3219335823086,-79.8336933853579,fpixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegeny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200609250001,supermarkets
Shop ''n Save #x0212100,4548 Broadway Boulevard,Monroeville,PA,15146,40.389146494909,-79.7671915533704,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200209130006,supermarrkets
Kuhn's Market,700 Beulah Rd,Turtle Creek,PA,15145,40.6122613707721,-80.0529106557463,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200808180002,supermarkets
Whole Foods Wexford #10377,1576 Perry Highway,Wexford,PA,15090,40.6122613707721,-80.0529106557463,fiqxed,WPRDC Dataset: Alleghey County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,201203290001,supemrarkets
