131.namevalue,Shop 'n Save #x0212100,Shop 'n Save #0212100
97.datasourcename,WPRDC Dataset: Allehgeny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
19.city,Mc Kesport,Mc Keesport
61.datasourcename,WPRDC Dataset: Alleghny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
116.namevalue,Giatn Eagle #91,Giant Eagle #91
3.streetaddress,1620 Babcock  Boulvard,1620 Babcock  Boulevard
37.namevalue,Shop 'n Sae Penn Hills ,Shop 'n Save Penn Hills 
112.datasourceurl,https://data.wprdc.org/dtaset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
10.streetaddress,1165 McKinneyx Lane #100,1165 McKinney Lane #100
91.streetaddress,5990 UniversityB oulevard,5990 University Boulevard
31.streetaddress,42h50  Murray Ave,4250  Murray Ave
117.assettype,slupermarkets,supermarkets
54.namevalue,Giant Evagle #6379,Giant Eagle #6379
108.assettype,spermarkets,supermarkets
19.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334-d4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
43.namevalue,Shop 'n aSve,Shop 'n Save
39.datasourceurl,https://dtaa.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
47.namevalue,Giant Eagl #641,Giant Eagle #641
45.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facidlity-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
76.city,Pitgtsburgh,Pittsburgh
48.namevalue,Giant Enagle #67,Giant Eagle #67
25.assettype,supermarkeuts,supermarkets
53.namevalue,Patsys Market,Patsy's Market
77.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-b40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
115.city,Pittsbrgh,Pittsburgh
32.statevalue,AP,PA
122.statevalue,PzA,PA
108.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locatins: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
107.streetaddress,5375W illiam Flynn Highway,5375 William Flynn Highway
93.namevalue,Target#2757,Target #2757
84.namevalue,ostco #332,Costco #332
84.assettype,suprmarkets,supermarkets
111.localizability,fixde,fixed
43.localizability,fxed,fixed
63.streetaddress,236o2 Golden Mile  Highway,2362 Golden Mile  Highway
11.namevalue,Coraopolis Cah Market,Coraopolis Cash Market
121.namevalue,Fresh Thyme Farmers Mrket #451,Fresh Thyme Farmers Market #451
121.datasourceurl,https://data.wprdc.org/daatset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
98.localizability,ixed,fixed
101.assettype,spermarkets,supermarkets
31.city,Pittsubrgh,Pittsburgh
42.streetaddress,7000 xford  Drive,7000 Oxford  Drive
130.datasourceurl,https://data.wprdc.org/dataset/allegeny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
65.namevalue,Wal-Mart Sper Center #2281,Wal-Mart Super Center #2281
35.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-33d4-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
15.assettype,supemarkets,supermarkets
131.localizability,fixde,fixed
100.streetaddress,2010 Edein Park Boulevard,2010 Eden Park Boulevard
18.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspecion-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
39.statevalue,A,PA
32.localizability,fivxed,fixed
12.assettype,sueprmarkets,supermarkets
27.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-foodl-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
28.datasourcename,WPRDC Dataset: Allgheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
75.statevalue,rPA,PA
81.streetaddress,8401 McKnight Road,4801 McKnight Road
1.namevalue,Kuhn's Mariket,Kuhn's Market
120.namevalue,yPatel Brothers,Patel Brothers
9.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Faciilty Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
65.localizability,fixde,fixed
67.datasourceurl,https://data.wrpdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
101.namevalue,GiantEagle #0015,Giant Eagle #0015
83.city,Pittsburh,Pittsburgh
37.city,Ptitsburgh,Pittsburgh
110.localizability,fixd,fixed
36.assettype,supermarets,supermarkets
24.datasourcename,WPRDC Dataset: Alleghen County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
88.streetaddress,100 Settlers Ridge Cenwter Drive,100 Settlers Ridge Center Drive
8.localizability,ixed,fixed
78.assettype,supermakets,supermarkets
52.city,aPittsburgh,Pittsburgh
69.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspetcions and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
