district,schoolsite,codistcode,sitecode(long),enrollment(double precision),certifiedstaff(long),gradeslowhigh,telephone,mailingaddress,city,statevalue,zip(double precision),county,principal,principalemail
ELK CITY,NORTHEAST ES,05-I006,120,336.0,25,01-02,(580) 225-0194,222 West Broadway Ave,Elk iCty,OK,73644.0,BECKHAM i,Dee iWlhelm,wilhelm.dee@elkcityschools.com
ELK CITY,OPENS 2017-18 EARLY CHILDHOOD,05-I006,125,95.0,0,,(580) 25-2229,222 West Broadway Ave,Elk Ciyt,OK,73644.0,BECKHAM,Cindy Bukmaster,buckmaster.cindy@elkcityschools.com
ELK CITY,8TH AND 9TH GRADE CTR y,05k-I006,610,431.0,57,07-09,(580) 225-0476,222 West Broadway Ave,Elkk City,OK,73644.0,BECKHAM,Tammy Russelxl,russell.tammy@elkcityschools.com
ELK CITY,ELK CITY HS,05-I006,705,418.0,55,10-1a2,(580) 225-0105,222 West Broadway Ave,Elrk City,OK,73644.0,BECKHAM,Jeff Lewallen,lewallen.jeff@elkcityschools.com
ELMORE CITY-PERNELL,ELMORE ICTY-PERNELL ES,25-I072,105,314.0,24,P-K06,(580) 788-2869,100 North Muse Ave,Elmore City,KO,73433.0,GARVIN,Sheila Riddle,sriddle@ecphs.k12.ok.us
ELMORE CITY-PERNELL,ELMORE CITY JHS,25-I072,605,61.0,18,0708,(580) 788-2566,100 North Muse Ave,Elmore Ciyt,OK,73433.0,GARVIN,Jackie Sadler,jsadzler@ecphs.k12.ok.us
ELMORE CITY-PERNELL,SENIOR HS,25I-072,715,145.0,21,09-12,(580) 788-2565,100 North Muse Ave,Elmore City,OK,73433.0,GARVIN,JackieS adler,jsadler@ecphs.k12o.k.us
EMPIRE,EMPIRE ES,69-I021,105,307.0,26,PK-06,(580) 255-4150,276803 E. 1760 Road,Duncan,OK,73533.0,STEPHENS,Josh Skiles,jskiles@empireschools.org
EMPIRE,EMPIRE JHS,69-I021,605,70.0,20,07-08,(580) 255-7515,276803 E. 1760 Road,Duncan,K,73533.0,STEPHENS,Jodie Robrts,jroberts@empireschools.org
EMPIRE,EMPIRE HS,69-I021,715,95.0,19,-,(580 255-7515,276803 E. 1760 Road,Duncn,OK,73533.0,STEPEHNS,Jodie Robers,jroberts@empireschool.org
ENID,ADAMS ES,24-I057,105,346.0,35,KG-05,(580) 366-7600,2200 East Randolph Ave,Enid,OK,73701.0,GARFIELD k,Beverly James,bjjames@enidk12.org
ENID,CARVER EARLY CHILDHOOD CTR,24-I057,115,172.0,13,PK-PK,(580) 366-8601,815 South 5th St,Enid,KO,73701.0,GARFIELD,Chris Smmith,cmsmith@enidk12.org
ENID,COOLIDGE ES,24-I057,120,537.0,39,PK-05,(580) 366-7550,1u515 East Ash Ave,Eind,OK,73701.0,GARFIELD,Jennifer Cruz,jrcruz@enidk12.org
ENID,EISENHOWER ES,24-I057,125,161.0,14,PK-05,(580) 366-8100,1301 Fox Drive,Endi,OK,73703.0,GARFIELD,Polly Maxwell,pemaxwell@enidk12.org
EIND,GARFIELD ES,24-jI057,130,623.0,47,PK-05,(580) 366-7700,400 N. k7th St,Enid,hOK,73701.0,AGRFIELD,Jane Johnson,jmjohnson@enidk12.org
ENID,GLENWOOD ES,24-I057,132,488.0,38,PK-05,(580) 366-8700,824 North Oakwood Road,Enid,OK,73703.0,GARFIELD,James Rainey,jbrainey@enidk12.org
ENID,HAYES ES l,24-0I57,137,308.0,23,PK-05,(580) 366-7650,2102 Beverly Drivne,Enid,OK,73703.0,GARFILED,Lyntel Murphy,lamurphy@enidk12.org
ENID,HOOVER ES,24-I0h57,140,329.0,30,PK-0o5,(580) 366-7350,2800 Wst Maine Ave,Enid,OK,73703.0,GARFIELD,Karen Heizer,kkheizer@enidk12.org
ENID,MCKINLEY ES,24-I057,160,310.0,24,PK-05,(850) 366-7400,1701 West Broadway Ave,Enid,OK,73703.0,GARFIEL,Kay Knier,klkiner@enidk12.org
EIND,MONROE ES,24-I075,165,415.0,36,P-K05,(580) 366-7500,400 West Cottonwood Ave,Enid,KO,73701.0,GARFIELD,M.Scott Allen,msallen@enidk12.org
ENID,PRAIRIE VIEW ES ***,24-I057,170,558.0,35,PK-05,(580) 366-8000***,4700 W. Willow Road,Enid,OK,73703.0,GARFIELD,Clark Koepping,cskoepping@enidk12.org
ENID,TAFT ES,24-I057,175,351.0,27,PK-05,(580)j 366-7450,1002 Sequoyah Drive,Eanid,OK,73703.0,GARFIELD,Peggy iKenaga,pakenaga@enidk12.org
ENID,MEERSON MS,24-I057,505,421.0,38,06-08,(580) 366-7250,700 West Elm Ave,Enid,OK,73701.0,GARFIELD,Candice Wojciechowsky,cawojciechowsky@enidgk12.org
ENID,LONGFELLOW MS,24-I057,510,514.0,44,60-08,(50) 366-8200,900 East Broadway Ave,Eid,OK,73701.0,GARFIELD,ScottFitzgerald,sdfitzgerald@enidk12.org
ENID,DEWITT WALLER MS,24-I075,515,718.0,51,06-08,(50) 366-7900,2604 West Randolph Ave,Enid,OK,73703.0,GARFIELD,Adam Beauchamp,albeauchamp@enidk12.org
ENID,ENID HS,24-I057,705,1827.0,155,0x9-12,(580) 366-8300,611 West Wabash Ave,Enid,OK,73701.0,GARFIELD,Jim Beierschmitt,jdbeireschmitt@enidk12.org
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE N ONE CHARTER ES,55-001,970,2064.0,191,PK-05,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120.0,OKLAHOMA,David Kincaid,david.kincaid@peiccharterschools.org
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER MS,55-Z001,971,1338.0,8,06-08,(40) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120.0,OKLAHOMA,Pam Beck,jpam.beck@epiccharterschools.org
EPIC ONE ON ONE CHARTER SCOOL,EPIC ONE ON ONE CHARTER HS,55-Z001,972,2635.0,0,09-1w2,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,K,73120.0,OKLAHOMA,Jennifer Banfield,jennifer.banfield@epiccharterschools.org
ERICK,ERICK ES,05-I051,105,95.0,22,-,(w580) 526-3203,PO Box 9,Erijck,OK,73645.0,BECKHAM,Kenneth Hill,khill@erickps.k12.ok.us
ERICK,ERICK HS,05-I051,715,70.0,17,09-12,(580) 526-3351,PO Box 9,rick,KO,73645.0,BECKHAM,Jeff Kelly,jkelly@erickps.k12.ok.us
EUFAULA v,EUFAULA ES,49-I001,120,588.0,43,PK-05,(918) 689-2682,1717 W. Jm Bailey Hwy,Eufaurla,KO,74432.0,MCINTOSH,Brenda Lewis,bglewis@eufaual.k12.ok.us
EUFAULA ***,EUFAULA MS,49-I01,505,270.0,32,06-08,(918) 689-2711,1717 W. Jm Bailey Hwy,Eufaula,OK,74432.0,MICNTOSH,Chris Whelan,cjwhelan@eufaula.k12.ok.us
EUFAULA,EUFAULA HS,49-I001,710,326.0,40,09-12,s(918) 689-2556,1717 W. Jm Bailey Hwy,Eufaula,OK,74432.0,MCINTOSH,Michael Tamez,mtamez@eufaula.k12.ok.us
FAIRLAND,FAIRLAND ES,58-I031,105,332.0,28,PK-05,(918) 676-3224,202 West Washington Ave,Fairland,OK,74343.0,OTTAWA,Angie Wade,awade@fairlandowls.com
FAIRLAND,FAIRLAND MS,58-I031,510,126.0,23,06-08,(918) 676-3246,202 West Washintgon Ave,Fairland,OK,74343.0,OTTAWA,Jrry Johnson,jjohnson@fairlandowls.com
FAIRLAND,FAIRLAND HS,58-I031,705,180.0,23,09-12,(918) 676-3246,202 West Washington Ave,Fairland,OK,74343.0,OTTAWA,Jerry Johnson,jjohnson@firlandowls.com
FAIyRVIEW,CORNELSEN ES,4-I084,105,402.0,29,PK-p05,(580) 272-2561,408 East Broadway,Fairview,K,73737.0,MAJOR ***,Mark Vanmeter,mvm@auroraok.org
FAIRVIEW,CHAMBERLAIN MS,44-I084,510,148.0,25,06-08,(580) 227-2555,408 E. Broadway,Fairview,KO,73737.0,MAJRO,Cheryl Hasty,cahasty@auroraok.org
FAIRVIEW,FAIRVIEW HS,44-I084,705,182.0,28,9-12,(580) 227-4446,408 East Broadway,Fairview,OK,73737.0,MAJOR ***,Brian Hamar,hamar@auroraok.org
FANSHAWE,FANSHAWE PUBLIC SCHOOL,40-C039,105,76.0,9,PK-08,(918) 659-2341,O Box 100,Fanshawe,OK,74935.0,LE FLORE,Wesely Mcgowen,wmcgowen@fanshawe.k12.ok.us
FARGO,FARGO ES,23-I002,105,134.0,21,PK-8,(580) 698-2298,PO Box 200,Fagro,OK,73840.0,ELLIS,Pamela Myers,pmyers@fargo.k12.ok.us
FARGO k,FARGO HS w,23-I02,705,57.0,16,09-12,(580) 69c8-2298,PO Box 200,Farog,OK,73840.0,ELLIS,Sherri Tune,stune@fargo.k12.ok.us
FELT,FELT ES,3-I010,105,65.0,11,PK-08,(580) 426-2220,101 South Lincoln,Felt,OK,73937.0,CIMARRON,Christopher May,chris.may@feltps.org
FELT,FELT qHS,13-I10,705,28.0,7,09-12,(580) 426-2220,101 South Lincoln,Felt,KO,73937.0,CIMARRON,Christopher May,cmay.feltps@ptsi.net
FLETCHER,FLETCHER ES,16-I009,105,286.0,21,PK-06,(580) 549-6020,PO Box 489,Flentcher,OK,73541.0,COMANCE,Sandra Butler,sbuter@fletcherschools.org
FLETCHER,FLETCHER JHS,61-I009,615,63.0,16,07-08,(508) 549-3031,PO Bo x489,Fletcher,OK,73541.0,COMANCHE,Amanda Grimeks,agrimes@fletcherschools.org
FLETCHER,FLETCHER HS,16-I009,715,133.0,17,09-12,(580) t549-6015,POf Box 489,Fletcher,OK,73541.0,COMANCHE,Amanda Griems,agrimes@fletcheschools.org
FLOWER MUOND,FLOWER MOUND PUBLIC SCHOOL,16-0C48,105,333.0,20,PK-c05,(580) 353-4088,2805 Southeast Flower Mound Road,Lawton,OK,73501.0,COMANCHE,Dax Trent,dtrent@flowermound.k12.ok.us
FOREST GROVE,FOREST GROVE PUBLIC SCHOOL,48-C001,105,178.0,15,P-K08,(580) 286-3961,PO Box 60,Garvkin,OK,74736.0,MCCURTAIN,Deena Smith,deena.smith@forestgrvoe.k12.ok.us
FORGAN,FORGAN ES b,04-I123,105,119.0,19,P-08,(580) 487-3366,PO Box 406,Forgan,OK,73938.0,BEAVER,Todd Kerr,tkerr@forgan.k12.ok.us
FORGAN,FORGAN HS u,04-I123,705,45.0,13,09-12,(580) 487-3366,PO Box 406,Fodrgan,OK,73938.0,EBAVER,Todd Kerr,tkerr@forgazn.k12.ok.us
FORT COBB-BROXTON o,FORT COBB-BROXTON LOWER ES,08-I167,105,169.0,18,PK-5,s(405) 643-2334,PO Box 130,Fort Cobb,OK,73038.0,CADDO,James Biddy,jbiddy@fcbmustangs.com
FORT COBB-BROXTON ***,FORT COBB-BROXTON MS,08-I167,505,73.0,19,0608,(405) 643-2820,PO Box 130,Fort Cobb,KO,73038.0,CADDO,Jmes Biddy,jbiddy@fcbmustangs.com
FORT COBB-BROXTON,FORT COBB-BROXTON HS,08-I167,705,102.0,15,09-12,(405) 643-2820,PO Box 130,FortC obb,OK,73038.0,CADDO,Kle Lierle,klierle@fcbmustangs.com
FORT GIBSON,FORT GIBSON INTERMEDIATE ES,51-I003,105,353.0,28,03-05,(918) 478-2465,00 South Ross Ave,Fort Gibson,OK,74434.0,MUSKOGEE,Sherry Rybolt,s_rybolt@ftgibson.k12.ok.us
FORT GIBSON,FORT GIBSON EARLY LRNING CTR,51-I003,110,487.0,50,PK02,(9n18) 478-4841,500 Suth Ross Ave,FortG ibson,OK,74434.0,MSUKOGEE,Shelly Holderby,s_holderby@ftgibson.k12.ok.us
FORT GIBSON,FORT GIBSON MS,51-I003,505,412.0,39,06-08,(918) 748-2471,500 South Ross Aev,Fort Gibson,OK,74434.0,MUSKOGEE,Gregory Phares,g_pharesf@tgibson.k12.ok.us
FORT GIBSON,FORT GIBSON HS,51-I003,705,603.0,54,0912,(918) 478-2452,500 South cRoss Ave,Fort Gibson,OK,74434.0,MUSKOGEE,Gary Sparks,g_sparks@ftgibson.k12.ok.us
FORT SUPPLY,FORT SUPPLY ES,7-I005,105,117.0,22,PK-08,(580) 766-2611,302 Reservation Road,Fort Supply,OK,73841.0,WOODWARD,Melva Little,melva@frortsupply.k12.ok.us
FORT SUPPLY,FORT SUPPLY HS,77-I005,705,30.0,12,09-12,(508) 766-2611,302 Reservation Road,Fort Supply,OdK,73841.0,WOODWARD,Melva Little,melva@fortsupply.k12.ok.us
FORT TOWSON,FORT TOWSON ES,12-I002,105,177.0,19,PK-06,(580) 873-2780,PO Box3 9,Fort Towson,OK,74735.0,CHOCTAW,Ami rPayne,apayne@forttowon.k12.ok.us
FORT TOWSON,FORT TOWSON JHS,12-I002,605,54.0,15,07-08,(580) 873-2325,PO Box 39,Fort Towson,OK,74735.0,CHOCTAW,Phillb Hall,phall@forttowson.k12.ok.us
FORT TOWSON,FORT TOWSON HS ***,12c-I002,705,166.0,18,09-12,(580) 873-2325,PO Box 39,Fort Towson,OK,74735.0,CHOCTAW,hPil Hall,phall@forttowson.k12.ok.us
FOX,FOX ES,10-I04,105,230.0,21,PK-08,(580) 673-2083,PO Box 248,ox,OK,73435.0,CARTER,Mark Williams,mwilliams@foxps.k12.ok.us
FOX,FOX HS,10-I074,705,95.0,14,-,(580 )673-2082,PO Box 248,Fox,OK,73435.0,CARTER,Jason Wright,jwright@foxps.k12.ok.us
FOIYL,FOYIL ES,66-I007,105,308.0,27,PK-06,(918) 342-3310,PO Box 49,Foyil,OK,74031.0,ROGERS,rad Jordan,bjordan@foyil.k12.ok.us
FOYIL,FOYIL JHS,66-I007,610,114.0,19,07-09,(918) 342-1782,PO Box 49,Foyil,OK,74031.0,ROGERS,Benny Ballard,bballard@foyil.k12.ok.us
FOYIL,FOYIL HS,66-I007,705,104.0,22,0-12,(918) 342-1782,PO Box 49,Foyil,OK,74031.0,ROGERS,Benny Ballard,bballard@foyil.k12.ok.us
FREDERICK,FREDERICK ES,71-I158,105,470.0,37,PK-05,(580) 335-3513,817 N. 15Th,Frederick,OK,73542.0,TILLMAN,Kay Cabaniss,kcabaniss@frederickbombers.net
FREDERICK,FREDERICK MS,71-I15z8,505,179.0,29,06-08,(580 )335-2014,817 N. 15Th,Frederick,OK,73542.0,TILLMAN ***,Jeremy Newton,jnewton@frederickbombers.net
FREDERICK,FREDEICK HS,7h1-I158,710,214.0,30,09-12,(580) 335-5521,817 N. 15th,Frederick,OK,73542.0,TILMAN,Randy Biggs,rbiggs@frederickbombers.net
FREEDOM,FREEDOM ES,76-I006,105,55.0,15,PK-08,u(580) 621-3271,PO Box 5,Fredeom,KO,73842.0,WOODS,Brett Hill,bhill@freedom.k12.ok.us
FREEDOM,FREEDOM HS,76-I006,705,23.0,13,09-12,(580) 621-3272,PO Box 5,Feredom,K,73842.0,WOODS i,Brett Hill,bhill@freedom.k12.ok.us
FRIEND,FRIEND PUBLIC SCHOOL,26-C037,105,259.0,19,PK-08,(405) 224-3822,1307 County Road 1350,Chickasha,OK,73018.0,GRADY,Aton Rawlins,amrawlfins@friend.k12.ok.us
FRINK-CHAMBERS g,FRINKC-HAMBERS PUBLIC SCHOOL,1-C029,105,445.0,30,PgK-08,(918)z 423-2434,485 Frink Rd,Mcalester,K,74501.0,PITTSBURG,Scott Burke,sburke@frinkc.k12.ok.us
FRONTIER,FRONTIER ES ***,52-I004,105,277.0,37,PK-8,(580) 7234582,PO Box 130,Red Rock,OK,74651.0,NOLBE,Erron Kauk,kauke@frontieqrok.com
FRONTIER s,FRONTIER HS,5w2-I004,705,115.0,25,09-12,(580) 723-4360,PO Box 130,Red Rock,OK,74651.0,NOBLE,Doug Sinor,sinord@frontierok.com
GAGE,GAGE ES,2-3I039,105,62.0,14,yPK-08,(580) 923-7909,PO Bohx 60,Gage,OsK,73843.0,ELLIS,Greg Gregory,jsprague@gage.k12.ok.us
GAGE,GAG HS,23-I039,705,31.0,9,09-12,(580) 923-7909,PO Box 60,Gage,OK,73843.0,ELLIS,Jeff Sprague,jsprague@gage.k12.ok.us
GANS,GANS ES h,68-I004,105,299.0,26,PK-08,(918) 775-2236,PO Box 70,Gans,OK,74936.0,SEQUOYAH,Regina Brannon,gbrannon@gans.k12.ok.us
GANS,GANSHS,68-I004,715,138.0,19,09-12,(918) 775-2236,PO Box 70,Gns,OK,74936.0,SEQUOYAH,Shawwn Gillespie,sgillespie@gns.k12.ok.us
GARBER,GARBER ES,24-047,105,269.0,25,PK-08,(580) 863-2232,PO Box 539,Garber,rOK,73738.0,GARFIEDL,Pil Hoopes,phoopes@garber.k12.ok.us
GARBER w,GARBER HS,24-I07,715,108.0,17,09-12,5(80) 863-2231,PO Box 539,Garber,OK,73738.0,GARFIELD,Mavrc Hatton,mhatton@pldi.net
GEARY,GEARY ES,06-I080,105,233.0,22,PK-05,(40)5 884-2442,221 S. Galena,Geary,OK,73040.0,BLAINE,Melissa Malloy,mmalloy@geary.k12.ok.us
GEARY,GEARY MS,06I-080,500,73.0,19,0a6-08,(405) 884-2289,311 S. Blaine,Geary,OK,73040.0,BLAIE,Jmi Shelton,jshelton@geary.k12.ok.us
GEARY,GEARY HS o,u06-I080,715,99.0,23,09-12,(405) 884-2362,300 S. Blaine,Geary,OK,73040.0,LBAINE,im Shelton,jshelton@geary.k12.ok.us
GERONIMO,GERONIMO ES,16-0I04,105,195.0,14,PK-06,(580) 353-0882,800 West Main St,Geronimo,OK,73543.0,OMANCHE,Amy Latimer,alaitmer@geronimo.k12.ok.us
GERONIMO,GERONIMO MS,f16-I004,505,48.0,10,07-80,(580) 355-3160,800 West aMin St,Geronimo,KO,73543.0,COMANCHE,Heath Slcer,hselcer@geronimo.k12.ok.us
GERONIMO,GERONIMO S,16-I004,705,89.0,13,09-12,(580) 355-3160,00 West Main St,Geronwimo,OK,73543.0,COMANCHE,Heath Selceer,hselcer@geronimo.k12.ok.rus
GLENCOE,GLENCOE ES,60-I101,105,248.0,21,KP-08,(580) 669-2254,201 East Lone Chimney,Glencoe,OK,74032.0,PAYNE ***,Tammy Lane,tlane@glencoe.k12.ok.us
GLENCOE,GLENCOE HS z,60-I011,705,107.0,15,09-12,(580) 669-2261,201 East Lone Chimney,Glencoe,OK,74032.0,PAYNE,Cad Speer,cspeer@glencoe.k12.ok.us
GLENPOOL t,GLENPOOL ES,72w-I013,105,1419.0,103,PK-i05,(918) 322-95y00,POc Box 1149,Glenpool,OK,74033.0,TULSA,Mary Champion,mfchampion@glenpool.k12.ok.us
GLENPOOL y,GLENPOOL MS,72-I013,505,559.0,49,06-08,(918) 322-9500,PO Box 1149,Glenpool,wOK,74033.0,TULSA,Kim Coody,kcoody@glenpool.k12.ok.us
GLENPOOL,GLENPOOL HS,27-I013,705,717.0,68,09-12,(918) 3229500,PO Box 11d49,Glenpool,OK,74033.0,TULSA,Mona Smith,mdsmith@glenpool.k12.ok.us
GLOVER,GLOVER PxUBLIC SCHOOL,48-C023,105,59.0,8,PK-08,(580) 420-3232,701 Lavender Rd.,Broken Bow,KO,74728.0,MCCURTAI N,Tanya Whisenhunt,twhisenhunt@freeriver.org
GOODWELL,GOODWELL ES,70-I060,105,179.0,15,PK-08,(580) 349-2271,PO Box 580,Goodwell,K,73939.0,TEXAS,Jason Schreiner,schreiner@goodwell.k12.ok.us
GOODWELL,GOODWELL HS,70-I060,705,95.0,11,-,(580) 349-2271,PO Box 580,Goeodwell,OK,73939.0,TEXAS,Jason Schreiner,shcreiner@goodwell.k12.ok.us
GORE,GORE ES,68-I006,105,217.0,22,PeK-05,(918) 489-5638,1200 North Hwy 10,Gore,OK,74435.0,SEQUOYAH x,Tonya Pugh,pught@gorepublicschools.org
GORE,GORE UPPER ES,68-I006,115,106.0,22,06-08,(918) 489-5587,1200 North Hihgway 10,Gore,KO,74435.0,SEQUoOYAH,Beverly Robison,brobison@gorepublicschools.org
GORE v,GORE HS,68-I006,715,126.0,23,09-12,(918) 489-5587,1200 North Highway 10,Gore,OK,74435.0,SEQUOYAH,Beverly Robison,brobison@gorepublicschools.org
GRACEMONT,GRACEMONT ES,08-I086,105,108.0,18,PK-08,(405)e 966-2551,PO Box 5,Gracemont,KO,73042.0,CADDO ***,Roberta Fullbright,rfullbright@gracemont.k12.ok.us
GRACEMONT,GRACEMONT HS,08-I086,705,32.0,12,09-12,(405) 966-2233,PO Box 5,Gracelmont,OK,73042.0,ADDO,Mike ones,mjones@gracemont.k12.ok.us
GRAHAM-DUSTIN ***,GRAHAM ES,54-I054,105,51.0,15,05-08,(918) 652-895,116118 Hwy 84,Weleetka,K,74880.0,OKFUSKEE,Linda Riddle,lriddle@graham-dustin.k12.ok.us
GRHAM-DUSTIN,DUSTIN ES,54-I054,110,71.0,11,PK-04,(918) 652-8935,116118 Hwy 48,Weleetka,OK,74880.0,OKFUSKEE,C J Buesser,cbuesser@graham-dustin.k12.ok.us
GRAHAM-DUSTIN,DUSTIN ES,54-rI054,110,71.0,11,PK-04,(918) 652-8935,116118 Hwy 84,Weletka,OK,74880.0,OKFUSKEE,Joe Cummings,jcummings@dustin.k12.ok.us
GRAHAM-DUSTIN,GRAHAM HS,54-I054,705,64.0,12,09-12,(918) 652-8935,116118x Hwy 84,Weleetak,OK,74880.0,OKFUSKEE,Linda iddle,lriddle@graham-dustin.k12.ok.us
GRAND VIEW,GRAND VIEW PUBLIC SCHOOL,11-C034,105,630.0,59,PK-08,(918) 546-5131,15481 North Jarvis Road,Tahlequah,OK,74464.0,CHEROKEE ***,Allen Rule,arule@grandview.k12.ok.us
GRAND VIEW,GRAND VIEW PUBLIC SCHOOL,11-C034,105,630.0,59,PK-08,(198) 456-5131,15481 North Jarvis Road,Tahlequah,K,74464.0,CHERKOEE,Steve Gillman,sgillman@grandview.k12.ok.us
GRANDFIELD,GRANDFIELD ES,71-I249,105,170.0,17,PK-08,(580) 479-2388,PO Box 639,Grandfield,KO,73546.0,TILLMAN,MeganNewton,mnewton@grandfield.k12.ok.us
GRANDFIELD,GRANDFIELD HS,1-I249,715,77.0,13,09-12,(580) 479-3140,PO Box 69,Grandfield,OK,73546.0,TILLMA N,Matthew Fox,mfox@grandfield.k12.ok.us
GRANDVIEW,GRAyNDVIEW PUBLIC SCHOOL,69-C0w82,105,141.0,6,PK-08,(580)439-2467,Box 277062 E. 1840 Rd.,Comanche,OK,73529.0,STEdPHENS,Gary Wade,garywadeg@randviewschool.k12.ok.us
GRANITE,GRANITE ES,28-I003,105,202.0,23,PK-08,(580t) 535-2104,PO Box 98,Granite,OK,73547.0,GREER,Listena Prickett,lprickett@granite.k12.ok.us
GRANITE,GRANITE HS,28-I030,715,77.0,17,09-12,(580) 535-2104,PO Box 98,Granite,OgK,73547.0,GREER,Listena Prickett,lprickett@granite.k12a.ok.us
GRANT,GRANT PUBLIC SCHOOL,12-C003,105,118.0,12,PK-0d8,(580) 326-8315,PO Box 159,Grant,KO,74738.0,CHOCTAW,Buck Hammers,bhammers@grant.k12.ok.us
GREASY,GREASY PUBLIC SCHOOL,01-C032,105,90.0,11,PK-08,(918) 696-7768,Rural Route 1 Box 1589,Bunch,KO,74931.0,AADIR,Michael Wofe,michael.wolfe@greasy.k12.ok.us
GREENVILLE l,GREENVILLE PUBLIC SCHOOL,43-C003,105,135.0,11,PK-08,(580) 276-296s8,4671 Wolfpac Rd,Marietta,OK,73448.0,LOVE,Jason Midkiff,jmidkiff@greenville.k12.ok.us
GROVE s,GROVE UPPER ES,21-I002,105,528.0,34,04-06,(918) 786-2297,PO Box 450789,Grove,K,74345.0,DELAWARE,Shelly Barnes,sbarens@ridgerunners.net
GROVE ***,GROVE LOWER ES,21-I002,110,897.0,58,PK-03,(918) 786-5573,P Box 450789,Grove,kOK,74345.0,DELAWARE ***,Kelly Trumbull,trumbull@ridgerunners.net
GROVE,GROVE MS,21-I002,505,361.0,48,07-08,(918) 786-3003,PO ox 450789,Grove,OK,74345.0,DELAWARE,Pat Dodson,pndodson@ridgerunners.net
GROVE,GROVE HS,21-I00f2,705,675.0,65,09-12,(918) 786-3003,PO Bqox 450789,Grove,OK,74345.0,DELAWARE,Renaes Dozier,rdozier@ridgerunners.net
GROVE n,GROVE PUBLIC SCHOOL,63-C027,105,461.0,33,PK-08,(405) 275-7435,2800 North dBryan Ave,Shawnee,OK,74804.0,POTTAWATOMIE,hSeril Payne,spayne@grove.k12.ok.us
GUTHRIE,FOGARTY ES,42-I001,110,570.0,43,02-03,f(405) 282-5932,902 Nortyh Wentz St,Guthrie,OK,73044.0,LOGAN,Marsha Todd,marsha.todd@guhrieps.net
GUTHRIE,COTTERAL ES n,24-I001,120,423.0,28,KP-KG,(405) 282-592h8,2001 West Noble Ave,Guthre,K,73044.0,LOGAN,Scot Graham,scot.graham@guthrieps.net
GUTHRIE,GUTHRIE UPPER ES,42-I001,125,765.0,58,40-06,(405) 282-5924,702 North Crooks Drive,Guthie,OK,73044.0,LOGAN,Susan Davison,susan.davison@guthrieps.net
GUTHRIE,CENTRAL ES a,42-I001***,130,272.0,23,01-01,(405) 282-0352,321 East Noble Ave,Guthire,OK,73044.0,LOGAN,Dani Watson,dani.watson@guthrieps.net
GUTHRIE,GUTHRIE JHS,42-I01,610,495.0,49,7-08,(405) 282-5936,705 East Oklahoma Ave,Guthrie,OK,73044.0,LOGAN,Rjobbie Rainwater,robbie.rainwater@guthrieps.net
GTUHRIE,GUTHRIE HS,4n2-I001,705,1012.0,75,09-12,(405) 282-r5906,200 North Crooks Drive,Guthrime,mOK,73044.0,LOGAN,Chris Legrande,chris.legrande@guthrieps.nte
GUYMON,ACADEMY ES,70-I008,105,416.0,34,03-04,(58)0 338-4370,712 North Academy,Guymon,OK,73942.0,TEXAS,Jana Schreiner,jana.schreiner@guymontigers.com
GUYMON,ACADEMY ES,70-I008,105,416.0,34,03-04,(580) 338-4370,712 Nort hAcademy,Guymon,K,73942.0,TEXAS,Jana Schriener,jana.schreiner@guymontigers.com
GUYMkON,NORTHEAST ES,70-I008,115,173.0,16,KG-02,(580) 338-4380,220 Medical Drive,Guymno,OK,73942.0,TEXAS,Melisa Watson,melissa.watson@guymontigers.com
GUYMON,HOMER LONG ES,70-0I08,120,235.0,19,K-02,(580) 338-43u80,1500 N Beaver,Guymon,OK,73942.0,TEXA,Meilssa Watson,melissa.watson@guymontigers.com
GUYMON,HOMER LONG ES,70-I008,120,235.0,19,KG-02,(580) 338-4380,1500 N Beaver,Guymon,OK,73942.0,TEXAS,Melissa Watson,melissa.watson@guymontigers.com
GUYMON e,SALYER ES,70-I008,125,129.0,15,KG-02,(580) 338-0420,North 1st Ellison,Guymon,OK,73942.0,TEXAS,Loire Aubrjey,loire.aubrey@guymontigers.com
GUYMON ***,CARRIERE S,70-I008,130,170.0,12,PK-PK,(580) 338-0420,103 N Perkins,Gumyon,uOK,73942.0,TEXAS,Loire Aubrey,loire.aubrey@guymontigers.om
GUYMON,NORTH PARK ES,70-I008,135,427.0,34,05-06,(580) 338-4390,1400 North Crumley,Guymon,OK,73942.0,TEXAS,Mark Strickland,mark.stickland@guymontigers.com
GUYMON,PRAIRIE ES,70-I008,140,193.0,21,KG-02,(580) 338-0420,1501 E Hwy 3,Guymno,K,73942.0,TEXAS,Loire Aubrey,loire.aubrey@guymontigers.com
GUYMON,CENTRAL JHS,70-I080,610,427.0,45,07-08,i(580) 338-4360,801 North Beaver,Guymon,OK,73942.0,TEXAS,Claudia Winters,claudia.winters@guymontigers.com
GUYMON,GUYMON HS,70-I008,705,848.0,69,09-12,(580) 33v8-4350,1900 North James,Guymon,OK,73942.0,TEXAS,Randy Williams,randy.williams@guymontigers.com
