324.telephone,580) 296-2198,(580) 296-2198
1501.mailingaddress,PO Box 598,PO Box 589
312.principalemail,danawilson@clevelandtigxers.com,danawilson@clevelandtigers.com
1820.city,Yukn,Yukon
1474.county,LE FLOER    ,LE FLORE    
89.county,MCCUTAIN   ,MCCURTAIN   
1080.statevalue,OdK,OK
1029.city,Bramna,Braman
211.statevalue,K,OK
46.principalemail,dhall@apwarriors.com,dhall@apswarriors.com
1336.gradeslowhigh,PK0-5,PK-05
420.telephone,(405) 828-4025,(405) 828-4205
1021.schoolsite,NAVAJO HS                    ,NAVAJO HS                     
1219.telephone,(918) 825-2505,(918) 825-2550
998.mailingaddress,e301 N. 54th St.,301 N. 54th St.
1402.city,Oxklahoma City,Oklahoma City
1248.district,PAWHUSKA                      ***,PAWHUSKA                      
400.statevalue,OrK,OK
1603.gradeslowhigh,PKg-06,PK-06
1624.county,ULSA       ,TULSA       
1564.mailingaddress,10620 East 7th St,10620 East 27th St
1475.statevalue,OqK,OK
717.statevalue,fOK,OK
1089.telephone,(405) 76e7-3000,(405) 767-3000
1238.principal,Brad Crocoran,Brad Corcoran
1227.county,TULS A      ,TULSA       
262.telephone,(405) 258-183,(405) 258-0183
1667.gradeslowhigh,P-K05,PK-05
630.principal,Jef Morton,Jeff Morton
1613.district,TULSA                        ,TULSA                         
733.mailingaddress,700 N oWod Ave,700 N Wood Ave
1377.codistcode,68-0I05,68-I005
1198.gradeslowhigh,P-05,PK-05
985.gradeslowhigh,09-21,09-12
959.mailingaddress,1801 South Bryant Ae,1801 South Bryant Ave
450.district,EDMOND   q                     ,EDMOND                        
1287.mailingaddress,815 Ewast Highland Ave,815 East Highland Ave
1244.telephone,(405) 238-733g6,(405) 238-7336
1495.telephone,(580) 265t-4243,(580) 265-4243
1605.district,TULSA                       w  ,TULSA                         
1062.principalemail,sbeck@norman.k12.vok.us,sbeck@norman.k12.ok.us
943.county,CLEVELeAND   ,CLEVELAND   
1683.gradeslowhigh,K-05,PK-05
382.codistcode,63-I02,63-I002
1802.codistcode,48-I093,48-I039
1217.county,RGERS      ,ROGERS      
1220.principalemail,twilson@osagehills.k2.ok.us,twilson@osagehills.k12.ok.us
1454.gradeslowhigh,02-2,02-02
835.city,Lookeab,Lookeba
559.schoolsite,FREDEICK HS                  ,FREDERICK HS                  
229.schoolsite,CANEYk VALLEY ES               ,CANEY VALLEY ES               
119.schoolsite,NORTH INERMEDIATE SCHOOL     ,NORTH INTERMEDIATE SCHOOL     
1661.codistcode,56-C101,56-C011
854.district,MANNVILLE                    ,MANNSVILLE                    
974.schoolsite,MORRIS MS    g                 ,MORRIS MS                     
446.telephone,(40) 997-5312,(405) 997-5312
882.statevalue,KO,OK
1617.schoolsite,CENTRAL gJHS                   ,CENTRAL JHS                   
539.city,Fodrgan,Forgan
1261.telephone,580) 336-2265,(580) 336-2265
229.gradeslowhigh,mPK-05,PK-05
1586.statevalue,OlK,OK
726.city,oJnes,Jones
193.principalemail,greynolds@brushyk.12.ok.us,greynolds@brushy.k12.ok.us
1712.codistcode,73-I19,73-I019
1089.codistcode,55-Ex001,55-E001
859.district,MARIETTA      d                ,MARIETTA                      
1637.principal,Jamila Macajrthur,Jamila Macarthur
1744.city,Weatehrford,Weatherford
671.statevalue,KO,OK
1757.principalemail,tfredman@wellstonschools.orag,tfredman@wellstonschools.org
1071.district,OAKDALE        z               ,OAKDALE                       
246.telephone,(91v8) 266-8630,(918) 266-8630
1442.district,SHAWNEE                      ,SHAWNEE                       
757.principal,Daxvid Gill,David Gill
1483.district,STILLWATE R                   ,STILLWATER                    
1682.codistcode,09-cI057,09-I057
282.telephone,(405) 2x22-6530,(405) 222-6530
1500.codistcode,25-I02,25-I002
1548.mailingaddress,PO Boxc 340,PO Box 340
537.gradeslowhigh,P-K08,PK-08
586.county,SEQUOYAH x   ,SEQUOYAH    
264.county,hCOMANCHE    ,COMANCHE    
933.codistcode,26-I020,26-I002
1272.district,PIONEER-PLEASANT aVALE         ,PIONEER-PLEASANT VALE         
844.schoolsite,MADILL MeS                     ,MADILL MS                     
1038.codistcode,14b-I040,14-I040
1402.statevalue,KO,OK
957.telephone,(405) 75-4500,(405) 735-4500
1231.schoolsite,OWASSO 8TH GRADE CTR d         ,OWASSO 8TH GRADE CTR          
1709.principalemail,bhummingbirde@wagonerps.org,bhummingbird@wagonerps.org
163.codistcode,72-003,72-I003
910.principal,Mike Stigltes,Mike Stiglets
1456.county,TULA       ,TULSA       
297.gradeslowhigh,P-08,PK-08
1620.gradeslowhigh,07-i08,07-08
403.principal,Jayson Larremore***,Jayson Larremore
121.principalemail,jmilligan@bixbypbs.org,jmilligan@bixbyps.org
467.principalemail,susie.schinnerer@edmondschools.net***,susie.schinnerer@edmondschools.net
283.gradeslowhigh,0912,09-12
179.telephone,9(18) 259-4500,(918) 259-4500
1021.codistcode,33I-001,33-I001
873.county,PITTSBURG  d ,PITTSBURG   
1148.county,tOKLAHOMA    ,OKLAHOMA    
1353.principal,Dane Lemosn,Dane Lemons
776.principalemail,allenk@laverne.k12.ok.us,allen_k@laverne.k12.ok.us
580.gradeslowhigh,PK-i05,PK-05
371.telephone,(918) 225-4638,(918) 225-4683
938.statevalue,KO,OK
1285.district,PONCA CITY                    ***,PONCA CITY                    
753.telephone,(05) 375-4080,(405) 375-4080
1396.telephone,(9q18) 246-1560,(918) 246-1560
1539.schoolsite,TEXHOMA E                    ,TEXHOMA ES                    
1320.gradeslowhigh,60-08,06-08
425.city,Drumrjight,Drumright
1713.district,WAINWRIGHT                   ,WAINWRIGHT                    
294.principalemail,jgaon@cnpschools.org,jgaona@cnpschools.org
538.gradeslowhigh,P-08,PK-08
1222.principalemail,jodi.james-gillialnd@owassops.org,jodi.james-gilliland@owassops.org
1668.district,UNION                 g        ,UNION                         
1474.district,SPIRO                        ,SPIRO                         
919.telephone,(405) 6718615,(405) 671-8615
298.mailingaddress,PO Box o969,PO Box 969
1465.principalemail,sjohns@scpsx.k12.ok.us,sjohns@scps.k12.ok.us
1625.principalemail,crasmi@tulsaschools.org,crasemi@tulsaschools.org
803.schoolsite,LEFLORE ES                   ,LEFLORE ES                    
18.district,AGRA                         ,AGRA                          
909.schoolsite,HIGHLANmD PARK ES              ,HIGHLAND PARK ES              
1223.statevalue,KO,OK
863.codistcode,01-pC022,01-C022
1184.schoolsite,JUSTICE A.W. SEEWORTH AADEMY ,JUSTICE A.W. SEEWORTH ACADEMY 
306.statevalue,KO,OK
47.codistcode,8-I020,08-I020
1680.principalemail,federline.john@ubnionps.org,federline.john@unionps.org
1300.district,PORUM                        ,PORUM                         
168.county,TULuSA       ,TULSA       
452.principalemail,michelec.milner@edmondschools.net,michele.milner@edmondschools.net
882.codistcode,6k3-I001,63-I001
1774.schoolsite,WEWOKA HS                     ***,WEWOKA HS                     
1027.principal,yRob Gilstrap,Rob Gilstrap
1592.gradeslowhigh,PK-60,PK-06
1044.gradeslowhigh,PiK-05,PK-05
938.gradeslowhigh,K-06,PK-06
1629.city,ulsa,Tulsa
807.gradeslowhigh,0912,09-12
1749.principal,im Hall,Kim Hall
957.codistcode,41-I002,14-I002
640.district,ARRAH                        ,HARRAH                        
1330.city,Oklahoma Ctiy,Oklahoma City
798.mailingaddress,702 Northwest Homesteavd Drive,702 Northwest Homestead Drive
1727.principalemail,rroof@watonga.k12.okq.us,rroof@watonga.k12.ok.us
1084.principal,anuni Yilmaz,Kanuni Yilmaz
238.statevalue,KO,OK
1655.county,TOKA       ,ATOKA       
1463.statevalue,eOK,OK
1549.county,TILLMAN    ,TILLMAN     
1502.district,STRINGTOWN         r           ,STRINGTOWN                    
133.schoolsite,BLUEJACKET ES       i          ,BLUEJACKET ES                 
1595.mailingaddress,1132 North Vandali aAve,1132 North Vandalia Ave
505.codistcode,24-I0h57,24-I057
1355.mailingaddress,PO oBx 44,PO Box 44
1132.principal,Shelly Djeas,Shelly Deas
1043.principal,Craig tSevens,Craig Stevens
1039.principal,Steve Barertt,Steve Barrett
625.district,GUYMON                       ,GUYMON                        
125.statevalue,OpK,OK
1153.statevalue,K,OK
1237.statevalue,KO,OK
1779.district,WHITESBORO                   ,WHITESBORO                    
955.city,Okalhoma City,Oklahoma City
1485.principal,Anqdrea Rains,Andrea Rains
13.telephone,(918) 75-2424,(918) 785-2424
467.telephone,(40) 330-7380,(405) 330-7380
1537.district,TENKILLER                     ***,TENKILLER                     
1574.telephone,(198) 746-9600,(918) 746-9600
1670.statevalue,OzK,OK
1141.principalemail,pympluess@okcps.org,pmpluess@okcps.org
857.city,Maietta,Marietta
251.mailingaddress,PO Bo x200,PO Box 200
794.city,Laton,Lawton
73.telephone,(580)6 46-3385,(580) 646-3385
394.principalemail,nunt@deercreek.k12.ok.us,nunnt@deercreek.k12.ok.us
244.city,oCashion,Cashion
496.principal,Jodie Robrts,Jodie Roberts
601.statevalue,OgK,OK
1471.mailingaddress,00 West Main St,400 West Main St
827.codistcode,10-I32,10-I032
313.county,jPAWNEE      ,PAWNEE      
843.city,Maill,Madill
362.statevalue,K,OK
373.city,sCushing,Cushing
1640.codistcode,72-I010,72-I001
816.statevalue,OiK,OK
912.city,Miadwest City,Midwest City
1474.codistcode,40-I00i2,40-I002
136.mailingaddress,PO nBox 1117,PO Box 1117
176.county,TULSAz       ,TULSA       
1263.statevalue,KO,OK
1536.principal,Kolboy Johnson,Kolby Johnson
231.telephone,(198) 536-3425,(918) 536-3425
386.schoolsite,DAVIDSONES                   ,DAVIDSON ES                   
1591.schoolsite,MAYO DEmMONSTRATION ES         ,MAYO DEMONSTRATION ES         
1780.statevalue,K,OK
838.gradeslowhigh,P-K04,PK-04
12.principalemail,brogers@adairshcools.org,brogers@adairschools.org
1001.gradeslowhigh,KG-m06,KG-06
582.codistcode,27-I013,72-I013
157.county,GRADY       ***,GRADY       
891.city,Elk Citxy,Elk City
365.schoolsite,CENdTRAL OAK ES                ,CENTRAL OAK ES                
407.county,qOKMULGEE    ,OKMULGEE    
32.statevalue,KO,OK
131.district,BLANCHAR D                    ,BLANCHARD                     
65.principalemail,rjfrye@asher.k12.ok.us,jfrye@asher.k12.ok.us
1650.district,TURNER                        ***,TURNER                        
1236.principal,Jmes Hoffman,James Hoffman
1116.telephone,(405) 5877900,(405) 587-7900
769.district,KREMLNI-HILLSDALE             ,KREMLIN-HILLSDALE             
414.statevalue,K,OK
1400.statevalue,uOK,OK
318.gradeslowhigh,05-n06,05-06
571.telephone,5(80) 863-2231,(580) 863-2231
367.schoolsite,CROOKED OAK H                ,CROOKED OAK HS                
975.city,Morris***,Morris
1418.district,SAYRE                         ***,SAYRE                         
592.mailingaddress,116118 Hwy 48,116118 Hwy 84
1440.city,Sawnee,Shawnee
314.schoolsite,CLEVELAND MiS                  ,CLEVELAND MS                  
419.codistcode,72-G003***,72-G003
1286.county,AY         ,KAY         
861.statevalue,sOK,OK
258.statevalue,KO,OK
1278.codistcode,10-0I27,10-I027
1577.mailingaddress,2316 North Norwod Place,2316 North Norwood Place
1578.mailingaddress,380 East 41st St,3820 East 41st St
299.schoolsite,CHOUTEAU-MAZIEMS             ,CHOUTEAU-MAZIE MS             
777.county,CMANCHE    ,COMANCHE    
952.schoolsite,SOONER ES                 o    ,SOONER ES                     
1212.schoolsite,OLUSTEE ES                   ,OLUSTEE ES                    
1291.district,PONCA CITY                   ,PONCA CITY                    
1323.district,xPUTNAM CITY                   ,PUTNAM CITY                   
1629.mailingaddress,5840 SouthH udson Ave,5840 South Hudson Ave
383.principalemail,cgarrison@darington.k12.ok.us,cgarrison@darlington.k12.ok.us
1466.telephone,(981) 255-6087,(918) 255-6087
1374.schoolsite,ROFF EsS                       ,ROFF ES                       
422.mailingaddress,OP Box 240,PO Box 240
1141.district,OKLAHOMA CITY                 ***,OKLAHOMA CITY                 
1667.city,Twulsa,Tulsa
995.telephone,(918) 648-3870,(918) 684-3870
1125.schoolsite,HEORNVILLE ES                 ,HERONVILLE ES                 
1764.city,Oklahoma Cicty,Oklahoma City
1658.principalemail,cwililams@tuttleschools.info,cwilliams@tuttleschools.info
1422.codistcode,22I008,22-I008
45.city,Andaarko,Anadarko
1624.codistcode,72-I01,72-I001
1010.county,CANADIAN   c ,CANADIAN    
1617.principalemail,johnseb@tuelsaschools.org,johnseb@tulsaschools.org
589.telephone,(405)e 966-2551,(405) 966-2551
838.district,LUTHER                       ,LUTHER                        
518.schoolsite,ERICK HS                     ,ERICK HS                      
805.telephone,(918) 868-277,(918) 868-2277
922.codistcode,55-I02,55-I052
470.district,EDMOND                       ,EDMOND                        
673.principalemail,harmonm@hobatr.k12.ok.us,harmonm@hobart.k12.ok.us
1226.codistcode,72-I01s1,72-I011
1351.telephone,(918 674-2474,(918) 674-2474
135.principalemail,sbaker@bluejpacket.k12.ok.us,sbaker@bluejacket.k12.ok.us
1693.codistcode,e26-I099,26-I099
869.codistcode,c25-I007,25-I007
1167.gradeslowhigh,07-80,07-08
30.telephone,(580)q 481-2133,(580) 481-2133
1319.telephone,(405) 57-2146,(405) 527-2146
145.gradeslowhigh,K-06,PK-06
1345.principalemail,mwilson@putnamcbityschools.org,mwilson@putnamcityschools.org
385.principalemail,memmos@davenport.k12.ok.us,memmons@davenport.k12.ok.us
117.principalemail,lwitlson@bixbyps.org,lwilson@bixbyps.org
1310.district,PRETTY WATER                  ***,PRETTY WATER                  
308.schoolsite,CLAREMORE HS                  ***,CLAREMORE HS                  
1244.gradeslowhigh,0406,04-06
1786.district,WILSON                        ***,WILSON                        
1428.district,SENTINEL                      ***,SENTINEL                      
227.statevalue,OkK,OK
345.gradeslowhigh,a09-12,09-12
101.telephone,(918) 445-609,(918) 445-6039
89.principalemail,mullenixd@batties.k12.ok.us,mullenixd@battiest.k12.ok.us
1081.principal,Mike Lasatre,Mike Lasater
230.principal,Travis Lvashbrook,Travis Lashbrook
1772.mailingaddress,PfO Box 870,PO Box 870
1334.principal,Marjorie Ivne,Marjorie Iven
337.principal,Jon Coeman,Jon Coleman
934.county,GRADY      g ,GRADY       
817.gradeslowhigh,0-12,09-12
1178.principal,Tamije Sanders,Tamie Sanders
327.statevalue,K,OK
131.gradeslowhigh,0608,06-08
108.principal,Tnia Moon,Tina Moon
349.county,COAL y       ,COAL        
604.telephone,(580) 276-296s8,(580) 276-2968
1563.principalemail,buxtoel@tulsaschool.org,buxtoel@tulsaschools.org
232.county,BLAINE     ,BLAINE      
300.county,MAYES i      ,MAYES       
596.statevalue,K,OK
1542.principal,Carrie Twucker,Carrie Tucker
765.telephone,(w580) 925-3221,(580) 925-3221
1669.city,Tlusa,Tulsa
1226.principalemail,ashley.hearn@owassosp.org,ashley.hearn@owassops.org
247.schoolsite,HELEN PAUL LEARNING TR       ,HELEN PAUL LEARNING CTR       
1179.principal,Sue Sgtarr,Sue Starr
930.codistcode,55-I073,55-I037
1818.schoolsite,MYERS ES                     ,MYERS ES                      
265.statevalue,KO,OK
1714.district,WALTERS                       ***,WALTERS                       
304.principalemail,gabshere@claremorek.12.ok.us,gabshere@claremore.k12.ok.us
1699.codistcode,68-xI002,68-I002
27.mailingaddress,3000 North Veterans Drve,3000 North Veterans Drive
1498.principalemail,steve.baird@straight.k12.oak.us,steve.baird@straight.k12.ok.us
227.district,CANEY                        ,CANEY                         
319.city,Clintgon,Clinton
303.telephone,(918) 923-4220,(918) 923-4202
1806.telephone,9(18) 678-2222,(918) 678-2222
1247.principalemail,bmoorep@pshuskies.org,bmoore@ppshuskies.org
152.telephone,(98) 487-5265,(918) 487-5265
1049.district,NORMAN                       ,NORMAN                        
966.schoolsite,CENTRAL JHS                  ,CENTRAL JHS                   
881.city,Mccurtain***,Mccurtain
73.mailingaddress,"Rural Route 1 ,Box 37","Rural Route 1, Box 37"
369.city,Croewder,Crowder
1456.principalemail,wparkeer@skiatookschools.org,wparker@skiatookschools.org
1297.city,Poretr,Porter
1070.principal,KristaB urden,Krista Burden
765.county,SEMINOLE  l  ,SEMINOLE    
859.principalemail,rdavis@mraietta.k12.ok.us,rdavis@marietta.k12.ok.us
724.principalemail,cballenger@jenningsk.12.ok.us,cballenger@jennings.k12.ok.us
810.city,Oklhaoma City,Oklahoma City
1357.city,Raia,Ravia
1186.principal,Yunus icici,Yunus Bicici
350.principal,Darren Shap,Darren Sharp
424.county,CREEK      ,CREEK       
196.statevalue,KO,OK
882.telephone,(405) 64-3314,(405) 964-3314
689.telephone,(98) 658-3368,(918) 658-3368
317.mailingaddress,OP Box 729,PO Box 729
1639.district,TULSA                        ,TULSA                         
1333.city,Okklahoma City,Oklahoma City
515.telephone,(40) 749-4550,(405) 749-4550
1219.schoolsite,OSAGE PUBLIC SCHOL           ,OSAGE PUBLIC SCHOOL           
1168.schoolsite,TAFT MS                       ***,TAFT MS                       
1522.city,Tahlequha,Tahlequah
1671.mailingaddress,8506E 61 St,8506 E 61 St
1010.statevalue,K,OK
1503.schoolsite,STRINGOTWN HS                 ,STRINGTOWN HS                 
1451.telephone,(580)9 24-7000,(580) 924-7000
245.principalemail,cflanary@catoosa.k12r.ok.us,cflanary@catoosa.k12.ok.us
1124.mailingaddress,6900 Soth Byers Ave,6900 South Byers Ave
248.telephone,(918) 266-86v23,(918) 266-8623
102.gradeslowhigh,0-12,09-12
1676.telephone,(918)357-4321,(918) 357-4321
644.city,Harthsorne,Hartshorne
796.principalemail,rlambert@lawotnps.org,rlambert@lawtonps.org
1201.county,OKLAOMA    ,OKLAHOMA    
1572.district,TLUSA                         ,TULSA                         
1788.telephone,(918) 65l2-3384,(918) 652-3384
615.codistcode,4n2-I001,42-I001
453.telephone,(405) 340-298y4,(405) 340-2984
1064.principal,aul Tryggestad,Paul Tryggestad
1371.gradeslowhigh,PK-r08,PK-08
1440.district,SHAWNEE                       ***,SHAWNEE                       
881.statevalue,wOK,OK
549.mailingaddress,PO Box3 9,PO Box 39
964.city,oore,Moore
624.statevalue,K,OK
852.city,Mannfrod,Mannford
583.statevalue,KO,OK
29.principal,Tod Ware,Todd Ware
1530.statevalue,K,OK
1300.city,Pzorum,Porum
1481.schoolsite,STsIGLER MS                    ,STIGLER MS                    
805.codistcode,21-C104,21-C014
1546.telephone,(580) 62-4411,(580) 626-4411
1732.schoolsite,WAUKOMIS HS               r    ,WAUKOMIS HS                   
1114.codistcode,55-I0m89,55-I089
1026.gradeslowhigh,0-08,06-08
841.county,POTTAWATOIE,POTTAWATOMIE
1377.principalemail,jspeir@rolandschools.og,jspeir@rolandschools.org
1188.principalemail,jhunt@hardingjcharterprep.org,jhunt@hardingcharterprep.org
1685.mailingaddress,604 Egast Lucas St,604 East Lucas St
1367.mailingaddress,PO Box 9o7,PO Box 97
915.city,klahoma City,Oklahoma City
1571.gradeslowhigh,KP-05,PK-05
1277.mailingaddress,1140 South Plainview Roda,1140 South Plainview Road
1070.telephone,(18) 352-2889,(918) 352-2889
65.gradeslowhigh,PK-0v8,PK-08
525.district,FAIyRVIEW                      ,FAIRVIEW                      
1761.city,Oklahoma Ciyt,Oklahoma City
456.telephone,(405) 40-2950,(405) 340-2950
628.city,Haileyvile,Haileyville
740.mailingaddress,110 Northeats 6th St,110 Northeast 6th St
271.principal,oward Hill,Howard Hill
1653.district,TURPN                        ,TURPIN                        
55.principalemail,chall@ardmoreschooils.org,chall@ardmoreschools.org
1595.telephone,(918) 746g-9230,(918) 746-9230
598.mailingaddress,PO Box 69,PO Box 639
178.schoolsite,CUNTRY LANE INTERMEDIATE ES  ,COUNTRY LANE INTERMEDIATE ES  
618.principal,Melisa Watson,Melissa Watson
459.statevalue,K,OK
266.county,MCINTOSH   ,MCINTOSH    
96.county,SEQUOYAH  h  ,SEQUOYAH    
306.principalemail,kshuck@claremre.k12.ok.us,kshuck@claremore.k12.ok.us
742.telephone,(918) 72-3242,(918) 782-3242
395.county,OKLAOHMA    ,OKLAHOMA    
1164.principalemail,khemesser@okcps.org,hemesser@okcps.org
1369.telephone,(405) 62-2907,(405) 262-2907
1464.city,Sopter,Soper
332.gradeslowhigh,P-KG,PK-KG
843.mailingaddress,601 W. Mcwarthur St,601 W. Mcarthur St
1456.codistcode,72-I070,72-I007
894.schoolsite,WASHIGTON ES                 ,WASHINGTON ES                 
1568.city,Tulas,Tulsa
678.codistcode,29-I066***,29-I066
1180.gradeslowhigh,9-12,09-12
473.district,EDMON D                       ,EDMOND                        
219.gradeslowhigh,07-80,07-08
1825.principalemail,scott.hein@yuonps.com,scott.hein@yukonps.com
228.schoolsite,CANEY HS                      ***,CANEY HS                      
1675.county,TLUSA       ,TULSA       
1637.statevalue,KO,OK
1533.county,POTTAWTOMIE,POTTAWATOMIE
773.city,da,Ada
1684.telephone,(580) 933-2453,(580) 933-4253
667.county,USKOGEE    ,MUSKOGEE    
1642.gradeslowhigh,y-,-
223.codistcode,40-xI017,40-I017
1434.principalemail,bruc.gillham@spk12.org,bruce.gillham@spk12.org
1774.county,SlEMINOLE    ,SEMINOLE    
166.mailingaddress,270b0 West Florence,2700 West Florence
2.city,Oklahoma Ciyt,Oklahoma City
706.principalemail,ghernandnez@indianola.k12.ok.us,ghernandez@indianola.k12.ok.us
1507.city,Stoud,Stroud
1191.district,OKLAHOMA CITY                 ***,OKLAHOMA CITY                 
23.county,MAJR       ,MAJOR       
980.principal,Tina Catwright,Tina Cartwright
1480.telephone,(918) 967-88w35,(918) 967-8835
549.principalemail,apayne@forttowon.k12.ok.us,apayne@forttowson.k12.ok.us
1700.city,Viain,Vian
1353.gradeslowhigh,09j-12,09-12
564.principalemail,kauke@frontieqrok.com,kauke@frontierok.com
46.mailingaddress,00 West College St,900 West College St
1033.gradeslowhigh,60-08,06-08
884.principalemail,ltodd@mcloudcshools.us,ltodd@mcloudschools.us
550.principal,Phillb Hall,Phill Hall
105.gradeslowhigh,06t-08,06-08
871.principalemail,jprice@mcalester.k12.o.kus,jprice@mcalester.k12.ok.us
100.county,TULSA a      ,TULSA       
1453.county,TULSA       ***,TULSA       
582.telephone,(918) 3229500,(918) 322-9500
876.telephone,p(918) 423-4647,(918) 423-4647
1324.statevalue,K,OK
778.statevalue,K,OK
831.gradeslowhigh,PK-80,PK-08
690.codistcode,2-I039,12-I039
1753.gradeslowhigh,t10-12,10-12
137.telephone,(580) 544-3161***,(580) 544-3161
714.telephone,(918)2 53-3535,(918) 253-3535
165.principal,Debbie cclellan,Debbie Mcclellan
1757.city,Wellstno,Wellston
86.telephone,(918) 3333-176,(918) 333-3176
1557.gradeslowhigh,PK0-6,PK-06
102.statevalue,OyK,OK
352.principal,Sherri Dotsn,Sherri Dotson
1375.principal,ad Simon,Ead Simon
334.statevalue,KO,OK
1382.principal,Lynn Maxwelil,Lynn Maxwell
1525.statevalue,KO,OK
894.statevalue,K,OK
454.mailingaddress,400 West qEighth St,400 West Eighth St
429.principal,Mona Evasn,Mona Evans
646.codistcode,1-I002,51-I002
1575.codistcode,72-I00c1,72-I001
1594.city,Tuklsa,Tulsa
1331.county,OKLHAOMA    ,OKLAHOMA    
1388.principalemail,tjasna@sallisaw.k12o.k.us,tjasna@sallisaw.k12.ok.us
203.principalemail,mwalden@butner.k12h.ok.us,mwalden@butner.k12.ok.us
1001.principal,Lis Rogers,Lisa Rogers
1510.codistcode,2-I054,32-I054
22.mailingaddress,PO Boxn 38,PO Box 38
1143.district,OKLAHOM ACITY                 ,OKLAHOMA CITY                 
232.mailingaddress,POB ox 639,PO Box 639
818.city,Nosrman,Norman
1133.mailingaddress,3416 Northwest 17t St,3416 Northwest 17th St
1405.county,CREEK       ***,CREEK       
1632.gradeslowhigh,09-1e2,09-12
1103.city,Okemh,Okemah
1520.principalemail,vanzants@tahlequahscohols.org,vanzants@tahlequahschools.org
1422.schoolsite,ESILING JR-SR HS (JR)         ,SEILING JR-SR HS (JR)         
1807.schoolsite,CENTRAL ES                    ***,CENTRAL ES                    
1532.principal,Teresa Ledbetetr,Teresa Ledbetter
1578.codistcode,72-I010,72-I001
416.codistcode,1-I077,10-I077
119.district,BIXB                         ,BIXBY                         
155.gradeslowhigh,K-05,PK-05
1590.mailingaddress,1142 East 56th vSt,1142 East 56th St
1109.gradeslowhigh,P-K06,PK-06
1794.statevalue,K,OK
466.telephone,(405)340-2935,(405) 340-2935
751.district,KIEFER                     n   ,KIEFER                        
446.codistcode,63-005,63-I005
29.schoolsite,UNSET ES                     ,SUNSET ES                     
3.gradeslowhigh,PK0-8,PK-08
1543.district,THOMAS-FAY-CUSTER UNIFIED DST,THOMAS-FAY-CUSTER UNIFIED DIST
207.county,PONTOTO C   ,PONTOTOC    
96.mailingaddress,475751 Starte Highway 101,475751 State Highway 101
727.principal,Adam sMcphail,Adam Mcphail
1281.codistcode,40-I070,40-I007
374.principal,Pat oElder,Pat Elder
1492.schoolsite,STIWLELL ES                   ,STILWELL ES                   
161.principalemail,bburden@birstow.k12.ok.us,bburden@bristow.k12.ok.us
365.district,CROOKED OAK                  ,CROOKED OAK                   
1343.gradeslowhigh,06g-08,06-08
480.principal,Chrysta lBryant,Chrystal Bryant
1641.district,TULSA CHARTER: COLLEGE OUND  ,TULSA CHARTER: COLLEGE BOUND  
1638.statevalue,K,OK
596.telephone,(198) 456-5131,(918) 456-5131
102.mailingaddress,3128 oSuth 63rd West Ave,3128 South 63rd West Ave
785.mailingaddress,1614 Northwest 47fth St,1614 Northwest 47th St
1139.statevalue,K,OK
1032.city,Ninenkah,Ninnekah
1376.schoolsite,ROzLAND ES                     ,ROLAND ES                     
1679.codistcode,27-I009,72-I009
804.schoolsite,LEFORE HS                    ,LEFLORE HS                    
1435.county,WOODWARD    ***,WOODWARD    
1199.gradeslowhigh,06-80,06-08
1827.gradeslowhigh,09-1t2,09-12
828.telephone,(580) 6574-367,(580) 657-4367
1051.district,NORMAN                 v       ,NORMAN                        
1471.telephone,(918) 288-723,(918) 288-7213
584.county,TEXAS      ,TEXAS       
1061.codistcode,14-0I29,14-I029
854.principalemail,mannsvlileschool@yahoo.com,mannsvilleschool@yahoo.com
637.principal,rad Hurley,Brad Hurley
1534.principal,Danny Serling,Danny Sterling
1190.mailingaddress,4712 Soauth Santa Fe,4712 South Santa Fe
1068.telephone,(91)8 273-1346,(918) 273-1346
1527.principal,Lora Bruch,Lora Burch
1640.gradeslowhigh,04-5,04-05
1104.district,OKLAHOMA CITY                 ***,OKLAHOMA CITY                 
1038.statevalue,OcK,OK
581.statevalue,wOK,OK
884.mailingaddress,O Box 240,PO Box 240
1203.city,Nicoma Pakr,Nicoma Park
1330.schoolsite,HILLDALE ES                  ,HILLDALE ES                   
1181.gradeslowhigh,09-2,09-12
1791.district,WOODALL                       ***,WOODALL                       
1535.county,COTTON      ***,COTTON      
842.district,MACOMB                       ,MACOMB                        
237.codistcode,08-I33,08-I033
40.principalemail,amorirson@ampo.k12.ok.us,amorrison@ampo.k12.ok.us
92.schoolsite,BEAVER HS   j                  ,BEAVER HS                     
65.telephone,(405)784-2331,(405) 784-2331
1527.schoolsite,TALOGsA ES                     ,TALOGA ES                     
1530.city,Tceumseh,Tecumseh
1317.schoolsite,PRYgOR HS                      ,PRYOR HS                      
1573.telephone,(918) 746-880,(918) 746-8840
1619.schoolsite,HALE JHS                     ,HALE JHS                      
1410.city,Sapulpaa,Sapulpa
75.city,lE Reno,El Reno
966.codistcode,1w4-I002,14-I002
1651.schoolsite,TURNER HS                    ,TURNER HS                     
394.telephone,(450) 359-3188,(405) 359-3188
986.telephone,(580) 298-5g547,(580) 298-5547
910.schoolsite,RIDGECREST ES              e   ,RIDGECREST ES                 
714.codistcode,2h1-I001,21-I001
848.principal,TravisReese,Travis Reese
961.telephone,(405) 75-4670,(405) 735-4670
364.city,Cescent,Crescent
1455.mailingaddress,355 Soutth Osage St,355 South Osage St
1771.city,Wewkoa,Wewoka
1704.statevalue,KO,OK
