OBJECTID,GlobalID,VRM_ID,LUP_ID,LUP_NM,VRM_CLASS,DSGNTN_SRCE,DSGNTN_RSN,ADMIN_ST,ADM_UNIT_CD,COORD_SRC_TYPE,COORD_SRC2,GIS_ACRES,AZ_DSTRBTE_EXTRNL_CODE,Shape__Area,Shape__Length
463,{3901E63B-E423-4F1D-9FCD-3EDB40915212}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,1520.72687262,,6154163.3111757,18370.4043122057
464,{63B36D6F-8CDE-41B8-A52C-CB2683B4462C}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,18.32990381,,74178.4889359,1158.68688229506
465,{C44A98F6-7FC6-4DD5-9480-D682D361869E}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,396.21999538,,1603445.43297021,5597.62065052048
466,{158DA61F-E14B-4225-A9DD-5F143918905B}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,312.88235365,,1266189.9623259,4791.09247586727
467,{39A46169-AC10-4BED-B1F7-1D4385A3B6B2}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,80.11659056,,324220.339061675,2416.21142621303
468,{2E05A4B2-A9D4-4E77-BEA6-D7F33F792A7D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,316.98419141,,1282789.51081669,4809.83648316318
469,{99F9FBB5-5BF9-41F9-A0D6-A61832C6E5B4}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,474.83534555,,1921590.4677328,6383.13638304555
470,{5AB006BD-27DF-4150-A27D-E738011FEBA2}, , , ,III , , ,AZ,AZP02000,UNK,,49335.9678386,,199655578.302945,111778.388307818
471,{DEC4914B-628D-4990-9637-010206677FE2}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,187.99538655,,760790.33744558,3946.11257803394
472,{7EEB691D-6B47-4A6D-B541-C736C791FF94}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,38.67274843,,156503.06035564,1582.45075096972
473,{65B3E9B0-38A0-43B3-AB66-EF3650154045}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,1211.5190312,,4902843.57227315,11259.1568772161
474,{AD5F5BF4-B75D-4774-B6F6-66900F68664F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.01574466,,63.71636944,3010.1064441882
475,{83F3DC6B-E1A7-4DC6-A1BB-827E5563AD9C}, , , ,III , , ,AZ,AZP02000,UNK,,9622.78507418,,38942029.5788357,52851.302535804
476,{4E293898-5057-4CFC-BE0B-3A974BEAC494}, , , ,III , , ,AZ,AZP02000,UNK,,18362.72048091,,74311293.3109041,81424.5334947648
477,{465BD408-9B96-43B1-8C2E-59A10D7FF696}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,315.24997459,,1275771.38435016,4793.97182097336
478,{404DBA3D-F1B5-49BB-9DD3-66775AB06E92}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,632.1374438,,2558169.47429288,6391.67986309074
479,{D3321CC8-A925-4BDB-93F7-3B903114292F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,261.68017268,,1058982.08741464,5551.91192433388
480,{0EE4737C-4E9E-468F-8591-C9EB8BA29301}, , , ,III , , ,AZ,AZP02000,UNK,,1906.99629826,,7717340.21710694,12384.4971486572
481,{626A5643-FDFA-4695-876E-0A50B94AE624}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,32.49745739,,131512.54414445,1451.46597274049
482,{BB9D2ACF-5C13-4181-893F-34CBA138B938}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,29.25814705,,118403.520308195,1679.18174451131
483,{0E2D58B6-5432-42CA-99AE-297E69B1FE82}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,320.88887201,,1298591.19257691,4873.47537279025
484,{11640193-70E1-4588-93DC-268A7E7F34BC}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,1051.40400759,,4254881.06065392,14194.7580101795
485,{28EE65B1-D05A-405A-925B-18C593CA2D2F}, , , ,III , , ,AZ,AZP02000,UNK,,0.47038282,,1903.57172741,10009.6831532694
486,{47AC7E1B-5DAF-4223-839A-85B2215F1A5B}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,98.68658084,,399370.423485915,2946.13172962654
487,{09A6C9B7-DC09-4A2F-871A-DC4662DE193A}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,1.3865316,,5611.094317075,376.84011535932
488,{EE682D97-95BF-4398-B41B-99A305D07F38}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,37.42475739,,151452.61979764,1556.8096135281
489,{D3923374-0FE6-4D1D-A34F-5B1DD8F6390B}, , , ,III , , ,AZ,AZP02000,UNK,,314.30636469,,1271952.73056389,4795.518926018
490,{4A2D5C16-DDE2-4829-BE8C-69BEBE14B27F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,1946.38789143,,7876752.33892624,24285.9093826717
491,{7F5A5DDC-8278-4A5F-83F8-B3FA737EABBD}, , , ,III , , ,AZ,AZP02000,UNK,,18.4802543,,74786.93579243,3411.31568175529
492,{0A12D95F-9E79-4F5C-952D-EE7A5D934E3F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.15703381,,635.49327004,280.731122292371
493,{2C7D6600-FE90-4FCF-9298-05716D864D5F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,69.2471169,,280233.13975502,2306.96729002427
494,{2E15A86F-65F4-4F0A-B6AC-3F6BA6E57A86}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,6826.80977518,,27627118.9831821,40046.5229972704
495,{635BB8D0-9F43-4BE3-9091-5CB6F9F823AA}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,438.30409547,,1773753.7437062,8566.72533839373
496,{6F901E75-8EB9-453E-8345-03A7CCF8155C}, , , ,III , , ,AZ,AZP02000,UNK,,3568.02968634,,14439303.8514571,62100.0507781754
497,{63D58DD1-1004-4136-A647-0437DFB3CE2B}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,37.38017263,,151272.191664595,1551.59217897603
498,{C1E623B3-99DF-4CBF-B10C-4D4F01A5BF41}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.00545208,,22.063802655,100.370187746284
499,{6517B30E-2513-495D-B66E-D132841E5DE9}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.03364743,,136.166299095,192.22574777034
500,{6A9CD2ED-2972-4DB0-AAA8-613FA0D3FC58}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.04750846,,192.25992233,279.732540979123
501,{7B2C567F-644A-4CAC-8A05-32CA95100DA2}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.01174993,,47.550263855,64.7914928619231
502,{94EC548F-9240-44B8-A934-669D204E9D61}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.0924788,,374.24841213,191.208467328321
503,{CC6F65F9-1E83-4A21-8CE7-603D615AFE5B}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.0537065,,217.342486325,184.415738743167
504,{90DC9911-11A8-478A-87DE-AE167FEDF43A}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.0026189,,10.59832196,57.5967150522151
505,{3D9354E9-CEF0-467C-BE7B-58A60A6D5D52}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.01401505,,56.71690939,74.2393104971734
506,{2A2EE9B4-75A5-40CD-A42B-22BEC22046B2}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.01805934,,73.083553135,159.912072990523
507,{2F66FAF6-2FD8-4863-B616-25787F48B2AE}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.04842219,,195.95765984,200.231401087848
508,{50E58581-6985-496A-B7C9-4EEEFB5808F1}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.00344401,,13.93740182,60.6666044681895
509,{454638CB-3EE4-4634-9F90-DAFA03452761}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.01881433,,76.13890633,185.449589569051
510,{E1B272F5-981F-4F7B-94E2-1243354ECE77}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.10380736,,420.093495205,401.751056160342
511,{FD1E958B-0B39-456A-AF5B-A3A2447602AC}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.00880829,,35.64587839,168.615289489611
512,{51938A83-428E-48B3-A123-A17484055D59}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.01524874,,61.70946831,105.265192149605
513,{ACA2A5B5-2A9E-48B0-BBD4-15341BA289F7}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.03030984,,122.659564085,109.608345583214
514,{801B5EF3-11E0-4920-815D-6727AB860EE9}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.04957377,,200.617934945,356.839435987018
515,{FAC61126-4AF3-4E05-88CE-7ECEF4B11641}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,2632.06268935,,10651579.7985604,15572.8643354438
516,{DF17E46D-43EE-4A0E-B4B7-2BA6CFDC19D9}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.02411967,,97.60884189,283.087094561558
517,{A26B871F-DBE3-4232-9A01-AD31524DA4C9}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,0.00910364,,36.84112202,109.530583205262
518,{DB79845F-2CA6-419B-B984-CE2AFF653089}, , , ,III , , ,AZ,AZP02000,UNK,,50046.67433654,,202531705.458609,122261.391319235
519,{F868C2BE-FA6B-4A4E-B2EE-FD0C785CAF96}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,98.84209482,,399999.76621858,5500.17275442294
520,{0F1D651B-BAAE-48E8-92F7-A61D7C2FE97F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,7.5029186,,30363.234326725,2227.07836371634
521,{879AFABB-E1B9-45D3-A6F7-AAA6DE08A990}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,92.99699413,,376345.4829635,8442.39050521799
522,{C6633C26-B591-42B7-8414-CB3CD2AB38DF}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,427.76327882,,1731096.57216918,7209.69651235955
523,{D668FF2B-CF7B-4494-8A93-25DCB1423224}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,154.49698072,,625227.09867851,3989.08977088232
524,{97965CA3-66D4-43D1-B093-A1C3875F50A1}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,23185.58691122,,93828741.2987984,120362.233222302
525,{7404E227-46A6-4B78-8834-53F6574C58FA}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,519.36368556,,2101790.26648158,8934.44441341319
526,{934848A7-D09D-43E6-8C43-22907923CC3C}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,76.92677539,,311311.615030305,2392.84966548595
527,{E64D160D-7FFF-4970-9B95-3757C4318F2F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,421.78371963,,1706898.15463969,7953.21846000524
528,{B4945B07-6080-4D1F-9432-556715F053C6}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,128.76626543,,521098.58826312,3351.94195465803
529,{07858162-0AFC-49C4-8E37-684B8BE9C70C}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,483.46254155,,1956503.49126194,8266.51100445181
530,{D694D689-F318-4DAD-AD59-3EFE1935B155}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,371.77471093,,1504518.87662439,7380.83219867904
531,{0AD2C73D-6A44-4888-83D0-36C518F073C6}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,82.70846419,,334709.27949781,2452.30128997248
532,{396D88CA-B409-4FA0-8886-D14E6624C89D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,21.88461884,,88563.910296155,1256.59321459688
533,{DD1EDE67-BBD2-41A1-80D1-EAA6F099A26C}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,1599.05116934,,6471130.49437756,31183.0979309466
534,{62B38888-CD3A-4CF8-A067-0A9E674D59E8}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,61.61590702,,249350.7290375,2578.52510304164
535,{D14B47E1-1497-4936-88EF-9535BDBABFA4}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,142.58444375,,577018.771930435,4516.78145810178
536,{1595457A-65EE-4A9A-91E0-FA64FF5E7D8E}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,11173.91965177,,45219248.506124,41003.1362139906
537,{4566A6E4-F439-47AA-9624-D5BDAD93DB45}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,III , , ,AZ,AZP02000,UNK,,7182.37606329,,29066044.6998178,57720.764913305
538,{AA8DBC6B-72CF-4938-9DF4-807A09E3257D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,86.77601644,,351170.07942828,3479.6209389134
539,{8AA7AEF5-8CFD-4513-84C4-FFF9C2D7BC7D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,262.85527986,,1063737.57745172,5151.95021549617
540,{E9772C4B-36B9-4B83-BFEB-657D41BDE0DD}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,8.51024189,,34439.727042205,744.060121539091
541,{3990720B-21EB-4027-AFA7-EEF4AB746AE6}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,17851.41922906,,72242130.5560661,74424.2440513872
542,{BFF98133-0DC9-41C6-B086-F0C3ED3562E4}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,1586.2849474,,6419467.42713192,11200.9077296242
543,{58296D3C-5128-444D-B99F-1EEFC8E55081}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,377.00623286,,1525690.09474612,6322.80245819145
544,{F7647DAA-C40B-4596-A18B-265D12AD7BBF}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,47.62681163,,192738.86852466,1758.52941305086
545,{D2FB78E7-2453-4286-B2BE-687C9CB22BEA}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,258.90716743,,1047760.13332944,4145.6449798671
546,{6C113C4B-F63B-4040-ADFC-5B5EEA752705}, , , ,IV , , ,AZ,AZP02000,UNK,,3909.61737746,,15821660.1930987,42702.7682798412
547,{A21997D9-C108-4E72-A77F-A883E1D83AED}, , , ,IV , , ,AZ,AZP02000,UNK,,563.44925132,,2280198.22141665,9054.45415002999
548,{9605585D-A798-4774-A071-23EEBA05E2A7}, , , ,IV , , ,AZ,AZP02000,UNK,,1773.30164193,,7176297.13849482,23873.9004769716
549,{F3937202-09F9-4361-808A-72DF36A4E181}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,689.84758938,,2791714.14755215,12622.8151486907
550,{90768D65-BE88-4085-9D41-F3382DD0EEA3}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,621.64267055,,2515698.63376408,8796.04405328049
551,{F5C610C7-6074-4422-9A0D-DA82A1B76F2B}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,1540.19903554,,6232964.35875351,13420.3685400941
552,{86CF552D-C6DD-4786-99FE-26B94894F967}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,86.66847367,,350734.869280105,2494.5201504222
553,{FE8D9647-25F3-4566-9D0B-B7778A5C4813}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,6214.78363808,,25150337.0795939,55104.7805428775
554,{985D1FCC-BA8D-467E-920A-97257273906A}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,293.7641654,,1188821.39942986,6286.5690603781
555,{512711A4-76D2-4476-80AA-26560371F018}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,29.7633956,,120448.18864037,1872.52611773531
556,{51B13696-32C4-47D0-A5AF-9B7CB6B02085}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,31.54554324,,127660.28427783,1940.9221337894
557,{4B90A5CC-B5F7-4367-B85B-2ECA4EF3029D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,18.204217,,73669.85246459,1090.27551717549
558,{251C7A0D-2BCE-41FB-884A-B9639E200504}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,63.21150605,,255807.889226275,4043.63641439048
559,{43C91D43-875D-44F7-B6A9-213E1C57397D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,155.38293953,,628812.44678743,3172.00504805866
560,{BB99F616-9F82-4005-A8AB-AB579CE2794A}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,1814.03708784,,7341147.63938055,18102.9554643564
561,{D5361070-AA60-4C8F-AB25-AF4AF513C99A}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,190.57154993,,771215.700768635,3894.99998480446
562,{50F9667C-106D-4184-8EC2-010E2EDE9E74}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,158.99462917,,643428.436177345,3217.14308645762
563,{6B08BA1D-6D3D-42CB-9D66-2753AFFE7E6D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,38.71395246,,156669.80712978,1583.31108900233
564,{04B9BE70-B30A-4A9F-A626-EC95AE60FFF2}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,937.44486509,,3793704.77293241,9481.51194271526
565,{A5519543-4595-4BC5-B57D-FFDB4B1BFAD9}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,274.4310283,,1110582.96937062,4781.22563085471
566,{B14F45EC-D4B7-4A40-97D3-ADCFFB830FED}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,55.86624211,,226082.66069636,2068.30528619884
567,{C88F32EE-8FF1-4823-B4FD-551020CDC4EA}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,0.00546968,,22.134997755,2626.43748454802
568,{6B068B26-2773-426E-9242-47B41C91D75D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,5871.16608258,,23759766.1682475,33902.0312715266
569,{202F7B97-06A2-400B-BFC1-7BD5B3C26DB0}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,300.95746067,,1217931.63258152,7202.47059677114
570,{BEBF8F61-85F8-4D0B-812E-630F400FD76F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,247.79309595,,1002783.08176263,5196.27321685813
571,{FA64C968-21E9-4199-803B-6B98E4E869E7}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,77.50195204,,313639.27236302,2360.37123386541
572,{DD9B95C2-8E34-425B-9970-1924D4EC3B1A}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,2.85487135,,11553.25444821,520.317134854226
573,{AAD7AE18-619A-4C77-9B38-4E9E119FE638}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,981.04909888,,3970164.84649708,9209.30141171229
574,{D5E7DD0E-2800-47F3-985A-4A1C720AA681}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,309.71958691,,1253390.69943944,4809.91409925487
575,{94211271-3F37-419E-B3F5-6EB5506D191B}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,20.38581373,,82498.461212245,1546.96242175753
576,{54FC739E-CCE3-4B6B-818E-39E0890193EE}, , , ,IV , , ,AZ,AZP02000,UNK,,1373.16761073,,5557012.16451558,10368.7409675924
577,{E1AB5B8E-4E3D-4C0D-A486-523E2DD3FC6B}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,320.02777133,,1295106.44176114,4841.7925650748
578,{D7989B81-4429-4F39-AF2E-48EA2B44B55D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,0.00011383,,0.46063735,16.2623203131492
579,{5FBFAC19-F573-4DA5-BA93-5EC0297E498A}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,157.55392701,,637598.12140823,3194.34562795331
580,{25FBC4DD-2C63-4948-B0F0-33DBDE42EF74}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,157.42222191,,637065.129748455,3192.72041635672
581,{64C2435A-86D9-4AEE-87C7-48723A61E392}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,158.95518425,,643268.808270695,3208.19934553159
582,{EFBD5FBC-260B-4BAA-8845-F61B820512A7}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,156.90968304,,634990.958534825,3188.36134110597
583,{BC3F3D6E-7429-44A8-9559-AF9451415140}, , , ,IV , , ,AZ,AZP02000,UNK,,6750.70856698,,27319148.3200204,41356.5722212957
584,{E27CFE82-600A-42A4-9144-44E34E7F2D51}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,9.00948693,,36460.100058765,765.635791320973
585,{249BDB78-774E-41C7-BDDF-ADCB169140B4}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,38.87519095,,157322.316153085,2332.64204766867
586,{3D9647C0-58C7-4DB2-9787-09EC599FAB58}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,15.69808442,,63527.893737555,1245.35123768193
587,{D59C8003-5476-408A-9D50-2337358ED7CD}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,9.42297609,,38133.43131256,782.500730355729
588,{A22E5188-BEF7-41C3-AA3B-7E33CB8C761D}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,2067.17766896,,8365571.22586482,17791.6075020055
589,{4797E3E7-8703-4FD4-8FCF-B1956303F0FC}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,15.91507307,,64406.01565557,1026.2406400002
590,{C8F1470C-AD47-4E1C-B7EA-440BECE3963F}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,13.26787375,,53693.180077865,1145.97072354463
591,{A9A2ED59-5B4E-4AE8-9D54-300D979BC334}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,72.75096867,,294412.724813005,2714.1099213353
592,{89C041DF-F15E-4632-8FFA-D49B0CA49010}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,926.21882005,,3748274.58044586,16270.3338272152
593,{F3329983-734D-415F-8BC0-9B1ED13590A9}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,17.39088627,,70378.41977973,1456.75043749637
594,{FCF18E73-B954-4F85-A01B-D31562CBB495}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,29071.70476271,,117649015.129103,117278.810800375
595,{6D23548E-BCD2-4C71-BB7A-A642A7EA8869}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,476.78384923,,1929475.78234823,6418.20226890315
596,{80CF5AF0-0C82-40FA-8E34-38667FAE379E}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,540.56580547,,2187592.20158894,6685.20363954905
597,{8095184B-B488-408E-90FA-8A953C3F6BA4}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,75.31455969,,304787.20959182,2366.47764877285
598,{C1318A13-659F-45E4-AD12-B66034F91CED}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,326.61967586,,1321782.9329183,7221.14554098305
599,{005621C3-688C-4654-9F90-FDDBD9AD1F7E}, ,LUP-AZ-014,Lower Sonoran Resource Management Plan,IV , , ,AZ,AZP02000,UNK,,160.96904594,,651418.61737,3224.94846860995
