907.operativeprocedure,Hinp prosthesis,Hip prosthesis
457.operativeprocedure,All procdedures,All procedures
277.hospitalcategoryriskadjustment,Acute Care ospital,Acute Care Hospital
27.yearvalue,2002H1,2020H1
831.facilityname,Riverside University Health System - Mdical Center,Riverside University Health System - Medical Center
855.yearvalue,202m0H1,2020H1
280.county,range,Orange
860.operativeprocedure,Appendix surgyery,Appendix surgery
765.statevalue,Calsifornia,California
856.facilitytype,"Communiy, 125-250 Beds","Community, 125-250 Beds"
917.hai,Surgical iSte Infections (SSI),Surgical Site Infections (SSI)
1101.hospitalcategoryriskadjustment,Aucte Care Hospital,Acute Care Hospital
1078.operativeprocedure,Gallbladder surgery***,Gallbladder surgery
194.statevalue,Caifornia,California
93.statevalue,Califcornia,California
450.county,Santa Culara,Santa Clara
503.statevalue,Caliornia,California
1017.hai,SurgicalSite Infections (SSI),Surgical Site Infections (SSI)
754.yearvalue,020H1,2020H1
496.statevalue,Califorgnia,California
1179.yearvalue,2020Hx1,2020H1
269.county,Ornge,Orange
500.facilitytype,Majqor Teaching,Major Teaching
510.facilitytype,"Community, 125 Beds","Community, <125 Beds"
847.facilityname,"Kaiser Foundatioon Hospital, Riverside","Kaiser Foundation Hospital, Riverside"
284.county,LosAngeles,Los Angeles
1141.facilityname,St. Francis Medical Centre,St. Francis Medical Center
241.county,Santa arbara,Santa Barbara
306.county,os Angeles,Los Angeles
894.county,Riversidee,Riverside
1071.yearvalue,200H1,2020H1
72.facilityname,Ecmanuel Medical Center,Emanuel Medical Center
230.statevalue,Caliornia,California
485.statevalue,Californai,California
953.facilitytype,Majjor Teaching,Major Teaching
491.operativeprocedure,Appendix usrgery,Appendix surgery
643.hospitalcategoryriskadjustment,Acute Csare Hospital,Acute Care Hospital
166.facilityname,Mercy Myedical Center,Mercy Medical Center
858.facilitytype,"Commuonity, 125-250 Beds","Community, 125-250 Beds"
942.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
610.county,Alamead,Alameda
1028.facilitytype,"Commuity, >250 Beds","Community, >250 Beds"
581.facilityname,Ken Medical Center,Kern Medical Center
78.yearvalue,2020tH1,2020H1
884.facilitytype,"Comfmunity, >250 Beds","Community, >250 Beds"
816.facilitytype,Mkajor Teaching,Major Teaching
1036.hospitalcategoryriskadjustment,Acute Care Hspital,Acute Care Hospital
928.operativeprocedure,Rectkal surgery,Rectal surgery
781.statevalue,Caliofrnia,California
256.facilityname,Children's Hospital of Orange Cuonty,Children's Hospital of Orange County
42.facilitytype,Maojr Teaching,Major Teaching
377.yearvalue,0220H1,2020H1
441.facilitytype,Major Teachping,Major Teaching
53.operativeprocedure,Open reduction of fwracture,Open reduction of fracture
1147.hospitalcategoryriskadjustment,Aicute Care Hospital,Acute Care Hospital
666.statevalue,Cyalifornia,California
806.facilityname,Defsert Valley Hospital,Desert Valley Hospital
785.facilitytype,"Community, 250 Beds","Community, >250 Beds"
834.operativeprocedure,Exploratory abodminal surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
1060.statevalue,Califonria,California
566.yearvalue,020H1,2020H1
382.hai,Surgical Site Infections SSI),Surgical Site Infections (SSI)
306.operativeprocedure,Laminectmoy,Laminectomy
945.hai,Surgical Siite Infections (SSI),Surgical Site Infections (SSI)
227.hai,Surgical Site Infections (SqSI),Surgical Site Infections (SSI)
281.facilitytype,Major Teachign,Major Teaching
260.county,Oarnge,Orange
178.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
1039.operativeprocedure,Exploratory abdominal sugery (laparotomy),Exploratory abdominal surgery (laparotomy)
1189.facilitytype,nPediatric,Pediatric
84.hai,Surgical Site Infections (SSwI),Surgical Site Infections (SSI)
998.hospitalcategoryriskadjustment,Acute Care Hosjpital,Acute Care Hospital
159.facilitytype,Majo rTeaching,Major Teaching
837.operativeprocedure,Allp rocedures,All procedures
88.yearvalue,20w20H1,2020H1
424.county,Santa Clra,Santa Clara
634.county,dContra Costa,Contra Costa
781.hai,Surgical Site Infeections (SSI),Surgical Site Infections (SSI)
204.facilitytype,"Communit, >250 Beds","Community, >250 Beds"
728.hai,Surgical Site Infections SSI),Surgical Site Infections (SSI)
914.statevalue,alifornia,California
936.yearvalue,2020rH1,2020H1
235.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
806.statevalue,alifornia,California
876.facilityname,"Kaiser Fcoundation Hospital, Ontario","Kaiser Foundation Hospital, Ontario"
796.operativeprocedure,allbladder surgery,Gallbladder surgery
394.facilityname,Santa Clara Valley eMdical Center,Santa Clara Valley Medical Center
551.yearvalue,202H01,2020H1
704.operativeprocedure,Appendrix surgery,Appendix surgery
799.county,San Bernardinoo,San Bernardino
138.hospitalcategoryriskadjustment,Acute Carev Hospital,Acute Care Hospital
881.facilityname,hPalomar Medical Center,Palomar Medical Center
750.hospitalcategoryriskadjustment,Critical Access Hoskpital,Critical Access Hospital
261.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
287.hai,Surgical Site Infctions (SSI),Surgical Site Infections (SSI)
33.statevalue,Calfornia,California
971.hai,Surgical Site Inections (SSI),Surgical Site Infections (SSI)
327.statevalue,alifornia,California
316.statevalue,Caifornia,California
749.yearvalue,0220H1,2020H1
820.county,Riverseide,Riverside
593.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
928.hai,Surgical Site Infectioncs (SSI),Surgical Site Infections (SSI)
1168.operativeprocedure,Thoracic suprgery,Thoracic surgery
784.yearvalue,20201H,2020H1
173.facilitytype,Pedciatric,Pediatric
740.yearvalue,220H1,2020H1
927.county,San Fracisco,San Francisco
580.operativeprocedure,All procedres,All procedures
893.county,Ornage,Orange
875.hai,Surgical Sit eInfections (SSI),Surgical Site Infections (SSI)
335.hai,Surgcial Site Infections (SSI),Surgical Site Infections (SSI)
623.operativeprocedure,Cesarea nsection,Cesarean section
552.yearvalue,020H1,2020H1
174.facilitytype,Pedyiatric,Pediatric
736.hospitalcategoryriskadjustment,Crzitical Access Hospital,Critical Access Hospital
324.hospitalcategoryriskadjustment,Acute Care Hosdpital,Acute Care Hospital
187.hai,Surgical Site nIfections (SSI),Surgical Site Infections (SSI)
564.county,Solawno,Solano
700.hospitalcategoryriskadjustment,rAcute Care Hospital,Acute Care Hospital
983.yearvalue,2a020H1,2020H1
1037.statevalue,Calfiornia,California
1115.facilitytype,Major Teavching,Major Teaching
134.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
346.operativeprocedure,ll procedures,All procedures
1059.yearvalue,20201H,2020H1
783.operativeprocedure,Appendix surgermy,Appendix surgery
426.hospitalcategoryriskadjustment,Acue Care Hospital,Acute Care Hospital
505.hospitalcategoryriskadjustment,Actue Care Hospital,Acute Care Hospital
972.county,Los Ahngeles,Los Angeles
1116.operativeprocedure,Exploratory abdomnial surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
821.facilityname,John F. Kennedy eMmorial Hospital,John F. Kennedy Memorial Hospital
917.facilitytype,Major Teachoing,Major Teaching
64.facilityname,eMmorial Medical Center,Memorial Medical Center
650.facilitytype,"Community, 125-p250 Beds","Community, 125-250 Beds"
518.statevalue,Califorinia,California
1118.facilityname,Northridge Hospial Medical Center,Northridge Hospital Medical Center
771.hospitalcategoryriskadjustment,Acute Care Hspital,Acute Care Hospital
812.hai,Surgical Site Infections S(SI),Surgical Site Infections (SSI)
207.statevalue,Califrnia,California
591.facilitytype,Critical Acccess,Critical Access
571.hospitalcategoryriskadjustment,Acute Cazre Hospital,Acute Care Hospital
913.statevalue,Califrnia,California
1093.hospitalcategoryriskadjustment,Acute Cae Hospital,Acute Care Hospital
58.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
1080.hai,Surgcal Site Infections (SSI),Surgical Site Infections (SSI)
1018.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
522.facilityname,Sutter Santa Rosa Regional Hnospital,Sutter Santa Rosa Regional Hospital
35.yearvalue,20201,2020H1
1061.hospitalcategoryriskadjustment,Acute Carse Hospital,Acute Care Hospital
724.facilitytype,"Community, 125-2x50 Beds","Community, 125-250 Beds"
827.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
481.facilitytype,Major Teafching,Major Teaching
513.yearvalue,2002H1,2020H1
405.facilityname,"Good Samaritan Hoospital, San Jose","Good Samaritan Hospital, San Jose"
74.operativeprocedure,Exploartory abdominal surgery (laparotomy),Exploratory abdominal surgery (laparotomy)
567.operativeprocedure,Appendix sugery,Appendix surgery
839.hospitalcategoryriskadjustment,Actue Care Hospital,Acute Care Hospital
181.yearvalue,20201H,2020H1
1128.hospitalcategoryriskadjustment,Acute Care Hospittal,Acute Care Hospital
685.operativeprocedure,Appndix surgery,Appendix surgery
1167.hospitalcategoryriskadjustment,Acte Care Hospital,Acute Care Hospital
852.county,eVntura,Ventura
725.county,utte,Butte
122.hai,Surgical Site Inqfections (SSI),Surgical Site Infections (SSI)
453.hai,Srugical Site Infections (SSI),Surgical Site Infections (SSI)
871.hospitalcategoryriskadjustment,Acue Care Hospital,Acute Care Hospital
1012.hai,Surgical Site Infections S(SI),Surgical Site Infections (SSI)
250.facilityname,HMC Anaheim Regional Medical Center,AHMC Anaheim Regional Medical Center
790.hai,Surgical Site Infections SSI),Surgical Site Infections (SSI)
55.operativeprocedure,Apendix surgery,Appendix surgery
252.hai,Surgical Site Infections (SSIq),Surgical Site Infections (SSI)
742.statevalue,Califorina,California
696.hospitalcategoryriskadjustment,Acute Care Hosiptal,Acute Care Hospital
954.operativeprocedure,Open reduction f fracture,Open reduction of fracture
611.yearvalue,020H1,2020H1
337.hai,Surigcal Site Infections (SSI),Surgical Site Infections (SSI)
635.statevalue,Californiia,California
607.statevalue,aClifornia,California
958.statevalue,Californai,California
632.facilityname,"John Muir Medical Center, Walut Creek Campus","John Muir Medical Center, Walnut Creek Campus"
305.yearvalue,202H1,2020H1
909.statevalue,Clifornia,California
718.operativeprocedure,Colon sugrery,Colon surgery
680.operativeprocedure,Small bowel surgtery,Small bowel surgery
679.facilitytype,Major Teachign,Major Teaching
198.statevalue,Califorqnia,California
1172.statevalue,Calyifornia,California
845.statevalue,Califoqrnia,California
984.county,os Angeles,Los Angeles
267.facilitytype,"Community, >250 Bedws","Community, >250 Beds"
552.hai,Surgnical Site Infections (SSI),Surgical Site Infections (SSI)
1157.statevalue,Caliofrnia,California
28.yearvalue,2020Hn1,2020H1
373.facilitytype,Major Teacbhing,Major Teaching
121.operativeprocedure,All procdures,All procedures
110.yearvalue,20201,2020H1
810.facilitytype,MajorTeaching,Major Teaching
76.hospitalcategoryriskadjustment,Acuet Care Hospital,Acute Care Hospital
192.statevalue,Californai,California
29.statevalue,iCalifornia,California
211.statevalue,Caifornia,California
656.facilityname,Contra CostaR egional Medical Center,Contra Costa Regional Medical Center
389.facilitytype,Majjor Teaching,Major Teaching
342.facilityname,Children's Hospitanl at Mission,Children's Hospital at Mission
780.operativeprocedure,Alyl procedures,All procedures
629.facilitytype,Major Teachizng,Major Teaching
701.facilitytype,Major Teachinig,Major Teaching
814.facilitytype,Major Teachign,Major Teaching
848.yearvalue,20201H,2020H1
663.county,Conbtra Costa,Contra Costa
1077.yearvalue,2020Hn1,2020H1
482.hai,Surgical Site Isnfections (SSI),Surgical Site Infections (SSI)
767.operativeprocedure,"Bile duct, liver or pancratic surgery","Bile duct, liver or pancreatic surgery"
598.county,Tulaer,Tulare
905.county,San Bernardinco,San Bernardino
308.facilityname,LAC+USC Medical Cetner,LAC+USC Medical Center
271.operativeprocedure,Spinal fusoin,Spinal fusion
1060.facilitytype,Majkor Teaching,Major Teaching
532.facilityname,"Kaiser Foundation Hospital and Rhehab Center, Vallejo","Kaiser Foundation Hospital and Rehab Center, Vallejo"
243.facilitytype,Major Teavching,Major Teaching
637.facilityname,"Kaiserm Foundation Hospital, Oakland/Richmond","Kaiser Foundation Hospital, Oakland/Richmond"
1006.operativeprocedure,Colon surgeary,Colon surgery
694.statevalue,alifornia,California
885.hai,Surgical Stie Infections (SSI),Surgical Site Infections (SSI)
350.yearvalue,0220H1,2020H1
1055.county,Loas Angeles,Los Angeles
11.yearvalue,20o20H1,2020H1
979.hospitalcategoryriskadjustment,Acute Carre Hospital,Acute Care Hospital
750.facilitytype,Crtiical Access,Critical Access
24.facilitytype,"Copmmunity, <125 Beds","Community, <125 Beds"
255.hospitalcategoryriskadjustment,Acute Care uHospital,Acute Care Hospital
1172.yearvalue,0220H1,2020H1
1130.county,Los nAngeles,Los Angeles
1129.facilitytype,"Communtiy, <125 Beds","Community, <125 Beds"
492.facilitytype,"Community, 125-25 Beds","Community, 125-250 Beds"
169.facilitytype,Pediatrpic,Pediatric
511.yearvalue,20201H,2020H1
591.facilityname,Ridgecret Regional Hospital,Ridgecrest Regional Hospital
858.statevalue,Californkia,California
969.facilitytype,"Community, >25 0Beds","Community, >250 Beds"
499.hai,Surgical Site Infectiions (SSI),Surgical Site Infections (SSI)
442.hospitalcategoryriskadjustment,Acujte Care Hospital,Acute Care Hospital
286.operativeprocedure,Gallbladder surgry,Gallbladder surgery
811.statevalue,Califorina,California
111.statevalue,Califoria,California
682.operativeprocedure,Appednix surgery,Appendix surgery
887.statevalue,Claifornia,California
182.hospitalcategoryriskadjustment,Acuter Care Hospital,Acute Care Hospital
777.yearvalue,200H1,2020H1
845.hospitalcategoryriskadjustment,Acute Care Hospitayl,Acute Care Hospital
441.hospitalcategoryriskadjustment,aAcute Care Hospital,Acute Care Hospital
684.hospitalcategoryriskadjustment,Acute Carue Hospital,Acute Care Hospital
1051.operativeprocedure,Open reduction of ufracture,Open reduction of fracture
224.facilitytype,"Community, <125 Bds","Community, <125 Beds"
269.statevalue,Californpia,California
482.facilityname,"Kaiser Foundation Hospital, Ziown","Kaiser Foundation Hospital, Zion"
1133.hai,Sukrgical Site Infections (SSI),Surgical Site Infections (SSI)
580.facilityname,Kren Medical Center,Kern Medical Center
613.statevalue,Calfornia,California
532.hospitalcategoryriskadjustment,Acuet Care Hospital,Acute Care Hospital
624.county,Alaemda,Alameda
393.facilitytype,aMjor Teaching,Major Teaching
622.statevalue,Califoria,California
678.hai,Surgical Site Infaections (SSI),Surgical Site Infections (SSI)
834.county,Riversied,Riverside
130.facilitytype,Majr Teaching,Major Teaching
108.facilityname,San Joaquin Genneral Hospital,San Joaquin General Hospital
38.hai,Surgicaly Site Infections (SSI),Surgical Site Infections (SSI)
502.operativeprocedure,Coylon surgery,Colon surgery
592.statevalue,Calfornia,California
689.statevalue,Cailfornia,California
12.yearvalue,2020Hl1,2020H1
133.statevalue,Calimfornia,California
214.statevalue,Calixfornia,California
1054.hospitalcategoryriskadjustment,Acute Care Hspital,Acute Care Hospital
443.hai,Sugical Site Infections (SSI),Surgical Site Infections (SSI)
659.hospitalcategoryriskadjustment,Acute CareH ospital,Acute Care Hospital
368.hai,Surgical Site Infections k(SSI),Surgical Site Infections (SSI)
110.statevalue,Calbifornia,California
824.facilityname,Palo Verde Hospiktal,Palo Verde Hospital
405.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
95.hai,Surgical Site Infectionws (SSI),Surgical Site Infections (SSI)
889.facilitytype,Major Taching,Major Teaching
980.operativeprocedure,Coon surgery,Colon surgery
1086.yearvalue,2020bH1,2020H1
540.facilityname,dventist Health Mendocino Coast,Adventist Health Mendocino Coast
1090.operativeprocedure,Cesaean section,Cesarean section
615.hospitalcategoryriskadjustment,Acte Care Hospital,Acute Care Hospital
849.yearvalue,202H1,2020H1
137.yearvalue,z2020H1,2020H1
356.operativeprocedure,Galblladder surgery,Gallbladder surgery
1180.hai,Surgical Site Infectinos (SSI),Surgical Site Infections (SSI)
916.statevalue,Califorina,California
332.statevalue,Californai,California
900.operativeprocedure,Aplpendix surgery,Appendix surgery
1043.yearvalue,20a20H1,2020H1
185.county,Sa nLuis Obispo,San Luis Obispo
871.operativeprocedure,Al lprocedures,All procedures
233.operativeprocedure,Smallk bowel surgery,Small bowel surgery
1119.operativeprocedure,Spianl fusion,Spinal fusion
1120.facilityname,Pomona Vlaley Hospital Medical Center,Pomona Valley Hospital Medical Center
1048.yearvalue,20201H,2020H1
155.yearvalue,2002H1,2020H1
472.operativeprocedure,Small bowel sugrery,Small bowel surgery
461.facilityname,"Rady Childpren's Hospital, San Diego","Rady Children's Hospital, San Diego"
964.yearvalue,q2020H1,2020H1
789.statevalue,Caifornia,California
270.operativeprocedure,Open reduction of frcture,Open reduction of fracture
614.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
907.hospitalcategoryriskadjustment,Acute Care xHospital,Acute Care Hospital
98.facilityname,Stuter Roseville Medical Center,Sutter Roseville Medical Center
773.facilitytype,Mjaor Teaching,Major Teaching
622.county,Alamead,Alameda
1040.yearvalue,20201H,2020H1
4.facilityname,Lucile Packard Children'sHospital Stanford,Lucile Packard Children's Hospital Stanford
370.yearvalue,2002H1,2020H1
1152.facilityname,Emanate Healtbh Queen of the Valley Hospital,Emanate Health Queen of the Valley Hospital
916.facilityname,UCSF Medical Centre at Mission Bay,UCSF Medical Center at Mission Bay
204.statevalue,Caliornia,California
1138.operativeprocedure,Cardiac surery,Cardiac surgery
670.statevalue,Californhia,California
402.yearvalue,020H1,2020H1
438.yearvalue,2200H1,2020H1
453.facilityname,Stanford Heatlh Care,Stanford Health Care
1023.facilitytype,"Community, 1252-50 Beds","Community, 125-250 Beds"
90.hospitalcategoryriskadjustment,Acute Crae Hospital,Acute Care Hospital
244.hai,hSurgical Site Infections (SSI),Surgical Site Infections (SSI)
21.facilityname,Methodist Hospital of Sacramenot,Methodist Hospital of Sacramento
545.county,mNapa,Napa
621.yearvalue,0220H1,2020H1
1096.yearvalue,20201,2020H1
346.facilityname,Regional Medical Cetner of San Jose,Regional Medical Center of San Jose
251.hai,uSrgical Site Infections (SSI),Surgical Site Infections (SSI)
245.county,Santa Barbaar,Santa Barbara
560.facilitytype,Majo Teaching,Major Teaching
1067.facilityname,"Kaiser Foundation Hospiqtal, West LA","Kaiser Foundation Hospital, West LA"
115.facilitytype,"Community, >250Beds","Community, >250 Beds"
607.facilitytype,Pedikatric,Pediatric
847.hai,Surgical iSite Infections (SSI),Surgical Site Infections (SSI)
554.facilitytype,"Community, <125Beds","Community, <125 Beds"
368.facilitytype,"Communtiy, <125 Beds","Community, <125 Beds"
1041.county,Los Angelse,Los Angeles
424.facilityname,Lucile Packard Children's Hospital Stanfrod,Lucile Packard Children's Hospital Stanford
638.statevalue,Caleifornia,California
658.hospitalcategoryriskadjustment,Acut eCare Hospital,Acute Care Hospital
728.hospitalcategoryriskadjustment,Acute Care Hosopital,Acute Care Hospital
1140.hai,Surgical Sit Infections (SSI),Surgical Site Infections (SSI)
577.yearvalue,2002H1,2020H1
874.statevalue,Caliofrnia,California
658.yearvalue,220H1,2020H1
1061.hai,Surgical Site Infewctions (SSI),Surgical Site Infections (SSI)
32.hai,Surgical Site Infectionsm (SSI),Surgical Site Infections (SSI)
288.facilityname,LAC/Harbor UCLA Meddical Center,LAC/Harbor UCLA Medical Center
412.operativeprocedure,Appendix swurgery,Appendix surgery
317.county,Ortange,Orange
83.county,aScramento,Sacramento
82.yearvalue,220H1,2020H1
300.hai,Surgical Site Infections (SS),Surgical Site Infections (SSI)
689.hospitalcategoryriskadjustment,Acurte Care Hospital,Acute Care Hospital
40.facilityname,Univerity of California Davis Medical Center,University of California Davis Medical Center
322.operativeprocedure,Cesareman section,Cesarean section
397.hai,Surgical Site Infecitons (SSI),Surgical Site Infections (SSI)
366.county,Moterey,Monterey
709.yearvalue,20201H,2020H1
620.operativeprocedure,Open reduction fo fracture,Open reduction of fracture
497.county,Sna Diego,San Diego
651.statevalue,Caifornia,California
869.yearvalue,20201H,2020H1
398.facilityname,"Kaiser FoundationH ospital, San Jose","Kaiser Foundation Hospital, San Jose"
726.county,uBtte,Butte
842.operativeprocedure,Appendpix surgery,Appendix surgery
233.hai,Surgical Site Infecvtions (SSI),Surgical Site Infections (SSI)
365.yearvalue,20201H,2020H1
860.facilityname,"Kaiser Foundation Hospital, Oranyge County, Irvine","Kaiser Foundation Hospital, Orange County, Irvine"
1128.facilityname,San Dmias Community Hospital,San Dimas Community Hospital
415.operativeprocedure,Open reduction of fractrue,Open reduction of fracture
441.operativeprocedure,Appendix surgey,Appendix surgery
502.facilitytype,Major Teachiing,Major Teaching
766.hai,Surgicabl Site Infections (SSI),Surgical Site Infections (SSI)
211.county,Venutra,Ventura
987.operativeprocedure,iLver transplant,Liver transplant
333.statevalue,Califonria,California
217.hai,Surical Site Infections (SSI),Surgical Site Infections (SSI)
26.statevalue,Califronia,California
587.hai,uSurgical Site Infections (SSI),Surgical Site Infections (SSI)
432.county,aSnta Clara,Santa Clara
239.facilityname,Santa BarbaraCottage Hospital,Santa Barbara Cottage Hospital
182.county,Fresnzo,Fresno
495.statevalue,Califcornia,California
559.facilityname,"Providence St. Josehp Hospital, Eureka","Providence St. Joseph Hospital, Eureka"
875.operativeprocedure,Allv procedures,All procedures
606.yearvalue,2020Hy1,2020H1
239.facilitytype,Major mTeaching,Major Teaching
931.facilitytype,Major Teachiyng,Major Teaching
510.statevalue,Californiia,California
214.county,San Luis Obiuspo,San Luis Obispo
185.statevalue,Coalifornia,California
939.hospitalcategoryriskadjustment,Actue Care Hospital,Acute Care Hospital
603.county,Alamea,Alameda
1143.county,Los Angelse,Los Angeles
556.statevalue,Californria,California
1052.county,Los Agneles,Los Angeles
443.facilitytype,Majo Teaching,Major Teaching
766.county,Syan Bernardino,San Bernardino
1010.statevalue,Calcifornia,California
156.hai,Surical Site Infections (SSI),Surgical Site Infections (SSI)
1144.hai,Surgical Site Infections SSI),Surgical Site Infections (SSI)
901.yearvalue,2002H1,2020H1
957.facilityname,Bevuerly Hospital,Beverly Hospital
644.county,lameda,Alameda
1038.yearvalue,220H1,2020H1
295.hai,Surgical Site Infectons (SSI),Surgical Site Infections (SSI)
388.yearvalue,2a020H1,2020H1
274.hai,SurgicalSite Infections (SSI),Surgical Site Infections (SSI)
335.statevalue,Caliofrnia,California
800.hai,Surgical Site Infectionms (SSI),Surgical Site Infections (SSI)
1060.operativeprocedure,Exploratory abdominal surgeery (laparotomy),Exploratory abdominal surgery (laparotomy)
637.facilitytype,Major Tweaching,Major Teaching
1040.county,Lso Angeles,Los Angeles
413.operativeprocedure,Ceasrean section,Cesarean section
98.hai,Surgical ite Infections (SSI),Surgical Site Infections (SSI)
83.hospitalcategoryriskadjustment,Acute Caret Hospital,Acute Care Hospital
1181.facilityname,MemorialCare Miller Children's  &Women's Hospital Long Beach,MemorialCare Miller Children's & Women's Hospital Long Beach
535.statevalue,Califronia,California
455.hai,Surgical Site Infectionns (SSI),Surgical Site Infections (SSI)
463.statevalue,alifornia,California
1030.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
128.facilityname,"Sutter Medical Center,Sacramento","Sutter Medical Center, Sacramento"
153.county,Sacrameto,Sacramento
168.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
978.statevalue,alifornia,California
126.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
981.hai,SurgicalSite Infections (SSI),Surgical Site Infections (SSI)
43.facilitytype,"Commuqnity, <125 Beds","Community, <125 Beds"
702.yearvalue,2200H1,2020H1
1071.facilityname,"Kaiser Foundatio nHospital, West LA","Kaiser Foundation Hospital, West LA"
800.hospitalcategoryriskadjustment,Acute Care ospital,Acute Care Hospital
92.facilitytype,Majo Teaching,Major Teaching
219.yearvalue,0220H1,2020H1
861.county,Oange,Orange
963.statevalue,Califronia,California
867.county,olano,Solano
880.statevalue,Caliofrnia,California
481.statevalue,Califronia,California
47.facilityname,Bartn Memorial Hospital,Barton Memorial Hospital
1063.statevalue,Calisfornia,California
1101.statevalue,Californa,California
329.hai,Surgical Ste Infections (SSI),Surgical Site Infections (SSI)
112.facilityname,St. Joseph's Medical Center Of Stockotn,St. Joseph's Medical Center Of Stockton
421.yearvalue,2r020H1,2020H1
828.statevalue,alifornia,California
986.county,Ls Angeles,Los Angeles
867.yearvalue,2020oH1,2020H1
762.facilityname,Hi-Desert Meidcal Center,Hi-Desert Medical Center
88.hai,Surgical Site Infection (SSI),Surgical Site Infections (SSI)
1093.county,Los nAgeles,Los Angeles
477.facilitytype,Major Taching,Major Teaching
761.operativeprocedure,Gallbladder suregry,Gallbladder surgery
286.yearvalue,20201,2020H1
937.operativeprocedure,Rectal srugery,Rectal surgery
1081.yearvalue,220H1,2020H1
1058.county,Los Angerles,Los Angeles
696.operativeprocedure,Appendix sufrgery,Appendix surgery
1078.facilityname,Provdence Little Company of Mary Medical Center Torrance,Providence Little Company of Mary Medical Center Torrance
987.county,LosA ngeles,Los Angeles
953.hai,Surgical Site Infnections (SSI),Surgical Site Infections (SSI)
952.statevalue,Califronia,California
827.facilitytype,Major Tecahing,Major Teaching
494.facilityname,Sharp Mary Birch Hosiptal For Women And Newborns,Sharp Mary Birch Hospital For Women And Newborns
1102.facilitytype,"Communitky, >250 Beds","Community, >250 Beds"
520.county,San Diegjo,San Diego
1148.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
546.facilityname,Providence Queen o the Valley Medical Center,Providence Queen of the Valley Medical Center
7.yearvalue,020H1,2020H1
309.hai,Surgical Site Infections (SI),Surgical Site Infections (SSI)
813.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
762.hospitalcategoryriskadjustment,Acute Care Hsopital,Acute Care Hospital
31.facilitytype,Major Teachking,Major Teaching
683.hai,Surigcal Site Infections (SSI),Surgical Site Infections (SSI)
609.yearvalue,0220H1,2020H1
392.hai,Surgical Site Infectiobns (SSI),Surgical Site Infections (SSI)
903.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
918.yearvalue,202r0H1,2020H1
312.hai,Surgical Site nfections (SSI),Surgical Site Infections (SSI)
1061.facilityname,"Kaiser Foundation Hsopital, Downey","Kaiser Foundation Hospital, Downey"
1007.facilityname,Santa Monica - UCLA Medical Centekr and Orthopaedic Hospital,Santa Monica - UCLA Medical Center and Orthopaedic Hospital
22.county,Scramento,Sacramento
519.hai,Surgical Site nIfections (SSI),Surgical Site Infections (SSI)
1100.facilitytype,"Cmmunity, >250 Beds","Community, >250 Beds"
925.hospitalcategoryriskadjustment,Acuote Care Hospital,Acute Care Hospital
124.facilityname,"Sutter Medical Cenetr, Sacramento","Sutter Medical Center, Sacramento"
332.county,Oraneg,Orange
278.facilityname,Sotuth Coast Global Medical Center,South Coast Global Medical Center
430.yearvalue,220H1,2020H1
1054.hai,Surgical iSte Infections (SSI),Surgical Site Infections (SSI)
528.yearvalue,202u0H1,2020H1
1070.county,Los nAgeles,Los Angeles
1173.facilityname,Keck Hospiatl of USC,Keck Hospital of USC
911.facilitytype,Major kTeaching,Major Teaching
861.operativeprocedure,allbladder surgery,Gallbladder surgery
1071.county,Los Atngeles,Los Angeles
926.county,Sqan Francisco,San Francisco
518.hospitalcategoryriskadjustment,Acute Caer Hospital,Acute Care Hospital
352.hai,Surgical Site Infecitons (SSI),Surgical Site Infections (SSI)
778.operativeprocedure,ll procedures,All procedures
1184.facilityname,MemoiralCare Miller Children's & Women's Hospital Long Beach,MemorialCare Miller Children's & Women's Hospital Long Beach
838.hospitalcategoryriskadjustment,Acute Car eHospital,Acute Care Hospital
798.facilitytype,"Community, >25 0Beds","Community, >250 Beds"
552.hospitalcategoryriskadjustment,Acuet Care Hospital,Acute Care Hospital
307.facilitytype,Major Teachng,Major Teaching
171.yearvalue,20r20H1,2020H1
265.facilityname,Fountain Valley Regional Hospital and Mxedical Center,Fountain Valley Regional Hospital and Medical Center
71.county,Stanislasu,Stanislaus
