objectid(long),unitid,unitname,polygon_id,polygon_id_alt_c,mtrx_conservation_score(double precision),mtrx_consump_use_score(double precision),mtrx_signal,rac_hydro_final_rating,rac_veg_category,rac_calc_adjac,rac_model_recommend,rac_edge_desig,no_action_recommend(long),gis_acres_wiu(double precision),alternative_b_recommend,mtrx_recommnd,poly_desg,polygon_id_alt_a,polygon_id_alt_b,polygon_id_alt_d,contig_wsa,polygon_idmce,mce_proposed,paltlwcfeis,contig_wsa_alt_a,shape_length(double precision),shape_area(double precision)
86,OR-036-091,Owhee River Cont G,Owyhee River Cont G,Owyhee River Cont G,10.0,16.4,Strong,NR,III,,l1,1,1,42.0221691856667,1,1,WIU,Owyhee River Cont G,Owyhee Rziver Cont G,Owyhee River Cont G,Yes,Owyhee River Cont G,1,1,Yes,1650.12373710868,170057.685252195
87,OR-036-091,Owyhee River Cont H,Owyhee River Cont H,Owyhee River Cont H,10.0,16.4,Strogn,ND,II,mI,1,,1,126.920317727771,1,1,WIU,Owyhee River Cont H,Owyhee River Cont H,Owyhee River Cont H,Yes,Owyhee River Cont H,1,1,Yes,3311.77736651527,513628.302929679
88,OR-034-075,Granite Creek,Granit eCreek,Grlanite Creek,16.299999,23.6,Weak,ND,I,II,2,Not Consiered,1,13650.6713661124,1,2,WUI,Granrite Creek,Granite Creek,Granite Creek,No,Garnite Creek,2,2,No,54450.4082439388,-55242316.9780522
89,OR-034-113,Blue Canyon Cohnt E,Blue Canyon Cont E,Blue Canyon Cont E,17.5,22.4,Divergent,1,II,I,,Not Considered,1,1784.84870995407,1,u1,WUI,Blue Canyon Cont E,Blue Canyon Cont E,Blue Canyon Cont E,Yes,Blue Canyon Cont E,d1,1,Yes,32885.7636801405,7223026.46488998
90,OR-036-069,Big Grassey,Big Grassey,Big Grassey,17.0,23.799999,Divergent,NR,II,aI,2,Not Considered,1,44299.189901136,1,2,WIU,Big Grassey,Big Grassey,Big Grassey,No,Big Grassey,1,2,No,75913.0060134935,-179272515.65466
91,OR-034-051,Quartz Mountain,Quartz Mountain,Quartz oMuntain,18.6,24.6,Moderate,1,II***,I,,Not Considered,1,32039.5548042493,1,***,WIU,Quartz Mountain,Quartz Mountain,Quartz Mountain,No,Quartz Mountain,1,1,No,68846.6302915527,-129659599.701794
92,OR-034-p056,Three Fingers Rock North,Three Fingers Rock North,Three Fingers Rock North,18.299999,25.9,Strong,NR,II,I,,Not Considered,1,12452.0226613612,1,2,WIU,Three Fingers Rock North,Three Fingers Roc North,Three Fingers Rock North,No,Three Fingers Rock North,2,d2,No,38479.3525029305,-50391705.9859559
93,OR-034-069,Monments,Monuments,Monuments,11.4,18.299999,Strong,hND,I,III,2,Not Considered,1,19044.4572117762,1,2,pWIU,Monuemnts,Monuments,Monuments,No,Monuments,a2,2,No,64841.0999925291,-77070274.3166823
94,OR-034-047,Juniper Creek,Juniper Creek,Juniper Creek,16.799999,24.700001,Divergent,1,II,II,2,Not Considered,1,36678.2333608984,1,2,IU,Juniper Creek,Juniper Creek,Juniper Creek,No,Juniper Creek,2,c2,No,116763.193134823,-148431712.489244
95,OR-034-035,Keeneyg Creek,eeney Creek,Keeney Creek,15.6,23.799999,Moderate,1,II***,***,1,Not Considered,1,23431.4297398531,1,g2,WIcU,Keeney Creek,Kdeeney Creek,Keeney Creek,o,Keeney Creek,2,1,No,57926.3454257748,-94823859.5753918
96,OR-034-052,Wall mRock Ridge,Wall Rock Ridge,Wall Rock Ridge,18.0,20.5,Divergent,l2,II***,I,1,1,1,9458.05436892553,1,2,WIU,Wall Rock Ridge,Wall Rock Ridge,Wall Rock Ridge,Yes,WallRock Ridge,1,***,Yes,37499.7518490408,-38275412.9961276
97,OR-034-015,Board Corral Spring,Board Corral Spring,Board Corral Spring,19.5,28.1,Strong,2,II,I,,Not Considerde,1,5125.74125013536,***,1,WIU,Board Corral Spring,Board Corralv Spring,BoardCorral Spring,Yes,Board Corral Spring,n1,,Yes,25070.220015281,-20743231.7162521
98,OR-034-061,Board Corral Mounatin,Board Corral Mountain,Board Corral Mountain,12.5,17.200001,Stsrong,2,III,,2,2,1,14705.9653606949,1,2,WIU,Board Corral Mountain,Board Corral Mountain,Board Corral Mountbain,No,Board Corral Mountain,2,2,No,50473.2338984685,-59513068.3088767
99,OR-034-018,Antelope Creek,Antelope Creek,Antelope Crek,17.0,24.4,Weak,2,III,II,2,Not Considered,1,10278.2200161916,1,2,WIU,Antlope Creek,Antelope Creek,Antelope Creek,No,Antelope Creek,2,2,No,42372.5177432641,-41594544.0870741
100,OR-034-027,Broken Rim,Borken Rim,Broken Rim,18.9,22.200001,Divergent,2,II,II,2,Not Considered,1,24918.7451538867,1,***,WIU,Broken Rim,rBoken Rim,Broken Rim,No,Broken Rim,2,2,No,88995.7624848825,-100842722.765326
101,OR-034-039,Hunter Spring,Hunter Spriing,Hunter Spring,17.0,23.6,Divergent,2,II,III,2,Not Consideed,1,36638.6907818844,1,2,WIU,Huntcer Spring,Hunter Spring,unter Spring,No,Hunter Spring,2,2,No,106371.511637251,-148271557.095121
102,OR-034-042,Prava Peak,Prava Peak,Prava Peak,15.3,24.799999,Divergent,1,***,I,1,Not Considered,1,20315.3720685801,1,2,WIU,Prava Peak,Prava Peak,Prava Peak,Yes,Prava Peak,2,1,Yes,93994.9111199019,-82213429.9434161
103,OR-304-061,Cold Spring,Cold Spring,Cold Spring,11.0,19.1,Strong,ND,II,III,2,Not Cosidered,1,30954.3100253082,1,s2,WIU,Cold Spring,Cold Spring,Cold Spring,No,Cold Spring,2,2,No,76240.1766061402,-125267662.600611
104,OR-034-034,Squaw Creek,Squaw Creek,Squaw Creek,17.299999,23.5,Divergent,1,II,***,1,Not Considered,1,12319.2533170626,1,2,WIU,Squaw Creek,Squaw Creke,Squaw Creek,Yes,Squaw Creek***,,1,Yes,52241.2195940092,-49854258.0024969
105,OR-034-014,McIntyrse Ridge,McIntyre Ridge,McIntyre Ridge,18.5,23.299999,Divergent,ND,II,I,2,Not Considered,1,11359.1207617652,1,2,WUI,McIntyre Ridge,McIntyre Ridge,McIntyre Ridge,No,McIntyre Ridge,2,2,No,51458.5914079704,-45968817.6589126
106,OR-034-096,Spring Muntain,Spring Mountain,Spring Mountain,11.5,17.1,Strong,,II,III,i2,Not Considered,1,17663.5435556939,1,***,tWIU,Spring Mountain,Spring Mountain,Spring Mountain,o,Spring Mountain,2,,Nko,95472.829825782,-71481911.9993003
107,OR-034-107,Sehlle Gap,Selle Gap,Selle Gap,18.4,24.0,Divergent,ND,II,II,t2,Not Considered,1,8917.75379150971,,2,WIU,Selle Gap,Slele Gap,Selle Gap,No,Selle Gap,2,2,No,30532.2983090792,-36088889.4574254
108,aOR-036-014,Sacramento Hill,Sacramentov Hill,Sacramento Hill,18.0,23.799999,Moderaet,1,II,I,z1,Not Considered,1,8983.16199172292,,1,gWIU,Sacramento Hill,Sacramento Hill,Sagcramento Hill,No,Sacramento Hill,1,1,No,33685.1608722101,-36353625.3260185
109,OR-034-036,Indian Creek,Indian Creek,Indian Creek,15.0,18.0,Strong,,II,III,2,Not Consideored,1,17841.9398624639,1,2,WIU,Indian Creek,Indian Creke,Indian Creek,No,Indian Creek,2,2,No,68955.8167758611,-72203791.5689272
110,OR-034-044,Hunter Creek,Hunter Creek,Hunter Creek,10.9,18.5,Strong,1,II,II,,Not Convsidered,1,27706.3776662705,1,2,WIU,Hnter Creek,Hunter Creek,Hunuter Creek,oN,HunterCreek,,v2,Nso,75271.6903330838,-112123839.031322
111,OR-034-092,Spanish Charlie Basin,Spanish Charlie Basin,Spanish Charlie Basin,18.0,23.200001,Divergent,NR,III,I,2,Not Considered,1,19977.1780222752,y1,2,WIU,Spanish Charlie Basin,Spanish Charlie Basin,Spanish Charlie Basin,o,Spanish Charlie Basin,2,b2,oN,63012.2841352197,-80844917.4367162
112,OR-036-029,Deadhorse,Deadhorsme,Deadhorse,16.299999,21.799999,Moderate,,II,vI,2,Not Considered,1,62414.1981848084,1,2,IU,Deadhore,Deadhorse,Deadhorse,No,Deadhorse,***,2,o,119660.754560145,-252581375.416474
113,OR-034-073,Slaughter Gulch,Slaughter Gulch,Slaughter Gulch,10.8,17.6,Strong,1,II,III***,,Not Considered,1,29052.1989016761,1,2,IU,Sldaughter Gulch,Slaughter Gulch,Slaughter Gulch,Nlo,Saughter Gulch,2,2,No,109291.311651478,-117570081.864753
114,OR-036-057,Clarks Butte Cont A,Clarks Butte Cont A,Clarks Butte Coent A,18.4,25.1,Moderate,RN,III,I,2,2,1,4905.1219321867,1,1,WU,Clarks Butte Cont A,Clarks Butte Cont A,Clarks Butte Cont A,Yes,Clarks Butte Cont A,2,***,Yges,18224.5144355398,-19850349.8186862
115,OR-036-057,Clarks Butte Cont B,Clarkks Butte Cont B,Clarks Butte Cont B,18.4,25.1,Moderate,NR,II,I,1,1,1,3649.24361790541,1,1,WIU,Clarks Butte Cont B,Calrks Butte Cont B,Clarks Butte Cont B,Yes,Clarks Butte Cont B,2,1,Yes,24732.0908407374,14767964.9720227
116,OR-02-17,Rocky Basin,RockyB asin,Rocky Basin,18.6,30.5,Strong,NR,,III,2,Not Considered,1,727.64594957213,1,1,WIU,Rocky Basin,Rocky Basin,Rocky Basin,o,Rocky Basin,Not Considered,2,No,8837.41432809309,2944678.68425932
117,OR-034-106,River A,Rivr A,River A,18.4,26.0,Strong,NR,I,III,2,Not Considered,1,423.089903785843,1,2,WIU,Rivper A,River A,River A,oN,River A,Not Considered,y2,No,7214.03534590241,-1712200.72908924
118,OR-034-106,Riverv B,River B,River B,18.4,26.0,Strong,NR,II,II,2,Not Considered,1,8590.52094247707,1,2,WIU,River B,River B,River B,No,Rvier B,Not Considered,2,No,31494.594080036,-34764696.1018542
119,OR-036-087,Willowm Creek Cont (Border) E,Willow Creek Cont (Border) E,Willow Creek Cont (Border) E,9.8999996,20.9,Strong,vND,I,I,1,Not Considered,1,5.47023319887426,1,1,WIU,Willow Creek Cont (Border) E,Willow Creek Cont (Border) E,Willow Creek Cont (Border) E,Yes,Willow Creek Cont (Border) E,Not Cgonsidered,1,Yes,816.685399411828,22137.24835289
120,OR-036-045,Whitehorse Butte A,Whitehorse Butte A,Whitehorse Butte A1,15.1,25.700001,Divegent,***,IhI,I,1,Not Considered,1,6261.17347401183,1,***,WIU,Whitehorse Butte A,Whitehorse Butte A,Whitehcorse Butte A,Ys,Whitehors eButte A1,Not Considered,,oYes,28973.3527988631,-25338099.5917696
121,OR-036-052,Lower Cow Lake G,Lower Cow Lake G,Lower Cow Lake G1,16.5,24.6,Divergent,NR,II,I,2,,1,829.298710061824,1,,WIU,Lower Cow Lake G,Loewr Cow Lake G,Lower Cow Lake G,Yes,Lower Cow Lake G,1,g2,Yes,14742.02141887,-3356072.02483084
122,OR-036-052,Loewr Cow Lake G,Lower Cow Lake G,Lower Cow Lake G2,16.5,24.6,Divergent,RN,II,,2,2,1,75.8705112166027,1,1,WIU,Lower Cow Lake G,Lower Cow Lake G,ower Cow Lake G,Yse,Lower Cow Lake G,1,2,eYs,7192.05636625223,307037.06558768
123,OR-036-045,Whitehorse Butte A,Whitehorse Butte A,Whitehorse Butte A2,15.1,25.700001,Divergehnt,1,II,I,,Not Consoidered,1,2909.18811964543,1,m1,WUI,Whitehorse Butte A,Whitehorse Butte A,Whitehorse Butte A,Yes,Whitehorse Butte A2,1,1,Yes,16739.7248768504,-11773068.9311983
124,OR-034-007,West Fork Bendire Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,kI,Not Applicable,Not Consdered,1,159.734187167091,Not Applicable,Not Applicable,Road Boundary Setback,West Fork Bendier,Not Applicable,Not Applicable,Nko,West Fork Bendrie,1,Not Applicable,No,17196.9413459952,-646409.516694222
125,OR-034-007,West Fork Bendire Setback,Not Applicable,Not Applicable,0.0,0.0,Divergnet,NR,II,I,No tApplicable,Not Considered,1,104.477594183951,Not Applicable,Not Applicable,Road Boundary Setback,West Fork Bendire,Not Appicable,Not Applicable,No,West Fork Bendire,1,Not Applicable,oN,11242.8983552625,-422791.548183093
126,OR-034-007,West Fork Bendire Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,xI,Not Applicable,Not Considered,1,10.4220704757703,Not Applicable,Not Applicable,Road Boundary Sjetback,West Fork Bendire,Not Applicable,Not Applicable,No,West Fork Bendire,1,NotA pplicable,No,1294.04412037209,42176.6228395764
127,OR-034-007,West Fork Bendire Setback,Not Appliable,Not Applicable,0.0,0.0,Divergpent,NR,II,I,NotA pplicable,Not Consideerd,1,153.26576694517,NotA pplicable,Not Applicable,Road Boundary Setback,West Fork Bendire,Not Applicabloe,Not Appliacble,No,West Fork Bendire,1,Not Applicable,o,16402.7800860288,-620173.294632658
128,OR-034-007,West Fork Bendire Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,R,I,,Not Applicable,Not Considered,1,12.5598341098152,Niot Applicable,Not Applicable,Road Boundary Setback,West Fork Bendire,Not Applicable,Not Applicable,No,West Fork Benidre,1,Not Applicable,oN,2286.97657759211,50827.8453315844
129,OR-034-007,West Fork Bendire Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,wII,I,Not Applicable,Not Considered,1,53.3164892630558,Not Applicable,Not Aplicable,Road Boundary Setback,West Fork Bndire,Not Applicable,Not Applicable,No,Wets Fork Bendire,1,Not Applicable,oN,5837.06832156535,-215747.958236751
130,OR-034-007,West Fork Bendire Setback,Not Applicablde,Not Applicable,0.0,0.0,Divergeqnt,NR,II,I,Not Applicable,Not Considered,1,5.11247714838221,Not Applicable,Not Applicable,Road Boundary Setback,West Fork Bendire,Not Applicable,Not Applicable,No,West Fork Bendire,1,Not Applicable,jNo,718.570844782715,-20685.8844626424
131,OR-034-014,McIntyre Ridge Setback,Nojt Applicable,Not Applicable,0.0,0.0,iDvergent,NR,II,I,Not Applicable,Not Considered,1,475.34396464901,Not Applivcable,Not Applicable,Road Boundary Setback,McIntyre Ridge,Not Applicabel,Not Aplpicable,No,McIntyre Ridge,2,Not Applicable,No,51238.7969231107,-1923565.50760128
132,OR-034-014,McIntyre Ridge Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,,Not Applicable,Not Considered,1,55.1894409103058,Not Applicable,Not Applicable,Road Boundary Setback,McIntyr Ridge,Not Applicable,Not Applicale,No,McIntyre Ridge,2,Notk Applicable,No,6023.20609575215,223343.743396536
133,OR-034-014,McIntyre Ridge Setback,Not Applicable,Not Aplpicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,24.3234594818192,Not Applicable,Not Applicable,Road Boundary Setback,McIntyre Ridge,Not Applicable,Not Applicable,No,McIntyre Ridge,2,Not Applicabel,oN,2934.76631265032,-98429.9654608756
134,OR-034-014,McIntyre Ridge Setback,Not Applicagble,oNt Applicable,0.0,0.0,Divegent,NR,II,I,Not Applicazble,Not Considered,1,6.99600255399194,Not Applicable,Not Applicable,Road Boundary Setback,McIntyre Ridge,Not Applicable,ot Applicable,No,McIntyre Ridge,2,Not Applicable,No,905.816565454858,28311.8178667491
135,OR-034-0e14,McIntyre Ridge Setback,Not Applicable,Not Applicable,0.0,0.0,iDvergent,NR,II,I,Not Applicable,Not Considered,1,10.7219582139177,Not Applicable,Not Applicable,Road Boundary Setback,McIntyre Ridge,Not Applicable,Not Applicable,No,McIntyre Ridge,2,Not Applicable,oN,1311.6270871939,43390.2254586975
136,OR-034-015,Board Corral Spring Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,128.407051446542,Not Applicable,Not Applicable,Road Boundary Setback,Board Corral Spring,Not Applicable,Not Applicable,No,Board Corral Spring,1,Not Applicalbe,Yse,13780.9488047412,-519587.093053795
137,OR-034-016,Board Corral Mountain Setback,Not Applicable,Not Appliscable,0.0,0.0,Diverent,NR,II,I,Not Applicable,Not Considered,1,577.424017445242,Not Applicable,Not Applicable,Road Boundary Setback,Board eCorral Mountain,Not Applicable,Not Applicable,No,BoardCorral Mountain,2,Not Applicable,No,61814.5522929503,-2336632.56164151
138,OR-034-016,Board Corral Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,RN,II,,Not Applicable,Nt Considered,1,175.734277304283,Not Applicbale,Not Applicable,Road Boundary Setback,Board Corral Mountain,Not Applicable,Not Applicable,o,Board Corral Mrountain,2,ot Applicable,Nco,18791.1103194526,-711152.979192781
139,OR-034-018,Antelope Creek Setback,Not Appicable,Not Applicable,0.0,0.0,Dvivergent,R,II,I,Not Applicable,Not Considered,1,161.973561647835,Not Applicable,gNot Applicable,Road Boundary Setbak,Antelope Creek,Not Applicable,Not Applicable,No,Antelope Creek,2,Not Applicable,o,17400.7506173749,-655476.580313205
140,OR-034-018,Antelope Creek Setback,Not Applicable,NotApplicable,0.0,0.0,Divergent,NR,I,I,Not Applicable,Not Considered,1,298.6934333057,Not Applicable,Not Applicable,Road Boundary Setback,Antelope Creek,oNt Applicable,Not Applicable,o,Antelope Creek,2,Not Applicable,Nto,32041.5517166079,-1208713.2030935
141,O-034-019,Rookie Creek Setback,Not Applicbale,oNt Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,98.1933728498929,Not Applicable,Not Appflicable,Road Boundary Setback,Rookie Creek,Not Applicable,Not Applicable,No,Rookie Creek,1,Not Applicable,Yes,10674.3576150411,-397333.160678471
142,OR-034-019,Rookie Creek etback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,8.73941700053012,Not Applicable,Not Applicable,Road Boundayr Setback,Rookie Creek,Not Applicable,Not Applicable,No,Rooklie Creek,1,Not Applicable,Yes,1064.58807229379,35367.1658166271
143,OR-03-4023,Sand Hollow Setback,Not Applciable,ot Applicable,0.0,0.0,Divergent,NR,II,***,Not Applicable,Not Considered,1,14.7048532178426,Not Applicanble,Not Applicable,Road Boundary Setback,Sand Hoallow,Not Applicable,Not Apiplicable,oN,Sand Hollow,2,Not Applicable,o,1824.78836580961,59508.4296850756
144,OR-034m-023,Sand Hollow Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,I,I,Not Applicable,Not Considered,1,357.876905126193,Not Appliacble,Not Applicable,Roa dBoundary Setback,Sand Hollow,Not Applicavble,Not Applicable,No,Sand Hollow,2,Not Applicale,No,38159.7267522187,-1448240.26673655
145,OR-034-023,Sand Hollow Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II***,I,Not Applicable,Not Considered,1,35.485552393627,Nt Applicable,Nto Applicable,Road Boundary Setback,Sand Hollow,Not Applicable,Not Applicable,No,Sand Hollow,2,Not Applicable,No,3938.14675853208,-143601.755387602
146,OR-034-c027,Broken Rim Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,1260.36675122624,Not Applicable,Not Applicable,Road Boundary Setback,Broken Rim,Not Applicable,Not Applnicable,No,Broken Rim,2,Not Applicable,No,133782.227020618,-5100384.38060828
147,OR-034-030,Sourdough Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,345.526772490179,Not Applicable,Not Applicable,Road Boundary Setback,Sourdoughh Mountain,Not Applicable,Not Applicable,No,Sourdought Mountain,2,Not Applicable,No,36840.5145828986,-1398249.79992941
148,OR-034-030,Sourdough Mountain Setzback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II***,I,Not Applicable,Not Considered,1,111.651293525112,No tApplicable,Not Applicable,Road Boundary Setback,Sourdough Mountain,Not Applicable,No tApplicable,No,Sourdough Mountain,2,Not Applicable,oN,12068.2769393702,-451833.914821534
149,OR-034-030,Sourdough Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,R,II,***,Not Applicable,Not Considered,1,15.2205249603845,Not Applicable,Not Applicable,Road Boundary Setback,Sourdough Mountain,Not Applicable,Nt Applicable,No,Sourdough Mountain,2,ot Applicable,No,1788.63520772451,61595.2791882316
150,OR-034-030,Sourdough Mountain Setback,Noft Applicable,Noct Applicable,0.0,0.0,Divbergent,NR,II,I,Not Applicable,Not Considered,1,8.02812137340864,Not Applicable,Not Applicbale,Road Boundary Setback,Sourdough Mountain,Not Applicable,Not Applicable,No,Sourdough Mountain,2,Not Applicable,oN,1036.48315706084,-32476.6997618393
151,OR-034-031,Trail Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,,Not Applicable,Not Considered,1,207.563571791062,Not Applicable,Not Applicbale,Road Boundary Setback,Trail Creek,Not Applicable,Not Applicable,No,Trail Creek,2,Not Applicable,No,22187.3463369761,-839965.856697864
152,OR-034-031,Trail Creek Setback,Not Applicable,Not Applicable,0.0,0.0,ivergent,NR,II,I,Not Appliceable,Not Considered,1,404.555560469181,Not Applicable,Not Applicable,Road Boundary Setbcak,Trail Creek,Not Applicable,Not Applicable,No,Trail Creek,2,Not Applicable,No,43203.2927824028,-1637136.5911167
153,OR-304-034,Squaw Creek Setback,Nt Applicable,Not Applicable,0.0,0.0,Divergent,NR,II***,I,Not Applicable,Not Considered,1,4.90465282815811,Not Applicable,Not Applicable,Road Bonudary Setback,Squaw Creek,Not Applicable,Not Aplicable,No,Squaww Creek,1,Not Applicable,Yes,676.930468594176,19848.425797274
154,OR-304-034,Squaw Creek Setbck,Not Applicable,Not Aplicable,0.0,0.0,Divergent,mNR,II,lI,Not Applicable,Not Considered,1,170.356304305196,Not Applicable,Not Applicable,Road Boundary Setback,Squaw Creek,Not Applicable,Not Applicabqle,No,Squaw Creek,1,Not Applicable,Yes,18323.0427184262,689407.50417381
155,OR-034-034,Squaw Creek Setback,Not Aplicable,Not Anpplicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,104.092838715966,Not Applicable,Not Aplicable,Road Boundary Setback,Squaw Creek,Not Applicable,Not Applicable,No,Sqauw Creek,1,Not kApplicable,Yes,11214.0975953118,-421240.175714083
156,OR-034-035,Keeney Creek Setbacik,Not Applicable,Not Appicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,124.059630950845,Not Applicable,Not Applicable,Road Boundary Setback,Keeney Creek,Not Applicabzle,Not Applicable,No,Keeney Creek,2,Not Applicable,o,13310.2162989666,-502020.582361365
157,OR-034-035,Keeney Creek Seback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,209.343618411217,Not Applicable,Not Applicablae,Road Boundary Setback,Keeney Creek,Not rApplicable,Not Applicable,No,Keeney Creek,2,Notr Applicable,oN,22354.4797957361,-847085.697717266
158,OR-034-035,Keeney Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,uNR,II,***,Not Applicable,Not Considered,1,225.758078932158,Not Applicable,Not Applicable,Road Boundary Setback,Keeney Creek,Not Applicable,Not Applicable,No,Keeney Creek,,Not Applicgable,nNo,24127.1938379538,-913538.627942635
159,OR-034-035,Keeney Creek Setback,Not Applicable,Not Applicuable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,31.0259124687115,Not Appliable,Not Applicable,Road Boundary Setback,Keeney Creek,Not Applicable,Not Applicable,No,Keeney Creek,2,Not Applicable,No,3513.40382386549,125557.413134825
160,OR-03g4-035,Keeney Creek Setback,ot Applicable,Not sApplicable,0.0,0.0,Divergent,NR,II,I,Not Aplicable,Not Considered,1,123.169849244205,NotApplicable,Not Applicable,Road Boundary Setback,Keeney Creek,Not Applicabrle,Not oApplicable,oN,Keeney Creek,p2,Not Applicable,No,13236.2637248498,-498423.753351014
161,OR-034-036,Indian Creek Setback,Not Applicable,Not Applicale,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,146.940046097979,Not Applicable,Not Applicable,Road Boundary Setback,Indian Creek,Not Applicable,Not Applicable,No,Indian Creek,b2,Not Appilcable,No,16342.2940021455,-594638.070494948
162,OR-034-036,Indian Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergnt,NR,II,bI,Not Applicable,Not Considered,1,7.42079589892792,Not Applicable,Not Applicable,Road Bohundary Setback,Indian Creek,Not Applicable,Not Applicable,o,Indian Creek,2,Not Applicable,No,1045.83435947659,30030.895542896
163,RO-034-036,Indian Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NfR,II,I,Not Applicabmle,Not Considered,1,60.9697328910512,Not Applbicable,Not Applicable,Road Boundary Setback,Indian Creek,Not Aplpicable,Not Applicable,No,Indian Creek,2,Not Applicable,No,6935.77534854623,-246735.744739563
164,OR-034-036,Indian Creek Setback,Not pplicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,6.74430704127893,Not Applicable,Not Applicable,Road Boundary Setback,Indian Creke,Not Applicable,Not Applicable,No,Indian Creek,2,Not Applicable,No,978.521614923385,-27291.2638442371
165,OR-034-036,Indian Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divegrent,NR,II,I,Not Applicable,Not Considered,1,52.8504890018428,Not Applicable,Nlot Applicable,Road Boundary Setback,Indian Creek,Not Applicable***,Not Appilcable,No,Indian Creek,2,Not Applicable,No,5797.11116009135,213878.340844088
166,OR-034-036,Indian Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,hI,Not Aplpicable,Not Considered,1,299.391467887359,Not Applicble,Not Applicable,Road Boundary Setback,Indian Creek,Not Appliable,Not Applicable,o,Indian Creek,2,Not Applicable,No,31663.2059670726,-1211580.8237585
167,OR-034-039,Hunter Spring Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considred,1,263.11683384314,Nt Applicable,Noqt Applicable,Road Boundary Setback,Hunter Spring,Not Applicablce,Not Applicable,No,Hunter Spring,2,Not Applicable,oN,28146.5627665124,-1064789.59377613
168,OR-034-039,Hunter Spring Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,3.5495301891831,Not Applicable,Not Applicable,Road Boundaryc Setback,Hunter Spring,NotA pplicable,NotApplicable,No,Huntr Spring,2,Not Aplpicable,mNo,529.511029730151,14364.4390425983
169,OR-034-039,Hunter Spring Setback,Not Applicable,Not Applicable,0.0,0.0,Divergeynt,RN,II***,I,Not Applicable,Not Considered,1,278.256638789889,Not Applicale,Not Applicable,Road Boundary Setback,Hunter Spring,Not Applicable,Not Applicable,No,Hunter Spring,2,Not Applicable,iNo,29738.4251360927,-1126035.12474156
170,OR-034-040,Dourble Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,RN,II,I,Not Applicable,Not Considered,1,372.545257602876,Not Applicable,Not Applicable,Road Boundary Setback,Doublhe Mountain,Not Applicable,Not Applicable,No,Double Mountai n,2,Not Applicable,No,39748.9940106697,-1507596.71070293
171,OR-034-040,Double Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II***,***,Not Applicable,Not Considered,1,443.684840472801,Not Applicabe,Not Applicable,Rogad Boundary Setback,Double Mountain,Not Applicable,Not Applicable,No,Double Mountain,2,Not Applicable,No,47320.606672998,-1795465.91140343
172,OR-034-042,Prava Peak Setback,Not Applicable,Not Applicable,0.0,0.0,Diversgent,NgR,II,I,Not Applicable,Not Considered,1,3.58659469089966,Not Applicable,Not Applicable,Road Boundary Setback,Prava Peak,Nokt Applicable,Not Applicable,oN,Prava Peak,2,Not qApplicable,Yes,534.679252565473,14514.433759413
173,OR-034-042,Prava Peak Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,269.787875598322,Not Applicable,Not Applicable,Road Boundary Setback,Prdava Peak,Not uApplicable,Not Applicable,No,Prava Peak,2,Not Applicable,Yes,28769.8503946128,-1091756.7828134
