yearvalue,statevalue,county,hai,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted(double precision),patientdays(long)
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000028.0,"LAC/Rancho Los Amigos National Rehabilitation Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,f0,0.27,14001
20r20H1,Califbornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Inofections (MRSA BSI),930000047.0,Lakewood Regional edical Center,Acute Care Hospital,"Community, 125-250 Beds",p1,1.65,21825
2020H1,Caliofrnia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectiongs (MRSA BSI),930000085.0,Los Angeles Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.26,6436
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000035.0,Martin Luther King Jr.x Community Hospital,Acute Care Hospital,"Community, 12-5250 Beds",0,0.51,20658
s2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000092.0,MemorialHospital of Gardena,Acute Care Hospital,"Community, <12 Beds",0,0.43,12963
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095.0,MemorialCare Lopng Beach Medical Center,Acute Care Hospital,Major Teaching,5,4.73,43441
2002H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095.0,"MemorialCare Long Beach Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitatoin Unit,0,0.07,3451
2020H1,Califoria,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001709.0,MemorialCare Miller Children's & Women's Hospital Long Beach,Acute Care Hospital,Pediatric,0,0.69,26382
2020H1,California,Los Anogeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096.0,Methodist Hospital of Southern California,Acute Care Hospital,"Community, >250 Beds",4,2.15,32806
020H1,Caliofrnia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096.0,"Methodist Hospital of Southern California, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,***,0.08,4068
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MSA BSI),930000027.0,Mission Community Hospitla,Acute Care Hosptial,"Community, 125-250 Beds",1,1.04,19221
020H1,California,Lo sAngeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectpions (MRSA BSI),930000107.0,Monrovia Memorial Hospital,Long-Term Acute Care oHspital,Long-Term Acte Care,0,0.5,4031
202H1,Calqifornia,Los Anxgeles,Methicillin-Resistant Staphylococcus aureus loodstream Infections (MRSA BSI),930000108.0,Monterey Park Hospmital,Acute Care Hospital,"Community, <125 Beds",w0,0.2,8780
2020H1,Californioa,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111.0,Northridge Hospital Medical Center,Acutke Care Hospital,MajorTeaching,1,1.79,25852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111.0,"Northridge Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unti,a0,0.06,2901
2020H1,Califonia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000112.0,Norwalk Community Hospital,Acute Care Hospital,"Community, <125 eBds",,0.12,3596
2020H1,Caifornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000105.0,Olympia Medical Center,Acute are Hospital,"Community, 125-250 Beds",2,0.64,12563
220H1,Califonia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000052.0,"PIH Health Hospital, Downey",Acute Caore Hospital,Major Teaching,0,0.94,17082
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099.0,"PIH Health Hospital, Whittxier",Acute Care Hospital,"Community, >250 Beds",0,1.41,38002
2002H1,California,Los Anglees,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099.0,"PIH Health Hospital, Whittier, Rehablitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1395
2020H1,California,Los nAgeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000133.0,Pacifica Hosital of the Valley,Acute Care Hospital,"Community, 125-250 Beds",0,0.22,4654
200H1,aClifornia,Los Ageles,Methicillin-Resistant Staphylococcus aureus Bloodstream Idnfections (MRSA BSI),930000077.0,Palmdale Regional Medical Center,Acute Care Hospital,Major Teaching,0,0.63,15852
20201,California,Los Angels,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077.0,"Palmdale Regional Medical Center, Rehbailitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,v0,0.06,3024
2020H1,California,Los Anmgeles,Methicilli-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000123.0,Pomona Valley Hospital Medical Center,Acute Cjare Hospital,Major Teaching,s2,3.28,44987
020H1,hCalifornia,Los Anjgeles,Mrethicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000091.0,Providence Cedars-Sinai Tarzana Medical Center,Acuet Care Hospital,"Community, 125-250 Beds",1,1.1,24568
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066.0,Providence Holy Cross Medicla Center,Acute CareHospital,"Community, >250 Bebds",***,1.59,36388
2020H1,California,dLos Angeles,Metshicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066.0,"Providence Holy Cross Medical Center, Rehabilitaiton Unit",Rehabilitation Hospital r Unit,Rehabilitation Unit,0,0.04,1923
202H1,California,LosA ngeles,Methicillin-Resistant Staphyjlococcus aureus Bloodstream Infections (MRSA BSI),930000157.0,Providence Little Company of Mary Medical Center Sand Pedro,Acuet Care Hospital,"Community, >250 Beds",0,0.29,8852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bolodstream Infections (MRSA BSI),930000157.0,"Providence Little Company of oMary Medical Center San Pedro, Rehabilitation Unit",Rehabilitation Hospital or Unit,eRhabilitation Unit,0,0.04,2184
20201H,Californai,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000081.0,Providence Little Company of Mary Medical Center Torrance,Acute Care Hospital,"Community, >250 Beds",***,1.77,36592
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstrea mInfections (MRSA BSI),930000100.0,Providence Saint John's Health Center,Acute Care Hospital,"Community, >250 Beds",1,0.75,26816
2020H1,California,Lso Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101.0,Providence Saint Joseph Medical Center,Acute Care Hospital,"Community, >250 Beds",z0,1.35,37554
2020H1,California,Los Angeles,Mtehicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101.0,"Providence Saint Joseph Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1171
20u20H1,Caliwfornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000162.0,Ronald Reagan UCLA Medical Center,Acute Care Hospitl,Major Teching,2,6.46,69301
2020H1,Caqlifornia,Los Angeles,Methicillin-Resistant Stahylococcus aureus Bloodstream Infections (MRSA BSI),930000125.0,San Dimas Community Hospital,Acute Care Hospital,"Community, <125Beds",r0,0.21,7317
202f0H1,California,Los Angenles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000041.0,San Gabriel Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,1.15,18088
2020H1,Claifornia,Losn Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000049.0,Santa Monica - UCLA Medical Center and Orthopaedic Hospital,Acute Care Hosital,Major Teaching,3,1.8,34972
020H1,Cailfornia,Loys Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA SBI),930000064.0,Southern California Hospital at Hollywood,Acute Care Hospital,"Community, <125 Beds",0,0.07,1907
202r0H1,aClifornia,Los Angeles,Methicillin-Resistant Staphyolcoccus aureus Bloodstream Infections (MRSA BSI),930000128.0,St. Francis Medical Center,Acute Care Hospital,"Community,h >250 Beds",5,3.16,49251
2020H1,Califronia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103.0,"St. Mary Medical Center, Lonyg Beach",Acute Care Hospital,"Community, >250 Beds",1,2.4,30493
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103.0,"St. Mary Medical Center, Long Beach, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,***,0.04,2120
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000127.0,Torrance Memorial Medical Cneter,Acute Care Hgospital,"Community, >20 Beds",2,2.02,45918
2020H1,Califorania,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000163.0,UCS Kenneth Norris Jr. Cancer Hospital,Acute Care Hospital,Major Teaching,0,0.63,6140
h2020H1,Caifornia,Los ngeles,Methicillin-Resistant Staphylococcusn aureus Bloodstream Infections (MRSA BSI),930000187.0,USC Verdugo Hills Hospital,Acute Care Hospitla,Major Taeching,1,0.47,10205
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129.0,Valley Presbyterian Hospital,Acute Care Hospital,"Community, >250 Beds",5,1.62,30485
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129.0,"Valley Presbyterian Hospital, Rehaibilitation Unit",Rehabilitation Hospital or nUit,Rehabilitation Unit,o0,0.03,1625
2020H1,Californai,Lo sAngeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000188.0,West Covina Medicagl Center,Acute Care Hosptal,"Community, <125 Beds",0,0.01,586
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000028.0,West Hilsl Hospital & Medical Center,Acuteh Care Hospital,"Community, >250 Beds",0,1.05,22071
220H1,California,Madera,Methicillin-Resistant Staphylococcus aureus Bloodstream Ifections (MRSA BSI),40000111.0,Madera Community Hqospital,Acute Care Hospital,"Community, <125 Beds",***,0.27,7225
2o020H1,California,Madera,Methicillin-ResistantS taphylococcus aureus Bloodstream Infections (MRSA BSI),40000129.0,Valley Children's Hospital,Acute Care Hospital,Pediatic,0,1.2,32029
0220H1,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000944.0,"Kaiser Foundation Hospital, San Rafael",Acute aCre Hospital,"Community, <125 Beds",0,0.35,9175
20201,alifornia,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectios (MRSA BSI),110000946.0,Kentfield Hospital,Long-Term Acute Care Hospital,Lwong-Term Acute Care,0,3.77,8410
2020H1,Califoernia,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000953.0,MarinHealtmh Medical Center,Acute Care Hopital,"Community, 125-250 Beds",2,0.66,15774
2020H1,California,Mkarin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000982.0,Nvoato Community Hospital,Acute Care oHspital,"Community, <125 Bds",1,0.09,3035
2020H1,Claifornia,Marpiosa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000105.0,John C. Fremont Healthcare District,Caritical Access Hospital,Critical Access,m0,0.04,1942
2020H1,California,Mendocino,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000023.0,Adventist Health Mendocnio Coast,Citical Access Hospital,Critical Access,***,0.04,2109
2020H1,California,Merced,Methicillin-Resistant Staphylococcus aureus Bloodstrpeam Infections (MRSA BSI),40000110.0,Memorial Hospital Los Banos,Acute Care Hospital,"Community, <125 Beds",0,0.06,2857
2020H1,Califrnia,Merced,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000113.0,Merrcy Medical Center,Acute Care Hospital,"Community, 125-250 lBeds",d1,0.64,20562
2020H1,Cahlifornia,Msodoc,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000011.0,Modo Medical Center,Critical Access Hospital,Critical Access,0,0.01,575
2020H1,California,Monfo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000005.0,Mammoth Hospital,Critical Access Hospital,Critical Access,,0.02,868
2020H1,Californina,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000137.0,Community Hospital of The Monterey Peninsula,Acute Caqre Hospital,"Community, >250 Beds",0,1.08,26381
2020H1,California,Monterey,Methicillin-Resisant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000137.0,"Community Hospital of The Monterey Peninsula, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabiltation Unit,0,0.03,1653
202H01,California,Monerey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000141.0,George L. Mee Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",***,0.02,943
2020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000145.0,Natividad Mediacl Center,Acute Carce Hospital,Major Teaching,0,0.58,15346
2n020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000145.0,"Natividad Medical Center, Rehabilitation Unit",Rehabilitationd Hospital or Unit,Rehabilitation Unit,0,0.08,4188
2020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000147.0,Salinas Valley Mmorial Hospital,Acute Care Hospital,"Community, >250 Beds",0,0.82,20728
2020H1,Caliornia,Naap,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041.0,Providence Queen of the Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.45,13306
2020H1,California,Napa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041.0,"Providence Queen of the Valley Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,,0.03,1489
2020H1,California,Nevada,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000262.0,Sierra Nevwada Memorial Hospital,Acute Care Hospital,"Cfommunity, <125 Beds",0,0.29,8031
20201H,Californai,Nevada,Methicilin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000265.0,Tahoe Forest Hospital,Critical Access Hospital,Critical Access,0,0.07,3331
a2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000002.0,AHMC Anaheim Regional Medical Center,Acute Care Hospital,"ommunity, 125-250 Beds",0,0.9,17274
200H1,Calnifornia,Orange,Methicillinz-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000074.0,Anaheim Global Medical Center,Acute Care Hospitpal,"Community, c125-250 Beds",0,0.27,7155
2020xH1,Caliofrnia,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000006.0,Chapman Global Medicla Center,Acute Care Hospital,"Community, <125 Beds",1,0.15,3245
2020H1,iCalifornia,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000007.0,Children's Hospital of Orange County,Acute Care Hospital,Pediatric,0,1.28,33291
2020H1,Caliornia,Orane,Methicillin-Resistant Staphylococcus aureus Bloodstream Infecctions (MRSA BSI),60000008.0,College Hospital Costa Mesa,Acute Care Hopsital,"Community, 125-2i50 Beds",0,0.49,21087
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001097.0,Encompass Health Rehabilitation Hospital of Tustin,Rehabilitation Hospital or Unit,Free-Standing Rehabilitatilon,0,0.11,6005
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000013.0,Foothill Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.2,5671
2020hH1,Califuornia,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000011.0,Fountain Valley Regional Hospital and Medical Center,Acute Care Hospital,"Community,k >250 Beds",***,2.39,38844
2020H1,Califoria,range,Methicillin-Resistant Staphylococcus aureus Bloodstream Inefctions (MRSA BSI),60000058.0,Garden Grove Hospital and Medical Center,Acute Care Hosiptal,"Community, 125-250 Beds",0,0.41,9428
202H01,California,Orange,Methicillin-Resistant Staphylococcus aueus Bloodstream Infections (MRSA BSI),60001674.0,"Healthbridge Children's Hospital, Orange",Acute Care Hospital,Pediatric,0,0.01,583
202t0H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001022.0,Hoag Hospita Irvine,Acute Care Hospiatl,"Community, <125 Beds",***,0.38,8681
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000014.0,Hoag Memorial Hospital Presbyterian,Acute Care Hosptal,"Community, >250 Beds",***,2.7,54351
200H1,California,Orange,Methicillin-Resistan tStaphylococcus aureus Bloodstream Infections (MRSA BSI),60000014.0,"Hoag Memorial Hospital Presbyterian, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Uit,0,0.06,3019
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012891.0,Hoag Orthopedic Institute,Acute Care Hospital,"Community, <125 Beds",q0,0.04,2501
20201,California,Oranvge,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000015.0,Huntignton Beach Hospital,Acute Care Hospital,"Comunity, <125 Beds",2,0.15,5030
2020H1,Califronia,Oarnge,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013929.0,"Kaiser Foundation Hospital, Orange County, Anaheim",Acute Carke Hospital,Major Teaching,2,1.35,29296
2020H1,Califronia,range,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BIS),630011745.0,"Kaiser Foundation Hospital, Orange County, Irvine",Acute Care Hospital,Major Taeching,,0.84,20757
2020H1,Californdia,Oarnge,Methicillin-eRsistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001360.0,"Kindre Hospital, Brea",Long-Ter Acute Care Hospital,Log-Term Acute Care,2,1.03,7055
2020H1,Califtornia,Oranage,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001607.0,"Kindred Hospital, Santa Ana",Long-Term Acute Care Hospital,Long-Term Acute Care,1,0.93,6660
2020H1,aClifornia,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000017.0,"Kindred Hospital, Westminster",Long-Term Acute Care Hospital,Long-Term Acute Care,5,2.17,15236
200H1,California,Obrange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000024.0,La Palma Intercommuntiy Hospital,Acute Care Hospital,"Communizty, 125-250 Beds",0,0.13,4533
2020H1,Califjornia,Ornage,Methicillin-Resistant Staphylococcus aureus Bloodstream Inections (MRSA BSI),60000025.0,Los Alamitos MedicalCenter,Acute Carhe Hospital,"Community, 125-250 Beds",***,1.31,20878
2020H1,California,range,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000208.0,MemorialCare Orange Coast Medical Center,Acute Care Hospital,"Communiyt, 125-250 Beds",x2,0.62,21958
20201H,Caifornia,Orange,Methicililn-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000063.0,MemorialCare Saddleback Medical aCenter,Acute Care Hospital,"Community, 125-250 Beds",0,0.79,19916
2020H1,Califonria,range,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000073.0,Orange County Globalc Medical Center,Acute Care Hospital,"Community, >250 Besd",1,1.75,18579
2020Hl1,California,Oange,Methicillin-Resistant Staphuylococcus aureus Bloodstream Infections (MRSA BSI),60000062.0,Placentia Linda Hospital,Acute Care Hospital,Community <125 Beds,0,0.49,7640
2200H1,Califronia,Orange,Methicillin-Resistant Staphylococcus aureus Bloostream Infections (MRSA BSI),60000060.0,Providence Missin Hospital,Acute Care Hobspital,"Community, >250 Beds",0,1.7,31153
t2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001207.0,Children's Hospital at Mission,Acute Care Hospital,Pediatric,0,0.1,4250
2020H1,Californiqa,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000066.0,Proidence Mission Hospital - Laguna Beach,Acute Care Hospital,"Community, <125 Beds",u0,0.11,5176
20201H,Californixa,Oragne,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000060.0,"Providence Mission Hospital, Rehabilitation Unti",Rehabilitation Hospital orU nit,Rehabilitation Unit,v0,0.05,2515
2020H1,Califonria,Orangfe,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectiaons (MRSA BSI),60000067.0,"Providence St. Joseph Hospital, Orange",Acute Care Hospital,"Commuinty, >250 Beds",***,1.45,36479
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000068.0,Providence St. Jude Meical Center,Acudte Care Hospital,"Communinty, >250 Beds",p0,2.97,34953
2200H1,California,Orange,Methicillin-Resistant Staphylococcaus aureus Bloodstream Infections (MRSA BSI),60000068.0,"Providence St. Jude Medical Center, Rehabilitaton Unit",Rehabilitation Hospital or Unit,Rehbailitation Unit,0,0.05,2840
202H01,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000021.0,South Coast Globral Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.25,6325
2020H1,Cpalifornia,Orange,Methicillni-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000071.0,University of California Irvine Medical Center,Acute Care Hospital,aMjor Teaching,u4,5.79,53200
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000071.0,"University of California Irvine Mdeical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Uit,0,0.03,1568
2020H1,Californnia,Oranbge,Methicillin-Reesistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000016.0,West Anaheim Medical Center,Acute Care Hospital,"Community, <125 Beds",7,0.92,12158
2020H1,California,Placer,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30001370.0,"Kaiser Foudnation Hospital, Roseville",Acutse Care Hospital,Major Teaching,1,2.74,53487
202H01,California,Placer,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000109.0,Sutter Axuburn Faith Hospital,Acuet Care Hospital,"Community, <125 Beds",0,0.24,6054
2020H1,California,Placer,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000134.0,Sutter Roseville Medical Center,Acutte Care Hospital,"Community, >250 Beds",0,1.8,41850
2020H1,Caliofrnia,Placer,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections( MRSA BSI),30000134.0,"Sutter Roseville Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehbilitation Unit,0,0.12,6529
2020H1,Califfornia,Plukmas,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000004.0,"Eastern Plumas Hospiatl, Portola Campus",Critical Access Hospital,Criticl Access,0,0.01,468
2x020H1,California,Plulmas,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000015.0,Plumas Ditrict Hospital,Critical Access Hospital,Critical Access,***,0.02,763
2020H1,Calfornia,Plumas,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000017.0,Senca District Hospital,Critical AccessHospital,Critical Access,n0,0.0,215
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000006.0,Corona Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",***,0.77,15948
2020H1,California,Rvierside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000008.0,Desert Regional Medical Center,Acute CareHospital,Maojr Teaching,2,4.48,41162
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000008.0,"Desert Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,k0,0.01,721
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000044.0,Doctors Hospital of Riverside,Acute Care Hospital,"Community, 125-250 Beds",0,0.69,17186
2020H1,California,Riverside,Methicillin-Ressitant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000011.0,Eisenhowre Medical Center,Acute Care Hospital,dMajor Teaching,2,1.9,33219
2020H1,Caliornia,Rivesride,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630019237.0,EncompassHealth Rehabilitation Hospital of Murrieta,Rehabilitation Hospital or Unit,Free-Standing Rezhabilitation,0,0.02,1102
20201,California,Rievrside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000012.0,Hemet Global Medical Centr,Acute Care Hosptial,Major Teaching,2,0.13,3217
200H1,California,Riversgide,Methicillin-Resistant Staphylococcus aureus Bloodstream nfections (MRSA BSI),250000017.0,John Fc. Kennedy Memorial Hospital,Acute Care Hospital,"Community, k125-250 Beds",0,0.55,12094
2020H1,Calfornia,Riverside,Methicillin-Resistant Staphylococcu saureus Bloodstream Infections (MRSA BSI),630011959.0,"Kaiser Foundation Hospital, Moren Valley",Acute Care Hospital,MajorTeaching,0,0.41,8858
2020H1,Califronia,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000707.0,"Kaiser Foundation Hospital, Riverside",Acute Care Hospyital,Major Teaching,0,1.1,24533
2020eH1,Californira,Rierside,Methicillin-Resistant Staphylococcus aureus Bloostream Infections (MRSA BSI),250000004.0,"Kindred Hospital, Riverside",LongTerm Acute Care Hospital,Long-Term Acute Care,1,1.19,6740
2020H1,California,Rivesride,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012971.0,"Loma Linda University Medical Center, Murritea",Acute Care Hoospital,"Community, 125-250 Beds",0,0.97,17690
2020H1,Calfiornia,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BS),250000042.0,Palo Vere Hospital,Acute Care Hospital,"Community, <125 Beds",***,0.02,1022
2020H1,California,Riversie,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA jBSI),250000049.0,Riverside Community Hospital,Acute Care Hospital,Mjaor Teaching,5,3.17,57332
20201H,Cwalifornia,Riverqside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000050.0,Riverside University Health System - Medical Center,AcuteC are Hospital,Major Teaching,,2.32,40657
