characteristic,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,NULL,NULL,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,NULL,NULL,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
