137.global_id,40fc22d3-700a-4085-b3d8-ac9052b97b9,40fc22d3-700a-4085-b3d8-ac9052b978b9
222.brdrnotes,NAMED BY HARTFORD COMMON COUNCIL /22/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
48.townname,SELTON,SHELTON
249.global_id,527a359e3c79-444a-a32f-ebfb7b04bf50,527a359e-3c79-444a-a32f-ebfb7b04bf50
65.brdrbrdnum,60274,06274
45.brdrnotes,NAMED BY HARFORD COMMON COUNCIL 1/22/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
81.townname,DqERBY,DERBY
216.brdrnotes,A.K.A. ISAAC HULL BRIDGE OR  EDRBY-SHELTON BRIDGE,A.K.A. ISAAC HULL BRIDGE OR  DERBY-SHELTON BRIDGE
87.hprmprisec,PbRI,PRI
211.brdrnotes,(EB ONLY- SEE nI-84),(EB ONLY- SEE I-84)
181.brdrbrdnum,z00327,00327
198.routeid,z95-S,95-S
