characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 nclude Pacific Islanders.
"Total - Female, Asian, non-Hisanic",Female,"Asian, non-Hispanic",2003,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Feamle, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asia,n non-Hispanic",Female,"Asian, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian non-Hispanic",Female,"Asian, non-Hispanic",2006,230.0,2.2,Data not avaliable. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, nonHispanic",Female,"Asian, non-Hispanic",2008,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2010,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",qFemale,"Asian, non-Hisapnic",2012,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-wHispanic",Female,"Asixan, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimater or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Femlae,"Pacific Islander, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Paciic Islander, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",lFemale,"Pacific Islander, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Female, Pacific slander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Femle, Pacific Islander, non-Hispanic",sFemale,"Pacific Islander, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"Ameircan Indian/Alaska Native, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",yFemale,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few caess for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indin/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"Amercian Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Femal,e American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not avaialble.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not availalbe.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,230.0,2.2,Data not available.
"Total -c Female, Two or more races, non-Hispanic",eFmale,"Two or more races, non-Hispanic",2003,230.0,2.2,Data not aailable.
"Total - Female, Two or more races, non-Hispanic",uFemale,"Two or more races, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femlae,"Two or moore races, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Female, Twoo r more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,230.0,2.2,Data not avaiable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fecmale,"Two or more races,f non-Hispanic",2011,230.0,2.2,Daa not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,230.0,2.2,Data not avaiable.
"Total - Female, To or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
