yearvalue(long),statevalue,hai,facilityid(double precision),facilityname,county,hospitalcategoryriskadjustment,hospitaltype,infectionsreported(double precision),infectionspredicted(double precision),patientdays(double precision),sir(double precision),sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),comparison,mettwozerotwozerogoal,months(double precision),sirtwozeroonefive(double precision),notes
2021,aClifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,Childen''s Hospital Los Angeles,Los Angeles,Acute Care Hospitral,Pediatric,8.0,4.81,111483.0,1.66,0.77,3.16,Same,o,12.0,0.49,¥ See Data Dictionary
2021,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036.0,City of Hope Helford Clinical Research Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Bseds",4.0,7.61,73564.0,0.53,0.17,1.27,Same,No,12.0,0.82,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038.0,Coqast Plaza Hospital,Los Angeles,Acute Care Hospital,"Commuvnity, <125 Beds",1.0,0.69,10771.0,1.45,0.04,8.05,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstreamf Infections (MRSA BSI),930000114.0,College Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",2.0,1.87,25573.0,1.07,0.18,3.53,Saem,No,12.0,0.57,¥ See Data Dictionary
2944,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040.0,Community Hospital of Huntington Park,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0.0,0.34,14702.0,0.0,0.0,10.83,Same,es,12.0,3.67,¥ See Data Dictionary
1917,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158.0,DOCS Surgical Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0.0,0.02,964.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2895,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053.0,East Los Angeles Doctors Hospital,Logs Angeles,Acute Care Hospital,"Community, 125-250 Beds",1.0,0.4,10919.0,2.49,0.06,13.86,Same,No,12.0,2.28,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056.0,Emanate Health Foothill Presbyterian Hospital,Losn Angeles,Acute Care Hospital,Major Teaching,0.0,1.08,22377.0,0.0,0.0,2.78,Same,Yse,12.0,0.0,¥ See Data Dictionary
2436,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070.0,Emanate Health Inter-Community Hospital,Los Angeles,Acute Care Hospital,Major Teaching,4.0,2.29,34387.0,1.75,0.55,4.21,Same,oN,12.0,0.0,¥ See Data Dictionary
2021,Caifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,Emanate Health Queen of the Valley Hospital,Los Angeles,Acute Care Hospital,Major Teaching,3.0,2.84,59022.0,1.06,0.27,2.87,Same,No,12.0,0.0,¥ See Data Dixctionary
2021,Californisa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,Emanate Health Queen of the Valley Hospital,Los Angeles,Rehbailitation Hospital or Unit,Rehabilitation Unit,0.0,0.07,3483.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ Se eData Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,Encino Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Bjeds",1.0,0.33,6747.0,3.04,0.08,16.96,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Caliornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,Encino Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rhabilitation Unit,0.0,0.05,2614.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,Garfield Medical Center,Los Angeldes,Acute Care Hospital,"Community, 125-250Beds",2.0,2.98,42729.0,0.67,0.11,2.22,Samre,No,12.0,1.86,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,Garfield Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.09,4759.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2772,Cailfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,Glendale Memorial Hospital and Health Center,Los Angfeles,Acute Care Hospital,"Community, >250 Beds",3.0,1.32,31115.0,2.27,0.58,6.19,Same,o,12.0,0.38,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,Glendale Memorial Hospital and Health Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitwation Unit,0.0,0.1,5232.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"GoodSamaritan Hospital, Los Angeles",Los Angeles,Acute Care Hospiatl,"Community, >250 Beds",11.0,5.64,70344.0,1.95,1.03,3.39,Worse,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Good Samaritan Hospital, Los Angels",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1.0,0.13,6666.0,0.0,0.0,1.38,Saem,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062.0,Greater El Monte Community Hospital,LosA ngeles,Acute Care Hospital,"Community, <125 Beds",0.0,0.33,8806.0,0.0,0.0,11.15,Samfe,Yes,9.0,0.0,"¥ See Data Dictionary, Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,Henry Mayo Newhall Hospital,oLs Angeles,Acute Care Hospital,"Community, >250 Beds",8.0,2.96,55886.0,2.7,1.25,5.13,Worse,oN,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,Henry Mayo Newhall Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unxit,0.0,0.06,3339.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Califmornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,Hollywood Presbyterian Medical Center,Los Angeles,Acute Care Hospital,"Community, >250 Beds",1.0,2.94,68553.0,0.34,0.02,1.68,Sme,Ybes,12.0,0.62,¥ See Data Dictionary
2010,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,Hollywood Presbyvterian Medical Center,Los Angeles,Rehabilitationq Hospital or Unit,Rehabilitation Unit,0.0,0.1,5436.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
1244,California,Methicillin-Resistant Staphylococcus aureus Bloofdstream Infections (MRSA BSI),930000026.0,Huntington Hospital,Los Angeles,Acute Care Hospitla,"Community, >50 Beds",2.0,5.71,113136.0,0.35,0.06,1.16,Same,Yes,12.0,0.51,¥ See Data Dictionary
2021,Cyalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,Huntington Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitatzion Unit,0.0,0.04,2093.0,0.0,0.0,1.38,Same,No,7.0,0.0,¥ eSe Data Dictionary
3009,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001543.0,"Kaiser Foundation Hospital, Baldwin Park",Los Angeles,Acute Care Hopital,Major Teaching,4.0,2.25,47013.0,1.78,0.57,4.3,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074.0,"Kaiser Foundation Hospital, Downey",Los Angeles,Acute Care Hospital,Major Teachign,2.0,4.94,86840.0,0.4,0.07,1.34,Same,Yes,12.0,0.0,¥ See Data Dictioary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000072.0,"Kaiser Foundation Hospital, Los Angeels",os Angeles,Acute Care Hospital,Major Teacihng,8.0,9.01,122077.0,0.89,0.41,1.69,Same,No,12.0,0.91,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000050.0,"Kaiser Foundation Hospital, Panorama City",Los Angeles,Acute Care Hospital,Major Teaching,4.0,2.13,39821.0,1.88,0.6,4.52,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071.0,"Kaiser Foundation Hospital, South Bay",Lso Angeles,Acute Care Hospital,Major Teachign,4.0,2.8,56853.0,1.43,0.45,3.44,Same,No,12.0,0.0,¥ See Data Dictionary
2239,Clifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076.0,"Kaiser Foundation Hospital, West LA",Los Angeles,Acute Care Hospital,Major Teaching,4.0,2.23,45607.0,1.8,0.57,4.33,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methciillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290.0,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,Acute Care Hospital,Major Teaching,7.0,2.57,41383.0,2.73,1.19,5.4,Worse,No,12.0,0.0,¥ See Data zDictionary
2640,California,Methiicllin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,Keck Hospital of USC,Los Angeles,Acute Care Hospital,Major Teaching,9.0,6.6,85893.0,1.36,0.67,2.5,Same,No,12.0,0.46,¥ See DataD ictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,Keck Hospital of USC,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.09,4901.0,0.0,0.0,1.38,Sae,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033.0,Kindred Hospital Paramount,Los Angeles,Long-Term Acute Care Hospital,Long-Term Acute Care,8.0,4.16,28803.0,1.93,0.89,3.66,Same,No,12.0,1.12,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000144.0,"Kindred Hospital, Baldwin Park",Los Angeles,Long-Term Acute Car eHospital,Long-Term Acute Care,8.0,4.01,28128.0,1.99,0.93,3.79,Same,hNo,12.0,0.82,¥ See Data Dictionary
2494,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089.0,"Kindred Hospital, La Mirada",Los Angeles,Long-Term Acute Care Hospital,Long-Term Acute Care,4.0,1.94,14903.0,2.06,0.66,4.97,Same,No,12.0,1.51,¥ See Data Dictionary
2021,alifornia,Methicillin-Resistant Staphylococcus aureus lBoodstream Infections (MRSA BSI),930000088.0,"Kindred Hospital, Los Angeles",Los Angeles,Long-Term Acute Care Hospital,Long-Trem Acute Care,7.0,3.88,24514.0,1.81,0.79,3.57,Same,No,12.0,3.43,b¥ See Data Dictionary
2021,alifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000042.0,"Kindred Hospital, San Garbiel Valley",Los Angeles,Long-Term Acute Care Hospitayl,Long-Term Acut eCare,2.0,2.38,17219.0,0.84,0.14,2.78,Same,No,12.0,2.47,¥ See Data Dicntionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000039.0,"KindredHospital, South Bay",Los Angeles,zLong-Term Acute Care Hospital,Long-Term Acute Care,9.0,2.13,14438.0,4.23,2.06,7.77,oWrse,No,12.0,2.76,¥ See Data Dictionary
2339,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000035.0,L.A. Downtown Medical Center,Lois Angeles,Acute Care Hospital,"Community, <125 eBds",1.0,0.66,16268.0,1.52,0.04,8.44,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000040.0,LAC+USC oMedical Center,Los Angeles,Acute Care Hospital,Major Teaching,21.0,10.29,156638.0,2.04,1.3,3.07,Wore,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicilln-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000027.0,LAC/Harbor UCLA Medical Center,Los Angeles,Acte Care Hospital,Major Teachfing,5.0,6.06,84441.0,0.83,0.3,1.83,Same,oN,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000038.0,LAC/Olive View-UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,7.0,2.4,49948.0,2.91,1.27,5.76,Worse,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000028.0,LAC/Rancho Los Amigos National Rehabilitation Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",0.0,1.04,24672.0,0.0,0.0,2.88,Same,Yse,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000028.0,LAC/Rancho Los Amigos National Rehabilitation Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.46,24072.0,0.0,0.0,8.06,Same,Yes,12.0,0.0,¥ See Data Dictionary
2854,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000047.0,Lakewood Regoinal Medical Center,Los Angelse,Acute Care Hospital,"Community, 125-250 Beds",1.0,2.8,42692.0,0.36,0.02,1.76,Same,Yes,12.0,1.69,¥ Se Data Dictionary
2021,Califrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000085.0,Los Angele Community Hospital,Lcos Angeles,Acute Care Hxospital,"Community, <125 Beds",4.0,0.9,24464.0,4.45,1.21,11.4,Worse,No,12.0,0.0,¥ See Data Dictionary
1360,alifornia,Methcillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000035.0,Martin Luther King Jr. Community Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",0.0,1.18,46018.0,0.0,0.0,2.54,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000092.0,Memorial Hospital of Gardena,LosA ngeles,Acute Care Hospital,"Community, <125 Beds",2.0,1.22,25587.0,1.63,0.27,5.4,Skame,No,12.0,0.0,¥See Data Dictionary
2253,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095.0,MemorialCare Long Beach Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,6.0,6.69,96379.0,0.9,0.36,1.87,Same,No,12.0,0.0,¥ uSee Data Dictionary
2021,Clifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095.0,MemorialCare Long Beach Medical Center,Los Angeles,Rehabilitatoin Hospital or Unit,Rehabilitation Unit,0.0,0.13,6921.0,0.0,0.0,1.38,Same,Nqo,12.0,0.0,¥ See Data Dictionary
2940,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001709.0,MemorialCare Miller Children's & Women's Hospital Long Beach,Los Angeles,Acute Care Hospital,Pediatric,0.0,1.68,64228.0,0.0,0.0,1.79,Szame,Yes,12.0,0.0,¥ See Data Dictionary
2021,Caliornia,Methicillin-Resistant Staphylococcus aureus Bloodsteam Infections (MRSA BSI),930000096.0,Methodist Hospital of Sfouthern California,Los Angeles,Acute Care Hospital,"Community, a>250 Beds",2.0,5.21,59634.0,0.38,0.06,1.27,Sae,vYes,12.0,0.31,¥ zSee Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096.0,Methodist Hospital of Southern California,Los Agneles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.15,7941.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000027.0,Mission Community Hospital,Los Angeles,Acute Crae Hospital,"Community, 12-5250 Beds",2.0,1.91,26138.0,1.05,0.18,3.46,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000107.0,Monrovia Memorial Hospithal,Los Angeles,Long-Term Acute Care Hospital,Long-Term Acute Care,0.0,0.74,5704.0,0.0,0.0,5.01,Saem,Yes,12.0,0.82,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aurqeus Bloodstream Infections (MRSA BSI),930000108.0,Monterey Pak Hospital,Los Angeles,Acute Care Hospital,"Comgmunity, <125 Beds",3.0,0.42,17727.0,7.11,1.47,20.76,Worse,hNo,12.0,3.84,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111.0,Northridge Hospital Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,3.0,4.68,61899.0,0.64,0.16,1.75,Same,No,12.0,0.0,¥ See Data Dictionary
2411,California,Methicillin-Resistant Stahylococcus aureus Bloodstream Infections (MRSA BSI),930000111.0,Northridge Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.12,6563.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
1947,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000112.0,Norwalk Community Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",5.0,0.53,14333.0,9.45,3.07,22.06,Wores,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectiosn (MRSA BSI),930000105.0,Olympia Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",0.0,0.25,3795.0,0.0,0.0,14.49,aSme,Yes,3.0,2.03,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000052.0,"PIH Health Hospital, Downey",Los Angeles,Acute Care Hoslpital,Major Teaching,3.0,1.81,31873.0,1.66,0.42,4.51,Skame,gNo,12.0,0.0,¥ See Data Dictionary
2021,California,Methiwcillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099.0,"PIH Health Hospital, Whittier",Los Angeles,Acute Care Hospital,Major Teaching,4.0,6.62,90756.0,0.61,0.19,1.46,Same,No,12.0,0.0,¥ See Data Dictionmary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099.0,"PIH Health Hospital, Whittier",Los Angeles,Rehabilitation Hospitanl or Unit,Rehabilitation Unit,0.0,0.07,3927.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2339,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000032.0,Pacific Gardens Medical Center,Los Angeles,Acute Care Hospital,"Community, <125 Bemds",0.0,0.02,534.0,0.0,0.0,1.38,Smae,No,3.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000133.0,Pacifica Hospital of the Valley,LosA ngeles,Acute Care Hospital,"Community,< 125 Beds",1.0,0.43,12137.0,2.34,0.06,13.04,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Califowrnia,Methicillin-Resistant vStaphylococcus aureus Bloodstream Infections (MRSA BSI),930000077.0,Palmdale Regional Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,1.0,1.92,39533.0,0.52,0.03,2.58,Same,No,12.0,0.0,¥S ee Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077.0,Palmdale Regional Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitationv Unit,0.0,0.03,1747.0,0.0,0.0,1.38,Same,No,4.0,0.0,¥ See Data Dictionary
2884,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA SBI),930000123.0,Pomona Valley Hospital Medical Center,LosA ngeles,Acute Carxe Hospital,Major Teaching,3.0,6.65,105637.0,0.45,0.12,1.23,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000091.0,Providence Cedars-Sinai Tarzana Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",3.0,2.33,52665.0,1.29,0.33,3.51,Same,No,12.0,3.62,l¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus auerus Bloodstream Infections (MRSA BSI),930000066.0,Providence Holy Crss Medical Center,Los Angeles,Acute Care Hospital,Community >250 Beds,3.0,3.56,82241.0,0.84,0.21,2.29,Same,o,12.0,0.24,¥ See Dtaa Dictionary
1285,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066.0,Providence Holy Cross Medical Center,Los Anogeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.07,3883.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Califfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157.0,Providence Little Company of Mary Medical Center San Pedro,Los Angweles,Actue Care Hospital,"Community, >250 Beds",1.0,0.89,17998.0,1.12,0.03,6.24,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Califorlnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157.0,Providence Little Company of Mary Medical Center San Pedro,Los Angeles,Rehabilitation Hospital o Unit,Rehabilitation Unit,0.0,0.16,8218.0,0.0,0.0,1.38,Smae,No,12.0,0.0,¥ See Data Dictionary
2380,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000081.0,Providence Little Company of Mary Medical Center Torrance,Los Angeles,Acute Care Hospital,"Community, >250 Bxeds",2.0,4.05,73998.0,0.49,0.08,1.63,Svame,Yes,12.0,0.81,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Blwoodstream Infections (MRSA BSI),930000100.0,Providence Saints John''s Health Center,Los Angeles,Acute Care Hospital,"Community, >250 Beds",0.0,1.64,58361.0,0.0,0.0,1.83,Same,Yse,12.0,1.03,¥ See Data Dictionary
1404,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101.0,Providence Saint Joseph Medical Center,Los Angeles,Acute Care Hospital,"Commnity, >250 Beds",5.0,3.21,76787.0,1.56,0.57,3.46,jSame,No,12.0,1.23,¥See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101.0,Providence Saint Joseph Medical Center,Los Angeles,Rehabilitation oHspital or Unit,Rehabilitation Unit,0.0,0.0,0.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Califrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000162.0,Ronald Reagan CLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,8.0,11.08,155158.0,0.72,0.34,1.37,Same,No,12.0,1.57,¥ See Data Ditcionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000125.0,San Dimas Community Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Bdes",1.0,0.49,15353.0,2.03,0.05,11.29,Sae,o,12.0,1.49,¥ See Data Dictoinary
2021,Californyia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000041.0,San Gabriel Valley Mdical Center,Los Ageles,Acute Care Hospital,"Community, 125-250 Beds",2.0,1.72,38019.0,1.16,0.2,3.84,Same,No,12.0,0.46,¥ See Data Dictionary
1055,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000049.0,Santa Monica - UCLA Medical Center and Orthopaedic Hospital,Lons Angeles,Acuet Care Hospital,Major Teaching,8.0,6.27,83390.0,1.28,0.59,2.42,Same,o,12.0,0.17,¥ See Data Dictionry
2013,hCalifornia,Methicillin-Resistant Staphylococcus aureus Bloostream Infections (MRSA BSI),930000140.0,Sherman Oaks Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",3.0,0.81,18497.0,3.69,0.76,10.77,Same,No,12.0,0.51,¥ See Data Dictionary
2021,Calfiornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000015.0,Southern Californi aHospital at Culver City,LosAngeles,Acute CareHospital,"Community, >250 Beds",3.0,1.41,42799.0,2.13,0.54,5.8,Same,o,12.0,2.69,¥ See Data Dictionary
2021,Califonia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000015.0,Souhern California Hospital at Culver City,Los Angeles,Rehabilitation Hospital or Unit,Rehabiitation Unit,0.0,0.08,4060.0,0.0,0.0,1.38,Same,Nwo,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000064.0,Southern alifornia Hospital at Hollywood,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0.0,0.68,18094.0,0.0,0.0,5.43,Same,Yes,12.0,8.75,¥ See Data Dictionary
2170,California,Methicillipn-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000128.0,St.F rancis Medical Center,os Angeles,Acute Care Hospital,"Community, >250 Beds",7.0,4.68,74996.0,1.5,0.66,2.96,Shame,No,12.0,0.99,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103.0,"St. Mary Medical Center, Lomng Beach",Los Angeles,Actue Care Hospital,"Community, >250 Beds",6.0,4.56,56490.0,1.32,0.53,2.74,Sme,No,12.0,0.72,¥ See Data Dictionary
2021,California,Methicillin-Resisytant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103.0,"St. Mary Medicla Center, Long Beach",Los Aongeles,Rehabilitation Hospital cor Unit,Rehabilitation Unit,1.0,0.08,4284.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
1214,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000127.0,Torrance Memorial MedicalCenter,Ls Angeles,Acute Care Hospital,"Community, >250 Beds",5.0,5.4,110902.0,0.93,0.34,2.05,Same,No,12.0,0.6,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000163.0,USC Kenneth Norris Jr. Cancer Hospiatl,Los Angzeles,Acute Care Hospital,Major Teaching,0.0,1.47,12939.0,0.0,0.0,2.04,Same,Yes,12.0,2.1,¥ See Data Dictionary
