OBJECTID,name,reportdt,confirmed,recovered,deaths,active,GlobalID,tested,Negative,Pending,MaleCases,FemaleCases,Cases0to19,Cases20to29,Cases30to39,Cases40to49,Cases50to59,Cases60to69,Cases70to79,Cases80plus,NewCases,MaleDeaths,FemaleDeaths,Deaths0to19,Deaths20to29,Deaths30to39,Deaths40to49,Deaths50to59,Deaths60to69,Deaths70to79,Deaths80plus,AsianCases,BlackCases,HispanicCases,NativeAmCases,OtherCases,WhiteCases,CurrentlyHospitalizedCases,PercAsianCases,PercBlackCases,PercHispanicCases,PercNativeAmCases,PercOtherCases,PercWhiteCases,PercPopAsianCases,PercPopBlackCases,PercPopHispanicCases,PercPopNativeAmCases,PercPopOtherCases,PercPopWhiteCases,NewDailyDeaths,NewDailyTested,DailyPercentPositive,TotalPercentPositive,NewDailyNegative,ThreeDayAvg,SevenDayAvg,Cases0to9,Cases10to19,Deaths0to9,Deaths10to19,TotalDoses,TotalRecipients,MalesVaccinated,FemalesVaccinated,Vaccinated0to9,Vaccinated10to19,Vaccinated20to29,Vaccinated30to39,Vaccinated40to49,Vaccinated50to59,Vaccinated60to69,Vaccinated70to79,Vaccinated80plus,NewDailyDoses,NewDailyRecipients,Total1DoseRecipients,Total2DoseRecipients,TotalJJDoses,TotalJJRecipients,TotalVaccinated,Pfizer3DoseRecipients,Moderna3DoseRecipients,Total3DoseRecipients,PartialVaccinated
248,South Dakota,2020/11/19 17:54:00+00,69742,51153,705,17884,ded26bf9-ff08-49dc-90c4-be28aa7dfd89,303269,233527,0,33320,36422,,13530,11771,9995,9862,7728,3977,3095,1071,362,343,,2,9,15,45,93,147,394,1017,1754,2577,8487,9418,46489,578,1.45823176851825,2.51498379742479,3.69504746064065,12.1691376788736,13.5040578130825,66.6585414814602,8.03317535545024,10.7998275968229,8.05438349742147,11.266278159058,31.398566427738,6.36781533623172,31,2296,46.6463414634146,22.9967454635983,1225,1154.667,1289.429,2289,7495,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
249,South Dakota,2020/11/20 17:54:00+00,71070,51922,741,18407,f5a6c562-e67f-4abb-b7be-c7cfcfd80318,306869,235799,0,33967,37103,,13755,11975,10173,10045,7889,4066,3162,1328,377,364,,2,9,15,46,97,155,417,1024,1768,2610,8649,9583,47436,574,1.44083298156747,2.48768819473758,3.67243562684677,12.1696918531026,13.4838891233995,66.7454622203461,8.08846761453396,10.886029185395,8.15752461322082,11.4813290677145,31.9486581096849,6.49753034673767,36,3600,36.8888888888889,23.1597196197726,2272,1262,1249,2350,7655,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
250,South Dakota,2020/11/21 18:40:00+00,72214,54570,777,16867,35a62fad-641f-4361-bfb8-99a47ad2cb1b,309170,236956,0,34496,37718,,13941,12159,10350,10192,8023,4134,3226,1144,395,382,,2,9,15,48,102,163,438,1036,1644,2635,8793,9882,48224,580,1.43462486498463,2.27656687068989,3.64887694906805,12.1763093029053,13.684327138782,66.7792948735702,8.18325434439179,10.122529400899,8.23566182215971,11.6724854309647,32.9454909151525,6.60546638504675,36,2301,49.7175141242938,23.3573762007957,1157,1181,1147.4,2395,7794,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
251,South Dakota,2020/11/22 17:46:00+00,73065,55349,819,16897,1d1e9b63-30c1-4293-97ec-b4c9476666c7,311218,238153,0,34920,38145,,14060,12291,10459,10315,8121,4192,3284,851,415,404,,2,9,16,51,106,174,461,1045,1794,2662,8900,9875,48789,577,1.430233353863,2.45534797782796,3.6433312803668,12.1809347840964,13.5153630329159,66.77478957093,8.25434439178515,11.0461178498861,8.32005000781372,11.8145252286575,32.922153692282,6.68285707241303,42,2048,41.552734375,23.477112506346,1197,1107.7,1097.7,2445,7898,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
252,South Dakota,2020/11/23 17:21:00+00,73848,55679,819,17350,f7ee80e9-de7e-4fd3-9dfb-4d9997d4179c,313297,239449,0,35268,38580,,14186,12409,10575,10424,8207,4244,3315,783,415,404,,2,9,16,51,106,174,461,1047,1803,2682,8952,9963,49401,582,1.41777705557361,2.44150146246344,3.63178420539487,12.1221969450764,13.4912252193695,66.8955151121222,8.27014218009479,11.1015331568253,8.38255977496484,11.8835539153868,33.2155359226538,6.76668556917084,0,2079,37.6623376623377,23.5712438995586,1296,926,1081.429,2486,8002,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
253,South Dakota,2020/11/24 17:58:00+00,74859,57381,821,16657,c6b8db6e-a51b-47a4-a014-a6d05039e002,315794,240935,0,35769,39090,,14339,12572,10712,10569,8323,4320,3359,1011,416,405,,2,9,16,51,106,174,463,1051,1818,2718,9041,10079,50152,574,1.40397280220147,2.42856570352262,3.63082595279125,12.077372126264,13.4639789470872,66.9952844681334,8.30173775671406,11.193892001724,8.49507735583685,12.0016991676733,33.6022670445074,6.86955354476743,2,2497,40.4885863035643,23.7050102281867,1486,881.667,1082.143,2533,8132,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
254,South Dakota,2020/11/25 17:48:00+00,76142,59981,849,15312,0f0333a5-be48-411d-95ea-50559abc7e36,318354,242212,0,36366,39776,,14527,12760,10903,10783,8475,4393,3415,1283,429,420,,2,9,16,53,107,177,485,1067,1828,2758,9237,10226,51026,570,1.4013290956371,2.40077749468099,3.62217961177799,12.1312810275538,13.4301699456279,67.0142628247222,8.42812006319115,11.2554645649898,8.62009689013908,12.2618842176528,34.0923487247875,6.98926940451633,28,2560,50.1171875,23.9174001269028,1277,1025.7,1067.3,2602,8284,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
255,South Dakota,2020/11/27 17:51:00+00,78280,61010,888,16382,1595e2ab-3d37-4f31-acb2-b17ee765b060,323484,245204,0,37424,40856,,14860,13112,11204,11112,8740,4526,3521,2138,448,440,,2,9,17,53,113,189,505,1079,1853,2817,9447,10493,52591,569,1.37838528359734,2.36714358712315,3.59862033725089,12.0682166581502,13.4044455799693,67.183188553909,8.52290679304897,11.4093959731544,8.80450070323488,12.5406539140593,34.9824970828471,7.20363475978752,39,5130,41.6764132553606,24.1990330279086,2992,1140.3,1030,2694,8511,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
256,South Dakota,2020/11/28 17:58:00+00,79099,61051,942,17106,b07161be-7839-4ef6-9659-e359ed71413d,325376,246277,0,37825,41274,,14977,13237,11317,11222,8851,4580,3572,819,479,463,,2,9,17,58,124,202,530,1083,1855,2842,9537,10618,53164,539,1.36917028028167,2.34516239143352,3.59296577706419,12.057042440486,13.4236842437957,67.2119748669389,8.55450236966825,11.4217104858075,8.88263791217378,12.6601266410907,35.3992332055343,7.28212124449704,54,1892,43.2875264270613,24.3100290125885,1073,1478.5,1147.5,2731,8612,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
257,South Dakota,2020/11/29 18:07:00+00,79900,62027,943,16930,d77d91b1-bf1f-40ce-9972-63da6b6acbdd,327744,247844,0,38184,41716,,15103,13365,11421,11341,8956,4634,3622,801,480,463,,2,9,17,58,125,202,530,1092,1870,2858,9631,10702,53747,544,1.36670838548185,2.34042553191489,3.57697121401752,12.0538172715895,13.3942428035044,67.2678347934919,8.62559241706161,11.5140693307062,8.93264572589467,12.7849092671012,35.67927987998,7.36197747588561,1,2368,33.8260135135135,24.3787834407342,1567,1252.667,1139.167,2768,8690,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
258,South Dakota,2020/11/30 18:02:00+00,80464,62334,946,17184,90ac7bf9-19ea-4ee8-9b5f-5edea1d3bd2b,328852,248388,0,38452,42012,,15181,13458,11504,11433,9033,4669,3643,564,482,464,,2,9,17,58,126,204,530,1092,1870,2871,9768,10777,54086,546,1.35712865380791,2.32402068005568,3.5680552793796,12.1395903758202,13.3935673096043,67.2176377013323,8.62559241706161,11.5140693307062,8.9732770745429,12.9667733071378,35.9293215535923,7.40841188830538,3,1108,50.9025270758123,24.4681498059918,544,728,945.143,2788,8755,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
259,South Dakota,2020/12/01 17:49:00+00,80912,65876,948,14088,4ecdd30c-da2c-4b5d-b0d3-57819f2c608a,330533,249621,0,38662,42250,,15245,13519,11584,11526,9083,4690,3669,448,482,466,,2,9,17,57,126,205,532,1100,1874,2883,9824,10742,54489,547,1.35950168083844,2.31609649990113,3.56313031441566,12.1415859205062,13.2761518686969,67.3435337156417,8.68878357030016,11.5386983560126,9.01078293483357,13.0411118928462,35.8126354392399,7.46361267947106,2,1681,26.6508030933968,24.4792501807686,1233,604.3,864.7,2796,8800,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
260,South Dakota,2020/12/02 17:54:00+00,82203,66351,995,14857,8c386308-cffa-4b8c-a707-0092410aa20a,332540,250337,0,39255,42948,,15469,13706,11776,11720,9234,4770,3737,1291,506,489,,2,9,18,57,134,213,562,1110,1890,2904,9996,10878,55425,531,1.35031568190942,2.29918616108901,3.53271778402248,12.1601401408708,13.2330936827123,67.424546549396,8.76777251184834,11.6372144572379,9.07641819034224,13.2694375489506,36.2660443407235,7.59182096863006,47,2007,64.3248629795715,24.7197329644554,716,767.667,1010.167,2848,8943,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
261,South Dakota,2020/12/03 18:06:00+00,83348,66841,1033,15474,e50b732b-fcf2-471f-ac4f-d6da403d6a50,334697,251349,0,39785,43563,,15656,13892,11934,11886,9356,4847,3783,1145,525,508,,3,9,19,57,139,219,587,1117,1899,2922,10260,10967,56183,538,1.34016413111292,2.27839900177569,3.50578298219513,12.3098334693094,13.1580841771848,67.407736238422,8.82306477093207,11.6926297641771,9.13267698077825,13.619890881576,36.5627604600767,7.69564776690199,38,2157,53.0829856281873,24.9025237752355,1012,961.333,1029.429,2918,9076,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
262,South Dakota,2020/12/04 17:41:00+00,84398,67409,1064,15925,f283c0b0-90de-49a4-a6a6-b0610b4abeef,336512,252114,0,40350,44048,,15832,14097,12077,12031,9465,4907,3829,1050,540,524,,3,12,19,59,141,223,607,1124,1915,2946,10435,11094,56884,516,1.33178511339131,2.26901111400744,3.49060404274983,12.3640370624896,13.1448612526363,67.3997014147255,8.8783570300158,11.7911458654024,9.20768870135959,13.8521989619148,36.9861643607268,7.79166700910334,31,1815,57.8512396694215,25.6218142738745,765,1162,874,2965,9195,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
263,South Dakota,2020/12/05 17:54:00+00,85304,68011,1091,16202,d5218b07-3351-4d57-a3dc-474ccad5bb25,338369,253065,0,40757,44547,,15986,14241,12210,12148,9576,4972,3882,906,554,537,,3,12,20,60,144,230,622,1127,2968,2968,10530,10204,57507,512,1.32115727281253,3.47932101659946,3.47932101659946,12.3440870299165,11.9619244115165,67.4141892525556,8.90205371248025,18.274736777292,9.27644944522582,13.9783090626701,34.0190031671945,7.8770022272081,27,1857,48.788368336025,25.2103472835869,951,1033.667,886.429,3000,9289,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
264,South Dakota,2020/12/06 18:18:00+00,85991,68449,1110,16432,57b8c14a-9329-49b2-9e28-c5717530444a,339995,254004,0,41081,44910,,16106,14330,12301,12244,9673,5021,3920,687,566,544,,3,12,20,61,146,234,634,1132,1947,2983,10611,11333,57985,497,1.31641683431987,2.26419043853427,3.46896768266447,12.3396634531521,13.1792862043702,67.4314753869591,8.94154818325434,11.988178067853,9.32333177058915,14.0858345169983,37.7829638273045,7.94247611846665,19,1626,42.2509225092251,25.291842527096,939,881,870.143,3029,9367,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
265,South Dakota,2020/12/07 17:54:00+00,86500,68576,1110,16814,9b9114de-5212-4562-bf12-7effa99f4c75,341195,254695,0,41300,45200,,16182,14407,12353,12313,9725,5051,3963,509,566,544,,3,12,20,61,146,234,634,1138,1957,3002,10650,11381,58372,503,1.31560693641618,2.26242774566474,3.47052023121387,12.3121387283237,13.157225433526,67.4820809248555,8.98894154818325,12.0497506311188,9.38271604938272,14.1376060320452,37.9429904984164,7.99548531494585,0,1200,42.4166666666667,25.3520713961225,691,700.667,862.286,3063,9443,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
266,South Dakota,2020/12/08 17:35:00+00,87038,69144,1111,16783,b304b464-eade-4204-bfc2-0e85e22097ef,342423,255385,0,41538,45500,,16259,14497,12433,12395,9777,5086,3990,538,567,544,,3,12,20,61,147,234,634,1141,1965,3030,10709,11449,58744,491,1.31092166639858,2.25763459638319,3.48123807991912,12.3038213194237,13.1540246788759,67.4923596589995,9.01263823064771,12.0990086817314,9.47022972339428,14.215927041988,38.1696949491582,8.04643989140648,1,1228,43.8110749185668,25.418269216729,690,578,875.143,3098,9503,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
267,South Dakota,2020/12/09 18:05:00+00,88023,70728,1147,16148,3cb3da5f-5c94-453e-bc02-4892083e7d88,344472,256449,0,42001,46022,,16418,14652,12557,12529,9879,5177,4056,985,584,563,,3,12,20,61,152,241,658,1146,1969,3052,10832,11587,59437,501,1.30193244947343,2.23691535166945,3.46727559842314,12.3058746009566,13.1636049668837,67.5243970325938,9.0521327014218,12.1236377070377,9.53899046726051,14.3792064355976,38.6297716286048,8.14136333626459,36,2049,48.0722303562713,25.5530202745071,1064,677.3,831.4,3148,9607,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
268,South Dakota,2020/12/10 17:56:00+00,88727,71316,1177,16234,0033dfd9-830d-49b4-ad46-069e98827f08,346200,257473,0,42336,46391,,16540,14753,12648,12632,9965,5218,4105,704,601,576,,3,12,20,61,154,247,680,1152,1973,3072,10910,11617,60003,491,1.29836464661264,2.22367486785308,3.46230572430038,12.2961443529027,13.0929705726555,67.6265398356757,9.09952606635071,12.1482667323441,9.60150023441163,14.4827494656914,38.7297882980497,8.21889099829878,30,1728,40.7407407407407,25.6288272674754,1024,742.333,768.429,3180,9686,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
269,South Dakota,2020/12/11 17:58:00+00,89672,72840,1210,15622,c95141d6-4aac-4796-9071-06ed94b2ac7b,348369,258697,0,42778,46894,,16684,14900,12791,12767,10068,5272,4164,945,613,597,,3,12,20,61,159,251,704,1156,1979,3099,11020,11771,60647,467,1.28914265322509,2.20693192969935,3.45592827192435,12.2892318672495,13.1267285217236,67.6320367561781,9.13112164296999,12.1852102703036,9.68588842006564,14.6287716876186,39.2432072012002,8.30710268442954,33,2169,43.5684647302905,25.7405222623138,1224,878,753.429,3229,9797,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
270,South Dakota,2020/12/12 18:15:00+00,90407,76247,1243,12917,e9c0eae2-c801-4733-9e8f-6fa1659ec0a0,350215,259808,0,43133,47274,,16802,15016,12893,12851,10158,5326,4207,735,632,611,,3,12,20,63,160,262,723,1159,1986,3117,11081,11867,61197,452,1.28198037762563,2.19673255389516,3.44774187839437,12.2567942747796,13.1261959803997,67.6905549349055,9.15481832543444,12.2283110645896,9.74214721050164,14.709747647051,39.5632605434239,8.38243875177725,33,1846,39.8158179848321,25.8147138186543,1111,794.7,729,3259,9895,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
271,South Dakota,2020/12/13 06:14:00+00,91038,77032,1259,12747,2f2f552c-3476-4834-9d5c-a0b2ab62ab3b,351856,260818,0,43425,47613,,16875,15115,12993,12943,10242,5370,4240,631,643,616,,3,12,21,63,160,264,736,1162,1995,3129,11145,11950,61657,436,1.27639007886817,2.1913926052857,3.43702629671126,12.242140644566,13.1263867835409,67.7266635910279,9.17851500789889,12.2837263715288,9.77965307079231,14.7947060307178,39.8399733288881,8.44544709901351,16,1641,38.4521633150518,25.8736528579874,1010,770.3,721,3285,9975,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
272,South Dakota,2020/12/14 17:56:00+00,91354,77472,1259,12623,13340c1a-c498-4152-9833-7abe4d8af3f2,352547,261193,0,43586,47768,,16918,15164,13033,12991,10278,5394,4256,316,643,616,,3,12,21,63,160,264,736,1167,1999,3138,11186,11973,61891,441,1.27744816866257,2.18819099327889,3.4349891630361,12.2446745626902,13.1061584604943,67.7485386518379,9.21800947867299,12.3083553968352,9.80778246601031,14.8491324952543,39.9166527754626,8.47749917130326,0,691,45.7308248914617,25.9125733590131,375,560.7,693.4,3300,10020,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
273,South Dakota,2020/12/15 17:54:00+00,91699,78919,1261,11519,fb5952ef-963b-4d9b-b1eb-9a6938e0c159,353282,261583,0,43756,47943,,16967,15224,13089,13035,10320,5416,4274,345,644,617,,3,12,21,63,161,264,737,1172,2001,3145,11235,12016,62130,435,1.27809463571031,2.18213939083305,3.42969934241377,12.2520420070012,13.1037415893303,67.7542830347114,9.25750394944708,12.3206699094883,9.82966088451321,14.9141787577491,40.0600100016669,8.51023611693254,2,735,46.9387755102041,25.9563181820755,390,430.667,665.857,3322,10052,0,0,,,,,,,,,,,,,,,,0,0,,,0,,,,
274,South Dakota,2020/12/16 17:59:00+00,92603,80316,1300,10987,490e461e-3870-4ec3-b84b-f5265764882a,355614,263011,0,44193,48410,,17083,15372,13225,13177,10440,5489,4302,904,666,634,,3,12,21,64,165,271,764,1176,2006,3160,11360,12115,62786,412,1.26993725905208,2.16623651501571,3.41241644439165,12.2674211418637,13.0827295012041,67.8012591384728,9.28909952606635,12.3514561911212,9.87654320987654,15.0801131008483,40.3900650108351,8.60009149907816,39,2332,38.7650085763293,26.0403133734892,1428,521.667,654.286,3368,10147,0,0,405,405,104,285,0,0,0,0,6,37,66,92,204,405,405,405,0,,,0,,,,
275,South Dakota,2020/12/17 18:21:00+00,93197,83140,1301,8756,67cbe49b-8922-40a2-8c62-e23c6eddd9b6,356916,263719,0,44460,48737,,17180,15460,13312,13256,10502,5522,4328,594,666,635,,3,12,21,64,165,272,764,1184,2012,3176,11416,12180,63229,406,1.27042715967252,2.15886777471378,3.40783501614859,12.2493213300857,13.0690902067663,67.8444585126131,9.3522906793049,12.3883997290807,9.92655102359744,15.1544516865567,40.6067677946324,8.66077127696004,1,1302,45.6221198156682,26.1117461811743,708,614.33,638.57,3405,10232,0,0,1106,1106,263,791,0,7,202,268,221,233,158,16,1,701,701,1106,0,,,0,,,,
276,South Dakota,2020/12/18 18:20:00+00,93772,83670,1329,8773,4d6b20c5-f6ae-46fe-81e8-d1bf0065a6ca,358566,264794,0,44750,49022,,17252,15555,13388,13322,10572,5559,4355,575,681,648,,3,12,22,66,168,278,780,1186,2019,3191,11482,12246,63648,387,1.2647698673378,2.15309474043424,3.4029347779721,12.2445932687796,13.0593354092906,67.8752719361856,9.36808846761453,12.4315005233668,9.97343334896077,15.242065019713,40.8268044674112,8.7181636628122,28,1650,34.8484848484849,26.1519497107924,1075,691,585.714,3449,10320,0,0,3479,3479,846,2465,0,31,647,902,735,649,462,52,1,2373,2373,3479,0,,,0,,,,
277,South Dakota,2020/12/19 18:04:00+00,94336,84490,1350,8496,829efc00-cbcb-46e7-a054-b195f4d5a51c,360182,265846,0,45027,49309,,17337,15646,13467,13388,10650,5598,4372,564,695,655,,3,12,22,69,173,284,787,1194,2024,3205,11533,12333,64047,365,1.26568860244233,2.1455223880597,3.39743046132972,12.2254494572592,13.0734820217096,67.8924270691995,9.43127962085308,12.4622868049997,10.0171901859666,15.3097662316974,41.1168528088015,8.77281655530626,21,1616,34.9009900990099,26.1912033360912,1052,577.667,561.286,3476,10402,0,0,6198,6198,1479,4479,0,54,1224,1615,1248,1129,827,76,25,2719,2719,6198,0,,,0,,,,
278,South Dakota,2020/12/20 18:28:00+00,94727,85096,1361,8270,ee7e87c3-4807-43b8-bd36-d78151e20925,361285,266558,0,45124,49513,,17402,15701,13531,13436,10713,5628,4382,391,700,661,,3,12,22,69,173,287,795,1197,2030,3213,11559,12379,64349,345,1.26363127724936,2.14300041170944,3.39185237577459,12.2024343640145,13.0680798505178,67.9310017207343,9.45497630331754,12.4992303429592,10.042194092827,15.3442805750621,41.2702117019503,8.81418290501355,11,1103,35.4487760652765,26.2194666260708,712,510,527,3496,10438,0,0,6311,6311,1510,4561,0,54,1239,1644,1268,1149,849,82,26,113,113,6311,0,,,0,,,,
279,South Dakota,2020/12/21 17:25:00+00,95074,85320,1381,8373,12379b51-1fb0-4675-ba23-a88d2706505e,362320,267246,0,45370,49704,,17440,15748,13588,13492,10758,5651,4399,347,708,673,,3,12,22,70,173,295,806,1197,2031,3219,11576,12427,64624,344,1.25901929023708,2.13623072554011,3.38578370532427,12.1757788669878,13.0708711109241,67.9723163009866,9.45497630331754,12.5053875992858,10.0609470229723,15.3668476457235,41.4302383730622,8.8518509386874,20,1035,33.5265700483092,26.2403400309119,688,434,531.4,3515,10483,0,0,7516,7516,1778,5475,0,76,1494,1957,1495,1384,986,96,28,1205,1205,7516,0,,,0,,,,
280,South Dakota,2020/12/22 18:06:00+00,95509,86501,1381,7627,cbf462ea-a3d2-4e61-b9b0-2b3c81c3dc13,363598,268089,0,45577,49932,,17506,15826,13657,13547,10822,5674,4414,435,708,673,,3,12,22,70,172,295,806,1200,2037,3231,11623,12472,64946,341,1.25642609597001,2.1327832979091,3.38292726339926,12.1695337612162,13.058455224115,67.9998743573904,9.47867298578199,12.5423311372452,10.098452883263,15.4292389587288,41.5802633772295,8.89595678175278,0,1278,34.037558685446,26.2677462472291,843,391,544.286,3538,10525,0,0,7844,7844,1855,5725,0,79,1553,2040,1549,1454,1036,103,30,328,328,7844,0,,,0,,,,
281,South Dakota,2020/12/23 18:18:00+00,96040,87337,1389,7314,e00eb359-d891-49f8-84e2-a0c0c18efab0,365126,269086,0,45847,50193,,17582,15918,13729,13633,10884,5712,4435,531,714,675,,3,12,22,70,174,296,812,1198,2047,3237,11676,12510,65372,337,1.24739691795085,2.1314035818409,3.37047063723449,12.1574344023324,13.0258225739275,68.0674718867139,9.46287519747235,12.6039037005111,10.1172058134083,15.4995951202028,41.7069511585264,8.95430799028028,8,1528,34.7513089005236,26.3032487415303,997,437.667,491,3555,10592,0,0,8398,8398,1990,6142,0,91,1665,2161,1661,1551,1118,121,30,554,554,8398,0,,,0,,,,
282,South Dakota,2020/12/24 20:10:00+00,96546,88018,1430,7098,ebf15dd5-2967-4b3f-8a4d-8b318ac6c0b4,366510,269964,0,46079,50467,,17658,15990,13803,13708,10955,5749,4463,506,738,692,,4,12,23,73,179,305,834,1201,2050,3247,11719,12531,65798,312,1.24396660659168,2.1233401694529,3.36316367327492,12.1382553394237,12.9793052016655,68.1519690095913,9.48657187993681,12.6223754694908,10.1484606969839,15.5566765342289,41.7769628271379,9.01265919880777,41,1384,36.5606936416185,26.3419824834247,878,490.7,478.4,3576,10644,0,0,9770,9770,2304,7133,0,107,1872,2483,1910,1825,1340,162,71,1372,1372,9770,0,,,0,,,,
283,South Dakota,2020/12/26 18:33:00+00,96963,88428,1446,7089,c8a6ca0e-7a69-4770-ba16-232ab77aab79,367781,270818,0,46285,50678,,17714,16059,13875,13777,10997,5773,4480,417,747,699,,4,12,24,74,182,309,841,1202,2057,3253,11759,12592,66100,289,1.23964811319782,2.12142776110475,3.35488794694884,12.1273062920908,12.986396873034,68.1703330136237,9.49447077409163,12.6654762637769,10.1672136271292,15.6097755240207,41.9803300550092,9.05402554851506,16,1271,32.8088119590873,26.3643309469494,854,461.5,437.833,3603,10685,0,0,12910,12910,3070,9370,1,128,2314,3130,2446,2459,1869,294,269,3140,3140,12910,0,,,0,,,,
284,South Dakota,2020/12/27 18:35:00+00,97390,89249,1446,6695,de758df2-715c-4159-815e-8ca5cd3adb15,368785,271395,0,46509,50881,,17785,16131,13941,13834,11048,5801,4499,427,747,699,,4,12,24,74,182,309,841,1207,2068,3262,11784,12662,66407,274,1.23934695553958,2.12342129582093,3.34941985830167,12.0998049081014,13.0013348393059,68.1866721429305,9.53396524486572,12.7332060833693,10.1953430223472,15.6429623926405,42.213702283714,9.09607677156187,0,1004,42.5298804780876,26.4083409032363,577,422,443.833,3615,10736,0,0,13710,13710,3265,9920,0,135,2404,3282,2583,2634,2018,331,323,800,800,13710,0,,,0,,,,
285,South Dakota,2020/12/28 18:07:00+00,97657,89688,1446,6523,8589b459-c68b-49e0-8704-84b5132735ba,369269,271612,0,46633,51024,,17824,16173,13977,13882,11087,5823,4506,267,747,699,,4,12,24,74,182,309,841,1211,2068,3268,11803,12705,66602,288,1.24005447638162,2.11761573671114,3.34640629959962,12.0861791781439,13.0098200845817,68.1999242245819,9.56556082148499,12.7332060833693,10.2140959524926,15.6681844127915,42.3570595099183,9.12278683180333,0,484,55.1652892561983,26.4460325670446,217,370.3,430.5,3615,10736,0,0,14799,14799,3493,10729,0,150,2502,3443,2796,2853,2224,398,433,1089,1089,14799,0,,,0,,,,
286,South Dakota,2020/12/29 18:03:00+00,98158,90974,1446,5738,22e0a535-05cf-480e-938b-fbf1bdc76de5,370159,272001,0,46863,51295,,17904,16252,14072,13937,11136,5869,4521,501,747,699,,4,12,24,74,182,309,841,1216,2071,3280,11836,12772,66983,303,1.23881904684285,2.10986368915422,3.34155137635241,12.0581103934473,13.011675054504,68.2399804396993,9.60505529225908,12.751677852349,10.2516018127832,15.7119910793697,42.5804300716786,9.1749741802751,0,890,56.2921348314607,26.5177937048674,389,398.333,441.5,3655,10812,0,0,15830,15830,3722,11443,0,156,2636,3664,2995,3101,2412,424,442,1031,1031,15830,0,,,0,,,,
287,South Dakota,2020/12/30 17:53:00+00,98720,91527,1464,5729,dc18b55c-3311-427f-8a9a-2132f3fd9e7f,371459,272739,0,47138,51582,,18000,16351,14151,14005,11216,5909,4542,562,758,706,,4,12,24,74,186,316,848,1214,2073,3305,11917,12816,67395,293,1.22974068071313,2.09987844408428,3.34785251215559,12.0715153970827,12.9821717990276,68.2688411669368,9.58925750394945,12.7639923650022,10.3297390217221,15.8195165336979,42.7271211868645,9.23140774345193,18,1300,43.2307692307692,26.5762843274763,738,443.333,446.667,3681,10865,0,0,18960,18960,4423,13602,0,186,3045,4314,3606,3791,2934,558,526,3130,3130,18960,0,,,0,,,,
288,South Dakota,2020/12/31 18:00:00+00,99164,91980,1488,5696,42048350-2f95-4c2f-853a-e20fc1e0bd22,372640,273476,0,47356,51808,,18082,16424,14211,14070,11274,5937,4559,444,770,718,,4,13,25,75,186,323,862,1216,2079,3311,11958,12877,67723,297,1.22625146222419,2.096526965431,3.33891331531604,12.0588116655238,12.9855592755435,68.2939373159614,9.60505529225908,12.8009359029616,10.3484919518675,15.8739429982345,42.9304884147358,9.27633543452474,24,1181,37.5952582557155,26.6112065264062,737,502.3,436.3,3702,10905,0,0,21144,21144,5079,15052,0,205,3328,4683,4037,4239,3258,642,752,2184,2184,21144,0,,,0,,,,
289,South Dakota,2021/01/02 18:32:00+00,99829,92595,1501,5733,a17222d0-834c-42bb-9685-b9021c61f885,373946,274117,0,47672,52157,,18179,16520,14315,14169,11352,5980,4581,665,776,725,,4,13,27,78,187,324,868,1219,2081,3312,12050,12927,68240,282,1.2210880605836,2.08456460547536,3.31767322120827,12.0706407957608,12.9491430345891,68.3568902823829,9.62875197472354,12.8132504156148,10.351617440225,15.9960706747554,43.0971828638106,9.34715133783158,13,1306,50.9188361408882,26.6961005064902,641,554.5,477.667,3730,11003,0,0,25325,25325,6254,17883,0,244,3955,5551,4759,4975,3874,868,1099,4181,4181,25325,0,,,0,,,,
