2588.statecounty,TN_Rha,TN_Rhea
1377.statecounty,MNPennington,MN_Pennington
668.statevalue,D,ID
365.fipstwo,f10281,f12081
2393.statecounty,PR_Utuadov Municipio,PR_Utuado Municipio
1639.countytwo,ineral ,Mineral 
1229.fipstwo,f2301t5,f23015
2970.countytwo,Lnychburg city,Lynchburg city
944.statecounty,KS_aLbette,KS_Labette
2505.statevalue,SsD,SD
2915.fipstwo,f1031,f51031
3042.statevalue,VjT,VT
998.statecounty,KS_Woobdson,KS_Woodson
67.statecounty,AL_Lamr,AL_Lamar
653.county,Wnineshiek ,Winneshiek 
674.county,Clearwate r,Clearwater 
322.county,Distirct of Columbia,District of Columbia
2184.countytwo,Lvoe ,Love 
736.countytwo,Henrderson ,Henderson 
966.county,Ottawa ***,Ottawa 
175.county,Swain sIsland,Swains Island
464.statecounty,GA_Hrris,GA_Harris
2756.county,Leoxn ,Leon 
1132.statevalue,AL,LA
1905.county,Vallaey ,Valley 
1177.county,Venron Parish,Vernon Parish
1472.statecounty,MO_Mfercer,MO_Mercer
1747.fipstwo,f37156,f37165
1669.fipstwo,f37009***,f37009
3074.countytwo,San Juna ,San Juan 
1312.statevalue,MgI,MI
1718.countytwo,Lenoi r,Lenoir 
443.county,Efifngham ,Effingham 
2209.statevalue,K,OK
1258.statecounty,MI_Deltfa,MI_Delta
2083.countytwo,rGuernsey ,Guernsey 
1081.countytwo,Meadej ,Meade 
1924.countytwo,Capmden ,Camden 
3182.county,Marshaltl ,Marshall 
2929.countytwo,Danville cihty,Danville city
388.countytwo,Unon ,Union 
3024.statecounty,VA_Westmoreladn,VA_Westmoreland
1311.statecounty,I_Sanilac,MI_Sanilac
291.countytwo,Mfofat ,Moffat 
2186.statevalue,KO,OK
2514.county,aWlworth ,Walworth 
3194.countytwo,Pleaasnts ,Pleasants 
2130.statecounty,H_Summit,OH_Summit
1742.fipstwo,37155,f37155
839.county,Javsper ,Jasper 
2114.countytwo,Nobl e,Noble 
159.statevalue,R,AR
1106.countytwo,Smpson ,Simpson 
2981.statevalue,A,VA
1885.statevalue,EN,NE
5.statevalue,AeK,AK
1340.county,Ddge ,Dodge 
850.county,Mpadison ,Madison 
1426.statevalue,OM,MO
871.countytwo,Riple y,Ripley 
2104.fipstwo,f3t9101,f39101
1633.countytwo,Lewisa nd Clark ,Lewis and Clark 
2907.statevalue,AV,VA
1093.statecounty,KY_wOen,KY_Owen
1035.statecounty,K_Floyd,KY_Floyd
1286.countytwo,yMackinac ,Mackinac 
2455.statecounty,oSD_Brookings,SD_Brookings
501.county,Oglethozrpe ,Oglethorpe 
1395.countytwo,Steven s,Stevens 
318.fipstwo,f9009,f09009
127.county,Howar d,Howard 
1246.statevalue,MjI,MI
1300.countytwo,Oaklandv ,Oakland 
1263.county,Gldwin ,Gladwin 
593.county,Fremon ,Fremont 
233.statecounty,CA_Santa Barbarsa,CA_Santa Barbara
749.statecounty,I_LLake,IL_Lake
1429.statevalue,O,MO
2424.countytwo,Fairfild ,Fairfield 
799.countytwo,Wll ,Will 
1335.countytwo,Clearwgater ,Clearwater 
255.statecounty,CO_Benkt,CO_Bent
422.statevalue,AG,GA
936.statevalue,mKS,KS
2494.countytwo,Mcook ,McCook 
2019.statevalue,gNY,NY
446.county,Evanls ,Evans 
285.statevalue,O,CO
1903.countytwo,Thomdas ,Thomas 
628.countytwo,O'rBien ,O'Brien 
1503.county,Shannon ***,Shannon 
2625.countytwo,Bel ,Bell 
2154.statevalue,K,OK
205.fipstwo,f60027,f06027
323.fipstwo,1f0001,f10001
658.statecounty,IDAdams,ID_Adams
1894.statevalue,NdE,NE
2511.county,hTripp ,Tripp 
1927.statecounty,pNJ_Essex,NJ_Essex
354.statecounty,F_Holmes,FL_Holmes
2334.fipstwo,f27025,f72025
3134.countytwo,Pol k,Polk 
170.fipstwo,wf05147,f05147
315.county,zHartford ,Hartford 
2495.countytwo,MPherson ,McPherson 
2851.county,Wembb ,Webb 
361.countytwo,Leo ,Leon 
1524.countytwo,ota Municipality,Rota Municipality
623.countytwo,Mitchellb ,Mitchell 
279.statecounty,CO_Jakcson,CO_Jackson
1865.fipstwo,f31059,f31095
2273.fipstwo,42037,f42037
1625.statevalue,uMT,MT
156.statevalue,RA,AR
1833.countytwo,zCherry ,Cherry 
3040.statevalue,TV,VT
2277.county,Delawarey ,Delaware 
342.countytwo,Fulagler ,Flagler 
627.statecounty,IA_Musctine,IA_Muscatine
1774.county,Cvalier ,Cavalier 
328.countytwo,Ba ,Bay 
2057.county,Ashtaebula ,Ashtabula 
181.statecounty,AZ_Grahafm,AZ_Graham
1783.fipstwo,f8037,f38037
1971.statevalue,NqM,NM
1759.statecounty,NC_bWatauga,NC_Watauga
226.statevalue,CuA,CA
2706.statevalue,X,TX
1227.countytwo,eKnnebec ,Kennebec 
268.countytwo,Douglaxs ,Douglas 
1453.statevalue,O,MO
1909.statevalue,xNE,NE
1092.countytwo,ldham ,Oldham 
1517.countytwo,arren ,Warren 
2926.fipstwo,51045,f51045
2443.county,Pickesn ,Pickens 
2791.countytwo,Oldha m,Oldham 
2579.statecounty,TN_Montgomry,TN_Montgomery
3101.countytwo,Dougla s,Douglas 
842.statevalue,NI,IN
3070.statecounty,WA_kanogan,WA_Okanogan
3161.fipstwo,ff54007,f54007
1533.countytwo,aClhoun ,Calhoun 
3069.statecounty,WAw_Mason,WA_Mason
1282.fipstwo,26089,f26089
1775.countytwo,Dsickey ,Dickey 
375.countytwo,Palm Bech ,Palm Beach 
135.countytwo,Le ,Lee 
2841.county,Upshru ,Upshur 
913.statecounty,KS_Criawford,KS_Crawford
3001.statecounty,A_Richmond,VA_Richmond
2393.fipstwo,72141,f72141
1969.statevalue,M,NM
1556.county,Jacksbon ,Jackson 
1891.statecounty,NE_Ricahrdson,NE_Richardson
1182.countytwo,West Felicaina ,West Feliciana 
1031.county,Ellmiott ,Elliott 
658.fipstwo,f6003,f16003
1850.fipstwo,f31605,f31065
1032.statecounty,KYq_Estill,KY_Estill
3174.statevalue,wWV,WV
560.statevalue,AI,IA
3143.statevalue,I,WI
1056.fipstwo,f21o113,f21113
147.fipstwo,f0511,f05101
32.fipstwo,f01a005,f01005
3094.county,Chipepwa ,Chippewa 
476.countytwo,oJnes ,Jones 
2144.fipstwo,f4h0005,f40005
2623.countytwo,Baylo r,Baylor 
3205.statecounty,WV_Tywler,WV_Tyler
2258.statecounty,PA_Beaveer,PA_Beaver
1777.statecounty,N_Dunn,ND_Dunn
2763.county,Lubobck ,Lubbock 
2706.countytwo,ale ,Hale 
2701.statevalue,bTX,TX
2646.countytwo,Casrto ,Castro 
1756.countytwo,Wpake ,Wake 
3170.fipstwo,f5402v5,f54025
2425.statevalue,aSC,SC
2914.statecounty,VA_Buena aVista city,VA_Buena Vista city
371.countytwo,Oaloosa ,Okaloosa 
3194.statecounty,V_Pleasants,WV_Pleasants
879.statecounty,IN_Sulivan,IN_Sullivan
1715.statevalue,NaC,NC
2905.statecounty,A_Bath,VA_Bath
2628.countytwo,Bordxen ,Borden 
3161.county,raxton ,Braxton 
957.statevalue,S,KS
1253.county,Cheboygna ,Cheboygan 
1038.county,Galxlatin ,Gallatin 
2670.statecounty,TX_Defa Smith,TX_Deaf Smith
56.statecounty,AL_Escabia,AL_Escambia
3101.statevalue,WpI,WI
2598.statevalue,TmN,TN
460.statecounty,GA_Habershma,GA_Habersham
2784.fipstwo,fn48345,f48345
1372.statevalue,N,MN
401.fipstwo,f13q017,f13017
1491.fipstwo,f29176,f29167
2457.fipstwo,f4605,f46015
187.countytwo,Pma ,Pima 
2782.statecounty,TX_More,TX_Moore
692.statevalue,D,ID
48.county,Coosa ***,Coosa 
2594.fipstwo,47155,f47155
2115.fipstwo,f39213,f39123
906.county,heyenne ,Cheyenne 
1001.statevalue,KgY,KY
2120.statecounty,OH_Portge,OH_Portage
669.fipstwo,f1625,f16025
3181.fipstwo,f54094,f54049
70.statecounty,AL_Lee***,AL_Lee
3126.statevalue,IW,WI
1613.statevalue,MxT,MT
5.countytwo,Bristol aBy Borough,Bristol Bay Borough
2435.county,Le ,Lee 
2504.statecounty,SD_Roberpts,SD_Roberts
2882.countytwo,Piue ,Piute 
969.statevalue,SK,KS
2212.countytwo,Tilman ,Tillman 
2191.county,Muray ,Murray 
1292.county,Menomine e,Menominee 
1603.fipstwo,f2815h3,f28153
707.statecounty,IL_Calhon,IL_Calhoun
3128.statevalue,IW,WI
713.statecounty,IL_lay,IL_Clay
2065.statecounty,OH_Cilark,OH_Clark
2982.statevalue,AV,VA
836.statevalue,pIN,IN
2750.county,eLa Salle ,La Salle 
1541.county,opiah ,Copiah 
233.countytwo,Santa Barbarra ,Santa Barbara 
2224.county,Choos ,Coos 
3184.county,McDowel ,McDowell 
1838.statevalue,E,NE
272.fipstwo,f00843,f08043
214.county,Mednocino ,Mendocino 
2825.statecounty,TvX_Starr,TX_Starr
1147.fipstwo,f220z59,f22059
896.statevalue,SK,KS
92.county,Tuscaolosa ,Tuscaloosa 
2242.statevalue,R,OR
646.statevalue,A,IA
2962.statecounty,VAk_King George,VA_King George
1650.countytwo,Rchland ,Richland 
2075.statecounty,OHErie,OH_Erie
3158.statevalue,VW,WV
1550.countytwo,Harrsion ,Harrison 
2889.statecounty,UT_Tdooele,UT_Tooele
3122.statecounty,WIMarathon,WI_Marathon
217.county,Mjono ,Mono 
240.statevalue,A,CA
3027.countytwo,Wsie ,Wise 
2182.statecounty,OK_Linocln,OK_Lincoln
1177.countytwo,Vernn ,Vernon 
745.statevalue,IlL,IL
747.statevalue,L,IL
2023.fipstwo,f3063,f36063
3154.countytwo,Waupca ,Waupaca 
1973.statecounty,NM_eUnion,NM_Union
1171.statecounty,LA_St. Tamany,LA_St. Tammany
216.statevalue,AC,CA
908.county,lCay ,Clay 
2501.statecounty,SD_Penninton,SD_Pennington
3133.countytwo,Pierc ,Pierce 
2989.statecounty,VA_Patrik,VA_Patrick
2455.county,Bookings ,Brookings 
2425.countytwo,Florenec ,Florence 
378.countytwo,Plk ,Polk 
2949.countytwo,Green ,Greene 
1257.countytwo,Crawfor d,Crawford 
1039.countytwo,cGarrard ,Garrard 
614.county,Lin ,Linn 
1052.fipstwo,21105,f21105
222.statevalue,CbA,CA
138.statecounty,AR_cLogan,AR_Logan
3097.county,Crawiford ,Crawford 
1814.statecounty,NDm_Walsh,ND_Walsh
305.statevalue,OC,CO
591.statevalue,A,IA
2052.statecounty,NY_Wyoimng,NY_Wyoming
1614.countytwo,Crater ,Carter 
218.statecounty,CA_Montrey,CA_Monterey
1415.statevalue,OM,MO
2910.county,Bristol ciyt,Bristol city
1081.county,Mgeade ,Meade 
2498.countytwo,Mienr ,Miner 
720.countytwo,DeKal b,DeKalb 
1443.county,Franklcin ,Franklin 
3112.statecounty,WI_Jalckson,WI_Jackson
1308.fipstwo,f21641,f26141
2971.county,Maison ,Madison 
2996.statecounty,VA_Prnce George,VA_Prince George
2353.statecounty,zPR_Guaynabo Municipio,PR_Guaynabo Municipio
1805.statevalue,DN,ND
2710.countytwo,Hakrdeman ,Hardeman 
789.statevalue,L,IL
118.statevalue,RA,AR
2649.statevalue,X,TX
1068.countytwo,Lincol n,Lincoln 
745.countytwo,Kaen ,Kane 
2747.fipstwo,f4v8271,f48271
2641.statecounty,TX_Calahan,TX_Callahan
1424.county,Carroll ***,Carroll 
3136.countytwo,Pricel ,Price 
3146.statecounty,WI_Tgaylor,WI_Taylor
166.statecounty,R_Union,AR_Union
750.statecounty,L_LaSalle,IL_LaSalle
533.fipstwo,f13825,f13285
1784.county,Grigg s,Griggs 
49.statecounty,AL_Covnigton,AL_Covington
2845.statevalue,XT,TX
1652.statevalue,T,MT
687.countytwo,Leiws ,Lewis 
2436.county,Lexingtno ,Lexington 
689.statecounty,ImD_Madison,ID_Madison
114.countytwo,Crittendqen ,Crittenden 
1538.fipstwo,f28032,f28023
2902.statevalue,AV,VA
800.statecounty,I_LWilliamson,IL_Williamson
2751.countytwo,Lamalr ,Lamar 
67.county,Lmaar ,Lamar 
244.statevalue,tCA,CA
663.statevalue,DI,ID
2212.statecounty,OK_Tillmna,OK_Tillman
559.countytwo,Aadms ,Adams 
424.statecounty,GAC_linch,GA_Clinch
1082.county,eMnifee ,Menifee 
83.countytwo,Picens ,Pickens 
970.county,Prat t,Pratt 
1728.fipstwo,ff37127,f37127
149.fipstwo,f50105,f05105
156.fipstwo,f0519,f05119
1797.countytwo,lOiver ,Oliver 
2925.statevalue,AV,VA
441.countytwo,Eamrly ,Early 
2171.fipstwo,f40095,f40059
709.statecounty,I_Cass,IL_Cass
2669.statevalue,lTX,TX
2023.statevalue,YN,NY
2814.countytwo,San Auugstine ,San Augustine 
1722.fipstwo,f37171,f37117
1082.statevalue,Y,KY
2153.county,Choctiaw ,Choctaw 
639.county,Sctt ,Scott 
1978.fipstwo,f32050,f32005
100.county,Bnton ,Benton 
2543.statevalue,bTN,TN
2125.statevalue,HO,OH
3085.fipstwo,f5a3077,f53077
1020.fipstwo,f2r1041,f21041
117.county,Dnesha ,Desha 
2341.countytwo,CialesMunicipio,Ciales Municipio
1278.county,ent ,Kent 
1380.statecounty,N_Polk,MN_Polk
2716.county,Hasy ,Hays 
2084.county,Hmilton ,Hamilton 
777.statevalue,aIL,IL
881.statecounty,I_Tippecanoe,IN_Tippecanoe
2455.fipstwo,fk46011,f46011
2202.statevalue,KO,OK
2385.county,Sanp German Municipio,San German Municipio
1306.statecounty,MI_pOtsego,MI_Otsego
1649.county,avalli ,Ravalli 
945.county,Lan e,Lane 
583.countytwo,Davsi ,Davis 
960.fipstwo,vf20131,f20131
864.statevalue,N,IN
270.fipstwo,tf08041,f08041
157.countytwo,Rnadolph ,Randolph 
151.countytwo,Pixke ,Pike 
861.statecounty,oIN_Orange,IN_Orange
1592.county,Sone ,Stone 
1613.county,Caron ,Carbon 
636.statevalue,rIA,IA
2190.county,MhcIntosh ,McIntosh 
730.statecounty,IL_Galjlatin,IL_Gallatin
1875.statevalue,eNE,NE
1524.statecounty,MP_Rota Munwicipality,MP_Rota Municipality
292.countytwo,Motnezuma ,Montezuma 
1290.statevalue,MjI,MI
29.countytwo,Yukon-Koykuk Census Area,Yukon-Koyukuk Census Area
2443.statecounty,CS_Pickens,SC_Pickens
1201.statevalue,oMD,MD
163.statevalue,gAR,AR
1259.county,Dckinson ,Dickinson 
703.countytwo,Bon d,Bond 
1913.countytwo,Ceshire ,Cheshire 
341.county,rEscambia ,Escambia 
576.fipstwo,f1h9037,f19037
2097.countytwo,aLwrence ,Lawrence 
2585.statecounty,N_Pickett,TN_Pickett
347.statevalue,LF,FL
2506.county,Shanonn ,Shannon 
719.fipstwo,f1703n9,f17039
1228.county,Kox ,Knox 
2692.statevalue,X,TX
1190.countytwo,ampden ,Hampden 
3098.statevalue,I,WI
2755.fipstwo,48287,f48287
1497.fipstwo,f2917h9,f29179
934.county,Hajrvey ,Harvey 
2345.county,Coorzal Municipio,Corozal Municipio
884.county,Vanderbqurgh ,Vanderburgh 
651.statevalue,eIA,IA
2602.statecounty,N_Unicoi,TN_Unicoi
2787.county,Nwton ,Newton 
2093.statecounty,OH_Jakcson,OH_Jackson
2454.fipstwo,f46t009,f46009
2453.statevalue,DS,SD
1880.countytwo,Nancue ,Nance 
1013.statevalue,KoY,KY
2423.county,Edgefiel d,Edgefield 
202.countytwo,Glen n,Glenn 
1083.fipstwo,f21176,f21167
277.statevalue,CsO,CO
1230.county,xford ,Oxford 
2996.statevalue,A,VA
2379.fipstwo,72113,f72113
1691.fipstwo,fb37053,f37053
128.statevalue,xAR,AR
2922.countytwo,hesterfield ,Chesterfield 
1333.countytwo,hisago ,Chisago 
448.county,aFyette ,Fayette 
1804.county,Rolete ,Rolette 
1902.statevalue,EN,NE
1952.countytwo,Guadaloupe ,Guadalupe 
743.statecounty,IL_Jo Daviess***,IL_Jo Daviess
3011.county,Smyt ,Smyth 
1170.statecounty,LA_Sst. Mary,LA_St. Mary
2586.fipstwo,f41739,f47139
634.statevalue,AI,IA
2262.countytwo,Bradfrod ,Bradford 
2611.statecounty,TNW_ilson,TN_Wilson
2453.statecounty,D_Bennett,SD_Bennett
3203.statevalue,VW,WV
843.statecounty,INt_Johnson,IN_Johnson
1518.statecounty,OM_Washington,MO_Washington
1736.county,Perquiamns ,Perquimans 
1670.statecounty,gNC_Avery,NC_Avery
2868.statevalue,TU,UT
2175.county,Jefferson ***,Jefferson 
2083.fipstwo,f3905b9,f39059
1390.statecounty,MN_Sheirburne,MN_Sherburne
3001.county,Richmon d,Richmond 
289.countytwo,Meas ,Mesa 
3140.statevalue,WcI,WI
856.county,Montgomry ,Montgomery 
517.statecounty,eGA_Seminole,GA_Seminole
1379.statecounty,MN_Pipestoe,MN_Pipestone
2592.countytwo,Scotot ,Scott 
610.statecounty,IA_Joneys,IA_Jones
1459.fipstwo,f92103,f29103
1408.countytwo,Adai r,Adair 
2311.statecounty,PA_Suullivan,PA_Sullivan
3169.statecounty,WjV_Grant,WV_Grant
2253.fipstwo,f41609,f41069
874.fipstwo,f1n8145,f18145
740.countytwo,Jacsper ,Jasper 
2935.county,uFairfax city,Fairfax city
1770.fipstwo,38011,f38011
2442.statecounty,SC_Orangebugr,SC_Orangeburg
2227.statevalue,OtR,OR
1929.countytwo,Hudsuon ,Hudson 
250.countytwo,Admas ,Adams 
389.statecounty,FLVolusia,FL_Volusia
1225.fipstwo,2f3007,f23007
2621.statevalue,TmX,TX
425.county,obb ,Cobb 
2622.county,Bsatrop ,Bastrop 
3187.statevalue,V,WV
390.statecounty,FL_Wwakulla,FL_Wakulla
631.statevalue,IkA,IA
2723.statecounty,TX_Hopkisn,TX_Hopkins
2804.statevalue,X,TX
839.statecounty,IN_Jcasper,IN_Jasper
1186.countytwo,Brstol ,Bristol 
2857.county,Wilsliamson ,Williamson 
1586.countytwo,Quiptman ,Quitman 
2111.fipstwo,f93115,f39115
170.county,Woodurff ,Woodruff 
262.countytwo,Cyostilla ,Costilla 
667.countytwo,Bonudary ,Boundary 
2683.statevalue,XT,TX
2584.statevalue,ToN,TN
2479.statevalue,D,SD
310.statevalue,CfO,CO
683.countytwo,erome ,Jerome 
2043.fipstwo,3f6103,f36103
2875.countytwo,Garfiel d,Garfield 
1818.statecounty,E_Adams,NE_Adams
767.statevalue,iIL,IL
831.countytwo,Hamliton ,Hamilton 
2357.fipstwo,f2069,f72069
1541.statecounty,MSC_opiah,MS_Copiah
1945.statevalue,MN,NM
706.statevalue,IhL,IL
1483.statevalue,O,MO
3161.statevalue,VW,WV
57.fipstwo,fa01055,f01055
1136.statecounty,LA_East Batn Rouge,LA_East Baton Rouge
665.statecounty,ID_Bonnr,ID_Bonner
2834.statevalue,bTX,TX
1481.fipstwo,f92147,f29147
990.statevalue,SK,KS
1400.fipstwo,f2b7159,f27159
1676.fipstwo,f30723,f37023
1523.countytwo,Nrorthern Islands Municipality,Northern Islands Municipality
3205.fipstwo,f45095,f54095
2490.countytwo,Lawrenec ,Lawrence 
2594.statecounty,TN_Seier,TN_Sevier
2291.fipstwo,f4g2073,f42073
2114.county,Nbole ,Noble 
405.statecounty,GA_Brantlye,GA_Brantley
375.county,Palm Beaych ,Palm Beach 
1277.statevalue,MxI,MI
1248.fipstwo,f2602t1,f26021
1048.countytwo,Harrispon ,Harrison 
2219.fipstwo,41001,f41001
275.county,Garnd ,Grand 
1311.countytwo,Sanila c,Sanilac 
2802.countytwo,andall ,Randall 
2176.county,Jovhnston ,Johnston 
743.county,Jo Davies ,Jo Daviess 
465.countytwo,Hrt ,Hart 
1003.fipstwo,f2107,f21007
404.fipstwo,13023,f13023
1398.county,Traverbse ,Traverse 
2274.countytwo,Crawofrd ,Crawford 
3181.statevalue,VW,WV
3015.county,Saunton city,Staunton city
1136.countytwo,East Baton Roueg ,East Baton Rouge 
1121.statevalue,LpA,LA
3014.fipstwo,f51197,f51179
2538.fipstwo,f4043,f47043
2739.statecounty,zTX_Karnes,TX_Karnes
602.countytwo,Howrad ,Howard 
2765.fipstwo,f43813,f48313
2175.countytwo,Jesfferson ,Jefferson 
1134.county,Concrodia Parish,Concordia Parish
2792.fipstwo,lf48361,f48361
1811.fipstwo,38093,f38093
2940.statevalue,A,VA
2950.countytwo,Geensville ,Greensville 
3115.fipstwo,f5059,f55059
1852.countytwo,Grden ,Garden 
2693.countytwo,rFio ,Frio 
3228.statevalue,Y,WY
1031.fipstwo,fx21063,f21063
2413.statevalue,CS,SC
2496.statevalue,DS,SD
2973.statecounty,VA_Manassa sPark city,VA_Manassas Park city
462.statevalue,A,GA
2391.fipstwo,f721z37,f72137
1291.statecounty,MI_Mecosat,MI_Mecosta
524.statevalue,GdA,GA
2391.statecounty,PR_ToaB aja Municipio,PR_Toa Baja Municipio
2647.statecounty,TXC_hambers,TX_Chambers
397.fipstwo,fy13009,f13009
2689.county,Foad ,Foard 
1436.statecounty,O_Dade,MO_Dade
2943.statecounty,VA_Frederciksburg city,VA_Fredericksburg city
1886.fipstwo,f13137,f31137
944.countytwo,aLbette ,Labette 
1947.statecounty,M_Curry,NM_Curry
3065.statecounty,WiA_Kittitas,WA_Kittitas
2189.county,McCurtaicn ,McCurtain 
233.county,Santa Barbaa ,Santa Barbara 
1025.fipstwo,f2101,f21051
2374.statecounty,PR_Nauabo Municipio,PR_Naguabo Municipio
745.fipstwo,f1789,f17089
1731.statecounty,CN_Onslow,NC_Onslow
2003.statecounty,NY_Cortlanbd,NY_Cortland
728.statevalue,L,IL
2534.statevalue,NT,TN
798.fipstwo,f1715,f17195
2639.fipstwo,f4r8055,f48055
682.statecounty,IDJ_efferson,ID_Jefferson
2876.statecounty,UTGrand,UT_Grand
347.county,uGlf ,Gulf 
2295.county,Lycomng ,Lycoming 
2929.county,Danville icty,Danville city
1435.fipstwo,f9055,f29055
2371.county,ayaguez Municipio,Mayaguez Municipio
3154.statevalue,IW,WI
1570.statecounty,MS_Lowndse,MS_Lowndes
3129.county,Onieda ,Oneida 
1470.statevalue,OM,MO
349.fipstwo,f12094,f12049
36.statecounty,AL_Buler,AL_Butler
2275.statecounty,P_Cumberland,PA_Cumberland
3104.statevalue,I,WI
2285.countytwo,Huntingdo n,Huntingdon 
533.county,Tcroup ,Troup 
755.statevalue,nIL,IL
445.countytwo,Emuanuel ,Emanuel 
1998.statecounty,Y_Chautauqua,NY_Chautauqua
1795.fipstwo,af38061,f38061
799.county,aWill ,Will 
2835.statevalue,XT,TX
2466.county,Cusetr ,Custer 
997.county,Wilso n,Wilson 
1056.countytwo,Jsesamine ,Jessamine 
1141.countytwo,rant ,Grant 
1484.countytwo,Oazrk ,Ozark 
1380.statevalue,N,MN
2890.statevalue,T,UT
722.statecounty,eIL_DuPage,IL_DuPage
126.county,Hot pSring ,Hot Spring 
1033.statecounty,KY_Fayetlte,KY_Fayette
3089.fipstwo,f550u07,f55007
2895.statevalue,UzT,UT
2313.countytwo,Tiyoga ,Tioga 
2022.statevalue,Y,NY
2489.statevalue,ySD,SD
69.statevalue,L,AL
921.county,Ellwsorth ,Ellsworth 
2426.countytwo,Georgetow n,Georgetown 
756.statevalue,L,IL
2054.statevalue,OjH,OH
1695.statecounty,NC_Duphlin,NC_Duplin
3.statevalue,K,AK
18.statevalue,KA,AK
637.statevalue,A,IA
2822.countytwo,Shemran ,Sherman 
185.county,ohave ,Mohave 
2268.fipstwo,42027,f42027
3224.county,Licnoln ,Lincoln 
935.statecounty,SK_Haskell,KS_Haskell
2373.county,oMrovis Municipio,Morovis Municipio
1720.countytwo,Magcon ,Macon 
1076.fipstwo,f2159,f21159
2343.fipstwo,f7243,f72043
3016.county,Suffol city,Suffolk city
2030.statecounty,NY_Otseog,NY_Otsego
1559.county,Jefferson Daivs ,Jefferson Davis 
444.county,Elber ,Elbert 
2163.county,Dewe y,Dewey 
2041.statecounty,NY_St.Lawrence,NY_St. Lawrence
1710.countytwo,Hertfor d,Hertford 
400.statecounty,GA_Bcartow,GA_Bartow
3180.statevalue,V,WV
2508.countytwo,Staney ,Stanley 
1374.statevalue,bMN,MN
2893.countytwo,Washigton ,Washington 
2364.county,La Marias Municipio,Las Marias Municipio
920.fipstwo,f02051,f20051
906.statecounty,KS_Cheyenen,KS_Cheyenne
828.statevalue,IlN,IN
1088.fipstwo,f2177,f21177
2401.statecounty,RI_Knt,RI_Kent
1237.county,Yogrk ,York 
1152.countytwo,adison ,Madison 
886.statecounty,INVigo,IN_Vigo
1947.statevalue,MN,NM
2923.fipstwo,f15043,f51043
1152.county,Madison Parsh,Madison Parish
2880.fipstwo,f49207,f49027
2402.fipstwo,f44005***,f44005
2786.statevalue,iTX,TX
641.statevalue,A,IA
2271.statevalue,AP,PA
2833.countytwo,Terrjell ,Terrell 
2364.statecounty,PR_Las Marias Municiipo,PR_Las Marias Municipio
2808.county,Robertns ,Roberts 
713.county,lay ,Clay 
2316.county,Warern ,Warren 
1645.countytwo,Phondera ,Pondera 
2250.county,Walolwa ,Wallowa 
1152.statevalue,AL,LA
2497.county,Mellett e,Mellette 
1935.countytwo,Oceayn ,Ocean 
3095.statecounty,W_Clark,WI_Clark
1710.statevalue,C,NC
3186.statecounty,WV_Mneral,WV_Mineral
244.statecounty,CATrinity,CA_Trinity
1812.statevalue,D,ND
1699.statecounty,NC_Franklsin,NC_Franklin
795.fipstwo,f11789,f17189
2256.statevalue,PzA,PA
1671.county,Beaufot ,Beaufort 
554.statevalue,gHI,HI
706.county,Bureua ,Bureau 
2187.statecounty,OK_ayes,OK_Mayes
1456.countytwo,Jaspaer ,Jasper 
2385.fipstwo,f7215,f72125
1040.fipstwo,f21r081,f21081
3046.statevalue,TV,VT
2942.statevalue,AV,VA
1917.countytwo,Merrimacek ,Merrimack 
2108.county,Mtiami ,Miami 
2570.fipstwo,f47111***,f47111
1677.fipstwo,f3725,f37025
52.statevalue,L,AL
618.county,adison ,Madison 
2704.countytwo,Grimse ,Grimes 
2635.fipstwo,f4047,f48047
1551.fipstwo,f28x049,f28049
2223.fipstwo,f41q009,f41009
1017.statevalue,Y,KY
406.statecounty,G_Brooks,GA_Brooks
2557.county,Hickma ,Hickman 
2417.countytwo,Cheterfield ,Chesterfield 
1841.county,aDwson ,Dawson 
2583.countytwo,Overtn ,Overton 
685.statecounty,D_Latah,ID_Latah
2840.statecounty,TXT_yler,TX_Tyler
2805.fipstwo,tf48387,f48387
2480.fipstwo,fc46061,f46061
2126.fipstwo,f39415,f39145
2547.county,tGrundy ,Grundy 
65.county,Jakson ,Jackson 
1662.countytwo,Wheatlvand ,Wheatland 
1390.statevalue,gMN,MN
2625.statevalue,TsX,TX
1205.statevalue,D,MD
2124.statevalue,kOH,OH
161.fipstwo,f0i5131,f05131
983.county,hawnee ,Shawnee 
2766.statevalue,XT,TX
3044.countytwo,Washingto n,Washington 
2884.countytwo,Sal Lake ,Salt Lake 
2442.statevalue,C,SC
592.fipstwo,f19096,f19069
2786.county,aNvarro ,Navarro 
2359.fipstwo,f72037,f72073
869.fipstwo,f1133,f18133
2549.county,Hailton ,Hamilton 
588.statecounty,A_Dubuque,IA_Dubuque
1138.county,East FelicianaParish,East Feliciana Parish
104.county,Carrollq ,Carroll 
1099.county,Puflaski ,Pulaski 
192.statevalue,A,CA
3143.county,Shawsano ,Shawano 
2300.statecounty,A_Montgomery,PA_Montgomery
2107.countytwo,Mercre ,Mercer 
1700.county,aGston ,Gaston 
2668.fipstwo,f481s13,f48113
730.countytwo,Gllatin ,Gallatin 
2413.fipstwo,f4517,f45017
2922.fipstwo,f5041,f51041
2055.fipstwo,f390u03,f39003
3071.statevalue,xWA,WA
1352.statevalue,NM,MN
999.fipstwo,f20f209,f20209
3159.statecounty,WV_Bekeley,WV_Berkeley
359.county,Lakve ,Lake 
