191.characteristic,Total,"Pacific Islander, non-Hispanic"
233.characteristic,Total - Female,"White, non-Hispanic"
228.sex,Feale,Female
152.noteoncount,Reporting standards not met. nEither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
144.noteoncount,Reporting standards not met. Either there are too few cases for  reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
275.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
171.characteristic,Total,"Asian, non-Hispanic"
226.characteristic,Total,"White, non-Hispanic"
88.noteoncount,Reporting standards not met.Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
286.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV )is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
277.raceethnicity,"Paicfic Islander, non-Hispanic","Pacific Islander, non-Hispanic"
271.sex,Femle,Female
91.noteoncount,Reporting standard snot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
208.raceethnicity,"American Indian/Alaska Native, non-Hispnaic","American Indian/Alaska Native, non-Hispanic"
12.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimae or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
272.noteoncount,Reporting standards not met. Either there are too few cass for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
248.noteoncount,Reporting standards pnot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
305.characteristic,Total,"Two or more races, non-Hispanic"
44.characteristic,Total,"Total - White, non-Hispanic"
172.sex,Mlae,Male
160.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esitmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
98.noteoncount,Reporting standards not met. Either there are too few cases for a reliabel estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
298.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficinet of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
118.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
174.characteristic,Total,"Asian, non-Hispanic"
302.characteristic,Total,"Two or more races, non-Hispanic"
301.characteristic,Total - Female,"Two or more races, non-Hispanic"
207.noteoncount,Reporting standards not met. Either tdhere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
151.noteonpercentage,Interpret data with caution. The coefficient of ariation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
287.characteristic,"Total - White, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
169.noteoncount,Reporting standards not met. Eitpher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
133.characteristic,Total - Male,"White, non-Hispanic"
94.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
19.percentage,35.%,35.3%
130.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the ceofficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
232.raceethnicity,"hWite, non-Hispanic","White, non-Hispanic"
91.raceethnicity,"Asian, non-Hipsanic","Asian, non-Hispanic"
243.characteristic,Total - Male,"Black, non-Hispanic"
173.characteristic,Total,"Asian, non-Hispanic"
86.characteristic,Total,"Total - Asian, non-Hispanic"
64.characteristic,Total,"Total - Black, non-Hispanic"
76.characteristic,"Total - White, non-Hispanic",Total - Hispanic
150.characteristic,Total,"Black, non-Hispanic"
121.percentage,41o.6%,41.6%
72.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or rgeater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
194.characteristic,Total,"Pacific Islander, non-Hispanic"
304.characteristic,Total,"Two or more races, non-Hispanic"
56.noteoncount,Reporting standards nwot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
65.characteristic,Total,"Total - Black, non-Hispanic"
290.noteoncount,Reporting standards not met. Either there are too gfew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
59.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the cofeficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
123.noteoncount,Reporting standards not met. Either there are too few cases for ac reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
286.characteristic,"Total - White, non-Hispanic","Pacific Islander, non-Hispanic"
247.sex,Femael,Female
129.characteristic,Total,"Total - Two or more races, non-Hispanic"
115.raceethnicity,"American Indian/Alaska Native, on-Hispanic","American Indian/Alaska Native, non-Hispanic"
16.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (V) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
68.characteristic,Total - Male,Total - Hispanic
289.noteonpercentage,Interpret data with caution. The coefficient of variation (CV)j for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
54.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficijent of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
151.characteristic,Total - Male,"Black, non-Hispanic"
196.noteoncount,Reporting standards not met. Either there are too few cases for a reliabel estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
188.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficcient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
256.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimatte or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.characteristic,Total - Female,"White, non-Hispanic"
131.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent o greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
199.raceethnicity,"American Indian/Aaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
299.raceethnicity,"American Indian/Alaska Natie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
250.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gretaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.characteristic,Total,"Asian, non-Hispanic"
57.sex,Femaxle,Female
244.sex,Femle,Female
121.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
229.noteoncount,Reporting standards not met. Eihter there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
241.percentage,6.9%,36.9%
87.noteoncount,Reporting standards not met. Either tehre are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
195.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 precent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
291.noteoncount,Reporting standards not met. Either there are too few cases for a reliablee stimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
99.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (VC) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
306.sex,Femlae,Female
190.noteonpercentage,Interpret data with caution. The coefficient of vraiation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
176.noteoncount,Reporting standards not meat. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
269.characteristic,Total - Male,"Asian, non-Hispanic"
247.noteoncount,Reportnig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
244.noteoncount,Reporting standards not emt. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
61.characteristic,Total,"Total - Black, non-Hispanic"
235.characteristic,Total - Male,"Black, non-Hispanic"
138.noteoncount,Reportig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
266.percentage,85.8%,58.8%
310.noteoncount,Reporting standards not met. Either there are too few cases for  reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
51.characteristic,Total - Male,"Total - White, non-Hispanic"
271.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 5r0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
301.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
55.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficienvt of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
180.characteristic,Total - Male,"Asian, non-Hispanic"
253.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate ort he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
72.characteristic,"Total - White, non-Hispanic",Total - Hispanic
114.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or thec oefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
135.characteristic,Total - Male,"White, non-Hispanic"
203.characteristic,"Total - Asian, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
220.characteristic,Total,"Two or more races, non-Hispanic"
242.percentage,43%,34%
104.noteoncount,Reporting standards rnot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
299.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimaet or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
147.raceethnicity,"Black, non-Hsipanic","Black, non-Hispanic"
152.characteristic,Total,"Black, non-Hispanic"
149.raceethnicity,"Black, nton-Hispanic","Black, non-Hispanic"
140.noteoncount,Reporting stwandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
62.percentage,73.7%,37.7%
205.noteoncount,Reporting standards not met. Either there are too fw cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
294.raceethnicity,"Americn Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
279.characteristic,Total - Male,"Pacific Islander, non-Hispanic"
236.percentage,w35.5%,35.5%
108.noteoncount,Reportings tandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
16.percentage,33.7%***,33.7%
139.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or rgeater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
124.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or grater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
74.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent ory greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
101.raceethnicity,"Pacific Islander, non-Hnispanic","Pacific Islander, non-Hispanic"
247.characteristic,Total,"Black, non-Hispanic"
273.characteristic,Total,"Asian, non-Hispanic"
292.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent oyr greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
48.noteoncount,Reporting standards not met. Either there are too few cases for a reilable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
121.characteristic,Total,"Total - Two or more races, non-Hispanic"
249.characteristic,Total - Male,Hispanic
255.characteristic,Total - Male,Hispanic
248.characteristic,Total - Female,Hispanic
243.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greate.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
192.sex,Mlae,Male
241.sex,Femdale,Female
254.noteoncount,Reporting standards not met. ither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
187.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate ort he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
185.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
45.characteristic,Total,"Total - White, non-Hispanic"
131.percentage,6.2%,36.2%
211.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
95.characteristic,Total,"Total - Pacific Islander, non-Hispanic"
186.characteristic,Total,"Pacific Islander, non-Hispanic"
190.characteristic,Total - Female,"Pacific Islander, non-Hispanic"
155.characteristic,Total - Male,"Black, non-Hispanic"
306.characteristic,Total,"Two or more races, non-Hispanic"
148.characteristic,Total,"Black, non-Hispanic"
126.characteristic,Total,"Total - Two or more races, non-Hispanic"
295.characteristic,"Total - White, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
297.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent o rgreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
111.noteoncount,Reporting standards not met. Either there are too fe cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
257.characteristic,Total,Hispanic
162.raceethnicity,ispanic,Hispanic
285.characteristic,Total - Male,"Pacific Islander, non-Hispanic"
251.characteristic,Total - Male,Hispanic
213.characteristic,Total,"Two or more races, non-Hispanic"
31.raceethnicity,"American Indian/Alaska Natqive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
102.percentage,3s6%,36%
83.characteristic,Total,"Total - Asian, non-Hispanic"
71.characteristic,"Total - White, non-Hispanic",Total - Hispanic
176.characteristic,Total,"Asian, non-Hispanic"
69.characteristic,Total,Total - Hispanic
284.characteristic,Total - Male,"Pacific Islander, non-Hispanic"
156.sex,Mle,Male
6.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 perbcent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
114.raceethnicity,"American Indian/Alaska Native, non-Hirspanic","American Indian/Alaska Native, non-Hispanic"
112.raceethnicity,"Amebrican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
49.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent opr greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
119.percentage,n38.4%,38.4%
23.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimat eor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
150.noteoncount,Reporting standards not met. Either there are too few cases for a recliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
142.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficietn of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
79.characteristic,Total,"Total - Asian, non-Hispanic"
273.noteoncount,Reporting standards not met. Either thee are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
24.noteoncount,Repolrting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
188.characteristic,Total,"Pacific Islander, non-Hispanic"
309.noteoncount,Reporting standards not met. Either there are too ew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
268.noteoncount,Reporting standards notc met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
303.noteoncount,Reporting standards not met. Either theer are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
242.characteristic,Total,"Black, non-Hispanic"
278.characteristic,Total,"Pacific Islander, non-Hispanic"
146.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estmiate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
238.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.***,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
60.characteristic,Total - Male,"Total - Black, non-Hispanic"
164.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficietn of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
260.characteristic,Total - Male,Hispanic
254.characteristic,Total - Male,Hispanic
83.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefifcient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
167.characteristic,Total,Hispanic
203.sex,Mael,Male
285.sex,Femael,Female
106.percentage,23.%3,23.3%
206.noteoncount,Reporting standards not met. Either there are too few caess for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
93.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
180.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or rgeater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
119.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
102.characteristic,Total,"Total - Pacific Islander, non-Hispanic"
261.characteristic,Total - Female,"Asian, non-Hispanic"
209.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
276.characteristic,Total,"Pacific Islander, non-Hispanic"
168.characteristic,Total - Male,Hispanic
215.characteristic,Total - Male,"Two or more races, non-Hispanic"
14.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
208.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatino (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
18.noteoncount,Reporting standards not met. Either there are too few cases for a eliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
266.characteristic,Total,"Asian, non-Hispanic"
183.characteristic,Total - Female,"Pacific Islander, non-Hispanic"
162.sex,Malle,Male
89.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greajter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
244.characteristic,Total,"Black, non-Hispanic"
20.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greakter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
197.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or rgeater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
211.characteristic,Total,"Two or more races, non-Hispanic"
209.characteristic,Total - Male,"Two or more races, non-Hispanic"
108.characteristic,"Total - White, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
131.characteristic,Total - Female,"White, non-Hispanic"
281.characteristic,Total - Male,"Pacific Islander, non-Hispanic"
297.characteristic,"Total - White, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
166.percentage,24.2v%,24.2%
215.noteoncount,Reporting standards not met. Either there are too few ases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
178.noteoncount,Reporting standards not met. Either there are too few cases ofr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
207.raceethnicity,"American Indian/Alaska Native, no-nHispanic","American Indian/Alaska Native, non-Hispanic"
246.noteoncount,Reporting standards not met. Eithekr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
92.characteristic,Total,"Total - Pacific Islander, non-Hispanic"
70.characteristic,Total,Total - Hispanic
241.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gerater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
234.characteristic,Total - Male,"White, non-Hispanic"
265.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
241.characteristic,Total,"Black, non-Hispanic"
84.characteristic,"Total - White, non-Hispanic","Total - Asian, non-Hispanic"
293.characteristic,"Total - White, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
310.characteristic,Total - Male,"Two or more races, non-Hispanic"
262.noteoncount,Reporting standards not met. Either there aretoo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
181.percentage,59.%9,59.9%
306.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is betwee 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
58.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficiente of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
98.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
106.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate xor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
221.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaton (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
249.noteoncount,Reporting standards not met. Either thepre are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
133.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vairation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
214.characteristic,Total,"Two or more races, non-Hispanic"
