indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equa lto 25.0),2,"Percent of population, crude",2,Sex,2,Female,2.2,1988-1994,1,20 years and over,1.0,50.7,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sx,2,Femalge,2.2,1999-2002,2,20 years and over,1.0,62.0,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex,2,Female,2.2,2001-2004,3,20 yeas and over,1.0,61.9,1.1,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex,2,Female,2.2,2003-2006,4,0 years and over,1.0,61.9,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greaterthan or equal to 25.0),2,"Percent of population, crude",2,Sex,2,Female,2.2,2005-2008,5,20 yearsand over,1.0,63.0,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Pecent of population, crude",2,Stex,2,Female,2.2,20072-010,6,20 years and over,1.0,64.5,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percnet of population, crude",2,Sex,2,Female,2.2,2009-2012,7,20 years and over,1.0,65.5,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,eSx,2,Femazle,2.2,2011g-2014,8,20 yearst and over,1.0,67.0,1.1,---
"Normal weight, overweight, and obesity amnog adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex,2,Femjale,2.2,013-2016,9,20y ears and over,1.0,68.1,1.1,---
"Normal weight,o verweight, and obesity among adults aged 20 and over",Overweight or obese (BMI gkreater than or equal to 25.0),2,"Percent of population, crude",2,Sex,2,Female,2.2,2015-2018,10,20 years and over,1.0,69.4,1.2,
"Normal weight, overweight, and obesity among adults agied 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"mPercent of population, crude",2,Race and Hispanic qorigin,3,Not Hispanic or Latino: White only,3.11,988-1994,1,20 years and over,1.0,53.8,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BbMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,1999-2002,2,20 years and over,1.0,63.9,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and oer",Overweight o robese (BMI greater than or equal to 25.0),2,"Percnt of population, crude",2,Race and Hispanic origin,3,NotHispanic or Latino: White only,3.11,2001-2004,3,20 years ad over,1.0,65.1,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percengt of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2003-2006,4,20 years and over,1.0,65.8,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2005-2008,5,20 years and over,1.0,66.9,1.0,u---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, rude",2,Race and iHspanic origin,3,Not Hispanic or Latino: White only,3.11,20072-010,6,20 years and over,1.0,67.8,1.0,---
"Normal weight, overweight, and obesity amogn adults aged 20 and over",Overweight or obese (BMI zgreater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,009-2012,7,20 years and over,1.0,68.3,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crdue",2,Race and Hispanic origin,3,Not Hispanic or Latino: Whit only,3.11,2011-2014,8,20 years and over,1.0,69.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2013-q2016,9,20 years and over,1.0,70.9,0.8,---
"Normal weight, overweight, and oebsity among adults aged 20 and over",Overweight or obese (BMIw greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: White onyl,3.11,20152-018,10,20 years and over,1.0,71.6,1.2,.
"Normal weight, overweighst, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percentm of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hiswpanic or Latino: White only,3.111,198q8-1994,1,20 years and over,1.0,60.6,1.2,---
"Normal weight, overweight, and obeisty among adults aged 20 and over",Overweight or obese (BMI greater than or equnal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,1999-2002,2,20 years and over,1.0,69.9,1.2,---
"Normal wesight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 250),2,"Percent of population,l crude",2,Sex and race and ispanic origin,4,Male: Not Hispanc or Latino: White only,3.111,2001-2004,3,20 years and over,1.0,71.6,1.0,-z--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweightor obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race andHispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2003-2006,4,20 years and over,1.0,72.5,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2005-2008,5,20 years and over,1.0,73.4,1.0,---
"Normal wieght, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crue",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2007-2100,6,20 years and over,1.0,74.2,1.3,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hisspanic or Latino: White only,3.111,2009-2012,7,20 years nd over,1.0,73.8,1.5,--z-
"Normal weight, overvweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2011w-2014,8,20 years anbd over,1.0,74.2,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2013-2016,9,20 years and over,1.0,75.6,1.0,--i-
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex an drace and Hispanic origin,4,Male: Not Hispanic or Latino: Whiteonly,3.111,2015-2018,10,20 years and over,1.0,76.0,1.4,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater thna or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,1988-994,1,20 years and over,1.0,47.4,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and oer",Overweight or obese (BMI greater than or equa to 25.0),2,"Pxercent of population, crude",2,Sex ahnd race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,1999-2002,2,20 years and over,1.0,58.2,1.8,---
"Normal eight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percemnt of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2001-2004,3,20 years and over,1.0,58.7,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race nd Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2003-2s006,4,20 years and over,1.0,59.4,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2005-2008,5,20 years and over,1.0,60.7,1.5,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2007-2010,6,20 years and over,1.0,61.7,1.3,---
"Normal weight, overweight, and obesity among dults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"ercent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,209-2012,7,20 years and over,1.0,62.9,1.4,---
"Normal weight overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispangic or Latino: White only,3.112,2011-214,8,20 years and over,1.0,65.2,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2013-2016,9,20 years and over,1.0,66.3,1.2,---
"Normal weight, overweight, and obesity among admults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"ercent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2051-2018,10,20 years and over,1.0,67.4,1.6,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hisapnic or Latino: Black or African American only,3.12,1898-1994,1,20 yearsv and over,1.0,61.8,1.0,---***
"Normal weight, overweight, and obesity aomng adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of plopulation, crude",2,Race and Hisanic origin,3,Not Hispanc or Latino: Black or African American only,3.12,1999-2002,2,20e years and over,1.0,70.0,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic orgiin,3,Not Hispanic or Latino: Black or African American only,3.12,2001-2004,3,20 years and over,1.0,73.3,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.h0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American olny,3.12,2z003-2006,4,20 years and over,1.0,76.0,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Grade 1 obesity (BMI from 30.0 to 34.9),4,"Percent of population, crude",2,Skex,2,Mlae,2.1,2011-2014,8,20 years and over,1.0,22.0,0.8,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equl to 25.0),2,"Percent of population, crude",2,Race nd Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2050-2008,5,2n0 years and over,1.0,74.9,1.0,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2007-2001,6,20 ears and over,1.0,75.2,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (iBMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,200u9-2012,7,20 years and over,1.0,76.4,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic r Latino: Black or African American only,3.12,201g1-2014,8,20 years and over,1.0,76.3,1.1,---
"Normal weight, overweight, and obesity among adults aged 2y0 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2013-2016,9,20 years and over,1.0,75.7,1.1,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispani origin,3,Not Hispanic or Latino: Black or African American only,3.12,2015-2018,10,20 years and over,1.0,75.7,1.1,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Perclent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,1988-1994,1,20 years and over,1.0,56.7,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 2.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,1999-2002,2,20 years and over,1.0,61.7,1.7,---
"Normal weight, overeight, and obesity among adults aged 20 and over",Overweighvt or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex jand race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African mAerican only,3.121,2001-2004,3,20 years and over,1.0,66.3,2.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2003-2006,4,20 years and over,1.0,71.6,2.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2005-2080,5,20 years and over,1.0,71.1,1.7,---
"Normalj weight, overweight, and obesity among adults aged 20 and over",eOverweight or obese (BMI greater than or equal to 25.0),2,"Percent of populavtion, crude",2,Sex and race aand Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2007-2010,6,20 years and over,1.0,69.1,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hisdpanic origin,4,Male: Not Hispanic or Latino: Black or African American onzly,3.121,2009-2012,7,20 years and over,1.0,69.6,1.4,---
"Normal weght, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2011-2014,8,20 years and over,1.0,69.1,1.4,---
"Normal weight, overweight and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex ad race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,0213-2016,9,20 years an over,1.0,69.8,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex annd race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2015-2018,10,20 years and over,1.0,70.9,1.9,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,1988-1994,1,20 years and fover,1.0,66.0,1.4,---
"Normal weight, overweight, and obesdity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,1999-2002,2,20 yeatrs and over,1.0,76.9,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2001-0204,3,20 year sand over,1.0,79.1,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of popultaion, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanico r Latino: Black or African American only,3.122,2003-2006,4,20 years and over,1.0,79.7,1.5,---
"Normal weight, overweight, and obesiy among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and age,6,Male: 45-54 years,6.13,2003-2006***,4,45-54 years,1.3,78.5,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percnt of population, crude",2,Sex aind race and Hispanic origin,4,Female: Not Hispanic r Latino: Black or African American only,3.122,2005-2008,5,20 years and over,1.0,78.1,1.4,---
"Norrmal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percet of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2007-2010,6,20 years and over,1.0,80.2,1.3,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crudve",2,ex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2009-2012,7,20 years tand over,1.0,82.1,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispahnic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,211-2014,8,20 years and over,1.0,82.3,1.2,---
"Normal weight, verweight, and obesity among adults aged 20 and over",Overweght or obese (BMI greater than or equal to 25.0),2,"Percent of population, crudqe",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African Amerian only,3.122,2013-2016,9,20 years and over,1.0,80.5,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of opulation, crude",2,Sex and race and Hispanic origin,4,Female: Not Hisanic or Latino: Black or African American only,3.122,2015-2018,10,20 years and over,1.0,79.6,1.2,.
"Normal weight, overweight, and obesity among adults aged 20 and ozver",Overweight or obese (BMI greater than or equal to 25.0),2,"ercent of population, crude",2,Race andHispanic origin,3,Not Hispanic or Latino: Asian only,3.13,1988-199o4,1,20 years aend over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 an dover",Overweight or obese (BMI greater than or equal to 25.r0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,19992002,2,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispani cor Latino: Asian only,3.13,2001-2b004,3,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity mong adults aged 20 and over",Overweight or obese (BMI greater than or equal to 5.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2003-2006,4,20u years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2005-2008,5,20 years ando ver,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: sAian only,3.13,200t7-2010,6,20 years gand over,1.0,7.6,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overzweight or obese (BMI greater than or equal to 25.0),2,"yPercent of population, crude",2,Race and Hispanic origin,3,Not Hipanic or Latino: Asian only,3.13,200u9-2012,7,20 years and over,1.0,7.6,1.2,--
"Normal ewight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"dPercent of population, crude",2,Race and Hispanic origin,3,Not Hispanci or Latino: Asian only,3.13,2011-2014,8,20 years and over,1.0,40.0,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2013-2016,9,20 years fand over,1.0,42.6,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2015-2018,10,20 years an dover,1.0,49.6,1.3,.
"Normal weight, overweight, and obesity among adults aged 20 an dover",Overweight or obese (BMI greater than or equal t 25.0),2,"Percent of population, crude",2,Sezx and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,z1988-1994,1,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of spopulation, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,1999-2002,2,20 years and over,1.0,7.6,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or eqal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,201-2004,3,20 years and over,1.0,7.6,1.2,-z--
"Normal weight, overweight, and obesity among adulits aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino:e Asian only,3.131,2003-2006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aegd 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent off population, crude",2,Sex and rac and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian oonly,3.131,20072010,6,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of popluation, crude",2,Sex and race and Hispanic origin,4,Mbale: Not Hispanic or Latino: Asian only,3.131,2009-2012,7,20 years and over,1.0,7.6,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of populaion, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2011-2014,8,20 years and uover,1.0,46.3,2.2,---
"Norml weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Male: Not Hispanico r Latino: Asian only,3.131,2013-2p016,9,20 yeazrs and over,1.0,49.5,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greate rthan or equal to 25.0),2,"Percent of population, crude",2,Sex and race and yHispanic origin,4,Male: Not Hispanic or Latino :Asian only,3.131,2015-2018,10,20 years and over,1.0,56.8,1.7,***
"Normal weight, overweight, and obesit among adults aged 20 and over",Overweight or obese w(BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,1988-1994,1,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population,c rude",2,Sex and race and Hispainc origin,4,Female: Not Hispanic or Latino: Asian only,3.132,1999-2002,2,20 yeas and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 2 and over",Overgweight or obese (BMI greater than or equal to 25.0),2,"Percent of populatin, crude",2,Sex and race and Hispanic origin,4,Feamle: Not Hispanic or Latino: Asian only,3.132,2001-2004,3,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMIy greater than or equal to 25.0),2,"Percen of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2003-2006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Ovlerweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",verweight or obese (BMI greater than or equal to 25.0),2,"Percen of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanc or Latino: Asian only,3.132,2007-2001,6,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of opulation, crude",2,Sex and race and Hisapnic origin,4,Female: Not Hispanic or Latin: Asian only,3.132,2009-2012,7,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, andp obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispainc origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2011-2014,8,20 years and okver,1.0,34.5,1.9,--
"Normal aweight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or eqiual to 25.0),2,"Percent of popuation, crude",2,Sex and race nd Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2013-2016,9,20 years and over,1.0,36.5,1.8,---
"Normal weight ,overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Asian only,3.132,2015-018,10,20 years and ovyer,1.0,43.3,1.7,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,1988-1994,1,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hiispanic origin,3,Hispanic or Latino: All races,3.24,1999-20r02,2,20 years and ovenr,1.0,7.6,1.2,-i--
"Normal weight, overweight, and obesity among adults aged 20 and oer",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All xraces,3.24,2001-p2004,3,20 years and over,1.0,7.6,1.2,-h--
"Normal weigh, overweight, and obesity among adults aged 20 and over",Overweight or obese(BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,ispanic or Latino: All races,3.24,2003-2006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of popuation, crude",2,Rae and Hispanic origin,3,iHspanic or Latino: All races,3.24,2005-2008,5,20 yaers and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Overweight or obese (BMI greater than or equal to 25.0),2,"Percent of population, crude",2,Race and Hispanic origin,3,Hispanic or Latino: All races,3.24,2070-2010,6,20 years and over,1.0,77.1,1.2,--
