OBJECTID,County,FDID,MACSID,Name,Address,City,Zip,FireChief,Phone,Notes,LastUpdated,Website,CALFIREUnit,SHAPE_Length,SHAPE_Area
146,MARIN,21055,NOV,NOVATO FPD,95 ROWLAND WAY,NOVATO,94945,BILL TYLER,(415) 892‐1513,,2018/06/21 00:00:00+00,https://www.novatofire.org/,MRN,69157.1927921332,185619696.067222
148,MARIN,21065,ANS,ROSS VALLEY FD,777 SAN ANSELMO AVE,SAN ANSELMO,94960,JASON WEBER,(415) 258‐4686,,2018/06/21 00:00:00+00,https://www.rossvalleyfire.org/,MRN,38344.0519039786,16724672.7227111
149,MARIN,21075,SNR,SAN RAFAEL FD,1375 5TH AVE,SAN RAFAEL,94901,DARIN WHITE,(415) 485‐3304,,2018/06/21 00:00:00+00,https://www.cityofsanrafael.org/departments/fire/,MRN,76896.0006058493,58580198.3408353
150,MARIN,21080,MRW,MARINWOOD FD,777 MILLER CREEK RD,SAN RAFAEL,94903,ROBERT SINNOTT,(415) 479‐0122,,2018/06/21 00:00:00+00,https://www.marinwood.org/mission,MRN,16950.8350551483,8029173.14926381
152,MARIN,21095,SNB,STINSON BEACH FPD,PO BOX 127,STINSON BEACH,94970,JESSE PERI,(415) 868‐0622,,2018/06/21 00:00:00+00,https://stinsonbeachfire.org/,MRN,23732.2836748157,15194908.2712018
153,MARIN,21100,TIB,TIBURON FPD,1679 TIBURON BLVD,TIBURON,94920,RICHARD PEARCE,(415) 435‐7200,,2018/06/21 00:00:00+00,https://www.tiburonfire.org/,MRN,20276.5967399058,10419555.3461716
154,MARIN,21105,MRN,MARIN COUNTY FD,33 CASTLEROCK AVE / PO BOX 518,WOODACRE,94973,JASON WEBER,(415) 473‐6717,,2018/06/21 00:00:00+00,https://www.marincounty.org/depts/fr,MRN,622571.844150265,1135448699.68894
157,MENDOCINO,23005,ALR,ALBION LITTLE RIVER FPD,P.O. BOX 634,ALBION,95410,MICHAEL REES,(707) 937‐0042,,2018/06/21 00:00:00+00,https://www.alrfpd.com/,MEU,58309.0926794372,96513388.601989
158,MENDOCINO,23010,AVY,ANDERSON VALLEY FD,PO BOX 398,BOONVILLE,95415,ANDRES AVILA,(707) 895‐2020,,2018/06/21 00:00:00+00,https://www.andersonvalleyfire.org/,MEU,189556.188986243,412297929.933706
159,MENDOCINO,23011,BCS,BROOKTRAILS TOWNSHIP CSD FD,24860 BIRCH ST,WILLITS,95490,JON NOYER,(707) 459‐4441,,2018/06/21 00:00:00+00,https://www.btcsd.org/brooktrails-fire-department,MEU,43658.7625558469,33711313.9435096
160,MENDOCINO,23015,CMT,COMPTCHE VFD,PO BOX 164,COMPTCHE,95427,DAVID BEAK,(707) 937‐2408,,2018/06/21 00:00:00+00,http://www.comptchefire.org/,MEU,67379.2592661205,221609736.238052
161,MENDOCINO,23020,CVL,COVELO FPD,PO BOX 36,COVELO,95428,KENNETH WEBER,(707) 983‐6719,,2018/06/21 00:00:00+00,,MEU,39809.1120482159,66508055.6811452
162,MENDOCINO,23025,EKV,ELK VFD,PO BOX 151,ELK,95432,ROBERT MATSON,(707) 877‐3350,,2018/06/21 00:00:00+00,https://www.elkcsd.org/elk-volunteer-fire-department,MEU,87083.8277897494,147801287.38206
163,MENDOCINO,23030,BRG,FORT BRAGG FD,141 N MAIN ST,FORT BRAGG,95437,STEVE ORSI,(707) 961‐2831,,2018/06/21 00:00:00+00,https://fortbraggfire.specialdistrict.org/,MEU,29361.043875036,7165737.05503859
164,MENDOCINO,23040,SCF,SOUTH COAST FPD,PO BOX 334,GUALALA,95445,JASON WARNER,(707) 884‐4700,,2018/06/21 00:00:00+00,https://www.southcoastfpd.org/,MEU,53086.3535284331,51754103.6498543
165,MENDOCINO,23045,LVF,LONG VALLEY FPD,PO BOX 89,LAYTONVILLE,95454,MATT MATHESON,(707) 984‐6055,,2018/06/21 00:00:00+00,https://www.longvalleyfire.com/~lvf/wp/,MEU,124934.039198366,617265950.273333
166,MENDOCINO,23055,NRC,PIERCY FPD,PO BOX 206,PIERCY,95587,ROBERT KIRK,(707) 247‐3449,,2018/06/21 00:00:00+00,,MEU,40413.7455136378,17546599.0277984
167,MENDOCINO,23060,PTA,REDWOOD COAST FPD,PO BOX 245,POINT ARENA,95468,MICHAEL SUDDITH,(707) 882‐3226,,2018/06/21 00:00:00+00,https://redwood-coast-fire-protection-dist.hub.biz/,MEU,97555.4704474275,350955349.442724
168,MENDOCINO,23065,POT,POTTER VALLEY CSD,PO BOX 464,POTTER VALLEY,95469,BILL PAULI,(707) 743‐1173,,2018/06/21 00:00:00+00,,MEU,119541.616789927,346155284.148324
169,MENDOCINO,23070,RVF,REDWOOD VALLEY CALPELLA FPD,PO BOX 499,REDWOOD VALLEY,95470,KERRY ROBINSON,(707) 485‐8121,,2018/06/21 00:00:00+00,https://www.redwoodvalleycalpellafire.org/,MEU,81761.8989619507,156800892.034282
170,MENDOCINO,23080,UKV,UKIAH VALLEY FIRE AUTHORITY,1500 S STATE ST,UKIAH,95482,DOUGLAS HUTCHISON,(707) 462‐7921,,2018/06/21 00:00:00+00,http://www.cityofukiah.com/uvfd/,MEU,96900.883339229,170359849.99876
171,MENDOCINO,23090,LTL,LITTLE LAKE FPD,1575 BAECLITEL RD,WILLITS,95490,CHRISTOPHER B. WILKES,(707) 459‐7777,,2018/06/21 00:00:00+00,https://www.littlelakefire.org/,MEU,161030.596521317,620060842.119341
172,MENDOCINO,23115,LEG,LEGGETT VALLEY VOL FD,PO BOX 191,LEGGETT,95585,ELY REIGHTER,(707) 925‐6334,,2018/06/21 00:00:00+00,,MEU,67265.9150526428,75050138.3161663
173,MENDOCINO,23910,,WESTPORT VFD,PO BOX 67,WESTPORT,95488,DANIEL MAXEY,(707) 964‐4646,,2018/06/21 00:00:00+00,https://westportvfd.org/,MEU,69499.2380325182,28363713.5209171
174,MERCED,24005,ATW,ATWATER FD,699 BROADWAY,ATWATER,95301,MIKE VAN LOBEN SELS,(209) 357‐6352,,2018/06/21 00:00:00+00,https://www.atwater.org/departments/fire/,MMU,29977.1903410032,15672362.3629655
175,MERCED,24030,MER,CITY OF MERCED FD,99 E 16TH ST,MERCED,95340,DEREK PARKER,(209) 385‐6891,,2018/06/21 00:00:00+00,https://www.cityofmerced.org/departments/fire,MMU,105644.72661213,60507983.143436
176,MERCED,24035,MRD,MERCED CO FD,5366 HWY 49 NORTH,MARIPOSA,95338,MIKE VAN LOBEN SELS,(209) 966‐3622,,2018/06/21 00:00:00+00,https://www.co.merced.ca.us/70/Fire-Department,MMU,480707.22289648,5041276346.75958
177,MODOC,25005,ADI,ADIN FPD,PO BOX 16,ADIN,96006,KEN RICHARDSON,(530) 299‐3455,,2021/11/21 00:00:00+00,,LMU,115456.521046685,436731530.554165
178,MODOC,25010,ALV,ALTURAS CITY FD,103 SO HOWARD ST,ALTURAS,96101,ROGER DORRIS,(530) 233‐4500,,2021/11/21 00:00:00+00,http://www.cityofalturas.us/departments/fire/index.php,LMU,18004.7508598682,7466418.80227244
179,MODOC,25015,ALF,ALTURAS RURAL FD,310 N RINE ST,ALTURAS,96101,ERICK J. KINNEY,(530) 233‐3018,,2021/11/21 00:00:00+00,,LMU,174261.277314806,920667558.214217
180,MODOC,25020,CAN,CANBY FPD,PO BOX 334,CANBY,96015,RON SHERER,(530) 233‐4804,,2021/11/21 00:00:00+00,,LMU,102623.236539739,264858818.877386
181,MODOC,25025,CDV,CEDARVILLE FPD,PO BOX 39,CEDARVILLE,96104,DANIEL ROSS,(530) 279‐2311,,2021/11/21 00:00:00+00,,LMU,88184.0720949863,467557258.37961
182,MODOC,25030,DAV,DAVIS CREEK VFD,PO BOX 37,DAVIS CREEK,96108,JOHN LESLIE,(530) 233‐5521,,2021/11/21 00:00:00+00,,LMU,170114.076545912,911147616.268086
183,MODOC,25035,EAG,EAGLEVILLE FPD,MAIN ST,EAGLEVILLE,96110,ROBERT STATON,(530) 279‐2203,,2021/11/21 00:00:00+00,,LMU,97544.7993458011,439381582.826815
184,MODOC,25040,FTB,FORT BIDWELL VFD,PO BOX 296,FORT BIDWELL,96112,MARK ROYER,(530) 640‐1199,,2021/11/21 00:00:00+00,,LMU,86738.1448736577,451261259.993643
185,MODOC,25045,LKC,LAKE CITY FPD,PO BOX 502,LAKE CITY,96115,JOHN ERQUIAGA,(530) 279‐2531,,2021/11/21 00:00:00+00,,LMU,85143.503173544,431844654.942479
186,MODOC,25050,LIK,LIKELY FPD,PO BOX 14,LIKELY,96116,DEWAYNE MATTHEWS,(530) 233‐2010,,2021/11/21 00:00:00+00,,LMU,132503.660390809,844717578.798706
187,MODOC,25055,LOO,LOOKOUT FPD,PO BOX 174,LOOKOUT,96054,ALLEN MOORE,(530) 640‐2673,,2021/11/21 00:00:00+00,,LMU,96912.3144871587,424450704.845832
188,MONTEREY,27035,GNZ,GONZALES VFD,PO BOX 647,GONZALES,93926,RICK RUBBO,(831) 675‐3677,,2018/06/21 00:00:00+00,https://gonzalesca.gov/services/fire-department,BEU,69798.1947565348,151386216.209274
189,MONTEREY,27060,MNT,MONTEREY FD,610 PACIFIC STREET,MONTEREY,93940,GAUDENZ PANHOLZER,(831) 646‐3900,,2021/12/22 00:00:00+00,https://monterey.org/city_hall/departments/fire/index.php,BEU,71163.4426520869,35821558.8181743
190,MONTEREY,27095,MSR,MISSION SOLEDAD RURAL FPD,2221 GARDEN ROAD,MONTEREY,93940,GEORGE NUNEZ,(831) 333‐4600,,2018/06/21 00:00:00+00,https://www.cityofsoledad.com/departments/fire-department/,BEU,84628.4255332905,154478349.055298
191,NAPA,28010,NAP,CITY OF NAPA FD,PO BOX 660,NAPA,94559,ZACH CURREN,(707) 257‐9593,,2018/06/21 00:00:00+00,https://www.cityofnapa.org/352/Fire-Department,LNU,102150.731329258,46015446.1251991
192,NAPA,28015,STH,ST HELENA FD,1480 MAIN ST.,ST HELENA,94574,JOHN SORENSEN,(707) 967‐2880,,2018/06/21 00:00:00+00,https://www.cityofsthelena.org/fire,LNU,65033.2122541905,97173007.0936516
193,NAPA,28020,ACY,AMERICAN CANYON FPD,911 DONALDSON WAY E.,AMERICAN CANYON,94503,MICHAEL P. CAHILL,(707) 551‐0650,,2018/06/21 00:00:00+00,https://www.cityofamericancanyon.org/government/public-safety/fire-district,LNU,47324.5415631372,15302538.1998225
194,NAPA,28490,NSH,NAPA STATE HOSPITAL FD,2100 NAPA VALLEJO HWY,IMOLA,94558,MICHAEL CONLEY,(707) 253‐5235,,2018/06/21 00:00:00+00,,LNU,33846.0176615363,22917922.5280701
195,NAPA,28555,LNU,CDF‐NAPA COUNTY,1199 BIG TREE RD,ST HELENA,94574,MIKE MARCUCCI,(707) 967‐1465,,2018/06/21 00:00:00+00,https://www.countyofnapa.org/389/County-Fire-Department,LNU,473466.868154115,1867067775.69507
223,PLUMAS,32005,BEC,BECKWOURTH FD,180 MAIN STREET,BECKWOURTH,96122,BRET RUSSELL,(530) 832‐1008,,2021/11/21 00:00:00+00,https://www.beckwourthfire.com/,LMU,131524.655846983,46331246.2492229
224,PLUMAS,32008,CSD,C ROAD FD,PO BOX 344,BLAIRSDEN,96103,TOBE SMITH,(530) 836‐0288,,2018/06/21 00:00:00+00,,LMU,9762.77789108812,5006859.60723382
225,PLUMAS,32010,CHE,CHESTER FPD,PO BOX 177,CHESTER,96020,JOE WATERMAN,(530) 258‐3456,,2021/11/21 00:00:00+00, ,LMU,19338.7731230961,3285772.48686165
226,PLUMAS,32015,CRM,CRESCENT MILLS FPD,PO BOX 110,CRESCENT MILLS,95934,THOMAS RIEHL,(530) 375‐0787,,2021/11/21 00:00:00+00,,LMU,39733.6715543193,9108671.80750484
227,PLUMAS,32020,GRA,GRAEAGLE FPD,PO BOX 64,GRAEAGLE,96103,ED WARD,(530) 836‐1340,,2021/11/21 00:00:00+00,https://graeaglefire.org/,LMU,63845.014803944,21145476.9432527
228,PLUMAS,32022,GHC,GREENHORN CREEK VFD,2049 RED BLUFF CIRCLE,QUINCY,95971,TYSON RAEL,(530) 283‐4658,,2021/11/21 00:00:00+00,https://www.greenhorncsd.org/greenhorn-volunteer-fire-department,LMU,6699.39957253906,1073898.23616912
229,PLUMAS,32025,GVF,INDIAN VALLEY FIRE AND RESCUE,PO BOX 899,GREENVILLE,95947,TONY BALBIANI,(530) 284‐7224,,2021/11/21 00:00:00+00,http://www.indianvalleycsd.com/indian-valley-fire.htm,LMU,203756.966126917,48064349.9098835
230,PLUMAS,32030,LPR,LA PORTE FPD,PO BOX 335,CLIPPER MILLS,95930,STEVE BURROUGHS,(530) 675‐2557,,2018/06/21 00:00:00+00,https://www.plumasfirechiefs.org/la-porte-fpd.html,LMU,6806.90824978699,1054282.69675767
231,PLUMAS,32032,LVL,LONG VALLEY FD,PO BOX 30226,CROMBERG,96103,STEVEN PETERS,(530) 836‐2550,,2021/11/21 00:00:00+00,https://www.longvalleyfire.com/~lvf/wp/,LMU,27127.2074355764,6992974.00624086
232,PLUMAS,32035,MVF,MEADOW VALLEY FPD,PO BOX 130,MEADOW VALLEY,95956,BILL BRADFIELD,(530) 283‐2036,,2021/11/21 00:00:00+00,,LMU,37945.4337092517,90070536.6127219
233,PLUMAS,32042,WAC,WEST ALMANOR CSD,947 LONG IRON DR,CHESTER,96020,JOE FORDING,(530) 259‐5112,,2021/11/21 00:00:00+00,https://www.plumasfirechiefs.org/west-almanor-fpd--prattville.html,LMU,9093.90943036193,2487961.85842066
234,PLUMAS,32043,PEF,PLUMAS EUREKA FD,200 LUNDY LN,BLAIRSDEN,96103,STEVE MUNSEN,(530) 836‐0532,,2021/11/21 00:00:00+00,https://www.pecsd.org/fire-department,LMU,11886.8846908766,1406669.69509719
235,PLUMAS,32045,PRT,PRATTVILLE ALMANOR FD,2977 SCOTT DR,CANYON DAM,95923,CARL LUNSFORD,(530) 259‐3822,,2021/11/21 00:00:00+00,,LMU,7291.84145283401,1262972.6061887
236,PLUMAS,32050,QUI,QUINCY FPD,505 LAWRENCE ST,QUINCY,95971,ROBERT J. CASSOU,(530) 283‐0870,,2021/11/21 00:00:00+00,https://www.plumasfirechiefs.org/quincy-fpd.html,LMU,112159.893935033,30282119.9263344
237,PLUMAS,32060,SIE,SIERRA VALLEY FPD,PO BOX 211,CHILCOOT,96105,VIVKI ANDERSON,(530) 993‐1111,,2021/11/21 00:00:00+00,,LMU,136300.292331428,572085005.638229
238,PLUMAS,32065,HBF,HAMILTON BRANCH FPD,3791 BIG SPRINGS RD,LAKE ALMANOR,96137,ANDREW COURTRIGHT,(530) 596‐3458,,2021/11/21 00:00:00+00,https://www.hambranchfire.com/,LMU,28546.3474064802,11096628.943294
239,PLUMAS,32070,PNS,PENINSULA FPD,801 GOLF CLUB RD,LAKE ALMANOR,96137,ANDREW COURTRIGHT,(530) 259‐2306,,2021/11/21 00:00:00+00,https://www.peninsulafire.net/,LMU,28216.2134867237,16925966.5757248
240,PLUMAS,32075,EPR,EASTERN PLUMAS RURAL FPD,141 DELLEKER ROAD,PORTOLA,96122,ROBERT FRANK JR,(530) 832‐5626,,2021/11/21 00:00:00+00,https://eprfpd.specialdistrict.org/,LMU,62097.9767519164,22015548.5343931
252,SAN BERNARDINO,36006,,ADELANTO FD,10370 RANCHO RD,ADELANTO,92301,KELLY ANDERSON,(760) 256‐3331,,2018/06/21 00:00:00+00,https://sbcfire.org/,BDU,100722.790095327,137712966.330528
253,SAN BERNARDINO,36010,RCF,RANCHO CUCAMONGA FD,10500 CIVIC CENTER DR,RANCHO CUCAMONGA,91730,MIKE MCCLIMAN,(909) 477‐2770,,2018/06/21 00:00:00+00,https://www.cityofrc.us/public-safety/fire,BDU,50655.9846001461,128903116.491889
254,SAN BERNARDINO,36015,APP,APPLE VALLEY FPD,22400 HEADQUARTERS DR,APPLE VALLEY,92307,JAMES PERATT,(760) 220‐6619,,2023/03/20 00:00:00+00,https://avfpd.org/,BDU,100618.575982432,528296523.491278
255,SAN BERNARDINO,36025,ABL,ARROWBEAR LAKE CWD,PO BOX 4045,ARROWBEAR LAKE,92382,PAUL L. LINDLEY,(909) 867‐3479,,2023/03/20 00:00:00+00,http://ablfd.org/,BDU,11468.1684397393,4194603.21441923
256,SAN BERNARDINO,36035,BAR,BARSTOW FPD,861 BARSTOW RD,BARSTOW,92311,NICK DINAPOLI,(760) 256‐2254,,2018/06/21 00:00:00+00,https://www.barstowca.org/departments/fire-protection-district,BDU,78661.4847390321,118353593.761389
257,SAN BERNARDINO,36058,CHO,CHINO VALLEY FD,14011 CITY CENTER DR,CHINO HILLS,91709,DAVID ANTHONY WILLIAMS,(909) 902‐5260,,2023/03/20 00:00:00+00,https://chinovalleyfire.org/,BDU,70284.0357923136,199255857.678003
258,SAN BERNARDINO,36080,DAG,DAGGETT FD,PO BOX 308,DAGGETT,92327,WAYNE CLEMONS JR.,(760) 254‐5474,,2018/06/21 00:00:00+00,http://www.daggettfire.org/,BDU,62685.3336556211,52573380.5496502
259,SAN BERNARDINO,36094,,FONTANA FPD,17001 UPLAND AVE,FONTANA,92335,JEFF BIRCHFIELD,(909) 356‐2522,,2018/06/21 00:00:00+00,https://www.fontana.org/634/Fire-Protection-District,BDU,60214.0860238277,135516924.318207
260,SAN BERNARDINO,36107,HIG,HIGHLAND FD,3800 SIERRA WY,SAN BERNARDINO,92405,SHANE LITTLEFIELD,(909) 881‐6900,,2018/06/21 00:00:00+00,https://www.cityofhighland.org/Directory.aspx?did=19,BDU,67651.9826423426,48341372.2583078
261,SAN BERNARDINO,36125,LOM,LOMA LINDA FD,25541 BARTON RD,LOMA LINDA,92354,DAN HARKER,(909) 799‐2850,,2018/06/21 00:00:00+00,https://www.lomalinda-ca.gov/our_city/departments/fire,BDU,21619.1870342973,19454965.8471983
262,SAN BERNARDINO,36140,MTC,MONTCLAIR FD,8901 MONTE VISTA AVE,MONTCLAIR,91784,DAVID POHL,(909) 447‐3500,,2018/06/21 00:00:00+00,https://www.cityofmontclair.org/departments/fire-department/,BDU,17863.2693157627,16683325.589534
263,SAN BERNARDINO,36150,MGO,MORONGO VALLEY CSD,PO BOX 46,MORONGO VALLEY,92256,JAMES A BRAKEBILL,(760) 363‐6211,,2018/06/21 00:00:00+00,https://morongocsd.specialdistrict.org/,BDU,42948.8001315342,70811133.2766276
264,SAN BERNARDINO,36165,NBY,NEWBERRY SPRINGS VFD,PO BOX 206,NEWBERRY SPRINGS,92365,DAPHNE LANIER,(760) 257‐3613,,2018/06/21 00:00:00+00,https://www.newberrycsd.net/,BDU,110333.421962622,297341224.442644
265,SAN BERNARDINO,36170,OTO,ONTARIO FD,415 EAST B STREET,ONTARIO,91764,RAY GAYK,(909) 395‐2002,,2018/06/21 00:00:00+00,https://www.ontarioca.gov/Fire,BDU,54092.5719377177,129286918.08192
266,SAN BERNARDINO,36180,RED,REDLANDS FD,"35 CAJON ST, SUITE 12",REDLANDS,92373,RICH SESSLER,(909) 798‐7600,,2018/06/21 00:00:00+00,https://www.cityofredlands.org/fire-department,BDU,94257.1979149517,94426066.8701526
267,SAN BERNARDINO,36185,RIA,RIALTO FD,131 S WILLOW AVE,RIALTO,92376,SEAN GRAYSON,(909) 820‐2501,,2018/06/21 00:00:00+00,https://www.yourrialto.com/233/Fire-Department,BDU,71894.3589988081,57215282.3429289
268,SAN BERNARDINO,36190,RSP,RUNNING SPRINGS CWD,PO BOX 2206,RUNNING SPRINGS,92382,MICHAEL R. VASQUEZ,(909) 867‐2630,,2023/03/20 00:00:00+00,https://www.runningspringsfire.org/,BDU,26190.0611140503,11844158.1592578
269,SAN BERNARDINO,36194,YUC,YUCAIPA FD,11416 BRYANT ST,YUCAIPA,92399,SHANE LITTLEFIELD,(909) 797‐1000,,2018/06/21 00:00:00+00,https://yucaipa.org/fire-department/,BDU,53753.4666001162,71681267.034909
270,SAN BERNARDINO,36220,VCV,VICTORVILLE FD,14343 CIVIC DRIVE,VICTORVILLE,92392,BRIAN FALLON,(760) 955‐5233,,2018/06/21 00:00:00+00,https://www.victorvilleca.gov/government/city-departments/fire,BDU,123384.008766934,191737438.975669
271,SAN BERNARDINO,36230,YER,YERMO/CALICO FD,PO BOX 1210,YERMO,92398,JAMES A. BRAKEBILL,(760) 278‐3002,,2018/06/21 00:00:00+00,,BDU,93648.752511762,126086984.621111
272,SAN BERNARDINO,36193,BDC,SAN BERNARDINO COUNTY FIRE,157 WEST 5H ST,SAN BERNARDINO,92401,DANIEL R. MUNSEY,(909) 387‐5974,,2023/03/20 00:00:00+00,https://sbcfire.org/,BDU,2001713.56318443,49455205244.8941
273,SAN FRANCISCO,38005,SFR,SAN FRANCISCO FD,698 2ND ST,SAN FRANCISCO,94107,JEANINE R. NICHOLSON,(415) 558‐3400,,2018/06/21 00:00:00+00,https://sf-fire.org/,CZU,83181.7163610689,277458380.419488
291,SAN LUIS OBISPO,40027,FIV,FIVE CITIES FIRE AUTHORITY,140 TRAFFIC WAY,ARROYO GRANDE,93420,STEPHEN C. LIEBERMAN,(805) 473‐5490,"Consolidation of Arroyo Grande, Grover Beach, and Oceano on July 9, 2010.",2018/06/21 00:00:00+00,http://www.fivecitiesfireauthority.org/,SLU,33142.0485513171,25890614.6562318
292,SAN LUIS OBISPO,40010,ATA,ATASCADERO FD,6005 LEWIS AVE,ATASCADERO,93422,CASEY D. BRYSON,(805) 461‐5070,,2018/06/21 00:00:00+00,https://www.atascadero.org/index.php?option=com_content&view=article&id=624&Itemid=538,SLU,47215.8968651487,67905361.4253958
293,SAN LUIS OBISPO,40015,AVI,AVILA BEACH FPD,PO BOX 309,AVILA BEACH,93424,JOHN OWENS,(805) 543‐4244,,2018/06/21 00:00:00+00,https://www.avilabeachcsd.org/,SLU,5266.91952553443,669073.803537619
294,SAN LUIS OBISPO,40020,CMB,CAMBRIA CSD FD,2850 BURTON DR,CAMBRIA,93428,JUSTIN VINCENT,(805) 927‐6240,,2018/06/21 00:00:00+00,,SLU,27844.2550212635,11902481.1569741
297,SAN LUIS OBISPO,40040,MRB,MORRO BAY FD,715 HARBOR ST,MORRO BAY,93442,DANIEL MCCRAIN,(805) 772‐6242,,2018/06/21 00:00:00+00,https://www.morro-bay.ca.us/68/Fire,SLU,30252.508145143,15649924.0616897
298,SAN LUIS OBISPO,40050,PRF,PASO ROBLES DES,900 PARK ST,PASO ROBLES,93446,JONATHAN STORNETTA,(805) 227‐7560,,2018/06/21 00:00:00+00,https://www.prcity.com/198/Fire-and-Emergency-Services,SLU,63708.6801415127,51224173.7119537
299,SAN LUIS OBISPO,40055,PSM,PISMO BEACH FD,760 MATTIE RD,PISMO BEACH,93449,JOHN OWENS,(805) 543‐4244,,2018/06/21 00:00:00+00,https://www.pismobeach.org/67/Fire,SLU,31200.1284879773,9087184.24942281
300,SAN LUIS OBISPO,40060,SLO,SAN LUIS OBISPO CITY FD,2160 SANTA BARBARA AVE,SAN LUIS OBISPO,93401,KEITH AGGSON,(805) 781‐7380,,2018/06/21 00:00:00+00,https://www.slocity.org/government/department-directory/fire-department,SLU,55565.6679623201,33213903.630494
301,SAN LUIS OBISPO,40065,SMF,SAN MIGUEL CSD,PO BOX 180,SAN MIGUEL,93451,ROB ROBERSON,(805) 467‐3388,,2018/06/21 00:00:00+00,https://www.sanmiguelcsd.org/,SLU,16948.5381169703,7725822.96783781
302,SAN LUIS OBISPO,40070,SMV,SANTA MARGARITA VFD,PO BOX 67,SANTA MARGARITA,93453,ROBERT R. MURACH,(805) 438‐3185,,2018/06/21 00:00:00+00,https://santamargaritafiredept.org/,SLU,4916.5865067069,1232929.62370945
303,SAN LUIS OBISPO,40075,TEM,TEMPLETON FD,206 5TH ST,TEMPLETON,93465,TOM PETERSON,(805) 434‐4911,,2018/06/21 00:00:00+00,https://templetoncsd.org/255/Fire-Emergency-Services,SLU,29874.2570403998,13244668.9143707
304,SAN LUIS OBISPO,40080,SLC,SAN LUIS OBISPO CO FD,635 N SANTA ROSA ST,SAN LUIS OBISPO,93405,JOHN OWENS,(805) 543‐4244,,2018/06/21 00:00:00+00,https://calfireslo.org/,SLU,940256.942591227,8344077367.37183
305,SAN MATEO,41030,CLM,COLMA FPD,50 REINER ST,COLMA,94014,GEOFFREY BALTON,(650) 755‐5666,,2022/01/06 00:00:00+00,https://colmafire.org/,CZU,20283.9288163076,6354358.99259924
306,SAN MATEO,41045,CFR,COASTSIDE FIRE DISTRICT,P.O. DRAWER F‐2,FELTON,95018,NATE ARMSTRONG,(831) 335‐5355,,2022/01/06 00:00:00+00,https://www.coastsidefire.org/,CZU,97953.2120142494,94411941.8408053
307,SAN MATEO,41050,MNL,MENLO PARK FPD,170 MIDDLEFIELD RD,MENLO PARK,94025,MARK LORENZEN,(650) 688‐8400,,2022/01/06 00:00:00+00,https://www.menlofire.org/,CZU,46700.5352227702,50571155.1622486
308,SAN MATEO,41070,RWO,REDWOOD CITY FD,755 MARSHALL ST,REDWOOD CITY,94063,DAVE PUCCI,(650) 780‐7400,,2022/01/06 00:00:00+00,https://www.redwoodcity.org/departments/fire-department,CZU,72082.5514838406,57806612.520435
309,SAN MATEO,41080,SBR,SAN BRUNO FD,555 EL CAMINO REAL,SAN BRUNO,94066,ARI DELAY,(650) 616‐7096,,2022/01/06 00:00:00+00,https://www.sanbruno.ca.gov/294/Fire,CZU,23642.5741876193,14210050.5385898
310,SAN MATEO,41095,SSF,SOUTH SAN FRANCISCO FD,480 NORTH CANAL ST,SOUTH SAN FRANCISCO,94080,JESUS MAGALLANES,(650) 829‐3950,,2022/01/06 00:00:00+00,https://www.ssf.net/departments/fire,CZU,51864.6895417037,23674978.7924465
311,SAN MATEO,41100,BFS,SAN MATEO CONSOLIDATED FD,1040 EAST HILLSDALE BLVD,FOSTER CITY,94404,KENT THRASHER,(650) 522‐7900,,2022/01/06 00:00:00+00,https://www.smcfire.org/,CZU,55910.3317005667,55629679.2386767
312,SAN MATEO,41105,WOD,WOODSIDE FPD,"808 PORTOLA RD, APT C",WOODSIDE,94028,ROBERT A. LINDNER,(650) 851‐1594,,2022/01/06 00:00:00+00,https://www.woodsidefire.org/,CZU,66763.6335736776,76714734.9846615
313,SAN MATEO,41115,CFS,SAN MATEO CO FD,P.O. DRAWER F‐2,FELTON,95018,NATE ARMSTRONG,(831) 335‐5355,,2022/01/06 00:00:00+00,https://www.cfsfire.org/,CZU,376017.597056042,696369819.220135
314,SAN MATEO,41120,NFA,NORTH CO FIRE AUTHORITY,10 WEMBLEY DR,DALY CITY,94015,RON D. MYERS,(650) 991‐8138,,2022/01/06 00:00:00+00,https://northcountyfire.org/,CZU,88320.3119091088,60634196.6149658
315,SAN MATEO,41556,CEN,CENTRAL COUNTY FD,1399 ROLLINS ROAD,BURLINGAME,94010,BRUCE BARRON,(650) 558‐7600,,2022/01/06 00:00:00+00,https://ccfd.org/,CZU,51585.3802775342,36089207.568987
316,SANTA BARBARA,42005,CRP,CARPINTERIA SUMMERLAND FPD,"1140 EUGENE PLACE, SUITE A",CARPINTERIA,93013,GREG FISH,(805) 684‐4591,,2018/06/21 00:00:00+00,https://www.carpfire.com/,SBC,49534.138992233,101090111.177998
317,SANTA BARBARA,42030,MTO,MONTECITO FPD,595 SAN YSIDRO RD,SANTA BARBARA,93108,KEVIN TAYLOR,(805) 969‐7762,,2018/06/21 00:00:00+00,https://www.montecitofire.com/,SBC,39911.0746822685,36444625.9356473
318,SANTA BARBARA,42035,SBC,SANTA BARBARA CFD,4410 CATHEDRAL OAKS RD,SANTA BARBARA,93110,MARK A. HARTWIG,(805) 681‐5500,,2018/06/21 00:00:00+00,https://www.sbcfire.com/,SBC,778360.396806917,3666998351.82453
