802.street,20700 ST RTE 4j11,20700 ST RTE 411
280.city,MIDDLE ISLADN,MIDDLE ISLAND
812.spdespermitnumber,N0222445,NY0222445
308.groundorsurface,Griound,Ground
1981.street,30M SEAWAY INTERNATIONAL BRIDGE|ST RTE 37 & MASSENA-CORNWAhLL INTERNATIONAL BRIDGE,30M SEAWAY INTERNATIONAL BRIDGE|ST RTE 37 & MASSENA-CORNWALL INTERNATIONAL BRIDGE
493.statevalue,NkY,NY
21.spdespermitnumber,NY027999,NY0279919
821.city,THOPSON,THOMPSON
2036.spdespermitnumber,NY00261j74,NY0026174
641.statevalue,Y,NY
498.locationone,"(42.57, -77.72)***","(42.57, -77.72)"
429.groundorsurface,round,Ground
1962.street,RTE 00C,RTE 100C
1484.planttype,Indsutrial,Industrial
1031.planttype,nIdustrial,Industrial
298.city,YONKESR,YONKERS
1351.facilityname,CAMP SIMTH TRAINING SITE,CAMP SMITH TRAINING SITE
1653.statevalue,kNY,NY
351.spdespermitnumber,NY0f106259,NY0106259
2066.city,SOUTAHMPTON,SOUTHAMPTON
249.street,CEDAR S T& CROSS ST,CEDAR ST & CROSS ST
1034.country,UhSA,USA
2009.planttype,Indusrtial,Industrial
1564.city,HIG HFALLS,HIGH FALLS
1431.groundorsurface,Greound,Ground
165.groundorsurface,Suface,Surface
1975.statevalue,Y,NY
1075.statevalue,YN,NY
1409.planttype,Industrfial,Industrial
27.locationone,"(40.77, -7399)","(40.77, -73.99)"
885.groundorsurface,Surafce,Surface
14.spdespermitnumber,NY2057940,NY0257940
1215.facilityname,REWIN MANUFACTURING COMPLEX,ERWIN MANUFACTURING COMPLEX
103.spdespermitnumber,NY003q1411,NY0031411
1124.spdespermitnumber,NY0707330,NY0077330
1837.facilityname,CAHTHAM - V STP,CHATHAM - V STP
422.country,UAS,USA
827.spdespermitnumber,NY00j31461,NY0031461
356.spdespermitnumber,YN0023329,NY0023329
1128.street,nHARDY HILL RD,HARDY HILL RD
1109.facilityname,#3 MARAPEG WELL SVCS DIV ENVIRSYSTEMS,#3 MARAPEG WELL SVCS DIV ENVIROSYSTEMS
362.country,UAS,USA
663.statevalue,NpY,NY
1393.country,SA,USA
1168.city,CHATHMA,CHATHAM
676.locationone,"(42.33, -75.7)","(42.33, -75.77)"
1753.spdespermitnumber,NY0x226891,NY0226891
1696.groundorsurface,Surace,Surface
974.locationone,"(42.78, -73.96)","(42.78, -73.69)"
1982.city,oGENEVA,GENEVA
1191.locationone,"(44.89, -7346)","(44.89, -73.46)"
1724.spdespermitnumber,NY000138,NY0001368
640.statevalue,YN,NY
433.city,BEVAER FALLS,BEAVER FALLS
1841.groundorsurface,Surfaec,Surface
1918.statevalue,Y,NY
935.city,BRENTWOOD***,BRENTWOOD
1216.street,105 WATRE ST,105 WATER ST
867.groundorsurface,uSrface,Surface
776.spdespermitnumber,NY2056251,NY0256251
1894.statevalue,Y,NY
1307.groundorsurface,Groudn,Ground
1743.country,oUSA,USA
98.statevalue,YN,NY
1838.spdespermitnumber,NY020859,NY0200859
72.facilityname,ALEXANDRIA BAY WWPT,ALEXANDRIA BAY WWTP
202.groundorsurface,Surfaqce,Surface
1447.street,8443 LAKE SHOER RD,8443 LAKE SHORE RD
1328.planttype,Industrila,Industrial
1907.locationone,"(43.25,-77.32)","(43.25, -77.32)"
1711.country,UtSA,USA
1950.city,SOWEGO,OSWEGO
945.country,SA,USA
1983.facilityname,CLEVELAND -u V STP,CLEVELAND - V STP
860.statevalue,Y,NY
1538.street,HEMLOCcK LN - S SIDE - W OF PINE LN,HEMLOCK LN - S SIDE - W OF PINE LN
1385.statevalue,rNY,NY
1213.street,6860 S ABBOT TRD,6860 S ABBOTT RD
1507.country,SA,USA
626.country,SA,USA
2034.statevalue,NhY,NY
563.street,INE ST,PINE ST
971.locationone,"(r40.89, -73.36)","(40.89, -73.36)"
1728.spdespermitnumber,NY0000k906,NY0000906
2081.street,1650 ISLP AVE,1650 ISLIP AVE
637.spdespermitnumber,NY0905401,NY0095401
1324.groundorsurface,Surfacne,Surface
387.locationone,"(44.95f, -74.97)","(44.95, -74.97)"
1770.facilityname,Sylvamo Ticonderoga Moill,Sylvamo Ticonderoga Mill
844.country,UA,USA
367.street,988 S PROTECTION RD,9988 S PROTECTION RD
2002.locationone,"(424.1, -76.89)","(42.41, -76.89)"
1245.groundorsurface,Suface,Surface
2007.statevalue,yNY,NY
71.groundorsurface,Surfce,Surface
725.facilityname,GASPORT SD 1 SP,GASPORT SD 1 STP
1569.facilityname,HUNTLEY STEAoM GENERATING STATION,HUNTLEY STEAM GENERATING STATION
1192.facilityname,LEDGERS CORNERS MIANT SUBHEADQUARTERS,LEDGERS CORNERS MAINT SUBHEADQUARTERS
1186.facilityname,NOCO ENERGY CORP - AKRN,NOCO ENERGY CORP - AKRON
2068.planttype,Municipoal,Municipal
1020.country,SA,USA
286.spdespermitnumber,N0200841,NY0200841
1193.spdespermitnumber,NY1031768,NY0131768
814.country,USgA,USA
633.locationone,"(40.83, -72.9)8","(40.83, -72.98)"
822.city,FISHKoILL,FISHKILL
367.groundorsurface,uSrface,Surface
1376.planttype,nIdustrial,Industrial
1922.statevalue,Y,NY
742.facilityname,RE HAWK BREWING LTD,RED HAWK BREWING LTD
191.statevalue,YN,NY
1674.groundorsurface,Surfcae,Surface
624.groundorsurface,Suriface,Surface
253.statevalue,YN,NY
594.country,SUA,USA
1642.spdespermitnumber,NY0206f121,NY0206121
404.spdespermitnumber,NY0087409,NY0078409
2007.country,SUA,USA
286.city,MASPETaH,MASPETH
903.facilityname,ST OJHNSVILLE - V STP,ST JOHNSVILLE - V STP
765.statevalue,Y,NY
391.city,LISOBN,LISBON
1074.spdespermitnumber,Y0227081,NY0227081
1198.locationone,"(41.08, -738.7)","(41.08, -73.87)"
1428.statevalue,YN,NY
2031.facilityname,LOCKHEED MARTIN CORP FRENCH ROAD FACILITY,LOCKHEED MARTIN CORP/ FRENCH ROAD FACILITY
1402.statevalue,Y,NY
2076.groundorsurface,Sufrace,Surface
288.facilityname,"SUY AT BUFFALO - SOUTH CAMPUS, BAKER","SUNY AT BUFFALO - SOUTH CAMPUS, BAKER"
108.facilityname,METRO NORTH RR RBEWSTER YARD,METRO NORTH RR BREWSTER YARD
1040.groundorsurface,Grund,Ground
1529.city,SPRNGVILLE,SPRINGVILLE
753.facilityname,EDWRADS STP,EDWARDS STP
1833.street,1 NORDEN LN NAD 10 & 15 STEPAR PL,1 NORDEN LN AND 10 & 15 STEPAR PL
486.statevalue,YN,NY
1908.street,9567 nMAIN ST,9567 MAIN ST
1220.locationone,"(43.07, -7b6.04)","(43.07, -76.04)"
888.facilityname,DUTCESS QUARRY,DUTCHESS QUARRY
1624.facilityname,COXSACKIE - Vu WTR TRT PLT,COXSACKIE - V WTR TRT PLT
287.groundorsurface,Grounid,Ground
1612.street,SCHOHARIET PKE,SCHOHARIE TPKE
1413.facilityname,DOWNSVILLE MAINTENANCE SHOP***,DOWNSVILLE MAINTENANCE SHOP
1545.street,LAKE yST,LAKE ST
2030.street,1870 EW YORK AVE,1870 NEW YORK AVE
618.groundorsurface,urface,Surface
1941.facilityname,NYSDT MAINTENANCE SUBHEADQUARTERS - GREENWICH,NYSDOT MAINTENANCE SUBHEADQUARTERS - GREENWICH
520.country,aUSA,USA
1133.groundorsurface,Sufrace,Surface
746.city,DEER PARK***,DEER PARK
476.locationone,"(42.96, -7.59)","(42.96, -77.59)"
1270.street,34 UNIrON ST,34 UNION ST
1287.facilityname,INDECK-CORgINTH ENERGY CENTER,INDECK-CORINTH ENERGY CENTER
877.statevalue,Y,NY
1747.planttype,Industrail,Industrial
381.locationone,"(42.39, -7d3.99)","(42.39, -73.99)"
1025.planttype,Isndustrial,Industrial
401.groundorsurface,Sruface,Surface
793.planttype,sIndustrial,Industrial
364.locationone,(42.47 -76.5),"(42.47, -76.5)"
1785.locationone,"(43.9x3, -76.11)","(43.93, -76.11)"
1592.street,701 Corporatios Park,701 Corporations Park
2039.locationone,"(42.14, -7.789)","(42.14, -77.89)"
911.street,15 NEELYTOWN RD,125 NEELYTOWN RD
1088.planttype,Municipadl,Municipal
563.statevalue,jNY,NY
905.groundorsurface,Suface,Surface
702.groundorsurface,Sruface,Surface
1563.statevalue,YN,NY
384.city,HOOSIKC FALLS,HOOSICK FALLS
1141.street,NORH RD & ORCHARD RD,NORTH RD & ORCHARD RD
297.street,SWANt ST / HAMILTON ST / SARATOGA ST,SWAN ST / HAMILTON ST / SARATOGA ST
619.locationone,(41.35 -74.17),"(41.35, -74.17)"
724.groundorsurface,Surfae,Surface
1366.statevalue,YN,NY
326.street,RAILROADAVE,RAILROAD AVE
1200.statevalue,Y,NY
1158.spdespermitnumber,NY2029512,NY0229512
190.country,SUA,USA
851.planttype,Mnicipal,Municipal
1372.groundorsurface,Surxface,Surface
991.spdespermitnumber,NY0243943,NY0243493
1551.groundorsurface,Grund,Ground
1333.city,AUUBRN,AUBURN
1413.planttype,sIndustrial,Industrial
290.country,UdSA,USA
780.spdespermitnumber,NY008f1329,NY0081329
1397.city,AvTLANTIC BEACH,ATLANTIC BEACH
278.locationone,"(42.v84, -78.26)","(42.84, -78.26)"
1619.street,501 ROYAL AVE,4501 ROYAL AVE
1459.street,LAKE MARIE RD|(2851 ST RTE 5u2W),LAKE MARIE RD|(2851 ST RTE 52W)
1160.locationone,"(43.67, 73.78)","(43.67, -73.78)"
2034.city,ELMIRA HEIGtHTS,ELMIRA HEIGHTS
626.groundorsurface,Surfacne,Surface
813.planttype,Industprial,Industrial
429.locationone,"4(0.82, -73.28)","(40.82, -73.28)"
1993.facilityname,BOHEMAI AUTO WAH,BOHEMAI AUTO WASH
1624.locationone,"(42.3, -73.86)","(42.37, -73.86)"
1559.planttype,Industiral,Industrial
1853.facilityname,LIMA -  WWTP,LIMA - V WWTP
971.statevalue,Y,NY
1139.city,CHnATHAM,CHATHAM
304.city,SOUTH DATYON,SOUTH DAYTON
1244.planttype,Idustrial,Industrial
411.planttype,ndustrial,Industrial
578.country,SA,USA
1115.planttype,Municipafl,Municipal
1926.planttype,unicipal,Municipal
1306.city,HILLBUNR,HILLBURN
166.planttype,Indusotrial,Industrial
2042.statevalue,NsY,NY
249.country,SA,USA
611.street,14299 US RTE 62a @ WHEATER RD,14299 US RTE 62 @ WHEATER RD
350.planttype,Industrfial,Industrial
1534.spdespermitnumber,NY0225605,NY0226505
285.groundorsurface,Sufrace,Surface
1434.spdespermitnumber,YN0004502,NY0004502
1143.groundorsurface,Surfae,Surface
1843.locationone,"(43.5, -79.0)","(43.05, -79.0)"
1361.city,SOpUTHAMPTON,SOUTHAMPTON
770.statevalue,Y,NY
1208.planttype,Indusrtial,Industrial
1163.statevalue,hNY,NY
1380.planttype,Municiptal,Municipal
837.planttype,Municipbal,Municipal
1683.spdespermitnumber,NY02667n95,NY0266795
1238.statevalue,Y,NY
768.country,UAS,USA
406.country,UsSA,USA
834.groundorsurface,Sruface,Surface
538.street,76-82 EAST MARKET TS,76-82 EAST MARKET ST
257.planttype,Industial,Industrial
909.facilityname,S & D PETROLUM,S & D PETROLEUM
1546.groundorsurface,Surace,Surface
548.country,USaA,USA
1128.planttype,ndustrial,Industrial
1315.country,UA,USA
1271.spdespermitnumber,Y0243086,NY0243086
2010.groundorsurface,Surfcae,Surface
49.facilityname,SPRAGUE OPERATING vRESOURCES LLC,SPRAGUE OPERATING RESOURCES LLC
1103.street,762 9RTE 5 & 20,7629 RTE 5 & 20
1796.locationone,"(42.97, -78.9)2","(42.97, -78.92)"
1061.locationone,"(41.67 ,-74.99)","(41.67, -74.99)"
1714.facilityname,OCSD#1 HARRaIMAN SEWAGE TREATMENT PLANT,OCSD#1 HARRIMAN SEWAGE TREATMENT PLANT
994.spdespermitnumber,NY008339,NY0028339
667.planttype,Mhunicipal,Municipal
849.country,UxSA,USA
1613.locationone,"(41.3, -74.25)","(41.53, -74.25)"
1495.facilityname,EAT END LAUNDRY,EAST END LAUNDRY
1511.spdespermitnumber,NyY0021351,NY0021351
1902.street, RTE 340,4 RTE 340
1071.country,UA,USA
356.facilityname,jINDIAN LAKE SD,INDIAN LAKE SD
1453.statevalue,YN,NY
1042.groundorsurface,Surfcae,Surface
1669.spdespermitnumber,NY0034436***,NY0034436
1063.locationone,"(430.6, -78.3)","(43.06, -78.3)"
1345.planttype,Idnustrial,Industrial
60.spdespermitnumber,NY00x25453,NY0025453
1512.planttype,Indutsrial,Industrial
581.planttype,Indutrial,Industrial
131.facilityname,WATERVLIET - V COMBINEDS EWER OVERFLOWS,WATERVLIET - V COMBINED SEWER OVERFLOWS
608.country,SA,USA
1360.planttype,Industriial,Industrial
1861.spdespermitnumber,NnY0090867,NY0090867
1338.groundorsurface,oBth,Both
777.planttype,Industril,Industrial
1876.street,LAKEVIEW PKWY|GROUNDWATEvR TREATMENT FACILITY,LAKEVIEW PKWY|GROUNDWATER TREATMENT FACILITY
228.locationone,"(42.66, -77.7b7)","(42.66, -77.77)"
1843.groundorsurface,urface,Surface
172.facilityname,SCSD #7P - TWELV PINES STP,SCSD #7P - TWELVE PINES STP
1098.planttype,Industripal,Industrial
845.planttype,Indusvtrial,Industrial
665.country,USdA,USA
219.locationone,"(44.7, -73m.63)","(44.7, -73.63)"
618.country,aUSA,USA
301.groundorsurface,Surfcae,Surface
1243.planttype,Industripal,Industrial
495.spdespermitnumber,Y0106968,NY0106968
1664.groundorsurface,Surfaec,Surface
697.locationone,"(42.41, -73.87)","(42.14, -73.87)"
1016.groundorsurface,Sufrace,Surface
1644.planttype,Industrila,Industrial
1851.city,LOCUSyT VALLEY,LOCUST VALLEY
291.country,SA,USA
1408.city,MILTN,MILTON
943.country,UA,USA
2043.street,500 COMO PAKR BLVD,500 COMO PARK BLVD
1804.planttype,Murnicipal,Municipal
694.spdespermitnumber,NY0286585,NY0268585
1340.street,ST RTE 159 (MARIAVILLE RD) - Sz CHUCTANUNDA CREEK,ST RTE 159 (MARIAVILLE RD) - S CHUCTANUNDA CREEK
1889.statevalue,Y,NY
510.street,99 E 138TH ST,939 E 138TH ST
376.street,8260 PLEASANT VALLEY RDf| CO RTE 88,8260 PLEASANT VALLEY RD| CO RTE 88
870.city,HUDSN,HUDSON
1406.spdespermitnumber,NY0020256,NY0020265
67.planttype,Mqunicipal,Municipal
90.country,SUA,USA
217.groundorsurface,Groudn,Ground
506.groundorsurface,Surfzace,Surface
2018.facilityname,PETRO INC RPOPERTY,PETRO INC PROPERTY
1494.statevalue,YN,NY
1105.country,SA,USA
1640.facilityname,TOWN OF SENECA FALLS WATER WTHDRAWAL SYSTEM,TOWN OF SENECA FALLS WATER WITHDRAWAL SYSTEM
25.planttype,Inpdustrial,Industrial
1625.statevalue,YN,NY
1911.groundorsurface,rGound,Ground
14.city,CAUMONT,CHAUMONT
962.street,91 LNDFILL DR,91 LANDFILL DR
743.statevalue,Y,NY
1526.facilityname,ONIEDA LTD - KNxIFE PLANT,ONIEDA LTD - KNIFE PLANT
1035.planttype,Industrail,Industrial
257.groundorsurface,Gpround,Ground
672.spdespermitnumber,NY02q68852,NY0268852
1391.planttype,Induostrial,Industrial
956.street,EAST DELAWARE TUNNEL***,EAST DELAWARE TUNNEL
1298.street,55724 ST RTEw 30,55724 ST RTE 30
960.facilityname,PULASKI  V STP,PULASKI - V STP
1021.spdespermitnumber,N0Y110574,NY0110574
1215.locationone,"42.12, -77.14)","(42.12, -77.14)"
815.spdespermitnumber,NY028437,NY0280437
2037.groundorsurface,Sruface,Surface
920.city,Friendshixp,Friendship
1663.planttype,Industwrial,Industrial
841.spdespermitnumber,NY02z53413,NY0253413
1833.statevalue,YN,NY
1279.street,NYS RTE 3|HENDERSON & HENEDRSON HARBOR,NYS RTE 3|HENDERSON & HENDERSON HARBOR
287.statevalue,Y,NY
2.groundorsurface,Grund,Ground
917.planttype,Industral,Industrial
55.statevalue,YN,NY
624.planttype,gIndustrial,Industrial
396.facilityname,City of Norwih Water Filtration Plant,City of Norwich Water Filtration Plant
371.groundorsurface,Surace,Surface
1036.country,UAS,USA
166.spdespermitnumber,NY0163859,NY0136859
1096.statevalue,NuY,NY
1861.locationone,"(4.274, -75.95)","(42.74, -75.95)"
1399.groundorsurface,Surfce,Surface
147.street,SOUT HST,SOUTH ST
1843.country,SUA,USA
2053.planttype,uMnicipal,Municipal
1712.country,cUSA,USA
1027.spdespermitnumber,NY000241,NY0002241
1909.city,OGEDNSBURG,OGDENSBURG
950.locationone,(41.69 -73.87),"(41.69, -73.87)"
2012.planttype,tMunicipal,Municipal
723.statevalue,Y,NY
1816.planttype,Indutrial,Industrial
1442.groundorsurface,wGround,Ground
1930.city,POMFRET (xT),POMFRET (T)
686.planttype,Indsutrial,Industrial
1346.locationone,"(44.67, -3.52)","(44.67, -73.52)"
1859.groundorsurface,gSurface,Surface
10.spdespermitnumber,NY0426492,NY0246492
1468.spdespermitnumber,NY025575,NY0257575
666.city,jCLARENCE,CLARENCE
787.country,UAS,USA
636.country,UAS,USA
1257.street,RIVR ST,RIVER ST
1.planttype,Idnustrial,Industrial
524.street,30 WEBEL AVE - E SIDE,30 WEIBEL AVE - E SIDE
560.locationone,"(42.01, -7.27)","(42.01, -74.27)"
657.locationone,(42.67 -74.44),"(42.67, -74.44)"
898.street,NEW HACKENSACK tRD,NEW HACKENSACK RD
1740.groundorsurface,Surfiace,Surface
1470.planttype,Idustrial,Industrial
1149.planttype,Muicipal,Municipal
1293.spdespermitnumber,NY0005702,NY0005720
1733.locationone,"(40.63, 73.75)","(40.63, -73.75)"
256.city,TROzY,TROY
101.street,15 BAY AV|E27-A-6,15 BAY AVE|27-A-6
2000.city,TOWN OF TONWANDA,TOWN OF TONAWANDA
1381.groundorsurface,Srface,Surface
368.country,UA,USA
270.city,RIGE,RIDGE
369.spdespermitnumber,NY0002712***,NY0002712
1447.country,iUSA,USA
843.groundorsurface,Surfalce,Surface
310.locationone,"(42.x08, -75.65)","(42.08, -75.65)"
1872.street,01 E GENESEE ST,901 E GENESEE ST
1537.locationone,"(42.63,-73.75)","(42.63, -73.75)"
701.city,GARIDNER,GARDINER
372.groundorsurface,urface,Surface
1646.statevalue,Y,NY
1098.spdespermitnumber,NY00009z57,NY0000957
317.statevalue,YN,NY
972.locationone,"42.39, -77.36)","(42.39, -77.36)"
414.street,PDPADIC RD - 1200' N OF ST RTE 7,PODPADIC RD - 1200' N OF ST RTE 7
33.street,Multiple loctaions,Multiple locations
891.statevalue,NsY,NY
1991.street,r6593 N LAKE RD,6593 N LAKE RD
424.facilityname,BYRAM LAK FILTRATION PLANT,BYRAM LAKE FILTRATION PLANT
633.city,EDFORD,MEDFORD
1218.city,LEICESETR,LEICESTER
872.groundorsurface,urface,Surface
1607.country,UAS,USA
641.planttype,Induwstrial,Industrial
1709.groundorsurface,Groutnd,Ground
1541.locationone,"(40.73, -73.6)","(40.73, -73.68)"
1437.street,363 RSBACH RD - W SIDE,363 RASBACH RD - W SIDE
67.country,SUA,USA
1571.planttype,Itndustrial,Industrial
293.locationone,"(40.77,-72.99)","(40.77, -72.99)"
445.country,USfA,USA
2011.spdespermitnumber,NY0305688,NY0035688
580.street,6110 ST RE 8,6110 ST RTE 8
38.statevalue,pNY,NY
28.statevalue,YN,NY
1753.country,SA,USA
432.planttype,Municipavl,Municipal
1171.planttype,Muncipal,Municipal
1510.planttype,Industial,Industrial
439.city,UDSON,HUDSON
206.city,WfANAKENA,WANAKENA
885.street,2221 NIAGAAR FALLS BLVD,2221 NIAGARA FALLS BLVD
1093.country,USzA,USA
1895.groundorsurface,urface,Surface
87.statevalue,YN,NY
994.city,ROCmHESTER,ROCHESTER
2080.planttype,Inustrial,Industrial
750.groundorsurface,Gjround,Ground
1675.locationone,"(43.19, -78.4s2)","(43.19, -78.42)"
1773.locationone,"(c44.92, -74.07)","(44.92, -74.07)"
1220.spdespermitnumber,YN0033901,NY0033901
1253.city,SIrDNEY,SIDNEY
328.city,MSSENA,MASSENA
588.country,UA,USA
1489.planttype,Munciipal,Municipal
206.facilityname,FINE - T WANAKENAS EWER DISTRICT,FINE - T WANAKENA SEWER DISTRICT
1084.groundorsurface,Surfuace,Surface
466.city,BROOKHAVN,BROOKHAVEN
1883.city,StPEONK,SPEONK
459.country,SUA,USA
1278.planttype,Industiral,Industrial
1433.statevalue,NjY,NY
902.spdespermitnumber,NY026214,NY0263214
461.statevalue,YN,NY
2067.planttype,Municjipal,Municipal
1720.city,OSDUS,SODUS
497.planttype,Indusrtial,Industrial
414.country,SA,USA
1312.planttype,Indufstrial,Industrial
753.city,DEWARDS,EDWARDS
1322.locationone,"(40.96, -722.6)","(40.96, -72.26)"
889.groundorsurface,Surfaec,Surface
104.groundorsurface,Surfsace,Surface
1774.spdespermitnumber,NY00w25569,NY0025569
1312.country,UAS,USA
1690.statevalue,Y,NY
181.groundorsurface,Sufrace,Surface
1440.country,USkA,USA
1420.facilityname,MASTrIC LAUNDROMAT,MASTIC LAUNDROMAT
460.facilityname,PORTx EWEN WATER TREATMENT PLANT,PORT EWEN WATER TREATMENT PLANT
49.planttype,Indaustrial,Industrial
1201.spdespermitnumber,NY0810645,NY0180645
1998.country,UA,USA
1482.planttype,Indstrial,Industrial
923.city,STORMIVLLE,STORMVILLE
315.groundorsurface,Srface,Surface
136.statevalue,YN,NY
731.locationone,"(40.84, 73.07)","(40.84, -73.07)"
1778.planttype,Idnustrial,Industrial
1858.locationone,"(42.1e1, -75.98)","(42.11, -75.98)"
1633.facilityname,TRUAMNSBURG - V STP,TRUMANSBURG - V STP
1748.country,UScA,USA
181.city,UTPPER LAKE,TUPPER LAKE
1053.groundorsurface,Suface,Surface
973.planttype,ndustrial,Industrial
1267.street,RTE4 ,RTE 4
742.city,SYACUE,SYACUSE
842.locationone,"(41.83, 73.68)","(41.83, -73.68)"
871.spdespermitnumber,YN0022225,NY0022225
2003.country,UA,USA
1930.facilityname,dLILY DALE SD WWTF,LILY DALE SD WWTF
1561.groundorsurface,Suhrface,Surface
466.statevalue,Y,NY
1414.planttype,Municpial,Municipal
1723.country,yUSA,USA
1368.groundorsurface,Svurface,Surface
226.street,1000 E NIAGAA ST,1000 E NIAGARA ST
1098.locationone,"(l43.98, -75.91)","(43.98, -75.91)"
596.country,SUA,USA
202.street,120 Harris jRd,120 Harris Rd
1564.planttype,Iqndustrial,Industrial
1559.street,2000 ST aRTE 392|GRIDLEY CREEK,2000 ST RTE 392|GRIDLEY CREEK
122.locationone,"(43.t08, -76.87)","(43.08, -76.87)"
734.statevalue,YN,NY
659.street,11 REIMNGTON AVE,11 REMINGTON AVE
619.street,470 ST RTpE 32,470 ST RTE 32
880.facilityname,CHENANGOk NORTHGATE WWTP,CHENANGO NORTHGATE WWTP
439.street,CO TRE 25 & ROSSMAN HILL RD,CO RTE 25 & ROSSMAN HILL RD
499.spdespermitnumber,NY026386,NY0261386
1101.spdespermitnumber,NY0281z191,NY0281191
67.facilityname,ELMA SD#4 BRIGGSWOOD,ELMA SD #4 BRIGGSWOOD
487.city,BREWeERTON,BREWERTON
1438.city,AUSABLE FRKS,AUSABLE FORKS
1691.spdespermitnumber,NY027y7053,NY0277053
1077.city,RONKONKOMqA,RONKONKOMA
1829.locationone,"(44.7, -734.5)","(44.7, -73.45)"
1586.country,SA,USA
234.statevalue,NiY,NY
4.planttype,Municpal,Municipal
1217.planttype,ndustrial,Industrial
1272.planttype,Inldustrial,Industrial
349.groundorsurface,Gound,Ground
2005.city,OSWEfGO,OSWEGO
1875.city,CENTRAL BIDGE,CENTRAL BRIDGE
347.city,CHATEAUGYA,CHATEAUGAY
737.street,41 CONTRACTOSR RD,41 CONTRACTORS RD
374.facilityname,Suffolk County Water Authortiy,Suffolk County Water Authority
201.locationone,"(41.16, -7.87)","(41.16, -73.87)"
1996.spdespermitnumber,sNY0000523,NY0000523
1031.country,UuSA,USA
644.city,WAERVLIET,WATERVLIET
1397.country,UoSA,USA
1902.statevalue,YN,NY
1445.city,SMITHTONW,SMITHTOWN
1078.statevalue,kNY,NY
1270.spdespermitnumber,NY0211142,NY0121142
1966.facilityname,BOROKDALE HOSPITAL MEDICAL CTR,BROOKDALE HOSPITAL MEDICAL CTR
1665.statevalue,Y,NY
2077.locationone,"(40.81, 7-3.13)","(40.81, -73.13)"
1377.locationone,"(44.,0 -75.98)","(44.0, -75.98)"
776.facilityname,WILLSBORO WATER TREATMENTP LANT,WILLSBORO WATER TREATMENT PLANT
1789.country,UuSA,USA
1693.city,ELKIRK,SELKIRK
839.city,GARDINRE,GARDINER
1999.statevalue,YN,NY
871.locationone,"(42o.69, -73.91)","(42.69, -73.91)"
111.groundorsurface,Gronud,Ground
761.city,CHEEKTOWAGA & W SENCA,CHEEKTOWAGA & W SENECA
1577.planttype,Inustrial,Industrial
1777.locationone,"(42.1, -792.7)","(42.1, -79.27)"
1906.country,USsA,USA
1937.groundorsurface,xSurface,Surface
89.planttype,Municipl,Municipal
594.facilityname,RADIENZ LIIVNG,RADIENZ LIVING
924.facilityname,OWASCO - T WRT DIST,OWASCO - T WTR DIST
1299.city,BIG FLAST,BIG FLATS
1059.country,SA,USA
1574.statevalue,YN,NY
775.city,CLIFTONm PARK,CLIFTON PARK
2054.planttype,gIndustrial,Industrial
1054.facilityname,KERHONKSONWWTF - KERHONKSON SD,KERHONKSON WWTF - KERHONKSON SD
1425.facilityname,SODUS  -V WWTP,SODUS - V WWTP
295.locationone,"(e40.73, -73.94)","(40.73, -73.94)"
1093.street,50 CO RD 39A|SCTM#904-42-020,50 CO RD 39A|SCTM#904-4-2-020
696.facilityname,SSSI qCSRM Project,SSSI CSRM Project
1359.street,1002H UDSON RIVER RD,1002 HUDSON RIVER RD
1792.locationone,"(41.72,- 74.62)","(41.72, -74.62)"
539.country,cUSA,USA
935.street,771C OMMACK RD,771 COMMACK RD
10.locationone,"(42.67, -77.t06)","(42.67, -77.06)"
1077.statevalue,YN,NY
1636.city,Yapank,Yaphank
1921.locationone,"(4.225, -79.03)","(42.25, -79.03)"
1459.locationone,"41.79, -74.79)","(41.79, -74.79)"
1054.planttype,Munciipal,Municipal
1325.planttype,Muncipal,Municipal
788.statevalue,YN,NY
178.facilityname,BROOKHAVEN COMBUSTIuON TURBINE,BROOKHAVEN COMBUSTION TURBINE
1429.locationone,"(43.03, -78.)","(43.03, -78.5)"
2087.country,vUSA,USA
1493.locationone,"(2.81, -73.79)","(42.81, -73.79)"
523.planttype,ndustrial,Industrial
1783.country,aUSA,USA
555.spdespermitnumber,cNY0020028,NY0020028
576.groundorsurface,Sjurface,Surface
1938.locationone,"40.85, -73.63)","(40.85, -73.63)"
1793.spdespermitnumber,NY02294u66,NY0229466
1495.city,MaASTIC,MASTIC
1714.planttype,unicipal,Municipal
1576.country,UAS,USA
1964.spdespermitnumber,NY0w033545,NY0033545
1843.street,2801 LONGRD,2801 LONG RD
1555.groundorsurface,Surfae,Surface
9.country,SUA,USA
1053.planttype,Indusrtial,Industrial
137.city,CANTN,CANTON
789.groundorsurface,Surnface,Surface
1206.street,300 OAK ORCHARD RD,4300 OAK ORCHARD RD
755.spdespermitnumber,NgY0260860,NY0260860
120.spdespermitnumber,NY000421,NY0004421
2022.street,7272 WILLIAMS RD,7227 WILLIAMS RD
1061.groundorsurface,Surace,Surface
980.country,UAS,USA
1052.groundorsurface,pSurface,Surface
1092.spdespermitnumber,NY007641,NY0007641
1589.street,1801 BUFALO AVE,1801 BUFFALO AVE
504.facilityname,VALATIE SEWAGE TREATMENT PLATN,VALATIE SEWAGE TREATMENT PLANT
1827.street,72 MISSILE BAvSE RD,72 MISSILE BASE RD
1840.statevalue,YN,NY
942.street,3626 E RIVnER RD,3626 E RIVER RD
1552.locationone,"(40.58, -73.i83)","(40.58, -73.83)"
