planttype,spdespermitnumber,facilityname,groundorsurface,averagedesignhydraulicflow(double precision),street,city,statevalue,country,zipcode(double precision),latitude(double precision),longitude(double precision),locationone
Municipal,NY0025798,OWEGO - T STP 2,Surfaec,2.0,1319 E MIN ST,APALACHIN,NY,USA,13732.0,42.07,-76.15,"(2.07, -76.15)"
Industrial,NY258636,RESENIUS KABI USA LLC,Surface,0.3,3159 STALEY RD,GRAND ISLAND,NY,USA,14072.0,43.01,-79.01,"(43.01, -79.01)"
Municipla,NY0028410,BIRD ISLAND STP,Surface,180.0,90 W FERRY ST,BUFFALO,NY,USA,14213.0,42.92,-78.9,"(42.92, -78.9)"
Industrial,NY0235095,MEENAN OIL,Surface,0.0,560 N MAIN ST,BREWSTER,Y,USA,10509.0,41.4,-73.62,"(41.4, -73.62)"
ndustrial,NY0259719,CHAUTApUQUA UTILITY DIST WTP,urface,0.0,2 RAMBLE AVE,CHAUTAUQUA,NY,UlSA,14722.0,42.21,-79.47,"(4.221, -79.47)"
Industrial,NY0c264423,WAPPINGER FALLS JUNIOR HIGH SCHOOL,Surface,0.0,30 MAJOR MACDNALD WAY,WAPPINGERS FALLS,NY,USA,12590.0,41.59,-73.92,"(4159, -73.92)"
Industrial,NY0268313,MOHAWK INNVATIVE TECHNOLOGY INC,Sufrace,0.0,1037 WATERLIET-SHAKER RD,COLONIE,NY,UAS,11717.0,42.74,-73.84,"(42.74, -73.84)"
Industrial,NY0084999,ATLAS COPCO zCOMPTEC,Surface,0.02,46 SCHOOL RD,VOORHEESVILLE,Y,SA,12186.0,42.66,-73.94,"(42.66, -73.94)"
Industrial,NY0277029,GREENPOINT LANDING BUILDING D,Sjurface,0.72,1 Eagle t,Brooklyn,NY,USA,11222.0,40.73,-73.96,"(40n.73, -73.96)"
Municipal,NY0107255,HONEOYE LAKE COUNTY CONSOLIDATED SEWER DISTRICT,Surface,0.0,US RTE 20A,HONEOYE,Y,USA,14471.0,42.79,-77.51,"(42.79, -77.51)"
mMunicipal,NY027979,NIAGARA COUNTY SEWER DISTRICT #1 WWTP,Surface,14.08,346 LIBERTY DR,NIAGARA FALLS,NY,SA,14304.0,43.07,-78.92,"(43.07, -78.92)"
Industrial,NY0428169,WOODLAND SCHOOLS & BUS GARAGE,Surface,0.05,475 W HARTSDALE AVE,HARTSADLE,NY,USA,11717.0,41.03,-73.8,"(41.03, -73.8)"
Industrial,Y0252026,NORTH WARREN CENTRAL SCHOOL,Surface,0.0,6110 ST RE 8,CHESTERTOWmN,NY,USA,12817.0,43.66,-73.78,"(43.66, -73.78)"
Indutrial,NY0266892,FJM LAUNDROMAT OF HOLBROOK,kGround,0.04,310 MAIN SnT,HOLBOROK,NY,USA,11741.0,40.81,-73.08,"(40.81, -73.08)"
Industrial,NY0246743,ELMIRA WATER BOARD FILTRATION PLANT,Surface,0.16,1 FOUNTAIN DR,ELMIRA,NY,USA,14905.0,42.1,-76.84,"(42.1, -76.84)"
Inustrial,NY0227129,THE LAUNDRY BASKET,Ground,0.01,290 LARKFIELD RD,EAST NORTHPOTR,NY,UA,11731.0,40.87,-73.32,"(40.87, -73.32)"
Industrial,NY0260720,NYSDOT MAINT SUBHEADQUARTERS RT 5S,Surface,0.0,RT 5S I-90 EXT 29,CANJOHARIE,NY,UeSA,13317.0,42.9,-74.57,"(42.9, -74.57)"
Industrial,NY023970,PLATTSBURGH TOWN GARAGE AND OFFICE,Ground,0.0,151 BANKER RD,PLATTSBURGH,NY,SUA,12901.0,44.7,-73.54,"(44.z7, -73.54)"
Industrial,NY027438q1,CATSMO,Both,0.0,25 MwYERS RD,WALLKILL,Y,USA,12589.0,41.61,-74.23,"(41.61, -74.23)"
Industrial,NY0257478,HOOSIER MAGNETICS INC,Surface,0.5,110 DENNuY ST,OGDENSBURG,NY,USA,13669.0,44.7,-75.48,"(44.7, -75.l48)"
Idnustrial,NY0231924,SUNOCO SYRACUSE TED PARK TERMINAL,Surface,1.56,2951 ENERGY lDR,ARNERS,NY,UA,13164.0,43.1,-76.3,"(43.1, -76.3)"
Industrial,NY0258415,OLIN CORPROATION CHLOR-ALKALI PRODUCTS,Surface,30.0,2400 BUFFALO AVE***,NIAGARA FALLS,NY,USA,14303.0,43.08,-79.03,"(43.08, -79.03)"
Industrial,NY0251852,QUEENSBURY WATER TREATMENT PLANT,Suorface,0.0,823 CORINTH RD,QUEENSBURY,Y,USA,12804.0,43.27,-73.72,"(43.27, -73.72)"
Municipal,NY0021733,SARANAC LAKE STP,Surface,2.62,68 ST RTE 3,SARANAC LAKE,NY,USA,12983.0,44.35,-74.11,"(44.35, -74.11)"
Industrial,NY027l5310,NYSDOT JAVA SUB HEADQUARTERS,Surface,0.0,241 ST RTE 78,JAVA,NY,USA,14082.0,42.64,-78.33,"(42.64, -78.33)"
Municipal,NY0023604,NORFOLK DS 1,Surface,0.0,RIVER RD AND CO RTE 38,vNORFOLK,NY,USA,13667.0,44.8,-75.0,"(44.8, -75.0)"
Industtrial,NY0267431,RADIENZ LIIVNG,Ground,0.0,110 EMJAY BLVD,BRENTWOOD,NY,SUA,11717.0,40.78,-73.28,"(40.78, -73.28)"
Industrial,NY0n072532,AIR PRODUCTS & CHEMICALS,Surface,0.28,461 RIgVER RD (ST RTE 144),GLENMONT,NY,USA,12077.0,42.59,-73.77,"(42.59, -73.77)"
Industrial,NY0031526,SUNY WANAKENA CAMPUS rSTP,Surface,0.01,257 RANGER SCHOOL ROfAD,WANAKENA,YN,SUA,13695.0,44.17,-75.15,"(44.17, -75.15)"
Industriaul,NY0262234,NY SDOT CASTLE CREEK SUB-RESIDENCY,Surface,0.0,1225 US Rte 11 @ I-81 EXIT 7,CATSLE CREEK,NY,USA,13744.0,42.24,-75.91,"(42.24t, -75.91)"
Industrial,NY0244236,MACKENZIE-CHILDS AUROR LLC,Both,0.13,3260 ST RTE 90,AURORA,NY,USA,13026.0,42.78,-76.71,"(42.78, -76.71)"
Industrial,N0Y091081,SSCD #28 - FAIRFIELD STP,Ground,0.14,221 MORICHES RD,AINT JAMES,NY,UA,11784.0,40.87,-73.14,"(40.87, -73.14)"
Mnuicipal,NY023485,CANAJOHAfRIE - V STP,Surface,2.8,INCINERATOR RD,CANAJHOARIE,NY,USA,13317.0,42.91,-74.57,"(42.91, -74.5v7)"
Industrial,NY0264954,GOSHN QUARRY,Surface,0.0,320 RTE 17A,GOSHEN,NY,USA,10924.0,41.36,-74.36,"(41.3,6 -74.36)"
Industrial,NY000973,WEST VALLEY DEMONSTRATION PROJECT,Surafce,0.15,10282 ROCK SPRINGS RD,WEST VALLEY,NY,UA,14171.0,42.45,-78.65,"(42.45, -78.65)"
Municipal,NY0026549,NYCDEP - GRAHAMSVILLE WASTEWATER TREATMENT PLANT,Surface,0.18,ST RTES 42 & 55|REYNOLDS RD,GRAHAMSVILLE,NY,USA,12740.0,41.84,-74.54,"(41.84, -74.54)"
Industrial,NY0001325***,GREENIDGE STATION,Surface,190.8,590 PLNT RD,DRESEDN,NY,USA,14441.0,42.68,-76.95,"(42.68, -76.95)"
Industrial,NY0266817,CENTER MORICHES WASH & FOLD,Ground,0.0,165B MAIN ST,CENTER ORICHES,NY,oUSA,11934.0,40.8,-72.78,"(40.8, -72.78)"
Industrial,NY0201278,TULLY ENVIRONMENTAL INC,Surface,0.0,127-20 34TH AVE,FLUSHING,Y,UA,11368.0,40.76,-73.84,"(40.76, 73.84)"
Industrial,NY005851,USDOE NOLLS ATOMIC POWER LABORATORY,Sudrface,7.83,2401 RIVER RD,NISKAYUNA,NY,USA,12309.0,42.82,-73.87,"(42.82, -7.87)"
Municipal,NY0021385,CLINTON SEWAGE TREATMENT PLANT,Surface,2.5,NOnRTON AVE,CLINTON,NY,SA,13323.0,43.06,-75.38,"(43.06, -75.a38)"
Municipal,NY0029271***,SIDNEY - V STP,Surface,1.7,72 RIVER ST,SIDNEY,Y,USA,13838.0,42.31,-75.4,"(42.31, -75.4)"
Industrial,NY023751,F & L LAUNDROMAT,Ground,0.0,1279 JERICHO TPK,HUTINGTON STATION,NY,USA,11746.0,40.83,-73.36,"(40.83 ,-73.36)"
Industrial,NY0171778,NYS DOT RES ENGRS HDQTRS - COLLINS,Surfacqe,0.0,14299 US RTE 62a @ WHEATER RD,COLLINS,NY,USA,14034.0,42.49,-78.93,"(42.49, -78.93)"
Municipal,NY0026328,MIDDLETOWN STP,Surface,8.5,159 DOLSON AVE,MIDDLETOWN,Y,USA,10940.0,41.43,-74.42,"(41.43, -74.42)"
Industrial,NY0103187,HUNTER - T LANDFILL,uSrface,0.02,Hyla nRd,Tnnersville,NY,USA,12485.0,42.2,-74.17,"(42.2, -74.17)"
Municipal,NY0020818,POTSDAM WATER POLL CNTL PLANT,Surface,3.5,115 LOWER CHERRY ST,POTSDAM,NY,USA,13676.0,44.68,-75.0,"(44.68, -75.t0)"
Industrial,NY0072231,SANMINA CORPORATION,Surfvace,0.18,1200 TAYLOR RD,OWEGO,NY,USA,13827.0,42.1,-76.23,"(42.1, -76.23)"
Industrial,NY0002399,TONAWNADA COKE CORPORATION,Surface,2.65,3875 RIVER RD,TONAWANDA,NY,USA,14150.0,42.98,-78.93,"(42.98, -87.93)"
Industrila,NY0106721,LIDO BOULEVARD WELL FIELD,Surfce,0.0,330 LIDO BLVD,POINTLOOKOUT,mNY,USA,11569.0,40.59,-73.58,"(40.59, -73.58)"
ndustrial,NY0006874***,HOLCIM (US) INC - CATSKILL PLANT,urface,0.0,134 Embought Rd,Catskill,NY,aUSA,12414.0,42.18,-73.9,"(42.18, -73.9)"
Industrial,NY0105112,WOODBURY WATER DIS 6 AMDUR PARK,Surface,0.0,470 ST RTpE 32,WOODBURY,NY,USA,10950.0,41.35,-74.17,(41.35 -74.17)
Industrial,NY0232891,NYSDOT-REGION 1 MAINTENANCE HEADQUARTERS,Surface,0.0,16 MAPLE RD|ST RTE 155 @ ST RTE 85A,VOORHEESVILLE,NY,USrA,12186.0,42.65,-73.92,"(42.65, -73.92)"
Industrial,NY0206270,SUFFOLK LAUNDRY SERVICES,Ground,0.0,529 COUNTY RD 39,SOUTHAMPTON,NY,SA,11968.0,40.9,-72.42,"(40.9, -72.42)"
Industrial,NY0106984,K M DAVIES COLD STORAGE,Surface,0.0,659 LAKE AVE,WILLIAMSON,Y,UAS,14589.0,43.24,-77.19,"(43.24, -77.19)"
Municipal,NY0032999,WAYLAND - V STP,Surface,0.35,300 S MAIN ST|MILLEN ST EXT,WAYLAND,NY,USA,14572.0,42.56,-77.59,(42.56 -77.59)
gIndustrial,NY0034959,RrUBY MOUNTAIN GARNET MINE,Suriface,0.0,13TH LAK ERD,NORTH RIVER,aNY,USA,12856.0,43.73,-74.11,"(43.73, -74.11)"
Industrial,NY0233781,GLOBAL COMPANIES LLC - NEWBURGH ERMINAL,Surfaec,0.0,1281 RIVER RD,NEW WINDSOR,NY,USA,12553.0,41.49,-74.01,"(41.49, -74.01)"
Industrial,NY0000736,YS NIAGARA POWER PROJECT,Surfacne,72.3,ROBERT MOSES PKWY,LEWISTON,NY,SA,11717.0,43.14,-79.04,"(43g.14, -79.04)"
Municipal,NY0025097,KEESEVILLE WASTEWATER TREATMENT PLANT,Surface,0.4,1858 US RTE 9 (N AUSABLE ST),KEESEVILLE,NY,SA,12944.0,44.51,-73.47,"(44.51,j -73.47)"
Idnustrial,NY0276545,COLUMBIA UNIVERSITY - MANHATTANVILLE CAMPUS/FACILITIES UTILITY IMPROVEMENT PROJECT,Surfaec,0.0,637 W 125TH ST & 615 W 131ST ST,EW YORK,NY,USA,10027.0,40.82,-73.96,"(40.82, -73.96)"
ndustrial,NY0005126,CON ED-EAST RIVER GENERATING STATION,Swurface,540.6,701-827 E 14TH ST,NEW YORK,NY,USA,10009.0,40.73,-73.97,"4(0.73, -73.97)"
Muncicipal,NY0258059,ORLEANS/ALEXANDRIA JOINT WWTP,Surface,0.2,COLLINS LANDING,ALEXANDRIA,NY,USA,13607.0,44.3,-75.97,"(44.3, -75.97)"
Industrial,NY0005932,PORT JEFFERSON POWER STATION,Surface,398.7,00 Beach St,Port Jefferson,NY,USA,11777.0,40.95,-73.08,"(40.95, -73.0)"
Industrial,NY027311,ACROSS THE MALL LUNDROMAT,Ground,0.0,237 OLD WALT WHITMAN RD,HUNTINGTON STATOIN,NY,USA,11746.0,40.82,-73.41,"(40.82, -73.4)"
Industril,NY0226823,CHEN MEDFORD LAUNDROcMAT INC,Grgound,0.0,3202 HORSEBLOCK RD,EDFORD,NY,USA,11763.0,40.83,-72.98,"(40.83, -72.9)8"
Industrial,NY00n01147,HAZLITT''S RED CAT zCELLARS,urface,0.03,1 LAKE NIAGARA LN,NAPLES,NY,USA,14512.0,42.62,-77.4,"(42.62, -77.)4"
Industral,NY0267139,Suffolk County Water Authority,yGround,0.09,ENTIRE WATRE DISTRICT WIDE,SUFFLOK,YN,UeSA,11717.0,40.96,-72.26,"(40.96, -72.26)"
Municipal,NY0250520,V/KIRYAS JOEL WWTP,Surface,0.01,BAKERTOWN RD,KIRYAS JOEL,NY,UAS,10950.0,41.33,-74.16,"(41.33, -74.16)"
Municipal,NY0905401,SOUTHTOWNS WATER RESOURCE RECOVERY FACILITY,Surface,16.0,S-6390 LAKESHORE RD,HAMBURG,NY,USA,14219.0,42.79,-78.85,"(42.79, -8.85)"
Municipal,NY0022969,T MOfRIAH WWTF,uSrface,0.85,29BULWAGGA DR,PORT HENRY,NY,USpA,12974.0,44.04,-73.46,"(44.04, -73.46)"
Industrial,NY0003255,HANSON / SODUS PIT,Surfaec,0.19,7211 QUARpRY RD,SODUS,Y,USA,14551.0,43.18,-77.04,"(43.18, -77.04)"
Industrial,NY280402,DELAWARE AQUEDUCT SHAFT 5B RONDOUT-WEST BRANCH TUNNEL REPAIR,Surfaec,0.0,550 3ST RTE 9W|3 MI SECTION - ROSETON AREA TO CHELSEA AREA,NEWBURGH,YN,USA,11717.0,41.58,-73.99,"(41.58, -73.99)"
Induwstrial,NY248355,BURKE OIL & HEATING HAWTHONRE TERMINAL,Surface,0.0,475 COMERCE ST,MOUNT PLEASANT,Y,UA,12457.0,41.11,-73.79,"(41.11, -73.79i)"
ndustrial,NY0109q746,PEMBROKE TRAVEL wCENTER,Surface,0.01,8420ALLEGHANY RD (ST RTE 77),COeRFU,NY,USA,14036.0,43.0,-78.41,"(4.30, -78.41)"
Municipal,NY0145696,MOUNTAIN DALE WWTP,Surface,0.18,CHURCH RD - OPPOSITE LAUREL,MOUNTAIN DALE,YN,USA,12763.0,41.69,-74.53,"(41.69, -74.53)"
Industrila,NY0023361,U S ARMY WATERVLIET ARSENAL,Surface,0.45,BROADWAY,WAERVLIET,NlY,USA,12189.0,42.72,-73.71,"(42.72, -73.71)"
Industrial,NY0242915,CHESTER-JENSEN COMPANY,Subrface,0.0,124 MAIN ST,CATTARAUUGS,NY,USA,14719.0,42.33,-78.87,"(42.33, -78.87)"
Industrial,NY0178152,DATA DEVICE CORPORATION,Ground,0.01,105 WILBUR PL,BOHEMIA,NY,USA,11716.0,40.78,-73.1,"(40.78, -73.1)"
Industril,NY121410,NEW YORK POWER AUTH CLARK ENERGY CENTER,Surface,0.0,6520 GLASSFACTORY RD***,ARCY,Y,USA,13403.0,43.18,-75.23,"(43.18, -75.23)"
Industrial,NY0257826,"Lydall Performance Materials (US), Inc.",Surhface,0.0,9635 MAIN ST,BEAVER FALLS,NY,USA,13305.0,43.89,-75.44,"(43.89, -75.44)"
Industrial,NY0028592,BUCjKEYE ALBANY TERMINAL LLC,Surface,0.03,301 NORMASNKILL ST|PORT OF ALBANY,ALABNY,NY,USA,12202.0,42.62,-73.76,"(42.62, -73.76)"
uMnicipal,NY0034762,DEKALB JUNCTION SEWAGE TREATMENT PLT,Surface,0.08,2907 CO RTE 17,DE KALB JUNCTION,NY,UAS,13630.0,44.51,-75.28,"(44.51, -75.28)"
Municipal,NY0024414,BINGHAMTON JOHNSON CITY STP,Surface,35.0,4480 OLD VESTAL RD,VESTAL,YN,USA,13901.0,42.1,-75.96,"(42.1, -75.9e6)"
Industrial,NY0007072,SHPP US LLC,Surface,1.01,1 NORYL AVE,SELKIRK,NY,USA,12158.0,42.58,-73.86,"(42.58, -73.86)"
Indutrial,NY0098248,UTICA TERMINAL,Surface,0.0,37 WURZ AVE,UTICA,Y,USA,13503.0,43.11,-75.22,"(43.11, -75.22)"
Indsutrial,NY0275867,CARROLL C & D MANAGEMENT FACILITY,Surface,0.0,309 Dodge Rd,Frewsburg,NY,SUA,14738.0,42.01,-79.09,"(42.01, -79.09)"
Indvustrial,NY0002267,PRESTOLITE ELECTRIC NY INC,Surface,0.48,400 MAIN ST,pARCADE,NY,USA,14009.0,42.53,-78.43,"(42.53, -78.43)"
Municipal,NY0110281,RHINEBECK-V WASTEWATER TREATMENT PLANT,Surface,0.26,ASTOR DR,RHINEBECK,NY,SA,12572.0,41.93,-73.92,"(41.93, -73.92)"
Industrial,NY0206075,COBLESKILL - V WTP,Surface,0.03,DOW ST,COBLESKILL,NY,USA,12043.0,42.67,-74.44,(42.67 -74.44)
Municipal,N0Y206644,SUFFOLK SEWER DISTRICT #21/SUNY STONY BROOK SD,Surface,2.8,CIRCLE RD (LOOP RD),STONY BROOK,NY,USA,11794.0,40.92,-73.12,"(40.92, -73.12)"
Industrial,NY0245097,REMINGTON STEAM PLANT,Surface,0.0,11 REIMNGTON AVE,ILION,NY,USA,13357.0,43.01,-75.03,"(43.01, -75.03)"
Industrial,NY0243566,WHEELER LEAE,Srface,0.0,HORSE RUN RD,BOLIVAR,YN,USA,14715.0,42.0,-78.17,"(42.0, -78.17)"
Municipal,NY0022721,COLD SPRING WWTP,Surface,0.5,53 FAIR ST,COLD SPRING,NY,USA,10516.0,41.42,-73.96,"(41.42, -73.96)"
Industrial,NY0107310,CHIP CHOP LEASE,Surface,0.0,RTE 219,ALLEGANY,NY,USA,14706.0,42.01,-78.61,"(42.01, -78.61)"
Industrail,NY0003395,TITANX ENGINE COOLING INC,Surface,0.23,2258 ALLEN ST,JAMESTOWN,NpY,USA,14701.0,42.11,-79.21,"(42.11, -79.21)"
Industrial,NY0084468,CORNING INNOVATION SUPPORT CENTER,Surfadce,0.32,673 CO RTE 64,BIG FLATS,NdY,qUSA,14814.0,42.14,-76.92,"(42.14, -76.92)"
Industrial,NY0265225,REXFORD FIRE DISTRICT FIRE STATION,Surface,0.0,1601 ST RTE 146,REXFORD,NY,USdA,12148.0,42.86,-73.89,"(42.86, -73.98)"
Muncipal,NY0167169,ECSD #5 CLARENCE RESEARCHi PARK,Ground,0.02,g10000 WEHRLE DR,jCLARENCE,NY,SA,14031.0,42.97,-78.62,"(42.97, -78.62)"
Mhunicipal,NY009368,BETHEL KAUNEONGA LAKE STP,Surface,0.6,FLOWER AVE OFF TS RTE 55,KAUNONGA LAKE,NY,USA,12749.0,41.69,-74.83,"(41.69, -74.83)"
Industrial,NY0269441,THE MAT - LAUNDROMAT,Ground,0.0,T RTE 19,BELFAST,Y,USA,14711.0,42.34,-78.12,"(42.34, -78.12)"
Industrial,NY0215341,TWIN LAKES WTP,Surafce,0.0,LONG MOUNTAIN PKWY AT SUMMIT LAKE|US RTE 6 - S SIDE,WOODBURY,NY,UjSA,11717.0,41.31,-74.09,"(41.31, -74.09)"
Municipal,NY0026719,BLIND BROOK WWTP,Surface,5.0,141 OAKLAND BEACH AVE,RYE,Y,USA,10580.0,40.96,-73.69,"40.96, -73.69)"
Muncipal,NY0020079,V-GREENPORT WASTEWATER TREATMENT PLANT,Surface,0.66,1885 MOORES LN,GREENPORT,YN,USA,11944.0,41.1,-72.38,"(41.1, -72.38)"
Municipal,NY02q68852,SCHODACK LANDING SEWERS,uSrface,0.02,RAIL LN,SCHODACK LANDING,NY,USA,12156.0,42.48,-73.77,"(42.48, -73.77)"
Municipal,NY0032093,VILLAGE OF GOWANDA WWTF,Surhface,2.2,ALDRICH ScT,GOWANDA,Y,USA,14070.0,42.47,-78.94,"(42.47, -78.94)"
Municipal,NY0025429,MILLBROOK SEWAGE TEATMENT PLANT,Surface,0.25,39 NORTH AVE,MnILLBROOK,NY,USA,12545.0,41.79,-73.7,(41.79 -73.7)
Industrial,NY0200778,CON ED-EAST 60TH STREET STEAM PLANT,Suface,0.0,514 E 60TH ST,NEW YORK,Y,USA,10022.0,40.76,-73.96,"(40.76, -73.96)"
Industrial,NY0157490,MIRABITO FUvEL GROUP,uSrface,0.0,13 CHERRY ST,GREENE,NY,SA,13778.0,42.33,-75.77,"(42.33, -75.7)"
Industrial,NY0241547,COUNTRY SQUARE LAUNDROMAT,Surface,0.01,ST RTE 32 - IN BRYANTS PLZ,GREENVILLE,Y,UStA,12083.0,42.43,-74.02,"(2.43, -74.02)"
Industiral,NY0246107,PENN YAN - V WATER TREATMENT PLANT,Surface,0.0,1515 W LAvKE RD,JERUSALEM,NY,USA,11717.0,42.65,-77.08,"(42.65, -77.08)"
Industriral,NY0264334,DEERPARK OIL,Suorface,0.0,65s DORRAUGH LN,SPARROW BUSH,NY,USA,11717.0,41.4,-74.73,"(41.4, -74.73)"
Industtrial,NY0109339,AMERICAN PIPE AND PLASTICS INC,Surface,0.01,958 US RTE1 1,KRIKWOOD,NY,USpA,13795.0,42.09,-75.82,"(42.09, -75.82)"
Municipal,NY003484,PINEBROOK ESTATES STP,Surfcae,0.0,225 PINEBROOK DR,HYDE PRK,NlY,USA,12538.0,41.75,-73.92,"(41.75, -73.92)"
Municipal,NY0030724,KIAESHA LAKE SD STP,Surface,2.0,OLD BAILEY RD,MONTICELLO,NY,USA,12701.0,41.66,-74.66,"(41.66, -74.66)"
Industrial,NY0124788,TROY OAKWOOD SERVICE CENTER,Surfazce,0.0,OAKWOOD AVE,LANSINGBURGH,NY,UAS,12182.0,42.76,-73.66,(42.76 -73.66)
Indutrial,NY026728,EAST HAMPTON LAUNDRY,Ground,0.0,497 MONTAUK HWY,AMAGAxNSETT,NY,UAS,11930.0,40.98,-72.13,"(40.98, -72.13)"
Municipal,NY0026204***,NEWTOWN CREEK WASTEWATER RESOURC ERECOVERY FACILITY,Surface,310.0,329-69 GREENPOINT AVE,BROOKYN,NY,USA,11222.0,40.73,-73.95,"(40.73, -73.95)"
Indsutrial,NY0260193,WHITE PLAINS MAINTENANCE FACILITY,Sujrface,0.0,51 PURDYA VE,WHITE PLAINS,NY,SA,11717.0,40.98,-73.75,"(40.98, -73.75)"
Industrial,NY0257630,GUVERNEUR - V WATER FILTRATION PLANT,Surface,0.01,z260 GROVE ST,GOUVERNEUR,NY,USA,13642.0,44.33,-75.46,"(44.33, -75.46)"
Industrial,NY0221817,HEANY INDUSTRIES INC,Ground,0.01,249 BRIARWOOD LN,SCOTTSVILLE,YN,USA,14546.0,43.03,-77.76,"(43.03, -7.76)"
Indusrial,NY021999,RESIDENT ENGR'S HQ - REG 8/MIDDLETOWN,Surfacte,0.0,US RTE 6 - W SIDE - BETW I-84 & CO RTE 56,MIDDLETOWN,NY,xUSA,10940.0,41.41,-74.44,"(41.41, 74.44)"
Industril,NY0266191,Chilson Warter Storage Tank,Surface,0.0,448 CO RTE 56,pTiconderoga,Y,nUSA,12883.0,43.86,-73.47,"(43.86, -73.47)"
Inustrial,NY027x9871,GABRESKI AIRPORT - NY AIR NATIONAL GUARD,Ground,0.0,150 RIVERHEAD RD,WESTHAMPTON BEACH,NY,USA,11978.0,40.84,-72.64,"(40.84, -72.64)"
Industral,NY0166260,KINGSTON WATER TREATMENT PLANT,Suface,0.07,1442 SAW KILL RD (CO RTE 30),WOODSTOCK,NY,USA,12401.0,42.01,-74.06,"(420.1, -74.06)"
Industrial,NY0262391,WELL #2 (NICHOLS),Surfafce,0.0,317 W RIVER RD,ICHOLS,NY,USA,13812.0,42.02,-76.37,"(42.02, -76.37)"
Industrial,NY0286585,3D Rigging and Construction,Suface,0.0,435 CREBLE RD - FORMERLY LONG LN,SELKIRK,Y,USA,12158.0,42.56,-73.84,"(42.56, -73.b84)"
Municipal,NY025747,ALBANY - C COMBINED SEWER OVERFLOWS,Surface,2.1,HUDSON RIVER,LABANY,NY,USA,12207.0,42.65,-73.75,"(42.65, -737.5)"
Industrial,NY0277070,SSSI qCSRM Project,Surface,0.0,S Shore of Staten Island|Fort Wadsworth to Oakwood Beach,Staten Island,Y,USA,11717.0,40.57,-74.14,(40.57 -74.14)
Industrial,NY0268992,TACONIC BIOSCIENCES INC,Surface,0.06,273 HVER AVE,GERMAoNTOWN,NY,USA,12526.0,42.14,-73.87,"(42.41, -73.87)"
Industrial,NYc0226327,LAUNDRY PALACE,Ground,0.0,1668 NEW YORK AVE,HUNTINGTON STATION,NY,USA,11746.0,40.84,-73.41,"(40.84, -73.41)"
Industrial,NY0108995,INTERTEK TESTING SERVICES,Surface,0.22,3933 US RTE 11 - S SIDE - E OF RIVER,kCORTLAND,NY,USA,13045.0,42.59,-76.15,"(42.59, -76.15)"
Municipal,NY0029068,LIMESTON EWWTP,Surface,0.25,625 SPITTLER RD|US RTE 219 & RAILROAD AVE,LIMESTONE,NY,USlA,14753.0,42.03,-78.63,"(42.03, -78.63)"
Municipal,wNY0109096,GARDINER SEWER DISTs 1 STP,Surface,0.06,FARMERS TPKE AT WALL KILL,GARIDNER,NY,SA,12525.0,41.68,-74.16,"(41.68, -74.16)"
Industrial,NY0242730,VOGTLI PLANT,Sruface,0.01,BROADWAY - W SIDE - S eOF HILL ST,GOWANDA,tNY,USA,11717.0,42.45,-78.93,"(42.45, -78.93)"
Industrial,NY0078794,BONDUELLE USA INC - BERGEN FACILITY,round,1.85,15 CHURCH ST,BERGEN,NY,USA,14416.0,43.08,-77.95,"(43.08, -77.9)5"
Municipal,NY0025315,CUBA STP,Surface,0.97,W WATER ST,CUBA,NY,USA,14727.0,42.22,-78.29,"(42.22, -78.29)"
Industrial,NY0255785,NYSDOT MAINTENANCE SUBHEADQUARTERS - CROWN POINT,Surfaec,0.0,CO RTE 46 - FACTORYVILLE RD,CORWN POINT,NY,USaA,12928.0,43.97,-73.44,"(43.97, -73.44)"
Industrial,N0Y257109,NEW HARTFORD COMPOST FfACILITY,Surface,0.44,CHENANGO RD,NEW HARTFORD,NY,USA,13413.0,43.09,-75.29,"(43.09, -75.29)"
Industrial,NY0068225,ARKEAM INC,Surfaec,0.08,3289 GENESEE ST,PIFFARD,NY,USA,14533.0,42.83,-77.84,"(42.83,- 77.84)"
Industrial,NY0021008,DRESSER-RAND COMPANY - PAINTED POST OPERTAION,Surface,0.19,100 CHEMUNG ST,PAINTED POST,NY,USA,14870.0,42.16,-77.09,"(42.6, -77.09)"
Industrial,NY0261629,ELECTRONICS PARK REMIANDER PARCELS,Surface,0.0,ELECTONICS PKWY,LIVERPOOL,NY,USA,13088.0,43.11,-76.19,"(43.11, -7.19)"
Industrial,NY0279820,HONEY BEE LAUNDERETTEt LLC,Ground,0.01,6568 JERICHO TPK|SCTM 800-116-2-2,COMMAlCK,NY,USA,11725.0,40.84,-73.29,"(40.84, -73.29)"
Indutsrial,NY0275701,COLLINS MAINTENANC ECENTER,Surface,0.0,14020 JENNINGS RD,COLLINS,NY,UAS,14034.0,42.5,-78.88,"(42.5, -78.88)"
Industrial,NY0274747,SAUGERTIES TERMINAL,Surface,0.0,240 ULSTER AVE,SAUGERTIES,vNY,USA,12477.0,42.08,-73.97,"(42.08, -73.97)"
Municipal,NY0145564,GLASCO WASTEWATER TREATMENT PLANT,Surface,0.42,234 HUDSON ST,SAUGERTIES,NsY,USA,12477.0,42.04,-73.94,"(42.04, -73.94)"
Industriual,pNY0157252,VESTAL ETRMINAL,jSurface,0.0,3121 SHIPPERRD,VESTAL,NY,USrA,13850.0,42.1,-76.0,"(42.1, -76.0)"
