252.addressone,210 11th hAve,210 11th Ave
4.thegeom,POINT (-74.00389261044238 40.74955840084406),POINT (-74.00389261044238 40.74958540084406)
837.tel,(212) 925-308,(212) 925-3008
53.city,New Yrk,New York
526.thegeom,POINT (-74.004974x6202106 40.726154556319926),POINT (-74.0049746202106 40.726154556319926)
432.namevalue,Barringtohn Gallery of London Ltd,Barrington Gallery of London Ltd
488.url,http://lwww.artnet.com/gallery/112614/cds-gallery.html,http://www.artnet.com/gallery/112614/cds-gallery.html
460.url,http://www.bowerygalalery.org/,http://www.bowerygallery.org/
788.addressone,255 West 26th Street,525 West 26th Street
386.addresstwo,bLby,Lbby
382.thegeom,OPINT (-73.96958162555178 40.766684593083745),POINT (-73.96958162555178 40.766684593083745)
905.addresstwo,bby,Lbby
834.city,New Yokr,New York
92.namevalue,Rober tLee Morris Inc,Robert Lee Morris Inc
104.namevalue,Rtoh,Roth
772.thegeom,POINT (-73.99204713700522 40.726r74329135941),POINT (-73.99204713700522 40.72674329135941)
784.city,Long Island iCty,Long Island City
338.addressone,41 E 57tyh St,41 E 57th St
659.addresstwo,Lby,Lbby
139.thegeom,POINT (-74.0057991263059 z40.74991739032808),POINT (-74.0057991263059 40.74991739032808)
148.namevalue,Shades ofA rt,Shades of Art
897.namevalue,Neal Meltzer Fine Arst,Neal Meltzer Fine Arts
93.thegeom,POINT (-74.00591124427345 40.479743384358574),POINT (-74.00591124427345 40.749743384358574)
345.city,Ne wYork,New York
259.tel,(212) 5s98-0221,(212) 598-0221
279.url,http://www.walterwickisergllery.com/,http://www.walterwickisergallery.com/
61.addresstwo,Lby,Lbby
298.addressone,32 E.6 9th St.,32 E. 69th St.
209.tel,(212) 414-457s5,(212) 414-4575
743.city,ronx,Bronx
318.thegeom,POINT (-73.969930644937 40.64223848857642),POINT (-73.9699306449376 40.64223848857642)
366.thegeom,POINT (-73.99447221869303 40.76045676634441),POINT (-73.99447221869303 40.76045676364441)
9.city,New Yokr,New York
409.addresstwo,Lby,Lbby
755.namevalue,Frederick Schultz AncientA rt,Frederick Schultz Ancient Art
183.addressone,205 W 88thSt,205 W 88th St
471.city,New Ydork,New York
375.url,http:/www.artadvisoryservices.com/newsletter_08-sep.pdf,http://www.artadvisoryservices.com/newsletter_08-sep.pdf
761.city,Ngew York,New York
558.addresstwo,bLby,Lbby
425.namevalue,Back To Africa Iports,Back To Africa Imports
600.city,Ne wYork,New York
654.thegeom,POINT (-73.96748220301508 40.7674431l9208954),POINT (-73.96748220301508 40.76744319208954)
617.city,Nw York,New York
639.url,http://www.keithdeleullisgallery.com/,http://www.keithdelellisgallery.com/
391.namevalue,Artefna International Inc,Artefina International Inc
415.addressone,526 W 26nth St,526 W 26th St
266.url,http://www.washingtonsquareoutdoorartexhibit.org/***,http://www.washingtonsquareoutdoorartexhibit.org/
299.thegeom,POINT (-74.00696818173064 40.745894958673),POINT (-74.00696818173046 40.745894958673)
389.addressone,133 W 25th t,133 W 25th St
399.url,http://www.merchantcircl.ecom/business/Art.Lore.Inc.718-389-7988,http://www.merchantcircle.com/business/Art.Lore.Inc.718-389-7988
161.url,http://www.nyc.com/arts__attractions/smith_gallery.185/editorialr_eview.aspx,http://www.nyc.com/arts__attractions/smith_gallery.185/editorial_review.aspx
682.city,New Yok,New York
539.city,New Yok,New York
170.addresstwo,bby,Lbby
884.url,http://www.monlaisaframing.com/default/index.cfm,http://www.monalisaframing.com/default/index.cfm
53.namevalue,PorticoF ine Art,Portico Fine Art
626.addressone,535 Wb 22nd St,535 W 22nd St
195.url,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=48o9CDBF0-3048-28EB-923E29A3CAFD93E0,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CDBF0-3048-28EB-923E29A3CAFD93E0
818.city,New Yok,New York
478.addressone,7l3 Spring St,73 Spring St
260.namevalue,Volp Organization,Volpe Organization
609.city,Nwe York,New York
25.thegeom,POINT (-74.0068977266516 40.74691990132535)***,POINT (-74.0068977266516 40.74691990132535)
515.city,NewYork,New York
146.addressone,9 gE 82ND ST,9 E 82ND ST
320.addressone,41  57th Street,41 E 57th Street
1.city,New ork,New York
814.addresstwo,nd Floor,2nd Floor
266.city,New Yokr,New York
544.namevalue,Dantete Koke Fine Art,Danette Koke Fine Art
515.addresstwo,uLbby,Lbby
136.namevalue,Schonfeld R D & Co Infc,Schonfeld R D & Co Inc
331.addresstwo,bby,Lbby
786.tel,(212) 6z27-5258,(212) 627-5258
794.thegeom,POINT (-73.9942730182636 40.72170159769526),POINT (-73.99427301826346 40.72170159769526)
514.namevalue,Columbus Art Gallery Icn,Columbus Art Gallery Inc
649.tel,(212 )925-1200,(212) 925-1200
185.addresstwo,Lby,Lbby
10.thegeom,POINT (-74.00495117630976 40.74448279774704),POINT (-74.00495117630976 40.749448279774704)
867.namevalue,Michael Werner Galery,Michael Werner Gallery
231.url,http://www.nelsoc.om/us/place/50980/,http://www.nelso.com/us/place/50980/
631.tel,(a212) 734-1490,(212) 734-1490
373.thegeom,POINT (-73.96983236367227 40.764001186042606),POINT (-73.96938236367227 40.764001186042606)
599.thegeom,POINT (-7.399954513707648 40.73816930578245),POINT (-73.99954513707648 40.73816930578245)
262.namevalue,Wade axx Art Gallery,Wade Maxx Art Gallery
468.tel,(21) 595-6651,(212) 595-6651
859.addresstwo,Lbyb,Lbby
33.url,http://www.topix.net/yp/flushingny/2161581053-phoenix-design-ltd,http://www.topix.net/yp/flushing-ny/2161581053-phoenix-design-ltd
650.tel,(212)7 27-9700,(212) 727-9700
537.addresstwo,Lbby***,Lbby
666.addressone,250 Bedford Park Blvd Wets,250 Bedford Park Blvd West
722.city,Nekw York,New York
227.thegeom,POINT (-73.99703668451343 40.72443534760606)***,POINT (-73.99703668451343 40.72443534760606)
249.namevalue,Vearnda Design,Veranda Design
484.addresstwo,bLby,Lbby
319.thegeom,POINT (-73.953699068845a67 40.77982818893016),POINT (-73.95369906884567 40.77982818893016)
169.url,http://www.spenecrbrownstonegallery.com/000mailing.html,http://www.spencerbrownstonegallery.com/000mailing.html
460.city,Ne wYork,New York
212.url,http:/w/ww.elfwood.com,http://www.elfwood.com
34.tel,(212) 26-8711,(212) 226-8711
279.tel,212) 941-1817,(212) 941-1817
452.tel,(212) 533-170,(212) 533-1730
343.url,http://www.nileguide.com/destination/new-york/things-to-do/america-fine-arts-co/507977,http://www.nileguide.com/destination/new-york/things-to-do/american-fine-arts-co/507977
644.namevalue,Kent Galley,Kent Gallery
199.url,http://www.erchantcircle.com/business/Tang.Sarina.212-517-7401,http://www.merchantcircle.com/business/Tang.Sarina.212-517-7401
121.city,NewY ork,New York
600.thegeom,POINsT (-74.00418890924199 40.74805554041248),POINT (-74.00418890924199 40.74805554041248)
722.url,http://www.rlateitall.com/i-409540-erotics-gallery.aspx,http://www.rateitall.com/i-409540-erotics-gallery.aspx
172.namevalue,SragowEllen Ltd,Sragow Ellen Ltd
734.addresstwo,uite 282,Suite 282
505.tel,(212) 966o-3464,(212) 966-3464
31.city,New Yoark,New York
342.addresstwo,bby,Lbby
150.addressone,152 E 65t St,152 E 65th St
715.addressone,30 1Park Ave,301 Park Ave
19.thegeom,POINT (-73.98156101599031 40.74489610149957),POINT (-73.98156101599031 40.74489610149597)
499.addressone,434A Egast 75th Street,434A East 75th Street
544.url,http://danettekokeifneart.com/,http://danettekokefineart.com/
237.namevalue,Troubetzkoy Plaintings,Troubetzkoy Paintings
654.tel,(212) 74-45577,(212) 744-5577
537.addressone,321  E73rd St,321 E 73rd St
639.addressone,1045 MADISON AEVNUE,1045 MADISON AVENUE
914.thegeom,POINT (-7.398194844064098 40.74367322071215),POINT (-73.98194844064098 40.74367322071215)
740.thegeom,POINT (-74.00443446589546 4.074996792701139),POINT (-74.00443446589546 40.74996792701139)
159.tel,(718) 469-1390,(718) 469-1930
529.namevalue,Crwon Art Gallery Inc,Crown Art Gallery Inc
186.thegeom,POINT (-73.94790266575242 40.830220401900085),POINT (-73.94709266575242 40.830220401900085)
866.addresstwo,Lbyb,Lbby
240.url,http://ubugallery.co/phpwcms/index.php?current,http://ubugallery.com/phpwcms/index.php?current
386.namevalue,Art Resources ransfer Inc,Art Resources Transfer Inc
32.city,NewYork,New York
46.url,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/what_nearby.aspx,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/whats_nearby.aspx
6.addresstwo,kLbby,Lbby
802.url,http://www.greatmdoernpictures.com/,http://www.greatmodernpictures.com/
477.addressone,2 W 54th St,2 W 45th St
276.thegeom,POINTz (-74.00398260805142 40.7503229067573),POINT (-74.00398260805142 40.7503229067573)
443.url,htp://sacksfineart.com/,http://sacksfineart.com/
603.namevalue,Ise Art Foundgation,Ise Art Foundation
228.city,Nxew York,New York
764.addresstwo,Lbxby,Lbby
157.city,Jaamica,Jamaica
828.thegeom,POINT (-73.988869238891d9 40.72740795745368),POINT (-73.9888692388919 40.72740795745368)
538.tel,(212) 21-2344,(212) 219-2344
187.addresstwo,Lby,Lbby
225.tel,(a212) 343-2211,(212) 343-2211
704.namevalue,Eastern Ats Inc,Eastern Arts Inc
747.city,New Yokr,New York
262.url,http://www.wademaxx.om/,http://www.wademaxx.com/
553.tel,(122) 643-2070,(212) 643-2070
411.thegeom,POINT -73.99087594403446 40.74237388620432),POINT (-73.99087594403446 40.74237388620432)
41.city,Brokolyn,Brooklyn
333.url,httep://www.akiraikedagallery.com/,http://www.akiraikedagallery.com/
27.addresstwo,Fl4,Fl 4
232.namevalue,Traqditional Art Gallery Inc,Traditional Art Gallery Inc
248.namevalue,Vance Joran Fine Art,Vance Jordan Fine Art
514.url,http://columbusartgallery.net/hqome%201.html,http://columbusartgallery.net/home%201.html
40.url,http://wwwx.ptcanyc.com/,http://www.ptcanyc.com/
205.tel,(212) 645-280,(212) 645-2800
829.addressone,2 8E 72nd St,28 E 72nd St
469.city,NewYork,New York
325.url,http://www.adam-williams.com/Desktopefault.aspx?tabid=20,http://www.adam-williams.com/DesktopDefault.aspx?tabid=20
635.thegeom,POINT (-74.0069386573352 40.74671946685839),POINT (-74.00693865733352 40.74671946685839)
176.namevalue,tate of Art,State of Art
118.addressone,22 East 60th Street,229 East 60th Street
793.url,http://www.gpspartnersc.om/,http://www.gpspartners.com/
122.tel,(212 734-3055,(212) 734-3055
317.city,New oYrk,New York
301.thegeom,POINT (-74.00902348594506 4m0.72385716638239),POINT (-74.00902348594506 40.72385716638239)
493.tel,(212 966-3864,(212) 966-3864
575.thegeom,POINT (-73.94890830099149 40.7781624433141),POINT (-73.94890830099149 40.77816244331415)
122.addresstwo,Lbbuy,Lbby
541.city,New Yrk,New York
117.addresstwo,Lbrby,Lbby
683.addressone,158 7ht Ave,158 7th Ave
795.tel,(h212) 759-5669,(212) 759-5669
726.addresstwo,bby,Lbby
544.addresstwo, 318-C,# 318-C
833.namevalue,Margaret Tahtcher Projects,Margaret Thatcher Projects
371.url,http://www.ziplocal.com/companies/102881788-Art-Interors-Inc,http://www.ziplocal.com/companies/102881788-Art-Interiors-Inc
462.addressone,176 East 3hrd Street,176 East 3rd Street
749.namevalue,Fortrss Ny,Fortress Ny
799.city,New oYrk,New York
406.url,http://local.botw.org/New_York/Newm_York/Artscope_Inc/1103231.html,http://local.botw.org/New_York/New_York/Artscope_Inc/1103231.html
295.namevalue,Zarre Andre Gaillery,Zarre Andre Gallery
43.addresstwo,Lbyb,Lbby
915.city,Nuew York,New York
109.addresstwo,Fl2,Fl 2
593.addressone,110 W25th St,110 W 25th St
265.addresstwo,bby,Lbby
392.addresstwo,Lby,Lbby
128.thegeom,POINT (-73.9862683w6015879 40.73178217523588),POINT (-73.98626836015879 40.73178217523588)
119.city,Neyw York,New York
784.thegeom,POINT (-73.94831899229405 40.74618059318587),POINT (-73.94831899229405 40.74618053918587)
776.thegeom,POINT (-74.00215738341032 40.7214057665862),POINT (-74.00215738341032 40.72140576655862)
433.addresstwo,Lbyb,Lbby
483.thegeom,POIN (-73.9473830025364 40.78335247304253),POINT (-73.9473830025364 40.78335247304253)
734.thegeom,POINT (-73.95786468302175 40z.77671112812341),POINT (-73.95786468302175 40.77671112812341)
669.city,Nwe York,New York
839.addressone,40 W 57th Sut,40 W 57th St
551.addressone,724 5th Asve,724 5th Ave
789.addressone,555 W 25th tS,555 W 25th St
518.namevalue,Conner Roenkranz,Conner Rosenkranz
597.addressone,11 W 25th St,511 W 25th St
599.url,http://www.nyc.com/arts__attractions/innovative_art_ggallery_inc.804/editorial_review.aspx,http://www.nyc.com/arts__attractions/innovative_art_gallery_inc.804/editorial_review.aspx
238.city,Nw York,New York
650.thegeom,POINT (-73.94900408130022 40.743159854946946),POINT (-73.99400408130022 40.743159854946946)
127.addressone,535 W 23d St,535 W 23rd St
401.tel,(781) 797-3661,(718) 797-3661
200.addresstwo,Lby,Lbby
447.thegeom,POINT (-74.0027111165646j3 40.72252116551896),POINT (-74.00271111656463 40.72252116551896)
441.namevalue,Bernstein David Prbimitive Art,Bernstein David Primitive Art
836.namevalue,Marianne Boesky Gallery***,Marianne Boesky Gallery
426.addressone,440 Montuk Ave,440 Montauk Ave
269.url,http://www.nyc.com/arts__attractions/wellesley_hte.795/whats_nearby.aspx,http://www.nyc.com/arts__attractions/wellesley_the.795/whats_nearby.aspx
702.city,New Ydork,New York
251.url,http:/w/ww.viartcorp.com/,http://www.viartcorp.com/
604.addressone,64 E 86th tS,64 E 86th St
117.thegeom,POINT (-73.86790725213015 40.7590586380478),POINT (-73.86790725213015 40.75905863804786)
337.thegeom,POINT (-73.97794941736475 40.749983526244735),POINT (-73.97794941736475 40.749983526424735)
644.addressone,541 West 25th Sreet,541 West 25th Street
774.thegeom,POINT( -73.98751492176174 40.76183838880812),POINT (-73.98751492176174 40.76183838880812)
138.addresstwo,Lbby***,Lbby
69.addressone,241f E 59th St,241 E 59th St
199.addressone,3 E 6th St,3 E 76th St
412.addresstwo,Lbqby,Lbby
848.city,Ne wYork,New York
565.tel,(212) 772-1q950,(212) 772-1950
697.addresstwo,Libby,Lbby
410.addresstwo,oLbby,Lbby
540.city,eNw York,New York
405.tel,(212) 58s6-2810,(212) 586-2810
698.thegeom,PINT (-73.9959259244248 40.71165385266468),POINT (-73.9959259244248 40.71165385266468)
267.addressone,448 W 16th Sat,448 W 16th St
376.url,http://www.merchantcircle.com/business/Art.Avenues.Icn.New.York.NY.212-874-6305,http://www.merchantcircle.com/business/Art.Avenues.Inc.New.York.NY.212-874-6305
391.addresstwo,Lbgby,Lbby
779.tel,(212n) 947-4142,(212) 947-4142
842.url,http://www.maryboonegalelry.com/,http://www.maryboonegallery.com/
412.city,Nwe York,New York
444.tel,(212) 622-735w0,(212) 622-7350
239.city,kNew York,New York
325.namevalue,Adam Wililams Fine Art Ltd,Adam Williams Fine Art Ltd
616.city,Nefw York,New York
501.thegeom,POINT (-73.99315955728967 40.7z3615406197117),POINT (-73.99315955728967 40.73615406197117)
768.addressone,18 E 76th tS,18 E 76th St
34.thegeom,POINT (-74.0059916653120 40.749775251812174),POINT (-74.00599166531202 40.749775251812174)
909.tel,(212) 420-417,(212) 420-0417
657.thegeom,POINT (-74.00604109296434 40.74710852987954),POINT (-74.00604109296434 40.747108529879654)
310.tel,(212) 76-01228,(212) 760-1228
873.addresstwo,Lbyb,Lbby
353.addresstwo,Lqbby,Lbby
848.url,http://www.matthemarks.com/,http://www.matthewmarks.com/
389.thegeom,POINT (-73.99324200487263 40.74498093638776),POINT (-73.99324200487263 40.74498903638776)
716.addresstwo,Lwbby,Lbby
242.thegeom,POITN (-74.00525333608093 40.718035958515735),POINT (-74.00525333608093 40.718035958515735)
162.tel,(212) 28-8186,(212) 288-8186
160.addressone,92 Plmyouth St,92 Plymouth St
5.addresstwo,Lbyb,Lbby
46.addresstwo,Lbyb,Lbby
797.addresstwo,bby,Lbby
655.url,ttp://www.carolekraus.com/,http://www.carolekraus.com/
869.city,New Yok,New York
903.url,http://www.nygallerytoursc.om/,http://www.nygallerytours.com/
167.thegeom,POINT (-74.00640433268863 40.74753287358608),POINT (-74.00640433268863 40.74753287385608)
699.url,http://www.dranofffineart.com/FrontendArt/default.htim,http://www.dranofffineart.com/FrontendArt/default.htm
543.addressone,535 W2 4th St,535 W 24th St
526.addressone,30 andam St,30 Vandam St
750.city,New Yorak,New York
145.tel,(212i) 249-5252,(212) 249-5252
706.addressone,745 5tch Ave,745 5th Ave
917.tel,(12) 966-6675,(212) 966-6675
387.city,Ne York,New York
392.thegeom,POINT (-73.96520338983287 40.7727904034651),POINT (-73.96520338983287 40.77279040346651)
43.url,http://www.artinfo.com/gyalleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/,http://www.artinfo.com/galleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/
403.thegeom,POINT (-7399092836171616 40.743583968067256),POINT (-73.99092836171616 40.743583968067256)
425.tel,(212) 4p62-4848,(212) 462-4848
115.addressone,5b8 E 79th St,58 E 79th St
15.addresstwo,Lby,Lbby
82.city,New Yokr,New York
19.namevalue,Pardo Sheenan Gwalleries Ltd,Pardo Sheenan Galleries Ltd
677.thegeom,POINT (-73.97752233831233 40.7898663644299),POINT (-73.97752233831233 40.78986636444299)
911.namevalue,Obect-Image,Object-Image
800.city,Naew York,New York
168.url,http:/u/www.soufergallery.com/,http://www.soufergallery.com/
550.namevalue,Dca lGallery,Dca Gallery
361.city,New Yrok,New York
366.url,http://www.archibaldarts.cm/,http://www.archibaldarts.com/
855.tel,(212) 899-5467,(212) 989-5467
786.addressone,620 Greeniwch St,620 Greenwich St
661.url,http://www.la-belle-tepoque.com/,http://www.la-belle-epoque.com/
889.addressone,9890 64th Rd,9809 64th Rd
596.url,http://www.nyc.com/arts__attractions/indians_on_columbus.947/map_loaction.aspx,http://www.nyc.com/arts__attractions/indians_on_columbus.947/map_location.aspx
908.city,New Yrk,New York
562.tel,(m212) 772-3380,(212) 772-3380
546.addresstwo,bLby,Lbby
397.tel,(212) 226-390,(212) 226-3970
235.thegeom,POITN (-73.9550632174421 40.81374657890127),POINT (-73.9550632174421 40.81374657890127)
874.addresstwo,Lbyb,Lbby
871.addressone,z1086 Madison Ave,1086 Madison Ave
41.thegeom,POINT (-73.95578160040416 40.718750345970065),POINT (-73.95578160004416 40.718750345970065)
39.namevalue,Phyllis Lucas Gallry Inc,Phyllis Lucas Gallery Inc
85.namevalue,Ricco Miaresca Gallery,Ricco Maresca Gallery
640.tel,(2a12) 226-1660,(212) 226-1660
647.tel,(22) 366-9742,(212) 366-9742
124.namevalue,Saera Meltzer On View,Sara Meltzer On View
254.tel,(212) 4318889,(212) 431-8889
440.city,New Yrk,New York
230.addressone,535 W 2n2d St,535 W 22nd St
482.city,New Yrk,New York
513.addresstwo,Schermerhorn aHll,Schermerhorn Hall
240.thegeom,POINT (-73.96124389562185 40.75904777701354),POINT (-73.96124389562185 40.75904777703154)
43.tel,(917)r 606-1268,(917) 606-1268
305.tel,(718) 919-3044,(718) 919-0344
437.addresstwo,bby,Lbby
289.tel,(212)9 77-7966,(212) 977-7966
132.url,http://wqww.schillay.com/contact.html,http://www.schillay.com/contact.html
214.thegeom,POINT (-73.97947469330362 40.72v57216580395),POINT (-73.97947469330362 40.7257216580395)
399.thegeom,POINT (-73.9557856860223 40.738065759799625),POINT (-73.95578568860223 40.738065759799625)
138.city,Ne wYork,New York
824.addresstwo,Lby,Lbby
92.url,http://www.robertleemoris.com/contactus.php,http://www.robertleemorris.com/contactus.php
637.url,http://www.yelp.com/biz/keats-r-start-fine-arts-new-york,http://www.yelp.com/biz/keats-r-stuart-fine-arts-new-york
147.addresstwo,Lbyb,Lbby
463.tel,(718) 5895-819,(718) 589-5819
86.addresstwo,bLby,Lbby
315.thegeom,POINT (-74.00455563265132 40.73g4536111030195),POINT (-74.00455563265132 40.734536111030195)
388.namevalue,Art ue,Art Vue
258.addresstwo,mR 1211,Rm 1211
288.city,New Yrk,New York
586.tel,(718) q222-9519,(718) 222-9519
546.addressone,1641y 3rd Ave,1641 3rd Ave
669.tel,(212)337-0025,(212) 337-0025
330.url,http://yp.blogflux.com/directoryus/new-york/new-york/african-arts-center-inc/,http://yp.blogflux.com/directory/us/new-york/new-york/african-arts-center-inc/
478.tel,(212j) 334-7993,(212) 334-7993
291.addressone,p1687 3rd Ave,1687 3rd Ave
80.addressone,1921 Benlson Ave,1921 Benson Ave
823.url,https://www.sayerfinearts.com/,http://www.sayerfinearts.com/
672.thegeom,POINT (-73.97007751754849 40.76109378887265),POINT (-73.97007751754849 40.761091378887265)
360.addressone,52 W 20th St,532 W 20th St
592.namevalue,I Pderry,I Perry
362.addressone,n501 W 145th St,501 W 145th St
63.thegeom,POINT (-73.979913708835 40.76499908899108),POINT (-73.979913078835 40.76499908899108)
394.addressone,242 Lafaytete St,242 Lafayette St
855.url,http://www.mckenziefineart.co/,http://www.mckenziefineart.com/
815.city,New Yok,New York
325.addresstwo,Lbby***,Lbby
462.url,thtp://www.bwfinearts.com/,http://www.bwfinearts.com/
482.namevalue,Cartoonews Galley,Cartoonews Gallery
408.url,http://www.nyc.om/arts__attractions/asher_gallant_gallery.1791/whats_nearby.aspx,http://www.nyc.com/arts__attractions/asher_gallant_gallery.1791/whats_nearby.aspx
438.city,Brokolyn,Brooklyn
411.addressone,35 West 23urd Street,35 West 23rd Street
637.thegeom,POINT (-73.979498411v95816 40.747763911829956),POINT (-73.97949841195816 40.747763911829956)
241.addresstwo,Lby,Lbby
394.city,New vYork,New York
656.namevalue,Kraushaar Galleribes,Kraushaar Galleries
148.addressone,47 Flatbuszh Ave,47 Flatbush Ave
299.addresstwo,Lby,Lbby
543.thegeom,PyOINT (-74.00526783363229 40.74917263162958),POINT (-74.00526783363229 40.74917263162958)
774.addressone,301 W 49th St,310 W 49th St
307.thegeom,POINT (-73.96468514091578 40.7721r7101486103),POINT (-73.96468514091578 40.77217101486103)
88.tel,(212) 77-29155,(212) 772-9155
432.thegeom,POINT (-73.97908152115053 40.75650243348885),POINT (-73.97908152115053 40.756502433488485)
770.addresstwo,bby,Lbby
831.namevalue,Marc Jacnou Fine Art Ltd,Marc Jancou Fine Art Ltd
825.city,Nyew York,New York
878.addressone,1018 Madison Aev,1018 Madison Ave
68.addresstwo,bLby,Lbby
694.tel,(21) 352-2272,(212) 352-2272
133.city,New Yorxk,New York
787.url,htt://www.nyc.com/arts__attractions/generous_miracles_space_ltd.166/map_location.aspx,http://www.nyc.com/arts__attractions/generous_miracles_space_ltd.166/map_location.aspx
90.addresstwo,bby,Lbby
196.addressone,41 E 57thS t,41 E 57th St
391.addressone,246 Avneue U,246 Avenue U
13.city,New Yokr,New York
185.thegeom,POINT -(74.0048091965919 40.74932238784064),POINT (-74.0048091965919 40.74932238784064)
312.namevalue,5 Robin Ricne Gallery,5 Robin Rice Gallery
442.city,New Yrk,New York
500.thegeom,POINT (-73.99658767891513 40.71670513429927),POINT (-73.99658767895113 40.71670513429927)
785.url,http://gassergruner.tnet/test/,http://gassergrunert.net/test/
259.thegeom,POINT (-74.00014431394463 40.725920589893055),POINT (-74.00014431394463 40.725920598893055)
220.namevalue,Thsomas Erben Gallery,Thomas Erben Gallery
850.tel,2(12) 759-7555,(212) 759-7555
48.addressone,530 W25th St,530 W 25th St
845.thegeom,POINT (-73.96508958816975 40.7619329988h9474),POINT (-73.96508958816975 40.76193299889474)
537.namevalue,CzechC enter,Czech Center
845.addressone,219 East 60th Stret,219 East 60th Street
511.addresstwo,Lrbby,Lbby
667.city,Ndew York,New York
731.addressone,530 W 25th tS,530 W 25th St
55.addresstwo,Lbbdy,Lbby
881.addresstwo,bLby,Lbby
96.tel,(212)206-0912,(212) 206-0912
876.url,http://www.city-data.com/businesses/578718041-mip-art-realty-inc-new-yorkj-ny.html,http://www.city-data.com/businesses/578718041-mip-art-realty-inc-new-york-ny.html
805.tel,(k212) 463-7770,(212) 463-7770
762.namevalue,Friends of Bezalel Acadeym,Friends of Bezalel Academy
723.namevalue,Esso Gallry,Esso Gallery
741.tel,(212) 759-345,(212) 759-2345
665.addresstwo,Lbyb,Lbby
46.city,NewY ork,New York
416.addressone,17 E 61st St,167 E 61st St
320.namevalue,Aberbcah Fine Art,Aberbach Fine Art
768.tel,(212) 861-9725,(212) 861-7925
723.addresstwo,Lqbby,Lbby
817.city,Nw York,New York
417.tel,(917) 459-887r4,(917) 459-8874
300.city,Nw York,New York
676.namevalue,Levin Betty***,Levin Betty
137.city,Long Ilsand City,Long Island City
574.thegeom,POINT (-73.96078341201554 40.7784856152193),POINT (-73.96078341201554 40.77848561052193)
614.addressone,65 W13th St,65 W 13th St
456.url,http://www.tanyabonakadrgallery.com/,http://www.tanyabonakdargallery.com/
69.tel,(212) 474-8666,(212) 744-8666
567.city,Broboklyn,Brooklyn
752.tel,(212) 571-3388,(212) 571-3838
775.url,http://www.galery71.com/,http://www.gallery71.com/
624.url,http://www.judaicaileluminations.com/,http://www.judaicailluminations.com/
6.namevalue,P S 122Gallery,P S 122 Gallery
264.addresstwo,Lbby***,Lbby
474.addressone,41 W Broadway,451 W Broadway
251.thegeom,POINT (-73.97064699525346 40.7643003631743),POINT (-73.97064699525346 40.76043003631743)
458.namevalue,Bos Pacia Modern,Bose Pacia Modern
595.addresstwo,Lbyb,Lbby
750.addressone,984 Madison Aev,984 Madison Ave
904.addresstwo,Lbbgy,Lbby
207.tel,(212) w255-2003,(212) 255-2003
561.url,http://www.artnet.com/gallery/116829/hanover-square-gallery.html***,http://www.artnet.com/gallery/116829/hanover-square-gallery.html
714.url,lhttp://www.artnet.com/elkon.html,http://www.artnet.com/elkon.html
89.url,http://www.artnet.com/Galleries/About.asp?G=&gid=166017&which=&rta=http://www.artnetcom,http://www.artnet.com/Galleries/About.asp?G=&gid=166017&which=&rta=http://www.artnet.com
822.tel,(122) 888-4866,(212) 888-4866
685.city,ew York,New York
435.url,http://wjww.behr-thyssen.com/,http://www.behr-thyssen.com/
812.tel,(212) 9678-040,(212) 967-8040
566.url,http://www.nyc.com/arts__attractions/healing_arst.1604/editorial_review.aspx,http://www.nyc.com/arts__attractions/healing_arts.1604/editorial_review.aspx
149.tel,(212w) 645-1701,(212) 645-1701
477.thegeom,POINT (-73.98021697964026 40.75545955187812),POINT (-73.98021697964026 40.755459551878126)
804.city,Nwe York,New York
95.tel,(212) 2430165,(212) 243-0165
782.tel,(212) 7r52-0555,(212) 752-0555
661.namevalue,L aBelle Epoque Vintage Posters Inc,La Belle Epoque Vintage Posters Inc
714.thegeom,POINT (-73.96186682368997 40.7777279888382),POINT (-73.96186682368997 40.77772379888382)
379.thegeom,POINT (-73.9979292850394 40.73243385000468),POINT (-73.99179292850394 40.73243385000468)
731.tel,(212) 675-772,(212) 675-7772
107.thegeom,PIONT (-73.96804936659153 40.760786110700764),POINT (-73.96804936659153 40.760786110700764)
656.addressone,74 E 7t9h St,74 E 79th St
312.addresstwo,Lbbxy,Lbby
618.addressone,b1 W 67th St,1 W 67th St
492.namevalue,Ceres Galery,Ceres Gallery
623.city,eNw York,New York
864.addresstwo,Lbby***,Lbby
378.url,http://www.blmukagallery.com/,http://www.blumkagallery.com/
488.addressone,74 E 79t hSt,74 E 79th St
718.url,http://www.nyc.com/arts__attractions/equfatorial_america_inc.410/editorial_review.aspx,http://www.nyc.com/arts__attractions/equatorial_america_inc.410/editorial_review.aspx
322.addressone,27x5 Hudson St,275 Hudson St
552.thegeom,POINT (-73.9570627331135 40.7798231130699)8,POINT (-73.9570627331135 40.77982311306998)
12.thegeom,POINT (-73.9592392718306 40.815000699601086),POINT (-73.95927392718306 40.815000699601086)
31.namevalue,Peter Rnose Gallery,Peter Rose Gallery
392.addressone,2 3E 73rd St,23 E 73rd St
