1337.global_id,a0108i499-2e77-4079-ac2d-0bc4709465ab,a0108499-2e77-4079-ac2d-0bc4709465ab
738.global_id,692d0d07-b503-4589-be0b-70bma39190f85,692d0d07-b503-4589-be0b-70ba39190f85
2546.hpmsaccdesc,No Apccess Conrtol,No Access Conrtol
1694.global_id,94fccf9-0e9b-4c19-8c23-34b7813e0c90,94fcc6f9-0e9b-4c19-8c23-34b7813e0c90
2619.global_id,3f623d07-da0e-439e-948e-1ee4r7b2bcaac,3f623d07-da0e-439e-948e-1ee47b2bcaac
1375.routeid,0q630471,0630471
938.global_id,9cd175e9-867f-s4b5b-ac1b-3331533da578,9cd175e9-867f-4b5b-ac1b-3331533da578
3161.routeid,150091,1350091
4917.towndesc,EFIELD,ENFIELD
3310.towndesc,EASTk HAVEN,EAST HAVEN
510.towndesc,NORhWALK,NORWALK
4851.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
941.routeid,012004s2,0120042
4209.accctldesc,No Access Conrol,No Access Control
1186.global_id,62e2e34b-fac5-475d-9ce7-2cdb7a38c8a7,62e23e4b-fac5-475d-9ce7-2cdb7a38c8a7
1594.hpmsaccdesc,No Access onrtol,No Access Conrtol
3699.hpmsaccdesc,No Access Conrol,No Access Conrtol
3247.routeid,139006n0,1390060
504.routeid,3-E,31-E
646.global_id,7beaef07-0f90-4935-a4af-e5dad618e342,7beaef07-0f90-4935-a4fa-e5dad618e342
2005.accctldesc,No Acces Control,No Access Control
1035.accctldesc,No Access fControl,No Access Control
1323.hpmsaccdesc,Nog Access Conrtol,No Access Conrtol
2974.routeid,130W-,130-W
862.towndesc,BqOLTON,BOLTON
4035.accctldesc,o Access Control,No Access Control
3882.routeid,0040507,0040057
4826.towndesc,ERBY,DERBY
638.routeid,00o40173,0040173
2509.global_id,11ea19f6-714-4968-be0a-d280a789add6,11ea19f6-0714-4968-be0a-d280a789add6
3006.towndesc,HAMaDEN,HAMDEN
940.global_id,b57e52cf-32e7-4846-9598-4c744ae08ed6,b57e52fc-32e7-4846-9598-4c744ae08ed6
1695.hpmsaccdesc,Fnull Access Control,Full Access Control
3742.towndesc,NEW HAVNE,NEW HAVEN
2717.towndesc,PLAINVILLrE,PLAINVILLE
3188.hpmsaccdesc,No Access oCnrtol,No Access Conrtol
552.towndesc,ETHEL,BETHEL
3548.hpmsaccdesc,iNo Access Conrtol,No Access Conrtol
1839.routeid,09600l56,0960056
3279.accctldesc,No Access Contrxol,No Access Control
4443.global_id,dea7e5af-390d-4f55-a89f-59b2d18775fe,dea7e5af-390d-45f5-a89f-59b2d18775fe
1412.towndesc,BwURLINGTON,BURLINGTON
1439.global_id,365f56d-a5c6-43f3-b995-ab400a53ce90,3665f56d-a5c6-43f3-b995-ab400a53ce90
3604.routeid,100380,1030380
1215.routeid,0050655R,0500655R
1733.global_id,47562199-8db8-424-aac0-c9bcd32750de,47562199-8db8-4254-aac0-c9bcd32750de
731.accctldesc,No Axccess Control,No Access Control
4200.hpmsaccdesc,No Accses Conrtol,No Access Conrtol
4830.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
1768.global_id,1f0bc9aa-76fc-c4fd4-81be-58a2a8104c6e,1f0bc9aa-76fc-4fd4-81be-58a2a8104c6e
1844.towndesc,BLOOMFIELD***,BLOOMFIELD
1818.routeid,1351006***,1351006
2431.accctldesc,No Accessh Control,No Access Control
3232.accctldesc,No AccessControl,No Access Control
2021.hpmsaccdesc,No Acces Conrtol,No Access Conrtol
3376.routeid,h624-E,624-E
1138.towndesc,MANFSIELD,MANSFIELD
2625.towndesc,VERONN,VERNON
598.hpmsaccdesc,No Access Csonrtol,No Access Conrtol
427.towndesc,WEST AHRTFORD,WEST HARTFORD
1000.global_id,f4933348-abce-4fn94-bb04-4ea6fae2c959,f4933348-abce-4f94-bb04-4ea6fae2c959
2251.routeid,1101043,1100143
4160.towndesc,FAIRFIEDL,FAIRFIELD
2627.global_id,5c8ee2cb-9742-4b8d-be9d-2876b4c8590b,5c8ee2cb-9742-4b8d-be9d-2876b4c859b0
4874.accctldesc,artial Control - Channelization,Partial Control - Channelization
4743.routeid,0920o495,0920495
4645.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
1737.routeid,5150331,1550331
3312.routeid,5-N,95-N
3845.global_id,6083b6a9-15d6-4fd7-b445-pba66431f4232,6083b6a9-15d6-4fd7-b445-ba66431f4232
4241.towndesc,NEWL ONDON,NEW LONDON
1055.hpmsaccdesc,No Acess Conrtol,No Access Conrtol
1893.global_id,03716ed1-0964l-4a20-9fe5-d22914744e1e,03716ed1-0964-4a20-9fe5-d22914744e1e
1302.routeid,1280139,1280193
4617.hpmsaccdesc,No Accessy Conrtol,No Access Conrtol
2917.routeid,15p20060,1520060
2342.accctldesc,No Access Cotrol,No Access Control
15.global_id,1f53292f-2a99-4e68aab3-983ed25999ab,1f53292f-2a99-4e68-aab3-983ed25999ab
4098.routeid,82m-W,82-W
1180.routeid,082008p0,0820080
2954.routeid,128-pE,128-E
3104.hpmsaccdesc,No Accetss Conrtol,No Access Conrtol
2449.global_id,d4ccf89e-c405-4ecd-921b-720f3e87f56c,d4ccf89e-c405-4ecd-921b-720f3e87f5c6
2184.accctldesc,No Acess Control,No Access Control
2395.accctldesc,No Acces Control,No Access Control
1209.towndesc,TRRINGTON,TORRINGTON
3849.towndesc,ENFIED,ENFIELD
2439.hpmsaccdesc,NoAccess Conrtol,No Access Conrtol
2504.accctldesc,No Acces Control,No Access Control
2030.towndesc,THOMASTNO,THOMASTON
4688.accctldesc,N Access Control,No Access Control
3470.towndesc,KILLINGWOTRH,KILLINGWORTH
3068.global_id,de12d5ab-0c26-42e0-be1d-897e5190e4p0e,de12d5ab-0c26-42e0-be1d-897e5190e40e
2430.routeid,0580k344,0580344
4222.accctldesc,No Access Contruol,No Access Control
3107.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
489.accctldesc,No Accss Control,No Access Control
3835.towndesc,NEW BRITANI,NEW BRITAIN
2692.hpmsaccdesc,ull Access Control,Full Access Control
1008.global_id,bc8f4560-07c7-4e85-aaf1-335b953913f,bc8f4560-07c7-4e85-aaf1-335b9c53913f
4108.hpmsaccdesc,No AccessC onrtol,No Access Conrtol
3953.hpmsaccdesc,Full Access Control***,Full Access Control
3379.accctldesc,No Acces Control,No Access Control
969.accctldesc,No Access Cofntrol,No Access Control
3009.towndesc,NEW HjAVEN,NEW HAVEN
1416.towndesc,MIDDLBEURY,MIDDLEBURY
3301.hpmsaccdesc,No Access Conrtl,No Access Conrtol
413.global_id,8a4b7ffc-0deb-4cf2-9f53-6da2de60fe5a,8a4b7ffc-0deb-4cf2-9f53-6da2de60fea5
1526.global_id,3f44a032-ab09-4212-9dbdb-9053098af521,3f44a032-ab09-4212-9dbb-9053098af521
4478.towndesc,WEST ARTFORD,WEST HARTFORD
1972.hpmsaccdesc,No Access oCnrtol,No Access Conrtol
3940.routeid,0150029,0150092
4655.accctldesc,No Access Contrl,No Access Control
4278.accctldesc,No Access oCntrol,No Access Control
3079.hpmsaccdesc,No Acecss Conrtol,No Access Conrtol
4436.accctldesc,No Access ontrol,No Access Control
613.accctldesc,No gAccess Control,No Access Control
2758.accctldesc,No Access Cntrol,No Access Control
1927.accctldesc,No Access Contrl,No Access Control
3109.accctldesc,No Access Cqontrol,No Access Control
3771.global_id,b66a7304-579d-42a8-90f4-a6696fb9aao40,b66a7304-579d-42a8-90f4-a6696fb9aa40
3527.hpmsaccdesc,No Accses Conrtol,No Access Conrtol
3171.global_id,78a5a6e3-3875-4cbe-8ab4-bc969ad20056,78a56ae3-3875-4cbe-8ab4-bc969ad20056
1654.accctldesc,No Acces Control,No Access Control
1768.towndesc,EW HAVEN,NEW HAVEN
1696.accctldesc,"Full Control - Othre Divided Highways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
3976.towndesc,ONRWICH,NORWICH
974.hpmsaccdesc,N Access Conrtol,No Access Conrtol
2644.routeid,140323,1480323
1076.hpmsaccdesc,No Access Corntol,No Access Conrtol
4466.accctldesc,No Accessv Control,No Access Control
2698.accctldesc,No Access Contorl,No Access Control
1656.hpmsaccdesc,Nod Access Conrtol,No Access Conrtol
2892.hpmsaccdesc,No cAcess Conrtol,No Access Conrtol
1902.accctldesc,No Acecess Control,No Access Control
1191.towndesc,WETSBROOK,WESTBROOK
622.routeid,83-2N,832-N
2535.global_id,c66fdc6-d08a-47d7-989f-9ca84cc20ef0,c6d6fdc6-d08a-47d7-989f-9ca84cc20ef0
4553.hpmsaccdesc,No cAcess Conrtol,No Access Conrtol
1139.global_id,76ffdf93-afd9-461d-bb5-ec5e42103094,76ffdf93-afd9-461d-bb5d-ec5e42103094
4203.global_id,b5582f9e-01c5-48df-9de-fea68e31106e,b5582f9e-01c5-48df-9de9-fea68e31106e
91.global_id,3d29a02a-a41-4f63-9b31-4f2afbf0f2f0,3d29a02a-3a41-4f63-9b31-4f2afbf0f2f0
3592.towndesc,STaAMFORD,STAMFORD
1792.routeid,17-N,157-N
2803.hpmsaccdesc,No Access Control,No Access Conrtol
1258.accctldesc,No Acces Control,No Access Control
3538.accctldesc,No Access Cotrol,No Access Control
675.global_id,8a6fce73-dd2a-4205-bb17-14e6vd4a2d592,8a6fce73-dd2a-4205-bb17-14e6d4a2d592
1375.hpmsaccdesc,No Access Corntol,No Access Conrtol
881.routeid,62-0N,620-N
2430.towndesc,GOTON,GROTON
186.global_id,be68r89cb-d434-4ddd-b656-ed0f6bfd9b7e,be6889cb-d434-4ddd-b656-ed0f6bfd9b7e
599.hpmsaccdesc,Partial Access Conttrol,Partial Access Control
1476.global_id,5c220db5-33c1-4d2-8842-06c2d381e935,5c220db5-33c1-4d21-8842-06c2d381e935
4822.towndesc,DANkBURY,DANBURY
1151.towndesc,EAST HARTFORaD,EAST HARTFORD
4361.routeid,1590r041,1590041
4692.accctldesc,No Acecss Control,No Access Control
3102.towndesc,WATERBUoRY,WATERBURY
3899.towndesc,BOsLTON,BOLTON
3571.global_id,c2c6c81b-6d09-4cdb-8c4-157f6a5cfc1a,c2c6c81b-6d09-4cdb-8fc4-157f6a5cfc1a
2751.routeid,50-N,450-N
2982.accctldesc,No AccessC ontrol,No Access Control
1296.towndesc,EW HAVEN,NEW HAVEN
1588.global_id,c4951f5-bd85-421b-9e37-2151fbb718db,c47951f5-bd85-421b-9e37-2151fbb718db
3603.accctldesc,NoAccess Control,No Access Control
3903.towndesc,BECAON FALLS,BEACON FALLS
403.towndesc,STONINGON,STONINGTON
2084.towndesc,NEW CNAAAN,NEW CANAAN
1230.routeid,150N,150-N
3489.hpmsaccdesc,Npo Access Conrtol,No Access Conrtol
3843.hpmsaccdesc,No Access Conrtlol,No Access Conrtol
304.global_id,c816cb58-ebaec-4fb6-bf3a-f06d07181666,c816cb58-ebec-4fb6-bf3a-f06d07181666
2042.routeid,0838056,0830856
4320.global_id,4a6a9049-006b-4ad-a445-4be767f4d753,4a6a9049-006b-4a7d-a445-4be767f4d753
1576.accctldesc,oN Access Control,No Access Control
2427.global_id,1cdd4453-756c-44df-b7af-e119ec840c9b,1cdd4453-756c-44df-b7af-e119ce840c9b
4159.routeid,050057R,0500547R
1822.towndesc,dSTAMFORD,STAMFORD
1007.accctldesc,No Access Cotnrol,No Access Control
621.routeid,3-S,83-S
4783.global_id,c48acdb9-ccdf-420e-83a9-d2525aabdf17,c48acdb9-ccdf-420e-83a9-d2525aabd1f7
455.routeid,711-E,171-E
2816.global_id,41d908348bbd-47b2-acd9-fac1c36bfd59,41d90834-8bbd-47b2-acd9-fac1c36bfd59
4903.global_id,0e659b5d-b49b-49b5-78e-957bcb4a01d6,0e659b5d-b49b-49b5-b78e-957bcb4a01d6
4534.towndesc,MADISNO,MADISON
791.routeid,0430583,0340583
2079.towndesc,HMADEN,HAMDEN
3813.hpmsaccdesc,NoAccess Conrtol,No Access Conrtol
3154.hpmsaccdesc,No Access Cortol,No Access Conrtol
4464.hpmsaccdesc,No Access Control,No Access Conrtol
2208.hpmsaccdesc,No cAcess Conrtol,No Access Conrtol
864.hpmsaccdesc,Full Access Conrol,Full Access Control
4342.global_id,3222566fa1d5-4bbf-b8c1-abd1670eb60c,3222566f-a1d5-4bbf-b8c1-abd1670eb60c
4892.hpmsaccdesc,Full Access Cotnrol,Full Access Control
785.routeid,-N,5-N
2434.global_id,c7fc8615-aa0a-446a-u8ba0-a7d0f5f07669,c7fc8615-aa0a-446a-8ba0-a7d0f5f07669
3106.global_id,94ba57e3-a95d-4cf-bf8c-dd70a3ce4b01,94ba57e3-a95d-4cf7-bf8c-dd70a3ce4b01
387.accctldesc,N oAccess Control,No Access Control
4401.hpmsaccdesc,No Access Conrtohl,No Access Conrtol
3366.hpmsaccdesc,No AccessConrtol,No Access Conrtol
2139.hpmsaccdesc,No Acess Conrtol,No Access Conrtol
3752.routeid,1h260086,1260086
3317.accctldesc,No Acecess Control,No Access Control
2853.towndesc,OFORD,OXFORD
3169.accctldesc,No cAcess Control,No Access Control
504.accctldesc,No Access oCntrol,No Access Control
4713.towndesc,MILFRD,MILFORD
4097.towndesc,NORWIiCH,NORWICH
2152.accctldesc,No Access Contrlo,No Access Control
3688.routeid,0880459***,0880459
4590.global_id,b1305266-1f8f-48fe-ab9f-487b65ff1b5,b1305266-1f8f-48fe-ab9f-487b65ff1bc5
523.global_id,449680af-8802-41f0-a23c-3057e502c82,449680af-8802-41f0-a23c-3057e5032c82
2427.towndesc,RANFORD,BRANFORD
4572.towndesc,MANCgHESTER,MANCHESTER
3754.routeid,15N-,15-N
3555.towndesc,MRIDEN,MERIDEN
1922.hpmsaccdesc,Fulql Access Control,Full Access Control
3289.routeid,025021,0250211
2614.routeid,-E,6-E
3582.hpmsaccdesc,No ccess Conrtol,No Access Conrtol
4711.hpmsaccdesc,No Access Corntol,No Access Conrtol
3883.accctldesc,No Acess Control,No Access Control
2543.routeid,630168,1630168
1.accctldesc,No Access sControl,No Access Control
1726.towndesc,OSMERS,SOMERS
2168.hpmsaccdesc,No Access kConrtol,No Access Conrtol
3327.routeid,53-3N,533-N
126.accctldesc,No Access Contrcol,No Access Control
915.accctldesc,No Acess Control,No Access Control
4680.towndesc,NORTH HAVNE,NORTH HAVEN
1533.towndesc,NE HAVEN,NEW HAVEN
2041.accctldesc,No Access Contmrol,No Access Control
933.global_id,ce865f5-1064-4b6e-8387-4b3f3266ecf9,ce8605f5-1064-4b6e-8387-4b3f3266ecf9
4158.accctldesc,No Access Cnotrol,No Access Control
1552.towndesc,SUOTHBURY,SOUTHBURY
3730.accctldesc,No Acces Control,No Access Control
581.towndesc,COkLUMBIA,COLUMBIA
4666.hpmsaccdesc,Nyo Access Conrtol,No Access Conrtol
2726.accctldesc,No Access oCntrol,No Access Control
1331.towndesc,STRATFOD,STRATFORD
1581.towndesc,AFIRFIELD,FAIRFIELD
4161.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
1100.accctldesc,No Access Cntrol,No Access Control
3626.hpmsaccdesc,No Access Chonrtol,No Access Conrtol
549.accctldesc,No Accebss Control,No Access Control
4868.routeid,d7-N,7-N
1684.towndesc,ARTFORD,HARTFORD
2741.towndesc,WAThERBURY,WATERBURY
4702.accctldesc,No Access Contrlo,No Access Control
1288.routeid,g0560471,0560471
2832.routeid,104074,1040074
648.towndesc,BETHwEL,BETHEL
2068.hpmsaccdesc,No Acces Conrtol,No Access Conrtol
1997.hpmsaccdesc,No Access Conrtol***,No Access Conrtol
589.routeid,96-N,69-N
1830.towndesc,WNIDHAM,WINDHAM
2523.hpmsaccdesc,No Acceiss Conrtol,No Access Conrtol
1038.routeid,0630376,0630367
4881.accctldesc,No Access Coantrol,No Access Control
1605.routeid,0530o084,0530084
115.towndesc,GREENWIH,GREENWICH
3946.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
124.accctldesc,NoAccess Control,No Access Control
1410.routeid,0690045***,0690045
74.towndesc,BRIDGEPORlT,BRIDGEPORT
1649.towndesc,RANFORD,BRANFORD
1220.routeid,083075n9,0830759
1631.global_id,56e8s61e1-08aa-4c0d-8d25-a57f24b40431,56e861e1-08aa-4c0d-8d25-a57f24b40431
1413.hpmsaccdesc,Partial Access Cnotrol,Partial Access Control
4687.towndesc,BRIDEGPORT,BRIDGEPORT
4572.global_id,cfbdbcd7-a55c-427-af6e-c5717a4ca213,cfbdbcd7-a55c-42c7-af6e-c5717a4ca213
1667.hpmsaccdesc,No Access Cognrtol,No Access Conrtol
974.routeid,0480333***,0480333
620.accctldesc,No Access Cowntrol,No Access Control
120.accctldesc,o Access Control,No Access Control
1524.towndesc,EASTj HAVEN,EAST HAVEN
1360.hpmsaccdesc,No Accenss Conrtol,No Access Conrtol
4541.accctldesc,qNo Access Control,No Access Control
4442.towndesc,WOLCTT,WOLCOTT
2943.hpmsaccdesc,No Accekss Conrtol,No Access Conrtol
3509.accctldesc,NoAccess Control,No Access Control
4479.accctldesc,o Access Control,No Access Control
21.hpmsaccdesc,No Acces Conrtol,No Access Conrtol
2550.towndesc,HlARTFORD,HARTFORD
3281.hpmsaccdesc,No Access Cortol,No Access Conrtol
2040.routeid,0835062,0830562
3144.hpmsaccdesc,Full Acces Control,Full Access Control
4507.accctldesc,o Access Control,No Access Control
803.towndesc,MIDLETOWN,MIDDLETOWN
1585.hpmsaccdesc,No Acces Conrtol,No Access Conrtol
1580.global_id,bb616ae68-0ef6-4a41-830b-e695d279f368,b616ae68-0ef6-4a41-830b-e695d279f368
1590.routeid,0932069,0930269
2823.global_id,fa2d57eb-138d-4cc1-875dc-84b6e1a51688,fa2d57eb-138d-4cc1-875c-84b6e1a51688
3003.routeid,059312,0590312
884.global_id,c588ecc8-36cd-453b-a23e-3ad0e012x183e,c588ecc8-36cd-453b-a23e-3ad0e012183e
1862.routeid,-N,1-N
4796.accctldesc,Noz Access Control,No Access Control
2231.global_id,8d3d845d-0947-45ea-93c9-e971d0f597b,8d3d845d-0947-45ea-93c9-e971bd0f597b
3669.towndesc,NAUGAUCK,NAUGATUCK
395.accctldesc,No Access Contrlo,No Access Control
1542.routeid,9o5-N,95-N
2818.accctldesc,No Access Contrlo,No Access Control
4580.accctldesc,"Full Control - Other Dividzed Highways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
4435.towndesc,TORRtINGTON,TORRINGTON
76.global_id,9bacfcd9-dc74-4b48-b4e9-dc32128979a5b,9bacfcd9-dc74-4b48-b4e9-dc321289795b
3330.towndesc,EBTHEL,BETHEL
254.routeid,0950003,0950030
303.routeid,1o2-N,12-N
2785.accctldesc,NoA ccess Control,No Access Control
4726.accctldesc,No Accebss Control,No Access Control
817.towndesc,GLASTONBRY,GLASTONBURY
334.accctldesc,No Acecss Control,No Access Control
1587.accctldesc,No AccessControl,No Access Control
1407.global_id,62d73518-6b6e-4d2b-b610-609efda038e,62d73518-6b6e-4d2b-b610-609defda038e
4073.hpmsaccdesc,Fuhll Access Control,Full Access Control
4890.routeid,8u-N,8-N
3902.hpmsaccdesc,N Access Conrtol,No Access Conrtol
3651.accctldesc,No AccessC ontrol,No Access Control
3950.global_id,2c3a7734-2674-462d-b915-a4029598d16e,2c3a7734-2674-426d-b915-a4029598d16e
2499.towndesc,gHARTFORD,HARTFORD
3603.global_id,aa4e1f0b-f4a-4ab0-99dc-8b9b52bd635e,aa4e1f0b-f34a-4ab0-99dc-8b9b52bd635e
1376.global_id,2e2e11c-23b0-402b-b0ac-6da590861757,22e2e11c-23b0-402b-b0ac-6da590861757
2522.global_id,7d9085f9-dfb7-44c8-9fa-2b0f538d64e0,7d9085f9-dfb7-44c8-9fa9-2b0f538d64e0
4436.routeid,1430437,1430347
2662.routeid,115j0029,1150029
2321.global_id,ebb1b986-c4e5-4706-8149-1bdc7517f053,ebb1b986-c4e5-4706-8149-1bdc7157f053
173.global_id,c5ce1f6c-cd65-4896-b9f3-15b69069494d,c5ce1f6c-cd56-4896-b9f3-15b69069494d
2428.accctldesc,NoAccess Control,No Access Control
856.global_id,57ece5a1-c61e-43f2-97de-c540cba5c867,57ecea51-c61e-43f2-97de-c540cba5c867
3585.towndesc,NEW HAVN,NEW HAVEN
659.hpmsaccdesc,oNo Access Conrtol,No Access Conrtol
4846.hpmsaccdesc,No Access Conrtol***,No Access Conrtol
3282.hpmsaccdesc,NoA ccess Conrtol,No Access Conrtol
4598.hpmsaccdesc,Full Access Contrlo,Full Access Control
611.accctldesc,"Full Contro - Other Divided Highways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
4018.accctldesc,N oAccess Control,No Access Control
4295.hpmsaccdesc,No Accxess Conrtol,No Access Conrtol
3434.towndesc,RGANBY,GRANBY
4894.hpmsaccdesc,FullA ccess Control,Full Access Control
4236.accctldesc,"Ful Control - Other Divided Highways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
2760.accctldesc,No Accessj Control,No Access Control
3385.towndesc,RISTOL,BRISTOL
98.accctldesc,No Access Control***,No Access Control
1051.towndesc,CESTER,CHESTER
4173.routeid,916E-,916-E
3803.routeid,188-N***,188-N
4363.global_id,4811bba9-056-471d-8c2f-33f6ef003ceb,4811bba9-0596-471d-8c2f-33f6ef003ceb
2224.routeid,025j0176,0250176
3893.towndesc,NUION,UNION
3992.accctldesc,No Accessi Control,No Access Control
1624.accctldesc,No Access Conrtol,No Access Control
2737.routeid,w122-N,122-N
4531.hpmsaccdesc,No Acess Conrtol,No Access Conrtol
933.accctldesc,No Arccess Control,No Access Control
2227.global_id,0f359bdb-6a9b4271-af9c-436a74b779f8,0f359bdb-6a9b-4271-af9c-436a74b779f8
4657.towndesc,BERILN,BERLIN
3104.accctldesc,No Access oCntrol,No Access Control
4345.global_id,708e64a0-49f7-4f79-a1be-2aef754d743f,708e64a0-4f97-4f79-a1be-2aef754d743f
123.routeid,d0560609R,0560609R
2946.routeid,088352,0880352
459.hpmsaccdesc,No Accss Conrtol,No Access Conrtol
4572.accctldesc,No jAccess Control,No Access Control
3513.routeid,770012,0770012
604.global_id,91e8a169-af47-4f72-95bf-07ecbf4a6f01,91e8a169-af47-4f72-95bf-0e7cbf4a6f01
1563.accctldesc,No Access Caontrol,No Access Control
4794.accctldesc,No Accesgs Control,No Access Control
4624.hpmsaccdesc,No Aclcess Conrtol,No Access Conrtol
4189.accctldesc,No ccess Control,No Access Control
635.routeid,64E-,64-E
3580.towndesc,MIDDLEFIELoD,MIDDLEFIELD
3610.global_id,9af70d6f-8075-488da-637-f721039cc3a5,9af70d6f-8075-488d-a637-f721039cc3a5
3353.towndesc,COLCHESETR,COLCHESTER
2259.hpmsaccdesc,No Access Conrtl,No Access Conrtol
326.hpmsaccdesc,No Accses Conrtol,No Access Conrtol
1911.accctldesc,Nzo Access Control,No Access Control
3964.accctldesc,No cAcess Control,No Access Control
1353.global_id,492de541-5560-471f-aatdb-62879a14fd5b,492de541-5560-471f-aadb-62879a14fd5b
2442.routeid,1150055***,1150055
1021.global_id,9f72fd1d-a635-40c0-b671-98bdf7adc6c68,9f72fd1d-a635-40c0-b671-98bf7adc6c68
3344.accctldesc,N oAccess Control,No Access Control
3567.routeid,350115R,1350115R
2373.global_id,72fe2bb3-ac53-4549o-a0b6-6b3a7262c44e,72fe2bb3-ac53-4549-a0b6-6b3a7262c44e
2829.towndesc,MIDDLEURY,MIDDLEBURY
3517.towndesc,aGREENWICH,GREENWICH
2356.towndesc,PALINVILLE,PLAINVILLE
236.routeid,0920b296,0920296
235.routeid,0830515,0830551
1337.hpmsaccdesc,NoA ccess Conrtol,No Access Conrtol
225.hpmsaccdesc,o Access Conrtol,No Access Conrtol
684.accctldesc,No Access Cowntrol,No Access Control
993.global_id,e57cd10j9-4fb6-4e26-aa8c-77a739d618e6,e57cd109-4fb6-4e26-aa8c-77a739d618e6
391.global_id,15ed0019-0ebe-4b14-89fd-13bc5d55fbd2***,15ed0019-0ebe-4b14-89fd-13bc5d55fbd2
2370.towndesc,MILFOD,MILFORD
1727.hpmsaccdesc,No Access pConrtol,No Access Conrtol
4026.hpmsaccdesc,Ndo Access Conrtol,No Access Conrtol
1562.accctldesc,N Access Control,No Access Control
4782.towndesc,NAUGAiTUCK,NAUGATUCK
3019.global_id,7fdb3f837-3d71-44dd-bb79-c7c52e94db0d,7db3f837-3d71-44dd-bb79-c7c52e94db0d
871.global_id,d20d8cbf-f65e-t4310-a3f1-dd77579243b6,d20d8cbf-f65e-4310-a3f1-dd77579243b6
2326.towndesc,iMIDDLETOWN,MIDDLETOWN
997.routeid,560555,0560555
2507.towndesc,SAMFORD,STAMFORD
808.routeid,9f-N,9-N
1658.accctldesc,No Access Control***,No Access Control
3178.routeid,a82-E,82-E
1589.global_id,bb770202-e6e6-450f-ac4b-7a5d898fc8b1f,bb770202-e6e6-450f-ac4b-7a5d898fc81f
3768.routeid,0490162,0940162
3804.hpmsaccdesc,wFull Access Control,Full Access Control
4848.accctldesc,"Full Control - Other Divided iHghways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
3192.accctldesc,No Accesds Control,No Access Control
1305.accctldesc,No Access Contorl,No Access Control
2821.routeid,1480715,1480175
4381.accctldesc,No Accessu Control,No Access Control
2908.global_id,2ac5859b-4684-4c09-8e8a-d201109f6413,2ac5859b-4684-4c09-8e8a-d210109f6413
4194.global_id,86e3ce55-c994-4914-a6b-33b65a726da9,86e3ce55-c994-4914-af6b-33b65a726da9
1791.accctldesc,No Acess Control,No Access Control
3849.accctldesc,Noa Access Control,No Access Control
3223.global_id,08c7a9a5-8a67-40c8-b705-3acfb88865e,08c7a9a5-8a67-40c8-b705-3acf7b88865e
4812.hpmsaccdesc,NoAccess Conrtol,No Access Conrtol
4715.hpmsaccdesc,No Access Cuonrtol,No Access Conrtol
3771.hpmsaccdesc,No cAcess Conrtol,No Access Conrtol
481.routeid,1620q072,1620072
1919.accctldesc,No Acces sControl,No Access Control
164.hpmsaccdesc,No Access Conrotl,No Access Conrtol
1083.towndesc,OLD LYMpE,OLD LYME
1035.towndesc,HRTFORD,HARTFORD
3452.routeid,151k0295,1510295
4242.towndesc,SHERAN,SHERMAN
4397.accctldesc,No Access Cnotrol,No Access Control
4368.global_id,72611a03-6cc6-w4ef3-92c8-33a05650e0de,72611a03-6cc6-4ef3-92c8-33a05650e0de
4751.accctldesc,No Access Conrol,No Access Control
4613.routeid,7-mN,7-N
1556.hpmsaccdesc,Full Access Contorl,Full Access Control
3604.hpmsaccdesc,No Acces sConrtol,No Access Conrtol
3459.hpmsaccdesc,No Accss Conrtol,No Access Conrtol
3807.global_id,82fe5218-a03-4faa-bb7b-c0389e401c1d,82fe5218-aa03-4faa-bb7b-c0389e401c1d
4377.routeid,14-E,140-E
2111.accctldesc,"Full Control - Other ivided Highways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
4224.hpmsaccdesc,No Accses Conrtol,No Access Conrtol
4391.accctldesc,No Access Contorl,No Access Control
2454.routeid,0150157,0150175
4080.routeid,0344003,0340403
2477.routeid,z1550460,1550460
3714.global_id,657f0db6-ab6f-4e78-b8u64-627498928b37,657f0db6-ab6f-4e78-b864-627498928b37
1239.global_id,3c9067237-90c-41eb-9b6f-676a95cbe543,3c906723-790c-41eb-9b6f-676a95cbe543
3156.hpmsaccdesc,No Access Conrtol***,No Access Conrtol
3961.routeid,0150743,0150734
2067.accctldesc,No hAccess Control,No Access Control
1426.accctldesc,No Access Contrlo,No Access Control
461.accctldesc,Partial Control - Undivyided Highways,Partial Control - Undivided Highways
2092.accctldesc,No AccessC ontrol,No Access Control
2349.accctldesc,No Accss Control,No Access Control
1964.accctldesc,No Acces Control,No Access Control
218.hpmsaccdesc,No Access Contol,No Access Conrtol
2063.accctldesc,Nog Access Control,No Access Control
