gross,net,conventional_accounting,economic_sector,sector,category,sub_category_one,sub_category_two,sub_category_three,year,gas,mtco_twoear_five_two_zeroyr,mtco_twoear_four_one_zero_zeroyr
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2001,N2O,14,16
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Public Nonhighway,Gasoline,2019,N2O,15,17
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2013,N2O,15,17
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2009,N2O,15,17
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2003,N2O,15,17
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2013,N2O,15,17
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1999,N2O,15,17
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,2014,N2O,15,17
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,1996,N2O,15,17
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2015,CH4,15,5
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,2001,N2O,16,18
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Agricultural,Gasoline,2017,N2O,16,18
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Agricultural,Gasoline,2016,N2O,16,18
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2017,N2O,16,18
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,2016,N2O,16,18
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2012,N2O,16,18
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,2012,N2O,16,18
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2003,N2O,16,19
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2002,CH4,17,5
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2003,N2O,17,19
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1990,N2O,17,19
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2014,N2O,17,20
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1995,CH4,17,5
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2006,CH4,17,5
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2004,N2O,17,20
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1994,N2O,18,20
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2001,Biogenic CO2,18,18
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,2010,N2O,18,20
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2016,N2O,18,20
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Construction,Gasoline,2011,N2O,18,21
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1993,Biogenic CO2,18,18
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1991,N2O,18,21
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,1996,N2O,18,21
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2009,CH4,18,5
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2015,N2O,18,21
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1994,N2O,19,21
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2018,N2O,19,21
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1995,N2O,19,21
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,2019,N2O,19,21
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2000,N2O,19,22
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2000,N2O,19,22
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2018,N2O,19,22
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2017,N2O,19,22
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,1995,N2O,19,22
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1997,N2O,19,22
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1995,N2O,19,22
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2002,N2O,20,22
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,2007,N2O,20,22
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,2005,N2O,20,22
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2019,N2O,20,22
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1992,N2O,20,22
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,1995,N2O,20,22
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2002,N2O,20,22
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2006,N2O,20,23
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2013,N2O,20,23
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,1996,N2O,20,23
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2005,N2O,20,23
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1991,N2O,21,23
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1999,N2O,21,24
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,2002,Biogenic CO2,21,21
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2016,N2O,21,24
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2007,N2O,21,24
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,CNG,1990,CO2,21,21
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2010,CH4,21,6
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2012,N2O,21,24
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2012,N2O,21,24
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2017,N2O,21,24
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,CNG,1998,N2O,22,24
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,2019,N2O,22,24
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2004,CH4,22,6
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,CNG,1997,N2O,22,25
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2006,CO2,22,22
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1996,N2O,22,25
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1994,N2O,22,25
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2018,N2O,22,25
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1993,N2O,22,25
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2004,N2O,22,25
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Natural Gas,1990,N2O,22,25
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,2008,N2O,22,25
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Agricultural,Gasoline,2015,N2O,22,25
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,2009,N2O,22,25
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,2018,N2O,22,25
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1994,Biogenic CO2,22,22
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1998,N2O,23,26
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1997,N2O,23,26
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1994,CH4,23,7
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,2011,N2O,23,26
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2019,N2O,23,26
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2010,N2O,23,26
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2013,N2O,23,26
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1996,N2O,23,26
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,2014,N2O,23,26
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2008,N2O,23,26
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1993,N2O,23,26
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,2002,N2O,23,26
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2016,N2O,23,26
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1996,N2O,23,26
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1993,N2O,24,27
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2005,N2O,24,27
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,2015,N2O,24,27
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1997,N2O,24,27
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1996,N2O,24,27
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,2001,Biogenic CO2,24,24
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2013,N2O,24,27
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2013,CH4,24,7
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,1990,N2O,24,27
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2009,N2O,24,27
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1992,N2O,24,27
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2001,N2O,24,28
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1991,N2O,24,28
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2008,CH4,24,7
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1993,N2O,25,28
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1999,N2O,25,28
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,2017,N2O,25,28
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,1995,N2O,25,28
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1993,N2O,25,28
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,2002,Biogenic CO2,25,25
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2017,N2O,25,28
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,2008,N2O,25,28
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2003,N2O,25,28
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2000,N2O,25,29
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1995,N2O,26,29
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1990,N2O,26,29
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,2014,N2O,26,29
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1992,N2O,26,29
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2011,N2O,26,29
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2016,N2O,26,29
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,2016,CH4,26,8
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,1993,N2O,26,29
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Other Fossil Fuel Use,Not Applicable,Petroleum Coke,1994,N2O,26,30
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Residual Fuel,2005,N2O,26,30
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2008,N2O,26,30
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2015,N2O,26,30
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,2003,CH4,35,11
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2013,N2O,26,30
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2003,N2O,26,30
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,CNG,1999,N2O,27,30
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2003,CH4,27,8
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2013,N2O,27,30
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2015,N2O,27,30
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2006,N2O,27,30
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Residual Fuel,1993,N2O,27,30
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,1999,N2O,27,30
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2011,CH4,27,8
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,1991,N2O,27,30
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2019,CH4,27,8
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2006,N2O,27,30
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1995,N2O,27,31
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2018,CH4,28,8
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1998,N2O,28,31
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2000,N2O,28,32
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1990,N2O,28,32
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2016,N2O,28,32
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1992,N2O,28,32
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2009,N2O,28,32
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2004,N2O,28,32
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,2008,N2O,28,32
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1991,N2O,29,32
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1991,CH4,29,9
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,2017,N2O,29,33
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2017,CH4,29,9
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2014,CH4,29,9
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Residual Fuel,2001,N2O,29,33
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,1990,N2O,30,33
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2001,N2O,30,33
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,1995,N2O,30,33
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,2003,N2O,30,34
Yes,No,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,2018,Biogenic CO2,30,30
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1991,N2O,30,34
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1992,N2O,30,34
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,2015,N2O,30,34
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1998,N2O,30,34
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2012,N2O,30,34
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Road,CNG,2000,N2O,30,34
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Residual Fuel,2010,N2O,31,35
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Residual Fuel,2007,N2O,31,35
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1999,N2O,31,35
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2019,N2O,31,35
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Military,Distillate Fuel,2000,N2O,31,35
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2007,N2O,31,35
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,2004,CH4,35,11
No,No,No,Excluded,Energy,Imported Fossil Fuels,Transportation,Bunker (Vessel),Distillate Fuel,1998,N2O,31,35
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2014,N2O,31,35
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Aviation,Aviation Gasoline,1994,N2O,31,35
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1992,CH4,31,9
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1997,N2O,31,36
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2018,N2O,32,36
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1990,N2O,32,36
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,2014,CH4,32,10
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,2010,N2O,32,36
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2008,N2O,32,36
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2004,N2O,33,37
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,1990,N2O,33,37
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,2010,N2O,33,37
Yes,No,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,2019,Biogenic CO2,33,33
No,No,No,Excluded,Energy,Imported Fossil Fuels,Transportation,Bunker (Vessel),Distillate Fuel,1997,N2O,33,37
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Distillate Fuel,2018,N2O,33,37
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,1995,N2O,33,37
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,1991,N2O,33,37
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1998,N2O,33,37
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Distillate Fuel,2014,N2O,33,38
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,2009,N2O,33,38
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Direct Electricity Imports,Not Applicable,Petroleum Coke,2009,N2O,33,38
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,2004,N2O,33,38
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,2001,N2O,34,38
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2016,CH4,34,10
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1990,CH4,34,10
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2017,CH4,34,10
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2009,CH4,34,10
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,2010,CH4,34,10
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Distillate Fuel,2002,N2O,35,39
Yes,Yes,No,Transportation,Energy,Imported Fossil Fuels,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,2005,N2O,35,39
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,2015,CH4,35,10
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,2018,CH4,35,10
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Net Electricity Imports,Not Applicable,Petroleum Coke,2008,CH4,35,10
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,1990,CH4,35,11
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,1991,CH4,35,11
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,1992,CH4,35,11
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,1993,CH4,35,11
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,1994,CH4,35,11
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,1995,CH4,35,11
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,1996,CH4,35,11
Yes,Yes,Yes,Industry,IPPU,Metals,Iron and Steel,Not Applicable,Not Applicable,1997,CH4,35,11
