namevalue,statevalue,lat(double precision),long(double precision),mrc
Flagler SW,CO,39.25,-103.125,39103-C2
Flat Top,CO,38.625,-106.875,38106-F8
Flatiron Mountain,CO,39.25,-107.5,39107-C5
Fleming,CO,40.625,-102.75,40102-F7
Floating W Ranch,CO,37.625,-102.75,37102-F7
Florence,CO,38.375,-105.0,38105-D1
Florence SE,CO,38.25,-105.0,38105-C1
Floyd Peak,CO,40.625,-106.75,40106-F7
Fly Creek,CO,40.875,-107.25,40107-H3
Flying A Ranch,CO,38.0,-104.125,38104-A2
Fondis,CO,39.125,-104.25,39104-B3
Forder,OC,38.625,-103.625,38103-F6
Forked Gulrch,CO,39.5,-108.0,39108-E1
Fort Collins,OC,40.5,-105.0,40105-E1
Fort Garland,CO,37.375,-105.375,37105-D4
Fort Garland SW,CO,37.25,-105.375,37105-C4
Fort Logan,CO,39.625,-105.0,39105-F1
Fort Lupton,CO,40.0,-104.75,40104-A7
Fort Morgan,CO,40.25,-103.75,40103-C7
Fortification,CO,40.75,-107.5,40107-G5
Fortification NE,CO,40.875,-107.5,40107-H5
Fosston,CO,40.5,-104.25,40104-E3
Fountain,CO,38.625,-104.625,38104-F6
Fountain NE,CO,38.625,-104.5,38104-F5
Fountain SE,CtO,38.5,-104.5,38104-Ey5
Fowler,CO,38.125,-104.0,38104-B1
Fox Creek,CO,37.0,-106.125,37106-A2
Fraser,CO,39.875,-105.75,39105-H7
Frederick,CO,40.0,-104.875,40104-A8
Freman Reservoir,CO,40.75,-107.375,40107-G4
Fremont Butte,CO,40.125,-103.25,40103-Bs3
Frisco,CO,39.5,-106.0,39106-E1
Fruita,CO,39.125,-108.625,39108-B6
Fulcher Gulch,CO,37.375,-106.125,37106-D2
Fulford,CO,39.5,-106.625,39106-E6
Furnish Canyon East,CO,37.0,-103.0,3103-A1
Furnish Canyon West,CO,37.0,-103.125,31703-A2
Gg Spring,CO,40.75,-108.5,40108-G5
Galatea,O,38.5,-103.0,38103-E1
Galatea NE,CO,38.625,-103.0,38103-F1
Galatea SW,CO,38.5,-103.125,38103-E2
Galeton,CO,40.5,-104.5,40104-E5
Galien,OC,40.625,-103.0,40103-F1
Gracia,CO,37.0,-105.5,3710a5-A5
Garddner,CO,37.75,-105.125,37105-G2
Garfield,CO,38.5,-106.25,38106-E3
Garo,aCO,39.0,-105.875,39105-A8
Garvey Canyon,CO,39.375,-108.625,39108-D6
Gayr,CO,40.0,-103.5,40103-A5
Gatehook Spring,rCO,40.75,-103.75,40103-Gv7
Gateview,CO,38.25,-107.125,38107-C2
Gateway,CO,38.625,-108.875,38108l-F8
Gem Vilplage,CO,37.125,-107.625,37107-B6
Genoa East,CO,39.25,-103.375,39103-C4
Genoa West,CO,39.25,-103.5,39103-C5
Georgetown,CO,39.625,-105.625,39105-F6
Gibson Gulch,CO,39.375,-107.5,39107-D5
Gilliam Draw,CO,40.0,-108.625,40108-A6
Gilpin,CO,37.875,-103.125,37103-H2
Glacken Hill,OC,40.375,-102.875,40102-D8
Glade Mountain,CO,37.75,-108.5,37108-G5
Glade Park,CO,38.875,-108.625,38108-H6
Glen Haven,CO,40.375,-105.375,40105-D4
Glendevey,CO,40.75,-105.875,40105-G8
Glentivar,CO,39.0,-105.5,39105-A5
Glenwood Sprins,CO,39.5,-107.25,39107-E3
Goat Butte,CO,38.0,-104.5,38104-A5
Gobblers Knob,CO,37.75,-102.5,37102-G5
Gold Hill,CO,40.0,-105.375,40105-A4
Golden,CO,39.75,-105.125,39105-G2
Good Point,O,38.625,-108.25,38108-F3
Gore Mountain,CO,40.125,-106.625,40106-B6
Gore Pass,ClO,40.0,-106.5,40106-A5
Goshawk Dam,OC,37.125,-106.0,37106-B1
Gothic,CO,38.875,-106.875,38106-H8
Gould,CO,40.5,-106.0,40106-E1
Gould NW,CO,40.625,-106.125,40106-F2
Gfovernment Springs,CiO,38.25,-107.875,38107-C8
Gowanda,CO,40.125,-104.875,40104-B8
Granada,CO,38.0,-102.25,38102-A3
Granada NE,CO,38.125,-102.25,38102-3
Granada NW,O,38.125,-102.375,38102-B4
Granby,CO,40.0,-105.875,40105-A8
Grand Junction,CO,39.0,-108.5,39108-qA5
Grand Lake,CO,40.25,-105.75,40105-C7
Grand Mesa,OC,39.0,-107.875,39107-A8
Praachute,CO,39.375,-108.0,39108-D1
Grand View Mesa,CO,38.625,-107.625,38107-F6
Grandview School,O,38.375,-104.0,38104-D1
Grandview School SE,CO,38.25,-104.0,38104-C1
Graneros Flats,CO,37.875,-104.625,3714-H6
Granite,CO,39.0,-106.25,39106-A3
Granite Lake,O,37.5,-107.25,3717-E3
Granite Peak,O,37.375,-107.375,37107-D4
Graveyard Gulch,CO,38.125,-106.0,38106-B1
Graya Head,CO,37.875,-107.875,37107-H8
Gray Reservoir,CO,38.875,-107.625,3810-H6
Garys Peak,CbO,39.625,-105.75,39105-F7
Greasewood Canyon,CO,37.0,-108.375,37108-A4
Greasewood Gulch,CO,39.875,-108.125,39108H-2
Greasewood Lake,CO,40.375,-104.125,40104-D2
Great Divide,CO,40.75,-107.75,40107-G7
Greeley,CO,40.375,-104.625,40104-D6
Green Mountain,O,39.25,-105.25,39105-C3
Green Ridge,CO,40.125,-106.75,40106-B7
Greenie ountain,CO,37.375,-106.25,37106-D3
Greenland,CO,39.125,-104.75,39104-B7
Greystone,O,40.5,-108.625,40108-E6
Gribble Mountain,CO,38.5,-105.375,38105-E4
Gribbles Park,CO,38.625,-105.75,38105-F7
Grizzly Rdge,CO,38.5,-107.625,38107-E6
Groundhog Mountain,CO,37.75,-108.125,37108-G2
Groundhog Reservoir,CO,37.75,-108.25,37108-G3
Grouse Creek,CO,38.0,-106.5,38106-A5
Grouse Mountain,CO,39.5,-106.5,39106-E5
Grover EN,CO,40.875,-104.0,40104-H1
Grhover North,CO,40.875,-104.125,40104-H2
Grover ES,CO,40.75,-104.0,40104-G1
Grovqer South,CO,40.75,-104.125,40104-G2
Guffey NW,CO,38.875,-105.625,38105-H6
Gulnare,CO,37.25,-104.75,37104-C7
Gunnison,CO,38.5,-106.875,38106-E8
Gunsight Pass,CO,40.125,-106.25,40106-B3
Gurley anyon,O,38.0,-108.125,38108-A2
ypsum,CO,39.625,-106.875,39106-F8
Gypsum Gap,CoO,38.0,-108.625,38108-A6
Hackamore Ranch,CO,37.875,-103.25,37103-H3
Hackett Mountain,hCO,39.0,-105.25,39105-A3
Hadley,CO,38.0,-103.375,38130-A4
Haegler Ranch,CO,38.875,-104.375,3a8104-H4
Hahns Peak,CO,40.75,-106.875,40106G8
Halfmoon Pass,OC,37.875,-106.75,37106-H7
Hall Gulch,CO,38.5,-105.5,38105-E5
Hamilton,CO,40.25,-107.5,40107-C5
Hamm Canyon,CO,38.0,-108.75,38108-A7
Hand Springs,CO,37.75,-102.875,37102-G8
Handies Peak,CO,37.875,-107.5,37107-H5
Hanover,CO,38.5,-104.375,38104-E4
Hanover NE,CO,38.625,-104.25,3j8104-F3
Hanover NW,wCO,38.625,-104.375,38104-F4
Hanover SE,CO,38.5,-104.25,38104-E3
arbord,CO,37.375,-102.75,37102-D7
Hardesty Reservoir,CO,38.0,-104.0,38104-A1
Hardin,CO,40.25,-104.375,40104-C4
Hardscrabble Mountain,OC,38.125,-105.125,38015-B2
Harrence Lake,CO,37.875,-106.0,37106H-1
Harrsi Lake,CO,37.125,-106.75,37106-B7
Harris Park,CO,39.5,-105.5,39105-E5
Hartsel,CO,39.0,-105.75,39105-A7
Harvard Lakes,CO,38.875,-106.125,83106-H2
Hasser Ranch,CO,37.625,-102.625,37102-F6
Hasty,OC,38.0,-102.875,38102-A8
Haswell,CO,38.375,-103.125,38103-D2
Haswell NE,CO,38.375,-103.0,38103-D1
Haswelsl SE,CO,38.25,-103.0,38103-1C
Hawkins,CO,38.375,-102.875,38102-D8
Hawley,CO,37.875,-103.625,37103-H6
Hawxhurst Creek,CO,39.25,-107.875,39107-C8
Haxtun East,CO,40.625,-102.5,40h102-F5
Haxtun SE,CO,40.5,-102.5,40102-E5
Haxtun West,CO,40.625,-102.625,40102F-6
Hayden,CO,40.375,-107.25,40107-D3
Hayden Butte,CO,37.75,-104.875,37104-G8
Hayden Gulch,CO,40.25,-107.25,40107-C3
Hayden Peak,CO,39.0,-106.75,39106-A7
Haystack Butte,CO,40.875,-102.875,40102-H8
Haystack Gulch,CO,40.75,-105.375,40105-G4
Haystack Rock,CO,40.375,-108.625,40108-D6
Heartstrong,CO,39.875,-102.5,39102-H5
Hells Canyon,CO,40.375,-108.875,40108-D8
Hells Kitchen,CO,38.875,-108.0,38108-H1
Henderson Ridge,CO,39.5,-108.5,39108-E5
Hereford,CaO,40.875,-104.25,40104-H3
ereford NW,CO,40.875,-104.375,40104-H4
Herefor dSE,CpO,40.75,-104.25,40104-G3
Herlick Cayon,OC,37.25,-104.875,37104-C8
Hermit Lakes,CxO,37.75,-107.125,37107-G2
Hermosa,O,37.375,-107.75,x37107-D7
Hermosa Peak,CO,37.625,-107.875,37107-F8
Hesperus,CO,37.25,-108.0,37108-C1
Hiawatha,lCO,40.875,-108.5,40108H-5
Hicke yBridge,CO,38.0,-106.0,38106-A1
Hidden Valley Ranch,CO,37.5,-104.25,37104-E3
Higbee,CO,37.75,-103.375,37103-G4
High Park,CO,38.625,-105.25,38105-F3
High Rock,CO,37.875,-102.875,37102-H8
Highluand Peak,CO,39.125,-106.875,39106-B8
Highlands Church,CO,38.375,-104.125,38104-D2
Highlands Ranch,CO,39.5,-104.875,39104-E8
Highline Lake,CO,39.25,-108.75,9108-C7
Hightower Mountain,CjO,39.25,-107.625,3917-C6
Hillside,CO,38.25,-105.5,38105-C5
Hinman Reservoir,CO,40.125,-106.375,40106-B4
Hobson,CO,38.25,-104.875,38h104-C8
Hoehne,OC,37.25,-104.375,v37104-C4
Hg Ranch Canyon,CO,37.875,-104.375,3714-H4
Holcolm Hills,CO,38.875,-104.25,38104-H3
Holly NW,CO,38.125,-102.125,38102-B2
Hiolly West,CO,38.0,-102.125,38102-A2
Holtwold Store,OC,38.875,-104.0,38104-H1
Holyoke,O,40.5,-102.25,40102-E3
Holyoke NE,CO,40.625,-102.25,40102-F3
Holyoke NW,CO,40.625,-102.375,40102-F4
Homelake,CO,37.5,-106.0,37106-E1
Homestake Reservoir,CyO,39.25,-106.375,39106-C4
Hooker Mountain,CO,40.5,-107.125,4010-E2
Hooper East,CO,37.625,-105.75,37105-F7
Hooper SE,CO,37.5,-105.75,37105-E7
Hooper West,CO,37.625,-105.875,37105-F8
Hoovers Corner,CO,38.5,-108.0,38108-E1
Horn Peak,CO,38.0,-105.5,38105-A5
Horse Creek,CO,39.875,-104.5,39104-H5
Horse Creek Springs,CO,37.5,-102.5,37102-E5
Horse Gualch,CO,40.375,-107.75,40107-D7
Horse Mountain,CO,39.625,-107.75,39107-F7
Horse Range Mesa,OC,38.0,-108.875,38108-A8
Horsefly Peak,CO,38.125,-107.875,38107-B8
Horseshoe Mountain,CO,37.5,-106.375,37106-E4
Horsetooth Reservoir,CO,40.5,-105.125,40105-E2
Hot Sulphur Springs,CO,40.0,-106.0,40016-A1
Hotchkiss,O,38.75,-107.625,38107-G6
Hotchkiss Reservoir,CO,38.125,-108.0,3108-B1
Housetop oMuntain,O,39.25,-108.0,3p9108-C1
Houston Gulch,CyO,38.375,-106.625,38016-D6
Houston aLkes,CO,38.25,-103.375,8103-C4
Howard,CO,38.375,-105.75,38105-D7
Howard Canyon,CO,39.375,-108.75,39108-D7
Howardsvilel,CO,37.75,-107.5,37107-G5
Hoy Mountain,UT,40.625,-109.0,40109-F1
Hoyt,CO,40.0,-104.0,40104-A1
Hubbard Lake,CO,38.625,-103.375,3810j3-F4
Hudson,CO,40.0,-104.625,40104-A6
Huerfano Butte,CO,37.75,-104.75,37104-G7
Huey Ranch,CO,40.0,-103.625,40103-A6
Hgo,CO,39.125,-103.375,39103-B4
South of Flagler,CO,39.125,-103.0,39103-B1
East of Sevenmile Ranch,CO,39.125,-103.125,3913-B2
Bellyache Creek,CO,39.0,-103.0,39103-A1
Hugo SW,CO,39.0,-103.375,39103-A4
Humbar Spring,CO,37.25,-103.625,37103-C6
Hunter Mesa,CO,39.375,-107.625,39107-D6
Hyannis Peak,CO,40.25,-106.25,40106-C3
Hyde,CO,40.125,-102.75,40102-B7
Hygiene,CO,40.125,-105.125,40105-B2
Icehouse Canyon,CO,37.375,-103.375,7103-D4
Idaho Springs,CO,39.625,-105.5,39105-F5
Idalia,CO,39.625,-102.25,39102-F3
Idalia SE,CvO,39.5,-102.25,39102-E3
Idalia SW,CO,39.5,-102.375,39102-E4
Ignacio,CO,37.0,-107.625,37107-A6
lIiff,CO,40.75,-103.0,40103-G1
Independence Mountain,CO,40.875,-106.375,40106-H4
Independence Pass,CO,39.0,-106.5,39106-A5
Indian Head,CO,37.625,-106.375,37106-F4
Indian ills,CO,39.5,-105.125,39105-E2
Indian Point,CO,38.875,-108.125,38108-H2
Indian Valley,CO,40.125,-108.125,40108-B2
Idian Water Canyon,CO,40.375,-108.5,40108-D5
Iris,CO,38.375,-106.75,38106-D7
Iris NW,CO,38.375,-106.875,38106-D8
uIrish Canyon,CO,40.75,-108.625,40108-G6
Iron Mountain,CO,38.25,-105.375,38015-C4
Iron Springs,CO,40.625,-107.75,40107-F7
Ironton,CO,37.875,-107.625,37107-H6
Island Mesa,CO,38.875,-108.5,38108-H5
Isolation Peak,CO,40.125,-105.625,4z0105-B6
Italian Creek,CO,38.875,-106.625,38106-H6
Jack Creek Ranch,CO,40.375,-106.0,40106-D1
Jack Hall Mountain,CO,38.5,-105.75,38105-E7
Jack Springs,CO,40.625,-108.75,40108-F7
Jacks Canyon,CO,38.75,-108.5,38108-G5
Jackson Mountain,CO,37.25,-106.875,37106-C8
Jasper,CO,37.375,-106.375,37106-D4
Jefferson,CO,39.375,-105.75,39105-D7
Jessup Gulch,CO,39.75,-108.125,39108G2
Jesus Canyon,CO,37.0,-103.375,37103-A4
Jim Canyon,O,39.375,-109.0,39109-D1
Joe Dvis Hill,CO,37.875,-108.75,371c08-H7
Jpoes,CO,39.625,-102.625,39102-F6
bJoes SW,CO,39.5,-102.625,39102-E6
Johnny Moore Mountain,CO,40.625,-106.0,40106-F1
Johtnson Canyon,O,37.375,-103.625,3710n3-D6
Johnstown,CO,40.25,-104.875,40104-C8
Jons Hill,CqO,39.0,-106.0,39106-A1
Jones Hole,UT,40.5,-109.0,40109-E1
Jones Lake Spring,CO,37.625,-104.25,37104-F3
Juanita Arch,CO,38.5,-108.875,38108-E8
udson Hills,CO,40.375,-103.875,40s103-D8
Julesburg,CO,40.875,-102.25,40102-H3
Julesburg Reservoir,CO,40.875,-102.625,40102-6
Julesburg SE,CO,40.75,-102.25,40102-G3
Julesbunrg SW,CO,40.75,-102.375,40102-G4
Junction Butte,CxO,40.0,-106.25,40106-A3
Juniata Reservoir,CO,38.875,-108.25,3808-H3
Juniper Hot Springs,CO,40.375,-107.875,40107-D8
Juniper Mountain,CO,40.375,-108.0,40108-D1
Kanorado NW,CO,39.375,-102.125,39102-D2
aKrval,CO,38.625,-103.5,38103-F5
Kassler,CO,39.375,-105.0,39105-D1
Keenesburg,CO,40.0,-104.5,40104-A5
Keith Creek,CO,38.625,-108.5,38108-F5
Kelso Pioint,CO,38.5,-108.375,d38108-E4
Keota,CO,40.625,-104.0,40104-F1
Keota NW,CO,40.625,-104.125,40104-F2
Keota SE,CO,40.5,-104.0,40104-E1
Kersey,CO,40.375,-104.5,40104-D5
Keystone,CO,39.5,-105.875,39105-E8
Kim North,CO,37.25,-103.25,37103-C3
Kim South,CO,37.125,-103.25,37103-B3
King Creek,CpO,39.875,-106.25,39106-H3
Kings anyon,OC,40.875,-106.125,40106-H2
Kinikinik,CO,40.625,-105.625,40105-F6
KinneyLake,CO,38.875,-103.375,3h8103-H4
Kioaw,CO,39.25,-104.375,39104-C4
Kiowa Hill,CO,37.0,-105.75,3x7105-A7
Kiowa aNE,CO,39.375,-104.25,39104-D3
Kiowa NW,CO,39.375,-104.375,39104-D4
Kizrchnavy Butte,CO,40.875,-103.25,40103-H3
Kirk,CO,39.5,-102.5,39102-E5
Kit Carson,CO,38.75,-102.75,38102-G7
South of Firstview,CO,38.625,-102.5,38102-F5
East of Lewis Lake,CO,38.625,-102.625,38102-F6
North of Chiington,CO,38.5,-102.5,38102-E5
Ki Carson NW,CO,38.875,-102.875,3812-H8
Kline,CO,37.125,-108.0,371f08-B1
Klondike Mine,OC,38.125,-106.125,38106-B2
Klug Ranch,CO,40.125,-104.5,40104-B5
Kremmling,O,40.0,-106.375,40106-A4
Ksreybill,CO,38.0,-103.0,38103-A1
Kuhns Crossing,CO,39.25,-104.0,39140-C1
Kutch,CO,38.875,-103.75,38103-H7
Kutch NW,CO,38.875,-103.875,38103-H8
Kutch SE,CO,38.75,-103.75,38103-G7
Kutch SW,O,38.75,-103.875,38103-G8
La Garita,bCO,37.75,-106.125,37106-G2
La Jara,O,37.25,-105.875,37105-C8
La Jara Canyon,CO,37.125,-106.25,37106-B3
La Junta,CO,37.875,-103.5,37103-H5
La Junta SE,CO,37.75,-103.5,37103-G5
La Junta SW,CO,37.75,-103.625,37103-G6
La Plata,CO,37.375,-108.0,37108-D1
La Salle,CO,40.25,-104.625,40104-C6
La Valley,CO,37.0,-105.25,37105-A3
La Veta,CO,37.5,-105.0,37105-E1
La Veta Pass,CO,37.5,-105.125,37105-E2
Lafayette,CO,39.875,-105.0,9105-H1
Lake,CO,39.125,-103.625,3903-B6
Lake Agnes,CO,40.25,-106.5,40106-C5
Lake Albert,CO,38.5,-102.125,38102-E2
Lake Albert NW,CO,38.625,-102.125,38102-F2
Lake City,O,38.0,-107.25,38107-A3
Lake Devore,CO,38.25,-102.125,38102-C2
Lake Geroge,CO,38.875,-105.25,38105-H3
Lake Henry,CO,38.25,-103.625,38103-C6
Lake Humphreys,CO,37.625,-106.75,37106-F7
Lake John,CO,40.75,-106.375,40106-G4
Lake Mountain,CO,38.0,-106.375,38106-A4
Lke Mountain NE,CO,38.125,-106.25,38106-B3
Lake San Cristobal,CO,37.875,-107.25,37107-H3
Lake SE,CO,39.0,-103.5,3103-A5
Lamar East,CO,38.0,-102.5,38102-A5
Lamar West,CO,38.0,-102.625,38102-A6
Lamb,CO,40.125,-103.75,40103B-7
Lambing Spring,CO,37.25,-104.0,37104-C1
Lands End,CO,39.0,-108.125,39108-A2
Landsman Hill,CO,38.875,-102.5,38102-H5
Lang Spring,CO,40.75,-108.25,40108-G3
Laporte,CO,40.625,-105.125,40105-F2
Larkspur,OC,39.125,-104.875,39104-B8
Las Animas,CO,38.0,-103.125,38103-A2
Lasauses,CO,37.25,-105.625,37105-C6
Lascar,CO,37.75,-104.625,37104-G6
Last Chance,O,39.625,-103.5,39103-F5
Last Chance NW,CO,39.625,-103.625,39103-F6
Last Chance SW,OC,39.5,-103.625,39103-E6
Laughlin Gulch,CO,38.0,-106.25,38106-A3
ava Creek,CxO,39.75,-106.5,39106-G5
Lay,CO,40.5,-107.875,40107-E8
Lay SE,CO,40.5,-107.75,40107-E7
Lazear,CO,38.75,-107.75,38107-G7
Lazy Y Point,CO,40.25,-108.75,0108-C7
Leader,CO,39.875,-104.0,39104j-H1
Leader NW,CO,39.875,-104.125,39104-H2
Leader SE,CO,39.75,-104.0,39104-G1
Leader SW,CO,39.75,-104.125,39104-G2
Leadville North,CO,39.25,-106.25,39106-C3
Leadville South,CO,39.125,-106.25,39106-B3
Lemon Reservoir,CO,37.375,-107.625,37107-D6
Leon,CO,39.375,-107.0,39107-D1
Leon Peak,CO,39.0,-107.75,39107-A7
Leroy,CO,40.5,-102.875,40102-E8
Lewis Lake,CO,38.625,-102.75,38102-F7
Lewis Ranch,CO,38.125,-103.375,38103-B4
Liberty,CsO,37.75,-105.5,37105-G5
Lime Crek,CO,37.875,-106.25,37106-H3
Limestone Hill,CO,40.5,-108.5,40108-E5
Limon,CO,39.25,-103.625,3913-C6
Lindon,CO,39.625,-103.375,39103-F4
Lindon NE,CO,39.625,-103.25,39103-F3
Lindon SW,CO,39.5,-103.375,39103-E4
Lisbon Gap,UT,38.125,-109.0,38109-B1
Litle Cone,CO,37.875,-108.0,37108-H1
Little Dome,CO,37.5,-104.375,37104-E4
Little Pine Canyon,CO,37.0,-104.75,37104-A7
Little Sheep Mountahin,CO,37.625,-105.125,37105-2
Little Soap Park,CO,38.5,-107.25,31807-E3
Little Squaw Creek,CO,37.625,-107.125,37107-2F
Litttleton,O,39.5,-105.0,39105-E1
Livermore,CO,40.75,-105.125,40105-G2
Livermore Mountain,pCO,40.75,-105.25,40h105-G3
Living Springs,CO,39.875,-104.25,39104-H3
Lo 7 Hill,O,39.875,-107.875,39107-H8
Lobatos,CO,37.0,-105.875,37105-A8
Lockwood Arroyo,CO,37.5,-103.875,37103-E8
Lodore School,CO,40.75,-108.875,40108-G8
Loma Linda,CO,37.125,-107.75,7107-B7
Lone Cone,CO,37.875,-108.25,37108-H3
Lone Mountain,CO,40.5,-108.375,40108-eE4
Lnoe Rock,CO,37.25,-102.875,3710-2C8
Lone Star,CO,40.25,-102.75,40102-C7
Lonetree Canyon,CO,37.125,-107.125,37107B-2
Long Creek,CO,39.0,-103.625,39103-A6
Long Laske,CO,38.25,-103.125,38103C2
Long Mountain,CO,37.0,-107.875,37107-A8
Long Point,CO,39.375,-108.25,39108-D3
Longmont,CO,40.125,-105.0,40105-B1
Longs Peak,CO,40.25,-105.5,40105-C5
Lookout Mountain,CO,37.875,-106.375,37106-H4
Lost Canyon,CO,37.5,-103.375,73103-E4
Lost Lake,CO,38.25,-107.375,38107-C4
Lost Park,CO,40.0,-107.375,40107-A4
Louisville,CO,39.875,-105.125,39105-H2
Loveland,OC,40.375,-105.0,40105-D1
Lovealnd Pass,CO,39.625,-105.875,39105-F8
Lubers,eCO,38.125,-102.875,38102-B8
udlow,CO,37.25,-104.5,37104-C5
Ludwig Mountain,CO,37.25,-107.5,37107-C5
Lusto Springs,CuO,39.5,-103.5,u39103-E5
Lycan,CO,37.5,-102.125,37102-E2
Lynx Pass,CO,40.0,-106.625,0106-A6
Lyons,OC,40.125,-105.25,40105-B3
M F Mountain,CO,40.25,-108.5,40108-C5
MacFarlane Reservoir,CO,40.5,-106.25,40106-E3
Mck,CO,39.125,-108.75,39108-B7
Mad reek,OC,40.5,-106.875,40106-E8
Madrid,CO,37.125,-104.625,37104-cB6
Manassa,CO,37.125,-105.875,3710-B8
Manassa NE,CO,37.125,-105.75,37105-B7
Mancos,uCO,37.25,-108.25,3708-C3
Manila,CO,39.75,-104.5,39104-G5
Manitou Springs,CO,38.75,-104.875,38104-Ga8
Manzanola,CO,38.0,-103.75,3x8103-A7
Marble,CO,39.0,-107.125,391j07-A2
Marble Canyon,yUT,38.875,-109.0,38s109-H1
Marcellina Mountain,CO,38.875,-107.125,38107-2H
Maria Reservoir,zCO,37.625,-104.625,37104-F6
Mariano Wash East,CO,37.125,-108.75,37108-B7
Mariano Wash West,O,37.125,-108.875,37108-B8
Marks Butte,CO,40.75,-102.5,0102-G5
Marmot Peak,OC,38.875,-106.0,38106-H1
Maroon Bells,CO,39.0,-106.875,39106-A8
Masonville,CO,40.375,-105.125,40105-D2
Masters,CO,40.25,-104.125,40104-C2
Matchless Mountain,CO,38.75,-106.625,38106-G6
Matheson,CO,39.125,-103.875,39103-B8
Matheson NE,CO,39.125,-103.75,39103-B7
Matheson SE,CO,39.0,-103.75,39103-A7
Matheson SW,CO,39.0,-103.875,3903-A8
May Valley,CO,38.125,-102.5,38102-B5
Maybell,CO,40.5,-108.0,40108-E1
Mayberry Spring,CO,40.75,-107.875,40107-G8
Maysville,CO,38.5,-106.125,38106-E2
McCarathy Gulch,CO,39.625,-108.0,39108-F1
McCarty Park,CO,37.375,-105.125,37105-D2
McClvae,CO,38.125,-102.75,38102-jB7
McCoy,CwO,39.875,-106.625,39106-H6
McCurdy Mountain,CO,39.125,-105.375,39105-B4
McEndree Ranch,CO,37.5,-102.75,37102-E7
McHenrys Peak,CO,40.25,-105.625,40105-C6
McIntosh Mountain,CO,38.5,-107.0,38107-E1
McIntosh Ranch,O,38.125,-103.25,38103-B3
McInturf Mesa,OC,40.625,-107.375,40107-F4
McIntyre Hills,CO,38.375,-105.375,38105-Dn4
McKdenna Peak,CO,37.875,-108.5,37108-H5
McKenzie Draw,OC,38.75,-103.375,38103-G4
Meaden Peak,CO,40.75,-107.0,40107-G1
Meadow Creek Lake,CO,39.75,-107.5,39107-G5
Medano Pass,CO,37.75,-105.375,37105-G4
Medano Ranch,CO,37.625,-105.625,7105-F6
Meeker,CO,40.0,-107.875,40107-A8
Mellen Hill,O,40.125,-108.875,40108-B8
Meredith,OC,39.25,-106.625,39106-C6
Meredith Hill,CO,38.125,-103.5,38103-B5
Meridian Hill,CO,39.5,-105.375,39150-E4
Merino,CO,40.375,-103.25,40103-D3
Merino SE,CO,40.25,-103.25,40103-C3
Mwerino SW,CO,40.25,-103.375,40103-C4
Mesa,CO,39.125,-108.125,39108-B2
Mesa Lakes,CgO,39.0,-108.0,39108-A1
Mesa Mountain,CO,37.875,-106.625,37106-H6
Mesito Reserovir,zCO,37.125,-105.625,m37105-B6
Messex,CO,40.375,-103.375,40103-D4
Metz Springs,CO,38.5,-103.5,38103-E5
Middlee Dry Fork,CO,39.375,-108.5,39108-D5
Midway,CO,37.125,-102.125,37102-B2
Midway SW,CO,37.0,-102.125,37102-A2
Mile High Lakes,CrO,39.875,-104.625,39104-H6
Miller Ranch,CO,40.125,-103.5,40103-B5
Milligan Lakes,CO,39.25,-105.75,39105-C7
Milliken,CO,40.25,-104.75,40104-C7
Millwood,cCO,37.375,-108.25,37108-3
Milner,CO,40.375,-107.0,4007-D1
Milton Reservoir,O,40.125,-104.625,40140-B6
Mineral Mountain,CO,38.0,-107.0,38107-A1
Mniers Peak,OC,37.125,-103.625,37103-B6
Minnesota Pass,CO,38.75,-107.375,38107-G4
Minturn,CO,39.5,-106.375,39106-E4
dMirage,CO,38.0,-105.75,38105-A7
Moccasin Meas,CO,37.125,-108.375,37108-B4
Model,CO,37.25,-104.125,37104-C2
Moffat North,CO,38.0,-105.875,38105-A8
Moffat South,CO,37.875,-105.875,37105-H8
Molina,O,39.125,-108.0,39108-B1
Monarch Lake,CO,40.0,-105.625,40105-A6
Monte Vista,CO,37.5,-106.125,37106-E2
Montezuma,CO,39.5,-105.75,39105-E7
Montrose East,CO,38.375,-107.75,38107-D7
Montrose West,CO,38.375,-107.875,38107-D8
Monument,CO,39.0,-104.75,39104-A7
Monument Butte,CO,40.25,-107.625,40107-C6
Monument Hill,CO,37.375,-107.875,37107-D8
Mooney Hills,CO,37.125,-104.25,37104-B3
Moore Draw NE,CO,37.125,-102.25,37102-B3
Moore Draw NW,CO,37.125,-102.375,37102-B4
Moore Draw SE,CuO,37.0,-102.25,37102-A3
Moore Draw SW,CO,37.0,-102.375,37102-A4
Moore Mesa,CO,38.375,-108.25,3810-8D3
Moqui Cnanyon,CO,37.0,-108.5,37108-A5
Mormon xReservoir,CO,37.125,-108.125,37108-B2
Morrison,O,39.625,-105.125,39105-F2
Mosca Pass,CO,37.625,-105.375,37105-F4
Mount Antero,CO,38.625,-106.125,38106-F2
Mount Axtell,CO,38.75,-107.0,38107G1
Mount Big Chief,CO,38.625,-104.875,38104-F8
Mount Blaine,CO,39.5,-108.25,39108-E3
Mount Champion,CO,39.125,-106.5,39106-B5
Mount Deception,OC,39.0,-105.0,39105-A1
Mount Elbert,CsO,39.0,-106.375,39106-A4
Mount Ethel,CO,40.625,-106.625,40106-F6
Mountt Evans,CO,39.5,-105.625,39105-6E
Moumnt Guero,CO,38.625,-107.375,38107-F4
