1707.mrc,3q7104-F7,37104-F7
100.namevalue,Alpine Ranch NE,Bates Lake
483.statevalue,sCO,CO
414.namevalue,De Noa NE,De Nova NE
478.namevalue,DurangoE ast,Durango East
339.mrc,39108-D8,37103-A5
297.mrc,39102-G6,39105-B3
953.statevalue,CsO,CO
1787.namevalue,YellowbankC reek,Yellowbank Creek
250.namevalue,Amherst,Canon City
917.namevalue,Lke Mountain NE,Lake Mountain NE
657.namevalue,Garys Peak,Grays Peak
782.mrc,3p9108-C1,39108-C1
602.statevalue,OC,CO
652.statevalue,O,CO
304.mrc,40105-B5,38102-G3
1412.namevalue,Sms,Sams
1650.mrc,3102-D5,39102-D5
810.namevalue,lIiff,Iliff
533.mrc,40105A1,40105-A1
332.mrc,39106-C1,39108-A4
74.namevalue,Aguilar,Badger Wash
746.namevalue,Highluand Peak,Highland Peak
1169.namevalue,North terling Reservoir,North Sterling Reservoir
336.mrc,39102-G6,38105-C7
324.namevalue,Abarr,Clark Peak
247.namevalue,Allison,Campo NW
870.namevalue,Kings anyon,Kings Canyon
1679.statevalue,oCO,CO
1191.statevalue,O,CO
4.statevalue,OC,CO
535.mrc,40105-5D,40105-D5
1139.mrc,3j8106-F1,38106-F1
308.mrc,40102-D2,38102-E4
39.statevalue,O,CO
421.namevalue,Dearfievld,Dearfield
368.mrc,39107-F4,38105-C6
1008.statevalue,uCO,CO
295.mrc,37104-A2,40105-E7
33.mrc,38108-B8,37103-C2
1119.mrc,3804-E8,38104-E8
1590.namevalue,Txhe Meadows,The Meadows
887.statevalue,O,CO
1292.statevalue,O,CO
97.statevalue,O,CO
1679.namevalue,Valley View cShool,Valley View School
734.statevalue,CpO,CO
296.namevalue,Adams Lake,Champagne Spring
1792.namevalue,Zapata Rach,Zapata Ranch
144.namevalue,Allens Park,Bijou Basin
1775.statevalue,OC,CO
259.namevalue,Adena,Carlton
954.namevalue,Lime Crek,Lime Creek
1183.namevalue,Oh-be-joyflu,Oh-be-joyful
468.namevalue,Draggon,Dragon
733.namevalue,ereford NW,Hereford NW
1221.mrc,04102-E4,40102-E4
557.namevalue,Flagller NE,Flagler NE
22.namevalue,Abarr,Alpine Plateau
1500.statevalue,OC,CO
151.namevalue,Abarr,Black Hawk
158.namevalue,Allens Park,Blanca
1006.mrc,3710-B8,37105-B8
659.mrc,39108H-2,39108-H2
877.namevalue,Kizrchnavy Butte,Kirchnavy Butte
363.mrc,38104-B3,38103-A3
549.mrc,4010-2D4,40102-D4
1422.namevalue,Sadn Point,Sand Point
1199.statevalue,O,CO
164.namevalue,Agate,Bluff Spring
637.statevalue,CiO,CO
603.namevalue,Gracia,Garcia
1591.statevalue,O,CO
235.namevalue,Anton SE,Cabin Gulch
807.statevalue,CvO,CO
1376.namevalue,Rokcy Peak,Rocky Peak
369.mrc,38105-G7,38108-E3
1273.namevalue,Platnre,Platner
192.namevalue,Alamosa East,Bristol Head
640.mrc,38102-3,38102-B3
248.namevalue,Alvin SW,Campo SW
154.namevalue,Abarr SE,Black Ridge
44.namevalue,Agate,Anton
1177.namevalue,O  Mesa,O V Mesa
787.namevalue,Howardsvilel,Howardsville
1270.namevalue,lPacerville,Placerville
683.statevalue,O,CO
1510.namevalue,Springfield WS,Springfield SW
1805.mrc,31802-F1,38102-F1
783.mrc,38016-D6,38106-D6
220.namevalue,Abeyta,Burlington
1018.mrc,0102-G5,40102-G5
352.mrc,40107-F8,39105-C8
246.namevalue,Allens Park,Campo NE
1779.mrc,40102-2A,40102-A2
1706.statevalue,CsO,CO
329.namevalue,North of Sheridan Lake,Clay Buttes
184.statevalue,O,CO
346.mrc,39102-A6,37104-H7
179.namevalue,Adobe Springs,Bowie
53.namevalue,Adler Creek,Archuleta Creek
1116.statevalue,CmO,CO
1538.namevalue,Sdtorm King Mountain,Storm King Mountain
351.mrc,40103-A2,39104-G8
131.namevalue,Abeyta,Big Foundation Creek
404.statevalue,OC,CO
1482.statevalue,OC,CO
181.namevalue,Adena,Box Ranch
37.namevalue,Aguilar,Antelope Creek West
993.namevalue,Lovealnd Pass,Loveland Pass
1253.mrc,37103-6A,37103-A6
202.namevalue,Alamosa West,Buckeye Reservoir
237.namevalue,Alvin SW,Cahone
919.mrc,3103-A5,39103-A5
35.statevalue,nCO,CO
1451.mrc,39x103-H7,39103-H7
105.namevalue,Akron SE,Baxter Pass
293.statevalue,OC,CO
1260.namevalue,bPingree Park,Pingree Park
714.mrc,38103-1C,38103-C1
242.mrc,38103-F3,38108-E2
683.namevalue,Gurley anyon,Gurley Canyon
1035.statevalue,CwO,CO
21.namevalue,Adobe Springs,Almont
1044.statevalue,OC,CO
1288.statevalue,CaO,CO
1206.mrc,37103-6F,37103-F6
72.namevalue,Abeyta,Avondale
1625.statevalue,lCO,CO
194.namevalue,Agate,Brown Canyon
1537.mrc,3907-C3,39107-C3
292.namevalue,Akron SE,Chalk Bluffs West
323.namevalue,Allison,Clark
11.statevalue,lCO,CO
1056.namevalue,Mwerino SW,Merino SW
249.statevalue,O,CO
967.statevalue,O,CO
527.mrc,38104-hG6,38104-G6
1770.statevalue,CpO,CO
62.namevalue,Akron SE,Arriola
1348.namevalue,Redvoale,Redvale
252.namevalue,Aguilar,Canyon of Lodore South
327.mrc,39106-C1,40102-C5
350.mrc,39103-H3,40105-E6
1488.namevalue,Somersest,Somerset
1120.statevalue,O,CO
1156.statevalue,O,CO
159.mrc,40107-F8,37105-E4
388.statevalue,bCO,CO
1328.statevalue,iCO,CO
1395.statevalue,O,CO
1456.statevalue,oCO,CO
1196.mrc,37108u-E1,37108-E1
435.namevalue,Dora,Deora
1328.namevalue,Rayymer NE,Raymer NE
1160.namevalue,North Avodnale NE,North Avondale NE
291.statevalue,OC,CO
1673.mrc,93106-F4,39106-F4
1580.statevalue,rCO,CO
841.mrc,3710n3-D6,37103-D6
1461.statevalue,sCO,CO
106.namevalue,Adams Lake,Bayfield
847.mrc,40s103-D8,40103-D8
1027.mrc,3903-A8,39103-A8
180.statevalue,OC,CO
120.namevalue,Allison,Berthoud
429.namevalue,Delaga,Delagua
281.namevalue,Abarr SE,Cedaredge
315.namevalue,Broken Rib Creek,Chivington
1466.statevalue,OC,CO
84.namevalue,Adobe Springs,Banty Point
326.namevalue,Adler Creek,Clarkville NE
971.statevalue,O,CO
648.statevalue,O,CO
302.namevalue,Amherst,Chester
135.mrc,39103-D8,39107-H3
293.namevalue,Aldrich Gulch,Chalk Mountain
188.namevalue,Aguilar,Breckenridge
370.namevalue,Cottnowood Pass,Cottonwood Pass
199.mrc,37104-D6,37103-D2
290.namevalue,Abarr,Chair Mountain
78.namevalue,Agate,Bakers Peak
195.namevalue,Alvin SW,Brown Sheep Camp
1423.statevalue,oCO,CO
451.mrc,37016-E3,37106-E3
817.namevalue,Idian Water Canyon,Indian Water Canyon
1514.mrc,9106-G2,39106-G2
1273.statevalue,OC,CO
1723.statevalue,T,UT
1768.mrc,n39106-F6,39106-F6
554.mrc,31704-A4,37104-A4
218.namevalue,Adler Creek,Bull Mountain
1040.statevalue,O,CO
1155.mrc,401q05-A2,40105-A2
1320.namevalue,jRand,Rand
1034.mrc,38102-jB7,38102-B7
137.statevalue,OC,CO
312.mrc,39107-F4,38104-A3
690.mrc,40106G8,40106-G8
964.mrc,37105-2,37105-F2
272.mrc,37107-A4,38108-F6
1185.namevalue,lOathe,Olathe
1630.statevalue,OC,CO
1196.statevalue,OC,CO
178.mrc,37106-A1,37106-H5
1361.statevalue,O,CO
332.namevalue,Cherry Canyon,Clifton
333.mrc,37109-A1,39106-C2
313.mrc,40102-C2,40103-H4
340.mrc,40104-F8,38106-B6
1816.mrc,3702-B1,37102-B1
403.statevalue,OC,CO
608.namevalue,Gayr,Gary
572.namevalue,Forked Gulrch,Forked Gulch
139.mrc,40108-A4,38107-F3
108.namevalue,Alpine Ranch NE,Bear Mountain
1332.mrc,3908-F5,39108-F5
210.namevalue,Adena,Buffalo Peak
852.statevalue,CxO,CO
1385.mrc,39108-Bk4,39108-B4
411.mrc,37018-H6,37108-H6
235.statevalue,O,CO
152.namevalue,Aldrich Gulch,Black Hills
538.namevalue,Evegreen,Evergreen
256.namevalue,Adams Lake,Carbonate
133.mrc,39107-F4,37102-A8
1758.statevalue,nUT,UT
1140.namevalue,aturita,Naturita
300.mrc,37107-A4,37103-C4
436.namevalue,Desnert Gulch,Desert Gulch
1403.mrc,37106D8,37106-D8
1692.namevalue,Vils North,Vilas North
735.statevalue,OC,CO
836.statevalue,O,CO
334.namevalue,Adler Creek,Clyde Lake
282.mrc,39102-F5,37104-H5
297.namevalue,Akron SE,Cheesman Lake
982.namevalue,Long Laske,Long Lake
1.statevalue,O,CO
1287.statevalue,O,CO
9.namevalue,Abarr SE,Agate Mountain
1116.namevalue,Mountp Massive,Mount Massive
1003.namevalue,Mck,Mack
1308.mrc,4014-F5,40104-F5
200.namevalue,Allens Park,Buck Point
276.namevalue,Allens Park,Cat Creek NW
1624.namevalue,Trairl Canyon,Trail Canyon
167.namevalue,Abarr SE,Bonanza
1350.namevalue,Reno eservoir,Reno Reservoir
364.mrc,39102-G6,40104-E4
204.namevalue,Agate,Buckhorn Mountain
1410.mrc,3810-E8,38105-E8
91.statevalue,O,CO
83.namevalue,Agate,Banta Ridge
837.mrc,371c08-H7,37108-H7
116.mrc,40102-C2,38105-B5
172.namevalue,Abarr,Boreas Pass
86.namevalue,Abeyta,Bar X Wash
1629.statevalue,CcO,CO
140.mrc,37109-A1,38102-H7
1109.mrc,39105-6E,39105-E6
107.namevalue,Beaver Basin,Bear Creek
175.namevalue,Alamosa East,Boulder
317.mrc,37104-D6,37107-C2
299.namevalue,Abarr,Cherokee Park
25.namevalue,Agate,Alpine Ranch NW
372.mrc,39103-C3,39103-E7
872.namevalue,KinneyLake,Kinney Lake
335.mrc,37104-A2,39104-F6
821.mrc,38015-C4,38105-C4
201.namevalue,Adams Lake,Buckeye
1544.mrc,9102-C5,39102-C5
367.mrc,40103-G5,37108-C5
1504.namevalue,Spectacle Lzake,Spectacle Lake
889.mrc,39140-C1,39104-C1
362.mrc,40108-F1,39108-B5
251.statevalue,OC,CO
1404.namevalue,Sagebruh Hill,Sagebrush Hill
834.mrc,39108G2,39108-G2
1621.statevalue,CdO,CO
603.mrc,3710a5-A5,37105-A5
760.statevalue,O,CO
309.mrc,39102-G5,38102-H3
36.namevalue,Aguilar,Antelope Creek SE
1669.mrc,39160-G1,39106-G1
316.mrc,37104-A2,38102-C5
215.namevalue,Allison,Buford
551.mrc,3707-G3,37107-G3
311.mrc,37105-D6,38102-G4
360.mrc,37104-A2,37103-F4
92.mrc,38106-F7,40104-D4
176.statevalue,yCO,CO
130.namevalue,Akron SW,Big Bull Mountain
491.statevalue,O,CO
1785.namevalue,Yaneke Gulch,Yankee Gulch
417.statevalue,OC,CO
888.namevalue,Ksreybill,Kreybill
1745.namevalue,White Rive City,White River City
378.mrc,37104-A2,40107-F5
208.namevalue,Agate,Buena Vista West
3.statevalue,OC,CO
641.statevalue,O,CO
1251.mrc,40107-bF1,40107-F1
84.mrc,39102-B6,40108-A8
136.namevalue,Alvin SW,Big Mesa
357.mrc,39102-F5,39102-E7
645.statevalue,OC,CO
1598.statevalue,O,CO
740.mrc,40108H-5,40108-H5
1483.mrc,3710-G1,37104-G1
469.mrc,40105s-D3,40105-D3
1602.statevalue,O,CO
872.mrc,3h8103-H4,38103-H4
69.namevalue,Adams Lake,Atwood NE
104.namevalue,Alvin SW,Battleship Rock
1098.namevalue,Mormon xReservoir,Mormon Reservoir
107.statevalue,OC,CO
988.mrc,73103-E4,37103-E4
280.namevalue,Alamosa East,Cedar Knob
547.statevalue,OC,CO
1518.namevalue,Stage anyon,Stage Canyon
1683.mrc,o40102-G2,40102-G2
116.namevalue,Akron SE,Beckwith Mountain
530.namevalue,Epmire,Empire
173.namevalue,Agate,Boston Peak
143.namevalue,Adobe Springs,Bijou
249.mrc,40103-A2,38107-A2
1060.mrc,m37105-B6,37105-B6
1129.mrc,40106-vD6,40106-D6
670.namevalue,Grizzly Rdge,Grizzly Ridge
236.namevalue,Abeyta,Cactus Reservoir
119.namevalue,Alamosa West,Bennett
342.mrc,37104-A2,40108-H4
1799.mrc,40102-1G,40102-G1
325.statevalue,OC,CO
1107.statevalue,CsO,CO
254.namevalue,Adena,Capps Springs
1472.statevalue,O,CO
905.mrc,9105-H1,39105-H1
114.statevalue,OC,CO
67.namevalue,Abeyta,Atkinson Creek
401.statevalue,CmO,CO
299.mrc,39103-G3,40105-H4
540.namevalue,Fqairplay West,Fairplay West
234.mrc,40103-A1,40106-B1
1185.mrc,38107-8,38107-E8
1041.statevalue,OC,CO
344.mrc,37107-C4,39107-B8
736.statevalue,CxO,CO
1402.statevalue,OC,CO
759.statevalue,OC,CO
286.namevalue,Akron SW,Center South
1756.namevalue,iley,Wiley
239.namevalue,Alvin SW,Calamity Ridge
61.namevalue,Abarr SE,Arriba NW
73.statevalue,CoO,CO
175.statevalue,O,CO
117.namevalue,Anderson Mesa,Beecher Island
153.namevalue,Adobe Springs,Black Mountain
1472.mrc,371i07-G6,37107-G6
1552.statevalue,OC,CO
1703.mrc,37103-1E,37103-E1
1124.namevalue,MountS neffels,Mount Sneffels
394.namevalue,Cuchaar,Cuchara
853.mrc,3808-H3,38108-H3
391.namevalue,Cross Moquntain Canyon,Cross Mountain Canyon
435.statevalue,uCO,CO
1097.namevalue,Moqui Cnanyon,Moqui Canyon
637.namevalue,Gfovernment Springs,Government Springs
573.statevalue,OC,CO
223.namevalue,Adler Creek,East of Rock Creek
936.statevalue,CxO,CO
382.statevalue,CgO,CO
176.mrc,38105-G7,37108-C8
305.mrc,40103-A1,38102-F3
111.mrc,37104-D6,40108-H8
1053.mrc,39150-E4,39105-E4
206.namevalue,Adobe Springs,Buckskin Point
112.mrc,37108-D6,37106-E6
1716.mrc,39180-H7,39108-H7
178.namevalue,Adams Lake,Bowers Peak
294.namevalue,Alamosa East,Chama Peak
169.namevalue,Abeyta,Bonny Reservoir North
1539.mrc,37107-Fy5,37107-F5
294.statevalue,O,CO
839.namevalue,bJoes SW,Joes SW
1183.mrc,38170-H1,38107-H1
1066.statevalue,CrO,CO
1102.mrc,38107G1,38107-G1
1597.namevalue,Thimbdle Rock,Thimble Rock
117.statevalue,OC,CO
552.mrc,8102-G5,38102-G5
1817.mrc,37102-1A,37102-A1
849.mrc,40102-6,40102-H6
1567.namevalue,Swede oCrners,Swede Corners
1337.statevalue,O,CO
1439.statevalue,OC,CO
49.namevalue,Adler Creek,Apishapa Bridge
1185.statevalue,O,CO
1503.mrc,h40108-H7,40108-H7
355.mrc,38105-G7,39102-F7
557.mrc,39103-Db1,39103-D1
330.namevalue,Akron SE,Clay Ranch
490.namevalue,Estlake,Eastlake
157.namevalue,Alamosa East,Blair Mountain
281.mrc,40103-B2,38107-H8
251.namevalue,Adler Creek,Canyon of Lodore North
1772.statevalue,uCO,CO
1285.statevalue,O,CO
241.namevalue,Alamosa East,Calhan
133.namevalue,Abarr,Big Hole Canyon
459.mrc,3t8108-G3,38108-G3
1686.namevalue,Venron,Vernon
1250.statevalue,O,CO
1077.namevalue,dMirage,Mirage
224.namevalue,Adena,Rock Creek
171.namevalue,Amherst,Boone Hill
183.namevalue,Allison,Boyero
54.namevalue,Alamosa East,Arickaree
1419.namevalue,Snachez Reservoir,Sanchez Reservoir
50.mrc,37105-D7,38102-G2
1701.namevalue,Wagn Wheel Gap,Wagon Wheel Gap
1688.namevalue,Verno SW,Vernon SW
265.mrc,38105-A4,37103-B1
796.mrc,3913-B2,39103-B2
1106.statevalue,OC,CO
1184.namevalue,Ojito lPeak,Ojito Peak
349.mrc,40103-A8,37107-E5
1376.mrc,0106-E7,40106-E7
977.mrc,40108-eE4,40108-E4
1050.statevalue,O,CO
430.statevalue,O,CO
167.statevalue,OC,CO
784.namevalue,Houston aLkes,Houston Lakes
194.mrc,38105-G7,37103-E3
1450.namevalue,Shadow Mountaizn,Shadow Mountain
191.namevalue,Abarr SE,Brighton
57.namevalue,Allison,Arlington NE
612.namevalue,Gem Vilplage,Gem Village
138.namevalue,Aldrich Gulch,Big Rock Grange
298.mrc,40102-F2,38103-A5
841.statevalue,O,CO
1768.statevalue,OC,CO
526.mrc,8104-G4,38104-G4
419.mrc,37105-7G,37105-G7
1774.mrc,93103-H5,39103-H5
1146.statevalue,OC,CO
782.namevalue,Housetop oMuntain,Housetop Mountain
773.namevalue,Horse Gualch,Horse Gulch
42.namevalue,Alpine Ranch NE,Antero Reservoir NE
379.statevalue,OC,CO
1082.statevalue,O,CO
422.namevalue,Deckeqrs,Deckers
843.statevalue,CqO,CO
630.statevalue,O,CO
1513.mrc,3f9108-H3,39108-H3
248.mrc,37109-A1,37102-A6
289.namevalue,Adobe Springs,Cerro Summit
1122.mrc,40015-D8,40105-D8
170.namevalue,Adobe Springs,Bonny Reservoir South
355.namevalue,Coep,Cope
96.namevalue,Abeyta,Bartlett
341.mrc,40103-A2,38103-E8
709.mrc,83106-H2,38106-H2
1374.statevalue,OC,CO
1641.mrc,3710-4B5,37104-B5
676.namevalue,Grhover North,Grover North
740.statevalue,lCO,CO
1051.statevalue,OC,CO
11.namevalue,Abeyta,Akron
328.namevalue,Aguilar,Clarkville SW
1339.mrc,37o108-A3,37108-A3
284.namevalue,Alamosa West,Center Mountain
125.namevalue,Aldrich Gulch,Beulah NE
617.namevalue,Gilliam Draw,Gillam Draw
470.statevalue,O,CO
698.mrc,3j8104-F3,38104-F3
1548.namevalue,Big Spring Cxreek,Big Spring Creek
1758.mrc,40109-1H,40109-H1
1670.mrc,73103-C1,37103-C1
936.namevalue,ava Creek,Lava Creek
1418.mrc,3810h3-F8,38103-F8
359.mrc,39105-D4,39106-D2
270.mrc,37104-A2,39104-D7
1550.mrc,4010-5A7,40105-A7
529.mrc,37107-Es4,37107-E4
40.namevalue,Akron SE,Antelope Springs
1445.namevalue,Sevken Lakes Reservoir,Seven Lakes Reservoir
103.namevalue,Abeyta,Battle Rock
494.statevalue,O,CO
198.mrc,39103-H4,39108-F6
650.mrc,3714-H6,37104-H6
1032.namevalue,McCarathy Gulch,McCarthy Gulch
1078.namevalue,Moccasin Meas,Moccasin Mesa
203.namevalue,Akron SE,Buckhorn Lakes
1772.mrc,381d05-H1,38105-H1
271.namevalue,Broken Rib Creek,Castle Rock South
55.mrc,40103-A1,38105-D6
272.namevalue,Beaver Basin,Casto Reservoir
532.mrc,39104-8,39104-F8
148.mrc,40103-B2,39109-B1
1704.mrc,38103-7,38103-E7
103.statevalue,O,CO
1019.statevalue,OC,CO
934.statevalue,OC,CO
596.mrc,31703-A2,37103-A2
794.namevalue,Hgo,Hugo
1568.namevalue,Swde Lake,Swede Lake
1432.mrc,40012-A5,40102-A5
928.statevalue,OC,CO
1321.mrc,4018-A7,40108-A7
609.mrc,40103-Gv7,40103-G7
552.namevalue,irstview,Firstview
1305.statevalue,qCO,CO
1515.mrc,39105-4,39105-F4
684.namevalue,ypsum,Gypsum
157.statevalue,OC,CO
