Co,Agency,FY 2018 Classified End Count,Average Years of Service,Average Age,Number Eligible to Retire,Percent Eligible to Retire,Number Eligible to Retire in 5 Years,Percent Eligible to Retire in 5 Years,Traditional,Percent Traditional,Boomer,Percent Boomer,Gen X,Percent Gen X,Millennials,Percent Millennials,Voluntary Turnover,Involuntary Turnover,Total Turnover,Male,Percent Male,Female,Percent Female,White,Percent White,African American,Percent African American,American Indian,Percent American Indian,Hispanic,Percent Hispanic,Asian,Percent Asian,Pacific Islander,Percent Pacific Islander,Not Specified,Percent Not Specified,Percent Minority,Officials & Administrators,Percent Officials & Administrators,Professionals,Percent Professionals,Technicians,Percent Technicians,Protective Service Workers,Percent Protective Service Workers,Paraprofessionals ,Percent Paraprofessionals ,Office-Clerical,Percent Office-Clerical,Skilled Craft,Percent Skilled Craft,Service/Maintence,Percent Service/Maintence,Cabinet
430,Libraries Department (0430) ,29,17.92367061,56.57401984,12,41.38%,16,55.17%,1,3.45%,17,58.62%,10,34.48%,1,3.45%,12.50%,0.00%,12.50%,9,31.03%,20,68.97%,19,65.52%,4,13.79%,1,3.45%,0,0.00%,1,3.45%,0,0.00%,0,0.00%,20.69%,2,6.90%,18,62.07%,0,0.00%,0,0.00%,2,6.90%,7,24.14%,0,0.00%,0,0.00%,Secretary of State
435,Lottery Commission (0435) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
440,Lieutenant Governor (0440) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Lieutenant Governor
445,Liquefied Petroleum Gas Board (0445) ,6,8.52886151,43.38356164,1,16.67%,1,16.67%,0,0.00%,2,33.33%,1,16.67%,3,50.00%,0.00%,0.00%,0.00%,4,66.67%,2,33.33%,5,83.33%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16.67%,0,0.00%,0,0.00%,4,66.67%,0,0.00%,1,16.67%,1,16.67%,0,0.00%,0,0.00%,Energy/Environment
448,Alcohol and Drug Counselors Board (0448) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
450,Medical Licensure and Supervision Board (0450) ,14,12.79339005,50.59452055,3,21.43%,3,21.43%,0,0.00%,6,42.86%,7,50.00%,1,7.14%,6.67%,0.00%,6.67%,3,21.43%,11,78.57%,7,50.00%,3,21.43%,3,21.43%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,42.86%,0,0.00%,4,28.57%,0,0.00%,0,0.00%,0,0.00%,10,71.43%,0,0.00%,0,0.00%,Health & Human Services
452,Department of Mental Health and Substance Abuse Services (0452) ,585,9.272815131,47.07808922,87,14.87%,177,30.26%,6,1.03%,235,40.17%,175,29.91%,169,28.89%,30.27%,8.37%,38.65%,200,34.19%,384,65.64%,387,66.15%,96,16.41%,51,8.72%,22,3.76%,27,4.62%,1,0.17%,1,0.17%,33.68%,5,0.85%,68,11.62%,15,2.56%,20,3.42%,271,46.32%,101,17.26%,13,2.22%,92,15.73%,Health & Human Services
475,Motor Vehicle Commission (0475) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
477,Narcotics & Dangerous Drugs Control (0477) ,99,10.97101058,41.34888612,6,6.06%,8,8.08%,0,0.00%,9,9.09%,52,52.53%,38,38.38%,17.92%,0.00%,17.92%,70,70.71%,29,29.29%,67,67.68%,8,8.08%,8,8.08%,16,16.16%,0,0.00%,0,0.00%,0,0.00%,32.32%,14,14.14%,10,10.10%,4,4.04%,62,62.63%,0,0.00%,9,9.09%,0,0.00%,0,0.00%,Safety and Security
509,Long Term Care Administrators Board (0509) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
510,"Nursing, Oklahoma Board of (0510) ",0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
515,Public Employees Retirement System (0515) ,5,18.39835729,61.10027397,3,60.00%,5,100.00%,1,20.00%,3,60.00%,1,20.00%,0,0.00%,16.67%,0.00%,16.67%,1,20.00%,4,80.00%,4,80.00%,0,0.00%,0,0.00%,1,20.00%,0,0.00%,0,0.00%,0,0.00%,20.00%,0,0.00%,4,80.00%,0,0.00%,0,0.00%,1,20.00%,0,0.00%,0,0.00%,0,0.00%,"Finance, Administration and Information Technology"
520,Optometry Board,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
525,Osteopathic Examiners Board (0525) ,1,36.61875428,62.70136986,1,100.00%,1,100.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,1,100.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,Health & Human Services
557,Police Pension and Retirement System (0557) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
560,Pharmacy Board (0560) ,1,7.104722793,36.44931507,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,50.00%,0.00%,50.00%,0,0.00%,1,100.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,Health & Human Services
563,Private Vocational Schools Board (0563) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Education
566,Tourism & Recreation Department (0566) ,122,16.1475522,50.81866158,27,22.13%,47,38.52%,0,0.00%,59,48.36%,46,37.70%,17,13.93%,13.04%,1.45%,14.49%,87,71.31%,35,28.69%,97,79.51%,4,3.28%,12,9.84%,1,0.82%,2,1.64%,0,0.00%,6,4.92%,15.57%,1,0.82%,13,10.66%,6,4.92%,34,27.87%,13,10.66%,16,13.11%,32,26.23%,7,5.74%,Commerce/Tourism
570,Professional Engineers & Land Surveyors Licensure Board (0570) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0.00%,0.00%,0.00%,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Secretary of State
575,Psychologists Examiners Board (0575) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
582,Bond Advisor (0582) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
585,Public Safety Department (0585) ,1339,14.29795648,45.36274464,195,14.56%,300,22.40%,7,0.52%,307,22.93%,650,48.54%,375,28.01%,7.35%,0.45%,7.80%,1022,76.33%,317,23.67%,1082,80.81%,90,6.72%,115,8.59%,38,2.84%,9,0.67%,1,0.07%,0,0.00%,18.89%,9,0.67%,208,15.53%,31,2.32%,831,62.06%,15,1.12%,199,14.86%,19,1.42%,17,1.27%,Safety and Security
588,Real Estate Commission (0588) ,9,16.03528785,49.85966514,2,22.22%,2,22.22%,0,0.00%,3,33.33%,5,55.56%,1,11.11%,20.00%,10.00%,30.00%,2,22.22%,7,77.78%,6,66.67%,2,22.22%,0,0.00%,1,11.11%,0,0.00%,0,0.00%,0,0.00%,33.33%,0,0.00%,4,44.44%,0,0.00%,0,0.00%,0,0.00%,5,55.56%,0,0.00%,0,0.00%,Secretary of State
619,Physician Manpower Training Commission (0619) ,4,7.107460643,39.90136986,0,0.00%,1,25.00%,0,0.00%,0,0.00%,2,50.00%,2,50.00%,25.00%,0.00%,25.00%,0,0.00%,4,100.00%,2,50.00%,1,25.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,25.00%,0,0.00%,2,50.00%,0,0.00%,0,0.00%,0,0.00%,2,50.00%,0,0.00%,0,0.00%,Education
622,Licensed Social Workers Board (0622) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
625,Secretary of State (0625) ,28,10.07851765,44.36878669,4,14.29%,7,25.00%,0,0.00%,7,25.00%,10,35.71%,11,39.29%,7.41%,0.00%,7.41%,7,25.00%,21,75.00%,12,42.86%,5,17.86%,2,7.14%,3,10.71%,2,7.14%,0,0.00%,0,0.00%,42.86%,1,3.57%,3,10.71%,4,14.29%,0,0.00%,3,10.71%,17,60.71%,0,0.00%,0,0.00%,Secretary of State
628,Center for Advancement of Science & Technology - OCAST (0628) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Science and Technology
629,School of Science & Mathematics (0629) ,3,15.45790554,52.60273973,1,33.33%,2,66.67%,0,0.00%,2,66.67%,1,33.33%,0,0.00%,33.33%,0.00%,33.33%,2,66.67%,1,33.33%,2,66.67%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,2,66.67%,Education
630,Securities Commission (0630) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
632,Speech-Language Pathology & Audiology Board (0632) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
635,Consumer Credit Department (0635) ,34,4.66143254,47.31474617,1,2.94%,2,5.88%,0,0.00%,7,20.59%,22,64.71%,5,14.71%,6.06%,0.00%,6.06%,18,52.94%,16,47.06%,22,64.71%,4,11.76%,5,14.71%,2,5.88%,1,2.94%,0,0.00%,0,0.00%,35.29%,4,11.76%,29,85.29%,0,0.00%,0,0.00%,1,2.94%,0,0.00%,0,0.00%,0,0.00%,"Finance, Administration and Information Technology"
645,Conservation Commission (0645) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,100.00%,0.00%,100.00%,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Agriculture
650,Veterans Affair Department (0650) ,1179,7.812843864,45.3508383,83,7.04%,227,19.25%,6,0.51%,360,30.53%,436,36.98%,377,31.98%,22.53%,6.90%,29.43%,271,22.99%,907,76.93%,816,69.21%,133,11.28%,69,5.85%,77,6.53%,73,6.19%,2,0.17%,2,0.17%,30.03%,0,0.00%,123,10.43%,72,6.11%,25,2.12%,493,41.82%,75,6.36%,35,2.97%,356,30.20%,Veterans Affairs
670,J.D. McCarty Center (0670) ,179,7.980620911,43.03465218,20,11.17%,36,20.11%,1,0.56%,52,29.05%,47,26.26%,79,44.13%,26.16%,11.63%,37.79%,40,22.35%,137,76.54%,140,78.21%,17,9.50%,10,5.59%,8,4.47%,4,2.23%,0,0.00%,0,0.00%,21.79%,8,4.47%,42,23.46%,4,2.23%,0,0.00%,96,53.63%,12,6.70%,1,0.56%,16,8.94%,Health & Human Services
677,Supreme Court (0677) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Judiciary
678,"Judicial Complaints, Council on (0678) ",0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Secretary of State
695,Tax Commission (0695) ,488,10.84747703,48.50046598,95,19.47%,154,31.56%,11,2.25%,187,38.32%,159,32.58%,131,26.84%,14.26%,2.89%,17.15%,148,30.33%,340,69.67%,325,66.60%,81,16.60%,29,5.94%,14,2.87%,29,5.94%,1,0.20%,4,0.82%,31.56%,0,0.00%,372,76.23%,28,5.74%,0,0.00%,29,5.94%,57,11.68%,2,0.41%,0,0.00%,"Finance, Administration and Information Technology"
715,Teachers' Retirement System (0715) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
740,State Treasurer (0740) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
753,Uniform Building Code Commission (0753) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
755,Used Motor Vehicle and Parts Commission (0755) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
772,Board of Tests for Alcohol and Drug Influence (0772) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Safety and Security
790,Veterinary Medical Examiners Board (0790) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Agriculture
800,Career and Technology Education (0800) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Education
803,Statewide Virtual Charter School Board (0803),0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Education
805,Rehabilitation Services (0805) ,710,12.4923774,49.24198341,138,19.44%,222,31.27%,4,0.56%,272,38.31%,277,39.01%,157,22.11%,9.41%,1.09%,10.50%,196,27.61%,514,72.39%,475,66.90%,142,20.00%,44,6.20%,23,3.24%,16,2.25%,2,0.28%,0,0.00%,31.97%,53,7.46%,392,55.21%,52,7.32%,3,0.42%,144,20.28%,38,5.35%,12,1.69%,16,2.25%,Health & Human Services
807,Health Care Authority (0807) ,0,N/A,N/A,0,N,0,N,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
830,Human Services Department - OKDHS (0830) ,5315,10.37916812,43.72572739,563,10.59%,964,18.14%,10,0.19%,1184,22.28%,2191,41.22%,1930,36.31%,15.34%,1.93%,17.27%,919,17.29%,4396,82.71%,3689,69.41%,876,16.48%,474,8.92%,186,3.50%,76,1.43%,14,0.26%,0,0.00%,30.59%,120,2.26%,4515,84.95%,2,0.04%,20,0.38%,63,1.19%,477,8.97%,17,0.32%,3,0.06%,Health & Human Services
835,Water Resources Board (0835) ,61,11.55969973,43.50092073,8,13.11%,13,21.31%,0,0.00%,16,26.23%,21,34.43%,24,39.34%,11.29%,1.61%,12.90%,29,47.54%,32,52.46%,36,59.02%,3,4.92%,0,0.00%,0,0.00%,3,4.92%,0,0.00%,0,0.00%,9.84%,10,16.39%,43,70.49%,0,0.00%,0,0.00%,0,0.00%,7,11.48%,0,0.00%,0,0.00%,Energy/Environment
865,Workers' Compensation Commission (0865),0,N/A,N/A,0,N,0,N,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Secretary of State
978,Turnpike Authority (0978) ,472,10.42093876,49.30882865,67,14.19%,153,32.42%,2,0.42%,211,44.70%,158,33.47%,101,21.40%,11.92%,2.72%,14.64%,252,53.39%,220,46.61%,346,73.31%,41,8.69%,57,12.08%,15,3.18%,10,2.12%,0,0.00%,2,0.42%,26.06%,4,0.85%,35,7.42%,10,2.12%,0,0.00%,43,9.11%,235,49.79%,11,2.33%,134,28.39%,Transportation
980,Grand River Dam Authority (0980) ,193,12.99391076,48.08335581,34,0.176165803,58,0.300518135,0,0,76,0.393782383,73,0.378238342,44,0.227979275,0.07079646,0.004424779,0.075221239,183,0.948186528,10,0.051813472,157,0.813471503,1,0.005181347,25,0.129533679,1,0.005181347,1,0.005181347,0,0,0,0,0.14507772,1,0.005181347,5,0.025906736,177,0.917098446,1,0.005181347,0,0,3,0.015544041,4,0.020725389,2,0.010362694,Energy/Environment
