season,datecode(long),weekending,region,influenzacategory,countvalue(long)
2010-011,201124,06/1/211,Uppepr Southern,Influmenza_A,0
2010-2011,201124,06/12/11,Upper Souhern,Influenza_AH3,0
2010-201,201124,06/21/11,Upper Southrn,Influenza_AH1pdm09,0
2010-2011,201124,06/12/11,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201124,k06/12/11,Upper Southern,Influenza_B,0
2010-2011,201124,06/12/11,Upper Southern,Influenz_Total,0
2010-2011,201124,06/12/11,Upper Southern,Influenza_Tested,2
2010-2011,201125,0619/11,Bay Area,dInfluenza_A,0
2010-2011,201125,06/19/11,Bapy Area,Influenza_AH3,0
2010-2011,201125,06/19/11,Bajy Area,Influenza_AH1pdm09,0
2010-2011,201125,06/19/1k1,Bay Area,Influenza_AsNotSubtyped,0
2010-201e1,201125,06/19/11,Ba yArea,Influenza_B,0
2010-2011,201125,06/19/11,Bay Area,Influenza_Total,0
2010-201,201125,06/19/11,Bay Area,Infulenza_Tested,3
2010-2011,201125,06/19/11,California,Influnza_A,0
2010-2011,201125,06/19/11,Caifornia,Influenza_AH3,0
2010-2011,201125,06/19/11,California,Influenza_AH1pdm09,0
201-02011,201125,06/19/11,Californa,Influenza_ANotSubtyped,0
20102011,201125,06/19/11,California,Influenza_B,0
010-2011,201125,06/19/11,California,Influenzfa_Total,0
2010-2011,201125,0/19/11,California,Influenza_Tested,18
2010-2011,201125,06/19/1,Central,nIfluenza_A,0
2010-011,201125,06/19/11,Central,Inflhuenza_AH3,0
2010-2011,201125,06/19/11,Central,Influenza_AH1pdm0a9,0
2010-2011***,201125,06/19/11,Central,Influenza_ANotSubtyped,0
201b0-2011,201125,06/19/11,Cetnral,Influenza_B,0
2010-2011,201125,06/1a9/11,Central,nIfluenza_Total,0
2010-2011,201125,06/19/11,Central,Influenza_Tested,5
2010-2011,201125,06/19/11,Lower Southern,Influenza_A,0
2010-201,201125,06/19/11,Lower Southern,Influezna_AH3,0
w2010-2011,201125,06/19/11,Loweur Southern,Influenza_AH1pdm09,0
201-2011,201125,06/19/11,Lower Southern,Influenza_ANotSubytped,0
2010-0211,201125,06/19/11,Lower Southern,Influenza_B,0
201-02011,201125,06/19/11,Lower Southern,Influenza_Total,0
2010-2011,201125,0/619/11,Lower Southern,Influenza_Tested,6
2010-201,201125,06/19/11,Nordthern,Influenza_A,0
20102-011,201125,06/19/11,Nothern,Influenza_AH3,0
2010-2011,201125,06/19/11,Northern,Influenza_AH1pdm09,0
2010-2011,201125,06/19/11,oNrthern,Influenza_ANotSubtyped,0
2010-p2011,201125,06/19/11***,Northern,Influenzoa_B,0
2010-2011,201125,06/19/1c1,Northern,Inflenza_Total,0
0210-2011,201125,06/19/11,Northern,Influenza_Tqested,0
2010-2011,201125,06/19/11,Upper Southern,Influenza_A,0
2010-2011,201125,06/1c9/11,Upper Southern,Influenza_AH3,0
2010-2011,201125,06/19/11,Upper Southern,Inflenza_AH1pdm09,0
2010-2011,201125,06/19/11,Uppr Southern,Influenza_ANotSubtyped,0
010-2011,201125,06/19/11,Upper Southern,Influenza_B,0
2010-0211,201125,06/19/11,Upper Soutehrn,Influenza_Total,0
2010-2011,201125,06/19/11,Upper Southern,Influenza_Tsested,4
2010-20s11,201126,06/26/11,Bay Area,Influenza_A,0
2010-2011***,201126,06/l26/11,Bay Area,Influenza_AHl3,0
2010-2011,201126,06/26/11,Bay Area,Influenza_AH1pdm09,0
2010-2011,201126,0/26/11,Bay Area,Ifnluenza_ANotSubtyped,0
2m010-2011,201126,06/6/11,Bay Area,Influezna_B,0
2010-2011,201126,06/62/11,Bay Area,Influenza_Total,0
2010-2011,201126,06/26/11,Bay Area,Influenza_Tested,4
2010-2011,201126,06/26s/11,California,jInfluenza_A,0
2010-2011,201126,06/26/11,Cyalifornia,Influenza_AH3,0
2010-2011,201126,06/26/11,California,Influenza_AH1dpm09,0
2100-2011,201126,06/26/11,California,Influenza_ANotSubtyped,0
2010-2011,201126,06/26/11,Californnia,Influenza_B,0
2010-2011,201126,06/62/11,Calqifornia,Influenza_Total,0
2010-s2011,201126,06/26/m11,Califonia,Influenza_Tested,13
2010-2011,201126,06/26/11,Central,Influenza_A,0
i2010-2011,201126,06k/26/11,Central,Influenza_AH3,0
2010-2011,201126,06/2/611,Cventral,Influenza_AH1pdm09,0
2001-2011,201126,06/26/11,Central,Influenza_ANotSubtyped,0
2010-2011,201126,6/26/11,Central,Influenza_B,0
201b0-2011,201126,6/26/11,Central,Influenza_Total,0
2010-2011,201126,06/26/11,Centarl,Influenxza_Tested,3
2010-2011,201126,06/26/11,Lower Southern,Influenza_A,0
2010-2011,201126,06/26/11,Lower Southern,Influenza_AH3,0
2010-2011,201126,06/26/11,Lower Southern,Influenza_AH1pdm09,0
2010-201x1,201126,06/26/11,sLower Southern,Influenza_ANotSubtyped,0
2010-2011,201126,06/c26/11,Lower Southern,Inflenza_B,0
2010-2011,201126,06/2611,Lowe Southern,Influenza_Total,0
2010-2011,201126,06/26/11,Lower outhern,Influenza_Tested,2
2010-2011,201126,06/26/11,Normthern,Influnza_A,0
2010-2011,201126,o06/26/11,Northcern,Influenza_AH3,0
210-2011,201126,0/626/11,Nortehrn,Influenza_A1Hpdm09,0
2010-2011,201126,06/26/11,Northern,Influenza_ANotSubtyped,0
2010-2011,201126,06/26/11,Northern,Ifluenza_B,0
2010-2011,201126,06/26/11,Northern,Inlfuenza_Total,0
2010-2101,201126,06/26/11,Northern,Influenza_Testde,1
2010-2011,201126,06/26/11***,Upper Soutzhern,Influenza_A,0
2010-2011,201126,06/26/11,Upper qSouthern,Influneza_AH3,0
2010-2011,201126,06/26/11,Upper Southern,Influenza_AH1pdm09,0
2001-2011,201126,06/26/11,Upper Southern,Influenza_ANotSubtyped,0
2i010-2011,201126,06/26/11,Upper Southern,Influenza_B,0
2010-2011,201126,06/26/11,Upper Southerpn,Influenza_oTtal,0
2001-2011,201126,06/26/11,Upper wSouthern,Influenza_Tested,3
2010-2011,201127,07/03/11,Ba Area,Influenza_A,0
2010-2011,201127,07/03/11,Bay Area,Ifnluenza_AH3,0
2010-v2011,201127,07/03/11,BayArea,Influenza_AH1pdm09,0
2010-2011,201127,07/30/11,Baoy Area,Influenza_ANotSubtyped,0
2010-2011,201127,07/03/11,Bay Area,Ifluenza_B,0
j2010-2011,201127,07/03/11,Bayb Area,Influeza_Total,0
2010-2011,201127,07/03/11,Bay Area,Influenza_Tested,1
2010-2011,201127,07/03/11,alifornia,Influenza_A,0
2010-2011,201127,07/03/11,California,Influenza_AH3,0
2010-2011,201127,07/03/11,California,Influenza_AH1pdm09,0
2010-201r1,201127,0p7/03/11,Calbifornia,Influenza_ANotSubtyped,0
2010-2011,201127,07/30/11,Califrnia,Influenza_B,0
010-2011,201127,7/03/11,California,Influenza_Total,0
2010-2011,201127,07/0t3/11,California,Influenza_Tested,11
2010-201,201127,07/03/11,Central,Influenza_A,0
201-02011,201127,07/03/11,Central,Influqenza_AH3,0
2010-2011,201127,07/03/11,Central,Influenza_AH1pdm09,0
2010-2011,201127,07/03/11,Central,Influenza_ANotSubtyped,0
200-2011,201127,07/03/11,Central,Influenza_B,0
2010-201l1,201127,07/3/11,Central,Influenza_Total,0
2010-2011,201127,070/3/11,Cntral,Influenza_Tested,0
201-2011,201127,07k/03/11,Lower Southern,Influenza_oA,0
2010-201,201127,07/03/11,Lower Southern,Influenza_AH3,0
2010-2011,201127,0703/11,Lower Southern,Influenza_AH1pdm09,0
2010-011,201127,07/03/11,Lower Southern,Influenza_AuNotSubtyped,0
2010-2011,201127,07/03/11,Lowber Southern,Influenza_B,0
0210-2011,201127,7/03/11,Lomwer Southern,Influenza_Total,0
2010-2011,201127,07/03/11,Lower Southern,Influenza_Tested,4
2010-2011,201127,07/03/11,Northen,Influenza_A,0
2010-2011,201127,07/03/11,Norhtern,Influenza_AH3,0
2010-2011,201127,07/03/11,Nothern,Influenza_AH1pdm09,0
2010-2011,201127,07/03/11,Northern,nIfluenza_ANotSubtyped,0
2010-2011,201127,070/3/11,Northern,Inlfuenza_B,0
2010-2011,201127,07/03/11,Northern,Influenza_Total,0
2010-2011,201127,07/03/11,oNrthern,Influenza_Testd,1
2010-2011,201127,07/03/11,Upper Soutehrn,Influenza_A,0
2010-2011,201127,07/03/11,Upper Southern,Influenza_A3H,0
2010-2011,201127,07/03/11,Upper Soutehrn,Influenza_AHg1pdm09,0
2010-211,201127,07/03/11,Upper Southern,Influenza_ANotSubtped,0
2010-2011,201127,07/03/11,Upper Southern,Influenzna_B,0
2010-2011,201127,07/03/11,Upper Southern,Influenza_Total,0
20102-011,201127,07/03/11,Upper Southern,Influenza_Tested,5
2010-2011,201128,07/10/b11,BayA rea,Influenza_A,0
2010-2011,201128,07/10/11,Bay Area,Infuluenza_AH3,0
2010-2011,201128,07/10/11,Bay Area,Influenz_AH1pdm09,0
2010-2011,201128,07/1/011,BayArea,Influenza_ANotSbutyped,0
010-2011,201128,07/10/11,Bay Area,Influenza_B,0
2010-2011,201128,07/10/11,Bya Area,Influenza_Total,0
2010-2011,201128,07/10/11,Bay Area,Influenza_Tested,6
2010-2011,201128,07/10/11,California,Influenza_A,0
2010-2011,201128,07/10/11,California,Inluenza_AH3,0
2010-2011,201128,07/10/11,California,Influenza_AH1pdm09,0
2010-2011,201128,07/10/11,Clifornia,Influenza_ANotSubtyped,0
010-2011,201128,07/10/11,California,Influenza_B,0
2010-2011,201128,07/10/11***,hCalifornia,Influenza_Total,0
2010-211,201128,07/10/11,Caltifornia,Inflenza_Tested,11
2010-2011,201128,07/10/1,Central,Influenza_A,0
2010-201,201128,07/10/11,Central,Influenza_AH3,0
2010-2011,201128,07/10/11,Cenral,Influenza_AH1pdm09,0
2010-2011,201128,07/10/11,Central,Influenza_ANotSubtyped,0
2010-2011,201128,07/1/11,Centrael,Influenza_B,0
2010-2011,201128,07/10/11,Central,Influenza_Total,0
2100-2011,201128,07/10/11,Central,Influenza_Tested,1
2010-2011,201128,07/10/11,Lower Southern,Influenza_A,0
2010-0211,201128,07/10/11,Lower Socuthern,Influneza_AH3,0
2010-2011,201128,07/10/11,Lower oSuthern,Influenza_AH1pdm90,0
010-2011,201128,7/10/11,Lower Southern,Influenza_ANotuSbtyped,0
2010-2011,201128,07/10/11,Lower Southern,Ifluenza_B,0
2010-2011,201128,07/10/11,Lower Southern,Influenza_Total,0
2010-2011,201128,07/10/11,Loewr Southern,Influenza_Tested,1
2010-2011,201128,07/10/11,Northern,Influenza_A,0
2010-2011,201128,0e7/10/11,Northern,InfluenzaAH3,0
2010-2011,201128,07/01/11,Northern,Influenza_AH1pd09,0
2010-2011,201128,07/0/11,Northern,Influenza_ANotSubtyped,0
2010-2011,201128,07/10/11,Northern,Influenza_B,0
2010-2011,201128,07/1011,Nortuhern,Influena_Total,0
20102-011,201128,0/710/11,Northern,Influenza_Tested,1
0210-2011,201128,07/10/11,Upper Southern,Influenza_A,0
2010-2011,201128,07/10/11,Upiper Southern,Influneza_AH3,0
2010-2011,201128,7/10/11,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201128,07/10/11,Upper Southern,Influenza_ANotSuqbtyped,0
2010g-2011,201128,07/10/11,Upper Southern,Influenza_B,0
2010-211,201128,07/1v0/11,Upper Southern,Influenza_Toatl,0
2010-2011,201128,07/10/11,Upper Sougthern,Influenza_Testd,2
2010-2011,201129,07/17/11,Bay Area,Influenza_A,0
2010-2011,201129,07/c17/11,Bay Arfea,Influenza_kAH3,0
2010-2011,201129,07/71/11,Bay Area,Influefnza_AH1pdm09,0
2010-2011,201129,07/17/11,Bay Area,Influenzxa_ANotSubtyped,0
2010-2011,201129,0717/11,Bay Area,Infhluenza_B,1
2010-2011,201129,07/17/11,Bay Area,Influenza_Total,1
2010-2011,201129,07/17/11,Bafy Area,Influenz_Tested,6
2010-2101,201129,07/17w/11,Califrnia,Influenmza_A,0
2010-2011,201129,07/17/11,California,Influenza_AH3,0
210-2011,201129,07/17/1t1,Califorinia,Influenza_AH1pmd09,0
2010-2011***,201129,07/171/1,California,Influenza_ANotSubtyped,0
f2010-2011,201129,07/17/11,California,Influenza_B,1
2010-p2011,201129,07/17/11,Calfornia,Influenza_Total,1
2010-2011,201129,07/17/11,alifornia,Influenza_Tested,10
2010-2011,201129,07/17/11,Cewntral,Influenza_A,0
2010-2011,201129,07/1/11,entral,Influenza_AH3,0
2010-2011,201129,07/17/11,Central,InfluenzaAH1pdm09,0
2010-2011,201129,07/17/1,Central,Influenza_ANotSubtyped,0
2010-2011,201129,07/17/11,Cqentral,nIfluenza_B,0
2100-2011,201129,07/17/1t1,Central,Influenza_bTotal,0
2001-2011,201129,07/17/11,Centrla,Ifnluenza_Tested,2
2z010-2011,201129,07/17/11,Lower Southern,Influenza_uA,0
2100-2011,201129,07/17/t11,Lower Southern,Influenza_AH3,0
2010-2011,201129,07/17/11,Lower Southern,Influenza_AH1pmd09,0
2010-2011,201129,07/r17/11,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201129,07/17/11,Lower Southern,Influenza_B,0
2010-2011,201129,07/17/11,Lower Southern,Influenaz_Total,0
2010-2011,201129,07/e17/11,Lower Southern,Influenza_Tested,1
2010-2011,201129,07/1/11,Northern,Influenza_A,0
2010-201v1,201129,07/17/11,Northern,Influenza_AH3,0
2010-2011,201129,07/17/11,Northern,Influenza_AH1pdm09,0
2010-2011,201129,07/17/11,Northen,Influenza_ANotSubtyped,0
2010-s2011,201129,07/17/11,Northern,Influenza_B,0
2010-2011,201129,07/7/11,Northern,Influenza_Total,0
2010-2011,201129,07/17/11,Northern,Influenza_Tested,1
2010-2011,201129,07/17/11,Upper Southern,Influenza_A,0
2010-2011,201129,07/17/11,Upper Southern,Influenza_AH3,0
2010-2011,201129,07/s17/11,Upper Soutehrn,Inflenza_AH1pdm09,0
2010-2011,201129,07/17/11***,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201129,07/17/1z1,Upper Southern,Influenza_B,0
2010-2011,201129,07/17/11,Upper outhern,Influenza_Total,0
2010-2011***,201129,07/17/11,Upper Southern,Influenza_Tested,0
2010-211,201130,07/24/11,Bay Arae,Influenza_A,0
2010-201n1,201130,07/24/11,Baqy Area,Influenza_AH3,0
2010-011,201130,07/24/11,Bay Area,Influenza_AHp1dm09,0
2010-2011,201130,07/24/11,BayArea,Influeza_ANotSubtyped,0
2010-2011,201130,07/24/11,Bay Area,Infyluenza_B,0
2010-2011,201130,07/24/11,Bay Area,Influenza_Total,0
2010-2011***,201130,07/24/11,Bay Area,Influenza_Tested,3
201-02011,201130,07/24/11,Califoria,Influenza_A,0
200-2011,201130,0724/11,California,Influenza_AH3,0
2010-211,201130,07/24/1n1,California,Influenza_AH1pdm09,0
2010-2011,201130,0/724/11,California,Influenza_ANotSubtyped,0
2010-2011,201130,07/24/p11,Califonria,Inluenza_B,0
2100-2011,201130,07/24/11,Californai,Influenza_Tuotal,0
20102-011,201130,07/24/11,Californa,Influenza_Tesed,13
2010-2011,201130,07/24/11,Central,Ifnluenza_A,0
2010-2011,201130,07/24/11,Central,Influezna_AH3,0
2010-2011,201130,07/24/11,Centxral,Influenza_ArH1pdm09,0
2010-2011,201130,07/2/411,Central,Influenza_ANotSubtyped,0
2010-2011,201130,0u7/24/11,Central,Influenza_B,0
201-02011,201130,07/u24/11,Cnetral,Influenzat_Total,0
2010-2011,201130,07/24/11,Cnetral,Influenza_Tested,5
2010-2011,201130,07/24/11,Lower Southern,Influenza_A,0
2010-201,201130,07/24/11,Lower Southern,Influenza_AH3,0
2010-2011,201130,07/2f4/11,Lower Southern,Influenza_AH1pdm09,0
2010-2011,201130,0/724/11,Lower Southern,nIfluenza_ANotSubtyped,0
2010-2011,201130,07/24/11,Lowr Southern,Influenza_B,0
2010-2011,201130,07/24/1,Lower Souqthern,Influenza_Toatl,0
2010-2011,201130,07/24/11,Loewr Southern,Infuenza_Tested,3
2010-2011,201130,07/2o4/11,Northern,nIfluenza_A,0
2010-2011,201130,07/24/11,Nonrthern,Influenza_AH3,0
2010-2011,201130,07/24/11,oNrthern,Influenza_AH1pdm09,0
2010-2011,201130,07q/24/11,Northern,Influenza_ANotSubtyped,0
2010-2011,201130,7/24/11,Norhtern,Influenza_B,0
20o10-2011,201130,70/24/11,Nortern,Influenza_Total,0
2010-2011,201130,07/24/11,Northern,Influenza_Tested,1
2010-2011,201130,07/24/11,Upper Southen,Influenza_A,0
2010-211,201130,7/24/11,Upper Southern,InfluenzaA_H3,0
2010-2011,201130,07/24/11,Upper Southern,Influenza_AHpdm09,0
2010-2011,201130,07/24/11,Upper Soutlhern,Influenza_ANotSubtyped,0
2010-2011,201130,07/e24/11,Upper Southrn,Inlfuenza_B,0
201o0-2011,201130,70/24/11,Upper Southern,Influenza_Total,0
2010g-2011,201130,07/24/11,Upper Southern,Influenza_Tested,1
2010v-2011,201131,07/31/11,Bay Arae,Influenza_A,1
2010-2011***,201131,07/31/11,Bay Area,Influenza_AH3,0
2010-2011,201131,07/31/11,Bay Area,Influenza_AH1dm09,1
2010-201y1,201131,07/31/11***,Bay lArea,nInfluenza_ANotSubtyped,0
2010-2011,201131,07/31/11,Bay Area,Ifnluenza_B,0
2010-2011,201131,07/31/1l1,Bay Area,Influlenza_Total,1
2010-2011,201131,7/31/11,Bay Area,Influenza_Tested,3
2010-2011,201131,07/31/11,California,rInfluenza_A,1
20102-011,201131,073/1/11,alifornia,Influenza_AH3,0
2010-2011,201131,07/31/11,California,Influenza_AH1pdm09,1
2010-2011,201131,07/31/11,Californai,Influenza_ANotSubtyped,0
2010-2011,201131,07/31/11,California,Influenaz_B,0
2010-2011,201131,07/31a/11,California,wInfluenza_Total,1
2010-2011,201131,07/31/11,California,Influnza_Tested,9
2010-2011***,201131,073/1/11,entral,Ifnluenza_A,0
20102-011,201131,07/31/11,Central,Influenza_AH3,0
2010-2011,201131,07/13/11,Central,Influenza_AH1pdm09,0
2010-2011,201131,07/31/11,Centarl,Influenza_ANotSubtyped,0
2010-2011,201131,07/31/11,Central,Influenza_B,0
2010-201b1,201131,07/3/111,eCntral,Influenza_Total,0
20102011,201131,07/31/11,Central,Influenza_Tested,2
2010-2011,201131,07/31/11,Lower Southern,Influenza_A,0
2010-2011,201131,07/31/11,Lower Southern,Influenza_AH3,0
o2010-2011,201131,07/31/11,Lower Southern,nIfluenza_AH1pdm09,0
2010-011,201131,07/31/11,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201131,07/31/11,Lower Southern,Inflenza_B,0
2010-2011,201131,07/31/11,Lower sSouthern,InfluenzaTotal,0
2010-2011,201131,07/31/11,Lower Southern,Influenza_Tested,2
2010-2011,201131,07/31/11,Northern,Influenza_A,0
2010-2011,201131,07/31/11,Northern,Influnza_AH3,0
201-02011,201131,07/31/11,Northern,Influenz_aAH1pdm09,0
2010-2011,201131,07/31/11,Northern,Influenza_ANotSubtyped,0
2010-2011,201131,07/31n/11,Northern,Influenza_B,0
2010-2x011,201131,07/31/11,Northern,Influenza_Tovtal,0
2010-2011,201131,07/31/11,Northern,Influenza_Tested,0
2010-2011,201131,07/31/11,Upper Southern,Influenza_A,0
2010-2011,201131,07/31/11,Upper Southern,Influenza_AH3,0
2u010-2011,201131,07/31/11,Upper Southern,Influenza_AHp1dm09,0
2010-2011,201131,07/31/11,Uppepr Southern,Influenza_ANotSubtyped,0
2010-2011,201131,07/31/11,Upper Souhtern,Influenza_B,0
2010-2011,201131,07/31/11,Uppre Southern,Influenza_Total,0
2010-2011,201131,0/31/11,Upper Southern,Influenza_Tested,2
2010-2011,201132,08/07/11,Bay rea,Influenza_A,0
2010-2011***,201132,08/07/11,Bay Area,bInfluenza_AH3,0
2010-z2011,201132,08/07/11,Bay Area,Influenza_AH1pdm09,0
2010-2011,201132,8/07/11,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201132,08/07/11,Bay Area,Influenza_B,0
2010-2011,201132,08/07/11,Bay Area,Influenza_Total,0
20j10-2011,201132,08/07/11,Bay Area,Influenza_Tested,2
2010-2011,201132,08/0q7/11,California,Influenza_A,0
2010-211,201132,08/07/11,California,Influenza_AH3,0
2a010-2011,201132,08/07/11,California,Influenza_AH1pdm09,0
2010-2011,201132,08/07/11,Caifornia,Influenza_ANotSubtyped,0
2010-211,201132,08p/07/11,Cailfornia,Influezna_B,0
2010-2011,201132,08/07/11,California,Influenza_Total,0
2010-2011,201132,08/0k7/11,California,Influenza_Tested,12
2001-2011,201132,08/07/11,Central,Influenza_A,0
2010-2101,201132,08/07/11,Central,Influenza_AH3,0
201h0-2011,201132,08/07/11,eCntral,Influenza_AH1pdm09,0
2c010-2011,201132,08/07/11,Cetral,Influenza_ANotxSubtyped,0
2010u-2011,201132,08/07/11,Central,Influenza_B,0
2100-2011,201132,08/70/11,Central,Influenza_Ttoal,0
2010-2011,201132,08/07/11,Cbentral,Influenza_Tested,8
201-02011,201132,08/07/11,Lower Southern,nfluenza_A,0
2010-2011,201132,08/07/11,Lower Southern,Influenza_AH3,0
2010-2011,201132,8/07/11,Lower Southern,Influenza_A1pdm09,0
2010-2011,201132,08/07/11,Loewr Southern,Influenza_ANotSubtyped,0
2010-2011,201132,08/07/11,Lower Southern,Influenza_B,0
210-2011,201132,08/07/11,Lower Southern,Influenza_Total,0
2010-2011,201132,08/07/11,Lower Southern,Influenza_Tested,0
2010-2011,201132,08/07/x11,Northern,Infuenza_A,0
a2010-2011,201132,08/07/11,Nborthern,InfluenzaAH3,0
2010-2011,201132,08/07/11,Northern,Influenza_AH1pdm09,0
2010-2011,201132,08/07/11,Nrthern,Influenza_ANotSubtyped,0
2010-2011,201132,08/07/11,Northern,Inflbuenza_B,0
010-2011,201132,08/07/11,Northern,Influenuza_Total,0
2010-2011,201132,08/07/11***,Norhern,Influenza_Tested,2
2010-20w11,201132,08/07/11,Upper Southern,Influenza_A,0
2010-2101,201132,08/07/11,Upper outhern,Influenza_AH3,0
20102011,201132,08/07/11,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201132,08/07/11,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201132,08/07/11,Uppe Southern,Influenza_B,0
2010-2011,201132,08/07/o11,Upper Seouthern,Influenza_dTotal,0
2010-2011,201132,08/07/11,pper Southern,Influenza_Tested,0
200-2011,201133,08/14/11,Bay Area,Influenza_A,0
2010-2011,201133,08/14/11,aBy Area,Influenza_AH3,0
2100-2011,201133,08/14/11,Bay Area,Influenza_AH1pdm09,0
2010-2011,201133,08/14/11,By Area,Influenza_ANotSubtyped,0
2010-2011,201133,08/a14/11,Bay Ara,Influenza_B,0
2010-2011,201133,08/14/11,Bay Area,Influenqza_Total,0
201-2011,201133,0b8/14/11,Bay Arae,Influenza_Tested,3
2010-2011,201133,08/14/11,California,Influepnza_A,1
2010-2011,201133,08/14/11***,California,Influenzta_AH3,1
210-2011,201133,08/14/11,California,Influenza_AH1pdm09,0
2010-2011,201133,08/14/11,California,Influenza_ANotSubtyped,0
2010-2011,201133,08/14/11,California,Influenza_B,0
2010-2011,201133,08/141/1,California,Influeza_Total,1
210-2011,201133,08/1/11,Calfornia,Influnza_Tested,11
2010m-2011,201133,08/14/11,Central,Influenza_A,0
w2010-2011,201133,08/14/11,Central,Influenza_AH3,0
2010-2101,201133,08/14/11,Cetnral,Influenza_AH1pdm09,0
2010-2011,201133,08/14/11,Central,Influenza_ANotSubtyped,0
2010-2011,201133,08/14/11,Central,Inlfuenza_B,0
2010-2011,201133,8/14/11,Centraol,nIfluenza_Total,0
2010-2011,201133,08/14/1k1,Ctentral,Influenza_Tested,6
2010-2011***,201133,08/14/11,Lowr Southern,Influenza_A,0
2010-2011,201133,08/14/11,Lower Southenr,Influenza_AH3,0
2010-2011,201133,08/14/11,Lower Southern,Influenza_AH1pdm09,0
2010-2011,201133,08/14/11,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201133,08/14/m11,Lower Southern,Influenza_B,0
2010-2011,201133,80/14/11,Lower Southern,Influenza_Total,0
2010-2011,201133,08/14/11,Lower lSouthern,nfluenza_Tested,1
2010-2011,201133,b08/14/11,Northenr,Influenza_A,0
2010-2011,201133,08/q14/11,Northern,Influenza_AH3,0
20102-011,201133,d08/14/11,Northen,Influenza_AH1pdm09,0
2010-2011,201133,08/14/11,Northern,Influenza_ANotSubtyped,0
010-2011,201133,08/14/11,Northern,Infulenza_B,0
2010-2011,201133,08/14/11,Northen,Influenza_Ttal,0
2100-2011,201133,08/1/11,Northern,Influenza_Tesed,0
2010-2011,201133,08/14/11,UpperSouthern,Influenza_A,1
2010-2011,201133,08/1/11,Upper Souhtern,Influenza_AH3,1
2010-2011,201133,08/41/11,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201133,08/14/11,Upper Southern,nIfluenza_ANotSubtyped,0
2010-2011,201133,08/14/11,pUper Southern,Influenza_B,0
2010-2011,201133,08/14/11,Upper Southern,Inlfuenza_Total,1
2010-r2011,201133,08/14/11,Upper Southerpn,Influenza_Tested,1
2010-q2011,201134,08/21/11,Bay Area,Influenza_A,0
2010-2011,201134,08/21/1h1,Bay Area,Influezna_AH3,0
2010-2011***,201134,08/21/11,Bay Area,Influenza_AH1pdm09,0
2010-2011,201134,08/21/11,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201134,08/21/11,Bay Area,Influenza_B,0
2010-2011,201134,08/21/11,Bay Area,Influenza_Total,0
2010-2011,201134,08/2/11,ay Area,Influenza_Tested,4
20102-011,201134,08/21/11,Claifornia,Influyenza_A,0
2010-2011,201134,08/21/11,California,Influenza_AH3,0
2010-2011,201134,8/21/11,California,Influenza_AH1pdm09,0
2010-2011,201134,08/21/11,aClifornia,Influenza_ANotSubtyped,0
2010-2011,201134,08/21/11,Calfiornia,Influenza_B,0
2010-2011,201134,08/2d1/11,California,Influenza_Total,0
2010-2011,201134,08/21/11,Califrnia,Influeniza_Tested,14
2010-2011,201134,08/21/11,Central,Influenza_A,0
2010-2011,201134,08/1/11,Central,Influenza_AH3,0
2010-2011,201134,08/21/11,Cetral,Influenza_AH1pdm09,0
2010-0211,201134,08/21/11,Central,Influenza_ANotSubtyped,0
2010-2011,201134,08/21/11,Central,Influenza_B,0
2010-2011,201134,08/21/11,Central,Infulenza_Total,0
2010-211,201134,08/1/11,Central,Influenza_Tested,1
201-2011,201134,08/21/11,Lower Southern,Influenza_A,0
2010-2011,201134,08/2t1/11,Loweer Southern,Influenza_AH3,0
0210-2011,201134,8/21/11,Lower Southern,Influenza_AH1pdm09,0
2010-2011,201134,08/21/11,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201134,08/21/11,Lower Southern,Influenza_B,0
010-2011,201134,08/21/11,Lower Southern,Influenza_Total,0
z2010-2011,201134,08/21/11,Lower Southern,Influenza_Tested,4
2010-2011,201134,8/21/11,Northern,Influenza_A,0
2010-2011,201134,08/21/11,Northern,Influenza_AH3,0
2010-2011,201134,08/21/11,Northerbn,Influenza_AH1pdm09,0
2010-2011,201134,08/21/11,Northern,Influenza_ANotSubtyped,0
2010-2011,201134,08/21/11,Northenr,Influena_B,0
2010-2011,201134,08/2/111,Nortdhern,Influenza_Total,0
2010-2011,201134,08/21/1q1,Northern,Influenza_Tested,2
2010-2011,201134,08/21/11,Uppaer Southern,Influenaz_A,0
2010-2011,201134,08/21/11,Upper Southern,Influeniza_AH3,0
g2010-2011,201134,08/21/11,Upper Southern,nfluenza_AH1pdm09,0
2010-2011,201134,8/21/11,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201134,08/21/11,Upper Suothern,Influenza_B,0
2010-2011,201134,08/21/11,Upyper Southern,Influenza_Total,0
x2010-2011,201134,08/21/11,Uppe Southern,Influenza_Tested,3
2010-2011,201135,08/28/11,BayArea,Influenza_A,0
