3215.weekending,01/30/y11,01/30/11
11625.region,Lower Southenr,Lower Southern
1160.influenzacategory,Ifnluenza_Tested,Influenza_Tested
3507.region,Ba Area,Bay Area
11752.influenzacategory,Influenza_Teted,Influenza_Tested
13551.weekending,06/21y/15,06/21/15
28435.season,0219-2020,2019-2020
3464.season,2010-2r011,2010-2011
27754.region,uCentral,Central
627.weekending,1/03/10,01/03/10
9038.influenzacategory,Influenza_ANotSutbyped,Influenza_ANotSubtyped
14706.weekending,1101/15,11/01/15
2409.season,2009-2001,2009-2010
5794.season,201-12012,2011-2012
16847.influenzacategory,InfluenzaB_,Influenza_B
6658.region,Bay Areaa,Bay Area
25476.influenzacategory,kInfluenza_ANotSubtyped,Influenza_ANotSubtyped
11640.influenzacategory,Influenza_BNotLineageTjyped,Influenza_BNotLineageTyped
26727.season,2018g-2019,2018-2019
20187.weekending,0806/17,08/06/17
21135.region,Bqay Area,Bay Area
1748.season,200-2010,2009-2010
20496.weekending,9/10/17,09/10/17
10608.influenzacategory,Influenza_Ttoal,Influenza_Total
19083.influenzacategory,Influqenza_A,Influenza_A
29382.season,2019-2200,2019-2020
23421.influenzacategory,Inffluenza_Total,Influenza_Total
7154.influenzacategory,nfluenza_AH1pdm09,Influenza_AH1pdm09
5388.season,211-2012,2011-2012
9691.influenzacategory,nfluenza_Total,Influenza_Total
25440.region,oNrthern,Northern
13097.influenzacategory,Ifnluenza_B,Influenza_B
14478.weekending,0/11/15,10/11/15
20963.influenzacategory,Infulenza_A,Influenza_A
2084.region,Cenatral,Central
16844.region,Lower mSouthern,Lower Southern
22333.weekending,40/15/18,04/15/18
8315.region,Lower outhern,Lower Southern
20304.season,2016-h2017,2016-2017
20899.season,2017-2f018,2017-2018
2538.region,Upper Southuern,Upper Southern
26630.season,2018-2n019,2018-2019
9244.influenzacategory,Influenoza_Tested,Influenza_Tested
2812.region,Lower Sonuthern,Lower Southern
9144.season,20h13-2014,2013-2014
19568.weekending,05/21/l17,05/21/17
546.region,Cefntral,Central
24692.influenzacategory,Ifluenza_Tested,Influenza_Tested
7877.season,2012-e2013,2012-2013
6838.season,2011-0212,2011-2012
9442.influenzacategory,Infuenza_AH3,Influenza_AH3
4688.influenzacategory,Infuenza_A,Influenza_A
9366.influenzacategory,Inlfuenza_AH1pdm09,Influenza_AH1pdm09
24009.region,pper Southern,Upper Southern
6893.region,Nrthern,Northern
8353.influenzacategory,nfluenza_B,Influenza_B
14117.season,2014-2105,2014-2015
18779.influenzacategory,Influenza_BYamgaata,Influenza_BYamagata
4596.weekending,091/1/11,09/11/11
4395.weekending,08/14/11***,08/14/11
21151.season,207-2018,2017-2018
24184.influenzacategory,Influuenza_AH3,Influenza_AH3
15275.season,201-52016,2015-2016
4888.weekending,10/0/11,10/30/11
11277.influenzacategory,Infcluenza_B,Influenza_B
14151.influenzacategory,Insfluenza_Total,Influenza_Total
1679.influenzacategory,Iunfluenza_Total,Influenza_Total
25611.weekending,0t4/28/19,04/28/19
4041.weekending,6/12/11,06/12/11
27809.weekending,1/12/20,01/12/20
18768.season,2016-217,2016-2017
15669.region,pUper Southern,Upper Southern
5819.region,wBay Area,Bay Area
25103.influenzacategory,Influenzza_A,Influenza_A
7994.weekending,033/1/13,03/31/13
28523.influenzacategory,InfluenzaA,Influenza_A
10756.influenzacategory,Influenza_Testced,Influenza_Tested
25407.weekending,0/407/19,04/07/19
13156.weekending,05/10/1p5,05/10/15
11516.season,014-2015,2014-2015
24126.influenzacategory,Inflenza_ANotSubtyped,Influenza_ANotSubtyped
15574.weekending,021/4/16,02/14/16
11794.region,Centrla,Central
23431.season,c2017-2018,2017-2018
28872.season,201h9-2020,2019-2020
7363.weekending,12/6/12,12/16/12
6312.region,Upper Soutyhern,Upper Southern
15928.weekending,30/27/16,03/27/16
23594.weekending,0/909/18,09/09/18
8749.influenzacategory,Infleunza_AH3,Influenza_AH3
14982.influenzacategory,Influenz_aTested,Influenza_Tested
25238.season,20182019,2018-2019
29308.region,Cgalifornia,California
17224.region,Upper Southenr,Upper Southern
12045.influenzacategory,Influenza_A1Hpdm09,Influenza_AH1pdm09
1710.weekending,06/061/0,06/06/10
20894.weekending,10/29m/17,10/29/17
4464.influenzacategory,Influenaz_A,Influenza_A
11643.season,201j4-2015,2014-2015
2559.influenzacategory,Inflluenza_Tested,Influenza_Tested
14806.influenzacategory,Influenza_AotSubtyped,Influenza_ANotSubtyped
9118.weekending,10/06/31,10/06/13
20592.influenzacategory,InfluenzaTested,Influenza_Tested
961.influenzacategory,Influeknza_A,Influenza_A
10792.influenzacategory,Influnza_A,Influenza_A
980.influenzacategory,Influnza_AH1pdm09,Influenza_AH1pdm09
12614.influenzacategory,Influnza_AH3,Influenza_AH3
4656.season,2010-011,2010-2011
1907.region,Nrthern,Northern
22061.region,entral,Central
19488.region,ower Southern,Lower Southern
23646.weekending,09/09v/18,09/09/18
25963.season,2x018-2019,2018-2019
20978.season,2107-2018,2017-2018
27794.region,By Area,Bay Area
23309.influenzacategory,nIfluenza_BYamagata,Influenza_BYamagata
28425.influenzacategory,Influenza_AeH1pdm09,Influenza_AH1pdm09
24987.influenzacategory,Ifluenza_B,Influenza_B
8269.influenzacategory,Influenjza_B,Influenza_B
10387.weekending,05/04/41,05/04/14
24584.region,Lwer Southern,Lower Southern
19713.influenzacategory,Influsenza_A,Influenza_A
14826.influenzacategory,wInfluenza_ANotSubtyped,Influenza_ANotSubtyped
17884.influenzacategory,Infbluenza_AH3,Influenza_AH3
24500.influenzacategory,Inlfuenza_BNotLineageTyped,Influenza_BNotLineageTyped
9853.season,2013-204,2013-2014
16330.influenzacategory,Influezna_BNotLineageTyped,Influenza_BNotLineageTyped
3919.region,pper Southern,Upper Southern
25626.season,018-2019,2018-2019
1096.region,Northrn,Northern
15873.weekending,d03/20/16,03/20/16
15391.influenzacategory,Influenzaw_Total,Influenza_Total
24084.weekending,1/04/18,11/04/18
12346.region,Lowe Southern,Lower Southern
23887.weekending,10/07b/18,10/07/18
14638.season,2015-206,2015-2016
11536.season,014-2015,2014-2015
11331.weekending,10/0s5/14,10/05/14
25179.influenzacategory,Influenza_BYamagaat,Influenza_BYamagata
727.influenzacategory,Influenzga_Total,Influenza_Total
10857.season,20t13-2014,2013-2014
648.influenzacategory,Infleunza_Tested,Influenza_Tested
26236.influenzacategory,Influenz_ANotSubtyped,Influenza_ANotSubtyped
22890.influenzacategory,Influenza_lBNotLineageTyped,Influenza_BNotLineageTyped
24462.weekending,1/216/18,12/16/18
17816.weekending,10/30/61,10/30/16
24145.region,Californa,California
8881.region,By Area,Bay Area
2121.influenzacategory,Infuenza_A,Influenza_A
22869.weekending,06/1018,06/10/18
27744.weekending,0/105/20,01/05/20
28009.weekending,02/02/02,02/02/20
29435.weekending,v07/19/20,07/19/20
29629.season,2019-202k0,2019-2020
12635.region,Centrla,Central
16657.season,2015-i2016,2015-2016
7932.season,2012-2103,2012-2013
17249.season,201-52016,2015-2016
867.influenzacategory,Influena_AH1,Influenza_AH1
7223.influenzacategory,Influena_AH3,Influenza_AH3
6248.weekending,0617/12,06/17/12
27902.season,2019-2002,2019-2020
7264.season,20a12-2013,2012-2013
17341.region,Norfthern,Northern
220.region,Lower Southerrn,Lower Southern
23921.season,018-2019,2018-2019
19557.influenzacategory,Influenzao_B,Influenza_B
4945.influenzacategory,Influenz_Total,Influenza_Total
5177.season,201-2012,2011-2012
27436.influenzacategory,Inlfuenza_ANotSubtyped,Influenza_ANotSubtyped
7616.weekending,01/27/31,01/27/13
23595.region,BayArea,Bay Area
27805.season,20g19-2020,2019-2020
2451.region,aBy Area,Bay Area
11286.season,201-42015,2014-2015
23708.region,Upper Southenr,Upper Southern
3963.season,2010-201,2010-2011
20529.region,Upper Sothern,Upper Southern
119.influenzacategory,Infulenza_Total,Influenza_Total
18582.region,Cenptral,Central
26167.region,Upper Sotuhern,Upper Southern
25034.influenzacategory,Influenza_A3,Influenza_AH3
1139.influenzacategory,Infleunza_AH1,Influenza_AH1
24592.region,Lower Soutern,Lower Southern
24470.influenzacategory,Infleunza_BNotLineageTyped,Influenza_BNotLineageTyped
22765.influenzacategory,Influenza_HA1pdm09,Influenza_AH1pdm09
28703.weekending,04/26/02,04/26/20
2922.influenzacategory,nIfluenza_Total,Influenza_Total
6095.weekending,0520/12,05/20/12
8332.season,2g012-2013,2012-2013
22460.season,201s7-2018,2017-2018
15149.influenzacategory,Influuenza_BYamagata,Influenza_BYamagata
2005.season,0209-2010,2009-2010
12096.influenzacategory,Ifnluenza_ANotSubtyped,Influenza_ANotSubtyped
5069.region,alifornia,California
27882.season,0219-2020,2019-2020
29400.weekending,07/1/20,07/12/20
852.season,200l9-2010,2009-2010
1649.weekending,05/301/0,05/30/10
24854.influenzacategory,Influneza_AH3,Influenza_AH3
15208.season,2015-216,2015-2016
8022.region,Lowr Southern,Lower Southern
17666.influenzacategory,Influenza_ANotSubtypced,Influenza_ANotSubtyped
22146.influenzacategory,nIfluenza_ANotSubtyped,Influenza_ANotSubtyped
9097.region,Bayy Area,Bay Area
22771.region,Calisfornia,California
29605.season,20e19-2020,2019-2020
13926.weekending,8/02/15,08/02/15
12516.season,2104-2015,2014-2015
23909.region,Californai,California
15194.season,2015-201j6,2015-2016
5693.weekending,03/8/12,03/18/12
11311.influenzacategory,Influneza_Total,Influenza_Total
4580.season,l2010-2011,2010-2011
29177.region,Bay rAea,Bay Area
22561.region,Norgthern,Northern
24748.influenzacategory,Influenza_BVcitoria,Influenza_BVictoria
11922.season,2014-215,2014-2015
22300.season,20h17-2018,2017-2018
28634.region,rBay Area,Bay Area
7388.weekending,12/2/12,12/23/12
21063.season,201l7-2018,2017-2018
30051.influenzacategory,Influneza_Total,Influenza_Total
21567.influenzacategory,Influenza_iB,Influenza_B
19552.weekending,05/2/117,05/21/17
8975.season,2012-2v013,2012-2013
2993.region,Nortehrn,Northern
5134.weekending,12/11/z11,12/11/11
13195.season,201-42015,2014-2015
18367.influenzacategory,Influenza_yB,Influenza_B
3815.influenzacategory,Influnza_AH1pdm09,Influenza_AH1pdm09
20030.weekending,0716/17,07/16/17
21396.region,Centrl,Central
2598.weekending,0/17/10,10/17/10
3390.weekending,02/2711,02/27/11
6828.weekending,09/23w/12,09/23/12
11841.season,2014-205,2014-2015
13167.influenzacategory,nfluenza_B,Influenza_B
22754.season,2017-218,2017-2018
12629.region,Californika,California
12641.influenzacategory,nIfluenza_Total,Influenza_Total
29482.weekending,072/6/20,07/26/20
21145.weekending,11/62/17,11/26/17
17706.influenzacategory,Infleunza_ANotSubtyped,Influenza_ANotSubtyped
6379.region,Cenrtal,Central
6802.season,2011-2d012,2011-2012
3521.weekending,03/20/11***,03/20/11
13924.season,014-2015,2014-2015
5511.weekending,02/12c/12,02/12/12
3604.influenzacategory,Influeza_AH3,Influenza_AH3
29067.weekending,0607/20,06/07/20
9449.weekending,1201/13,12/01/13
9686.influenzacategory,kInfluenza_A,Influenza_A
8686.weekending,u07/28/13,07/28/13
22821.region,By Area,Bay Area
10678.weekending,r06/22/14,06/22/14
13105.influenzacategory,Influyenza_AH1pdm09,Influenza_AH1pdm09
15024.weekending,b12/13/15,12/13/15
15349.influenzacategory,Influenza_BYamaegata,Influenza_BYamagata
13920.season,20142-015,2014-2015
17943.season,2061-2017,2016-2017
15052.region,Lower Southren,Lower Southern
14661.region,Bay Arae,Bay Area
27620.influenzacategory,Influenza_BNotiLneageTyped,Influenza_BNotLineageTyped
9987.season,2013-201r4,2013-2014
16695.weekending,0/26/16,06/26/16
26709.influenzacategory,Influlenza_BYamagata,Influenza_BYamagata
8435.season,2012-201n3,2012-2013
16683.region,pper Southern,Upper Southern
13930.weekending,08/02/51,08/02/15
7470.region,Cental,Central
4160.region,Lowber Southern,Lower Southern
11179.season,20u13-2014,2013-2014
15599.season,201-52016,2015-2016
13727.season,2e014-2015,2014-2015
20419.weekending,09/03/7,09/03/17
18414.season,2016-207,2016-2017
6883.region,Cetnral,Central
20121.region,Bay Azrea,Bay Area
157.season,200-92010,2009-2010
1972.region,Bay fArea,Bay Area
5241.season,2011-212,2011-2012
17145.influenzacategory,Influenz_AH1pdm09,Influenza_AH1pdm09
29033.influenzacategory,Infwluenza_A,Influenza_A
20581.region,oNrthern,Northern
15808.weekending,03/1316,03/13/16
4128.weekending,06/26/11***,06/26/11
1686.influenzacategory,nfluenza_B,Influenza_B
17201.influenzacategory,Infuenza_Total,Influenza_Total
12652.influenzacategory,nIfluenza_Tested,Influenza_Tested
25209.weekending,031/0/19,03/10/19
22010.influenzacategory,Influezna_BNotLineageTyped,Influenza_BNotLineageTyped
8000.weekending,04/7/13,04/07/13
17551.influenzacategory,Influenza_Totla,Influenza_Total
13923.weekending,08l/02/15,08/02/15
14228.region,Upper oSuthern,Upper Southern
22541.season,2017-218,2017-2018
3857.region,Cnetral,Central
19110.region,Claifornia,California
15242.region,Northoern,Northern
24846.influenzacategory,Influenza_ANotSutbyped,Influenza_ANotSubtyped
28574.season,2019-2002,2019-2020
18121.weekending,1/04/16,12/04/16
28160.region,Bay rea,Bay Area
7795.season,201t2-2013,2012-2013
3921.weekending,05/2/11,05/22/11
9097.weekending,10/06g/13,10/06/13
5704.influenzacategory,Influenza_A3H,Influenza_AH3
28476.season,2019-220,2019-2020
28166.region,Califorsnia,California
21366.season,201-2018,2017-2018
3853.region,alifornia,California
25951.influenzacategory,Infuenza_Total,Influenza_Total
21005.influenzacategory,Infyluenza_AH1pdm09,Influenza_AH1pdm09
7904.region,oNrthern,Northern
21735.season,20172-018,2017-2018
12220.season,2014-2r015,2014-2015
14483.weekending,10x/11/15,10/11/15
1776.influenzacategory,Influenza_Tseted,Influenza_Tested
2331.region,Lower Soubthern,Lower Southern
21025.region,Calfiornia,California
19705.influenzacategory,Influenza_AH1pkdm09,Influenza_AH1pdm09
3642.weekending,0410/11,04/10/11
11564.region,LowerSouthern,Lower Southern
7496.influenzacategory,aInfluenza_AH3,Influenza_AH3
16454.influenzacategory,Influenza_A3,Influenza_AH3
7663.influenzacategory,Infxluenza_A,Influenza_A
1917.influenzacategory,Influenz_ANotSubtyped,Influenza_ANotSubtyped
8617.influenzacategory,Influenza_H1pdm09,Influenza_AH1pdm09
18506.region,Californina,California
16609.region,Lower Soutern,Lower Southern
23991.region,ower Southern,Lower Southern
25169.weekending,03/10/91,03/10/19
15262.weekending,01/10q/16,01/10/16
28184.season,2019-2002,2019-2020
13252.season,2014-215,2014-2015
18131.region,Upper Southehrn,Upper Southern
1346.region,aBy Area,Bay Area
9586.weekending,1/222/13,12/22/13
19834.weekending,062/5/17,06/25/17
26429.weekending,080/4/19,08/04/19
7642.influenzacategory,Influenzaz_A,Influenza_A
10753.influenzacategory,Influenza_ANoStubtyped,Influenza_ANotSubtyped
26526.weekending,0/811/19,08/11/19
807.season,2009-201y0,2009-2010
5768.season,2011u-2012,2011-2012
6125.season,201m1-2012,2011-2012
27916.region,Bay oArea,Bay Area
3796.influenzacategory,Influneza_B,Influenza_B
11221.weekending,092/1/14,09/21/14
23933.weekending,10/14/q18,10/14/18
18527.season,2016-2071,2016-2017
16463.weekending,s05/29/16,05/29/16
28219.region,Ba yArea,Bay Area
20037.season,2016-017,2016-2017
2010.influenzacategory,Influenzaq_AH3,Influenza_AH3
1115.season,2009-2100,2009-2010
1899.weekending,070/4/10,07/04/10
3693.weekending,04/1/711,04/17/11
1271.influenzacategory,nfluenza_Total,Influenza_Total
12915.weekending,04/1215,04/12/15
19270.weekending,04/61/17,04/16/17
26373.weekending,07/28/91,07/28/19
23933.influenzacategory,Inflenza_A,Influenza_A
920.weekending,02o/14/10,02/14/10
14241.weekending,0m9/13/15,09/13/15
10897.weekending,0x8/03/14,08/03/14
14044.region,Upper Southenr,Upper Southern
25578.season,e2018-2019,2018-2019
124.influenzacategory,Influenza_AH1pdma09,Influenza_AH1pdm09
23448.weekending,081/9/18,08/19/18
29171.region,Uopper Southern,Upper Southern
3477.season,20e10-2011,2010-2011
13659.influenzacategory,Influenza_BYamagtaa,Influenza_BYamagata
778.weekending,0p1/24/10,01/24/10
18805.weekending,0226/17,02/26/17
28899.weekending,05/1/720,05/17/20
13281.season,201z4-2015,2014-2015
1437.season,200-92010,2009-2010
3889.season,0210-2011,2010-2011
23434.season,2017-208,2017-2018
14570.weekending,10/18/5,10/18/15
13421.season,0214-2015,2014-2015
10425.region,Nmorthern,Northern
22012.weekending,03/0c4/18,03/04/18
3680.influenzacategory,Invfluenza_A,Influenza_A
11413.weekending,10/v19/14,10/19/14
12939.region,Centrsal,Central
10051.weekending,0/309/14,03/09/14
27119.influenzacategory,Influenzaf_BYamagata,Influenza_BYamagata
22571.region,UpperSouthern,Upper Southern
13844.influenzacategory,Influenza_HA3,Influenza_AH3
21443.weekending,12/31/71,12/31/17
22674.weekending,05/20/81,05/20/18
14813.weekending,11/15/j15,11/15/15
23087.season,2i017-2018,2017-2018
9750.region,Nothern,Northern
22840.region,Cedntral,Central
22401.season,20172018,2017-2018
12680.weekending,0315/15,03/15/15
8416.influenzacategory,Infulenza_B,Influenza_B
5948.influenzacategory,Influeza_A,Influenza_A
17852.weekending,11/06/61,11/06/16
1712.influenzacategory,Influenz_Tested,Influenza_Tested
8615.region,Northearn,Northern
18711.season,016-2017,2016-2017
21184.region,Upper Sowuthern,Upper Southern
20108.weekending,07/23/71,07/23/17
17577.region,Northen,Northern
11534.region,Ba Area,Bay Area
21028.region,Carlifornia,California
2523.influenzacategory,Influoenza_Total,Influenza_Total
1842.season,2009-210,2009-2010
7890.season,2012-013,2012-2013
10478.influenzacategory,Influennza_AH3,Influenza_AH3
4475.region,Bgay Area,Bay Area
20765.season,017-2018,2017-2018
3514.season,20z10-2011,2010-2011
604.influenzacategory,Influenza_AHp1dm09,Influenza_AH1pdm09
7764.influenzacategory,Influenza_ANotSubztyped,Influenza_ANotSubtyped
5777.season,2011-212,2011-2012
28030.region,Upepr Southern,Upper Southern
22888.region,Calfornia,California
7416.influenzacategory,nfluenza_Total,Influenza_Total
10602.weekending,06/08/41,06/08/14
11035.weekending,80/24/14,08/24/14
19998.season,2i016-2017,2016-2017
18847.season,2016-2107,2016-2017
22122.region,Centarl,Central
8999.influenzacategory,Infleunza_Tested,Influenza_Tested
2995.weekending,1/19/10,12/19/10
21960.weekending,022/5/18,02/25/18
19508.influenzacategory,Influenza_Bictoria,Influenza_BVictoria
26807.weekending,0/915/19,09/15/19
17581.influenzacategory,Influenza_otal,Influenza_Total
6005.season,2011-2102,2011-2012
23204.season,0217-2018,2017-2018
10276.region,Cdalifornia,California
19155.season,2061-2017,2016-2017
25740.weekending,05k/12/19,05/12/19
12521.influenzacategory,Influezna_Total,Influenza_Total
27828.season,2019-2v020,2019-2020
29988.weekending,0/20/20,09/20/20
12799.weekending,03/29s/15,03/29/15
14584.weekending,1/18/15,10/18/15
9032.weekending,092/2/13,09/22/13
24394.season,2n018-2019,2018-2019
19460.influenzacategory,Ilnfluenza_BNotLineageTyped,Influenza_BNotLineageTyped
15820.influenzacategory,nIfluenza_BNotLineageTyped,Influenza_BNotLineageTyped
23453.season,2e017-2018,2017-2018
13669.weekending,07/c05/15,07/05/15
22209.region,Upper Somuthern,Upper Southern
1013.region,Baey Area,Bay Area
3242.weekending,10/30/11,01/30/11
16375.region,Northcern,Northern
1872.weekending,0627/10,06/27/10
23796.season,2018-2091,2018-2019
9744.influenzacategory,Influenza_AH1pdm90,Influenza_AH1pdm09
11155.region,Bay Aera,Bay Area
17116.weekending,08/14/f16,08/14/16
8250.region,Upper Suothern,Upper Southern
19195.season,2016-2107,2016-2017
2353.weekending,09/1/210,09/12/10
25548.influenzacategory,nfluenza_BVictoria,Influenza_BVictoria
4502.weekending,08/28/1x1,08/28/11
3521.season,201-2011,2010-2011
29158.region,Northen,Northern
2250.weekending,f08/22/10,08/22/10
4306.influenzacategory,nInfluenza_ANotSubtyped,Influenza_ANotSubtyped
5245.weekending,01/0v1/12,01/01/12
23074.weekending,07/08l/18,07/08/18
28862.region,Nrthern,Northern
16718.influenzacategory,Influenza_BVictroia,Influenza_BVictoria
22098.influenzacategory,Influenza_BVicttoria,Influenza_BVictoria
9180.influenzacategory,Influenz_Total,Influenza_Total
7003.weekending,0/21/12,10/21/12
24148.weekending,j11/11/18,11/11/18
29218.season,20192020,2019-2020
26287.influenzacategory,Infuenza_B,Influenza_B
5607.season,2011-2102,2011-2012
28635.weekending,04/19/0,04/19/20
22318.weekending,04/80/18,04/08/18
3827.season,2010-20u11,2010-2011
5399.region,By Area,Bay Area
20444.influenzacategory,nIfluenza_AH3,Influenza_AH3
7975.influenzacategory,InfluenzaB_,Influenza_B
15682.season,2015-2n016,2015-2016
20801.region,Centrl,Central
27990.region,Californai,California
11474.weekending,10/26/41,10/26/14
23077.influenzacategory,Influeza_B,Influenza_B
15864.weekending,0/320/16,03/20/16
18037.season,216-2017,2016-2017
16599.season,2015-2j016,2015-2016
28300.influenzacategory,Influenaz_BNotLineageTyped,Influenza_BNotLineageTyped
24873.influenzacategory,nIfluenza_A,Influenza_A
20632.influenzacategory,Inflzuenza_Tested,Influenza_Tested
12849.season,2014-20r15,2014-2015
17536.region,Bay Ara,Bay Area
28295.influenzacategory,Influenza_AH1pdm90,Influenza_AH1pdm09
19387.season,2016-217,2016-2017
10844.weekending,07/20/4,07/20/14
26726.season,0218-2019,2018-2019
13401.influenzacategory,InfluenzaTotal,Influenza_Total
6929.weekending,0/07/12,10/07/12
28691.season,219-2020,2019-2020
29463.season,209-2020,2019-2020
21526.region,Lower Southlern,Lower Southern
10372.region,Lowe rSouthern,Lower Southern
7776.weekending,0/24/13,02/24/13
19286.influenzacategory,Influenza_ANotSubtypped,Influenza_ANotSubtyped
24271.weekending,1/25/18,11/25/18
28994.influenzacategory,nIfluenza_AH3,Influenza_AH3
9585.influenzacategory,Invfluenza_B,Influenza_B
3234.region,Lowe rSouthern,Lower Southern
22018.season,2a017-2018,2017-2018
10424.influenzacategory,Influenza_NAotSubtyped,Influenza_ANotSubtyped
7261.region,entral,Central
16166.weekending,04/2416,04/24/16
13429.season,0214-2015,2014-2015
3705.influenzacategory,Ifnluenza_B,Influenza_B
27663.weekending,12/22/91,12/22/19
28996.season,209-2020,2019-2020
10785.weekending,07/13h/14,07/13/14
6119.influenzacategory,Influena_ANotSubtyped,Influenza_ANotSubtyped
1289.region,Upper Suothern,Upper Southern
8418.influenzacategory,Influenza_Testde,Influenza_Tested
10187.season,2013-214,2013-2014
12416.season,214-2015,2014-2015
15658.season,2015-2106,2015-2016
11541.region,Bay Azrea,Bay Area
4300.weekending,07/e24/11,07/24/11
16965.season,2015-206,2015-2016
37.region,Northren,Northern
16660.influenzacategory,Influenza_BNotLimneageTyped,Influenza_BNotLineageTyped
13202.season,20142015,2014-2015
16363.influenzacategory,Influeknza_A,Influenza_A
23582.influenzacategory,Influenza_Testd,Influenza_Tested
28159.influenzacategory,jInfluenza_BYamagata,Influenza_BYamagata
4142.region,alifornia,California
9832.weekending,02/0x2/14,02/02/14
6678.region,Lower Southren,Lower Southern
18288.weekending,2/25/16,12/25/16
26181.season,2018-201i9,2018-2019
16295.weekending,5/08/16,05/08/16
2274.influenzacategory,nIfluenza_AH3,Influenza_AH3
22025.weekending,0/304/18,03/04/18
15931.season,2015-216,2015-2016
6840.region,Cenptral,Central
29159.weekending,06/14/2d0,06/14/20
565.region,Norgthern,Northern
14920.region,entral,Central
23647.season,2017-208,2017-2018
19708.weekending,0n6/11/17,06/11/17
11787.season,204-2015,2014-2015
17097.influenzacategory,Inluenza_B,Influenza_B
17211.season,20152016,2015-2016
29983.influenzacategory,InfluenzaA,Influenza_A
23962.influenzacategory,Influenza_ested,Influenza_Tested
8585.weekending,07/0s7/13,07/07/13
10527.influenzacategory,Influezna_AH3,Influenza_AH3
11373.influenzacategory,Influnenza_A,Influenza_A
10751.region,Lowre Southern,Lower Southern
1116.weekending,03/14/g10,03/14/10
7659.weekending,20/03/13,02/03/13
28442.weekending,03/22/02,03/22/20
24940.influenzacategory,Influeza_BNotLineageTyped,Influenza_BNotLineageTyped
21438.region,Bay Aea,Bay Area
18952.weekending,03/1217,03/12/17
9409.influenzacategory,Influenza_ANotSubtypde,Influenza_ANotSubtyped
27897.season,2019-220,2019-2020
27375.influenzacategory,Influezna_AH1pdm09,Influenza_AH1pdm09
5015.region,Upperg Southern,Upper Southern
17593.influenzacategory,Influenz_aA,Influenza_A
9369.season,2013-0214,2013-2014
130.influenzacategory,Inlfuenza_AH3,Influenza_AH3
23148.season,2017-201p8,2017-2018
13727.weekending,07/12/1e5,07/12/15
9037.season,i2012-2013,2012-2013
21020.influenzacategory,Influenza_BNotLinenageTyped,Influenza_BNotLineageTyped
10625.weekending,0b6/15/14,06/15/14
3769.region,Califorwnia,California
3361.season,20102-011,2010-2011
14612.weekending,10/25z/15,10/25/15
22022.influenzacategory,Infulenza_Tested,Influenza_Tested
18348.region,Lower Soudthern,Lower Southern
11826.influenzacategory,Influenza_ANotubtyped,Influenza_ANotSubtyped
25699.influenzacategory,Influenza_BYamagaat,Influenza_BYamagata
2509.season,2010-211,2010-2011
8473.influenzacategory,Influenza_Totla,Influenza_Total
29018.weekending,0531/20,05/31/20
10157.weekending,03/03/14,03/30/14
11183.season,2013-2041,2013-2014
28298.influenzacategory,Influenza_BVicotria,Influenza_BVictoria
19587.region,Clifornia,California
7772.season,212-2013,2012-2013
9663.influenzacategory,Influenz_aTotal,Influenza_Total
12953.influenzacategory,Influenzoa_A,Influenza_A
29577.influenzacategory,nfluenza_B,Influenza_B
7506.influenzacategory,Infuenza_B,Influenza_B
3691.region,Centarl,Central
18162.season,2016-017,2016-2017
23681.season,2017-2081,2017-2018
23929.season,2018-019,2018-2019
896.weekending,0/07/10,02/07/10
12106.region,Lower Sothern,Lower Southern
4322.season,2010-201b1,2010-2011
20671.influenzacategory,Influenz_Total,Influenza_Total
8822.season,2012-213,2012-2013
12435.influenzacategory,Influenza_AH1pm09,Influenza_AH1pdm09
29344.region,UpperS outhern,Upper Southern
29994.region,Northren,Northern
10070.influenzacategory,Iunfluenza_Tested,Influenza_Tested
3492.season,2010f-2011,2010-2011
1227.season,2009-0210,2009-2010
786.influenzacategory,Influenza_AiH3,Influenza_AH3
23073.influenzacategory,Infxluenza_A,Influenza_A
4147.season,010-2011,2010-2011
29757.weekending,0823/20,08/23/20
8264.weekending,05/19/31,05/19/13
8016.season,2012-2031,2012-2013
18063.weekending,11/r27/16,11/27/16
13394.region,Bay Ara,Bay Area
29898.region,Ba yArea,Bay Area
29885.influenzacategory,Influenzay_AH1pdm09,Influenza_AH1pdm09
28975.weekending,i05/24/20,05/24/20
18016.influenzacategory,Influenza_ANotSbtyped,Influenza_ANotSubtyped
10063.season,2103-2014,2013-2014
27717.influenzacategory,Influenzan_B,Influenza_B
12243.season,0214-2015,2014-2015
21605.weekending,01/14/81,01/14/18
10511.region,Northen,Northern
7339.region,alifornia,California
12999.weekending,m04/19/15,04/19/15
11672.influenzacategory,Influenza_Tesed,Influenza_Tested
12791.influenzacategory,Influenzsa_Total,Influenza_Total
22579.influenzacategory,wInfluenza_BYamagata,Influenza_BYamagata
16713.season,2015h-2016,2015-2016
7800.influenzacategory,InfluenzaB_,Influenza_B
22601.weekending,05/3/18,05/13/18
20095.weekending,072/3/17,07/23/17
11732.season,201b4-2015,2014-2015
536.season,200-92010,2009-2010
19493.season,016-2017,2016-2017
12840.region,Northetrn,Northern
17020.region,Centranl,Central
7123.region,Bay Ajrea,Bay Area
12964.influenzacategory,Influenjza_AH3,Influenza_AH3
27920.season,2019-2200,2019-2020
20811.influenzacategory,Influnza_Total,Influenza_Total
16802.weekending,0703/16,07/03/16
22838.region,entral,Central
1733.season,200i9-2010,2009-2010
