code,category,description,size,total_inventory,price,sale_price,sale_end_date
311347,AMERICAN RED,Sean Minor Pinot Noir,750ML,0,24.99,NULL,NULL
322179,KOSHER,Recanati Yasmin Red Cabernet Sauvignon,750ML,0,12.99,NULL,NULL
322118,AMERICAN RED,Pendulum Red Cabernet Sauvignon,750ML,0,21.99,NULL,NULL
345960,ITALY,Fontanafredda Ebbio Langhe DOC Nebbiolo,750ML,0,26.99,NULL,NULL
406040,CHILE,CARTA VIEJA S/BLC,1.5L,5,13.99,NULL,NULL
15744,DOMESTIC CAN,SILVER BRANCH VESPUCCI CONNECTION VOL 4 4/6 CAN - 6 Pack,12.0Z,939,11.99,NULL,NULL
37067,DOMESTIC CAN,DOGFISH HEAD HAZY O 4/6 CAN - 6 Pack,12.0Z,1302,10.99,NULL,NULL
83986,CHAMPAGNE/SPARKLING,Perelada Brut Reserva Cava Blend,750ML,0,13.99,NULL,NULL
46196,ITALY,Casata Monticello Barbera d'Asti,750ML,0,13.99,NULL,NULL
239402,VODKA,Plume & Petal Lemon Drift Vodka,750ML,0,19.99,NULL,NULL
335642,AMERICAN WHITE,Cul de sac winery Pinot Grigio,750ML,0,6.99,NULL,NULL
405809,AMERICAN WHITE,Canyon Road Sauvignon Blanc,750ML,17,7.59,NULL,NULL
88427,AMERICAN WHITE,Barefoot Cellars Blueberry Fruitscato Muscat,750ML,173,8.99,NULL,NULL
13862,ITALY,Antinori Tignanello Toscana IGT Sangiovese,750ML,4,179.99,NULL,NULL
29696,VODKA,Ketel One Vodka,50ML,2446,2.99,NULL,NULL
342227,IRISH WHISKEY,West Cork Bourbon Cask Blended Irish Whiskey,750ML,9,28.99,NULL,NULL
43624,FRANCE,Domaine Lafage Novellum Chardonnay,750ML,2,21.99,NULL,NULL
88801,BOURBON/RYE,IRON SMOKE SP RES MORTALS SHARE STRAIGHT BOURB WHISKEY   750ML,750ML,55,74.99,NULL,NULL
341756,NEW ZEALAND,The Little Sheep Sauvignon Blanc,750ML,2,17.99,NULL,NULL
26639,DOMESTIC CAN,DC Brau The Corruption Ale - 6 Pack,12.0Z,1148,10.99,NULL,NULL
240591,SPECIALTY,NEW RIFF SINGLE BARREL BOURBON BARREL SELECT,750ML,234,46.99,NULL,NULL
432245,AMERICAN RED,Noble Vines 181 Merlot,750ML,290,11.99,NULL,NULL
333539,ITALY,Maculan Brentino Veneto IGT Cabernet Sauvignon,750ML,0,17.49,NULL,NULL
195545,FRANCE,Louis Latour Chameroy Macon Villages Chardonnay,750ML,0,26.99,NULL,NULL
84008,AUSTRALIA,Yellow Tail Pinot Noir,750ML,140,6.99,NULL,NULL
44211,ITALY,Sella & Mosca Riserva Cannonau di Sardegna DOC Grenache,750ML,0,17.99,NULL,NULL
72106,SCOTCH,GLENMORANGIE 10YR   GIRAFFE TIN,750ML,133,46.99,NULL,NULL
371200,TEQUILA,Los Hermanos 1978 Blanco Tequila,750ML,57,41.99,NULL,NULL
47431,VODKA,Smirnoff Green Apple Vodka,750ML,196,13.49,NULL,NULL
43532,CORDIALS,Dekuyper Luscious Razzmatazz Schnapps,1L,0,11.99,NULL,NULL
238701,MIXERS,CHI CHI PARTY PACK RTD LOOSE   187ML,187ML,5,2.99,NULL,NULL
44344,AMERICAN RED,CALERA C/C P/NOIR,750ML,0,28.99,NULL,NULL
419389,ITALY,Ciacci Piccolomini d'Aragona Toscana IGT Sangiovese,750ML,9,22.99,NULL,NULL
395471,AMERICAN RED,Layer Cake One Hundred Percent Pure Cabernet Sauvignon,750ML,221,14.99,NULL,NULL
29261,IMPORTED BOTTLE,De Dolle Special Extra Export Stout,11.2Z,0,5.99,NULL,NULL
54887,CHAMPAGNE/SPARKLING,Moet & Chandon Nectar Imperial Rose Champagne,750ML,323,78.99,NULL,NULL
365301,VODKA,Absolut Vanilia Vodka,750ML,194,23.99,NULL,NULL
82421,MIXERS,George's Old Bay Seasoned Bloody Mary Mix,1L,185,6.99,NULL,NULL
340941,NEW ZEALAND,Louis Vavasour Awatere River Pinot Noir,750ML,0,23.99,NULL,NULL
358636,MIXERS,Flybird Blood Orange Margarita,750ML,13,13.99,NULL,NULL
34924,AMERICAN WHITE,Elk Run Riesling,750ML,0,13.49,NULL,NULL
41352,AMERICAN RED,Aquinas Cabernet Sauvignon,750ML,0,22.99,NULL,NULL
298588,AMERICAN RED,DECOY LIMITED RED BLEND 750ML,750ML,116,27.99,NULL,NULL
338144,CHAMPAGNE/SPARKLING,Opici Destello Brut Reserva Cava Blend,750ML,0,17.99,NULL,NULL
74357,AMERICAN RED,Gallo Family Vineyards / Gallo of Sonoma Merlot,187ML,5,1.99,NULL,NULL
70415,GIN,New Deal 33 Portland Dry Gin,750ML,0,31.99,NULL,NULL
48532,CORDIALS,Ponche Kuba Cream Liqueur,750ML,0,17.99,NULL,NULL
353949,CHILE,Sweet Bitch Smooth & Fruity Merlot,750ML,0,8.49,NULL,NULL
22586,AMERICAN RED,Corbett Canyon Merlot,3L,15,16.99,NULL,NULL
84697,AMERICAN WHITE,The Hess Collection Hess Select Chardonnay,750ML,384,12.99,NULL,NULL
76031,FRANCE,Chateau Pourcieux Rose Cotes de Provence Red Southern Rhone Blend,750ML,361,18.99,NULL,NULL
350406,CHAMPAGNE/SPARKLING,Laurent Perrier La Cuvee Brut Champagne,750ML,311,82.99,NULL,NULL
10744,CANADIAN/BLENDED WHISKEY,Jim Beam Red Stag Black Cherry Kentucky Straight Bourbon Whiskey,375ML,0,10.99,NULL,NULL
11445,BOURBON/RYE,Amador Double Barrel Kentucky Bourbon Whiskey,750ML,0,39.99,NULL,NULL
13866,ARGENTINA,Belasco de Baquedano LLama Tivo Old Vine Cabernet Franc,750ML,17,13.99,NULL,NULL
371580,TEQUILA,Prospero Reposado Tequila,750ML,28,39.99,NULL,NULL
70607,RUM,RumHaven Coconut Rum Liqueur,750ML,238,15.99,NULL,NULL
167658,MISCELLANEOUS IMPORTED,CHUM CHURUM RICH GIFT SET 375ML,375ML,0,7.29,NULL,NULL
371712,TEQUILA,Severo Reposado Tequila,750ML,94,48.99,NULL,NULL
14702,FRANCE,Alain Jaume & Fils Domaine du Clos de Sixte Lirac Red Southern Rhone Blend,750ML,0,30.99,NULL,NULL
82007,AMERICAN RED,Harlow Ridge Cabernet Sauvignon,750ML,0,10.99,NULL,NULL
241340,SPECIALTY,Dogfish Head Alternate Takes: Volume 2 Whiskey Finished In Palo Santo Marron Ale Barrels,750ML,8,46.99,NULL,NULL
124974,CHAMPAGNE/SPARKLING,J ROGET BRUT SPARK   750ML,750ML,0,7.99,NULL,NULL
38067,RUM,Bacardi Gold Rum,50ML,2410,1.29,NULL,NULL
34703,FRANCE,Thierry and Guy Fat Bastard Shiraz,750ML,0,14.99,NULL,NULL
297711,BOURBON/RYE,WHISTLEPIG PIGGYBACK BOURBON 6YR 750ML,750ML,1012,55.99,NULL,NULL
243402,GIN,Bombay Bramble Gin,750ML,18,26.99,NULL,NULL
71211,RUM,Ron Barcelo Imperial Rum,750ML,177,27.99,NULL,NULL
10278,BOURBON/RYE,Wild Turkey 101 Kentucky Straight Bourbon Whiskey,200ML,35,9.99,NULL,NULL
83992,KOSHER,Manischewitz Blackberry Kosher Not For Passover Use Red Blend,750ML,158,7.99,NULL,NULL
40240,AMERICAN WHITE,Starmont Sauvignon Blanc,750ML,0,19.99,NULL,NULL
349079,OTHER WINE,Kakhuri Gvinis Marani Kindzmarauli Red Semi Sweet Saperavi,750ML,0,18.99,NULL,NULL
368292,BRANDY/COGNAC/GRAPPA,Asbach Privatbrand 8 Year Old Brandy,750ML,9,61.99,NULL,NULL
75450,BRANDY/COGNAC/GRAPPA,Zwack Slivovitz 3 Year Old Plum Brandy,750ML,11,22.99,NULL,NULL
73068,CANADIAN/BLENDED WHISKEY,Jack Daniel's Old No. 7 Tennesse Whiskey,100ML,0,4.39,NULL,NULL
574362,BOURBON/RYE,PINHOOK BOURBON FLAGSHIP HP,750ML,129,59.99,NULL,NULL
28712,DOMESTIC CAN,SIERRA NEVADA TORPEDO EXTRA IPA 2/12 CN - 12 Pack,12.0Z,0,18.99,NULL,NULL
48624,AMERICAN WHITE,La Crema Pinot Gris,750ML,365,17.99,NULL,NULL
297281,MIXERS,MASTER OF MIXES MAI TAI 1L,1L,0,5.99,NULL,NULL
83198,AMERICAN WHITE,Storypoint Vineyards Chardonnay,750ML,0,14.99,NULL,NULL
69426,VODKA,St. George Spiced Pear Liqueur,750ML,2,41.99,NULL,NULL
53678,PORT/SHERRY/DESSERT/VERMOUTH,Colombo Fine Dry Marsala Inzolia,1.5L,0,27.99,NULL,NULL
354258,AMERICAN RED,Brotherhood Icon Cabernet Sauvignon,750ML,0,21.99,NULL,NULL
88432,CORDIALS,Baileys Colada Limited Edition Irish Cream Liqueur,750ML,218,28.99,NULL,NULL
437298,SPAIN/PORTUGAL,Santa Quiteria BT Bodega Tintoralba Spanish Inspiration Garnacha Tintorera,750ML,0,8.59,NULL,NULL
378960,IRISH WHISKEY,JJ CORRY THE HANSON IRISH WHIS,750ML,0,35.99,NULL,NULL
348455,IRISH WHISKEY,Jameson 18 Year Old Limited Reserve Irish Whiskey,750ML,20,144.99,NULL,NULL
63626,AMERICAN WHITE,Mt. Defiance Sweet Vermouth,375ML,0,20.99,NULL,NULL
166863,BOURBON/RYE,Heaven's Door Double Barrel Whiskey,750ML,175,57.99,NULL,NULL
48775,CORDIALS,DeKuyper Razzmatazz Schnapps,750ML,0,9.99,NULL,NULL
88878,RUM,Bacardi Coconut Rum,750ML,215,12.99,NULL,NULL
240549,GIN,New Riff Kentucky Bourbon Barreled Wild Gin,750ML,244,32.99,NULL,NULL
38458,RUM,Myers's Original Dark Rum,1L,18,31.99,NULL,NULL
43919,PORT/SHERRY/DESSERT/VERMOUTH,Quinta do Noval 10 Year Old Tawny Red Port,750ML,0,29.99,NULL,NULL
45931,SPAIN/PORTUGAL,GENIUM CELLAR ECOLOGIC,750ML,0,11.99,NULL,NULL
41758,VODKA,Burnett's Watermelon Flavored Vodka,750ML,0,7.69,NULL,NULL
81502,ARGENTINA,Tilia Chardonnay,750ML,0,13.99,NULL,NULL
23422,COOLERS,Smirnoff Ice Mango - 6 Pack,11.2Z,0,8.99,NULL,NULL
71818,VODKA,New Amsterdam Grapefruit Vodka,750ML,124,10.99,NULL,NULL
42934,CHAMPAGNE/SPARKLING,Chevalier Famaey Petillant Naturel Rose Malbec,750ML,0,14.99,NULL,NULL
339100,PORT/SHERRY/DESSERT/VERMOUTH,Maynard's Fine Touriga Nacional,750ML,0,15.99,NULL,NULL
188700,AMERICAN RED,Castle Rock Cabernet Sauvignon,750ML,0,15.99,NULL,NULL
52574,CHAMPAGNE/SPARKLING,Francis Ford Coppola Sofia Blanc de Blancs White Blend,750ML,285,17.99,14.99,11/30/2022
35475,VODKA,Aristocrat Vodka,1.75L,368,11.99,NULL,NULL
41238,FRANCE,Thierry and Guy Fat Bastard Merlot,750ML,12,14.99,NULL,NULL
334598,FRANCE,Chartron et Trebuchet Bourgogne Blanc Chardonnay,750ML,0,18.99,NULL,NULL
180912,NEW ZEALAND,Kim Crawford Illuminate Sauvignon Blanc,750ML,108,16.99,NULL,NULL
70717,MIXERS,Master of Mixes Pina Colada Mix,1.75L,201,8.99,NULL,NULL
43991,ARGENTINA,Familia Zuccardi Q Malbec,750ML,0,22.99,NULL,NULL
41262,KOSHER,Bartenura Moscato Provincia di Pavia IGT Muscat,750ML,429,14.99,NULL,NULL
85262,AUSTRALIA,Jacob's Creek Classic Pinot Grigio,750ML,0,9.99,NULL,NULL
11461,VODKA,Effen Green Apple Vodka,375ML,0,16.99,NULL,NULL
322940,SPAIN/PORTUGAL,Vina Ijalba Graciano,750ML,0,27.99,NULL,NULL
70713,GIN,Cardinal Barrel Rested Gin,750ML,0,43.99,NULL,NULL
341253,AMERICAN WHITE,Carson Scott Chardonnay,750ML,0,13.49,NULL,NULL
349460,ITALY,Il Conte Stella Rosa Rose L'Originale Semi Sweet Brachetto,750ML,68,13.99,NULL,NULL
77453,NEW ZEALAND,Cloudy Bay Pinot Noir,750ML,0,42.99,NULL,NULL
80442,CORDIALS,Dr. McGillicuddy's Intense Peppermint Liqueur,50ML,54,0.99,NULL,NULL
47114,RUM,Seven Tiki Spiced Rum,750ML,0,17.99,NULL,NULL
75973,AUSTRALIA,Yellow Tail Cabernet Sauvignon,1.5L,216,11.99,NULL,NULL
80690,AMERICAN RED,Barefoot Cellars Box Pinot Noir,3L,53,19.99,NULL,NULL
18872,CHAMPAGNE/SPARKLING,Piper Heidsieck Brut Champagne,750ML,0,184.99,NULL,NULL
33332,VODKA,Belvedere Vodka,750ML,109,38.99,NULL,NULL
322127,RUM,Ron Matusalem Platino Rum,750ML,0,17.49,NULL,NULL
311588,AMERICAN WHITE,Aviary Vineyards Chardonnay,750ML,0,16.99,NULL,NULL
89021,RUM,TRANSCONTINENTAL RUM LINE AUSTRALIA 5YR   750ML,750ML,82,73.99,NULL,NULL
298583,AMERICAN TABLE,GAME BOX PINOT GRIGIO BIB 3L,3L,0,22.99,NULL,NULL
88390,BRANDY/COGNAC/GRAPPA,Paul Masson Apple Grande Amber Brandy,375ML,0,6.99,NULL,NULL
366340,TEQUILA,ArteNOM Seleccion de 1414 Reposado Tequila,750ML,6,88.99,NULL,NULL
80772,PORT/SHERRY/DESSERT/VERMOUTH,Paul Masson Madeira Malvasia,750ML,169,7.99,NULL,NULL
363626,ITALY,Casal Thaulero Terre di Chieti IGT Pinot Grigio,1.5L,4,14.99,NULL,NULL
78085,AUSTRALIA,Fisheye Pinot Grigio,1.5L,33,12.99,NULL,NULL
69539,AMERICAN RED,Sugarloaf Mountain Vineyard Comus Bordeaux Blend,750ML,95,31.99,NULL,NULL
241642,TEQUILA,Monte Alban Silver Tequila 1L,1L,74,14.99,NULL,NULL
340909,ITALY,Prime Brume Soave DOC Garganega,750ML,0,10.99,NULL,NULL
42478,TEQUILA,Yuu Baal Maguey Espadin Pechuga Mezcal,750ML,6,66.99,NULL,NULL
166832,AMERICAN TABLE,Sweetland Cellars Spiced Wassail Red Blend,1.5L,122,16.99,NULL,NULL
29963,TEQUILA,Patron Anejo Tequila,750ML,254,65.99,NULL,NULL
72102,SPAIN/PORTUGAL,Bodegas y Vinedos Escudero Platon Fuente Milano Verdejo,750ML,0,8.99,NULL,NULL
313154,AMERICAN RED,Goose Ridge Vineyards G3 Cabernet Sauvignon,750ML,0,15.99,NULL,NULL
350776,MIXERS,Jose Cuervo Golden Rose Margarita,1.75L,0,18.99,NULL,NULL
337033,NEW ZEALAND,Mount Fishtail Sauvignon Blanc,750ML,0,18.99,NULL,NULL
241948,BOURBON/RYE,Belle Meade Cask Strength Reserve Bourbon Whiskey,750ML,178,59.99,NULL,NULL
59358,NEW ZEALAND,Sileni Cellar Selection Sauvignon Blanc,750ML,0,13.99,NULL,NULL
84731,AMERICAN WHITE,Noble Vines Single Vineyard 242 Sauvignon Blanc,750ML,356,11.99,NULL,NULL
325771,AMERICAN WHITE,AUSPICION CHARD,750ML,9,12.99,NULL,NULL
69899,AMERICAN RED,Bouchon Superior Cabernet Sauvignon,750ML,0,13.99,NULL,NULL
366248,KOSHER,BINYAMINA RESERVE CHARDONNAY,750ML,0,25.99,NULL,NULL
322168,AMERICAN RED,10 Span Vineyards Cabernet Sauvignon,750ML,0,8.59,NULL,NULL
73211,SPECIALTY,Wigle Organic Monogahela Rye Whiskey,750ML,0,47.99,NULL,NULL
195863,CHAMPAGNE/SPARKLING,Perrier Jouet Grand Brut Champagne,375ML,0,23.99,NULL,NULL
34851,RUM,Goslings Black Seal Bermuda Black Rum,1.75L,18,32.99,NULL,NULL
306499,FRANCE,Chateau de Mattes Sabran Duc de Narbonne Rose Syrah,750ML,0,13.99,NULL,NULL
48199,ITALY,Fattoria La Gerla Birba Toscana IGT Sangiovese,750ML,0,37.99,NULL,NULL
317233,CHAMPAGNE/SPARKLING,Pascual Toso Brut Chardonnay,750ML,0,12.99,NULL,NULL
42642,CANADIAN/BLENDED WHISKEY,Old Elk Cognac Cask Finish Blended Straight Bourbon Whiskey,750ML,15,99.99,NULL,NULL
45427,CHAMPAGNE/SPARKLING,Conde de Subirats Brut Cava Blend,750ML,0,12.49,NULL,NULL
48506,SPECIALTY,Ole Smoky Peach Tennessee Moonshine,750ML,352,24.99,NULL,NULL
81767,AUSTRALIA,Yellow Tail Sauvignon Blanc,1.5L,248,11.99,NULL,NULL
418250,AMERICAN RED,FOX BROOK SYR,750ML,0,8.99,NULL,NULL
58580,IRISH WHISKEY,Connemara Original Peated Single Malt Irish Whiskey,750ML,2,45.99,NULL,NULL
71355,CORDIALS,Stirrings Ginger All Natural Liqueur,750ML,0,11.99,NULL,NULL
26710,IMPORTED BOTTLE,Nevskoye Classic,16.9Z,0,2.99,NULL,NULL
237260,ITALY,Tolaini Al Passo Toscana IGT Sangiovese,750ML,277,23.99,NULL,NULL
32018,GIN,Beefeater London Dry Gin,750ML,341,21.99,NULL,NULL
339892,CHILE,Emiliana Natura Rose Syrah,750ML,0,13.99,NULL,NULL
67580,CHAMPAGNE/SPARKLING,Barefoot Cellars Bubbly Brut Cuvee Chardonnay,750ML,286,10.99,NULL,NULL
89753,AMERICAN BLUSH/ROSE,Beringer Vineyards Fruity & Refreshing White Zinfandel,750ML,226,10.99,NULL,NULL
12529,BRANDY/COGNAC/GRAPPA,Christian Brothers Peach Brandy,750ML,7,9.99,NULL,NULL
85751,CHAMPAGNE/SPARKLING,Andre Pink Moscato Muscat,750ML,20,8.99,NULL,NULL
88526,AMERICAN WHITE,Black Box Tart & Tangy Sauvignon Blanc,3L,152,19.99,NULL,NULL
43261,FRANCE,Clotilde Davenne Chablis Chardonnay,750ML,0,21.99,NULL,NULL
46532,VODKA,ReVah Pomegranate Vodka,750ML,0,19.49,NULL,NULL
31111,DOMESTIC BOTTLE,Bold Rock IPA Cider - 6 Pack,12.0Z,0,9.99,NULL,NULL
19836,AMERICAN RED,Fess Parker Pinot Noir,750ML,0,37.99,NULL,NULL
139890,ARGENTINA,Familia Zuccardi Santa Julia Reserva Malbec,750ML,22,14.99,NULL,NULL
128937,FRANCE,M. Chapoutier Blanc Belleruche Cotes du Rhone White Southern Rhone Blend,750ML,267,15.99,NULL,NULL
331395,ARGENTINA,Trivento Amado Sur Torrontes,750ML,0,15.49,NULL,NULL
190454,KOSHER,Hagafen Chardonnay,750ML,0,37.99,NULL,NULL
244026,AMERICAN WHITE,WOODMONT CC S/BLC,750ML,0,11.99,NULL,NULL
43952,AMERICAN RED,Paso Creek Zinfandel,750ML,0,17.99,NULL,NULL
240520,AMERICAN RED,1000 Stories Gold Rush Red Bourbon Barrel Aged Red Blend,750ML,0,18.99,NULL,NULL
26272,DOMESTIC CAN,Bud Light Can,25.0Z,0,2.99,NULL,NULL
332316,ITALY,Podere Castorani Cadetto Organic Montepulciano D'Abruzzo DOC,750ML,0,13.99,NULL,NULL
400424,AMERICAN RED,Angeline Winery Pinot Noir,750ML,394,13.99,NULL,NULL
302798,AMERICAN RED,ANCIENT PEAKS CAB,750ML,1008,22.99,NULL,NULL
80013,ITALY,Bolla Provincia di Pavia IGT Pinot Noir,1.5L,0,17.99,NULL,NULL
82555,ITALY,Canti Estate Barbera d'Asti,750ML,0,14.49,NULL,NULL
297391,AMERICAN RED,INTERCEPT RED BLEND,750ML,0,17.39,NULL,NULL
314711,AMERICAN WHITE,Long Shadows Wineries Nine Hats Riesling,750ML,0,17.99,NULL,NULL
32245,SPECIALTY,OLE SMOKY MOONSHINE PINEAPPLES 40 750ML,750ML,76,25.99,NULL,NULL
73504,PORT/SHERRY/DESSERT/VERMOUTH,Christian Brothers Cream Sherry,1.5L,0,9.49,NULL,NULL
76295,AMERICAN WHITE,Barefoot Cellars Chardonnay,1.5L,274,12.99,NULL,NULL
350711,FRANCE,BADER MIMEUR CHASSAGNE MONTRACHET RED,750ML,0,63.99,NULL,NULL
82580,ITALY,Santa Cristina (Antinori) Santa Cristina Delle Venezie IGT Pinot Grigio,750ML,69,14.99,NULL,NULL
367276,BRANDY/COGNAC/GRAPPA,Subarashii Kudamono Asian Pear Eau de Vie,375ML,97,24.99,NULL,NULL
71983,LIQ BASED SELTZER,High Noon Tropical Limited Edition Hard Seltzer Variety Pack - 8 Pack,355ML,3857,18.99,NULL,NULL
74225,AMERICAN RED,Manischewitz Kosher for Passover Concord,3L,37,18.99,NULL,NULL
119628,ITALY,Codirosso Chianti Chianti Blend,750ML,0,13.99,NULL,NULL
235314,OTHER WINE,Els Iced Coffee,750ML,7,13.99,NULL,NULL
42560,CORDIALS,Caffe Lolita Coffee Liqueur,1.75L,164,18.99,NULL,NULL
300336,CORDIALS,Mata Hari Absinthe Bohemian,750ML,0,49.99,NULL,NULL
41443,AMERICAN RED,Barboursville Vineyards Cabernet Sauvignon,750ML,0,21.99,NULL,NULL
300250,ITALY,Eredi Lodali Moscato d'Asti,750ML,0,12.49,NULL,NULL
319479,ARGENTINA,QUARA ESTATE MAL,750ML,0,13.99,NULL,NULL
310934,SPAIN/PORTUGAL,Volte Face Private Selection Branco Antao Vaz,750ML,0,18.49,NULL,NULL
49659,CORDIALS,Luxardo Cherry �Sangue Moralcco� Liqueur,750ML,16,23.99,NULL,NULL
402435,AMERICAN WHITE,A to Z Wineworks Riesling,750ML,10,19.99,NULL,NULL
333170,SPAIN/PORTUGAL,Roque Colas Tinto Alhama de Aragon Rare Red Blend,750ML,0,32.99,NULL,NULL
41139,GIN,Filibuster Dual Cask Gin,750ML,54,31.99,NULL,NULL
355286,AMERICAN WHITE,Diora La Splendeur du Soleil Chardonnay,750ML,32,18.99,NULL,NULL
39748,AUSTRALIA,The Little Penguin Merlot,1.5L,0,22.99,NULL,NULL
40667,AMERICAN RED,Folie a Deux Cabernet Sauvignon,750ML,0,27.99,NULL,NULL
70109,VODKA,Deep Eddy Ruby Red Grapefruit Vodka,750ML,415,15.99,NULL,NULL
43281,BRANDY/COGNAC/GRAPPA,Hennessy V.S.O.P Privilege Cognac,200ML,32,23.99,NULL,NULL
350907,CHAMPAGNE/SPARKLING,Domaine Chandon Brut Classic Methode Traditionnelle Sparkling Blend,375ML,0,16.99,NULL,NULL
334690,FRANCE,Chateau La Graviere Entre deux Mers Semillon,750ML,0,9.99,NULL,NULL
356496,SPAIN/PORTUGAL,Bodega la Milagrosa Milcampos Vinas Viejas Tempranillo,750ML,0,14.99,NULL,NULL
70760,VODKA,Svedka Strawberry Lemonade Vodka,750ML,239,11.99,NULL,NULL
66538,DOMESTIC CAN,DEVILS BACKBONE JUICY MAGIC IPA 4/6 CN - 6 Pack,12.0Z,102,12.99,NULL,NULL
312997,ITALY,Cantina di Bertiolo Villa San Martino Venezia Giulia IGT Pinot Grigio,750ML,0,9.79,NULL,NULL
70221,VODKA,Ivanabitch Red Berry Flavored Vodka,750ML,0,12.49,NULL,NULL
79813,VODKA,Smirnoff Kissed Caramel Vodka,750ML,268,12.99,NULL,NULL
96172,IMPORTED BOTTLE,Amstel Light - 6 Pack,12.0Z,1668,10.99,NULL,NULL
12963,BOURBON/RYE,Old Grand Dad High Rye Mash Bill Kentucky Straight Bourbon Whiskey,1L,23,19.99,NULL,NULL
421103,CHAMPAGNE/SPARKLING,Zonin Prosecco Glera,187ML,0,4.19,NULL,NULL
352628,FRANCE,Domaine Paul Autard Chateauneuf du pape Red Southern Rhone Blend,375ML,0,28.99,NULL,NULL
21482,FRANCE,Marcel Langoux Pouilly Fume Sauvignon Blanc,750ML,314,28.99,NULL,NULL
46754,ITALY,TERRAZZA P/GRIG,750ML,0,13.99,NULL,NULL
169722,FRANCE,Chateau Ferrande Graves Bordeaux Blend,750ML,0,29.99,NULL,NULL
45438,BRANDY/COGNAC/GRAPPA,Hiram Walker Peach Flavored Brandy,200ML,0,3.99,NULL,NULL
41413,ARGENTINA,Bodega Santa Julia Late Harvest 'Tardio' Torrontes,500ML,0,17.99,NULL,NULL
427228,NEW ZEALAND,Tenuta Campo Di Sasso Frenzy Sauvignon Blanc,750ML,7,21.99,NULL,NULL
80439,AMERICAN RED,Beringer Vineyards Main & Vine Red Crush Red Blend,1.5L,0,14.99,NULL,NULL
32216,LIQ BASED RTD,OLE SMOKY COCKTAIL MOUNTAIN MULE 6/4PK   12OZ CAN - 4 Pack,12.0Z,685,14.99,NULL,NULL
81039,FRANCE,Ermitage du Pic St. Loup Rose Pic Saint loup Red Southern Rhone Blend,750ML,0,17.49,NULL,NULL
407054,ARGENTINA,Luigi Bosca La Linda Torrontes,750ML,0,15.99,NULL,NULL
358624,ARGENTINA,Bodega Renacer Punto Final Classico Malbec,750ML,0,11.99,NULL,NULL
322348,AMERICAN WHITE,True Myth Paragon Vineyard Chardonnay,750ML,0,15.99,NULL,NULL
80646,AMERICAN RED,Liberty Creek Winemaker's Selection Cabernet Sauvignon,500ML,0,4.59,NULL,NULL
70840,SCOTCH,Grant's The Family Reserve Blended Scotch Whisky,1L,0,21.99,NULL,NULL
73463,VODKA,Firefly Sweet Tea Vodka,1.75L,144,24.99,NULL,NULL
72326,TEQUILA,Milagro Silver Tequila,1.75L,158,58.99,NULL,NULL
30854,IMPORTED CAN,Stella Artois Can - 12 Pack,11.2Z,0,22.99,NULL,NULL
54941,RUM,Flor de Cana 18 Year Old Centenario Gold Rum,750ML,138,48.99,NULL,NULL
305495,FRANCE,Laudun Chusclan Vignerons Cachette Cotes du Rhone Red Southern Rhone Blend,750ML,0,15.99,NULL,NULL
4707,DOMESTIC CAN,Yuengling Traditional Lager - 24 Pack,12.0Z,154,24.99,NULL,NULL
51276,CORDIALS,Tia Maria Liquer,750ML,28,29.99,NULL,NULL
56960,FRANCE,Domaine Vincent Delaporte Sancerre Sauvignon Blanc,750ML,0,49.99,NULL,NULL
41509,BRANDY/COGNAC/GRAPPA,Jacopo Poli Ciliegie di Poli Cherry Brandy,750ML,0,84.99,NULL,NULL
77593,AMERICAN RED,Kendall Jackson Vintner's Reserve Cabernet Sauvignon,375ML,227,12.49,NULL,NULL
336878,ITALY,Branizzi Veneto IGT Pinot Grigio,750ML,0,12.99,NULL,NULL
437301,SPAIN/PORTUGAL,Bodega Tintoralba Altitud 1.100 Tinto Garnacha Tintorera,750ML,0,9.79,NULL,NULL
352878,SPAIN/PORTUGAL,FAISAO VINHO VERDE,750ML,0,11.99,NULL,NULL
89067,SPECIALTY,OLE SMOKY SHINE NOG CREAM MOONSHINE   50ML,50ML,1133,3.79,NULL,NULL
47526,VODKA,Vincent Van Gogh Rich Dark Chocolate Vodka,750ML,0,29.99,NULL,NULL
296950,ITALY,Opera Rigoletto Chianti DOCG Sangiovese,750ML,8,19.99,NULL,NULL
18803,LIQ BASED RTD,BUTTERFLY LEMON LIME VODKA SODA RTD 6/4 CANS - 4 Pack,355ML,984,15.99,NULL,NULL
72451,SPAIN/PORTUGAL,Marques de Riscal Reserva Rioja Red Blend,750ML,282,23.99,NULL,NULL
70440,RUM,Seacrets Coconut Rum,750ML,170,24.99,21.99,11/30/2022
312532,GREECE,Siatista Winery DioFili Xynomavro,750ML,0,14.99,NULL,NULL
377984,CHAMPAGNE/SPARKLING,Charles Orban Carte Noire Champagne,375ML,0,23.99,NULL,NULL
328047,SPAIN/PORTUGAL,Beso del Sol Red Sangria Tempranillo,3L,1,24.99,NULL,NULL
296936,IRISH WHISKEY,Limavady Single Barrel Single Malt Irish Whiskey,750ML,107,49.99,NULL,NULL
46244,AMERICAN WHITE,Crane Lake Riesling,750ML,0,7.99,NULL,NULL
367888,BOURBON/RYE,SAGAMORE SPIRIT RYE BARREL 33,750ML,58,54.99,NULL,NULL
84934,CHILE,Concha y Toro Frontera Pinot Grigio,1.5L,86,10.39,NULL,NULL
