fullcomplaintid(long),complaintyearnumber(long),monthnumber(long),recordcreatedate,complaintprecinctcode(long),patrolboroughname,county,lawcodecategorydescription,offensedescription,pdcodedescription,biasmotivedescription,offensecategory,arrestdate,arrestid
201907912356217.0,2019,5,05/01/2019,79.0,PATROL BORO BKLYN NORTH,KIGNS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religon/Religious Practice,05/01/2021,B31682806
201907912598517.0,2019,7,07/28/2019,79.0,PATROL BORO BKLYN NORTH,KINGuS,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,07/28/2019,K31710604
201907912598517.0,2053,45,7/28/2019,97.0,PATROL BORO BKLYN NORTH,KIGNS,FELwONY,ROBBfERY,"ROBBERY,PERSONAL ELECTRONIC DEVIEC",ANTI-MALEHOMOSEXUAL (GAY),Sexual Orientatin,07/28/v2019,K31710607
201907912656117.0,2019,8,08/20/2019,79.0,PATROL BORO BKLYN NORTH,KIGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-TRANSGENDER,Gender,05/01/2021,B31682806
201907912783717.0,2019,9,10/02/2019,79.0,PATROL BOROB KLYN NORTH,KINGS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201907912786117.0,2019,9,10/02/2019,79.0,PATROL BORO BKLYN NORTH,INGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201907912793317.0,2019,10,10/06/2019,79.0,PATROL BORO BKLYN NORTH,KINGS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B3682806
201907912812617.0,2019,10,10/13/2019,79.0,PATROL BORO BKLYN NORTH,KINSG,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201907912825417.0,2019,10,10/17/2019,79.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201908112355917.0,2019,6,06/13/2019,81.0,PATROL BORO BKLYN NORTH,KuINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",ANTI-JEWISH,Religion/Religious Practice,06/14/2019,K31702902
201908112355917.0,2074,12,0613/2019,177.0,PATROL BORO BLKYN NORTH,KINGS,FELNOY,GRANwD LARCENY,"LARCENY,GRAND FORM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",ANvTI-JEWISH,Religion/Religious bPractice,05/01/2021,B31682806
201908112373817.0,2019,6,06/22/2019,81.0,PATROL BORO BKLYN NORTH,KINSG,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,07/24/2019,K31709845
201908312225217.0,2019,3,03/14/2019,83.0,PATROL BOR OBKLYN NORTH,KINGS,FELOcNY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412100817.0,2019,1,01/14/2019,84.0,PATROL BORO BKLYN NORTH,KIhNGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Geqnder,01/14/2019,K31674720
201908412126817.0,2019,1,01/30/2019,84.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412176417.0,2019,2,02/27/2019,84.0,PATROL BORO BKLYN NOTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682806
201908412250117.0,2019,4,04/07/2019,84.0,PATROL BORO BKLYN NORTH,INGS,FELONY,MISCELLANEOUS PENALL AW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412252917.0,2019,4,04/08/2019,84.0,PATROL BORO BKLYN NORTH,INGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412296417.0,2019,5,05/02/2019,84.0,PATROL BORO BKLYN NORTH,KINGS,FELOYN,MISCELLANExOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908412390717.0,2019,6,06/22/2019,84.0,PATROL BORO BKLYN NORTH,IKNGS,FELONY,ROBBERY,"ROBBERY,CAR JACKING",ANTI-MUSLIM,Religion/Religious Practice,06/22/2019,K31704373
201908412443717.0,2019,7,07/19/2019,84.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2n021,B31682806
201908412456017.0,2019,7,07/27/i2019,84.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-BLACK,Race/Color,07/26/2019,K31710427
201908412543317.0,2019,9,m09/14/2019,84.0,PATROL BOR BKLYN NORTH,KINS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201908412726317.0,2019,12,12/18/2019,84.0,PATROL BORO BKqLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Race/Color,05/01/2021,B31682806
201908812112217.0,2019,1,01/31/2019,88.0,ATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,Bi31682806
201908812252117.0,2019,5,05/2/2019,88.0,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,06/06/2019,K31701421
201908812370117.0,2019,8,08/06/2019,88.0,PATROL BORO BKLYN NORTH,KIGNS,FELONpY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201908812430617.0,2019,9,09/15/2019,88.0,PATROL BORO BbKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,09/15/2019,K31718849
201908812467417.0,2019,10,10/10/2019,88.0,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31h682806
201908812580917.0,2019,12,12/28/2019,88.0,PATROL BORO BKLYN NORTH,KINGS,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201909012174317.0,2019,2,02/16/2019,90.0,PATROL BORO BKLYN NORTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B316z82806
201909012346417.0,2019,5,05/04/2019,90.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practcie,05/01/2021,B31682806
201909012354617.0,2019,5,05/08/2019,90.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/15/2019,K31697392
201909012356917.0,2019,5,05/08/2019,90.0,PATROL BORO BKLYN NORTH,KINGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012373617.0,2019,5,05/14/2019,90.0,PATROL BORO BKLYN NORTH,KINS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2***,ANTI-TRANSEGNDER,Gender,05/01/2021,B31682806
201909012412117.0,2019,5,05/30/2019,90.0,PATROL BORO BKLYN NORTH,KINGS,FEOLNY,MISCELLANEOUS PENAL LWA,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B316d82806
201909012560417.0,2019,7,07/30/b2019,90.0,PATROL BORO BKLYN NORTH,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,UNCL",ANTI-JEWISH,Religion/Religious Pactice,05/01/2021,B31682806
201909012689717.0,2019,9,09/22/2019,90.0,PATROL BORO BKLYN NORTH,KINSG,MISDEMEANzOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ARAB,Ethnicity/National Origin/Ancestry,09/22/2019,K31719978
201909012691217.0,2019,9,09/22/2019,90.0,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCLLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012713017.0,2019,9,10/02/2019,90.0,PATROL BORO BKLYN NORTH,KNGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012772317.0,2019,10,10/27/2019,90.0,PATROL BORO BKLYN NORTH,KINGS,FELONeY,ISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909012833017.0,2019,11,11/21/2019,90.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412079117.0,2019,1,01/07/2019,94.0,PATROL BORO BKLYN NORTH,KIGNS,MISDEMEANOR,CRIMINAL MISCHmIEF & RELATED OF,"CRIMINAL MISCHIFE,UNCLASSIFIED 4",ANTI-JEWISH,Religio/Religious Practice,04/06/2019,K31690180
201909412084317.0,2019,1,01/12/2019,94.0,PATROL BORO BKLYN NORTH,INGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412091217.0,2019,1,01/17/2019,94.0,PATROL BORO BKLYN NORTH,KINSG,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412104517.0,2019,1,01/28/2019,94.0,PATROL BORO BKLYN NORTH,KINSG,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412108317.0,2019,1,01/31/2019,94.0,PATROL BORO BKLYN NORTH,KINGS,ELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Prcatice,05/01/2021,B31682806
201909412156917.0,2019,3,03/12/2019,94.0,PATROL BORO BKLYN NORTH,KIeNGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412158317.0,2019,3,03/13/2019,94.0,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412162917.0,2019,3,03/16/2019,94.0,PATROL BORO BKLYN NORTH,KINSG,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412183117.0,2019,3,04/01/2019,94.0,PATROL BORO BKLYN NORTH,KINSG,xFELONY,MISCELANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/06/2019,K31690178
201909412187817.0,2019,4,04/05/2019,94.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATE HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,04/06/2019,K31690179
201909412188617.0,2019,4,04/06/2019,94.0,PATROL BORO BKLYN NORTH,KIGS,FELONaY,MISCELLANEOUS PENALLAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/05/2019,K31690185
201909412188717.0,2019,4,04/06/2019,94.0,PATROL BORO BKLYN NORTH,IKNGS,FELOYN,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/05/2019,K31690190
201909412229417.0,2019,5,05/09/2019,94.0,PATROL BORO BKLYN NORTH,INGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANIT-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412267917.0,2019,6,06/10/2019,94.0,PATROL BORO BKLYN NORTH,KNGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,06/11/2019,K3170e2285
201909412461317.0,2019,11,11/03/2019,94.0,PATROL BORO BKLYN NORTH,KNGS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-CATHOLIC,Religion/Religious Practice,11/03/2019,K3172601
201909412480217.0,2019,11,11/20/2019,94.0,PATROL BORO BKLYN NORTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201909412495217.0,2019,12,12/05/2019,94.0,PATROL BORO BKLYN NORTH,KNIGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientatin,05/01/2021,B31682806
201909412514117.0,2019,12,12/22/2019,94.0,PTAROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910012134217.0,2019,3,03/11/2019,100.0,PATROL BORO QUEENS SOUTH,QUEENS,FEOLNY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,05/01/2021,B3168286
201910012328417.0,2019,9,09/02/2019,100.0,PATROL BORO QUEENS SOUTH,QUEENS,FELrONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/ReligiousPractice,05/01/2021,B31682806
201910012367417.0,2019,10,10/03/2019,100.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
201910112130217.0,2019,2,02/11/2019,101.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,06/27/2019,Q31696251
201910112130217.0,2072,36,021/1/2019,180.0,PATROL BORO QUENS SOUTH,UEENS,MISDEMEAOR,OFF. GNST PUB ORD SENSBLTY &,AGGRVAATED HARASSMENT 2,ANTI-JEWIH,Religion/Remligious Practice,08/28/2019,Q31704457
201910112540217.0,2019,10,10/15/2019,101.0,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,10/15/2019,Q31710151
201910112649317.0,2019,12,12/24/2019,101.0,PATROL BORO QUEENS SOUTH,QUEENS,ELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910212216417.0,2019,3,03/18/2019,102.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910212301317.0,2019,4,04/30/2019,102.0,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANT-MUSLIM,Religion/Religious Practice,04/29/2019,Q31688353
201910212380117.0,2019,6,06/08/2019,102.0,PATROL BORO QUEENS SOUTH,QUEENS,FELOpNY,MISCELLANEOUS PENAL LAW***,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/0221,B31682806
201910312418917.0,2019,5,05/14/2019,103.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MUSLIM,eRligion/Religious Practice,05/14/2019,Q31690349
201910312891417.0,2019,10,10/28/2019,103.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWSH,Religion/Religious Practice,05/01/2021,B31682806
201910412211717.0,2019,1,03/05/2019,104.0,PATROL BORO QUEENS NORTH,QUEENS,FELbONY,MISCELLANEOUS PENA LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412247817.0,2019,3,03/22/2019,104.0,PATROL BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412384417.0,2019,5,05/23/2019,104.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201910412503517.0,2019,7,07/09/2019,104.0,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MSICHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412540317.0,2019,7,07/23/2019,104.0,PATROL BORO QUEENS NORTH,QUEENS,FEOLNY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412549617.0,2019,7,07/26/2019,104.0,PATRO BORO QUEENS NORTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682806
201910412568617.0,2019,8,08/v04/2019,104.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201910412607917.0,2019,8,08/21/2019,104.0,PATROL BORO QUEENS NORTH,QUEENS,FELOxNY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910412634917.0,2019,9,09/01/2019,104.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201910412758717.0,2019,10,10/25/2019,104.0,PATROL BORO QUEENS NORTH,QUEESN,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201910512386517.0,2019,4,04/27/2019,105.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201910512537817.0,2019,6,06/17/2019,105.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910512702117.0,2019,8,08/07/2019,105.0,PATROL BORO QUEENS SOUTH,QUEENhS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & ,2 OF M",ANTI-JEWISH,Religion/Religioous Practice,05/01/2021,B31862806
201910612825517.0,2019,11,11/q28/2019,106.0,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-WHITE,Race/Cnolor,05/01/2021,B3168280j6
201910712182617.0,2019,3,03/05/2019,107.0,PATROL BORO QUEENS SOUTH,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910712191217.0,2019,3,03/11/2019,107.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910712201217.0,2019,3,03/16/219,107.0,PATROL BORO QUEENS SOUTH,QUENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,NTI-JEWISH,Religion/Religious Practice,05/01/021,B31682806
201910712236517.0,2019,4,04/03/2019,107.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,04/05/2019,Q31685005
201910712236517.0,2112,64,04/w03/2019,204.0,PATROL ORO QUEENS SOUTH,QUEES,MISDEEMANOR,ASSAULT 3 & RELATEDO FFENSES,SSAULT 3,ANTI-MALE nHOMOSEXUAL (GAY),Sexual Orienptation,04/04/2019,Q31684836
201910712265617.0,2019,4,04/17/2019,107.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201910712299517.0,2019,5,05/08/2019,107.0,PATROL BORO QUEENS SOUTH,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ATNI-JEWISH,Religion/Religious Practice,05/0/2021,B31682806
201910712594417.0,2019,10,10/01/2019,107.0,PATROL BORO QUEENS SOUTH,QUEENS,FLONY,ISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910812204617.0,2019,3,03/13/2019,108.0,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MI 2 & 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910812517517.0,2019,8,08/15/2019,108.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINA MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910812526917.0,2019,8,08/20/2019,108.0,PATROL BORO QUEENS NORTH,QUEENS,MSIDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2s021,B31682806
201910812545017.0,2019,8,08/30/2019,108.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910812641817.0,2019,10,10/22/2019,108.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201910912118117.0,2019,1,01/16/2019,109.0,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-BUDDHIST,Religion/Religious Pracjtice,05/01/2021,B31682806
201910912344017.0,2019,3,04/01/2019,109.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRMIINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201910912803517.0,2019,8,08/15/2019,109.0,PATROL BORO QUENS NORTH,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201911012419317.0,2019,5,05/26/2019,110.0,PATROL BORO QUEENS NORTH,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201911012501517.0,2019,6,06/29/2019,110.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,06/29/2019,Q31696472
201911012501917.0,2019,6,06/29/2019,110.0,PATROL BORO QUEENS NORTH,QUEENS,MISgDEMEANOR,ASSAULT 3 &RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,07/23/2019,Q31699814
201911012502017.0,2019,6,0/29/2019,110.0,PATROL BORO QUEENS NORTH,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,07/23/2019,Q31699816
