fullcomplaintid,complaintyearnumber,monthnumber,recordcreatedate,complaintprecinctcode,patrolboroughname,county,lawcodecategorydescription,offensedescription,pdcodedescription,biasmotivedescription,offensecategory,arrestdate,arrestid
202000512241617.0,2020,5,05/20/2020,5.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202000512435517.0,2020,10,10/25/2020,5.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-WHITE,Race/Color,05/01/2021,B31682806
202000612250017.0,2020,4,04/21/2020,6.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-ASIAN,Race/Color,05/01/2021,B31682806
202000612281517.0,2020,5,05/24/2020,6.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,MENACING 1ST DEGREE (VICT NOT,ANTI-ASIAN,Race/Color,05/24/2020,M32688260
202000612439017.0,2020,9,09/12/2020,6.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-MULTI-RACIAL GROUPS,Race/Color,09/27/2022,M34708270
202000612477117.0,2020,10,10/05/2020,6.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202000612584317.0,2020,12,12/18/2020,6.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,PUBLIC PLACE INSIDE",ANTI-ASIAN,Race/Color,01/11/2021,M33673062
202000612584317.0,2020,12,12/18/2020,6.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,PUBLIC PLACE INSIDE",ANTI-ASIAN,Race/Color,04/14/2021,M33683594
202000712108917.0,2020,1,01/27/2020,7.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202000712162017.0,2020,3,03/04/2020,7.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202000712189317.0,2020,3,03/25/2020,7.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-TRANSGENDER,Gender,05/01/2021,B31682806
202000712242517.0,2020,5,05/16/2020,7.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,09/27/2020,M32697732
202000712456417.0,2020,10,10/24/2020,7.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,10/24/2020,M32700595
202000912584617.0,2020,12,12/26/2020,9.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,12/26/2020,M32706808
202001012217017.0,2020,5,05/05/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,DWELLING",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,07/16/2020,M32692250
202001012253017.0,2020,6,06/12/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,06/12/2020,M32690599
202001012266817.0,2020,6,06/25/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
202001012269817.0,2020,6,06/27/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Race/Color,05/01/2021,B31682806
202001012271017.0,2020,6,06/28/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
202001012275317.0,2020,6,06/30/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
202001012277017.0,2020,1,06/30/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,SEX CRIMES,SEXUAL ABUSE,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,02/22/2021,M33677656
202001012278617.0,2020,6,07/02/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
202001012297217.0,2020,7,07/17/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
202001012297317.0,2020,7,07/17/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
202001012341417.0,2020,8,08/19/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Race/Color,05/01/2021,B31682806
202001012348217.0,2020,8,08/24/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
202001012396417.0,2020,10,10/01/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
202001012410217.0,2020,10,10/13/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,11/30/2020,M32704105
202001012488217.0,2020,12,12/28/2020,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,12/28/2020,M32706958
202001312183717.0,2020,2,02/09/2020,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001312284817.0,2020,3,03/16/2020,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,03/16/2020,M32682870
202001312317417.0,2020,4,04/08/2020,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-ASIAN,Race/Color,05/01/2021,B31682806
202001312465617.0,2020,7,07/06/2020,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001312594217.0,2020,9,09/02/2020,13.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,05/01/2021,B31682806
202001312649417.0,2020,9,09/27/2020,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001312781717.0,2020,11,11/22/2020,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,01/04/2021,M33672323
202001412308717.0,2020,3,03/10/2020,14.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,04/08/2020,M32684360
202001412311317.0,2020,3,03/11/2020,14.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,05/01/2021,B31682806
202001712128017.0,2020,2,02/11/2020,17.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,MAKING TERRORISTIC THREAT,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001712210617.0,2020,5,05/03/2020,17.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,05/01/2021,B31682806
202001712294417.0,2020,7,07/24/2020,17.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,05/01/2021,B31682806
202001812119417.0,2020,1,01/17/2020,18.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,01/16/2020,M32674183
202001812252117.0,2020,3,03/04/2020,18.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001812264217.0,2020,3,03/08/2020,18.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001812697817.0,2020,12,12/04/2020,18.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,12/15/2020,M32705927
202001912274917.0,2020,3,03/08/2020,19.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001912359517.0,2020,4,04/25/2020,19.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001912730417.0,2020,9,09/29/2020,19.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202001912820617.0,2020,11,11/03/2020,19.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,12/08/2020,M32705066
202002012110917.0,2020,1,01/30/2020,20.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202002012211417.0,2020,5,05/12/2020,20.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,05/01/2021,B31682806
202002012233017.0,2020,6,06/06/2020,20.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,POCKETBOOK/CARRIED BAG",ANTI-GENDER NON-CONFORMING,Gender,05/01/2021,B31682806
202002212087817.0,2020,7,07/26/2020,22.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-MULTI-RACIAL GROUPS,Race/Color,05/01/2021,B31682806
202002312148217.0,2020,2,02/05/2020,23.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BLACK,Race/Color,02/14/2020,M32678261
202002312217217.0,2020,3,03/10/2020,23.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,03/13/2020,M32682532
202002312217317.0,2020,3,03/10/2020,23.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,03/13/2020,M32682527
202002312275017.0,2020,4,04/14/2020,23.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,05/01/2021,B31682806
202002412235017.0,2020,4,04/19/2020,24.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,05/01/2021,B31682806
202002412493417.0,2020,10,10/13/2020,24.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202002412572617.0,2020,12,12/09/2020,24.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202002412581417.0,2020,12,12/16/2020,24.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
202002512166717.0,2020,2,02/10/2020,25.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-BLACK,Race/Color,05/01/2021,B31682806
202002512604117.0,2020,9,09/24/2020,25.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202002512663117.0,2020,10,10/20/2020,25.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-BLACK,Race/Color,05/01/2021,B31682806
202002612093317.0,2020,1,01/20/2020,26.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Race/Color,05/01/2021,B31682806
202002612310417.0,2020,3,09/06/2020,26.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202002612342817.0,2020,10,10/06/2020,26.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202002812142317.0,2020,2,02/11/2020,28.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
202003012103417.0,2020,1,01/24/2020,30.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-LGBT (MIXED GROUP),Sexual Orientation,01/30/2020,M32676128
202003012103417.0,2020,1,01/24/2020,30.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-LGBT (MIXED GROUP),Sexual Orientation,02/19/2020,M32678917
202003012319017.0,2020,7,07/09/2020,30.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,05/01/2021,B31682806
202003012447017.0,2020,10,10/09/2020,30.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
202003012455617.0,2020,10,10/16/2020,30.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
202003212159017.0,2020,2,02/12/2020,32.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202003212518317.0,2020,8,08/25/2020,32.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-WHITE,Race/Color,08/25/2020,M32694928
202003412087917.0,2020,12,01/09/2020,34.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
202003412091917.0,2020,1,01/11/2020,34.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-CATHOLIC,Religion/Religious Practice,05/01/2021,B31682806
202003412137417.0,2020,2,02/03/2020,34.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202003412440217.0,2020,8,08/01/2020,34.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
202004012201517.0,2020,1,01/31/2020,40.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
202004012235917.0,2020,2,02/07/2020,40.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,05/01/2021,B31682806
202004012336917.0,2020,3,03/02/2020,40.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,05/01/2021,B31682806
202004012762317.0,2020,7,07/07/2020,40.0,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,07/07/2020,B32690513
202004012762317.0,2020,7,07/07/2020,40.0,PATROL BORO BRONX,BRONX,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,07/07/2020,B32690509
202004012846517.0,2020,7,07/31/2020,40.0,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,08/06/2020,B32692369
202004013353317.0,2020,12,12/13/2020,40.0,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,05/01/2021,B31682806
202004013353317.0,2020,12,12/13/2020,40.0,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,01/08/2021,B33672940
202004313286617.0,2020,12,12/18/2020,43.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MUSLIM,Religion/Religious Practice,05/01/2021,B31682806
202004412215017.0,2020,2,02/06/2020,44.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,02/06/2020,B32676594
202004412287617.0,2020,2,02/26/2020,44.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
202004412397317.0,2020,3,03/28/2020,44.0,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,03/28/2020,B32682490
202004412397317.0,2020,3,03/28/2020,44.0,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,03/28/2020,B32682492
202004412397317.0,2020,3,03/28/2020,44.0,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,11/03/2020,B32700799
202004412397317.0,2020,3,03/28/2020,44.0,PATROL BORO BRONX,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,03/28/2020,B32682489
202004412467317.0,2020,4,04/25/2020,44.0,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202004412913817.0,2020,9,09/01/2020,44.0,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202004413034117.0,2020,10,10/03/2020,44.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202004512421317.0,2020,6,06/18/2020,45.0,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202004512477317.0,2020,7,07/18/2020,45.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BLACK,Race/Color,11/10/2020,B32701468
202004512685317.0,2020,11,11/07/2020,45.0,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202004812794517.0,2020,10,10/08/2020,48.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,10/08/2020,B32698112
202004912290917.0,2020,4,04/12/2020,49.0,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/29/2020,B32684534
202005012120817.0,2020,12,01/26/2020,50.0,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202005012510717.0,2020,10,10/09/2020,50.0,PATROL BORO BRONX,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202005212855217.0,2020,9,09/18/2020,52.0,PATROL BORO BRONX,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682806
202006012090817.0,2020,1,01/10/2020,60.0,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202006012150017.0,2020,2,02/06/2020,60.0,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202006012153917.0,2020,2,02/08/2020,60.0,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
202006012212017.0,2020,3,03/06/2020,60.0,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
