characteristic,sex,raceethnicity,year,percentage,standard_erroron_percentage,noteon_percentage,countinthousands,standard_erroron_countinthousands,noteon_count
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,36.9%,1.65,,755.0,42.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,34%,1.61,,705.0,40.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,34.2%,1.59,,731.0,41.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,41.9%,1.64,,912.0,45.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,41.4%,2.16,,910.0,48.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,39.9%,1.9,,883.0,44.0,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,38.7%,2.33,,870.0,53.0,
Hispanic,Female,Hispanic,2000,25.4%,1.72,,498.0,38.0,
Hispanic,Female,Hispanic,2001,26.1%,1.67,,551.0,40.0,
Hispanic,Female,Hispanic,2002,24.4%,1.51,,540.0,38.0,
Hispanic,Female,Hispanic,2003,29.4%,1.6,,651.0,41.0,
Hispanic,Female,Hispanic,2004,28.2%,1.56,,647.0,41.0,
Hispanic,Female,Hispanic,2005,29.5%,1.58,,675.0,42.0,
Hispanic,Female,Hispanic,2006,27.6%,1.52,,660.0,42.0,
Hispanic,Female,Hispanic,2007,33%,1.57,,816.0,46.0,
Hispanic,Female,Hispanic,2008,28.9%,1.5,,723.0,43.0,
Hispanic,Female,Hispanic,2009,31%,1.5,,803.0,46.0,
Hispanic,Female,Hispanic,2010,36.1%,1.6,,995.0,46.0,
Hispanic,Female,Hispanic,2011,39.4%,1.58,,1073.0,47.0,
Hispanic,Female,Hispanic,2012,41.7%,1.73,,1294.0,58.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,52.8%,3.45,,296.0,28.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,58.9%,3.38,,334.0,29.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,61.9%,3.06,,377.0,29.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,60.4%,3.15,,350.0,28.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,57.7%,3.24,,323.0,27.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,58.8%,3.28,,318.0,27.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,58.3%,3.27,,320.0,27.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,56.8%,3.17,,335.0,28.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,63%,3.18,,350.0,28.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,65.2%,3.08,,376.0,29.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,65.8%,3.4,,422.0,26.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,60.3%,3.37,,363.0,27.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,60.4%,3.56,,446.0,33.0,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,34.5%,13.76,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,57.6%,10.62,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,65.8%,17.09,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,25.8%,10.1,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,37.3%,12.47,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,32.1%,12.16,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,35.6%,11.18,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,28.5%,10.9,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,42.7%,13.05,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,40.3%,13.32,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,20.5%,7.47,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,24.1%,5.37,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,26.9%,5.75,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,15.6%,5.77,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,28.1%,6.55,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,29.5%,6.66,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,35.9%,8.39,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,34.5%,6.8,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,24.3%,5.82,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,20.8%,6.43,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,36.6%,7.99,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,24.4%,5.44,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,27.6%,5.55,,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,43.3%,5.02,,102.0,16.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,33.4%,4.84,,77.0,14.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,46.7%,4.99,,113.0,16.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,38.5%,4.89,,92.0,15.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,41.6%,4.86,,103.0,16.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,48.7%,5.17,,110.0,16.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,41%,4.65,,111.0,16.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,35.8%,5.23,,92.0,15.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,46%,5.07,,123.0,16.0,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,43.6%,5.13,,152.0,23.0,
