characteristic,sex,raceethnicity,year,score,standard_error,note
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Naptive, non-Hispanic",2009,209.0,1.3,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native ,non-Hispanic",2010,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"Americman Indian/Alaska Native, non-Hispanic",2011,209.0,1.7,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hipanic",2012,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hipanic",2013,208.0,2.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,229.0,1.8,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,229.0,1.3,NULL
