12.coname,ALFALFeA     ,ALFALFA     
154.website,www.chisohlm.k12.ok.us,www.chisholm.k12.ok.us
26.fax,(580) 9285538,(580) 928-5538
307.fax,(981) 473-1020,(918) 473-1020
168.website,htp://www.friend.k12.ok.us,http://www.friend.k12.ok.us
80.fax,(918) 46-1656,(918) 456-1656
194.coname,HUGHES      ***,HUGHES      
190.boardpresident,Roy dKing,Roy King
291.distname,LUKFATA    h                   ,LUKFATA                       
430.superintendentemail,sutp@latta.k12.ok.us,supt@latta.k12.ok.us
117.phone,(18) 784-2365,(918) 784-2365
463.statevalue,OsK,OK
429.coname,PONTOTOhC    ,PONTOTOC    
468.boardpresident,Cathy Madrno,Cathy Madron
120.city,Dcepew,Depew
44.address,330 West Wildact Drive,330 West Wildcat Drive
513.co,72-E0v04,72-E004
263.phone,(405) 28-8900,(405) 282-8900
513.address,1202 W Earston,1202 W Easton
369.distname,INSIGHT SCHOL OF OKLAHOMA    ,INSIGHT SCHOOL OF OKLAHOMA    
331.statevalue,vOK,OK
385.coname,OAGE       ,OSAGE       
84.coname,rCHOCTAW     ,CHOCTAW     
276.superintendent,Roln Whipkey,Ron Whipkey
146.website,www.vicischoosl.k12.ok.us,www.vicischools.k12.ok.us
432.superintendentemail,smvorgan@roff.k12.ok.us,smorgan@roff.k12.ok.us
478.fax,()-,() -
201.fax,(580) 481r-2129,(580) 481-2129
341.distname,OK CCHARTER: HARDING CHARTER  ,OKC CHARTER: HARDING CHARTER  
205.co,34-C030,34-C003
388.co,75-I030,57-I030
418.address,3Rd & Riely Street,3Rd & Riley Street
450.superintendentemail,spillwo@rattan.k12.ok.us,spillow@rattan.k12.ok.us
548.address,418Flynn Street,418 Flynn Street
315.distname,WEBBERS FALLS                 ***,WEBBERS FALLS                 
80.phone,(918)458-1835,(918) 458-1835
252.website,www.hoewp3.ning,www.howep3.ning
487.co,68-Ir004,68-I004
314.fax,(98) 478-8533,(918) 478-8533
261.address,204 South Carneoy Street,204 South Carney Street
48.co,80-I160,08-I160
81.website,http://www.hulbertriderns.com/,http://www.hulbertriders.com/
190.city,Knita,Kinta
505.statevalue,gOK,OK
176.boardpresident,Jeff Hill***,Jeff Hill
401.co,59I-001,59-I001
522.address,1821 aEst 66Th Street North,1821 East 66Th Street North
403.distname,AK GROVE                     ,OAK GROVE                     
495.superintendent,Raymod Rice,Raymond Rice
393.website,www.turkeyord.net,www.turkeyford.net
471.superintendent,Tommy Eton,Tommy Eaton
43.co,08-I00,08-I020
458.phone,(580) h473-2221,(580) 473-2221
264.coname,LOGA       ,LOGAN       
74.boardpresident,Tony Delmedco,Tony Delmedico
170.coname,GRADY       ***,GRADY       
273.city,Farirview,Fairview
457.fax,(580) 534-223,(580) 534-2273
290.fax,(580) 86-3974,(580) 286-3974
438.co,63-002,63-I002
176.superintendentemail,mdorrow@bridgecreek.k12.ok.us,dmorrow@bridgecreek.k12.ok.us
287.statevalue,KO,OK
299.superintendentemail,dmcbroom@msithville.k12.ok.us,dmcbroom@smithville.k12.ok.us
70.phone,(580) 223-36j24,(580) 223-3624
137.address,451358 East 295 Raod,451358 East 295 Road
366.distname,EPIC ONE OiN ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER SCHOOL
62.superintendent,yRan Cole,Ryan Cole
211.website,www.millcreekk.12.ok.us,www.millcreek.k12.ok.us
502.phone,(580) 3384-340,(580) 338-4340
433.co,63-C0g10,63-C010
39.address,1323 Waco Steet,1323 Waco Street
230.city,Mountain Vew,Mountain View
54.fax,(405) 262-215,(405) 262-3215
353.boardpresident,Dary Crusoe,Daryl Crusoe
329.fax,(918) 623-9394,(918) 623-9349
157.co,4-I057,24-I057
171.distname,CHIKASHA                     ,CHICKASHA                     
415.fax,()- ,() -
36.co,07-0I05,07-I005
3.co,01-0C24,01-C024
459.superintendentemail,dgrroutte@justustiawah.com,dgarroutte@justustiawah.com
303.boardpresident,Crag Wall,Craig Wall
351.fax,(405) 77-4870,(405) 787-4870
502.coname,TEXAS      ,TEXAS       
273.statevalue,iOK,OK
118.address,114 Soxuth Scraper Street,114 South Scraper Street
439.fax,(405) 27-35056,(405) 273-5056
304.co,9-C003,49-C003
47.coname,CDADO       ,CADDO       
417.co,6-I002,61-I002
511.superintendent,Jame sHigdon,James Higdon
263.superintendent,Dr. Mijke Simpson,Dr. Mike Simpson
526.website,ttp://bixby.ok.schoolwebpages.com,http://bixby.ok.schoolwebpages.com
394.fax,(918) 6v78-2304,(918) 678-2304
132.phone,(91)8 352-2492,(918) 352-2492
169.fax,(405) 48i5-3204,(405) 485-3204
413.phone,(918)x 423-6393,(918) 423-6393
42.co,08-I01a2,08-I012
335.boardpresident,Robrt Corbin,Robert Corbin
54.city,l Reno,El Reno
544.distname,SENTIENL                      ,SENTINEL                      
436.phone,(405 273-6072,(405) 273-6072
119.city,Saulpa,Sapulpa
498.statevalue,K,OK
493.address,1w030 Ash Avenue,1030 Ash Avenue
189.address,107 SouthRedding,107 South Redding
390.superintendentemail,tscully@prue.bk12.ok.us,tscully@prue.k12.ok.us
133.superintendent,James Ekdelen,James Edelen
167.phone,(58)0 788-2566,(580) 788-2566
360.distname,MIDWEST CITY-DEL CITY        ,MIDWEST CITY-DEL CITY         
290.address,1941 Fores tGrove Road,1941 Forest Grove Road
119.superintendent,Traie Hale,Tracie Hale
554.phone,(508) 766-2611,(580) 766-2611
305.boardpresident,Abe Mcintsh,Abe Mcintosh
389.superintendent,Doyle Edwrds,Doyle Edwards
60.superintendent,Saen Mcdaniel,Sean Mcdaniel
402.distname,CEVELAND                     ,CLEVELAND                     
242.phone,(918) 436-2442,(918) 436-2424
138.statevalue,K,OK
480.distname,MRBLE CITY                   ,MARBLE CITY                   
249.phone,(918) 655q-7381,(918) 655-7381
463.distname,OOLOpGAH-TALALA                ,OOLOGAH-TALALA                
16.website,www.tsringtown.k12.ok.us,www.stringtown.k12.ok.us
549.address,2134 Lincolnz Street,2134 Lincoln Street
525.city,Brokne Arrow,Broken Arrow
312.coname,MUSKOGEE    ***,MUSKOGEE    
497.phone,(58t0) 658-6858,(580) 658-6858
147.boardpresident,aDrin Martin,Darin Martin
537.statevalue,K,OK
552.co,77-jI002,77-I002
88.city,Huog,Hugo
214.superintendent,James Millemr,James Miller
33.distname,ROCK CREEK                    ***,ROCK CREEK                    
447.phone,(918) 653-4331,(918) 563-4331
249.statevalue,nOK,OK
207.website,http://www.ringlingk12.ok.us/,http://www.ringling.k12.ok.us/
483.phone,(918) 875-3w668,(918) 875-3668
480.city,Marble Ciy,Marble City
295.address,2j00 Northeast Avenue C,200 Northeast Avenue C
482.distname,BELFONTE                      ***,BELFONTE                      
467.website,www.vps.k12.o.us,www.vps.k12.ok.us
434.distname,GROVE     m                    ,GROVE                         
344.fax,(405) 45-4624,(405) 425-4624
280.boardpresident,Rodney cShilt,Rodney Schilt
209.superintendent,Brand iPrice,Brandi Price
334.address,116118 Highway84,116118 Highway 84
354.distname,DEER CEREK                    ,DEER CREEK                    
272.address,301 Exast Ash,301 East Ash
277.statevalue,dOK,OK
430.fax,(50) 332-3116,(580) 332-3116
180.distname,MEDFORD                      ,MEDFORD                       
15.superintendentemail,rolgandsmith@lane.k12.ok.us,rolandsmith@lane.k12.ok.us
360.boardpresident,Davd Bibens,David Bibens
169.phone,(405) 485-6312,(405) 485-3612
522.distname,LANGSTON HUGHES ACAD ARThS-TECH,LANGSTON HUGHES ACAD ARTS-TECH
169.website,www.mdidleberg.k12.ok.us,www.middleberg.k12.ok.us
385.website,www.pawhuskadistrict.orqg,www.pawhuskadistrict.org
384.distname,MCCORD j                       ,MCCORD                        
310.city,Snulphur,Sulphur
288.coname,MCCLAI N    ,MCCLAIN     
461.co,t66-I002,66-I002
50.fax,(405)6 43-2547,(405) 643-2547
114.co,18C-001,18-C001
82.superintendentemail,preselyl@tahlequahschools.org,presleyl@tahlequahschools.org
240.city,Siro,Spiro
39.coname,BRYAN      ,BRYAN       
328.website,ttp://scps.k12.ok.us,http://scps.k12.ok.us
400.boardpresident,Lbloyd Mitchell,Lloyd Mitchell
103.boardpresident,Karolt Haney,Karol Haney
321.distname,PORUM                         ***,PORUM                         
394.superintendent,Tryo Gray,Troy Gray
333.distname,WELEETKA                      ***,WELEETKA                      
172.boardpresident,on Mcmahon,Don Mcmahon
482.phone,(918) 42-3522,(918) 427-3522
86.fax,(580) 873-10j53,(580) 873-1053
507.boardpresident,Bady Mitchell,Brady Mitchell
449.superintendent,Charlest Caughern Jr.,Charles Caughern Jr.
451.address,32w9 N. 1St Street,329 N. 1St Street
253.coname,LE FLORE    ***,LE FLORE    
429.phone,(580) 310-j7200,(580) 310-7200
438.city,ale,Dale
492.superintendent,Meloie Hau,Melonie Hau
131.distname,SAPULP A                      ,SAPULPA                       
162.co,25-uI005,25-I005
299.co,48-014,48-I014
395.fax,(q918) 674-2721,(918) 674-2721
120.co,19-C02,19-C012
208.phone,(580) 228-33n73,(580) 228-3373
149.website,http://www.farrgo.k12.ok.us/,http://www.fargo.k12.ok.us/
538.statevalue,KO,OK
164.phone,(405) 756-31p31,(405) 756-3131
190.fax,(918) 768-3221***,(918) 768-3221
546.superintendentemail,parrishld@canute.12.ok.us,parrishld@canute.k12.ok.us
250.website,ww.talihina.k12.ok.us,www.talihina.k12.ok.us
418.superintendent,Rgoer Hemphill,Roger Hemphill
185.statevalue,K,OK
445.phone,(05) 383-2656,(405) 383-2656
183.distname,MANGUM                       ,MANGUM                        
87.website,http://wwwsoperschool.com/,http://www.soperschool.com/
241.coname,LE FLORE    ***,LE FLORE    
300.coname,MCCURTAIN l  ,MCCURTAIN   
392.website,ocic.k12.ok.ufs,ocic.k12.ok.us
161.address,341 North Elm Strete,341 North Elm Street
546.boardpresident,Shawn Walwters,Shawn Walters
250.distname,TALIdHINA                      ,TALIHINA                      
36.website,wwwc.addoisd.org,www.caddoisd.org
434.statevalue,OhK,OK
216.superintendentemail,gyoung@peckham.k12.ok.uls,gyoung@peckham.k12.ok.us
106.distname,GERONIMO                      ***,GERONIMO                      
254.co,1-C005,41-C005
296.address,300 Nkorth Maple Street,300 North Maple Street
4.boardpresident,Gary Hon,Gary Horn
35.boardpresident,MartinS hoopman,Martin Shoopman
396.boardpresident,evin Reading,Kevin Reading
244.address,2666 1W. 5Th St,26661 W. 5Th St
552.statevalue,K,OK
416.statevalue,KO,OK
385.boardpresident,Jeff Butoe,Jeff Bute
129.statevalue,OrK,OK
543.coname,WAuSHINGTON  ,WASHINGTON  
38.co,l07-I048,07-I048
363.superintendent,pAurora Lora,Aurora Lora
338.fax,(405)475-5561,(405) 475-5561
107.distname,LAWTON                       ,LAWTON                        
384.fax,(580) 7658552,(580) 765-8552
142.address,10 S Broadway,310 S Broadway
186.boardpresident,Andy Cunninghatm,Andy Cunningham
213.distname,MILBURN                       ***,MILBURN                       
22.fax,(580) 48-73368,(580) 487-3368
81.fax,(918) 72-2766,(918) 772-2766
515.statevalue,K,OK
169.distname,MIDDLEBERG                   ,MIDDLEBERG                    
266.superintendent,Josh Sumral,Josh Sumrall
506.co,70-I006,70-I060
94.boardpresident,Dna Snell,Dan Snell
144.website,http://www.colcordschools.co/m,http://www.colcordschools.com/
71.superintendent,Micehlle Taylor,Michelle Taylor
145.coname,DELAWAR E   ,DELAWARE    
297.phone,(580) 933-723a2,(580) 933-7232
339.superintendent,Tobi pCampbell,Tobi Campbell
176.phone,(405) 387-4808,(405) 387-4880
489.fax,(918) 48-5664,(918) 489-5664
50.phone,(405) 643-2363,(405) 643-2336
309.distname,HANNA                         ***,HANNA                         
408.superintendent,Jhn Lazenby,John Lazenby
295.statevalue,K,OK
511.address,81 West 3Rd Street,811 West 3Rd Street
346.boardpresident,HarveyB ethany,Harvey Bethany
212.co,35I-020,35-I020
341.address,3333 N Shartel Avte,3333 N Shartel Ave
10.website,www.cavesrings.k12.ok.us,www.cavesprings.k12.ok.us
336.superintendent,Teresa Mcaee,Teresa Mcafee
420.coname,PITTSBUeRG   ,PITTSBURG   
61.city,Calmet,Calumet
180.co,27-Ij054,27-I054
107.fax,(580) 58b5-6319,(580) 585-6319
282.statevalue,pOK,OK
101.coname,COMANCHE   q ,COMANCHE    
428.phone,(580)l 310-6751,(580) 310-6751
472.website,http://xkonawa.k12.ok.us/,http://konawa.k12.ok.us/
267.website,http://greenvillek.12.ok.us,http://greenville.k12.ok.us
485.co,68-002,68-I002
300.superintendent,Dagvid Hawkins,David Hawkins
4.address,470658 E. 850 Rooad,470658 E. 850 Road
376.superintendentemail,hudson@preston.k12.ok.us,mhudson@preston.k12.ok.us
158.city,Drummodn,Drummond
90.coname,CIMARON    ,CIMARRON    
373.address,180 1Troy Aikman Dr,1801 Troy Aikman Dr
452.phone,(580) 2985504,(580) 298-5504
410.city,Cushigng,Cushing
382.superintendent,CindiHemm,Cindi Hemm
93.boardpresident,Mihael Wright,Michael Wright
100.statevalue,K,OK
206.city,yRan,Ryan
43.fax,(05) 247-6819,(405) 247-6819
439.city,Shanwee,Shawnee
508.website,http://www.tiptonitgers.net,http://www.tiptontigers.net
422.superintendent,oRbert Florenzano,Robert Florenzano
544.co,7-I001,75-I001
530.fax,(918) 828-7067,(918) 288-7067
441.address,101 North Willie Starell,101 North Willie Stargell
542.statevalue,OaK,OK
327.co,53-0I40,53-I040
500.superintendent,Steve Bard,Steve Baird
453.statevalue,rOK,OK
135.superintendent,Cad Wilson,Chad Wilson
133.coname,CUSTER      ***,CUSTER      
75.address,110b42 West Shady Grove Road,11042 West Shady Grove Road
187.superintendent,Dale Spradlxin,Dale Spradlin
84.distname,SWINK                         ***,SWINK                         
272.co,44-vI004,44-I004
440.superintendentemail,mriggs@macomb.ik12.ok.us,mriggs@macomb.k12.ok.us
347.city,Oklahoma kCity,Oklahoma City
313.boardpresident,John Dimllingham,John Dillingham
246.boardpresident,Mamx Carver,Max Carver
125.co,19-I005***,19-I005
198.phone,(918) 54-2476,(918) 546-2476
279.distname,PRYOR    l                     ,PRYOR                         
337.coname,OKLAHOMA h   ,OKLAHOMA    
201.distname,ALTUS                        ,ALTUS                         
44.superintendentemail,mbatt@cranegie.k12.ok.us,mbatt@carnegie.k12.ok.us
237.coname,LE FLOER    ,LE FLORE    
554.website,ww.fortsupply.k12.ok.us,www.fortsupply.k12.ok.us
278.superintendent,Doanld Pullen,Donald Pullen
483.address,701 Beltp Ave.,701 Belt Ave.
457.distname,SWEETWATER                    ***,SWEETWATER                    
165.fax,(405) 238-978,(405) 238-9178
548.boardpresident,Steve Ells,Steve Ellis
226.city,Cashiomn,Cashion
540.website,www.coapn.k12.ok.us,www.copan.k12.ok.us
136.coname,CUSTER     ,CUSTER      
302.city,roken Bow,Broken Bow
16.superintendentemail,tpottst@stringtownisd.org,tpotts@stringtownisd.org
321.superintendent,Lando Berry,Landon Berry
391.boardpresident,Johnn Shaw,John Shaw
376.distname,yPRESTON                       ,PRESTON                       
268.address,18943 Us Highawy 77,18943 Us Highway 77
413.boardpresident,Shirley Ros,Shirley Ross
342.superintendentemail,mmiller@hardingchartaerprep.org,mmiller@hardingcharterprep.org
433.superintendent,BlakeMoody,Blake Moody
28.city,Okene,Okeene
479.city,Mudrow,Muldrow
132.city,rumright ,Drumright 
125.fax,(91)8 827-3704,(918) 827-3704
120.phone,(981) 324-5365,(918) 324-5365
352.city,Luthyer,Luther
321.boardpresident,Ketih Shrum,Keith Shrum
119.boardpresident,Ji mPilkington,Jim Pilkington
2.boardpresident,Larry Eaglenton,Larry Eagleton
137.website,http:/w/ww.cleora.net,http://www.cleora.net
250.boardpresident,Steven Ramsye,Steven Ramsey
202.distname,ELDORADO          k            ,ELDORADO                      
69.co,10I-074,10-I074
176.co,26I095,26-I095
373.coname,OMULGEE    ,OKMULGEE    
151.superintendentemail,rholley@shattcuk.k12.ok.us,rholley@shattuck.k12.ok.us
131.superintendent,Robert Arsmtrong,Robert Armstrong
297.superintendent,Craig Wal,Craig Wall
459.phone,(918)v 341-3626,(918) 341-3626
153.co,24-I0a18,24-I018
243.coname,LE FwLORE    ,LE FLORE    
202.boardpresident,Jackie Keanmore,Jackie Kenmore
145.address,357 W. gMain,357 W. Main
182.superintendent,Barbarca Regier,Barbara Regier
117.distname,BULEJACKET                    ,BLUEJACKET                    
393.city,lWyandotte,Wyandotte
48.boardpresident,Karen xGlass,Karen Glass
45.address,522 East Floy Street,522 East Floyd Street
407.coname,PAYNE       ***,PAYNE       
349.address,"2401 Nw 23Rde Street, Ste. 39A","2401 Nw 23Rd Street, Ste. 39A"
367.fax,(405) 25m9-8332,(405) 259-8332
325.superintendentemail,jayvernon@morrisonps.kcom,jayvernon@morrisonps.com
525.address,701 South MainStreet,701 South Main Street
402.co,59g-I006,59-I006
508.distname,TIPTON                        ***,TIPTON                        
494.superintendentemail,gscoffman@marlow.k12.ok.us,gcoffman@marlow.k12.ok.us
528.co,72-006,72-I006
161.distname,STRATFORD   l                  ,STRATFORD                     
160.superintendent,Mmary Smith,Mary Smith
528.address,1902 Wes tMaple,1902 West Maple
258.website,www.srtoud.k12.ok.us,www.stroud.k12.ok.us
545.phone,(580 )562-4844,(580) 562-4844
308.fax,(918) 744-3636,(918) 474-3636
95.boardpresident,lTony Gibson,Tony Gibson
322.city,Persry,Perry
143.city,Kanssa,Kansas
339.address,1508 Nw 106oTh,1508 Nw 106Th
413.website,www.tannehhill.k12.ok.us,www.tannehill.k12.ok.us
136.superintendent,bKevin Hime,Kevin Hime
135.address,516 North Brokadway Street,516 North Broadway Street
168.coname,GRADyY       ,GRADY       
447.distname,ALBION                       ,ALBION                        
354.phone,(405) 348-6f100,(405) 348-6100
515.co,72-E00x6,72-E006
483.statevalue,K,OK
455.phone,(580) 655-4735,(580) 655-4375
220.fax,(580) 628-5123,(580) 628-5132
90.superintendentemail,lewetta.hefley@feltps.ogr,lewetta.hefley@feltps.org
403.superintendentemail,javen@oakgrov.ek12.ok.us,javen@oakgrove.k12.ok.us
209.phone,(580) 3712892,(580) 371-2892
477.superintendent,Diqane Parris,Diane Parris
356.fax,(405) 39-99212,(405) 399-9212
201.phone,(580) 418-2100,(580) 481-2100
255.boardpresident,Josephm Irby,Joseph Irby
231.co,38-004,38-I004
389.statevalue,KO,OK
47.fax,(405) 966-295,(405) 966-2395
317.fax,(918) 68-3838,(918) 684-3838
257.phone,(405)356-2534,(405) 356-2534
391.phone,(98) 642-3297,(918) 642-3297
279.fax,(91v8) 825-3938,(918) 825-3938
91.superintendent,Sherr iHitchings,Sherri Hitchings
373.co,56-I02,56-I002
104.address,307 Chebathah,307 Chebahtah
60.city,eMustang,Mustang
388.coname,OSAGE      ,OSAGE       
298.superintendentemail,barsmtrong@eagletownisd.org,barmstrong@eagletownisd.org
122.website,http://www.allenbozwden.k12.ok.us/,http://www.allenbowden.k12.ok.us/
171.boardpresident,Julie Badgett Sinn***,Julie Badgett Sinn
512.phone,(91)8 363-8711,(918) 363-8711
228.website,www.hobart.k12.eok.us,www.hobart.k12.ok.us
542.boardpresident,Sue Wooods,Sue Woods
481.superintendent,GregR eynolds,Greg Reynolds
399.boardpresident,aRy Davis,Ray Davis
341.superintendentemail,mxmiller@hardingcharterprep.org,mmiller@hardingcharterprep.org
452.boardpresident,Coorey Bouffleur,Corey Bouffleur
258.superintendent,Joe Vna Tuyl,Joe Van Tuyl
114.fax,(918) 265-4486,(918) 256-4486
469.website,http://www.sps.k12ok.us/,http://www.sps.k12.ok.us/
91.statevalue,KO,OK
155.website,http://www.garber.k12.o.us/,http://www.garber.k12.ok.us/
77.city,Tahelquah,Tahlequah
436.boardpresident,Melissa Mahafey,Melissa Mahaffey
89.address,700 Se First Steet,700 Se First Street
124.distname,gMANNFORD                      ,MANNFORD                      
242.address,600 East Pyror Avenue,600 East Pryor Avenue
447.website,www.bokohseschool.org,www.bokosheschool.org
450.superintendent,Shari Pilow,Shari Pillow
133.address,21 4N. 12Th Street,214 N. 12Th Street
512.superintendentemail,rbynum@keystone.k12.o.us,rbynum@keystone.k12.ok.us
426.coname,PONTOTOC   ,PONTOTOC    
422.phone,(91)8 334-3203,(918) 334-3203
10.co,01-I0s30,01-I030
374.fax,(918) 7j33-4205,(918) 733-4205
327.fax,(918) 273-2150,(918) 273-2105
446.phone,(405) 374-246,(405) 374-2416
195.superintendentemail,dmcgee@westumka.k12.ok.us,dmcgee@wetumka.k12.ok.us
256.phone,(918) 377-2277***,(918) 377-2277
352.superintendent,Sheldon Buxgton,Sheldon Buxton
547.city,Cordekll,Cordell
219.superintendent,David ennington,David Pennington
115.address,404 N. rBoston,404 N. Boston
460.superintendent,J. Michel Mcclaren,J. Michael Mcclaren
199.statevalue,K,OK
161.coname,GARVIN  w    ,GARVIN      
77.website,www.grandviewcharegrs.org,www.grandviewchargers.org
373.city,Henryteta,Henryetta
325.statevalue,K,OK
9.city,tSilwell,Stilwell
179.boardpresident,Keeegan Doke,Keegan Doke
438.fax,(40) 964-5559,(405) 964-5559
281.phone,(918)g 434-5091,(918) 434-5091
355.superintendent,Paul Blessinxgton,Paul Blessington
386.fax,(918) 793-261,(918) 793-2061
319.fax,(918) 48g7-2012,(918) 487-2012
5.boardpresident,Randy Mccartr,Randy Mccarter
434.city,Shawne,Shawnee
168.co,26-C37,26-C037
248.coname,gLE FLORE    ,LE FLORE    
454.phone,(58) 488-3424,(580) 488-3424
42.distname,LOOEKBA SICKLES               ,LOOKEBA SICKLES               
493.co,6-9I002,69-I002
447.city,lAbion,Albion
242.superintendentemail,lbarnesp@ocola.k12.ok.us,lbarnes@pocola.k12.ok.us
444.statevalue,OrK,OK
319.address,300 Madden Avue,300 Madden Ave
160.website,http://www.whitebed.org,http://www.whitebead.org
342.coname,OKLAHOMA f   ,OKLAHOMA    
333.co,54-Ib031,54-I031
275.boardpresident,Iaen Chapman,Ian Chapman
233.superintendentemail,bdeatherage@redoakk.12.ok.us,bdeatherage@redoak.k12.ok.us
499.superintendentemail,optimapublcschool@gmail.com,optimapublicschool@gmail.com
373.distname,HENRYETTA                    ,HENRYETTA                     
298.coname,MCCURTIAN   ,MCCURTAIN   
299.boardpresident,Lee Brhown,Lee Brown
501.boardpresident,Mike Jonson,Mike Johnson
419.fax,(918)4 32-5683,(918) 432-5683
489.co,6-I006,68-I006
260.statevalue,ObK,OK
447.fax,(918o) 563-4330,(918) 563-4330
282.fax,g(918) 479-6468,(918) 479-6468
383.superintendentemail,bbanke@randersontrojans.org,bbanker@andersontrojans.org
139.distname,KENWOOD                       ***,KENWOOD                       
526.address,109 North Armstrongz Street,109 North Armstrong Street
437.statevalue,qOK,OK
443.boardpresident,Keiath Sandlin,Keith Sandlin
51.fax,(450) 656-2267,(405) 656-2267
446.superintendent,qJerry Mccormick,Jerry Mccormick
311.distname,DAVIS     r                    ,DAVIS                         
281.website,www.salinawilcdats.org,www.salinawildcats.org
310.address,1021 Wets Ninth Street,1021 West Ninth Street
406.website,http://www.p-pt.k12.ok.us/,http://www.p-t.k12.ok.us/
95.city,Nobe,Noble
532.boardpresident,Jeff Blaiir,Jeff Blair
548.statevalue,KO,OK
297.address,604 East Luucas Street,604 East Lucas Street
118.distname,INITA                        ,VINITA                        
56.statevalue,KO,OK
365.co,55-K01,55-K001
169.superintendentemail,jread@middleber.gk12.ok.us,jread@middleberg.k12.ok.us
260.coname,LINCOLN     ***,LINCOLN     
335.superintendent,Kim Lajnier,Kim Lanier
88.phone,(580s) 326-6483,(580) 326-6483
40.superintendentemail,jfite@chcotawnation.com,jfite@choctawnation.com
515.superintendent,Carlisha Willaims,Carlisha Williams
273.address,408 aEst Broadway Street,408 East Broadway Street
492.distname,DUNCAN                        ***,DUNCAN                        
148.co,22-I001,22-I010
415.address,10 Boulevard  nUit A,10 Boulevard  Unit A
478.address,30201 Chickasaw Stpreet,30201 Chickasaw Street
469.address,61g7 N. Timmons,617 N. Timmons
279.website,www.pryorschool.org,www.pryorschools.org
376.coname,OKMULGEE    ***,OKMULGEE    
374.coname,OMKULGEE    ,OKMULGEE    
318.fax,(d918) 683-8725,(918) 683-8725
226.boardpresident,Earl gOletree,Earl Ogletree
328.city,Soth Coffeyville,South Coffeyville
183.statevalue,K,OK
367.superintendentemail,sttum@k12.com,statum@k12.com
56.superintendent,James Whiet,James White
185.address,145 N Main,415 N Main
47.superintendent,Jamie Mitcthell,Jamie Mitchell
391.statevalue,KO,OK
524.city,Sannd Springs,Sand Springs
295.superintendentemail,doug.brown@idabelps.rg,doug.brown@idabelps.org
210.website,www.ravi.ak12.ok.us,www.ravia.k12.ok.us
381.statevalue,K,OK
206.distname,RYN                          ,RYAN                          
500.statevalue,KO,OK
18.phone,(58j0) 889-7355,(580) 889-7355
128.superintendent,Matht Posey,Matt Posey
29.statevalue,OvK,OK
174.coname,GRADY      ,GRADY       
127.website,www.kiefer.k12.ok.us***,www.kiefer.k12.ok.us
282.address,302 E Joe Keolsch,302 E Joe Koelsch
477.address,Hwy 56 And Yhola,Hwy 56 And Yahola
535.website,wwwl.ibertyps.org,www.libertyps.org
396.co,g58-I018,58-I018
56.distname,PIEDMONT                      ***,PIEDMONT                      
484.superintendentemail,sfarmer@salligsawps.org,sfarmer@sallisawps.org
20.co,04-I202,04-I022
506.statevalue,K,OK
18.city,Atkoa,Atoka
227.fax,(45) 263-7515,(405) 263-7515
463.boardpresident,Don iTce,Don Tice
443.city,Shanee,Shawnee
356.co,55-I0p09,55-I009
123.superintendent,Curtis Shetlon,Curtis Shelton
228.superintendent,Cath yHunt,Cathy Hunt
317.co,51-I0w20,51-I020
117.statevalue,KO,OK
365.phone,()-,() -
114.phone,(18) 256-4484,(918) 256-4484
450.phone,u(580) 587-2546,(580) 587-2546
152.fax,580) 758-3834,(580) 758-3834
478.boardpresident,Mry Pointer,Mary Pointer
267.superintendentemail,grapre@gpsmail.org,graper@gpsmail.org
314.superintendentemail,d_glover@ftgibson.1k2.ok.us,d_glover@ftgibson.k12.ok.us
244.website,www.cameronnps.org,www.cameronps.org
433.statevalue,K,OK
214.phone,(850) 937-4418,(580) 937-4418
114.city,Viwnita,Vinita
303.fax,(580) 254-1546,(580) 245-1546
491.boardpresident,jSandy Bowden,Sandy Bowden
435.coname,POTTAWATOMEI,POTTAWATOMIE
528.website,www.collinsville.k2.ok.us,www.collinsville.k12.ok.us
420.fax,(918 )469-3308,(918) 469-3308
141.website,ww.jay.k12.ok.us,www.jay.k12.ok.us
41.city,Hygdro,Hydro
211.fax,(580) 384-9320,(580) 384-3920
523.phone,(918) p746-6800,(918) 746-6800
160.phone,(405) 238j-3021,(405) 238-3021
334.superintendent,Rex rTent,Rex Trent
470.statevalue,K,OK
378.city,Htenryetta,Henryetta
369.city,Midwest Ctiy,Midwest City
302.co,48-074,48-I074
276.distname,KINGSTON u                     ,KINGSTON                      
25.superintendent,Rick Garrson,Rick Garrison
139.phone,(91)8 434-5799,(918) 434-5799
24.coname,BEKCHAM     ,BECKHAM     
97.superintendent,Jay Trhomas,Jay Thomas
410.fax,(918) 225u-3026,(918) 225-3026
173.boardpresident,Jabck Garrett,Jack Garrett
127.statevalue,K,OK
156.address,6502 East Wood Road,6520 East Wood Road
122.city,Tlsa,Tulsa
546.address,216 E Walk Stureet,216 E Walk Street
36.fax,(580) 367-237,(580) 367-2837
425.phone,9(18) 423-4771,(918) 423-4771
368.city,Bartlesvill e,Bartlesville 
111.address,418 Soiuth Broadway Street,418 South Broadway Street
350.website,www.johnrexschoolorg,www.johnrexschool.org
423.address,a9567 South Us Hwy 69,9567 South Us Hwy 69
103.statevalue,K,OK
426.fax,5(80) 857-2636,(580) 857-2636
247.coname,LE FLObRE    ,LE FLORE    
315.phone,(918) 464-23x34,(918) 464-2334
143.statevalue,KO,OK
254.address,334998 East 100 Road,334998 East 1010 Road
