OBJECTID,PLY_FEATYPE_CODE,PLY_FEATYPE_TEXT,PLY_DWW_FEATYPE_CODE,PLY_DWW_FEATYPE_TEXT,PLY_DESC_TEXT,PLY_MXM_DESC_TEXT,PLY_FEA_KEY,PLY_DWW_FEATURE_KEY,PLY_DWW_FEATURE_EQNUM_ID,PLY_DWW_ROLE_CODE,PLY_DWW_ROLE_TEXT,PLY_OWNER_CODE,PLY_OWNER_NAME,PLY_LIFECYCLE_CODE,PLY_LIFECYCLE_STAT,PLY_DWW_GEOMTR_TYPE,PLY_AREA_SQFT_NBR,PLY_AREA_ACRES_NBR,PLY_LENGTH_FT_NBR,PLY_MXM_ADRS_TEXT,PLY_WIDTH_FT_NBR,PLY_HEIGHT_FT_NBR,SHAPE_Length,SHAPE_Area
10280,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 072-284,7630313,1788344,818250,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,39.47,0,0,6820 PERIMETER RD S,0,0,25.3433325898724,39.4696018185915
10346,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 015-241,7633257,756942,680556,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,20.79,0,0,2680 NE UNIVERSITY VILLAGE ST,0,0,16.1651186416734,20.794473497446
10362,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 048-558,7635001,7634998,1012385,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,15.61,0,0,MAP 048 - WASTEWATER MAINTENANCE HOLES / APPURTENA,0,0,14.0042062450348,15.6065580565781
10375,PNT,Point Representations,PMH,Pump MH,Stucture - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 023-424,7633262,868864,682462,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,13.38,0,0,303 NE NORTHLAKE WAY,0,0,12.964422513579,13.3750830903028
10436,PNT,Point Representations,MST,Misc Structures,Structure - Access Shaft w/Gate,,7615564,636350,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,159.17,0,0,,0,0,44.7239521783293,159.173396982967
10656,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control,FLOW CONTROL MH - D071-107,7673648,1841410,714017,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,187.82,0,0,698 S RIVERSIDE DR,0,0,55.3964640086574,187.81604620374
10726,PNT,Point Representations,MH,Maintenance Hole,Vault,DRAINAGE MAINTENANCE HOLE - D081-259,7152298,7124593,968217,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,43.32,0,0,MAP 081 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,0,0,28.1272624725005,43.3243415799609
10924,PNT,Point Representations,MST,Misc Structures,Structure - Diversion,DRAINAGE MAINTENANCE HOLE - D062-096,7689090,1694030,713480,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,934.67,0.02,0,2519 SW JUNEAU ST,0,0,135.657944489109,934.672592310959
10930,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pump MH,WASTEWATER MAINTENANCE HOLE - 029-379,7690835,964432,684259,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,54.71,0,0,2556 WESTLAKE AVE N,0,0,29.6226860102323,54.7118874555206
10933,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D232-320,7691419,7629654,1011943,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,159.88,0,0,MAP 232 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,0,0,44.8236462671872,159.883814211198
10935,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 029-390,7691297,1051781,685762,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,52.42,0,0,2000 WESTLAKE AVE N,0,0,29.1543748587419,52.4232276030875
10937,PNT,Point Representations,OF,Overflow MH,Structure - Overflow MH,OVERFLOW DRAINAGE MAINTENANCE HOLE - D029-060,7691751,982981,786499,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,38.84,0,0,2476 WESTLAKE AVE N,0,0,22.0912366952695,38.8356156047648
11087,PNT,Point Representations,MST,Misc Structures,Structure - Intake,DRAINAGE MAINTENANCE HOLE - D224-010,7701754,152425,708595,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,49.47,0,0,952 NW CARKEEK PARK RD,0,0,24.9322236587468,49.4666117724935
11223,PNT,Point Representations,MST,Misc Structures,Structure - Metro Regulator Station,,7724817,905531,,ENDPT,Mainline End Point,UW,University of Washington,C,Connected,PNT,1524.79,0.04,0,,0,0,165.295082177048,1524.79308819847
11404,PNT,Point Representations,MST,Misc Structures,Structure - CSO 11A Diversion & Overflow Structure,DIVERSION & OVERFLOW STRUCTURE - 059-581 - NPDES40,7629782,7232605,972249,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,PC,Provisional Connect,PNT,199.19,0,0,CSO  11 - NPDES40,0,0,56.3229376256912,199.186475264758
11405,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D071-117,7733698,1849886,599721,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,49.95,0,0,710 S PORTLAND ST,0,0,25.0533136526416,49.9482741866265
11427,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control MH,FLOW CONTROL MH - NPDES 40 - CSO 11A - 059-578,7728503,7232518,972237,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,105.4,0,0,CSO  11 - NPDES40,0,0,36.393852036354,105.401353078866
11492,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,WASTEWATER MAINTENANCE HOLE - 039-449,7743364,1282280,690842,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,72.2,0,,913 WESTERN AVE,,,30.1215741565894,72.2013744073616
11516,PNT,Point Representations,MST,Misc Structures,Structure - WWPS Control Chamber,DRAINAGE MAINTENANCE HOLE - D230-135,7630274,7630272,1011911,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,43.81,0,0,MAP 230 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,0,0,27.6520843436394,43.8061499752112
11563,PNT,Point Representations,MH,Maintenance Hole,Structure - Special MH,WASTEWATER MAINTENANCE HOLE - 040-576,7754350,1278917,690720,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,59.26,0,,1120 E TERRACE ST,,,29.8155261555183,59.2645225235707
11572,PNT,Point Representations,MST,Misc Structures,Structure - Approach Structure (Metro KC),,7750524,1153932,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,358.73,0.01,,,,,77.5368716228693,358.734464891576
11573,PNT,Point Representations,FCM,Flow Control MH,Structure - FCMH,FLOW CONTROL MH - D035-646,7751843,7719460,1033344,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,162.05,0,,DETENTION SITE 252 - ROY ST/5TH AVE N,,,45.1257838595746,162.046499457384
11763,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,FLOW CONTROL MH - 036-407,7764562,1121758,687143,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,163.46,0,,1099 FAIRVIEW AVE N,,,45.3219105104009,163.458140407805
12228,PNT,Point Representations,MST,Misc Structures,Structure - Decant Dumping Pit,DRAINAGE MAINTENANCE HOLE - D077-160,4093482,4093420,933326,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,688.32,0.02,,9100 8TH AVE SW,,,106.540799190163,688.324076739443
12237,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control MH,FLOW CONTROL MH - D300-059,7772100,7639692,1013944,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,71.19,0,,SW 104TH ST/37TH PL SW,,,29.910625406895,71.1936271500491
12238,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D300-058,7772107,7639690,1013946,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,70.91,0,,DETENTION SITE 254 - SW 104TH ST/27TH PL SW - MS4,,,29.8512838405004,70.9114169885433
12240,PNT,Point Representations,JMH,Junction Chamber MH,Structure - Junction Chamber,,7768393,1793271,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,94.89,0,,,,,38.317559425949,94.8874710810398
12241,PNT,Point Representations,JMH,Junction Chamber MH,Structure - Junction Chamber,,7768785,1792106,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,95.47,0,,,,,37.4943194639567,95.474831072152
12243,PNT,Point Representations,OF,Overflow MH,Structure - Overflow MH,WASTEWATER MAINTENANCE HOLE - 068-482,7772555,1793161,927869,ENDPT,Mainline End Point,,,C,Connected,PNT,122.65,0,,7031 BEACH DR SW,,,44.4246232082466,122.651365497062
12246,PNT,Point Representations,MST,Misc Structures,Structure -  Diversion Structure,,7769853,7769753,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,433.74,0.01,,,,,82.5264275167858,433.741379476245
12252,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,FLOW CONTROL MH - NPDES 33 - 046-171,7626913,1327362,786629,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,74.43,0,0,900 LAKESIDE AVE S,0,0,30.5837151537494,74.4338728587913
12253,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,FLOW CONTROL STRUCTURE - NPDES33 - 046-172,7755661,1329658,692164,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,69.87,0,,921 LAKESIDE AVE S,,,29.6318739770401,69.8728361860003
12327,PNT,Point Representations,PMH,Pump MH,Structure - Emergency Pumping MH,WASTEWATER MAINTENANCE HOLE - 075-504,7633259,1906597,704194,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,13.99,0,0,8635 FAUNTLEROY WAY SW,0,0,15.0064545130715,13.9870891825407
12355,PNT,Point Representations,MST,Misc Structures,Structure - Miscellaneous,DRAINAGE MAINTENANCE HOLE - D059-208,7779190,1571195,713023,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,68.68,0,,4220 S GENESEE ST,,,33.1699385360838,68.6832209592852
12356,PNT,Point Representations,MST,Misc Structures,Structure - Bend MH,DRAINAGE MAINTENANCE HOLE - D059-210,7779422,1579167,713051,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,173.35,0,,4500 42ND AVE S,,,56.5594006212453,173.347496371264
12375,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control MH,FLOW CONTROL MH - SITE 92 - D226-191,7803373,164555,708649,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,53.97,0,,10849 12TH AVE NE,,,26.0414742069287,53.9661290963626
12378,PNT,Point Representations,OF,Overflow MH,Structure - CSO 8A - Influent Control Structure,INFLUENT CONTROL & OVERFLOW STRUCTURE - 067-349 - ,7487159,7487089,1001118,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,210.82,0,0,067-349 - CSO08A - NPDES44,0,0,58.3862221504849,210.81612839747
12379,PNT,Point Representations,FCM,Flow Control MH,Structure - CSO 8A - Effluent Control Structure,LAKELINE & EFFLUENT CONTROL STRUCTURE - 067-345 - ,7487207,7486972,1001114,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,158.7,0,0,067-345 - CSO08A - NPDES44,0,0,51.8482112736467,158.702106736321
12382,PNT,Point Representations,MH,Maintenance Hole,Structure - CSO 29A - Storage Transfer Structure,STORAGE TRANSFER STRUCTURE - 074-212 - NPDES45,7811929,7487415,1001110,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,93.5,0,,TRANSFER STRUCTURE - 074-212 - CSO29A - NPDES45A,,,34.2773223515512,93.4983428098079
12384,PNT,Point Representations,OF,Overflow MH,Structure - CSO 8A - Overflow MH,OVERFLOW STRUCTURE - M/H 067-352,7819404,7487559,1001130,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,67.92,0,,"OUTFALL - CSO08, 08A - NPDES44",,,29.2145150639509,67.9184083143951
12385,PNT,Point Representations,OF,Overflow MH,Structure - CSO 8A - Overflow MH,FLOW CONTROL STRUCTURE - 067-274 - CSO08 - NPDES44,7819391,1723826,786713,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,110.05,0,,5926 SEWARD PARK AVE S,,,37.1871759375684,110.046575630007
12392,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D233-172,7820385,203006,591093,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,109.22,0,,MAP 233 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,,,37.0473156677558,109.220366028745
12393,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D233-171,7820394,203415,591096,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,112.02,0,,155 A NE 100TH ST,,,37.5194602621862,112.021994382065
12455,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,,7819259,7335870,985245,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,113.02,0,,,,,37.6867964351927,113.023448954674
12456,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D225-164,7819299,7420306,982290,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,118.36,0,,MAP 225 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,,,38.5668138871923,118.363462216305
12568,PNT,Point Representations,MST,Misc Structures,Structure - Comingle,DRAINAGE MAINTENANCE HOLE - D036-503,7813836,5284303,957595,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,8.36,0,,MAP 036 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,,,12.1896691908591,8.35641192390953
12580,PNT,Point Representations,OF,Overflow MH,Structure - Overflow Structure,OVERFLOW STRUCTURE - D052-188,7813473,1355376,595635,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,373.59,0.01,,1529 26TH AVE S,,,80.3137172811981,373.592129327556
12880,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,,7825504,7446949,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,112.17,0,,,,,37.5440823364047,112.169071065749
12884,PNT,Point Representations,MST,Misc Structures,Structure - Fremont Siphon Outlet Structure,,7411265,7411246,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,630.55,0.01,0,,0,0,103.080972757543,630.548666146402
12885,PNT,Point Representations,OF,Overflow MH,Structure - Overflow Chamber MH,,7835413,888198,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,485.34,0.01,,,,,92.872601415539,485.338851890634
13122,PNT,Point Representations,MST,Misc Structures,Structure - Regulator (Metro),,3992311,1413194,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,829.29,0.02,,,,,117.42298792038,829.28634269072
13123,PNT,Point Representations,DMH,Drop MH,Structure - Drop MH,DRAINAGE MAINTENANCE HOLE - D011-105,7846856,664755,709696,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,143.75,0,,2813 NW MARKET ST,,,52.4639942482563,143.752020295996
13124,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D011-100,7846750,665590,592327,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,80.3,0,,5419 26TH AVE NW,,,35.906991693864,80.2973877107626
13213,PNT,Point Representations,MH,Maintenance Hole,Structure - Emergency Pumping Bypass MH,WASTEWATER MAINTENANCE HOLE - 056-456,7635377,7635028,1012384,ENDPT,Mainline End Point,UNK,Unknown,C,Connected,PNT,43.2,0,0,MAP 056 - WASTEWATER MAINTENANCE HOLES / APPURTENA,0,0,23.3000577634592,43.2020277326684
13541,PNT,Point Representations,DMH,Drop MH,Structure - Overflow MH,DRAINAGE MAINTENANCE HOLE - D022-156,7858945,920116,710410,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,72.51,0,,3410 STONE WAY N,,,30.1857216647015,72.5092248488842
13542,PNT,Point Representations,DMH,Drop MH,Structure - Overflow MH,DRAINAGE MAINTENANCE HOLE - D022-146,7859457,910220,710382,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,72.49,0,,3425 STONE WAY N,,,30.1813507215585,72.4882274549693
14004,PNT,Point Representations,MH,Maintenance Hole,Stucture - MH,DRAINAGE MAINTENANCE HOLE - D037-078,8056311,1189619,594560,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,68.24,0,,2023 E JOHN ST,,,29.2841807892638,68.2427146842907
14005,PNT,Point Representations,DMH,Drop MH,Structure - Drop MH,DRAINAGE MAINTENANCE HOLE - D012-006,8056888,755334,709919,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,361.07,0.01,,1150 NW 46TH ST,,,93.4968217539827,361.070557959131
14008,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D037-169,8083446,4841764,948407,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,51.25,0,,MAP 037 - DRAINAGE MAINTENANCE HOLES / APPURTENANC,,,25.3780381509784,51.2514583690998
14010,PNT,Point Representations,MH,Maintenance Hole,,DRAINAGE MAINTENANCE HOLE - D055-178,8057738,1520786,597210,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,51.28,0,,2424 SW ANDOVER ST,,,25.385230144161,51.2805112304998
14011,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D055-122,8057754,1520776,712850,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,49.25,0,,2424 SW ANDOVER ST,,,24.8763908350229,49.2453102107299
14219,PNT,Point Representations,DMH,Drop MH,Vault - Fremont Siphon Access Vault,,8046653,7411211,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,132.44,0,,,,,46.1412615754625,132.437699046632
14220,PNT,Point Representations,DMH,Drop MH,Vault - Fremont Siphon Access Vault,,8046665,7411213,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,134.28,0,,,,,46.4558896598928,134.284967749023
14221,PNT,Point Representations,MST,Misc Structures,Structure - Fremont Siphon Inlet Structure,,8046672,7411200,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,625.77,0.01,,,,,108.00662882897,625.774797589157
14427,PNT,Point Representations,DMH,Drop MH,Structure - Drop MH,DRAINAGE MAINTENANCE HOLE - D039-070,8041938,1272961,711530,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,62.3,0,,55 UNIVERSITY ST,,,27.9794117762976,62.2970233279426
14440,PNT,Point Representations,DMH,Drop MH,Structure - Drop MH,DRAINAGE MAINTENANCE HOLE - D043-040,8044739,1299868,711672,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,111.22,0,,65 S WASHINGTON ST,,,37.3851237717925,111.22125252562
14441,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D043-045,8044889,1299668,595204,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,66.52,0,,65 S WASHINGTON ST,,,28.9123464802453,66.5207007365071
14444,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control MH,FLOW CONTROL MH - 043-044,8044857,1300149,691374,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,57.7,0,,65 S WASHINGTON ST,,,30.3900820443931,57.7044234830277
14446,PNT,Point Representations,DMH,Drop MH,Structure - Drop MH,DRAINAGE MAINTENANCE HOLE - D043-033,8045147,1288282,711587,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,106.73,0,,819 ALASKAN WAY,,,36.6232094300217,106.734037226105
14447,PNT,Point Representations,DMH,Drop MH,Structure - Drop MH,DRAINAGE MAINTENANCE HOLE - D039-041,8045217,1284723,711571,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,163.29,0,,929 ALASKAN WAY,,,45.298756865105,163.291171054438
14462,PNT,Point Representations,MST,Misc Structures,Structure - Tunnel Entrance,DRAINAGE MAINTENANCE HOLE - D235-062,3987568,189203,708795,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,291.72,0.01,,4414 NE 104TH PL,,,71.0499381213895,291.719229430758
14463,PNT,Point Representations,MST,Misc Structures,Structure - Lake City Tunnel N. Portal (Metro KC),,3988463,267579,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,532.38,0.01,,,,,93.2689030387088,532.378430190486
14469,PNT,Point Representations,FCM,Flow Control MH,Structure - Flow Control MH,,7819897,203315,,ENDPT,Mainline End Point,STA,State of Washington,C,Connected,PNT,61.53,0,,,,,27.8067181075376,61.5303810177724
14488,PNT,Point Representations,FCM,Flow Control MH,Stucture - FCM,FLOW CONTROL MH - D029-106,8030276,7499823,1002549,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,49.85,0,,DETENTION SITE 315 - DEXTER AVE N/GARFIELD ST,,,25.0296556176905,49.8539791829473
14673,PNT,Point Representations,MH,Maintenance Hole,Structure - Saddle MH,,8037772,7409586,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,113.46,0,,,,,42.7609555852383,113.463750144267
14712,PNT,Point Representations,MST,Misc Structures,Structure - Diversion Structure,DIVERSION STRUCTURE - NPDES 111B - 056-270,8078600,1573156,785733,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,212.77,0,,4616 OHIO AVE S,,,71.5409573043021,212.77248789192
15137,PNT,Point Representations,OF,Overflow MH,"Structure - Overflow Structure for NPDES 20
",FLOW CONTROL STRUCTURE - NPDES20 - CSO 26 - 031-38,8068656,942322,786457,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,113.88,0,,2170 E SHELBY ST,,,37.8300985238028,113.88462096464
15138,PNT,Point Representations,FCM,Flow Control MH,"Structure - Flow Control MH
",FLOW CONTROL MH - NPDES20 - CSO 26 - 031-380,8068665,942625,683836,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,115.41,0,,2170 E SHELBY ST,,,38.0833002299888,115.414211542398
15139,PNT,Point Representations,FCM,Flow Control MH,"Structure - Flow Control MH
",FLOW CONTROL MH - NPDES20 - CSO 26 - 031-379,8068672,942945,683846,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,98.19,0,,2170 E SHELBY ST,,,35.1268962753552,98.1905499850039
15189,PNT,Point Representations,DMH,Drop MH,Structure - Drop MH,DRAINAGE MAINTENANCE HOLE - D022-092,8027270,829805,710136,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,50.6,0,,4037 STONE WAY N,,,25.2173050084965,50.604306637052
15247,PNT,Point Representations,JMH,Junction Chamber MH,Structure - Junction MH,OVERFLOW DRAINAGE MAINTENANCE HOLE - D080-151,8027503,1943799,927916,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,353.09,0.01,,8824 42ND AVE S,,,89.8521215362165,353.089331923498
15347,PNT,Point Representations,OF,Overflow MH,Structure - Overflow MH,FLOW CONTROL STRUCTURE - NPDES 138 - 023-192,8097796,937414,786449,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,112.69,0,,1216 E SHELBY ST,,,37.6314000012102,112.691428976948
15348,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D071-108,8097943,1842694,702856,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,141.33,0,,698 S RIVERSIDE DR,,,42.1430989834497,141.332835584125
15349,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D071-114,8097951,1844236,599689,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,143.88,0,,7700 7TH AVE S,,,42.5218150894834,143.884392984437
15350,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D071-111,8097956,1843980,888088,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,160.79,0,,7700 7TH AVE S,,,44.9505954601923,160.790740161441
15351,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,,8097967,1843944,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,51.53,0,,,,,25.4458535571565,51.5257242235755
15365,PNT,Point Representations,MST,Misc Structures,Structure - Bypass Structure (Metro KC),,8101824,703241,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,604.94,0.01,,,,,125.776164598853,604.937342948387
16460,PNT,Point Representations,MST,Misc Structures,"Structure - Miscellaneous Structure
",WASTEWATER MAINTENANCE HOLE - 036-476,8144062,1117313,687043,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,68.61,0,,1124 EASTLAKE AVE E,,,29.3627497759224,68.6093941410182
17340,PNT,Point Representations,DMH,Drop MH,Structure - Drop MH,DRAINAGE MAINTENANCE HOLE - D027-185,8174966,1023052,710763,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,57.05,0,,1551 W ARMORY WAY,,,26.775395221149,57.0508232843981
17484,PNT,Point Representations,MST,Misc Structures,Structure - Wet Well,WASTEWATER MAINTENANCE HOLE - 225-331,7617300,171363,670474,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,71.8,0,0,10558 MIDVALE AVE N,0,0,30.0372486529776,71.7976840177146
17538,PNT,Point Representations,MST,Misc Structures,Structure - Outfall Structure,,8197420,1766434,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,156.54,0,,,,,50.0747595282038,156.543691758739
17545,PNT,Point Representations,MH,Maintenance Hole,Scructure - MH,DRAINAGE MAINTENANCE HOLE - D071-121,8197538,1861425,881466,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,120.63,0,,548 S KENYON ST,,,38.9350780866837,120.634696515266
17660,PNT,Point Representations,MH,Maintenance Hole,Structure - MH,DRAINAGE MAINTENANCE HOLE - D071-122,8195721,1855534,881464,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,161.27,0,,7800 7TH AVE S,,,45.0175567312417,161.270145207765
17663,PNT,Point Representations,FCM,Flow Control MH,Structure - FCM,FLOW CONTROL MH - D225-176,8196796,7472134,990993,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,87.16,0,,12270 ASHWORTH AVE N,,,33.0960099217902,87.1648322650533
17874,PNT,Point Representations,MH,Maintenance Hole,"Structure - MH 96"" Diameter",WASTEWATER MAINTENANCE HOLE - 011-373,8206504,7722471,1032063,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,51.38,0,,E/S 2425 NW 54TH ST,,,25.409144424885,51.3771748596091
