796.agency_name,REGENTS FOR HIGzHER EDUCATION,REGENTS FOR HIGHER EDUCATION
454.statutory_reference,"TITLE6 2, SECTION 34.9","TITLE 62, SECTION 34.9"
725.class_description,Ok Tourism Promotion eRv Fund,Ok Tourism Promotion Rev Fund
767.statutory_reference,"TITEL 74, SEC. 581","TITLE 74, SEC. 581"
438.class_description,Ok St Pensio Comm Rev Fund,Ok St Pension Comm Rev Fund
208.statutory_reference,"TITiLE 73, SECTION 168.7","TITLE 73, SECTION 168.7"
856.total_amount,$4435.06,$4453.06
198.statutory_reference,"TITLE 62, SEC 34.48,3 4.9","TITLE 62, SEC 34.48, 34.9"
553.total_amount,$47002.04,$470020.04
118.class_description,Court pApointed Special Advoca,Court Appointed Special Advoca
633.agency_name,MENTAL HEALTH AND SUBSTACE ABUSE SERV.,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.
1045.statutory_reference,"TITLE 47, SECTION 1136, 81.***","TITLE 47, SECTION 1136, 81."
422.class_description,Specialh Distributions,Special Distributions
273.agency_name,EDPARTMENT OF CORRECTIONS,DEPARTMENT OF CORRECTIONS
344.statutory_reference,"TITLE5 9, SEC. 199.15","TITLE 59, SEC. 199.15"
248.agency_name,ARL ALBERT STATE COLLEGE,CARL ALBERT STATE COLLEGE
522.agency_name,DEPARTwMENT OF TRANSPORTATION,DEPARTMENT OF TRANSPORTATION
108.statutory_reference,"TTILE 22, SEC. 1368","TITLE 22, SEC. 1368"
958.statutory_reference,***, 
38.class_description,Agency Relationship Funzd,Agency Relationship Fund
118.total_amount,$2443.00,$24435.00
798.class_description,HigherE d Facilities Rev Fund,Higher Ed Facilities Rev Fund
896.agency_name,SUPREME tCOURT,SUPREME COURT
1078.statutory_reference,"TITLtE 82, CH 11, SEC 1020.16","TITLE 82, CH 11, SEC 1020.16"
776.total_amount,$193055.02,$1931055.02
418.statutory_reference,"TITLE s26, SECTION 3-107.1","TITLE 26, SECTION 3-107.1"
882.agency_name,S. W. OKLA. ST. UNVI.,S. W. OKLA. ST. UNIV.
608.class_description,Revolving uFnd,Revolving Fund
716.class_description,Office Of Per sMgmt Rev Fund,Office Of Pers Mgmt Rev Fund
851.total_amount,$206120.00,$206210.00
188.statutory_reference,q , 
613.class_description,American Recdov. & Reinv. Act,American Recov. & Reinv. Act
497.statutory_reference,, 
1032.statutory_reference,"TITLE 74, SECTIO 1384","TITLE 74, SECTION 1384"
886.agency_name,S .W. OKLA. ST. UNIV.,S. W. OKLA. ST. UNIV.
805.agency_name,ARDMORE HIGHER EDUCvATION CENTER,ARDMORE HIGHER EDUCATION CENTER
336.statutory_reference,ITTLE 47 SECTION 1167D,TITLE 47 SECTION 1167D
691.statutory_reference,, 
372.statutory_reference,"TITLE 70, SCE. 3904","TITLE 70, SEC. 3904"
90.class_description,Enhancemnt & Diersificatn Fnd,Enhancemnt & Diversificatn Fnd
1074.agency_name,WAfTER RESOURCES BOARD,WATER RESOURCES BOARD
518.agency_name,DEPARTMENT OlF TRANSPORTATION,DEPARTMENT OF TRANSPORTATION
1094.statutory_reference,ESTABLISHED TO ACCOMODATE nUTILIZATION OF OPM PR,ESTABLISHED TO ACCOMODATE UTILIZATION OF OPM PR
67.class_description,Army Advarnce Funds,Army Advance Funds
253.class_description,oBnd Transfer Fund,Bond Transfer Fund
153.agency_name,CAMERON UNIEVRSITY,CAMERON UNIVERSITY
702.class_description,Reolving Fund,Revolving Fund
462.total_amount,$515751.46,$155751.46
630.statutory_reference,, 
107.statutory_reference,"TITLE 59, SEC 46.19","TITLE 59, SEC. 46.19"
632.total_amount,$155928.78,$155298.78
689.total_amount,$.00,$0.00
181.class_description,OCIA 2050 F Bond Sinking Fund,OCIA 2005 F Bond Sinking Fund
279.class_description,Educational &Gen Op Fund,Educational & Gen Op Fund
443.agency_name,PAzRDON AND PAROLE BOARD,PARDON AND PAROLE BOARD
430.agency_name,DEPT. OF ENVIRONMENTAL QUALTY,DEPT. OF ENVIRONMENTAL QUALITY
284.class_description,AgencyR elationship Fund,Agency Relationship Fund
1091.class_description,CW/DW State Revolving Fdu ARRA,CW/DW State Revolving Fd ARRA
124.class_description,Medicaid Fraud Unit Fyund,Medicaid Fraud Unit Fund
1001.total_amount,3$2802.98,$32802.98
885.statutory_reference,"TITLE 73, SECTON 301","TITLE 73, SECTION 301"
127.total_amount,$268564.50,$265864.50
141.agency_name,OFFICE OF STAT FINANCE,OFFICE OF STATE FINANCE
740.class_description,Pof. Engin. & Land Surv Fund,Prof. Engin. & Land Surv Fund
1073.agency_name,WTER RESOURCES BOARD,WATER RESOURCES BOARD
309.agency_name,DEPARTMENT OF COMMERE,DEPARTMENT OF COMMERCE
462.agency_name,STATE FIRE MARSHLA,STATE FIRE MARSHAL
437.class_description,St Auditorh & Inspect Rev Fund,St Auditor & Inspect Rev Fund
977.class_description,Bonmd Projects Fund,Bond Projects Fund
635.class_description,Fedeal Funds,Federal Funds
925.class_description,OCIA Fac Rev Bnd Snk Fn 1999D,OCIA Fac Rev Bnd Snk Fnd 1999D
577.total_amount,$33882.91,$338882.91
568.statutory_reference,"TITLE 62, SEC. 4.9","TITLE 62, SEC. 34.9"
826.agency_name,SEMINOLE STATE COLEGE,SEMINOLE STATE COLLEGE
332.statutory_reference,"TITE 17,SECTION 180.11","TITLE 17,SECTION 180.11"
891.statutory_reference,"HB 2487, nSECTION 18","HB 2487, SECTION 18"
732.class_description,OK Tour & Rec Depar tCap Ex Re,OK Tour & Rec Depart Cap Ex Re
491.agency_name,STAgTE DEPARTMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
743.total_amount,$205921.90,$2059231.90
1029.statutory_reference,"TITLE 68, ESCTION 2368.7","TITLE 68, SECTION 2368.7"
746.statutory_reference,"TITLE 61,g SEC. 208.2","TITLE 61, SEC. 208.2"
348.statutory_reference,TITLE 28 SECTION 86,"TITLE 28, SECTION 86"
391.agency_name,DEPARTMEN OF EDUCATION,DEPARTMENT OF EDUCATION
570.statutory_reference,"TITLE 62, SECTON 34.48 & 34.9","TITLE 62, SECTION 34.48 & 34.9"
115.agency_name,ATTORNEY GENERAvL,ATTORNEY GENERAL
364.class_description,Ctapitol Improvements Rev Fund,Capitol Improvements Rev Fund
623.total_amount,$117608.670,$1176086.70
279.total_amount,2045449.30,$2045449.30
1079.statutory_reference,TITLE 82 SECTION 108.7A,TITLE 82 SECTION 1085.7A
560.class_description,Bail Bondsmpen Revolving Fund,Bail Bondsmen Revolving Fund
222.total_amount,$000,$0.00
945.agency_name,STATE TRESURER,STATE TREASURER
1029.total_amount,$f0.00,$0.00
747.total_amount,$899.8j6,$899.86
312.agency_name,DEPARTMENT OFe COMMERCE,DEPARTMENT OF COMMERCE
353.total_amount,$5.c03,$5.03
998.total_amount,$79f760.41,$79760.41
9.agency_name,OKLAHOMA STATE UNIVERSITlY,OKLAHOMA STATE UNIVERSITY
695.total_amount,$225827z2.38,$2258272.38
369.agency_name,EAST CENTRAL UNIVRESITY,EAST CENTRAL UNIVERSITY
809.total_amount,$49999.3,$4999.93
970.total_amount,$1k632043.47,$1632043.47
56.class_description,Americn Recov. & Reinv. Act,American Recov. & Reinv. Act
212.agency_name,CAPITsOL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
742.statutory_reference,"TITLE 62 ,SEC. 34.9","TITLE 62, SEC. 34.9"
727.statutory_reference,"ThITLE 74, SECTION 1851.1","TITLE 74, SECTION 1851.1"
282.class_description,Bond Tansfer Fund,Bond Transfer Fund
695.agency_name,OKLA. BOARD O NURSING,OKLA. BOARD OF NURSING
542.total_amount,$868e265.68,$868265.68
397.statutory_reference,"TITLE 70, ESC. 18-400","TITLE 70, SEC. 18-400"
175.statutory_reference,n , 
832.class_description,Seed Capital Revolvig Fund,Seed Capital Revolving Fund
567.class_description,Healt hInsur Portability,Health Insur Portability
148.agency_name,TOBACCO SETTLEMENT ENDhMT TRUST,TOBACCO SETTLEMENT ENDMT TRUST
346.class_description,J M Davis MemorialComm Fund,J M Davis Memorial Comm Fund
815.agency_name,PHYSICIAN MANPOWER TRNGo. COMM.,PHYSICIAN MANPOWER TRNG. COMM.
1047.agency_name,DEPARTMENT OF HUMN SERVICES,DEPARTMENT OF HUMAN SERVICES
22.statutory_reference,h , 
473.total_amount,$625107.5,$625107.75
363.statutory_reference,"TILE 70, SEC. 3901","TITLE 70, SEC. 3901"
546.class_description,Breding Development Administr,Breeding Development Administr
892.total_amount,$4644982.71***,$4644982.71
959.total_amount,794789.84,$794789.84
198.class_description,Capitol iDome Bond - Revenue Fu,Capitol Dome Bond - Revenue Fu
379.agency_name,EASTERNk OKLA. STATE COLLEGE,EASTERN OKLA. STATE COLLEGE
864.statutory_reference,, 
627.class_description,Group Housing Loan Rev. Fcund,Group Housing Loan Rev. Fund
828.class_description,Central Filig Syst Revol Fund,Central Filing Syst Revol Fund
624.total_amount,$00.0,$0.00
312.statutory_reference,"TITLE 4, SEC. 1524B","TITLE 74, SEC. 1524B"
297.statutory_reference,"TITLE 74, SCETION 5013.3","TITLE 74, SECTION 5013.3"
432.agency_name,EDPT. OF ENVIRONMENTAL QUALITY,DEPT. OF ENVIRONMENTAL QUALITY
916.class_description,Unclaimed Proprety Fund,Unclaimed Property Fund
527.total_amount,$.00,$0.00
687.class_description,Capital Improveents Rev Fund,Capital Improvements Rev Fund
975.class_description,Comp. Cancer Ct Debt Service,Comp. Cancer Ctr Debt Service
108.total_amount,$x1000995.04,$1000995.04
799.statutory_reference,"TITLE 70, SEvC. 3206 I","TITLE 70, SEC. 3206 I"
359.class_description,State-Tribal Criame Victim Liai,State-Tribal Crime Victim Liai
725.agency_name,DEPARTMNET OF TOURISM AND RECREATION,DEPARTMENT OF TOURISM AND RECREATION
156.statutory_reference,***, 
932.statutory_reference,"TITLE 173, SjECTION 161","TITLE 173, SECTION 161"
433.agency_name,DEPT. OF ENVRIONMENTAL QUALITY,DEPT. OF ENVIRONMENTAL QUALITY
640.total_amount,8$78217.25,$878217.25
1005.total_amount,a$4543700.65,$4543700.65
873.statutory_reference,"TaITLE 70, SEC. 3901","TITLE 70, SEC. 3901"
910.total_amount,$3988e399.02,$3988399.02
772.total_amount,$7344737.04,$7344773.04
694.total_amount,$631163.92,$631136.92
911.total_amount,$12665210.50,$12665201.50
491.class_description,Elecrical Revolving Fund,Electrical Revolving Fund
755.total_amount,$340305.66,$3403085.66
667.total_amount,$16479408.3b3,$16479408.33
33.agency_name,"OSU-TECHICAL BRANCH, OKMULGEE","OSU-TECHNICAL BRANCH, OKMULGEE"
432.total_amount,$277829.37,$2778329.37
349.statutory_reference,"ITLE 74, SECTION 581","TITLE 74, SECTION 581"
879.class_description,Section 13-Const& Purch Bldg,Section 13-Const & Purch Bldg
376.agency_name,EASTENR OKLA. STATE COLLEGE,EASTERN OKLA. STATE COLLEGE
556.class_description,Indus Finanec Auth  Inter Fund,Indus Finance Auth  Inter Fund
268.agency_name,COMMqISSION ON CHILDREN AND YOUTH,COMMISSION ON CHILDREN AND YOUTH
192.agency_name,CAPITOL IMPROVEMENTi AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
894.class_description,Okla Courtt Inf Sys Rev Fund,Okla Court Inf Sys Rev Fund
923.agency_name,STAT TREASURER,STATE TREASURER
61.statutory_reference,"TITLE 44, SEC. 2m33.7","TITLE 44, SEC. 233.7"
667.class_description,Northeastern tSate University,Northeastern State University
490.statutory_reference,***, 
121.statutory_reference,w , 
896.statutory_reference,s , 
840.statutory_reference,***, 
889.agency_name,S. W. OKLA. S. UNIV.,S. W. OKLA. ST. UNIV.
1080.total_amount,$4327800.8,$432780.08
645.class_description,American Reco.v & Reinv. Act,American Recov. & Reinv. Act
158.class_description,American Recov. & Rein. Act,American Recov. & Reinv. Act
91.total_amount,2$738.00,$2738.00
765.class_description,CapitolDome Donation Fund,Capitol Dome Donation Fund
768.total_amount,$1909599.4v9,$1909599.49
468.class_description,Wildklife Heritage Fund,Wildlife Heritage Fund
265.total_amount,$29116.3,$29116.83
762.statutory_reference,"SB 646, ESCTION 5A TITLE 74, SECTION 85.33A","SB 646, SECTION 5A TITLE 74, SECTION 85.33A"
664.statutory_reference,***, 
862.statutory_reference,u , 
218.class_description,OCIA - Naive American,OCIA - Native American
704.statutory_reference,"TILE 70, SEC. 3901","TITLE 70, SEC. 3901"
359.total_amount,$8218.t79,$8218.79
81.total_amount,$.00,$0.00
81.class_description,aSles Fund - Surplus Property,Sales Fund - Surplus Property
618.total_amount,$467809.76,$647809.76
455.agency_name,DEPARTMENT OF CIVIL EMERGENCYM ANAGEMEN,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN
11.agency_name,OKLAHOMA STATE UNlIVERSITY,OKLAHOMA STATE UNIVERSITY
464.agency_name,FIREFIGHTEwRS PENS. & RET. SYST.,FIREFIGHTERS PENS. & RET. SYST.
99.total_amount,$0.0e0,$0.00
320.class_description,American Reov. & Reinv. Act,American Recov. & Reinv. Act
782.agency_name,EPARTMENT OF PUBLIC SAFETY,DEPARTMENT OF PUBLIC SAFETY
92.class_description,Animal Frienly Revolving Fund,Animal Friendly Revolving Fund
911.agency_name,TEACHERS RETIREMEN SYSTEM,TEACHERS RETIREMENT SYSTEM
142.class_description,Emergency & Transortation Rev,Emergency & Transportation Rev
192.class_description,Dept of rTansportation Cons Fu,Dept of Transportation Cons Fu
437.total_amount,$825655.42,$852655.42
570.class_description,Delinquency Prevention und,Delinquency Prevention Fund
993.agency_name,OKLA. CAREER AND TECeHNOLOGY EDUCATION,OKLA. CAREER AND TECHNOLOGY EDUCATION
938.total_amount,$92820.80,$29820.80
200.statutory_reference,"TITLE 62, SEC 3.48, 34.9","TITLE 62, SEC 34.48, 34.9"
800.class_description,Fed Funds Suppor System Activ,Fed Funds Support System Activ
746.agency_name,DEPARTMENT OFy CENTRAL SERVICES,DEPARTMENT OF CENTRAL SERVICES
750.total_amount,$275795.60,$725795.60
246.agency_name,CALR ALBERT STATE COLLEGE,CARL ALBERT STATE COLLEGE
822.statutory_reference,"TITLE 62, SEC. 7.p5","TITLE 62, SEC. 7.5"
238.total_amount,$00.0,$0.00
420.agency_name,OKLAHOM FUNERAL BOARD,OKLAHOMA FUNERAL BOARD
580.statutory_reference,"TITLE 6o4, SEC. 1011","TITLE 64, SEC. 1011"
625.total_amount,$40253816,$402538.16
287.class_description,Capital Bond Proejcts,Capital Bond Projects
855.statutory_reference,, 
2.agency_name,KLAHOMA STATE UNIVERSITY,OKLAHOMA STATE UNIVERSITY
1093.class_description,W Rogers Memorial Comm Rev Fqun,W Rogers Memorial Comm Rev Fun
365.class_description,Agency Relationhsip Fund,Agency Relationship Fund
177.agency_name,CAPITOLI MPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
229.class_description,OCIASeries 2003D Revenue Bond,OCIA Series 2003D Revenue Bond
730.total_amount,$.00,$0.00
447.class_description,Automated Fngrprt I dSys. Fd.,Automated Fngrprt Id Sys. Fd.
963.agency_name,UNIVERSIeTY OF OKLAHOMA,UNIVERSITY OF OKLAHOMA
82.statutory_reference,"TITLE 2, SEC. 3-50.01","TITLE 2, SEC. 3-50.10"
444.total_amount,b$1166940.02,$1166940.02
741.statutory_reference,"TITLE 59, ESC. 1360","TITLE 59, SEC. 1360"
909.total_amount,$7315851.78,$3715851.78
507.total_amount,$.00,$0.00
768.statutory_reference,"TITLE 62, SEC. 34.96","TITLE 62, SEC. 34.69"
220.total_amount,$0.00***,$0.00
184.agency_name,CAPITOL IMPROVEMNT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
166.statutory_reference,"TILE 62, SEC 34.48, 34.9","TITLE 62, SEC 34.48, 34.9"
115.class_description,Workers' Comp Fraud Fudn,Workers' Comp Fraud Fund
398.statutory_reference,"ITLE 70, SECTION 3-144","TITLE 70, SECTION 3-144"
613.agency_name,DEPRATMENT OF LIBRARIES,DEPARTMENT OF LIBRARIES
407.total_amount,$349144.1p2,$349144.12
636.total_amount,$177783.83,$1477783.83
191.class_description,Suprem eCourt Sinking Fund,Supreme Court Sinking Fund
848.total_amount,$h88797.51,$88797.51
794.total_amount,$000,$0.00
368.statutory_reference,"TITLE 70, SECTIO N4006","TITLE 70, SECTION 4006"
451.class_description,Federal Grant Fuds,Federal Grant Funds
418.total_amount,$773294.92,$773924.92
887.total_amount,s$0.03,$0.03
588.total_amount,$243057.55,$243075.55
879.total_amount,$2c117748.23,$2117748.23
96.statutory_reference,"TITEL  2, SEC 7-416","TITLE  2, SEC 7-416"
126.class_description,VPO Granut,VPO Grant
66.agency_name,OKLAHOMA MILITARY DEAPRTMENT,OKLAHOMA MILITARY DEPARTMENT
33.statutory_reference,, 
67.total_amount,$003,$0.03
101.agency_name,WESTERN OKLA. STAtTE COLLEGE,WESTERN OKLA. STATE COLLEGE
877.agency_name,S. E. OKLA. ST. NUIV.,S. E. OKLA. ST. UNIV.
3.class_description,Comp Univ Capital Pojects Rev,Comp Univ Capital Projects Rev
18.total_amount,8$063151.96,$8063151.96
370.statutory_reference,, 
200.agency_name,ACPITOL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
1029.agency_name,HEALTH CARE AUTHRITY,HEALTH CARE AUTHORITY
306.total_amount,$3401736h.96,$3401736.96
374.statutory_reference,"TITLkE 70, SEC. 3901","TITLE 70, SEC. 3901"
260.class_description,American Recov. & Reiv. Act,American Recov. & Reinv. Act
888.agency_name,S. W. OKLA. STp. UNIV.,S. W. OKLA. ST. UNIV.
1006.class_description,Rehab Services Dibursing Fund,Rehab Services Disbursing Fund
328.statutory_reference,"TITLE 17, SgEC. 180.7","TITLE 17, SEC. 180.7"
175.agency_name,CAPITOL IMPROVEMENT AUTHORIY,CAPITOL IMPROVEMENT AUTHORITY
1051.class_description,Human Services Disbursiing Fund,Human Services Disbursing Fund
263.statutory_reference,"TITL E45, SEC. 938","TITLE 45, SEC. 938"
672.total_amount,8$56.26,$856.26
441.total_amount,$0.0u0,$0.00
872.statutory_reference,"TITLE 62, SECTION 43.9 & 34.48 AND TITLE 72, SECTION 65.1","TITLE 62, SECTION 34.9 & 34.48 AND TITLE 72, SECTION 65.1"
179.class_description,OCIA 2005 F Hgh Ed Constr Fnd,OCIA 2005 F High Ed Constr Fnd
894.statutory_reference,"TITLE 20, EC. 1315 B","TITLE 20, SEC. 1315 B"
956.total_amount,$00.0,$0.00
197.statutory_reference,"ITTLE 62, SEC 34.48, 34.9","TITLE 62, SEC 34.48, 34.9"
593.statutory_reference,"TITLE 70, SEfC. 4001","TITLE 70, SEC. 4001"
725.total_amount,$8054369o.35,$8054369.35
239.class_description,Fac. Rev .1995 Construction Fd,Fac. Rev. 1995 Construction Fd
884.agency_name,yS. W. OKLA. ST. UNIV.,S. W. OKLA. ST. UNIV.
550.class_description,Fdeeral Funds,Federal Funds
673.total_amount,$99991.2v5,$99991.25
415.agency_name,OK. COMM. FOR TEACHER PRPE.,OK. COMM. FOR TEACHER PREP.
5.class_description,Bond Transfre Fund,Bond Transfer Fund
629.class_description,Prevention of Youth Acces sto,Prevention of Youth Access to
987.statutory_reference,u , 
1094.total_amount,$5000.00***,$5000.00
1036.total_amount,$219688.46,$2196588.46
833.total_amount,$e4472.81,$4472.81
42.agency_name,OSU COLLGE OF VETERINARY MEDICINE,OSU COLLEGE OF VETERINARY MEDICINE
84.statutory_reference,"TITLE 1, SECTION 901.58","TITLE 19, SECTION 901.58"
668.total_amount,$10606432.28,$10606432.82
1011.total_amount,1144.90,$1144.90
801.agency_name,REGENTS FOR HIGHER EDUCATIN,REGENTS FOR HIGHER EDUCATION
362.agency_name,DISTRICT ATTORNEYS CUNCIL,DISTRICT ATTORNEYS COUNCIL
74.agency_name,ALCOHOLIC BEV. LAWS NEFORCE.,ALCOHOLIC BEV. LAWS ENFORCE.
752.class_description,Asbestos Abtaemt Revolv Fund,Asbestos Abatemt Revolv Fund
348.agency_name,DISTRICTCOURTS,DISTRICT COURTS
420.statutory_reference,"TITLE 59, SiEC. 396.1C","TITLE 59, SEC. 396.1C"
598.statutory_reference,"TITLE 70, SEC. 390g4","TITLE 70, SEC. 3904"
80.statutory_reference,a , 
706.agency_name,OKLA. PANHANDLE STATE UNI.,OKLA. PANHANDLE STATE UNIV.
676.class_description,New College-Const & Pucrh Bldg,New College-Const & Purch Bldg
463.class_description,Hwomeland Security Federal Fund,Homeland Security Federal Fund
1089.statutory_reference,"TIuTLE 82, SEC. 1085.33 & 1085.53(A)","TITLE 82, SEC. 1085.33 & 1085.53(A)"
169.class_description,OCIA 2005E Att Gen Costr Fund,OCIA 2005E Att Gen Constr Fund
157.total_amount,$0.0,$0.00
584.class_description,Cleet TrainingCenter Rev Fund,Cleet Training Center Rev Fund
63.statutory_reference,TTILE 47 SECTION 1104.11,TITLE 47 SECTION 1104.11
823.total_amount,$649.40,$6349.40
100.total_amount,$6701.368,$67013.68
607.total_amount,$0z.00,$0.00
60.class_description,45Th Infantry Div. Msuseum Fd.,45Th Infantry Div. Museum Fd.
743.agency_name,DEPARTMENT OF CENRAL SERVICES,DEPARTMENT OF CENTRAL SERVICES
530.statutory_reference,"TITLE 69, SEC. 64","TITLE 69, SEC. 664"
940.class_description,ap Impvmnt Auth Rev Bonds 86,Cap Impvmnt Auth Rev Bonds 86
797.class_description,Okla Tuition Schlrshp zRev Fnd,Okla Tuition Schlrshp Rev Fnd
1077.statutory_reference,"TITLE 82, SEC. 108q5.7","TITLE 82, SEC. 1085.7"
794.agency_name,REGENTS FOR HIGHER EDUCATIOgN,REGENTS FOR HIGHER EDUCATION
239.total_amount,$0.0,$0.00
197.total_amount,0$.00,$0.00
444.statutory_reference,"TITL E52, SEC. 207","TITLE 52, SEC. 207"
555.agency_name,OK. INDUSTRIA FINANCE AUTH.,OK. INDUSTRIAL FINANCE AUTH.
8.class_description,Const. Energy Reseach Bldg,Const. Energy Research Bldg
531.total_amount,787165.98,$787165.98
397.class_description,Education Reform Rbevol. Fund,Education Reform Revol. Fund
427.class_description,Revolxving Fund,Revolving Fund
18.agency_name,OSU-EXPEIMENT STATION,OSU-EXPERIMENT STATION
697.statutory_reference,"TITLE 74, SEC. 1770","TITLE 74, SEC. 1707"
955.statutory_reference,"TILTE 62, SEC. 7.5","TITLE 62, SEC. 7.5"
552.total_amount,$0.00***,$0.00
283.statutory_reference,"TITLEf 70, SEC. 4301","TITLE 70, SEC. 4301"
94.statutory_reference,"TITLE 2, SECTON 16-83","TITLE 2, SECTION 16-83"
192.total_amount,$291.193,$2911.93
1058.class_description,FY0g8 Human Svcs Disb Fund,FY08 Human Svcs Disb Fund
1024.class_description,Nursing Fac Quality Of Careg Fd,Nursing Fac Quality Of Care Fd
607.agency_name,LEGISLATIVE SERVICE BRUEAU,LEGISLATIVE SERVICE BUREAU
721.class_description,Private Vocational Schools Fdn,Private Vocational Schools Fnd
24.total_amount,$39.60,$93.60
621.agency_name,BD. OF MED. LICENdSURE & SUPV.,BD. OF MED. LICENSURE & SUPV.
576.statutory_reference,***, 
1049.total_amount,$80434.75,$80344.75
403.statutory_reference,"ARTIjCLE X, SEC. 32","ARTICLE X, SEC. 32"
815.statutory_reference,"TITLE 62 SEC. 34.48, 34.9","TITLE 62, SEC. 34.48, 34.9"
669.statutory_reference,"TITLE 62q, SEC. 41.8","TITLE 62, SEC. 41.8"
797.total_amount,0$.00,$0.00
1024.total_amount,$1726.40,$17626.40
174.total_amount,$0.0h0,$0.00
1011.statutory_reference,k , 
377.total_amount,$04802.92,$40802.92
658.total_amount,$546.529,$5465.29
581.statutory_reference,"TITLE 62, SEC 34.48,34.9","TITLE 62, SEC. 34.48,34.9"
554.total_amount,$2701408.2,$2701408.62
382.class_description,Agency Relationsihp Fund,Agency Relationship Fund
229.total_amount,v$0.04,$0.04
515.statutory_reference,"TILE 66, SEC. 309","TITLE 66, SEC. 309"
448.statutory_reference,"TITEL 74, SECTION 150.32","TITLE 74, SECTION 150.32"
133.agency_name,OKLAHOMA AERONAUTICS COMMIqSSION,OKLAHOMA AERONAUTICS COMMISSION
780.total_amount,$6100076.56,$6100706.56
722.total_amount,$0.0f0,$0.00
1022.total_amount,$23151387.43,$23151387.34
763.agency_name,DEPARTMENT OF CENTRL SERVICES,DEPARTMENT OF CENTRAL SERVICES
510.statutory_reference,"TITLE 62,g SEC. 34.9 & 34.48","TITLE 62, SEC. 34.9 & 34.48"
1014.agency_name,DEPARTMEzNT OF REHABILITATION SERVICES,DEPARTMENT OF REHABILITATION SERVICES
461.agency_name,STATE FIREa MARSHAL,STATE FIRE MARSHAL
107.agency_name,OKLA. BD. OFg ARCHITECTS,OKLA. BD. OF ARCHITECTS
991.class_description,Stdate Vocational-Tech Fund,State Vocational-Tech Fund
226.class_description,DOT Highways & Bridges Sinkng,DOT Highways & Bridges Sinking
391.statutory_reference,"TITxLE 63, SEC. 2-417","TITLE 63, SEC. 2-417"
391.class_description,Dru Abuse Ed Rev Fund,Drug Abuse Ed Rev Fund
784.agency_name,DEPARTMENT fOF PUBLIC SAFETY,DEPARTMENT OF PUBLIC SAFETY
449.agency_name,STATE BUREAU OF IVESTIGATION,STATE BUREAU OF INVESTIGATION
318.statutory_reference,"TITLEs 70, SEC. 3901","TITLE 70, SEC. 3901"
957.statutory_reference,r , 
328.agency_name,CORPORATION COMMISSION***,CORPORATION COMMISSION
61.class_description,klahoma Military Dept,Oklahoma Military Dept
309.statutory_reference,"TITLE 62,SEC. 34.9","TITLE 62, SEC. 34.9"
648.class_description,Agency Relationship Fudn,Agency Relationship Fund
311.class_description,Interagency Reimbursement Fusnd,Interagency Reimbursement Fund
1040.statutory_reference,"TITLE 6,2 SEC. 34.9","TITLE 62, SEC. 34.9"
797.statutory_reference,"TITLE 62, SEC. 34.9a2","TITLE 62, SEC. 34.92"
714.class_description,Aemrican Recov. & Reinv. Act,American Recov. & Reinv. Act
986.total_amount,$0.00***,$0.00
127.agency_name,STATE ARTS hCOUNCIL,STATE ARTS COUNCIL
274.total_amount,$385137.22***,$385137.22
21.class_description,Agency Relatitonship Fund,Agency Relationship Fund
326.class_description,Roofig Contractor Reg Rev Fnd,Roofing Contractor Reg Rev Fnd
374.class_description,Educational & Gen Opx Rev Fund,Educational & Gen Op Rev Fund
94.total_amount,701545.18,$701545.18
701.class_description,Optometry Bd Rev Fqund,Optometry Bd Rev Fund
535.total_amount,$13.50,$813.50
132.statutory_reference,"TITrLE 62, SECTION 34.9","TITLE 62, SECTION 34.9"
50.class_description,Edu & Geng Oper Rev Fund,Edu & Gen Oper Rev Fund
1048.agency_name,DEPARTMENT OF HUMAN SERIVCES,DEPARTMENT OF HUMAN SERVICES
946.agency_name,TSATE TREASURER,STATE TREASURER
86.class_description,Urban Fiorestry & Beaut Rev Fd,Urban Forestry & Beaut Rev Fd
1068.total_amount,$0x.00,$0.00
1052.statutory_reference,***, 
938.agency_name,STATE gTREASURER,STATE TREASURER
616.total_amount,$1110592.53***,$1110592.53
666.statutory_reference,"TITLE 70, SEC. 39a01","TITLE 70, SEC. 3901"
47.total_amount,$0.10,$0.01
199.class_description,OCIA 1994B Revenue Fnd,OCIA 1994B Revenue Fund
807.total_amount,$29696v8.27,$296968.27
300.agency_name,DEPARTMENT OFCOMMERCE,DEPARTMENT OF COMMERCE
378.class_description,Capital BondProjects,Capital Bond Projects
440.statutory_reference,, 
1010.class_description,FY0 6Rehab Services Disb Fund,FY06 Rehab Services Disb Fund
903.class_description,Mass AppraisalI mpl. Rev. Fund,Mass Appraisal Impl. Rev. Fund
1007.class_description,RehabS ervices Disbursing Fund,Rehab Services Disbursing Fund
499.class_description,Okla Emerg Resp Syst Stab  Im,Okla Emerg Resp Syst Stab & Im
