1383.facilityname,Riverside Community Hosiptal,Riverside Community Hospital
94.county,Orage,Orange
1043.facilityname,UCS Medical Center,UCSF Medical Center
1368.county,Solaon,Solano
854.facilityid,9.30000004E8,220000017
1101.facilityname,Alhambra Hospital Medical Center,"Kaiser Foundation Hospital, Moreno Valley"
608.facilityid,4.0000122E7,60000071
744.county,aSn Joaquin,San Joaquin
1492.county,Alamekda,Alameda
1003.county,Los Angelees,Los Angeles
1096.facilityid,9.30000034E8,240000024
459.facilityid,9.30000002E8,230000014
593.facilityid,4.0000122E7,50000280
704.facilityid,6.0000002E7,80000023
598.county,aSn Bernardino,San Bernardino
757.facilityid,3.0000122E7,930000151
510.facilityname,Adventist Medical Center - Selma,Sutter Coast Hospital
795.facilityid,9.30000114E8,230000013
340.facilityid,6.0000074E7,930000091
348.county,hSan Francisco,San Francisco
1096.county,SanB ernardino,San Bernardino
13.facilityid,6.0000074E7,30000114
1108.facilityid,9.30000034E8,30001370
1116.facilityid,9.30000034E8,110000508
615.county,Orrange,Orange
1420.county,LosAngeles,Los Angeles
735.county,Oranghe,Orange
532.county,LosAngeles,Los Angeles
1095.county,Los Agneles,Los Angeles
319.facilityid,4.0000122E7,220000031
1336.facilityname,uUCSF Medical Center,UCSF Medical Center
1486.county,Placyer,Placer
1180.facilityid,2.400001E8,930000128
971.facilityid,9.30000034E8,220000031
1476.facilityname,Santa Monica - UCLA Medicla Center and Orthopaedic Hospital,Santa Monica - UCLA Medical Center and Orthopaedic Hospital
262.facilityid,9.30000012E8,80000152
1250.county,SantaC lara,Santa Clara
1395.facilityname,Stanford Healthx Care,Stanford Health Care
632.county,aSn Joaquin,San Joaquin
873.county,San Digo,San Diego
525.facilityid,3.0000122E7,930000191
1444.facilityname,"Kaiser Founudation Hospital, West LA","Kaiser Foundation Hospital, West LA"
368.facilityid,1.40000425E8,240000082
834.county,Los Angelse,Los Angeles
1395.county,Satna Clara,Santa Clara
225.facilityid,4.0000122E7,230000262
1137.facilityid,9.30000053E8,110000021
1474.county,Santa Barbadra,Santa Barbara
879.county,Foresno,Fresno
1381.facilityname,Rady Childrne's Hospital - San Diego,Rady Children's Hospital - San Diego
951.facilityname,UCSF tMedical Center,UCSF Medical Center
634.county,Santka Cruz,Santa Cruz
1093.facilityid,9.30000004E8,110000011
433.county,Los ngeles,Los Angeles
565.county,Kren,Kern
325.facilityid,9.30000082E8,930000004
1438.facilityname,"Kaiser Foundation Hospital, oseville","Kaiser Foundation Hospital, Roseville"
397.facilityname,Anaheim Global Medical Center,Hi-Desert Medical Center
1011.facilityid,3.0000122E7,70000145
1411.facilityname,Children'zs Hospital & Research Center Oakland,Children's Hospital & Research Center Oakland
903.facilityid,6.3001296E8,930000103
1330.county,San Dieog,San Diego
845.facilityid,1.20001444E8,40000111
881.facilityname,Salinas Valley Memorial Hosptal,Salinas Valley Memorial Hospital
1227.county,Lso Angeles,Los Angeles
1232.facilityid,1.40000012E8,30000146
1380.county,Los Anpgeles,Los Angeles
1399.county,Sacarmento,Sacramento
1301.facilityid,2.40000082E8,70001355
773.facilityid,6.3001296E8,60001207
1229.facilityid,6.3001296E8,50000039
289.facilityid,4.0000122E7,930001709
185.facilityid,2.400001E8,930000157
382.county,Btute,Butte
1053.county,Los Ageles,Los Angeles
1246.facilityid,6.0000074E7,630013929
425.facilityid,9.30000005E8,120001444
977.facilityname,Children's Hospitalf at Mission,Children's Hospital at Mission
867.facilityname,Parkview Community Hospital Medical Cesnter,Parkview Community Hospital Medical Center
594.county,Santa Claira,Santa Clara
870.county,Ls Angeles,Los Angeles
146.county,Saacramento,Sacramento
383.facilityname,Firchild Medical Center,Fairchild Medical Center
562.county,Scaramento,Sacramento
1436.county,Orage,Orange
1243.county,San Benardino,San Bernardino
1206.facilityid,9.30000034E8,30000143
379.facilityid,9.30000004E8,930000053
1069.county,Sn Joaquin,San Joaquin
1236.facilityname,Children's Hospital Los Angles,Children's Hospital Los Angeles
936.facilityid,9.30000114E8,80000023
999.facilityid,1.40000425E8,70001355
959.county,Alaemda,Alameda
400.county,Los Aneles,Los Angeles
1212.facilityid,9.30000012E8,140000016
908.facilityid,6.3001296E8,110000068
1421.county,fSanta Clara,Santa Clara
1204.facilityid,6.0000002E7,230000020
495.facilityname,Banner Lassen Medical Center,Sierra View Medical Center
806.county,Los Angels,Los Angeles
808.facilityid,6.0000074E7,140000187
1164.county,Lo sAngeles,Los Angeles
573.facilityname,Natividad Medica Center,Natividad Medical Center
871.facilityname,Providence Little oCmpany of Mary Medical Center Torrance,Providence Little Company of Mary Medical Center Torrance
824.county,Alagmeda,Alameda
33.facilityid,2.400001E8,70000137
844.facilityid,4.0000122E7,110000021
1302.county,nSonoma,Sonoma
1391.facilityname,Shriers Hospitals for Children Northern California,Shriners Hospitals for Children Northern California
570.county,LosA ngeles,Los Angeles
1432.county,San Bernarodino,San Bernardino
1359.county,os Angeles,Los Angeles
1013.county,Sant Clara,Santa Clara
1455.county,gMonterey,Monterey
1146.facilityid,1.40000012E8,230000012
18.facilityid,1.40000425E8,930000022
333.county,Los Anmgeles,Los Angeles
1129.facilityid,4.0000122E7,60000038
589.facilityid,1.40000425E8,930000128
1278.facilityid,3.0000117E7,930000132
922.facilityname,Dominican Hospital,West Hills Hospital & Medical Center
1343.county,Lous Angeles,Los Angeles
1149.county,Kren,Kern
1494.county,SanFrancisco,San Francisco
1277.county,Ojrange,Orange
1200.county,wSonoma,Sonoma
1412.facilityname,Children' sHospital at Mission,Children's Hospital at Mission
922.facilityid,7.000015E7,930000028
1122.facilityid,9.30000082E8,930000076
901.facilityname,St.c Jude Medical Center,St. Jude Medical Center
1467.facilityname,Riveride Community Hospital,Riverside Community Hospital
1050.facilityid,9.3000007E8,30000114
518.facilityid,6.0000002E7,90000154
600.county,Lmos Angeles,Los Angeles
71.county,Ls Angeles,Los Angeles
236.facilityid,6.0000074E7,50000026
454.county,Los Agneles,Los Angeles
512.county,Sacrameznto,Sacramento
1459.county,Sonoam,Sonoma
178.facilityid,9.30000004E8,90000146
1299.county,an Francisco,San Francisco
623.facilityname,Community Memorial Hospital - San Buenaventura,Centinela Hospital Medical Center
356.facilityname,Anahemi Global Medical Center,Anaheim Global Medical Center
654.facilityname,"Kaiser Foundation Hospital, Los Angees","Kaiser Foundation Hospital, Los Angeles"
47.facilityid,2.400001E8,250000011
361.facilityid,2.40000082E8,240000001
1060.county,Los nAgeles,Los Angeles
230.facilityid,6.0000002E7,110000038
479.county,Frenso,Fresno
1145.facilityid,1.40000425E8,30000901
1327.county,Santa Buarbara,Santa Barbara
1265.facilityid,1.40000012E8,90000154
1359.facilityname,Huntingtno Memorial Hospital,Huntington Memorial Hospital
1055.facilityid,9.30000002E8,140000014
1113.county,Alamda,Alameda
1207.facilityid,9.30000005E8,240000104
1259.facilityid,9.30000034E8,50000280
1444.county,Los Angeels,Los Angeles
438.county,pMarin,Marin
979.facilityid,9.30000002E8,60000007
1340.county,Los Angelse,Los Angeles
544.county,Alaeda,Alameda
468.county,Los Angelecs,Los Angeles
1023.facilityid,6.0000074E7,80000149
496.facilityid,3.0000117E7,50000031
705.county,Humbolrdt,Humboldt
1095.facilityname,"Kaiser Foundation Hosiptal, Downey","Kaiser Foundation Hospital, Downey"
781.facilityname,Commnuity Hospital Long Beach,Community Hospital Long Beach
504.facilityname,St. Hnelena Hospital - Clearlake,St. Helena Hospital - Clearlake
1406.facilityname,Antelope Voalley Hospital,Antelope Valley Hospital
1081.county,Monterzey,Monterey
906.facilityid,2.400001E8,30000151
1125.facilityid,1.40000425E8,930000912
782.county,Lo Angeles,Los Angeles
166.facilityid,3.0000117E7,70000146
321.facilityid,2.40000082E8,40000129
357.county,Los nAgeles,Los Angeles
978.facilityid,4.0000122E7,930000034
930.facilityid,9.3000004E8,930000050
1092.county,Contra jCosta,Contra Costa
832.facilityid,3.0000117E7,60000024
582.county,Los Angeiles,Los Angeles
911.county,an Francisco,San Francisco
954.county,Los Ageles,Los Angeles
1008.county,Stanisklaus,Stanislaus
913.county,Scramento,Sacramento
1228.county,Alnameda,Alameda
877.facilityid,9.30000002E8,250000050
745.facilityid,3.0000122E7,120001467
1433.facilityname,"Kaiser Foundation Hospital, Lo Angeles","Kaiser Foundation Hospital, Los Angeles"
389.facilityid,3.0000117E7,930000059
664.facilityname,"Kaiser Foundation Hospital,S anta Clara","Kaiser Foundation Hospital, Santa Clara"
770.facilityid,9.3000007E8,220000018
1274.facilityid,9.3000004E8,140000014
481.county,Montery,Monterey
1071.county,Stnaislaus,Stanislaus
305.county,adera,Madera
572.facilityid,9.30000114E8,40000110
762.county,an Bernardino,San Bernardino
1088.county,Los Angeels,Los Angeles
1328.facilityid,2.400001E8,70000149
1335.county,San Dipego,San Diego
1283.facilityname,El Camino Hospitla,El Camino Hospital
452.facilityid,6.3001296E8,60000060
252.facilityid,1.40000012E8,140000016
846.facilityid,3.0000122E7,50000021
1045.county,Oranbge,Orange
1237.county,Orane,Orange
432.facilityid,3.0000117E7,50000018
842.county,LosAngeles,Los Angeles
162.facilityid,1.40000425E8,240000037
617.county,San Benardino,San Bernardino
246.county,San Benardino,San Bernardino
1141.county,E lDorado,El Dorado
1293.facilityname,"Kaiser Foundation Hospital, Oaklaxnd/Richmond","Kaiser Foundation Hospital, Oakland/Richmond"
471.county,San Bernrdino,San Bernardino
848.facilityid,9.30000005E8,930000092
1122.county,wLos Angeles,Los Angeles
1187.county,San Juoaquin,San Joaquin
938.county,Los Anglees,Los Angeles
931.county,uPlacer,Placer
495.facilityid,6.0000002E7,120001464
816.county,Almaeda,Alameda
217.facilityname,Scripps Meorial Hospital - La Jolla,Scripps Memorial Hospital - La Jolla
713.facilityid,1.40000425E8,70000147
1062.county,Los Agneles,Los Angeles
293.facilityid,9.30000114E8,930000026
1402.facilityname,Ventura County edical Center,Ventura County Medical Center
1331.facilityid,6.0000074E7,80000036
1271.facilityid,6.3001296E8,930000002
27.facilityid,1.40000012E8,40000095
417.county,San Mato,San Mateo
785.facilityname,Contra Costa Rqegional Medical Center,Contra Costa Regional Medical Center
1348.county,Ornage,Orange
1264.county,Scacramento,Sacramento
550.county,Contra Csta,Contra Costa
687.county,Kenr,Kern
1186.facilityname,San Jaquin Community Hospital,San Joaquin Community Hospital
707.facilityid,9.30000012E8,120000409
696.facilityid,9.30000034E8,60000208
1054.county,dOrange,Orange
461.facilityname,Bakersfield Memorial Hospital,Palo Verde Hospital
1166.facilityid,9.3000007E8,930000157
1490.county,Oranege,Orange
1418.facilityname,Desert Rebgional Medical Center,Desert Regional Medical Center
367.facilityid,6.3001296E8,40000095
1484.county,Santa Claar,Santa Clara
1386.facilityname,Santa Barbara Cottage Hospital***,Santa Barbara Cottage Hospital
1069.facilityid,9.30000002E8,30000117
818.county,Oranvge,Orange
1315.county,Los Ageles,Los Angeles
1247.county,Plavcer,Placer
585.county,an Diego,San Diego
981.facilityid,9.3000004E8,40000101
344.county,aSn Bernardino,San Bernardino
1270.county,San Beornardino,San Bernardino
519.county,Sa Francisco,San Francisco
331.county,Santa Clra,Santa Clara
1220.county,Sban Diego,San Diego
1429.facilityname,John F. Kennedy Memorial Hospitnal,John F. Kennedy Memorial Hospital
1107.facilityid,6.0000074E7,250000707
422.county,Santa kClara,Santa Clara
740.facilityid,1.40000425E8,30000108
191.facilityid,9.30000012E8,80000023
690.facilityid,6.0000002E7,110000010
891.facilityname,Scripp Mercy Hospital,Scripps Mercy Hospital
26.facilityid,9.3000007E8,930000132
88.facilityid,2.400001E8,40000949
746.county,San aDiego,San Diego
522.facilityid,2.400001E8,930000129
1460.facilityname,Placentia Lida Hospital,Placentia Linda Hospital
1034.county,Sacrmento,Sacramento
837.facilityid,9.30000082E8,630015551
344.facilityid,9.30000034E8,240000103
1447.county,range,Orange
558.county,Placre,Placer
863.county,uBtte,Butte
59.facilityname,Garfield Medical eCnter,Garfield Medical Center
1295.county,Orane,Orange
1162.facilityid,9.30000034E8,250000044
946.county,LosA ngeles,Los Angeles
592.facilityid,9.30000002E8,30000135
414.facilityid,6.0000074E7,630013929
876.county,Riversde,Riverside
1115.facilityname,"Kaiser Foundation Hospital, Snata Clara","Kaiser Foundation Hospital, Santa Clara"
95.facilityid,9.30000012E8,630011745
1252.facilityid,6.3001296E8,630015551
1092.facilityid,6.0000074E7,140000187
797.facilityid,6.0000002E7,930000056
692.county,nIyo,Inyo
59.county,Los Angelzes,Los Angeles
1253.county,aSnta Clara,Santa Clara
846.county,Santa Barbhara,Santa Barbara
1390.facilityname,Scrippsf Green Hospital,Scripps Green Hospital
210.facilityid,9.30000005E8,140000704
1039.facilityid,9.30000005E8,930000034
1279.facilityid,6.3001296E8,930000082
210.county,Comntra Costa,Contra Costa
693.facilityid,2.400001E8,930000111
849.county,Sanislaus,Stanislaus
744.facilityid,2.40000082E8,30000141
1285.facilityname,"oGod Samaritan Hospital, San Jose","Good Samaritan Hospital, San Jose"
1077.facilityid,9.30000114E8,230000013
1228.facilityid,3.0000117E7,140000797
759.facilityid,1.40000012E8,220000019
75.facilityid,9.30000034E8,60000014
239.facilityid,4.0000122E7,240000103
972.facilityid,3.0000117E7,60000002
1165.facilityid,6.0000002E7,930000066
1266.facilityid,6.3001296E8,220000031
1240.county,Santa Cara,Santa Clara
563.facilityid,9.30000005E8,930000290
968.county,Rverside,Riverside
642.facilityid,1.40000012E8,930000058
1109.county,acramento,Sacramento
1480.county,San Luis Obisop,San Luis Obispo
311.county,Los mAngeles,Los Angeles
1301.county,Sata Clara,Santa Clara
371.facilityid,1.40000012E8,140000195
803.facilityname,Children's Hospital at Mission,Greater El Monte Community Hospital
151.facilityid,2.400001E8,230000010
1446.county,Tulaere,Tulare
1415.county,Los Aneles,Los Angeles
439.facilityid,4.0000122E7,30000121
463.county,Sacn Diego,San Diego
956.facilityid,2.400001E8,140000188
1049.facilityid,2.400001E8,120000338
456.facilityid,3.0000122E7,110000010
492.facilityid,3.0000117E7,90000016
381.facilityid,9.30000005E8,30000125
1481.county,ehama,Tehama
470.facilityid,9.30000034E8,930000101
1198.facilityname,Barstow Community Hospital,Sierra Nevada Memorial Hospital
278.facilityid,1.40000425E8,70000155
455.facilityid,3.0000117E7,70000145
407.facilityid,4.0000122E7,240000024
1248.county,SanDiego,San Diego
832.county,Oraynge,Orange
1463.county,Los Angelles,Los Angeles
614.facilityid,2.40000082E8,90000013
1188.facilityid,4.0000122E7,50000280
973.county,SanBernardino,San Bernardino
411.county,Rliverside,Riverside
1492.facilityname,Valleycare Meical Center,Valleycare Medical Center
440.facilityid,2.40000082E8,230000009
656.county,Almeda,Alameda
936.county,an Diego,San Diego
893.county,Neavda,Nevada
60.facilityid,2.40000082E8,70000141
1421.facilityname,El Camqino Hospital,El Camino Hospital
446.facilityid,2.400001E8,230000012
555.county,Lois Angeles,Los Angeles
1367.county,Sn Diego,San Diego
1139.facilityid,1.40000425E8,50000021
1285.county,Santa Clacra,Santa Clara
675.facilityid,1.40000012E8,630015551
1360.county,Cotra Costa,Contra Costa
1475.county,Sata Clara,Santa Clara
801.facilityid,3.0000122E7,930000059
1378.facilityname,Northridge Hospital MedicalC enter,Northridge Hospital Medical Center
1309.facilityid,9.30000012E8,930000047
890.county,San Diegro,San Diego
269.facilityid,9.30000005E8,60000071
1116.county,onoma,Sonoma
526.county,tLos Angeles,Los Angeles
1318.county,Los Angaeles,Los Angeles
1154.facilityname,Natividad Metdical Center,Natividad Medical Center
69.facilityid,7.0001351E7,70000142
478.county,os Angeles,Los Angeles
553.facilityid,3.0000117E7,930000074
1488.county,San Farncisco,San Francisco
945.facilityname,Cedar-Sinai Medical Center,Cedars-Sinai Medical Center
884.facilityname,San Joaquin General Hospvital,San Joaquin General Hospital
1365.facilityname,"Kaiser Foundtion Hospital, Roseville","Kaiser Foundation Hospital, Roseville"
90.facilityid,9.30000008E8,30000973
98.facilityid,6.0000002E7,250000707
857.facilityid,2.400001E8,70000145
480.county,Los Anglees,Los Angeles
896.facilityid,1.40000425E8,250000507
326.facilityname,Children's Hospital & ResearchCenter Oakland,Children's Hospital & Research Center Oakland
869.facilityid,3.0000117E7,930000099
866.facilityname,Palmdale Regional Medical Cetner,Palmdale Regional Medical Center
1334.county,Sacarmento,Sacramento
607.facilityid,1.40000425E8,30000113
1473.county,Contra Csota,Contra Costa
579.county,Oraneg,Orange
699.county,Rivrside,Riverside
1012.county,Los Alngeles,Los Angeles
1075.facilityname,Community Hospital of Huntington Park,Eisenhower Medical Center
811.county,Los Angees,Los Angeles
99.county,Placre,Placer
1443.facilityname,"Kaiser Foundation Hosypital, Vacaville","Kaiser Foundation Hospital, Vacaville"
916.facilityname,Valey Presbyterian Hospital,Valley Presbyterian Hospital
961.facilityname,Loma Linda University Childrens Hospital,Loma Linda University Children's Hospital
1326.facilityid,9.30000005E8,30000135
171.facilityname,Doctors Medical Center,Pacifica Hospital of the Valley
805.facilityid,3.0000117E7,250000012
802.facilityid,2.40000082E8,70000153
177.facilityname,"Kaiser Foundation Hospital, Fontana",PIH Hospital - Downey
316.facilityid,7.0000139E7,70001357
701.facilityid,4.0000122E7,930000066
1448.facilityname,LAC/Harbor UCLA Medical Centre,LAC/Harbor UCLA Medical Center
1401.county,Maedra,Madera
1195.facilityname,Sharp Memoial Hospital,Sharp Memorial Hospital
560.facilityname,"Kaiser Foundation Hospital, San Francisoc","Kaiser Foundation Hospital, San Francisco"
1105.facilityname,Alta Bates Summit Medical Center,"Kaiser Foundation Hospital, Orange County, Irvine"
1366.facilityname,"Kaiser Foundation Hospital ,Sacramento","Kaiser Foundation Hospital, Sacramento"
338.facilityid,9.3000007E8,70001349
1044.county,Kinsg,Kings
979.county,Oranege,Orange
830.county,ulare,Tulare
1010.facilityid,6.0000074E7,30000127
1049.county,Kenr,Kern
1227.facilityid,9.3000007E8,930000129
1308.facilityid,6.3001296E8,60000040
1124.county,Tulrae,Tulare
788.facilityname,Desert egional Medical Center,Desert Regional Medical Center
1286.county,os Angeles,Los Angeles
375.facilityname,Antelope Valley Hospital,Desert Valley Hospital
900.county,San Joquin,San Joaquin
1269.county,Madrea,Madera
1461.county,oLs Angeles,Los Angeles
279.facilityname,Alta Bates Summit Medical Center - Alta Bates Campus,West Anaheim Medical Center
1429.county,Riverisde,Riverside
185.facilityname,Hemet Valley Medical Center,Providence Little Company of Mary Medical Center San Pedro
358.facilityname,Arrowhead Regional Medical Centre,Arrowhead Regional Medical Center
1310.facilityid,9.30000114E8,630015551
729.county,Tuoumne,Tuolumne
779.facilityname,Clovsi Community Medical Center,Clovis Community Medical Center
1040.county,aSanta Clara,Santa Clara
1150.county,Scaramento,Sacramento
1164.facilityname,Presbyterian Itnercommunity Hospital,Presbyterian Intercommunity Hospital
1288.facilityid,3.0000117E7,110000011
99.facilityid,9.3000007E8,30001370
1048.county,San hBernardino,San Bernardino
886.county,Santa aBarbara,Santa Barbara
595.facilityid,6.3001296E8,930000049
1189.county,Spanta Clara,Santa Clara
1174.county,Kenr,Kern
294.county,Conra Costa,Contra Costa
865.facilityid,9.30000012E8,930000133
93.facilityname,Children's Hospital at Mission,"Kaiser Foundation Hospital, Ontario"
798.facilityid,1.40000425E8,60000011
760.facilityid,9.30000002E8,930000005
559.facilityname,"Kaiser Foundation Hospqital, San Diego","Kaiser Foundation Hospital, San Diego"
1016.facilityid,1.40000012E8,930000162
1030.county,Scramento,Sacramento
694.facilityname,Oak rValley Hospital District,Oak Valley Hospital District
158.facilityid,6.3001296E8,930000108
1104.county,Oranyge,Orange
320.facilityname,University of California Davis Medical zCenter,University of California Davis Medical Center
167.facilityname,"Kaiser Foundation Hospital, South Sacramento",Olympia Medical Center
644.facilityid,6.0000002E7,70000142
766.facilityid,1.40000012E8,930000012
841.facilityid,2.20000009E8,60000025
1076.county,Santa Claar,Santa Clara
194.facilityid,7.0000139E7,230000261
711.county,Frseno,Fresno
974.facilityid,9.30000002E8,220000002
224.facilityid,2.40000082E8,230000016
958.facilityid,6.3001296E8,80000144
1319.county,San Digo,San Diego
367.county,resno,Fresno
812.facilityid,6.0000002E7,930000074
1221.county,an Diego,San Diego
833.facilityname,ALC/Harbor UCLA Medical Center,LAC/Harbor UCLA Medical Center
201.facilityid,6.3001296E8,930000128
1024.facilityid,9.3000004E8,30001506
437.facilityname,Mardian Regional Medical Center,Marian Regional Medical Center
203.facilityid,4.0000122E7,930000104
991.county,Lmos Angeles,Los Angeles
235.facilityid,4.0000122E7,250000344
721.facilityid,9.30000114E8,140001268
312.facilityid,9.3000004E8,930000128
1405.county,Alanmeda,Alameda
117.facilityid,9.30000004E8,60000024
1280.facilityid,9.30000012E8,30000117
261.facilityid,9.30000012E8,630014442
1170.county,San Digeo,San Diego
984.county,Los Angees,Los Angeles
700.county,Los Agneles,Los Angeles
401.facilityid,6.3001296E8,250000017
969.facilityid,6.0000002E7,60000068
511.facilityid,1.40000425E8,140000016
1261.facilityid,9.3000004E8,930000049
726.facilityid,6.3001296E8,80000036
352.county,Kins,Kings
1374.county,anta Clara,Santa Clara
1327.facilityid,2.400001E8,50000280
259.facilityid,9.30000002E8,30000141
950.county,Los Angbeles,Los Angeles
954.facilityid,6.3001296E8,930000036
339.facilityid,1.40000425E8,930000123
160.facilityname,Community Hospital of The Monterey Peninsula,Northbay Medical Center
1018.facilityid,9.30000004E8,30000135
41.facilityid,9.30000008E8,30000118
1304.county,Solao,Solano
474.facilityid,2.400001E8,230000261
449.county,Keern,Kern
311.facilityid,9.30000005E8,930000162
1318.facilityid,6.0000074E7,930000091
291.county,Santa Claar,Santa Clara
488.county,Santa Clamra,Santa Clara
463.facilityid,9.30000002E8,630013873
154.facilityid,2.400001E8,30000037
57.facilityid,9.3000004E8,50000016
1203.county,aSn Bernardino,San Bernardino
1068.facilityid,9.3000007E8,250000006
1393.facilityname,"Suothwest Healthcare System, Wildomar","Southwest Healthcare System, Wildomar"
791.county,os Angeles,Los Angeles
189.county,Los Aangeles,Los Angeles
836.facilityid,9.30000012E8,30000139
1230.county,lameda,Alameda
594.facilityname,nSanta Clara Valley Medical Center,Santa Clara Valley Medical Center
578.facilityname,Bakersfield Memorial Hospital,Orange Coast Memorial Medical Center
1167.facilityid,9.30000008E8,930000081
1185.facilityname,San Gabriel Valley Medical Ceter,San Gabriel Valley Medical Center
1469.county,LosAngeles,Los Angeles
1094.county,Lcos Angeles,Los Angeles
1151.facilityid,3.0000117E7,60000066
840.county,LosA ngeles,Los Angeles
1136.facilityid,4.0000122E7,70001349
1277.facilityid,4.0000122E7,60000007
56.county,Medocino,Mendocino
234.county,Rilverside,Riverside
1402.county,entura,Ventura
1188.county,Snata Barbara,Santa Barbara
930.county,oLs Angeles,Los Angeles
563.county,oLs Angeles,Los Angeles
1071.facilityname,Doctors Medicla Center,Doctors Medical Center
957.county,Placler,Placer
294.facilityid,3.0000117E7,140000187
1284.county,nOrange,Orange
646.county,Los Angeleks,Los Angeles
1223.facilityid,2.400001E8,110000070
407.county,San Bernardnio,San Bernardino
683.facilityid,4.0000122E7,930000092
878.facilityname,Ronald Reagan UCLA Medical Centre,Ronald Reagan UCLA Medical Center
851.facilityid,4.0000122E7,230000010
226.facilityid,3.0000122E7,120001464
1110.facilityid,1.40000012E8,80000144
313.facilityid,2.400001E8,30000135
483.county,Lods Angeles,Los Angeles
691.facilityid,1.40000012E8,110000378
493.facilityid,6.0000002E7,90000021
491.facilityid,9.30000002E8,90000025
554.county,San Beirnardino,San Bernardino
497.county,Venthura,Ventura
1125.county,Los Anglees,Los Angeles
1168.facilityid,3.0000117E7,930000100
291.facilityid,6.0000074E7,70000153
1100.county,San Joaquicn,San Joaquin
251.facilityid,9.30000005E8,30000149
174.facilityid,9.30000002E8,630013873
1206.county,Sakn Joaquin,San Joaquin
825.facilityname,"Kaiser Foundation Hosiptal, Santa Clara","Kaiser Foundation Hospital, Santa Clara"
745.county,dTulare,Tulare
1295.facilityid,4.0000122E7,630011745
1143.county,Shacramento,Sacramento
1325.facilityid,9.30000002E8,240000053
1349.county,Lo sAngeles,Los Angeles
475.facilityid,1.40000425E8,120000409
655.county,San gJoaquin,San Joaquin
1013.facilityid,4.0000122E7,70000146
1480.facilityname,Sierra Viusta Regional Medical Center,Sierra Vista Regional Medical Center
147.facilityid,7.0000139E7,120000404
253.facilityid,7.0000139E7,110000019
599.facilityid,3.0000122E7,30000143
1353.county,vLos Angeles,Los Angeles
1419.county,tSanislaus,Stanislaus
527.facilityname,Alta Bates Summit Medical Center - Alta Bates Campus,Woodland Memorial Hospital
768.county,San Fracnisco,San Francisco
1349.facilityname,Childern's Hospital Los Angeles,Children's Hospital Los Angeles
334.county,Los Angeels,Los Angeles
1017.county,Montergey,Monterey
1216.facilityid,1.40000425E8,110000068
1491.facilityname,Valley hCildren's Hospital,Valley Children's Hospital
537.facilityid,9.30000005E8,930000034
342.county,Los Angees,Los Angeles
506.facilityid,3.0000122E7,30000143
779.county,Freqsno,Fresno
1358.county,Orkange,Orange
1323.facilityname,Saint Francis Medical Cnter,Saint Francis Medical Center
1087.facilityname,Community Memorial Hospital - San Buenaventura,Hemet Valley Medical Center
704.county,Saan Diego,San Diego
1128.county,Los Angelse,Los Angeles
1082.facilityid,2.400001E8,930000059
584.facilityid,9.3000004E8,930000091
724.county,an Diego,San Diego
34.facilityid,9.30000012E8,50000014
992.facilityid,2.400001E8,140000188
872.facilityid,1.40000012E8,930000091
277.facilityid,9.30000008E8,140000118
588.facilityid,4.0000122E7,930000162
1287.county,Cotnra Costa,Contra Costa
406.facilityname,"Kaiser Foundation Hospital,D owney","Kaiser Foundation Hospital, Downey"
80.facilityid,2.400001E8,140000196
435.facilityid,1.40000425E8,70001349
1451.county,Sna Bernardino,San Bernardino
1031.facilityname,Sutter Roseville Hopsital,Sutter Roseville Hospital
734.county,Theama,Tehama
444.county,Sacrmento,Sacramento
839.county,Snta Barbara,Santa Barbara
288.county,Los Ageles,Los Angeles
133.facilityid,1.40000425E8,240000005
1088.facilityname,Henry Mayo Newhll Hospital,Henry Mayo Newhall Hospital
810.county,Contr Costa,Contra Costa
227.county,San Luis Obisdpo,San Luis Obispo
1066.county,Venturka,Ventura
1486.facilityname,Sutter Rosehville Hospital,Sutter Roseville Hospital
119.county,os Angeles,Los Angeles
1140.county,Main,Marin
1324.county,Mbonterey,Monterey
974.county,an Francisco,San Francisco
724.facilityid,2.40000082E8,80000149
898.facilityid,9.30000002E8,50000035
960.county,Los Anjgeles,Los Angeles
263.county,Turlare,Tulare
1405.facilityname,Alta Bates Summit Medicl Center,Alta Bates Summit Medical Center
557.facilityname,"KaiserF oundation Hospital, Orange County, Anaheim","Kaiser Foundation Hospital, Orange County, Anaheim"
1170.facilityname,Rady Children'ts Hospital - San Diego,Rady Children's Hospital - San Diego
528.county,San Farncisco,San Francisco
534.facilityid,9.30000034E8,930000004
1236.county,Los aAngeles,Los Angeles
1438.county,Plaecr,Placer
1294.county,xOrange,Orange
905.facilityid,7.0000149E7,30000149
392.county,Santa Clzara,Santa Clara
825.county,Santa Clavra,Santa Clara
1339.county,Madear,Madera
171.facilityid,3.0000117E7,930000133
1243.facilityname,"eKaiser Foundation Hospital, Fontana","Kaiser Foundation Hospital, Fontana"
447.facilityid,9.30000082E8,230000010
990.facilityname,"Kaiser Foundatoin Hospital, Fontana","Kaiser Foundation Hospital, Fontana"
639.facilityid,4.0000122E7,60000011
882.facilityname,aSn Antonio Regional Hospital,San Antonio Regional Hospital
1409.facilityname,Calfornia Pacific Medical Center - California West Campus Hospital,California Pacific Medical Center - California West Campus Hospital
671.county,lKern,Kern
1252.county,San Bernardion,San Bernardino
1131.facilityid,6.3001296E8,30000139
566.facilityid,2.400001E8,60000027
1472.facilityname,San Antonino Regional Hospital,San Antonio Regional Hospital
